ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u1	Question No 55026218C by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u12	Mr President, Mr Lacroix, thank you for your question. Of course, I shared your impatience at the arrival of this draft directive on due diligence in the sustainable development of enterprises. It was, as you said, expected for several months and this first step, we obviously welcomed it positively. We have read the text as soon as it is published. First of all, I would say that the first merit of this text is to be able to launch the debate on this important subject, particularly at European level in an institutional way, on a subject which, in my opinion and in your opinion as well - I am sure and I have just heard it again - is an extremely important subject. My administration is currently examining the number of Belgian companies that would fall within the scope of the Directive as proposed by the European Commission. The criteria set out by the Commission in its proposal will, as you know, still have to pass the crucial stage of the debate with the other European co-legislators. As you are also aware, criticism of the proposed scope has already been expressed, in particular, by the European Parliament. The number of companies that could fall within the scope of the draft directive today may therefore not correspond to the reality at the end of the legislative process. Important work still needs to be done at European level. At this stage, it is premature to speak of a Belgian position in the context of the Council's discussions, given that these discussions have not yet really started. Coordination of work at Belgian level is in the process of being established. Of course, my administration and my staff will participate fully, in accordance with the commitment made by the government you have reiterated on your question, to play a leading role in the development of a European legislative framework. I am therefore confident that we will discuss this issue again in the coming weeks and months. This is indeed an essential element. I spoke to this one yesterday with my Dutch counterpart. The will is to try, as is often the case with subjects such as these, to rally to Belgium's position a series of like-minded states with which we are used to working. This was one of the subjects that was the subject of the bilateral discussion we had yesterday in Ghent.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u13	Thank you, Deputy Prime Minister, for your answer. You are sending an encouraging, positive and ambitious signal. Positive and ambitious because the bill as we tabled it in Parliament with other colleagues goes beyond what is required by the directive or, in any case, the draft directive. It is therefore necessary both to work on the level of ambition and to ensure that responsibility is clearly respected throughout the value chain. It is, for us, a vital element. Apart from the legal debates on the notions of responsibility, the definitions of labour law, etc., much remains to be done. In addition, Commissioner Reynders' hearing is scheduled for the next few weeks. On this occasion, we will also be able to work together. I have heard you say that contacts are being made with some of your European counterparts who agree with the Belgian Government's position on the subject, which I welcome. Mr President, I will conclude my speech by saying that, in preparing the bill that we have tabled, we have consulted a wide range of parliaments, including the Dutch Parliament. As a whole, he had welcomed the Belgian proposal's initiative by saying that there was probably a job of hope there, with the hope of being able to complete the Dutch legislative arsenal which, for its part, mainly penalized child labour, without going any further. So, indeed, we have a lot of work to do!
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u14	Mr Minister, asking a question about the basic banking service for companies is almost becoming one of my own. On 8 November 2020, we adopted this law. However, we are still waiting for its implementing decisions. I have already asked you several questions about this, as at the committee meeting of 12 January 2022. Then you replied that the law needed to be amended so that a legal basis could be established for the processing of personal data. An opinion from the GBA would also be requested. In addition, the implementation measures had to be prepared. You would like to achieve this in the first half of this year. However, many questions from entrepreneurs still come to our attention. They are still waiting for this legislation. We therefore hope that it will be soon. I therefore have a few questions. What is the state of play in the preparation of a preliminary draft law to amend the law of 8 November 2020? In the meantime, have you received the advice of the GBA? If yes, can you explain the opinion and the preliminary draft law was amended? What is the state of play in the preparation of the implementing decisions? When can we expect the draft law in Parliament? When is the entry into force effectively foreseen?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u15	Minister, since the entry into force of the 2017 Anti-Money Laundering Act, the National Bank has seen a significant increase in the number of de-risking actions in financial institutions. The National Bank has also written a circular on this issue. She says, among other things, that financial institutions, i.e. banks, still have to fulfil their obligations. For example, they must respect the anti-discrimination legislation which also applies to companies. I quote: "The National Bank confirms that it is not appropriate, nor in accordance with the legal requirements, that the client acceptance policy of a financial institution, as a rule, excludes all business relationships with potential or existing customers on the basis of a general criterion, such as the fact that these clients belong to a particular industry or have links with a high-risk country." So it's obvious. The National Bank says white man's de-risking is against the law. We see from the circular of the National Bank that they only act when there is an effective threat of damage to our economy. Many companies have the same problem. That's why I have the following questions. Have you taken note of this circular? How do you judge this one? What measures will you take to meet this circular? In what way will you ensure that banks do not exclude certain potential clients on the basis of general criteria? Did you also discuss this with your fellow Finance Minister, as it also concerns this issue? Finally, what is the timetable for the implementation of the various KBs on the basic business banking service?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u16	Mrs Dierick and Mr Freilich, thank you for your questions. I have indeed taken note of the circular of the National Bank. This circular is a valuable instrument in the fight against de-risking. It is important that banks respect their obligations regarding anti-money laundering legislation and obligations under the Code of Economic Law. The circular will guide the exercise of the powers covered by the FPS Economy, and I will remind the banks that the circular must be followed closely in the application of the legislative initiatives on the basic banking service for enterprises. The introduction of the basic banking service for companies, with due respect for the anti-money laundering provisions, sets up a system to ensure that certain high-risk sectors such as diamonds are not excluded and that payment services are available to them. That's very important. If appropriate, a consultation with my colleague, the Minister for Finance, will be scheduled. Ms Dierick, following the advice of the Council of State and the Data Protection Authority, the Act of 8 November 2020 was amended. This preliminary draft law was submitted to the GBA, which issued an opinion on 17 February 2022. The preliminary draft law was adapted to the comments of the GBA. Those comments mainly concerned the question of further clarification, in order to provide full transparency to those concerned. The implementing decision was already adapted to the opinion of the GBA, which was issued on 8 October 2021. At the moment, my administration is working on the operationalization of the basic banking service room. The objective is to adopt the amendments to the Law of 8 November 2020 in July 2022 and to implement the Implementing Decision by the same time.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u17	Thank you, Minister, for your reply. We look forward to what you will be presenting in June or July, or at least before recess, so that the entry into force can take place. Because I think the need is very high. A lot of companies are waiting for that. Apart from that, the government has already been convicted by the court because there is still no basic banking service. We absolutely must avoid that. That's why I hope it's all there now. I hope that this was the last time I had to put an oral question on this and that we could push the green vote button so that the basic banking service could operate effectively.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u18	Thank you, Minister, for your reply. It's a good thing we're working on the basic banking service. However, I would like to point out that there are better solutions, for example as proposed by the European Commission when it comes to the justification for the reason why a particular client relationship is not entered into. If that motivation can be shared with a third party without affecting the anti-money laundering legislation and the tipping off, that may be an alternative solution. The basic banking service is and remains a basic package, not everything. It seems unfair to me to place a whole sector, including bona fide companies, with a basic banking service. In that context, I will table a legislative proposal very soon. I hope to support you in making this a beautiful project, along with you. Finally, you mentioned July 2022, but were you talking about the implementation of September or December? I didn't get that right.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u19	September.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u20	The entry into force is scheduled for September. Thank you.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u21	Mr President, Deputy Prime Minister, the transposition of the European Directive 2019/882 of 17 April 2019 on accessibility requirements for products and services should take place by June 2022, before the summer parliamentary holidays. This Directive lays down accessibility requirements for key products and services such as telephones, computers, payment terminals or self-service terminals for the purchase of transport tickets at airports, consumer banking services, electronic communications services, including internet access, calls to emergency numbers such as 112, access to audiovisual media, e-books and e-commerce. Less valid people need autonomy, and this access allows them to do so. Minister, how is progress made? Will the directive be properly transposed by June? Are your cabinet, as well as those of all the competent ministers, working together on this transposition? The associations active in the field of disability very much hope that Belgium will be ambitious in its transposition. Can you confirm that? If so, can you explain to me the areas in which our country will be more demanding than the directive?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u22	Mr President, Mr Vicar, as you say, many different administrations and levels of power are involved in the transposition of this important directive. My services, in collaboration with the Social Security FPS, have wanted to take the initiative to monitor and coordinate the full transposition of this directive by all relevant administrative departments and levels. To this end, they shall hold regular consultations with all relevant departments, taking into account not only the full and timely transposition of the Directive, but also the appropriate consultation of stakeholders, in particular organisations representing persons with disabilities. The deadline for transposition is 28 June 2022. Belgium and all its public administrations concerned will endeavour, as they always do, to comply with the deadline for transposition. If, however, some parts of the text were to be delayed, we expect that this will cause little inconvenience since companies still have until June 2025 to comply with the elements contained in the directive, which will have to be transposed. My services, in collaboration with the Social Security FPS, have held regular consultations. In addition, thematic working groups were organized to assess, for example, the transposition of the Mobility component between the federal and regional levels. It is important to clarify that all levels of authority remain competent for the implementation of this Directive in their respective areas of competence. To date, all relevant government departments have always been actively involved in this consultation work with a strong commitment to completing this work and meeting the transposition deadline. At all times of consultation, my services and the Social Security FPS have always stressed the importance of adequate collaboration with the interest groups representing persons with disabilities in order to take their interests and daily reality into account as best possible in the transposition texts. I do not have an overall analysis to situate transposition in relation to the minimum level of the Directive. We will do this at the various stages within the respective governments and before your Parliament.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u23	Minister, thank you for your answers. This is a positive signal. I appreciate the work done in collaboration with the teams and representatives of those who are particularly concerned. We are waiting for an ambitious set-up in order to integrate all our citizens into these services. I look forward to seeing the results of your work.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u24	Mr Minister, my question concerns a problem that gas station operators are currently facing. They buy their products at a certain price and are currently buying them at the maximum price. They must also comply with these maximum prices. However, the price for which they purchase is currently higher than the official maximum price. They may not sell their products at any loss either. They are currently doing so in practice, as the purchase price is higher than the official maximum price. This would mean that they would have to close down because they would not be able to comply with both laws. These laws are conflicting at the moment. This, of course, has a serious impact on the sector. If they stay open, they'll commit an intruder anyway. However, if they want to respect the law, they have no choice but to close it. Mr Minister, can you give some explanation of this problem? Will you schedule consultations or have you already consulted with the sector to find a solution? Which solutions are possible and which do you think are the best?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u25	Mrs Van Bossuyt, the maximum prices are calculated on the basis of the methodology set out in the programme agreement concluded between the oil sector represented by ENERGYIA and the federal government. Let me just outline the main cause of the current problem. When prices on international markets rise by more than 20% over 20 days, a dampening factor is applied to prices on international markets before they are included in the maximum price. That damping factor was activated from 4 March 2022 until 10 March 2022. This factor has jolted between 0.83 on 9 March and 0.97 on 4 March. A factor 0.83 means that prices on the international market fall by 17%. Depending on the petroleum product, this has an impact between 16 and 22 cents per litre, excluding VAT. Since 11 March, the situation has changed and the dampening factor is no longer active because oil prices have fallen in international markets. The ghost image of loss sales, which could lead to a disruption of supply, has disappeared. In that light, we have decided to entrust the FPS Economy with a mission. The task of the administration will be to better align the mitigating circumstances in the event of strong increases in the market, while at the same time ensuring that consumers are protected as far as possible against price increases and supply disruptions. A solution is therefore being actively sought to protect the consumer while at the same time preventing the distributor from selling at a loss.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u26	Thank you, Minister, for the answer. I understand that the problem no longer arises today. From your reply, I conclude that it has been a good week. It is important to avoid going into this situation in the future. I hear your services are in consultation to see how this can be avoided in the future. I will continue to follow this, because legal certainty for the pump holders is very important.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u27	Mr President, Minister, we have talked about the historic lifts here before. I am also very pleased that we have been able to reach an agreement on this issue on a broad basis, but that does not solve the problem. At the beginning of February, I asked you another question on the subject, and you indicated that a consultative group had been set up to find alternative technical solutions for the historic lifts, known as the Kinney method, and that a consultation with the Länder would take place on 27 October. At that time no further consultation was planned with the owners' associations. As regards the Kinney method I mentioned earlier, you replied that it was accepted as a method of risk analysis, but at the same time a reservation must be made. That's an apology, Mrs. Dierick. It's a rather "bad" answer. It all remains rather vague, while there is just a great deal of legal certainty for the installers who use the method and for the owners, who want to know if their lift can be used safely. How often did the Consultative Group on Alternative Technical Solutions come together? Who is the consultative group? What are the main points raised during the consultation? Have we come up with concrete new alternative technical solutions? How often has consultations been held with the Länder, including the planned consultations on 27 October? Can you explain that? In the meantime, how often has there been consultation with the owners' associations? Can you explain this as well? How many times was there a consultation between the FOD Economy, the FOD WASO and the EDTCs? Can you specify your previous answer on the position of the FPS Economy in relation to the Kinney method? What is the status of the amendments to the Royal Decree of 9 March 2003 on the safety of lifts? What is the concrete future timing and planning? When do you expect agreement on the new royal decree?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u28	Mrs Gilson is not here.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u29	Mr Minister, my colleague Van Bossuyt has already listed a series of questions that we are also asking ourselves. I wanted to go back to the resolution we voted on 20 May 2021. Can you tell us what has already been done, in collaboration with the Regions and the groups of owners? What about the royal decree mentioned by my colleague?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u30	Mr President, thank you for your questions, Mrs Van Bossuyt, Mr Vanden Burre. As far as the story is concerned, this is the first question you asked me when I became minister, Mrs Van Bossuyt. It concerned the historic elevators. I discovered the extent of my skills at that time. As previously communicated, the deadline for modernising lifts built before 1958 will initially be postponed on 31 December 2022 to 31 December 2023. If these lifts can present a certificate of historical value, the deadline will be postponed to 31 December 2027. The aim is to give the owners of these lifts sufficient time to find appropriate solutions for the mandatory modernisation of their lift. The consultation with stakeholders is ongoing, as foreseen in the 2003 review process of the KB, which regulates the safety and modernisation of lifts in Belgium. The SPF Economy also organises an annual consultation with all external services for technical checks at the workplace and the SPF Emploi, during which the issue of historic lifts is always on the agenda. The last consultation took place on 28 January. My administration has also organized two formal meetings with various representatives of ascendorists, including companies specialized in the modernization of historic elevators. Technical solutions from the SPF Economy will be developed in small working groups of experts, to which federated entities as well as owners' associations are also invited. In other European countries, the modernisation of lifts is not an obligation. My competent security administrations have asked their European colleagues about similar problems, but no useful feedback has yet been given. I am not aware of similar requests made directly by the regional administrations responsible for heritage preservation. As for the other requests contained in the resolution, the risk analysis has been the basis for the modernization of the elevators since the beginning, and I can only repeat that the Kinney method, to the extent that it is properly applied, has been accepted since the publication of the Royal Order on the Safety of Elevators in 2003. Secondly, the resolution provided for the organization of vocational technical training. This is not a federal but a regional jurisdiction. Several information brochures have, however, been published by the SPF Economy. They will, of course, be updated as soon as the Royal Decree is amended. Similarly, an information and communication campaign will be planned. With regard to the use of electronic security curtains, it is of course permissible for a modernising company to use them, provided that this is done safely. As for the surplus, my administration has already communicated on several occasions that this solution does not pose fundamental problems and is therefore one of the possible solutions for the security of some historic elevators.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u31	Thank you, Minister, for your reply. I had asked some very specific questions, for example about the number of consultations with the Länder, co-owners and the FPS Economy, but I did not receive an answer to this, unless I was mistaken. I agree that you will still answer these questions in writing. I understand from your answer that the method is accepted, but I suppose it can be applied. In this respect, the answer of the FPS Economy was rather ambiguous, since according to that answer, the Kinney method was accepted as a method of risk analysis, but at the same time reservations had to be made. That's neither mussel nor fish. I understand from your answer that this method may indeed be applied. I had also asked very specifically about the further timing and planning of the new KB. I have not heard anything about this in your reply either.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u32	As soon as possible.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u33	As soon as possible, with us, that means earlier yesterday than today. It's probably gonna be tomorrow. I hope that the new KB will be there as soon as possible, because it will, of course, have to provide the necessary legal certainty for the owners' associations of historic lifts, so that they know exactly what to do. It would be a pity if we were to see such a beautiful heritage lost, all the more so because I have just heard you say that other Member States have no problems with the modernisation of historic lifts. There are many such lifts in our country and we must protect them at all times, without, of course, endangering safety.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u34	Minister, thank you for your answer. I will, of course, look in detail at all the elements that you have put forward, in particular the guidelines that you have specified and the implementation of the Royal Decree as soon as possible. I can hear you on the importance of the subject. I think we obviously have more important things to deal with in terms of the economy and your skills. It's more a wink than anything else. Our citizens are indeed affected by the heritage, whether they are tenants or owners. This is not only a question for owners of beautiful buildings in Brussels, Ghent or elsewhere in Belgium. This also concerns tenants who are affected by the fact that beautiful objects, in this case elevators, disappear from their heritage. At this level, it is of some importance, probably quite emotional. On the other hand, you know that we voted last May, majority as opposed, a resolution – that is not annoyance – and that is why I am trying to follow it up once a year. It is always important to be able to monitor the implementation of a resolution by the government. It is also part of our prerogatives. I know that the chairman of this committee is careful to ensure that the resolutions can be properly implemented. It seems to me important that we can integrate this project together, the majority as opposed. For this reason, and having seen both questions, I have joined in a transparent manner so that I do not come back to the subject every month. However, it seems to me important that, every six months or once a year, those who are the basis of the text come back here. And if we can solve this together, so much the better. It's on the right track, anyway.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic756x.u35	Mr President, Minister, just as important, the subject of floods! Assuralia has completed its annual review. The insurer has identified 86,000 claims and calculated that the burden of these claims was EUR 2.57 billion for the year 2021. With the ceiling limiting the insurance effort to 650 million euros, almost two billion more are at the taxpayers' expense. The Natural Disasters Act needs to be reviewed. As you know, we plead for a removal of the limit on the payment of benefits by insurers. We have, moreover, tabled a bill to that effect. In the newspaper L'Echo, I read that Assuralia says she is available to find a solution on the basis of "a partnership between insurers, public authorities and insureds". It is, word for word, the same wording that we were able to read in your general policy note. Barbara Van Speybroeck, spokesman for Assuralia, indicated in the newspaper Imagine that this was a suggestion on their part. When the ceiling on the payment of allowances was introduced by Charles Picqué, Socialist Minister of the Economy in 2003, it was already a suggestion of Assuralia, as can be read in the report of the discussions. Minister, did Assuralia write the bill? Why, once again, did you decide to take up their proposal rather than listen to the proposals of trade unions and consumer associations? Finally, I quote the newspaper Imagine which states that "the profits of the natural disaster branch in the fire insurance policies amounted to €4.25 billion for 2019 and 2020". Could it not therefore cover all these claims in relation to these figures?
