ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u1	Colleagues, Mrs Fonck, Mrs Merckx and Mrs Zanchetta are excused. Their questions will be deferred.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u12	Mr Prévot, it is true that we are currently facing cyber attacks in the health care sector, like many other sectors. The analysis of the origin of these attacks is not the responsibility of my administration, but rather of the Centre for Cyber Security in Belgium. On the other hand, some files may still be the subject of judicial investigation, and we do not have access to these files. Digitalization and security incidents, however, encourage public institutions to support hospitals. The field of cybersecurity continues to evolve. No organization or individual is immune. It is therefore important to raise awareness and make the various actors aware that the threat is everywhere. The eHealth platform offers a basic architecture. Standards, specifications and standards are available free of charge and are published. These are services that all health care actors and their ICT service providers can use free of charge to develop online services or to open authentic validated sources. The eHealth platform does not itself manage a specific network infrastructure and the development of applications remains the responsibility of the healthcare actors or ICT service providers of their choice. Preventive measures must be taken to counter attacks and tools must be put in place by hospitals to detect and respond to incidents. In attacks, institutions must be ready to react quickly. The Incident Response Plan for cybersecurity incidents is part of the hospital emergency plan. Tools such as checklists are available in the form of documents, videos to help the organizations attacked to cope, not to mention the stage of resumption of activity. Some hospitals, unfortunately victims of cyber attacks, have agreed to share their experience and lessons learned, the human, medical, financial and technical consequences as well as how they managed the crisis during the attack. Points of attention have been highlighted, ranging from technical solutions concerning hospital connections both internally and externally, to good preventive practices, such as the use of software to identify risk exposure to potential attacks, to awareness and awareness that safety must take precedence. A list of minimum standards and implementation guidelines has been developed for health institutions, based on ISO 27,000. The aim of these standards is to strengthen the safety rules and the means to monitor them in order to increase the overall level of security of all institutions. But this is an ongoing process. Additional efforts are therefore needed. Awareness and awareness, management of security policy change, training of staff, a network of knowledge and experience sharing, systems of collaboration between hospitals, investments in medical and computer equipment, all constitute many challenges. The area of cybersecurity is constantly evolving and requires organizations to be constantly vigilant and to prepare. Preventive measures, where they exist, may not be sufficient. Intrusion tests must be carried out and monitoring 7/7 days and 24 hours allows to anticipate cyberattacks. Contingency plans must be deployed with specialized teams. These challenges are also compounded by the hiring of staff with expertise in cybersecurity. A budget of $20 million has been allocated to continue the initiatives taken and to launch new ones to support hospital institutions. They are currently being asked to participate in the assessment of their level of maturity in relation to the minimum standards defined. It is therefore a vast project, Mr Prévot, but budgetary support is important to this end. In addition, the policy framework has been well defined. On the other hand, there is a lot of goodwill on the ground. Obviously, as you say, the risk is present.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u13	Minister, thank you for your answer. Indeed, the precise and sharp analysis came out at the Cyber Security Centre. It remains, as you have recalled, that the health care sector is facing cyber attacks on a daily basis. Increased digitisation obviously calls for more vigilance. Thank you for providing us with a snapshot of the situation. We observe that your policy is proactive in this area, in order to avoid such cyber attacks which, in the health care sector, may result in consequences such as the recovery or disclosure of medical data from patients. In any case, I mean that budgets are unblocked and vigilance is required. It's, of course, something to reassure me.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u14	Mrs Jadin is not present, her question lapses.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u15	Mr Minister, in 2015, the Chamber unanimously adopted a resolution calling for improvements in diagnosis and care for people with chronic fatigue syndrome. I would like to know from you the state of play with regard to the implementation of this resolution. Which issues have already been implemented or will be implemented? Do you have a plan of action on this? What's the time you're putting on that?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u16	Mr De Caluwe, you are right. The resolution adopted by the Chamber in 2015 on improving the diagnosis and care of people with chronic fatigue syndrome contained many different recommendations. Many of these recommendations fall within the competence of the Länder. Of the series of recommendations, the following are among my particular responsibilities. Firstly, to instruct the Federal Health Knowledge Centre to evaluate all existing studies and to formulate scientifically-based guidelines on the approach of CVS. Secondly, work on the recording of all kinds of data by the existing CVS diagnostic centres and also carry out an evaluation of these diagnostic centres. Thirdly, ensure that diagnosis is always carried out by a multidisciplinary team and that a sufficient distinction is made in the diagnosis with fibromyalgia. Fourthly, lay down guidelines for the controlling and consulting doctors and provide for the possibility of a partial resumption of work. As regards the first recommendation, the question that the KCE would carry out a study of CVS, I would like to remind you that the KCE, together with the Supreme Health Council, has already drawn up recommendations for developing an adequate therapeutic offer for CVS in 2008. In 2020, the High Health Council reviewed the current knowledge of this disease, its definition, its etiopathogenesis, its diagnostics and recommended intervention. The Hoge Gezondheidsraad has also examined how the provision of care to these patients can be improved in Belgium. The advice of the Supreme Health Council can be consulted on the website of the Public Health Office. Therefore, entrusting the KCE with a new study on CVS does not seem appropriate at the moment, taking into account the current priority list for the KCE. The second recommendation in the resolution is the recording of data by existing CVS diagnostic centres and the realisation of an evaluation of these diagnostic centres. This registration and evaluation was foreseen from the outset in the RIZIV Agreement, which since 2014 regulates the operation and financing of the conflicted, multidisciplinary diagnostic centres for CVS. The evaluation report prepared in 2018 can be consulted on the RIZIV website. This evaluation report has carefully produced positive results. You can read it yourself and draw your own conclusions. The third recommendation is to ensure that the diagnostic thesis is always carried out by a multidisciplinary team and that a sufficient distinction is made in the diagnosis with fibromyalgia. The RIZIV agreement, which since 2014 regulates the operation and funding of the covenanted, multidisciplinary diagnostic centers for CVS, makes a diagnosis possible by a specialised multidisciplinary team. This diagnosis takes into account the fact that the symptoms affecting patients can be caused by a variety of causes and, therefore, the search for possible biomedical explanations for which appropriate treatment can be initiated. Some patients suffering from chronic fatigue syndrome may learn to cope better with their disease by cognitive behavioral therapy. If patients succeed, this can also lead to a milding of their symptoms and better professional integration or reintegration, without a definitive cure. At present, only the UZ Leuven has concluded the RIZIV agreement on the diagnosis and treatment of CVS. That is also the essence of Mrs Jadin's question, particularly why there are no centres in French-speaking Belgium. There just haven't been any candidates. Mr de Caluwé also raised a question on the fourth recommendation of the resolution, in particular on guidelines for the supervisory and advisory doctors and on possibilities for a partial resumption of work. In recent years, a lot of attention has been paid to the question of how consultative doctors can best deal with patients suffering from CVS or other conditions for which no biomedical explanation can be found. The possibilities that have existed for many years for the sick to partially resume work can certainly also be used by CVS patients.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u17	Thank you, Minister, for the answer. Patients with CVS have a series of symptoms for which there are a number of treatments, but the complexity of the disease often suggests that these patients are not really ill, but have psychological problems. That often leads to a negative connotation. However, CVS is considered worldwide to be a serious condition that has far-reaching consequences for the patient. The resolution was discussed in 2015 on the basis of 20,000 to 25,000 patients. That costs the government a lot of money, but even worse is that it also costs the patient a lot of money and especially a lot of suffering. Increasing knowledge of the problem is therefore extremely important. You are right to say that a great deal of responsibility lies with the regions. We will certainly ask the regional colleagues about this. I do welcome the continued attention you have given to this issue.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u18	Mr President, the question is therefore about the special professional title nurse specializing in medical imaging. There are two types of professionals in medical imaging: the nurses medical imaging and the technologist medical imaging. From IFIC's perspective, these functions can be treated quite similarly. That is why they are placed under the same function when making up IFIC, with a dual title:'medical/technologist medical imaging'. In a first maintenance procedure of IFIC, the job description was reviewed in 2018, following several appeals indicating that the job description was not satisfactory. IFIC then organised hearings with stakeholders and the sector, and also carried out a legal review on the basis of the rules in force. IFIC also did that for several other functions. Based on research, it was established in 2021 that few changes appeared necessary for the description of the position of the nurse/technologist. The investigation also did not indicate that it was necessary to reweight the function. The nurse/technologist medical imaging was retained in the same category. However, the professional association of nurses medical imaging has indicated that it wishes to have a separate function for nurses. Therefore, IFIC provides for a new maintenance on the ground in 2025. At present there are 11 special professional qualifications and six special professional qualifications, ten of which are recognition criteria. The specialization of medical imaging is therefore not the only specialization to which no recognition criteria apply. Moreover, the premium introduced in 2010 for the special professional qualifications and professional qualifications, which has since been integrated into IFIC, has been granted only to nurses who are recognised for a title or competence and who actually participate in a recognised department, position or care programme which also provides for this specialisation. The standards of the medical imaging department do not provide for the presence of a nurse specializing in medical imaging. The competence for standards of hospital services falls within the competence of the Communities and the Regions. So I cannot change the issue of standardisation either. That is an important contradiction in answering your question.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u19	Minister, I note that the 2025 timeline is still used for reweighting. However, I have to say that the group in question is always overlooked when it comes to remuneration. The IFIC score, which is now potentially reweighted in 2025, also does not include a premium in terms of their title. However, they have also been on the frontline in the fight against the pandemic. I certainly do not need to convince you that medical imaging is important in making a correct diagnosis. So I can only hope that by 2025 they will finally get the recognition they have been waiting for for a while and to which they are also entitled.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u20	Mr President, I will make only one speech on these two issues. Minister, the Royal Decree of 25 November 2005 contains a number of criteria concerning the training, hygiene and infrastructure required to practise the profession of tattoo artist. Today, however, I am reminded that foreign professionals come to practice in our territory, sometimes without training, without VAT numbers and with questionable inks. Some then leave the territory and return to their country of origin, having a serious impact on consumer health and the profession as a whole. As we discussed earlier in your policy brief, I know that you are concerned about the subject. In a previous oral question I asked you at the end of 2020, you said that the royal decree of 2005 was probably obsolete and deserved an update. You proposed that the Higher Council of Health give an up-to-date global opinion on this topic. Minister, have you received complaints from tattooers' representatives about the illegal practices of some practitioners, especially foreign practitioners? Has a new opinion been requested from the Higher Health Council regarding the profession of tattooers and, if so, when is it expected?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u21	Mr Prévot, as you indicate, the profession of tattooer is regulated at the level of public health by the Royal Decree of 25 November 2005, which contains a number of criteria concerning the training, hygiene and infrastructure required to practise this profession. The implementation of this Order requires that these obligations be made more binding and that enforcement measures be taken. The control of tattoo salons also requires cooperation between several administrations, as it involves checking the quality of the products used, but also, in some cases, compliance with tax or social legislation. Furthermore, the training of professionals is carried out by the federated entities and, since tattooers are not health professionals, the regime applicable to them falls within the competence of the Minister of the Economy and the Secretary of State for Consumer Protection. Before seeking an opinion from the Higher Council of Health, which will certainly be able to identify the points of attention and priorities in terms of risks for the population, which is increasingly numerous to make use of this type of benefit, I wish to put in place an effective procedure for the approval and control of professionals. I look forward to proposals from my administration in this regard in consultation with the various administrations and other levels of authority concerned. My administration has received a number of ad hoc complaints and deals with them diligently and in collaboration with the administration responsible for product control and, where appropriate, with the assistance of the police in relation to tax and social offences. I have been alerted by representatives of tattooers about illegal practices by some practitioners, especially foreigners. But it is very complex to carry out large-scale control policies, because, as you point out, when it comes to foreign professionals coming to our territory sometimes without a VAT number and for a very short period of time, detection is very difficult. That is why, in my view, it is necessary to strengthen existing requirements and to better inform the clients who use these professionals. I will not fail to keep you informed of the progress of this matter.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u22	Minister, thank you for your answer. It's actually one of my marottes. I understand that implementation requires implementing measures. I hear that you are in contact with the sector, but I can tell you that those who work properly are sick of it that we throw reproach on the whole profession because of some who do everything and above all anything, and demand an update of the legislation to avoid these illegal practices. Indeed, when it comes to foreign practitioners returning to their country, the difficulty is twofold. But you have to be able to stop them. Another problem which is also regularly put on the table by these practitioners is that of training. In fact, today, if you wish, you can become a tattooer, Minister, on a visit from the AFSCA. There is a real concern at this level. Practitioners would therefore like to see this aspect addressed as well.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u23	Minister, a worrying study in France has shown that new lung cancer cases have affected women in 34% of cases in 2020, compared to 18% in 2018. There has been a dramatic increase in the number of screenings for lung cancer among women. While the proportion of this disease tends to decrease among men, the opposite phenomenon appears in women. In addition, male smoking has fallen sharply. However, according to the 2017 study by Santé publique France, nearly 24% of women aged 18 to 75 reported smoking every day, compared with 30% of men. Minister, what about the figures in Belgium for lung cancer in women? Are we also aware of the same worrying increase as in France? What are the reasons for this? Is tobacco also the leading cause of lung cancer among women? What strategies can be put in place to limit the number of lung cancers and prevent them from becoming, as in the United States, the most deadly cancer for women?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u24	Mr Rigot, figures on lung cancer among women in Belgium are available in the reports of the Cancer Registry Foundation. It shows that in 2016, it was the third most common cancer in women. It occurs more frequently in older people. The average age of diagnosis in women is 67.7 years. The incidence of lung cancer among women in our country varies greatly from region to region. According to the same Foundation, in recent years, increased chances of survival have accelerated in cancer patients. This trend is particularly noticeable for lung cancer, for which clear progress has been made. The three-year survival of a lung cancer patient increased from 19% in 2004 to 24% in 2013 and then to 29% in 2016. The gain is more significant for small cell lung cancers, which account for 85% of lung cancers. The risk of lung cancer among women increased by approximately 7% between 2003 and 2016. According to the Cancer incidence projections in Belgium 2015-2025 report of the Cancer Registry Foundation, which aims to present forecasts of cancer incidence in Belgium for this period, lung cancer diagnoses, all morphologies combined, are expected to increase by 26%. Among women in particular, the projections predict an increase of almost 58 per cent compared to 12 per cent among men. This increase is expected mainly to affect the oldest population in the 50-74 and 75-year-old age groups. These increases can be explained by the number of women who smoke, an increase that began in the 1960s. Smoking is recognized as a risk factor for lung, bladder, esophagus, neck and head cancer. In addition to smoking, air pollution is also a recognized risk factor. The scientific literature states that 85-90% of lung cancers are caused by tobacco. The total duration of smoking appears to be a greater risk factor than the intensity of smoking. The beginning age also plays a role and it is found that a former smoker remains more exposed than a non-smoker who has never smoked. Passive smoking is also a risk factor whose impact is greater if the exposed person is young. Other risk factors are intense and repeated exposure to substances such as arsenic, asbestos, nickel, chromium, tar, etc. Air pollution - mainly fine particles emitted by diesel engines - slightly increases the risk of lung cancer in people living in the immediate vicinity of major roads. Tobacco control is therefore a priority in the prevention of lung cancer. As announced in my policy note, a series of actions are planned within this framework. Indeed, the policy on the consumption of psychoactive substances, the tobacco of which will be the subject of inter-federal coordination within the framework of the General Drug Policy Unit (CGPD) of the CIM Santé publique. A scientific study will be carried out with the aim of assessing current regulations, the effectiveness of policy measures, interventions in the field of prevention, assistance, including the management of insurance and follow-up care, including risk attention measures. Specific working groups will focus on the implementation of a long-term national strategy with clear objectives to reduce smoking prevalence among young people and among the general population. The objective is a tobacco-free generation by continuing to reduce the attractiveness and accessibility of tobacco, in line with the European Commission's objective of having a tobacco-free generation in the European Union by 2040. Among the measures advanced are the identification of the increase in excise duties on tobacco which is an important measure in this context, the adaptation of existing legislation, as well as the controls carried out by the FPS Public Health, Food Chain Safety and Environment (SPF SPSCAE). Indeed, an adaptation of the legislation on electronic cigarettes, the Royal Decree of 2016, is expected in 2022, as well as an adaptation of the legislation on tobacco products. It's another 2016 order. Legislation on new products proposed for sale as substitutes for tobacco products is also foreseen. As part of our inspections, in addition to regular checks, special attention will be paid to new products entering the market and to compliance with the legal obligation to notify tobacco products and electronic cigarettes.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u25	Minister, thank you. You confirm with your data and your particularly detailed answer that the studies carried out in France result in the same alarming findings in Belgium. As you mentioned, the increase in the number of cases of lung cancer among women is significant, the first cause being smoking. I agree with you absolutely and 2000 % on the need to put all our energy into the fight against tobacco for a tobacco-free future generation. This will certainly involve cooperation with the federated entities, a policy of prevention and also a policy of tightening sanctions on derivatives or tobacco products. There is a real need to increase the fight to put an end to this scourge, which could be greatly reduced if people simply stopped smoking.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u26	Minister, there is a worrying increase in cases of myopia. According to the latest projections, half of the world's population will be myopic in 2050. Genetic and hereditary factors exist: the presence of myopia in one of the parents would double the risk to his children. The environment also seems to play a crucial role in the development and worsening of myopia. The researchers agree that myopia is favored by increased indoor time, lack of exposure to natural light, or over-stretching of vision. We really are facing a public health issue. If half of the world's population becomes myopic within 30 years, it will not without consequences on the costs of our public health. Is there a public health policy on this issue? In Belgium, what are the existing screenings? Are there preventive treatments for children of myopic parents? What are the solutions to prevent or slow the progression of myopia? How can citizens be made more aware of this problem? Several Asian countries have paved the way by setting up centres dedicated exclusively to medical care and research on pathological myopia. What about Belgium? How can such an increase be explained in developed countries?
