ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u1	Debates of the European Parliament Mrs Dierick's 55023193C is converted into a written question.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u20	Ladies and gentlemen, I confirm that Belgium abstained in the vote on the amendment of the conditions for the approval of sulfoxaflor. Belgium's neighbouring countries indicated during the meeting of European experts that they would vote in favour of the Commission's proposal. It is useful to point out that the final vote took place through a written procedure, which does not necessarily reflect the information previously and orally shared. On February 10, the Commission announced the results of the election for the thirteen files examined at the meeting of the Scouff held on January 27 and 28, 2022. Sulfoxaflor was agenda item B.08. No qualified majority has been reached. Fifteen countries finally voted in favour of the Commission proposal, seven voted against and five abstained. According to the positions expressed orally during the round table by the Member States, eight votes against and four abstentions were expected. I held a consultation meeting with Minister Frank Vandenbroucke on this subject on Thursday, January 27. This meeting was followed by an informal inter-cabinets meeting which allowed all the firms concerned to make their comments and recommendations on the subject. You know that the materials handled by the Directorate-General for Animals, Plants and Food of the FPS Public Health are exclusively within my competence. I had decided, after having received the explanations of our experts based on scientific knowledge and risk assessment, to ask the representatives of Belgium to vote against the Commission's proposal. In the absence of consensus, Belgium has therefore abstained in this forum. As for the federated entities, there was no reason to involve them in the discussion and the voting decision, their powers being limited to the use of plant protection products. I do not consider it appropriate to compare countries on this subject. Regulations approving, renewing, withdrawing or adapting the existing conditions for approval of active substances shall apply throughout the Union. National circumstances should not be taken into account at this level. The basic principle is to approve uses which have been considered safe somewhere in the European Union. Where Member States have specific national circumstances which justify a more restricted use of a substance than is possible at European level, they may take this into account at the level of authorisations of plant protection products in their country. In line with my general policy statement of 5 November 2020, it is indeed scientific arguments that supported my administration's position on this dossier at the SCOPAFF meeting. These arguments were, of course, taken into account in the protection of bees and other pollinators. The European Commission has already proposed limiting the use of Sulfoxaflor to permanent greenhouses to better protect bees. However, several Member States, including Belgium, have stressed that by taking certain measures to reduce risks, use in the open air could pose an acceptable risk to bees. This limitation to permanent greenhouses was therefore, in my opinion, seen as stricter than necessary to protect bees and as excessively restrictive with regard to the European agricultural sector. Before validating the Belgian vote proposed by my administration, I have ensured that an adequate level of protection of pollinators has been taken into account, on the basis of scientific data and an analysis of the risks, so that we do not deviate from our strategy in favour of biodiversity. The evaluation of the additional data on the effects on bees that led the Commission to formulate this restriction proposal was carried out on the basis of a guide which was not adopted and which is currently being revised. In addition, this guide to assessing the risk to solitary bees and bumblebees used safety factors on which there is no scientific consensus. The Authority even points out that an acceptable risk to honey bees can be obtained. For the solitary bees and bumblebees, EFSA points out that a conclusion on an acceptable risk is not possible due to a lack of data. The measures allowing safe use for honey bees according to EFSA were developed on the basis of expert opinions based on their scientific knowledge. These measures are also sufficient to ensure safe use for wild bees and bumblebees. Several countries have similar views on the measures needed to ensure safe use.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u21	Mr. Chairman, Minister, there is part of your answer that I have not understood very well. You said that an entity or someone had asked to vote against the proposal. But I didn't hear the words you said right before.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u22	Would you like me to inform you of the result of the vote?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u23	No! You said that someone or an entity had encouraged you to vote against it. I didn't understand who you were talking about.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u24	Madame de Laveleye, if I understood correctly, at the outset, the minister wanted to vote against, but that consensus had not been reached.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u25	In so doing, you abstained, Minister.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u26	I wanted to vote against the proposal. I had a meeting with Mr Vandenbroucke, as provided for in the protocol. Subsequently, there was an intercabinet meeting with all federal ministers. Since a consensus could not be reached in this intercabinet, I abstained, as provided for in the usual regulations. I have therefore taken into account the views of my colleagues, since the position that was defended was different from the position I had originally announced.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u27	Thank you very much for your answer. I will go back to some points. A consultation with the Minister of Health is planned and you say that an intercabinet meeting – an IKW – would have taken place. I understand that this IKW took place at the time when Belgium's vote had already been issued... Either! So it's a mistake. I'll take note of it!
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u28	Obviously, some of my colleagues do not necessarily have a good understanding of the dates and processes were alarmed long before the vote. The IKW took place well before the vote. There was, in fact, a stress in the head of some.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u29	All right! When we talk about a pesticide, there are important impacts on the environment. It seems to me that structural cooperation must be carried out with the Federal Minister for the Environment. It'll be for the annals. Secondly, there is still a government agreement which announces that it will base its positions on two principles: science-based and the precautionary principle. According to the first, it has been widely shown that sulfoxaflor does not have safe use for outdoor bees. Thus, the precautionary principle should have prevailed in the choice of vote. On the other hand, as I mentioned in the previous question, there is also a comment in the government agreement that the federal government will adopt an ambitious approach to reducing chemicals. And yet, we learn that Belgium ranks among the least ambitious countries at European level on the issue of sulfoxaflor. Finally, I find it particularly cynical to develop federal strategies on pollinators, biodiversity, endocrine disruptors, etc. without supporting a reasonable proposal from the Commission which, however, as a reminder, is not always the head of environmental protection. I will conclude by reminding you one last time that we are still facing an unprecedented biodiversity crisis and that all international bodies are sounding the alarm. The Stockholm Resilience Centre has just released a report that says that we have exceeded the global limit related to chemical pollution. On the basis of all this, Mr Minister, I would still like to say to you that, as environmentalists, we cannot at all feel solidarity with such an unambitious vote on the part of Belgium. I hope that it can be reviewed in future negotiations with the Commission.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u30	Minister, I also agree with what Mr de Laveleye says, but I would like to continue with those scientific arguments for a moment. If I understand you correctly, your administration says that the EFSA should not be taken into account. In your opinion, EFSA would use studies on which there is no real scientific consensus, but the European Commission still uses EFSA as the standard. If EFSA says that certain products pose a real risk to the bees, then we are not going to play with them. Then we are not going to allow another scientist who does not want to accept that position to decide on the Belgian position. I see a very large link to the derogations of the neonicotinoids from earlier. This is exactly the same: it is about a service in your administration that believes that an acceptable risk can still be achieved, when it is already five after twelve. There is nothing more as an acceptable risk to bees. With the bees we can take no more risks, because for neonicotinoids and Sulfoxaflor there are alternatives, but not for the bees. It's really 5:12. We cannot tolerate that anymore.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u31	Mr President, Minister, I am asking my question following a recent report by Pano. This showed that one in 20 products containing chicken meat or turkey meat tested in the store have been contaminated with salmonella. In 2021, the BFSA tested 291 products with chicken and turkey meat from the supermarket. Nineteen products were found to be tested positive for salmonella. The increase is due to a type of salmonella that is becoming more and more common, especially salmonella infantis. This variant is increasingly found in chickens, but there are still too few scientific data to estimate whether this type of bacteria makes more people sick. Mr Minister, are there any reasons why the figures for self-checking by farmers and slaughterhouses differ from those of the BFSA? What concrete solutions do you and the BFSA offer to reduce this problem of salmonella? Is it appropriate to strengthen the auto-controls around salmonella in the various links of the chain with additional controls of the BFSA? The same report showed that also the chicken sausage from supermarket chain Aldi tested positive for salmonella. That meat was grown and slaughtered in Poland. The responsibility for the phytosanitary safety of food, in this case chicken meat, lies with the Member State of origin. That's also what the BFSA indicated. The BFSA also pointed out that every food company in Europe must comply with the same rules and that the controls are the responsibility of the Member States. They are then checked by the European Commission. However, the salmonella contamination of Polish chicken meat that is in store with us is also causing a problem of food safety. It is therefore important that this issue is addressed at European level. Minister, how do you estimate the risks of salmonella contamination of imported Polish chicken meat on our public health? Has the BFSA often discovered salmonella-infected meat from other EU Member States in general and Poland in particular? What actions will you take with regard to the Polish authorities, but also with regard to shops in which these products are found?
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u32	Mr President, Minister, Mr De Caluwe has already outlined it very extensively, so I will not repeat all the questions. I have two further questions. In Flanders, very good steps have been taken with the Better Chicken Commitment, with the aim of increasing the welfare of the chickens and raising some standards for the Flemish producers. When one sees this report, I am a little afraid of a two-speed food safety, which imposes high standards on the Flemish chicken farmers, whereas those standards are not so high for processed meat entering through another Member State, which puts our own chicken farmers in a difficult position. How can we ensure that we do not have these two speeds via the BFSA? If I have understood the Panoreportage correctly, there are significantly more reports of salmonella contamination in processed meat coming from Poland than from the other Member States. Can the BFSA anticipate this by doing even more checks, specifically for meat from Member States where there are disproportionately many infections? If there were effective so many infections, can we not simply decide to stop imports from those countries? That might put our Flemish chicken farmers in a more favourable position with that Better Chicken Commitment.
ParlaMint-BE_2022-02-14-voorlopig-55-commissie-ic695x.u33	Mr President, Mr De Caluwe, Mrs Creemers, the producer is responsible for the safety of his products, as laid down in European legislation. The poultry sector certainly accepts its responsibility in the context of salmonella. Auto-control ensures the safety of the food chain at different levels, but this is the responsibility of the operator and cannot therefore be taken over by the government. Since 2007, adapted and efficient measures have been developed, both at national and European level, for the detection and control of salmonella, in order to reduce its occurrence and the risk to public health. No more analyses are carried out in any sector and for no zoonoses than for salmonella in poultry. European legislation lays down a process hygiene criterion for salmonella for roast chickens and turkeys. The monitoring of compliance with the process hygiene criterion is also carried out by the operators of the slaughterhouses in the context of the auto-checking process. As regards the sampling of primary production, a difference is also seen in other EU Member States in the percentage of positives between the samples taken by the competent authorities and the samples taken by poultry farmers. There are several reasons for this. The timing and quality of sampling have an influence, as well as the one who takes the samples, professional versus poultry holder. In addition, 10% of the official samples are taken on holdings which have achieved positive salmonella enteritidis or salmonella typhimurium in the last 12 months. Due to possible persistent presence, these studies are more often positive. At the slaughterhouse level, samples shall be taken by the BFSA each year to check the process hygiene criteria for salmonella spp. The slaughterhouse operators have been reporting their salmonella results through the Beltrace application since 1 January 2020. Those results are not significantly different. Specific measures are already being taken according to the species category at the poultry farmer level. At the slaughterhouse level, checks are carried out in accordance with EU legislation in the context of car checks to ensure compliance with process hygiene and food safety criteria. This also applies to processed poultry meat products. In failing to comply with these criteria, companies must take corrective measures and, during the BFSA's review, check whether those measures are being taken. If problems are identified repeatedly, the BFSA will monitor more closely and impose additional measures, in accordance with EU rules. However, the zero risk does not exist. Even with the best systems, contamination may occur. The BFSA oversees the car control systems and also takes samples in all links of the chain as part of the control programme. It can therefore be concluded that there are already far-reaching control mechanisms and rules at different levels for the control of salmonella. No additional measures are needed at the moment. Salmonella serotypes which are transmissible to humans are not considered animal diseases, since they do not make the animals sick, but they do become zoonoses. So, Mrs Dierick, it makes sense that salmonella was not mentioned in the answer to your previous question on animal disease. A brief overview of the results of the Belgian monitoring can be found on the website of the BFSA. Since not all serotypes are zoonotic salmonella equally pathogenic or virulent, I can tell you that the presence of the main serotypes for humans is between 1.3 and 3.6 %, depending on the type of poultry. There is no problematic circulation and salmonella is isolated. But compared to the countries around us, we are at the same level. Until now no food outbreaks in Belgium could be related to poultry meat from Poland. Since poultry meat is well cooked before it is consumed, the food safety risk is limited. In 2021, 67 RASFF messages were prepared by Member States following the detection of salmonella in poultry meat and derived products. Of these, 36 products came from Poland. Belgium has itself made four RASFF notifications concerning poultry products from Poland. Following the disproportionate number of RASFF messages for salmonella contamination of Polish meat, an action plan is being implemented by Poland at the request of the European Commission. If this proves necessary, an audit will also be carried out by the European Commission services. Salmonella controls are harmonised in the EU and there is therefore a level playing field for all operators within the EU. It is therefore not expected that one Member State will carry out targeted checks on products produced in another Member State. Each Member State has a responsibility within Europe to ensure food safety on its territory. Non-conformitys which pose a risk to public health shall be communicated to the competent authorities of the different Member States and communication through the RASFF system. The necessary measures shall be taken. The handling of the files shall be carried out by the competent departments, without interference from the political level. Aldi, like all operators in the food chain, was and will be subject to the BFSA's control according to established frequencies. As a result of the identified contaminations, Aldi met the requirements regarding the reporting obligation to the BFSA. Appropriate measures were taken on the products concerned, including withdrawal from the market. Mr President, I also answered Mrs Dierick's question on the same subject.
