ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u1	Questions Nos. 55029219C, 55029260C, 55029261C and 55029262C by Ms. Daems and Nos. 55029299C, 55029330C, 55029331C and 55029391C by Mr. Senesael were deferred.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u13	We have had some bad news today about the Amazon forest, Madam Secretary. Global deforestation remains a regrettable evolution and therefore an important issue. Apparently, the European Environment Council also reached agreement on a European proposal for a regulation on deforestation-free products. All importers should verify that a defined list of products, forests, has been harvested. We are talking about palm oil, beef and soya, coffee, cocoa and carpentry. A number of derived products, such as leather, chocolate and furniture, are also covered. Non-EU countries will be classified according to a risk scale: the higher the risk, the heavier the requirements for traders will be. However, according to a number of environmental movements, it is not enough, Madam Secretary. It refers to a number of ecosystems that are left unprotected such as grasslands, wetlands and the Brazilian cerrado. Environmental organisations are also disappointed about the definition of deforestation or forest degradation. The proposal for a regulation was apparently amended. The definition used in the agreement would only apply to the conversion of primary forests into plantation forests. This would leave the vast majority of EU forests unprotected and maintain many harmful forestry practices. It is concluded that this could lead to the EU market remaining open to products such as wood and paper originating from destroyed forests, including primeval forests, before they are formally converted into tree plantations or agricultural land. Could you clarify the agreement on the Commission's proposal for a European regulation? How do you respond to the criticism of a number of environmental movements?
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u14	Mr Ravyts, not only on the important and large climate package, the Environment Council took important steps forward on 28 June, but also on the proposal for a regulation on deforestation-free supply chains. The European Commission submitted that Regulation in November 2021, after which it was discussed in an ad hoc expert working group from January. I am pleased that the proposal for a regulation was a priority for the French Presidency. It is important that a legally binding framework is quickly established so that some key supply chains susceptible to deforestation become deforestation-free as soon as possible. The text of the regulation has become stronger in many respects, also thanks to our country's ambitious position. Belgium has taken the lead in the negotiations, together with the other countries of the Amsterdam Declaration Partnership, in making the text as ambitious as possible. The Belgian experts have ensured that the text has improved on several points. The French Presidency has therefore submitted to the Environment Council a proposal for a general approach or general approach. All Member States supported the adoption of that general approach and took note of the balanced and ambitious outcome. Several Member States, including Belgium, stressed at the Environment Council meeting that the adoption of the general approach is only the first step in the fight against deforestation and forest degradation. They looked forward to the forthcoming trialogues under the Czech Presidency and expressed the wish to conclude them as soon as possible. The Environment Council unanimously approved the general approach proposed by the French Presidency. Like many of my colleagues, I welcome the fact that we now have a text that is ambitious, effective, immediately applicable and compatible with WTO rules and that negotiations with the European Parliament can begin quickly. I received a delegation from the environmental movement, the week before the Environment Council meeting in my cabinet, to listen to her and to understand her concerns. Unfortunately, no agreement was reached on some of its concerns during the intra-Belgian consultations, because a number of fellow ministers did not agree with the proposals on the table. Nevertheless, the overall ambitious approach would not have been achieved without the help and support of the many citizens and different stakeholders, both at national and international level. I am truly grateful for all the input and proposals that Belgian experts have received from various quarters and from different stakeholders. More than 1 million Europeans demanded, through the Together4Forests campaign, a strong new EU law to combat imported deforestation. That's a strong signal coming from society. I welcome the call of so many citizens, organisations and businesses to join forces in the fight against deforestation.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u15	Indeed, there is a need for a legally binding framework to avoid deforestation for supply chains. So the general orientation paper didn't really come too soon. I take note of the fact that once again no agreement could be reached at the level of intra-Belgian consultation. This must have to do with a number of specific aspects of Flemish geography, I suppose. We will light our light on this in the Flemish Parliament.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u16	Madam Minister, at the NATO Summit in Madrid there was a great deal of attention to the defence budgets of different countries and to the fact that NATO is being extended to include Finland and Sweden. A little less attention was paid to the new Strategic Concept of NATO, but that is not insignificant either. After all, NATO says what it intends to do in the years to come, what it intends to do and what the major new threats are for it. I note that there too, as in our national strategic plan, it is said that climate warming is the biggest threat we have to face. It is a good thing that NATO is saying this and wants to turn it into a strategy. She also indicates that she wants to lower the alliance's ecological footprint. There were also statements on the strategic-military aspect of the Arctic. It is said that the potential is that there is a lot of precious raw materials there because of the melting ice. Europe's position is well known, and Europe wants a moratorium on it. This was also discussed at that summit in Madrid. Madam Secretary, how are you looking at this new Strategic Concept of NATO? In what way can Belgium work on this? Of course, I'm going to ask this question to your colleague from the Defense Department. However, there is also an important impact on your policy area. That is why I am asking you this question.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u17	Mr Verduyckt, at Ministries of Defence abroad, in the United States and in the United Kingdom, incorporating the climate crisis as a trend in their strategic analysis and subsequently in their programme is not new. Since the beginning of this century, this has been on their agenda. The climate change situation has not improved, on the contrary. It is therefore not surprising that NATO also pays great attention to this in the new Strategic Concept in 2022. I am curious whether people's representatives who dream of... on the Belgian coast also think that NATO is creating fear. May I also point out that during the debate in Belgium on the level of defence budget, I took the view that security is not just a question of investing in Defence, but also in food and energy security, adaptation to climate change, dealing with resource scarcity and risk analysis of our infrastructures, investments and industries. Our safety deserves more than 2 % of our GNP. Significant investments in a just transition are needed. These are all themes that are also mentioned in NATO's Strategic Concept 2022. My position is not new but runs like a thread through my policy. Last year, the government agreed to my proposal to create an OCAD climate that the National Security Council recommends. The operationalisation is under way to launch a programme for a just commodity-resilient society this year. This programme should consist of a new cell of knowledge at the Federal Institute for Sustainable Development, the funding and supervision of scientific research at BELSPO and the setting up of a subsidy programme for companies, both focusing on design for scarcity. I will not answer your second and third questions at this time. NATO's Strategic Concept 2022 was adopted at the Madrid Summit at the end of last week. Your question came in yesterday and I will ask my administration to carry out an analysis. In the meantime, do not hesitate to ask your questions, but as you have said, you can also ask my colleague, the Minister of Defence.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u18	Madam Minister, when we discussed the security situation in our country in the Committee on Defence, I noticed that the professors and experts who are working on it are increasingly linking to climate change, while some colleagues do not yet want or dare to see this link. Defense will also have to change as an organization. The increased budget will help. This has to do with helping the nation and your plans for that OCAD, because we really need to be able to intervene in the event of a climate disaster. It also has to do with how we look at security in the world. I am truly convinced that people who lose everything in a climate disaster are people who have nothing left to lose and are very susceptible to extremist groups. There will also be problems in this area. It also has to do with the way in which we in the world deal with our material and the like in places where we see the consequences of global warming. Defence will have to adapt to this as an organisation and, finally, will also have to reduce its ecological footprint. I have already asked many questions about this to the Minister of Defence. I look forward to the analysis announced and will also ask your colleague, Madam Secretary.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u19	Madam Secretary, I am surprised that I am the only one to put a question about this ruling by the U.S. Supreme Court. When the U.S. Supreme Court ruled on abortion rights in the United States, our Parliament was just not on fire. Many colleagues were right to shout murder and fire when it came to the rights of many American women who were harmed by that ruling. The ruling of the same Supreme Court on climate policy in the US concerns us all and has an effect on all of us. The ruling was that EPA, the environmental agency of the U.S. federal government, has no right to regulate the emissions of power plants in the U.S. states. That statement is a catastrophe for American climate policy and, consequently, for the whole world. I will not go into too much detail about the statement itself, but I read, for example, that Hans Bruyninckx, director of the European Environment Agency, says that apart from the fact that the US will not be able to do climate policy properly, this also has an impact on many other countries in the world. They might ask why they should make efforts if the United States does not comply with the international climate agreements. It is sometimes difficult in this House to see what is happening in other countries, but this has an impact on international climate policy. How do you look at that? Do you think there is a way at our level or at European level to make it clear to the United States that this really is a problem?
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u20	Mr Verduyckt, on the first day of his term of office, President Biden decided to re-enter the Paris climate agreement. He stated that he wanted to reduce greenhouse gas emissions in the United States by 50% to 52% by 2030 compared to 2005. That was a very important announcement, because it brought the world 10 percent closer to the climate objectives agreed in Paris. Between word and deed, however, is the relentless reality. It is now important that President Biden and his successors effectively halve greenhouse gas emissions this decade. The latest figures available date from 2020. By 2020, emissions from all sectors in the US were around 23% below 2005 levels and those from the electricity sector as much as 40%. Due to the covide epidemic, emissions were naturally lower than normal. From the figures we learn that there is still a long way to go for the US to get from -23 % to -50 % in 9 years time. That brings us to the judgment in Case No. 20-1530 of the U.S. Supreme Court: West Virginia v. Environmental Protection Agency. The question raised by the judges in the new case was whether the Clean Air Act allowed the environmental agency EPA to issue substantial regulations on electricity production. More generally, the Court was asked to examine whether Congress should speak particularly clearly when it authorised executive agencies to address important political and economic issues. The Court concluded 6 to 3 that the Agency cannot impose general rules at the same time on all power plants that reduce greenhouse gas emissions. That power belongs to Congress according to the Supreme Court. Specifically, EPA could no longer develop an ETS system as we know it in Europe in order to reduce emissions from all power plants in a carbon-efficient way. It may still take action with environmental rules for individual plants. The decision is certainly a blow to the climate policy of the US. It is not so much because of its immediate impact that EPA's regulations for power plants were not active yet, but because the road to rapid regulation of emissions is now closed. Now we need to take the more difficult road of regulation through the states or the Congress, where the lobby of the fossil sector is weighing more heavily. On the substance of the matter, whether the environmental agency could act within the Clean Air Act with general regulation, there has been a legal debate for decades. However, the overall trend in the energy sector in the United States is not as different as in the European Union. Hardly any more coal-fired power stations. In 2021, more than USD 100 billion was invested in renewable energy and clean technology, according to Bloomberg New Energy Finance the highest amount ever. For example, 37 gigawatts of solar and wind power were added. This is partly because more and more large companies only want to reduce renewable energy through so-called clean power purchase agreements. The general trend is good, but regulation can bring about the necessary acceleration. That is the focus of this debate.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u21	The Supreme Court's ruling is indeed difficult to assess. What I do note is that the stalemate in American politics makes it difficult to make major decisions there. Of course, that doesn't make much sense. The United States is one of the largest emission countries in the world today. On the other hand, they have always been a leader and we have always looked at them with great eyes. However, when I look today at what is happening in the areas of abortion rights, arms rights and climate rights, because that has an impact on us, I feel a great deal of misunderstanding. You have already indicated in your reply that the companies themselves are taking responsibility there, while politics may fail. That is, of course, a very sad observation. I look forward with you to the impact that will have on the international climate negotiations at COP27 in Egypt. I'm not exactly happy with the evolution in that country with you.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u22	Madam Minister, I would like to share with you a quote from Dutch-speaking culture. Willem Elsschot wrote 100 years ago: "Between dream and deed laws stand in the way and practical objections." If he wrote that today, he would add "and the courts." I still have questions about the climate impact of the war and about the arms race, but I will ask them next time.
ParlaMint-BE_2022-07-05-voorlopig-55-commissie-ic845x.u23	Thank you for your presence and close the sitting. See you soon!
