ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u1	Colleagues, our agenda normally starts with a topical debate on judicial expertise.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u20	Madam Chair, Minister, sometimes a strangulation is made up by hanging or a murder becomes an accident because we want to hide it. These are among many ways of trying to escape justice, and some unfortunately resort to it. Despite the quality of our police officers, this kind of trick can only be thwarted by forensic doctors in the context of judicial expertise and saying that, I am just pushing an open door as the Council of Europe recommends that at least 10% of deaths be autopsied in order to fight crime at best. Despite this common-sense recommendation, Belgium would be only 1% or 2% at best. Why? First of all, it must be recognized that the mentality in our country is not at a systematic autopsy, as is the case in Germany, where 12% of the deceased are self-employed, and this figure may even rise to 50% in Scandinavian countries. Secondly, and this is more worrying, it is the lack of resources of the medical and legal institutes. For example, the Liège Institute suffers from arrears of payment from the Minister of Justice. The lack is such that if an indispensable machine for experts fails, it cannot be replaced. This lack of resources has not only short-term consequences. In the long term, there is a risk of a lack of arms in the expert sector. By seeing the current working conditions, students from their amphitheatres already decide to move to other fields of medicine. According to a study conducted by Dr. Jean-Pol Beauthier and Professor Wim Van de Voorde, at least 75 crimes would escape the attention of the judiciary for lack of legal expertise. In Belgium, the perfect crime exists only because of perhaps the weakness of the public authorities and this is obviously intolerable! In 2012, however, Professor Jacques Brochi, a valuable Liberal and honorary president of our Senate, introduced a bill providing for a more systematic presence of an expert when a death may seem suspicious. This excellent bill has never been passed, but it still exists. So what resources can be allocated to relieve medical and legal institutions of their financial problems? Are you considering a campaign to recruit medical experts for the Department of Justice as you have done for the recruitment of magistrates and criminologists, for example? Are you prepared to translate the post-mortem bill into a bill and bring it before the government and Parliament?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u21	Madam President, ladies and gentlemen, thank you for your questions. I'll give you a consolidated answer. First of all, this problem does not date back to yesterday. Already in 2013, at a symposium on forensic medicine organized by the Royal Society of Forensic Medicine of Belgium, it was pointed out that about 70 suspicious deaths go unnoticed each year. Mrs Marghem referred in that connection to a bill of that time. First of all, I would like to point out that when a death occurs, it is the task of the first doctor present, often a house doctor, to assess whether it is a non-natural and therefore a suspicious death. When the assessment is affirmative, the parquet will be contacted and a stinging will be done by the laboratory for scientific and technical police and the law healer. The lab can do an initial trace examination at the possible scene of the crime, and the law doctor can already perform a first and superficial external examination of the body. In consultation and after consultation with the law doctor and the lab, the court will then determine whether further investigation is appropriate. The most obvious investigation to determine the correct cause of death is, of course, an autopsy, an internal review. Unfortunately, the so-called black figure of undetected murders is largely due to an erroneous initial assessment of death and not to budgetary reasons. In the procedure I have just described, there is no budgetary control, either by the general practitioner or by the prosecutor. I refer to the circular 1/2016 of the Attorney General of Antwerp on the investigation and management of the place of the offence in case of a violent or serious offence. This circular contains specific instructions at the level of the jurisdiction to conduct an in-depth investigation in case of suspicious death. Of course, the instructions of justice do not extend to general practitioners. In fact, the intention at the time was to extend the application of these directives from the level of jurisdiction to the national level in 2015, but this was never done. Perhaps it is time to review this national implementation. It is true, and that is a problem that I do not want to avoid, that there have been fewer and fewer law doctors in recent years. There are many reasons for this, such as the fact that the profession has irregular hours and requires long training, with an education of no less than 11 years, but of course I am also aware of the problem of remuneration and late payment periods. Colleagues, there is no specific budget allocated to forensic experts. There is only one general budget for legal costs in criminal cases, which is used for all costs incurred by experts in criminal cases, including forensic experts. The total budget for justice costs is EUR 103 million for this year. For the record, we do not refuse to pay for such investigations because of a lack of resources. If there are additional costs, we will also pay them. In order to make the position of forensic expert more attractive, I am examining how we could adjust the rates in addition to the existing annual indexation. As regards the late payments, to which Mr Vajda, for example, is asking, I have already mentioned in the Committee on Justice that this is one of my most important to dos for 2022. The reality is that today only 30% of the performance earners are paid within 30 days. By the end of this year, that should be remarkably better. In order to achieve this, we are launching the Just Invoice application this summer, so that the cost states of the law doctors have a better and faster follow-up. The whole end-to-end process of court fees is currently being mapped with a view to full digital power. I also read that this is perceived as an unnecessary administrative burden, but the new procedure was based on the principles of budgetary and accounting processes as described in the Act of 22 May 2003, which of course also applies to justice and is controlled by the Court of Auditors. Currently, some 30 invoices, for an amount of around EUR 20 000, are known in the accounting system and pending payment. The vast majority of these invoices consist of recent invoices dating from March and April 2022. These are statements of costs that have been submitted to the various tax offices. I would like to give a good example of the provinces of Limburg and West Flanders, where the cost statement paid to the competent authority is paid on average within seven days. There are very large differences between the valuation firms. Mrs Marghem, as far as recruitment is concerned, it must be borne in mind that the SPF Justice does not recruit forensic experts as it does for magistrates. A forensic expert always acts as an independent judicial expert or on behalf of an independent body of the State, such as a hospital. In order to carry out forensic autopsy, forensic experts must be registered in the national register of forensic experts and sworn translators and interpreters. In order to be entered in the registers of judicial experts as forensic experts, the doctors concerned must prove that they have the necessary training and legal knowledge. There are currently 40 doctors registered in the national registry who are specialized in the field of forensic medicine, and particularly in autopsy. Ladies and gentlemen, these are the elements of the answer I can give you as Minister of Justice. I am aware of the importance of adequate and well-educated law doctors and of good laboratories for trace and other research at crime scenes. What I know is that to eliminate this black figure, we need not only forensic doctors, but also well-trained general practitioners, capable of detecting possible signs of non-natural death. I am prepared to discuss the initiatives of this hemisphere with my colleague from Public Health.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u22	Minister, I understand what you are saying in terms of late payment. It appears that delays that existed at some point do not exist to date. This is a good thing and I will check in order to adapt the premises of my reasoning to the reality of today. Of course, you don't say when they're paid. You're talking about fairly recent bills, but you don't know when they'll be paid. Second, the term "recruit" was not used in the symbolic sense of saying that a boss recruits employees. It is obvious that these people practice a liberal profession independently and must remain in that status. It is voluntary or not – obviously, the profession of judicial expert does not attract much – whether they register in this national register. That is the problem. So do not see in the term "recruiting", a misconception of the organisation as it stands today and always, but rather a desire to encourage you to make the profession attractive, to make it interesting to young medical graduates who, therefore, could render a service to justice by sharing their skills acquired during their studies. With respect to the bill, I did not hear that you wanted to take it and turn it into a bill. I will therefore allow myself to resubmit it, which will allow us, when we consider the priority bills, to debate them in committee in the near future.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u23	Minister, I am pleased that you stress the importance of well-educated lawmakers. It is also important to encourage young doctors to choose this specialization, although frankly I was shocked when you said that the course lasts eleven years. There must be adequate fees for this, otherwise few young doctors will choose to train a law doctor, as they earn a decent living in other specializations. This problem is indeed not new and has been dragging on for years. In the media we hear that according to specialists about 15% of the so-called naturally declared deaths that would not actually be, so it is a problem that needs to be addressed.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u24	Minister, thank you for your answers.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u25	Thank you to the Minister for his answers. It is always said – and this becomes a habit – that a minister inherits the situation of his predecessor and that he will also leave a legacy to his successor. As far as payment arrears are concerned, I have taken note of the ongoing efforts. However, I note that there is no specific budget. Perhaps a subsection should be added to the Justice budget to clarify that parts of the budget should be devoted to these independent collaborators of justice. Yesterday, we spoke in the Justice Committee about the attractiveness of the office of magistrate. It's a construction site you're taking with you. Today, perhaps we must start a new project on the attractiveness of the position of forensic expert and criminal expert. I know that you are not sluggish in your efforts and that you are preparing a lot of work in this Parliament. I wish you good luck in this one too.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u26	Debates of the European Parliament 55026898C by Mrs Matz will be converted into a written question.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u27	Minister, in February, the mayor of Antwerp was forced to take a decision setting the maximum capacity for the Antwerp detention centre. Although the alarm bell was often sound and strikes had broken out because of the overpopulation, the problem was not resolved. Following the advice of the security services and health services, the mayor decided that no more than 680 prisoners could be detained from 1 May and no more than 660 prisoners from 1 July. Even if there is still an overpopulation of 50%, it should allow prison staff to work in safe conditions. On 9 March I already asked you a question, Minister, and you replied to me that there were 819 prisoners at that time, a number which would fall by 39 by 1 May. Can you tell me how many prisoners are currently staying in the arrest house on the Begijnenstraat in Antwerp? Has the number decreased by now? How did you achieve that? Should the number not have been reduced, do you have a plan to achieve this goal and reduce the number of prisoners to 680 and then 660 by 1 July?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u28	In the Antwerp prison there are currently 643 male and 44 female prisoners, i.e. a total of 7 prisoners above the norm. The decrease is due to transfers from the prison from Antwerp to other prisons. As I have explained on several occasions, several prisons have temporarily added bunk beds to accommodate the extra prisoners. The expansion of the capacity of the prisons, in line with the master plan, will have a beneficial impact, including on the prison of Antwerp. In addition, legal adjustments are being prepared to facilitate entry and exit. After the opening of the prisons of Haren and Dendermonde, which provide an additional capacity of 382 places, there is also the temporary capacity expansion of 350 places by keeping part of the Sint-Gillis prison and the old prison of Dendermonde open longer. The figures are constantly being followed up and we are doing our utmost to reach the figure of 680. I believe there were 701 inmates last night and 687 today. As has been said, we follow the situation closely every day.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u29	Thank you for your answer. That is indeed a nice reduction in one day. If that were the case every day, it would be a good thing, but unfortunately that is not the case. You refer to the prisons of Haren and Dendermonde, and the new prisons that are about to open, but that is not, of course, by 1 July. So you can expect a new demand on the situation around 1 July.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u30	I have already asked you questions on this subject, Minister. The drug-use area that people want to open in Brussels will ensure that people in the area are carrying drugs in their pockets. That's actually illegal. The public prosecutor would have issued a letter stating that there would be no prosecution for any infringement of the drug law in the use area and the area of tolerance surrounding it. You know that this is strictly against the legislation in force, but it is not the case with a letter. When I asked you that question earlier, you referred me to the court because it concerns local guidelines. I've turned to the King's Attorney, but I haven't received an answer from the court. However, as a representative of the people, I think it is important to keep abreast of the policy of persecution. I believe that I should also be able to exercise my right of control here, especially when there is a deviation from existing legislation by means of transmissive letters. That's what happens here with that drug-use facility. That is why I ask you to deliver this letter to Parliament.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u31	Colleague, criminal policy is described primarily in the various circulars of the College of Attorneys General, available on the website of the Public Prosecutor's Office. So those letters are freely accessible. The local guidelines issued by local prosecutors concern the specific arrangements between the local prosecutor and the police services of the district. These Directives shall not be published. To give you another example, the letter from the Antwerp Public Prosecutor's Office of September 2013 on tackling drug users and drug owners in public space is not published either. As a result of your question, I have explicitly turned to the competent Attorney General. He confirmed to me that the non-publication of such letters implies that they are not communicated to Parliament. The fact that I cannot deliver this letter to you is therefore not a question of disrespect for your work as a Member of Parliament, but of being straightforward in the context of criminal policy, as determined by the prosecution.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u32	I am particularly sorry, Minister. The comparison with Antwerp is not entirely valid. In Antwerp there has been a gap in the legislation, which actually makes it possible. This is a letter which is contrary to the law. We are the legislature, you belong to the executive and we also have the judiciary. So there is a separation of powers. However, I think that we should be able to check the legislation. In fact, we are very explicitly deviating from the legislation that has been made and we must not know in what way. So we are now walking around with drugs, we are using drugs, which is really not allowed, but we are dealing with them by means of letters of conversion. I don't think that's okay and I'm very sorry. I note that it's not unwillingness from your cabinet, but I don't think it's possible. It is totally wrong to believe that legislation which has been adopted here even a while ago can change without the legislator being able to see what happens to it. I believe that this goes against the right of control we have. That's a very bad practice.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u33	Minister, in the event of an incident, especially in vice cases, we are all outraged, in this house, but also in the newspapers. The newspapers write more easily about this than the fact that punishment is suspended. A vice fact whose punishment is not high enough will get a title on the front page. In vice facts and rapes, the things that come up are actually just a small number of effective rapes. Very often, these cases are not reported. There is a very large dark number, with 9 declarations a day representing only 10% of the actual victims who dare to go to the police. That means about 90 rapes a day would happen. That is almost another kind of epidemic and we cannot find a solution. During the Easter holidays, one of these cases came up again. A man who was sentenced to 9 years in prison in 2010 served his sentence in full, which is already handsome, and was released without conditions. A year and a half after his release, he was once again suspected of similar facts. We cannot judge that specific dossier or take a stand on it. The N-VA is in favour of the posting of serious morals, even after the end of the sentence. So are you in your announcements, but not in your actions. After all, our amendments, even adapted to what you said in committee, are still being voted out by this Chamber. There is a solution in the form of posting to follow up on such a person. This is where the newspapers said it's impossible for this man not to be followed. Even the lawyers called this. At that time, you easily replied that you should not say anything through the separation of powers. However, you could have said that there are solutions to this and that you would be working on it as a minister. Counselor Walter Damen, the victim's lawyer, has suggested that the criminal court should be given the power to appoint a college of psychiatrists. That can assess the likelihood of recurrence. If it is large, there could possibly be an internment. That is a very different and certainly not an obvious slope. I am therefore curious to hear your views on this suggestion, Minister.
