ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u1	Mr Demon apologized.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u12	Mr President, Madam Minister, my colleague is talking about the myth of Sisyphe and the hill he wants to climb with his rock.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u13	It's just a metaphor.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u14	Yes, absolutely. I feel like my hill is even higher because I've been working on it for six years. For the past six years, the problem has not been resolved. On February 3, I was questioning you in plenary session. You were replying to me in the voice of your colleague Van Peteghem that this decision, which you attributed to your administration, was inappropriate. You added that you were going to have this decision overturned. It's four months later. Since then, various investigations have confirmed Belgium's role as one of the nerve centres for illegal trafficking in antiquities in Europe. In this regard, I invite you to read the excellent investigation by journalist Frédéric Loore in the Paris Match of 7 April, which explains in particular the smuggling routes between Lebanon and Belgium in respect of works stoned in favour of the Arab spring and which finance the armed groups involved in the conflicts that have been bloodshed in the Middle East for a decade. According to my information this cell Art and Antiquities, that your predecessor M. De Crem had already promised to restore and strengthen in the light of our international obligations, is still not restored. No stolen items are registered in the ARTIST database anymore and therefore no INTERPOL reports can be issued for a stolen Belgian art object. One example among others: after the floods of last year, the diocese of Liège noticed that several religious objects had disappeared from the churches of the disaster areas. These objects are no longer recorded in this database and therefore no means of tracing are possible. The so-called artcrime phenomenon (the traffic in works of art) is no longer followed in any way by a central service, not even in a strategic way. This is a serious failure of the State. Where are you, Madam Minister, in rebuilding a centralized capacity to combat this form of crime that thrives in Belgium, fuels mafia and wars and destroys heritage treasures in our country and abroad? Since when is the ARTIST database no longer completed? Does the new National Security Plan (NSP) provide that the fight against crime related to the trafficking of works of art will be well carried out by the Federal Judicial Police Directorate?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u15	Madam Secretary, I will be less emotional than my two predecessors. In February 2022 it became known that the cell Art and Antiques would no longer be manned. This is a consequence of the fact that your predecessor, then Minister Jambon, dismantled the cell and that the last police officer involved in art crime retired. The ARTIST database, in which all stolen artifacts were processed, is no longer completed. Before the cell was phased out, 6 to 7 % of the cases were solved, while this is not happening anymore. Internationally, too, our country suffers from this. Artcriminals are currently being given free rein in Belgium. We cannot allow our country to become the turntable of the international art heist whether or not it already is. Are there any plans to rebuild the Art and Antiques cell? Has there been a vacancy for that yet? If so, has it been filled out yet? Will the ARTIST database be updated and kept up-to-date? I hear you've asked the Federal Police Commissioner General to review the suspension of the cell. Is the Commissioner-General prepared to do so and has an evaluation been carried out? In 2020, your predecessor Pieter De Crem announced that he will resurrect the cell of Art and Antiques. Is that what you intend to do?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u16	Mr President, ladies and gentlemen, first of all, I should like to point out that the operational process, particularly the judicial process, concerning the matter remains carried out by both the local and the federal police services. The same applies to the exchange of information at international level. The ARTIST database has not been completed since 1 January, but the facts relating to art and antiquities are still recorded in the general national database. As described in the National Security Plan 2022-2025, theft of works of art and antiques is, in principle, part of the basic police function. In other words, it is the local police that registers complaints, organizes neighbourhood investigations, conducts information or judicial instructions. The Federal Judicial Police may make information or judicial instructions at the supra-local level for groups of organized and itinerant authors, depending on the decision of the Public Prosecutor's Office. Since the letter I sent to the Commissioner General, I have consistently called for a definitive solution within the Federal Judicial Police, although it is rather a matter of judicial missions. The federal judicial police have now identified staff who have the qualifications to be part of the Arts and Antiques cell. I asked that a statutory solution be found immediately, so that a specialised staff member will be seconded in the next few days to re-enable the Art and Antiques cell, without prejudice to the ongoing efforts that are being made today, such as the inclusion in the ANG. That person will be assisted by another staff member, who will be responsible for the technical management of the database in addition to the current regular tasks. In addition, it is currently being considered to strengthen the cell with another member with specialized skills coming from another component of the federal police.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u17	Minister, let's say it's a response that's kind of sibyllin, as they say. You tell us that we are able to fulfill the missions concerning the traffic of works of art. But in fact, it seems to me very unbelievable. When one does not have a national respondent, when one entrusts research and investigation work to local police that do not have expertise in the field, when one cannot put it back in a national database, when one cannot effectively dialogue with the international community, it is very difficult to believe that there are no difficulties. You have admitted that the ARTIST database has not been completed since 1 January. I note, as good news, that you want to rebuild this team, with three people. I hope that will be done very quickly. A priori, it's an interesting announcement. When can this team be set up and operational? For now, it's more like storing on the bookcase of promises. We have received many for years concerning this Art and Antiquities cell. I take note, and I'll come back to you. I remember Mr. De Crem had said that three people were clearly insufficient in relation to the importance of matter. I hope this cell will be operational again as soon as possible. One person is there but no longer works on these files, which does not bode well for the service's interest in these issues.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u18	Madam Minister, I understand that there will be more resources and postings and so on. I therefore do not understand the reactions of the two previous speakers. I heard your answer in French. My French is quite good and it was very clear. So I don't understand why there's such a disappointment now that you're working on this. Maybe it's me. I look forward to further growth and complementing it with the necessary people. There have never been more than two or three people in it either. So we cannot expect you to suddenly put ten people there. There is a growth path and I am confident that this path of growth will be followed.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u19	Debates of the European Parliament 55027870C and 55027872C by Mrs Chanson are converted into a written question.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u20	Madam Minister, during an interim event of the States General of the Police, the SEGPOL, on 12 May, a number of interim recommendations were made for a modern and dynamic police operation. You participated as a minister, along with me and a number of other colleagues from our committee. Under the umbrella of this SEGPOL, the non-profit organisations Circle of Police Leadership Belgium, the Centre for Police and Security and the Centre d'études sur la Police, the Integrated Police and the Home Office have reflected in a number of working groups over the past year on the current and future challenges for the police. You yourself attach great importance to this SEGPOL. Who consolidates or coordinates the various activities of all these enthusiastic, involved organisations and people in the field? Do you take the lead in this? What role does your cabinet play in this? A number of reflections have been made, including by former Commissioner-General Koekelbergh and Mr Van Steenwinckel, Director of Logistics of the local police Antwerp. Are the reflections of these people supported by your cabinet? In the SEGPOL I missed a contribution on the lack of resources and capacity for the Federal Court Police pillar. That did not come up at that SEGPOL, which surprised me, since the day before a first hearing took place with a number of prosecutors, who were, after all, incredibly in need of doing something about it. It seemed to me an opportunity to comment on this during the SEGPOL. Unfortunately, that didn't happen. Maybe this will come at a later date. A study by Professor Janssens, who has also spoken, shows that the scale increase in local police areas will increase the quality of service. He made a very clear plea for this. Only one merger took place in Wallonia. How do you estimate the further mergers? Will voluntary mergers be used there, or will the way of the obligation be taken? A number of actions were developed on citizens' rights and duties during police interventions. I repeat my plea here, Madam Secretary. However, the other side should also be stressed, in particular the respect for aid workers and policemen. Are projects planned for this purpose? Finally, do you think you can land in the spring of 2023? It seems to me to be a very long period. Is it possible to speed this up? Do you intend to accelerate this process or to work in stages?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u21	Mr President, Madam Minister, in your General Policy Note of 2022, you stated that: "The General States of the Police were launched in 2021. As part of our missions, we have already included four themes on the agenda for 2021-2022, namely, the revision of local police funding and the optimal scale of local police areas, the harmonization of strategic plans for different levels of police and security power, a long-term vision of police education and a new disciplinary law. In 2022, we will also look at the topics that stakeholders want to highlight." Six months later, Minister, can you provide me with the status and agenda of these General States and the working groups that make up them? Regarding more specifically the working group looking at the optimal scale of the zones, can you tell me whether the federated entities are associated with it? If this is not the case, why? Will they be in the future?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u22	Colleagues, I have already said that this is a bottom-up project in which a number of non-profit organisations have taken the initiative, but now key partners and other stakeholders are also encouraged to consider the future of the police. Following the activities they have organised over the last few months and will organise in the coming weeks, the first reflections on their work were given at the mid-term event on 10 May. In doing so, we found that these partners certainly do not lack enthusiasm and commitment, but to make a precise blueprint for the police of the future it will be necessary to continue working and to continue to make and pool further reflections. In the spring of 2023, we want to be able to go further with more concrete recommendations in order to get an idea about the future of the police. I would like to call once again for the substance of this work, because the greater the support, the greater the success of the SEGPol and the faster we can move forward. Meanwhile, the services, the GPI, the coordination committee, the VCLP and the federal police are also continuing their work. The end of the SEGPol will not be the end of the process of profound reflections that is now being started. It is not the intention to do a quick patch-up with this SEGPol, but rather to lay the foundations for the future, and we certainly want to take the concerns of the base with us and not just to work top-down. On 10 May, an update was made, inter alia, on work related to police funding on the optimal scale of police areas. As for the local police, a multidisciplinary commission was established last year. Before it renders its findings, it should carefully examine the basic functions of the police. A working group had been established for that purpose. Its first recommendations were also presented on 10 May. It hopes to conclude its work this summer. Following the conclusion of the work of the working group on basic features, the work of the working group on the optimal scale of police areas will be launched. Just as they will be in the multidisciplinary commission "Financing and Scale", the federated entities will be represented by liaison officers. With regard to the scale of the police zones, research has continued on the police zones that have already merged. To repeat violence, we do not, of course, tolerate any kind of aggression against policemen because they are responsible for the welfare and protection of our society. To this end, we launched the Mutual Respect campaign in 2021. Part of that campaign was to provide information to citizens about the various safety professions, including the police. The campaign focused on connection as the way to increase trust between citizens and safety professions, by engaging in dialogue again. We are convinced that strengthening trust will increase respect, which can also have an impact on combating violence against policemen. However, I certainly agree with you that this is not the end of the story and that it should also be sanctioning, acting and sending a clear message to people who commit such crimes. Last week we had the Mutual Respect Conference in the Atomium, with a representation of all safety professions. In doing so, we have detected as an additional work point that we will launch an action on mutual rights and obligations during interventions by safety professionals. There is also the campaign on social media Eye in sight. There is also a brochure with information on the safety professions. These initiatives should also contribute to strengthening mutual trust. As part of the campaign, we also launched in 2021 the project The Rookies, which specifically aims to strengthen the link between police and young people, whereby young people learn more about the work of the various services through numerous initiatives. As you know, in order to improve the relationship, we have also launched the Child Test Working Group, which is examining police processes on the basis of a number of coordinated national enforceable measures. For the scale of police zones, we will make an evaluation of the ten fusion routes already completed. The evaluation will be conducted under the direction of IDEA Consult and the University of Ghent. What is already apparent from the evaluation is that there is a clear added value, including in the field of services, which also confirms the conclusion drawn from previous scientific studies on the subject. For other aspects, such as specialisation, reduction of charges and cooperation between police and the police, the results of this evaluation also indicate a positive evolution in the merger of police zones. It therefore seems logical that in the future more police zones will take the step towards a merger and that we will work on this in order to further optimise the provision of services to citizens. With regard to the questions on the budgetary situation at the FGP, I refer to the committee meeting on 15 June. Mr Depoostere, the feedback and the first reflections we received the day after the hearing were, of course, not discussed immediately afterwards. That was not on the agenda either, but it is obvious to me that this will be taken into account in the further work of the States-General. The timing now happened to coincide, because that event in Kortrijk had been planned for some time to coincide with the Infopol trade fair. Of course, one doesn't have to rule out the other.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u23	Madam Minister, I am pleased that one does not exclude the other and that we will certainly come back to the financing of the FGP. I was there myself and noticed the enthusiasm and involvement of many different non-profit organisations and police forces, but what I noticed - I do not know if you have noticed - is that there are two different visions in this country. The vision in Flanders is at odds with that in Wallonia. I'm declaring myself. One of the biggest restructurings of the police landscape will be the scaling-up, the redevelopment of police zones. I note with you and with Mr Thiébaut that out of all these mergers there are ten in Flanders and well-knownly one small in Wallonia. That is not a bad thing in itself, but we must face up to that reality. Maybe we should go to two speeds in that respect. In any case, there should not be any merger of police zones in Flanders because there would be no agreement on this in Wallonia. In terms of violence and mutual respect between police and citizens, between police and young people, it is a good thing that we are working on this. However, I would like to stress that violence against the police and aid workers deserves our attention and must be severely punished. Madam Minister, that is not only your responsibility and I hope that the Minister of Justice will also point out the sense of urgency, so that we do not leave it blue-blue. Otherwise, people will find themselves in a kind of atmosphere where they think everything is permitated to people wearing uniforms.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u24	Minister, thank you for all this clarification. I would simply add that I hope that all these working groups will land before the end of the year.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u25	Debates of the European Parliament 55027964C and 55027965C of Mr Depoostere will be discussed at the hearings on the federal judicial police on 15 June.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u26	Mr Depoostere, with regard to the elements that led the administrative authorities to issue a police regulation and ban the event, I refer to the regulation itself, which was signed by the acting mayor of Molenbeek on 12 May. I can't replace the mayor or repeat her decision. I would like to remind you that the Constitution guarantees freedom of assembly, peaceful and unarmed speeches, but clearly states that an open-air meeting remains fully subject to police law. The mayor, as responsible for the administrative police, has a number of powers in his or her municipality to maintain order. These powers can be found, among other things, in the new municipal law. As you know, freedom of movement and freedom of expression are not absolute freedoms. Its limitation must, of course, respect the rules in force. I do not need to take any more initiatives in this area. It is, of course, true that any alleged wrong decisions can be challenged by the authorities responsible for general administrative supervision, in this case the Brussels Capital Government, and the Council of State. The rights of defence are safeguarded, so that an initiative, even if possible, is not appropriate for me. As already stated, a ban cannot be based on a political conviction. In imposing a ban, the rules in force must be respected. In this case, it's a mayor's assessment. Those who do not agree with this can initiate a procedure against it.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u27	Madam Minister, the ban was, of course, politically motivated. This was clear from the various statements made by the mayor himself in the various media. That is why constitutional freedoms have been violated here. I will, of course, advise those concerned to start the procedure, which you have described so nicely.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u28	My question was originally addressed to Secretary of State Michel. As you have certainly seen, the Walloon government has just decided to introduce a limit on spending on sponsorship on social networks to a maximum of 50% of the total expenditure allowed during the election campaign period, for local (municipal and provincial) elections, for which the Walloon government is competent. For the Ecolo-Groen Group, it is an excellent decision that goes in the direction we want, namely: to set up, in general terms, for political advertisements, whether during an election period or not, a ceiling for this type of expenditure, whatever the medium. This is about social networks, but for the Ecolo-Groen group, there is no need to distinguish between media for political advertising. This regulation should therefore apply equally to election leaflets and advertisements in newspapers, on radio or on television. Today, there are no rules on spending on social media, outside of the election campaign. We have also tabled a bill on this subject, which is being considered in the Committee on the Constitution. Do you intend to take any action in this area, whether it concerns the introduction of a specific ceiling on social networks (as is the case in Wallonia) during election campaigns or whether it concerns a more general ceiling outside the electoral campaign, as colleagues from other parties also wish?
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u29	The legislation on election expenses and the financing of political parties is generally subject to amendments as a result of proposals for an own-initiative parliamentary law at the end of the Commission for the Control of Election Expenses and the Accounting of Political Parties. In view of the experience of this committee, assisted in this by four experts appointed in accordance with the Act of 4 July 1989, and by the establishment of a working group on political parties, it seems to me appropriate that, as in the past, legislative change initiatives in the field of election expenditure should be taken by Parliament itself, after a constructive debate in committee.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u30	Madam Minister, thank you. I agree with you: it is interesting that initiatives can come from Parliament. Besides, we're working on it. If I asked you about this, it is obviously because of the current state of affairs in Wallonia, where the majority of PS-Ecolo-MR decided to limit authorised spending on political advertising. This is a new political fact, since Belgium did not previously apply legislation in this area. Above all, we felt that some parties had been fearful of such measures. Now, on the francophone side, PS, MR and Ecolo have been able to move forward. I asked you this question, because there was an additional political aspect because of this new Walloon rule. Of course, we are going to work in this Parliament in this direction, trying to convince as many colleagues as possible.
ParlaMint-BE_2022-06-01-voorlopig-55-commissie-ic805x.u31	Madam Minister, Brussels immigrants regularly drop off by train to Ghent, after which they continue on the bus to the Blaarmeersen. Again, similar to what we noticed in previous years, incidents occurred, both in the Blaarmeersen and on public transport. A bus was destroyed, resulting in broken windows and broken seats. According to witnesses, the incidents were noted by both De Lijn police and staff, but were not intervened. I say this with some reservations, so I would ask you to clarify this. Madam Secretary, do you have any knowledge of the facts? Have there been records prepared by local and/or federal police? Did the police intervene or not? If a report was drawn up, what was the qualification? Do the police have a profile of the perpetrator in terms of age, residence, nationality or origin? I know sometimes it's sensitive to discuss unsub profiling across party boundaries. In this respect, I think we should be able to debate this without hesitation. If every time the same young people in Brussels take public transport to Ghent to set things up, one should not go hunting for grannys who with their grandchildren seek the coolest of a lake. Hopefully with warm days ahead, I call for special attention to be paid to both preventive and repressive actions to stop the perpetrators of violence. Madam Secretary, what further steps will you take in this connection? Do you support our request for a hard copy policy, whereby suspects of such crime if caught are immediately subpoenaed by swift justice, so that they do not escape their deserved punishment?
