ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u1	Mr. Ben Accour is sorry.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u12	Madam Minister, since the invasion of Ukraine, we can only see the importance of Ukraine and even Russia, not only for energy supplies, but also for global food supplies as global grain barns. In fact, we in the world depend on Russia and Ukraine. It concerns not only grain, but also maize, sunflower oil and fertilizers. These fertilizers are important not only for our farmers, but also for Africa, where people are confronted with food insecurity and the famine is only threatening to increase, think in particular of Somalia. Madam Minister, how does Belgium respond to food shortages, including in international cooperation? Do you provide additional support through international aid organisations, such as the World Food Programme? These organizations report their own supply problems. How do we deal with that? Have we done anything more to combat the famine in Somalia?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u13	Madam President, with your permission, I will also answer Mr De Vuyst's questions so that he can read the answer in the integral report of the sitting, since he has been apologized for being present at another committee meeting. The war in Ukraine has serious consequences for food security in the world. However, this conflict is only one of the causes of the worsening food crises. The famine is also caused by local conflicts, such as in Ethiopia, climate change and social inequality. Let us not forget that the world is still recovering from the effects of the covid pandemic. All these factors together create a perfect storm, which is why the most vulnerable in the world are hit hardest again. The global consequences of the war in Ukraine are also high on the EU's agenda. The EU's sanctions are not intended to restrict exports, but are directed against the Russian Government, the financial sector and the economic elites to limit the Kremlin's ability to finance aggression. It's Russia, blocking ports on the Black Sea. It is Russian attacks that prevent farmers in Ukraine from harvesting and planting. Contrary to Russian disinformation, it is Russian aggression, which causes food insecurity and not sanctions. In the meantime, the EU is doing everything it can to enable exports of grain stocks. I therefore welcome the EU's diplomatic initiatives and the UN's efforts to make progress in this area. Russia is the second largest exporter of wheat, Ukraine the fourth largest. At least 20 countries in the world import more than half of the wheat from Ukraine and Russia. Countries such as Eritrea, Somalia and DRC are heavily dependent on imports of cereals from the countries around the Black Sea. Our partner countries, mainly in the Sahel and the Great Lakes region, have been reporting for a long time that food insecurity is increasing. In particular, they feel the effects of food price increases in general. Not only food prices are rising, energy prices and the cost of fertilisers are rising. Indeed, all this creates a socially restless climate. UN Secretary-General Mr Guterres said: 'If we don't feed the people, we feed conflict'. The fight against hunger is and remains a priority for me. In the short term, it is essential to bring humanitarian life-saving aid to the people. Food aid, nutritional value and agricultural recovery are among the five thematic priorities of the Belgian humanitarian aid strategy. We work together with the Office for the Coordination of Humanitarian Affairs of OCHA, the World Food Programme and the Food and Agriculture Organization of the United Nations of FAO to get the aid on the ground as quickly and efficiently as possible. These organisations receive multi-annual funding so that they can best plan their assistance. EUR 5 million per year will be allocated to the World Food Programme for the period 2021-2023, EUR 5 million per year for the Emergency Response Account of IRA for the period 2021-2022 and EUR 5 million per year for the Special Fund for Emergency and Rehabilitation of SFERA. In addition, EUR 7.5 million will be allocated to a specific project with the World Food Programme in 2022 in the three geographical priority regions of Belgian humanitarian aid, namely the Sahel, the Great Lakes region, Syria and Ethiopia. In addition, in order to respond quickly to humanitarian crises, I have opted for flexible financing of the humanitarian response. Currently, more than 60% of Belgian humanitarian funding is allocated in an unintended manner, allowing humanitarian organisations to respond more quickly to crisis situations when they occur. Through flexible funding, we are also contributing to the needs of Somalia, although it is not part of the geographical priority regions of Belgian humanitarian aid and therefore does not receive earmarked humanitarian funding. For example, the CERF, the global UN fund to which Belgium contributes EUR 17 million annually, already released USD 17 million in January 2022 to help 450,000 people in the country. In April 2022 a further USD 14 million was added, specifically for food aid in Somalia. We have also made additional funds available with the government for the needs of Ukraine itself. A total of EUR 30 million was granted through our partners, OCHA, ICRC, UNICEF, the World Bank, IAMO and an international NGO for humanitarian support and support for basic services. At the same time, we must also work on structural solutions. Together with our partners, we want to address the causes of the food crisis by focusing on a transition to more sustainable and resilient food systems. Small-scale farmers, women and young people are at the heart of this. For example, efforts are being made to give them better access to local markets, to provide production resources and access to finance. In addition, many efforts are being made to guarantee their right to land ownership, to provide fair working conditions and to strengthen access to knowledge and technology. We are committed to agro-ecology in several of our partner countries, including in the Sahel. For example, we are helping small-scale farmers to produce more but also more sustainable products, reducing, for example, their dependence on chemical fertilisers, the prices of which have now risen. By strengthening local and diverse value chains instead of monoculture, we facilitate access to healthy food. In the DRC, for example, we have already supported more than 50,000 producers and 2,000 producer organisations between 2015 and 2022. We are working on increasing the production of a number of crops for consumption, such as maize, turnips and beans. Among other things, through the use of agro-ecological principles, we are also working on better quality and more diversification. In the new portfolio that is in preparation, this will be extended. In the Sahel, the climate partnership will focus on making farmers resilient to the effects of climate change. The rainy season is becoming less and less predictable in these regions. This has a huge impact on farmers' harvest and therefore on food security. Together we want to develop tools to better arm farmers against these changed conditions and strengthen their resilience. It is to be expected that 650,000 people will reap the benefits of this. In this context, we are also strongly committed to gender equality. For example, at least 40 to 50% of the country being restored will be granted to women. Support for small-scale producer organisations is not only provided by Enabel, but also by our multilateral partners and various NGOs. Through the social investment fund Kampani we also support local SMEs. Mrs Creemers, the alliance between CropLife and the FAO has been in existence since 2010 and aims to make industry more responsible and contribute to reducing the risks of pesticide use and a more sustainable pest control. The FAO has around 30 such partnership agreements with private sector actors. These cooperations should enable FAO to align with the private sector on the global transformation of agri-food systems. However, your concern about the cooperation with CropLife is justified. I will therefore ask my administration to request more information from the FAO. Mrs Depoorter, India's restriction on cereal exports is partly due to climatic conditions. The country has been plagued by extreme heat for several months, affecting the grain harvest throughout the country. It is estimated that this season's revenues will fall by 10 to 50%. India is not a partner country of Belgian government cooperation. However, 3 NGO programmes are funded. However, none of these programmes are focused on food production. Moreover, it is not a question of state-to-state cooperation. So there can be no diplomatic conditions attached to it either. Global food security is very high on the international and European agenda because of the rising needs and impact of the war in Ukraine. The subject was also one of the items on the agenda of the latest meeting of the European Development Council, where I explained my policy and called for attention to be paid to structural solutions and equivalent partnerships. The EU has already released additional resources in response to the current crisis and a plan of action has been drawn up that will be implemented in a Team-Europe approach with Member States. The rising food and energy prices affect us all, but let us not forget that the impact is not the same for everyone. Some countries, communities and people feel the impact of the crisis more than others. It is precisely for this reason that international solidarity is needed more than ever, because only together can we tackle the global crisis.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u14	Madam Minister, food security is indeed a huge source of concern worldwide. You are right to point out that regions where there is no food are at great risk of conflict. The funds listed by you for humanitarian aid include EUR 7.5 million which you have shifted from public-private cooperation to short-term humanitarian aid. It is good that, in times of crisis, we resort to short-term action, but the sustainable solutions you cite should be implemented as a priority. In your answer, I miss the long-term view of the CAPACITATION of agriculture in Africa, for example. In your policy paper you will also focus on small-scale projects. It is good that you pay attention to gender equality, among other things, but we could be more ambitious. There are a lot of opportunities and a lot of raw materials available to achieve larger projects and to stimulate the economic fabric in those countries that are now in real difficulty. That economic fabric can be grown and linked to it, among other things, social protection. That's the big ideological difference between you and me. It is a good thing to help in small-scale projects, but the capacity of the countries in need must be a priority. You indicate that in India the harvest will be 10 to 50% lower. That's a very large margin. That has to be followed up anyway, because at 50% it is a different story than at 10%. In the latter case, people can be helped with the remaining 40% that can be made available to the market. It is good that the EU is making diplomatic efforts, but time is running out. The current stocks of cereals and raw materials are in danger of falling. It would be extremely unfortunate that people are dying of hunger while grain rotting in another place in the world.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u15	Madam Secretary, thank you for your comprehensive answer. Of course, it is a good thing that partners receive annual budgets, but the prices of cereals and products they need are booming. So it does not seem illogical to me to increase budgets. I understand that from my point of view that is easier to say than from yours. In any case, I think it is my duty to point that out. If the crisis aid includes the supply of goods, it may disturb the local economy. I therefore hope that you will be aware of this and that as much as possible will be bought in the local markets. On agro-ecology and small-scale projects, I must contradict Mr Depoorter. That has nothing to do with ideology. During a very interesting hearing - it is a pity that your agenda did not allow you to attend, Mrs Depoorter, we received examples of very small projects in Rwanda, which were clearly said to be just because of small scale and agro-ecology that they do not feel the crisis now or hardly. Of course, they are also faced with high energy prices to drive their tractors, but they are not dependent on fertilizer and seed goods that have to come from the other side of the world. Just there's the power. It is, of course, difficult to put that into a global plan, but that is where the future lies. One must re-use local crops that grow well there. If we roll out agro-ecology altogether, there is social protection in it too. In addition, you say, Madam Minister, that the budget and its focus will increase further. Well, then we can learn from the agri-ecology projects that have been set up in the past and which we must recognise, ideologically or not, that they offer the right solutions. Madam Secretary, thank you for ordering the administration to request more information from the FAO on CropLife International. Agro-ecology is the future and then one cannot work with a company that takes its earning model from products of which one wants to become independent. Then there will certainly be no cooperation with that. We do not veto the FAO's cooperation with private sector actors. That will certainly be the future, but the FAO will have to do so with companies that go along with the philosophy and the long-term view that it will depend on small projects whether we continue to feed those regions with crisis aid in the future or whether we can make them truly independent. I hope that you will find an answer quickly and that it becomes clear that we as a Member State cannot agree to this cooperation.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u16	Thank you for your answer. I have heard elements of sustainability in this, but that is in the long term, namely the right to land ownership, the concern for production capacity and financing. Hence the importance of small-scale agriculture for self-sufficiency. An unhealthy, malnourished farmer can't work. We must ensure that their basic needs, such as education and medical care, are well served. To this end, and for the sake of large investments, we must focus on the rule of law. We will not do it in their place, but we must give them the means to do it and to allow for investment. I am also in favour of more small scale and self-sufficiency in basic needs, among other things, so that they take matters into their own hands in the future and we should not do so in their place.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u17	Madam Secretary, one of the biggest challenges on the African continent remains the fight against HIV. Although there are virus inhibitors, availability and accessibility in developing countries is often a problem. Especially in newborn children and young people we see a rather big problem. Several studies show that the neurological consequences for this group are significant. Madam Secretary, can you explain the state of play of the HIV plan? Does this plan pay particular attention to the neurological consequences for HIV-positive mothers and their newborns? What is the focus on newborns and children exposed to antiretroviral therapy? Is the provision of anti-HIV virus inhibitors guaranteed in developing countries? What additional steps will be taken? Will you send it to me? What about the evaluation mechanisms? Due to the corona crisis, there is a drug on the market that uses ritonavir. It is also used in the fight against HIV. There is an imminent shortage of ritonavir. It is feared that this would put pressure on HIV plans. Did you know about that? Can anything be done about that?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u18	Ms Depooster, the Belgian strategy for health and HIV recognises the need for targeted financial programmed actions and policy actions to contribute to the 2030 HIV targets. The Belgian approach supports the recent Global AIDS Strategy 2021-2026, which was adopted last year in UNAIDS, also by Belgium. The HIV/AIDS strategy focuses on avoiding the transmission of HIV from mother to child during pregnancy, childbirth and the first weeks of the newborns. The first approach is to target the mother to give early AIDS inhibitors. Due to the risk of transmission during childbirth and during the first weeks of breast-feeding, the newborn will also receive appropriate AIDS inhibitors to minimise the risk of HIV infection. Breast-feeding remains recommended. The WHO guidelines for the treatment of HIV emphasise the urgency of starting treatment in newborn young children. The HIV strategy and most national HIV plans focus on personalised healthcare. In addition to treatment with AIDS inhibitors, early and post-natal tests of the newborns are also used, as well as advice and guidance for the mothers and family. In the treatment of HIV, a combination of different medicines known as highly active antiretroviral therapy is used. The first combinations, which were administered in 2015 and 2016, reported neurological effects. The current combination therapy, which is used globally as an AIDS inhibitor, no longer has these known consequences. Access to AIDS inhibitors has increased globally in recent years thanks to targeted programmes from, among other things, the Global Fund, which accounts for a quarter of global funding. At the beginning of 2020 the logistical impact of COVID-19 was very feared, but access remained assured. At the end of 2021, ritonavir deficiency was warned due to its use as part of a COVID-19 treatment. However, there have been no reports so far that the availability of ritonavir as an HIV inhibitor has been compromised. My administration continues to follow closely, inter alia, through its participation in the board meetings of UNAIDS and the Global Fund, and follows the implementation of the Global AIDS Strategy.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u19	Madam Secretary, thank you for your reply. The new retroviral therapies are indeed less likely to cause neurological adverse reactions, but in the last study I refer to there is still reference to possible problems. I think it needs to be followed up one way or the other. Regarding the follow-up of babies and children who have received retroviral therapy, you say that there is guidance and that conversations and medical consultations are organised for the mothers and for the children. But I think that the focus on neurological issues should in any case be included in the protocols. HIV itself can incriminate the neurological problem, so can therapy. That is why it is a point of attention. As far as ritonavir is concerned, there is no problem today. There is a fear that there might be a problem. There too, attention will have to be paid to what could cause a subsequent wave. Right now we're in B4 and B5. That is why it seems to me that this should continue to be followed up.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u20	Madam President, I would like to refer to the question tabled in writing.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u21	I also have one additional question: do you think it might open the door to labour migration from Senegal?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u22	In Senegal important steps still need to be taken to combat all forms of discrimination, including homophobia. In the country, homosexual activities are punishable until further notice, and that is unacceptable. Belgian international solidarity focuses on a human rights approach, more even: it is a requirement for funding for all Belgian partner organisations. Last year, I approved several NGO projects in several of our partner countries, focusing on supporting lgbtqi organisations, tolerance for gender diversity in society and the protection of lgbtqi activists. With this approach, we want to take concrete steps forward to improve the living conditions of holebis in our partner countries. Within the Belgian intergovernmental cooperation with Senegal, Enabel carries out projects that focus on the health of women, newborns, children and adolescents, including gender-based violence. It also addresses sustainable entrepreneurship, decent work and access to quality medicines and vaccines. This portfolio runs until July 2024 for a budget of 49 million euros. Gender equality is also an important part of the thematic portfolio of climate, which Enabel implements in Senegal, among others, with a value of EUR 11.5 million. In Senegal, for example, we are going to work with 200 women's organisations. The EU has also included non-discrimination against minorities including lgbtqi+ as one of the priorities of their human rights strategy in Senegal for the period 2021-2024. The Belgian Embassy in Dakar has actively contributed to the formulation of this strategy and is currently following its implementation. Human rights are also always on the agenda of political dialogue between the European Union, the EU Member States and Senegal. The next meeting is scheduled for this autumn. This input and its follow-up are the responsibility of the Minister for Foreign Affairs. For the other funding flows to Senegal, I refer to non-governmental development cooperation, of which we have just approved the new programmes for 2022-2026. During this period, 25 new programmes for the Senegalese population will be implemented for an amount of EUR 21.4 million by Belgian NGOs and 5 institutional actors. All these organisations work together with local partner organisations and operate in different sectors, such as agriculture, food security, gender equality, health, entrepreneurship, education, decent work and decentralisation. Finally, Belgium is making core funding at multilateral level, which are contributions to the general resources of the organisations. In Senegal, however, an additional €2 million was allocated in 2020 to the Global Flagship Programme on Building Social Protection Floors for All, implemented by the International Labour Organisation ILO to develop and strengthen social protection systems in the country. Mrs Samyn, the specific project to which you refer concerns a so-called third party contract. These are projects that Enabel carries out with funding for other clients. In this case, the financing of the European Union in cooperation with the International Centre for Migration Policy Development for a total amount of EUR 2,611.596. The Aliens Office co-financed that project for 5% of the amount, i.e. EUR 130.596. For more details on that specific project, I suggest you ask Secretary of State Mahdi.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u23	Madam Secretary, thank you for your answer. The human rights situation in Senegal is not particularly encouraging. Free opinion is still too often restricted. Members of the opposition and dissidents are imprisoned after unfair trials. The arbitrary arrests and excessive violence against the Igbtqi community are also absolutely unacceptable. I therefore hope that it will be made clear in international fora, and this is also reflected in your reply, Mr President, that such facts cannot be accepted at all. I would like to return to the question of funding. It is partly financed by the EU, by the Foreign Affairs Office and by the Home Affairs Office of Belgium. So these resources are actually kept out of your budget. It is, in other words, an extra budget for development cooperation. As a result, additional development aid from Belgium is given to Senegal. With an apology for my last question, I would also like to return to the possibility of labour migration from Senegal. Surely that's something to be alert about. The economy and the labour market do not require additional labour migration. We have plenty of inactive Belgians to put to work here. In addition, we must pay attention, because this is how we create a brain drain by removing the economic potential from a growing country such as Senegal.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u24	Madam Minister, it is now two years since the law on combating sexual abuse in development cooperation was adopted. For this, a number of royal decrees had to be written out. Unfortunately, sexual abuse is a problem that we too often encounter in scandals in the context of development cooperation. That is why a legislative proposal on this matter was tabled at the time and the law was also adopted. What is the state of play on the royal decision to be taken? Are there any sanctions in that KB? If so, on what grounds? If not, why? How many reports of sexual abuse linked to development cooperation and NGOs were received in 2020, 2021 and 2022?
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u25	Mrs Depoorter, I know that this is a very important subject for you. My administration drew up a draft KB that was delivered last week for a final review to the federations of non-governmental and institutional actors, Enabel and BIO. This is in accordance with the law, which states that the RB must be consulted with the relevant actors. After that, the draft of KB will be finalized and delivered to me, after which I will submit it to the Council of State for its opinion. The Royal Decree will indeed provide for a sanction mechanism whereby a partner organisation may be deprived of its recognition and, where appropriate, ongoing funding. My administration has received no reports of sexual abuse for the period to which you refer and does not have the figures of reports received from the actors themselves. The Charter Integrity determines that the actors themselves communicate about this.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u26	Madam Secretary, it is good news that two years after the date, there would be a KB in the making. I am particularly looking forward to that because this will help our victims. I think it is very good that a sanction mechanism is also being introduced. As soon as I get the text, I will, of course, check to what extent the arguments were taken into account effectively as we intended when discussing the legislative proposal. However, I do have a remark. It is a problem that the actors must pass on the notifications to your services and that this does not happen automatically. Victims should be able to report in a very simple way that there has been a problem somewhere in the world with an NGO working in the context of development cooperation. Your services should certainly be informed of this via an automatic system. We must continue to work on this because it is unacceptable that victims should be dependent on the goodwill of certain players.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic819x.u27	Madam President, Minister, you have been to Bukavu, where a conflict has flared up for years. In this conflict, both Congo and some of its neighbours and various rebel groups are involved. So the Congolese government also has an interest and a share in the conflict. According to Mrs Nsayi, our government could also work towards better and more transparent development cooperation with Congo. Cooperation could focus more on supporting local Congolese companies and organisations, rather than projects carried out by Belgian companies. What visits did you make in Bukavu, besides visiting Mr Mukwege's hospital? To what end was that? What did these visits lead to? Was there also an opportunity for dialogue with the local population? What did you learn from that? How do you respond to Mrs Nsayi's concerns regarding development cooperation? What new developments and plans are currently on the table with regard to development cooperation with Congo? How has the possible impact of the election results been taken into account? How do you respond to the Congolese President's share of the conflict in Eastern Congo? What message will you convey in the international community about this?
