ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u1	The Minister of Mobility tells me that he will have to leave us at noon.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u12	Mr Roggeman, the SNCB and Infrabel have for many years supported the development of cycle motorways along the railway or on former railway lines. Through their constructive cooperation as land managers, municipalities, provinces and regions were able to build a huge network. There is a great will to further expand this network throughout the country. The two railway companies support the other policy levels, both by considering how to best organise the construction of cycle motorways in the station environments, and by actively participating in the necessary business rights. SNCB informs me that there are, of course, cases of station environment that are complex and that some solutions to build a bike highway through or along it are expensive. It is therefore necessary to look for creative solutions. SNCB receives questions about bike highways from all kinds of different parties. For example, the questions may come from municipalities, provinces, regions or others. In some cases a concession is requested, in others a lease or sometimes the purchase of a land. This is analysed on a case-by-case basis. If SNCB finds that the negotiations on rights in rem last for a long time, it shall grant authorisations for temporary employment. This will speed up the development of cycle motorways. The construction of cycle motorways is regulated in a different way throughout the country. This is a challenge for Infrabel and SNCB. In Flanders, the provinces are the trigger. In Wallonia that is the Region itself. In Brussels, the federal fund will be added. In Wallonia, the hilly relief makes it harder to clear space next to the track than in many places in Flanders. In Brussels, we are talking about a very urban and densely built context which makes the space available tighter than in a rural area. There is therefore a need for coordination. I liked to take this role by adding the theme to the federal action plan to promote the bike BE CYCLIST in September 2021. A concrete measure of that action plan concerns the facilitation of cycle routes along the railways. In doing so, I also respond immediately to the motion for a resolution you are referring to. Coordinating and facilitating, in particular, facilitates cooperation between all the partners involved despite the existing fragmentation of competences. I have therefore taken the initiative to bring all the partners around the table. After a series of intensive and good conversations between my cabinet, Infrabel and SNCB, we organised a special session of the federal cycling committee in the FPS Mobility on 26 October 2021. It was a session of bike highways, in which Infrabel, the SNCB, the three regional administrations, Beliris and even the most important cycling associations met for the first time on this important theme. The needs of the railway managers were clarified, as were the legal provisions on rail traffic and the European rules on the sale of land. Contacts were also identified and contact details exchanged. As a result of the first meeting, I agreed with my regional colleagues during the IMC Mobility of December 2021 to actively cooperate with the four of us, i.e. the Regions and the federal level, in the future, to further improve the construction of cycle highways. We are now working on this in a variety of ways. First of all, in March 2022, my cabinet will sit on my initiative with the Flemish provinces to listen to their recommendations for the construction of bike motorways. Secondly, later in spring, a second theme session of cycling highways is planned in the federal cycling committee of the FPS Mobility, also this time with Infrabel and SNCB. Thirdly, I have heard that the Regions themselves are also discussing this important issue with the provinces and municipalities. For example, the Flemish and the Brussels-Capital Region have recently entered into a collaboration around the site www.fietsmotorways.be. The Brussels plans are now being included. The website has received a French version. So we are currently working hard to address this important issue in a thorough manner. My intention is to reach clear agreements with all the partners involved by the summer of 2022. That is also the wish of SNCB and Infrabel. The noses are in the same direction and there is great will to work constructively together. In any case, I will continue to ensure that cooperation with the other levels of policy continues smoothly, as this is in the interests of many current and future cyclists in our country.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u13	Thank you, Minister, for your comprehensive answer.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u14	Minister, the answer was indeed extensive. I would like to make two small comments. Firstly, I note that you are taking over the classical rhetoric from public companies, such as 'NMBS is fully supporting the development', 'there is already constructive cooperation' and 'there is good will'. However, practice shows that some local and provincial authorities do not take that view, but believe that cooperation is difficult. The constructivity is sometimes absent for them. The statements of support are often not made sufficiently concrete. Recent communications from the province of Antwerp bear witness to this. I think it is important that agreements and contractual commitments are respected. SNCB must also show itself to be a stable partner for other governments in this country. If that is not the case, then there is a problem. I come to a second aspect. You reply that the necessary land is made available via purchase, lease or sometimes purchase of the property. However, one of the questions in our resolution is not to do so. Article 2 of the resolution calls on the government to urge SNCB, and indeed Infrabel, not to sell the land to the municipal authorities when acquiring the land, except for a symbolic euro or the establishment of a commercial right. A sale to commercial value is a problem for many municipal authorities who want to build a bike highway. For this reason, the resolution asked that such practices should be omitted, that sales should no longer be made and that the municipal authorities should continue to charge only the costs of administrative handling and, where appropriate, other costs in the margins of transactions or establishment of a right in rem. The fact that you confirm today that this is still being applied is the best proof that our resolution has not yet been put into practice. I'm sorry about that. The request was supported by everyone in plenary, with only one abstention. It was also supported by your group, Minister. I would ask you to take a closer look at the correct implementation by public companies.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u15	Minister, it is often said that Vivaldi is one team, but in action we sometimes see it less. I have two questions. I have heard from your fellow ministers Verlinden and Clarinval that they sent you a letter months ago, but you still have not answered it. At least that's what they're telling us. You are shaking your head in denial, so I would like to hear whether they are selling falsehoods in this House. My second question concerns the content of that letter. The coalition agreement makes it very clear that this government will work on place-based policies, asymmetric policies, that you will therefore use federal powers to implement a policy that meets the needs of the Länder. That is what the coalition agreement says, so what your fellow ministers are asking you to do is what you will do to implement the coalition agreement. Given that the letter has not yet been answered, I am currently doing the rounds. After all, you are not the only minister who would not have replied. Only 4 out of 20 have replied, so I am asking them all about their intentions to implement the government agreement.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u16	Mr Loones, as you rightly point out, the coalition agreement provides for the possibility, not the obligation, for the government to exercise its powers asymmetrically in order to meet the specific needs and dynamics of the various areas of the country, the so-called place-based policies. After analysing my powers, we have not found any issues that were relevant to the asymmetric exercise. I am in favour of a cooperative federalism and have therefore revived the Inter-Ministerial Conference of Mobility Ministers. It meets every two months and has already produced many concrete results. Together we do better.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u17	Minister, I was not expecting another answer, but it would be polite to give your colleagues an answer. If they send you a letter, it would be good to return a letter.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u18	I did.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u19	They say this is not the case. Are you saying that Minister Clarinval and Minister Verlinden are lying?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u20	I would never say that. I don't know when they said that, but I answered them. I talk to them a lot whenever I need to. I am a polite minister who answers all the questions, both those of Members of Parliament and those of my fellow ministers.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u21	You are so polite that only two memories of your colleagues have been needed. I will, of course, request the letter and compare the dates. There's something else I don't understand. I arrived here during Mr Roggeman's question. In your reply, you said that the situation in Wallonia is different because it is a hilly region. Brussels is an urban, densely built area. As you said, Flanders has a rural character, you confirm in one question that the situation is geographically completely different, to say in the subsequent question that there is no difference and that there is no need to pursue a different policy tailored to the needs of the different Länder. Minister, I do not know if you will read the answers that your cabinet is preparing before you debit them here, but it is a suggestion to do so next time to ensure some coherence during the sitting. I want to end with a positive note. I invite you to think creatively about implementing the coalition agreement. It will only benefit the mobility of all people in this country if they are finally given a tailor-made policy. We do indeed have different expectations because of a different geographical context, as you yourself pointed out in the answer to the previous question.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u22	Question No 55025625C by Mr D'Amico is transformed into a written question.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u23	I refer to the written version of my question.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u24	Mr Comrades, in accordance with the coalition agreement and based on the polluter pays principle, we want to discourage the use of fossil fuels, including in aviation, as much as possible by introducing a tax-driven instrument. Fair and sustainable competition between different modes of transport is essential, in particular between short-distance air and rail transport. That is the aim of the entry fee, which was decided at the October budget conclave last year. For its practical implementation, please refer to the Minister for Finance, Mr Van Peteghem.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u25	I would have expected you to refer to another minister, which is entirely in line with the lame communication around the flight tax. In the beginning, there was no answer to any question, nor to the question of who the fee would apply, nor to the question of what distances it was about. Nor could the government give figures. All she could say was that the tax would raise EUR 110 million in three years. There was no communication at all, even after questions and interplays. Apparently there were also problems with communication to the actors in the air transport sector themselves. They were informed rather late and were therefore difficult to anticipate the practical roll-out of the tax. It has always been said that it was a steering measure towards more environmentally responsible transport such as the train. But for several short and medium distances the train is not a full alternative and certainly not for long-distance flights. So there's nothing steering about it at all. It's just a tax increase on the hood of hardworking people who save up to go on vacation.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u26	Mr Tortiers, road safety is an absolute priority for my regional colleagues responsible for Mobility and I. That is why we have jointly developed an inter-federal road safety plan. That plan was presented on 23 November at the State General for Road Safety. This is how we aim for zero blind spot accidents with trucks. It was recently decided to convene a separate interfederal working group representing both the federal and the regional levels. This specific working group will be drawn by the Flemish Region. For example, the federal government can impose anti-dead angle systems and 360 degree cameras for certain types of trucks and validate the different technological systems or design a road sign for areas where trucks are not allowed to drive without such equipment. Afterwards, the regions can define the zones, set up safer cycle paths and crossroads and increase awareness. By better coordination, we want to tackle the problem of blind spots, because box thinking hasn't avoided any road deaths.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u27	Minister, I am partially satisfied with your answer. It is, of course, fine that an interfederal working group has been set up. I hope he will work as quickly as he does on the e-steps regulation. However, I have been asking questions about blind spot accidents for several years and I regret that this is only now happening. Once again, I hope that results will follow very quickly.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u28	Mrs Verhaert is not here.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u29	Mr Minister, this is a very important dossier. I don't think anyone needs to be convinced of that. We have recently made a place visit with this committee. My question - as I try to ask them every round of questions - is what has happened in the meantime. What steps have you taken since we last discussed this on 8 February? Have there been any contacts? What was communicated? Are the Dutch convinced of our will to realise this project?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u30	In the previous committee on 8 February, Mr Torasters, we discussed the Hamont-Weert connection in detail during the topical and urgent debate, a dossier which is very close to my heart. I continue to commit myself to making progress in this respect, of course together with the Dutch Government that I need to do so. I can tell you the following new information. On the Belgian side work was started on the construction of a second track between Balen, Merksplas and Neerpelt. In my discussions and contacts with my Dutch colleague, with whom I had an introduction last week, the necessary attention is paid to this dossier. Dutch Secretary of State Vivianne Heijnen stated in our discussion last week that she considers the cross-border connections important and that the dossier Hamont-Weert is currently in the Dutch Lower House for analysis. In addition to these talks at the political level, there have been no other meetings of working or steering groups dedicated to Hamant-Weert. In reply to Mrs Verhaert's question on the study, my policy cell delivered the presentation of 26 slides, as proposed to SNCB's decision-making bodies, to the committee secretary. I would point out that the content of this study is the sole responsibility of SNCB. Finally, Mr Toventors, I hope that the work visit you and your colleagues have recently participated in between Hamont and Weert was enriching.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u31	Thank you, Minister, for your answer, but allow me to say that I am starting to get worried. After all, we have been going on for many weeks. A meeting took place last week. I do not call that a force of action, that is not what I call pushing and pushing, it is not everything to convince the Dutch that this connection needs to be established. I think it's way too low. I believe that the visit of our committee was a stronger signal than what the federal government has given to the Netherlands. I can only regret that. I hope that the Dutch will be convinced. That's crucial now. Since the Dutch policy plans are now being drawn up, the Dutch must now be convinced that this connection is also valuable to them and that on the Belgian side there is indeed the will to realize that dossier. I would like to mention once again the fact that we sometimes receive very difficult information about SNCB. I have already discussed this on several occasions, also recently in the course of the work. I am now referring to the report of the study carried out, to which Mrs Verhaert also referred. I have already asked a number of oral questions and several written questions on this subject. In your written reply we get a homemade summary, while we request the study ourselves. I quote from your written reply: "The underlying detail study is not publicly shared for strategic and confidential reasons." These strategic and confidential reasons are strange to me in this case. They are very essential in order to convince the Dutch. That is why I deeply regret it. I absolutely want to ask you to step up, because it is not going in the right direction.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u32	Mrs Verhaert has arrived and will give her a reply.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u33	Mr. Secretary, I'm a little disappointed. About three weeks ago we made a place visit, including in Weert. I think that the importance of this cross-border connection is very clear to everyone. It also takes very little. I therefore regret that there is not enough commitment. In addition, it is always protected that the report cannot be made available. It's really about a public interest. The Chamber adopted a resolution specifically on that connection. I myself have also tabled a resolution on regional cross-border connections. It is disappointing how little use is made of it. That is so important for many border regions. Hopefully we will finally be able to look into this study and take the necessary steps to make a great deal of effort for these cross-border connections. Hopefully some of these connections will finally be realized.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u34	Belgium has done its part of the work. We are now waiting for the Netherlands. I spoke to the Secretary of State responsible for the Spoor and made it clear to her that we are waiting for a reply from the Netherlands. She has shown interest and will study it. She hasn't made a commitment yet. We're working on it.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u35	"Mr. Minister, the press recently echoed the additional funding from the federal government to encourage the use of trains rather than trucks for the transport of goods and goods. In concrete terms, there are additional connections to Yves-Gomzée (new Carmeuse career) and Philippeville (Career Les Petons de Solvay). Therefore, "freight" traffic combined with "passenger" traffic will promote the future profitability of investments on this line.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u36	•And can you specify in which timetable these would be achieved?"
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u37	Minister, a few weeks ago, the Council of Ministers decided on the allocation of rail investments under the Transition Plan. Two hundred and fifty million euros will be spent on investments in rail, as you mention in the press release you published on your website on 25 February. A few days later, Secretary of State Thomas Dermine explained on his Facebook page that line 132, which connects Charleroi to Mariembourg, was saved thanks to European investments in the Recovery Plan. Do you confirm that line 132 is not likely to close in the medium term, for both passenger and freight transport? What investments have been made on this line over the past five years? In the area of freight, will an additional connection be made in Philippeville for the career "Les Petons"? The new connection of Carmeuse, in Florennes, on the old line 136 that leads to line 132 will it see well the day? If so, can you tell me if it is Infrabel who will carry out the work and will pay for the cost of the connection and if it is Carmeuse who will take over the reactivation of the line?
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u38	Mr President, Mr Delizée, Mr Bombled and Mr Parent, as announced in the same committee last October, there will be no closure of railway lines. That's the opposite! My ambition is to strengthen the network in order to make rail the backbone of our country's mobility. It can therefore be said that the communication by the Secretary of State, Thomas Dermine, is not a scoop, but at most the confirmation of a very clear commitment to maintain and strengthen the current transport offer, including line 132, which is as dear to me as it is to you, ladies and gentlemen. This applies both to the transport of persons and to the transport of goods. You know the government's ambition to double the volume of goods transported by rail by 2030. This ambition is in fact reflected in the Boost plan that I put in place from the beginning of the legislature and its funding both from the European funds of the EPR and from the 2030 transition plan. It is 180 million euros that have been released by the government for the transport of goods, a large part of which will also benefit passenger transport. Specifically with regard to line 132 Charleroi-Mariembourg, a total budget of EUR 4.4 million was earmarked specifically to initiate work relevant to the continuity of the line. This budget will be devoted, on the one hand, to renewal work and, on the other hand, to the detection system and to the response to the generic technical requirements of simplified signalling. These renewal projects and the development of the simplified signalling project are expected to be finalized by 2024. This work will connect Solvay's quarry to line 132. I would like to stress once again that these investments in freight transport also greatly benefit passenger transport. As in the case of line 132, freight and passenger trains use the same rail network. All these investments improve the network as a whole, reduce the environmental impact of mobility and thus improve the railway ecosystem between freight and passenger transport. I just want to remind you that a freight train is 50 trucks that are not on the road. This improves road safety. This reduces traffic jams, CO2 emissions, pollution of all kinds, often complained about by local quarries. I think you know that, Mr. Bombled, Mr. Delizée. I have no doubt that Mr Parent is also aware of this, even if he is not quite from the same region. In any case, I would like to thank you for this question, which allows us to take stock and stress that the rail network must play this important role in the mobility of tomorrow, both for people and for goods.
ParlaMint-BE_2022-03-30-voorlopig-55-commissie-ic747x.u39	Minister, thank you very much for your answers. Personally, I never ask about maintaining the line again, because I've been convinced of it for a long time. We have already talked about it over time, since the beginning of the legislature, and with your colleague before you. It is true that sometimes rumors exist or social networks worry or people worry, distribute documents or leaflets, what I know! At times, journalists wrote articles that were a bit of a concern to the public. At the time of Infrabel's complete renovation of the section between Mariembourg and Couvin, articles claimed that the line would be closed in time, which was a complete nonsense. I'm not afraid. I say it every time. I'm not questioning you any more about the survival of the line. I know that you are paying attention to it anyway, and that today SNCB does not have a policy of closing lines, but rather of improving supply. Yesterday we had long hearings, long discussions with the CEO of Infrabel. The question of financial resources was obviously at the heart of the debate. There are financial needs to maintain the network. He did not bring rails, but he brought screws, normal screws and worn screws, to show the importance of the maintenance work. But there are also new demands and improved supply. So there are demands for financial needs. I actually wanted to know what the work done with this money would be, in a little more concrete way? Secretary of State Thomas Dermine worked on this Recovery Plan. He communicated about its contents. In itself, if there is money from this European Recovery Plan, which is destined for rail, it is a very good thing. I was talking about the financial means. Everything that contributes to funding is in itself a good thing.
