ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u1	Ladies and gentlemen, Minister, we have until 2 p.m. today to answer questions.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u12	I can't magic!
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u13	I'm asking you a problem and you're telling me that you're going to look at and study a solution, but it's not a commitment on your part. I expect stronger action than that. There are police areas that will approve a budget by indexing federal initiative staffing. That's what I want to do in my area, for example. This will go to the governor, who will then ask you what he has to do with this budget. If it reforms the budget, it means that it will reform the communal allocations to increase them compared to what would have been voted on in the police zone council. You're going to face a political problem at some point. I think that an initiative should be taken in the form of a circular to allow the areas to anticipate this increase which we are going to have at the end of the year, since we are in an exceptional situation. In my opinion, in exceptional circumstances, exceptional measures. Time is running out for everyone. If we have the solution in October, we will have already exhausted virtually all of our budgetary appropriations. There's a real urgency! The money is in the budget and is voted in the budget adjustment. The money's here. I am therefore not asking for an increase in the budget, but simply for the inclusion in the zonal budget of that amount that has been adopted in the federal budget. It's not an exceptional request, though!
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u14	Mr President, Madam Minister, I have asked you three simple questions: what are you considering as concrete means for police areas? Are you planning to meet with representatives of police areas? Are you considering temporary reinforcements, in particular to allow police areas to be on the ground? And on the three simple questions, I didn't get any answers. I know your situation is complex, but it is also complex for police areas, for municipalities. At the end of the summer, the Hesbaye police area will draw up its budget and it will do so, this time, by reflecting on all the police areas of the province of Liège and adopting a common attitude, which will make things even more complex and further break a dialogue that is almost non-existent today. Of course, Madam Minister, we must find the financial means. It is not easy and super complex for the communes, who must assume the weight of the reform of the police zones, the weight of the reform of the relief zones and who must bear indexations, cost increases throughout their communal management. What I want tomorrow is police officers on the streets to ensure the safety of our fellow citizens, I want the return of neighbourhood agents, too, who have a major role in prevention, listening, a front-line role to create the link with our citizens. I also want our police officers to be safe to carry out their missions and to be on the ground rather than having to take on increasingly heavy administrative tasks, in which they cannot flourish. That's not why they decided to get involved in the police. I support the mayors of my police zone without any more affecting the communal finances and our fellow citizens, already sufficiently strangled by increases in the cost of living. I therefore expect you, Madam Minister, to take a quick stand in support of your police officers. They're your police, whether they're police or not.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u15	Mr President, I thank the Minister for her answer. That is true, Madam Minister, the communes are exsanguous, the mayors say so, the administrations say so and the federal cannot remain deaf to the call of the communes. Today, if the federal government does not assume its responsibilities, the burden will fall on our communes. It is also not easy, as a member of the Police College or president of a police college, to go to the municipalities to apply for some additional grants. All the more so as we know that no minister wants to reach the KUL standards, which I can understand. So, everywhere in our communes, we are already really tight with a problem of police presence on the ground. It's shouting at us, there is sometimes even a mayor who moves himself instead of the police to solve one or the other problem. Please listen to us and try to do everything you can to make sure that, in the end, this problem is undergoing a real evolution in our fonts! I also know that you yourself must ask the government, the Minister of Budget. It is a pity that I am not the Minister of Budget because I would gladly have given you the means to increase the staffing of police areas, but I am not. Fight because, frankly, we are going straight to disaster! I'm telling you very openly and I really count on your determination to move this issue forward.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u16	It is quite clear that majority and opposition share a great concern here. That will also come to your cabinet and to you, Madam Secretary. You have spit the 8 % increase as good news. It may be said that it is better than nothing, but if you admit yourself that the budget increase will not be enough to counter inflation, then that is not good news. That is the fundamental problem. There is also a technical problem, which should not be underestimated either. While the budget is available, as my fellow mayors have said, there is the huge problem that we cannot register the money. In fact, as Mr Thiébaut says, we are going to be lenders. We have to play bank for the federal government, when we don't have any money. I dare say that I speak in the name of nearly 600 mayors when I say that the pressure on the local shoulders is du jamais vu. We've never seen that before. Madam Secretary, we need all the help we can get and I think you can help us here. Technically, that's not impossible. Of course, I still hope that the fundamental problem that the budget will not be sufficient to counter inflation will also be raised. I think my speech is shared unisono.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u17	Madam Minister, thank you for your answer. At the risk of repeating what some colleagues have said, I believe that our communes are in a situation which is ultimately not favourable and which is becoming increasingly tense day after day. Needless to say, the problems arise in terms of the budget because we have been in an exceptional situation for months. As you said, some areas are emerging from the floods, from the health crisis of the coronavirus, which has pressed the municipalities like lemons and, today, the 8% increase, announced as good news and of which we have been pleased, looks quite insufficient to cope with the current inflation. Change is not easy! When you have to touch the budget, it seems simple, but it's not because it's very technical. In my opinion, it is not impossible. What is lacking to resolve this situation is what I will call a political will. The message I want to convey to you, Madam Minister, is as you have done in other dossiers: to place all your will and your energy in order to find a solution in the short and long term in order to respond to the call made by my fellow mayors and aldermen, on the one hand, and by all the other communes not represented in our committee, on the other. I believe that the problem will certainly arise by the end of the year: police areas will experience a serious problem at budgetary level and they will not be able to continue with communal finances as they are. I really want, Madam Minister, to come back quickly with a solution that is not structural, at least temporary, to solve the technical problem facing us. You have all my confidence.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u18	Thank you, Madam Secretary. In normal times this system can be absorbed, but at this time it is really a budgetary problem and a problem of cash flow for many zones. A number of zones can cope with this because they are still in deficit today and because many zones have budgeted the entire budget for their entire corps, but it has not been filled in. A number of zones can absorb this in terms of cash flow, but a number of zones that are fully filled in are affected by this problem. Something must also be done in budgetary terms. That money is provided for in the federal expenditure budget for 2022, but it will not be spent until 2023. So the amount should actually be in 2023. Perhaps the solution is that exceptional payments are made, based on the distribution of the EUR 64 million according to the federal key, so that they can be passed on as pre-financing. This can be corrected next year on the basis of the system. That is not new, it is already happening with the Traffic Fine Fund today. They are now getting a piece of it and five years later a correction follows. That system already exists. I know the problem lies with the administration and with the law, but we can amend the law by October so that the zones can register it in October or November. I think there are possibilities if you have the administration with you and the law can be changed. Then we're all at ease.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u19	Madam Secretary, thank you for your reply. You have heard from most of my colleagues here that there is a great deal of concern. I share that concern. I may have missed it in your answer, but I had asked what your view is on the suggestion that the increased revenue from the RSZ could partly flow back to the zones, partly as a result of wage increases for police personnel. A lot of good suggestions were made here. For the time being, we haven't noticed much about that, but I'm holding my heart for 2023. The police will then be entitled to these meal cheques for the first time for a full year. If there is no change in policy in this area, it will also be an integral part of the municipal budgets. Those are heavy klepters coming at us, aren't they? Our concern has been sufficiently expressed here and I hope that a solution can be found for the local areas.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u20	Madam Minister, I thank you for your answer, which at first gave us a glimpse of a small port of hope, since you explained to us how well you were aware of the impact of this inflation on the expenditure of the various local police areas and that, therefore, the 8% increase that had been planned would not be sufficient to respond correctly. This hope was then dubbed by the second part of your answer. Indeed, you explained to us that these new allocations would only be set for January 2023, in other words, the police areas only have to wait wisely when they are confronted with untenable situations. These areas are increasingly under pressure to cope with an ever-increasing number of their missions, including that of a local police force that keeps us all at heart. They must also respond to calls for other services. In this case, I refer to the appeal by the Federal Judicial Police to rescue the six Brussels police areas – which themselves do not have enough resources to carry out their own tasks – to remedy the lack of resources allocated to other services. That's quite challenging! I think that pending the minimum minimorum would have been to commit to updating this standard KUL. You have not answered this question at all. I have the impression that this is a real taboo in this government. This is a challenge to me because I think it's the least I can do to realize that needs have changed significantly in more than 20 years. I therefore do not understand why this government is not aware of this problem, which has a terrible impact on the day-to-day functioning of the various local police areas.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u21	We hear here, among other things, the remark that we should not play a bank. I note that the Minister states that he is bound by certain rules and laws, but she will nevertheless try to solve the problem within her possibilities. Colleagues, you do not want to know how frequently cities and municipalities should act as banks for the Flemish government. Apart from that, it is not pleasant to have to do this in these difficult times. So we have to find a solution. I note that other colleagues say they do not want to interfere with the KUL standard while the States-General is busy. It is said that there is a need for a larger budget, but if structural adjustments, such as increasing police zones, are put on the table, then this will prove to be unspeakable. When colleagues argue that we need to invest more in the federal judicial police, the whole Parliament calls for'show us the money'. It is really very easy to constantly criticize a minister who wants to solve the problem, while on the other hand there are constantly problems that we cannot solve. Dear members of the majority, let us therefore consult our own Deputy Ministers so that they can find a solution at the government table. I have already heard a minister who would like to find a solution.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u22	Mr President, I should like, in a few words, to be surprised by Mr Demon's anger. We only want the minister to be good. Above all, we want the municipalities to be able to meet the challenges they face. The Minister has made the financial effort to enable the budgetary adjustment to meet legitimate expectations. We can only thank her. I don't know if we can do the same thing at the federal level as at the Walloon Region. From the moment a subsidy or subsidy is provided, there is a material possibility to include it in the budget so that it remains in balance, in order to avoid resorting to the municipalities of the police zone. Indeed, we know that this money will arrive in the police areas. Madam Minister, what I am asking you is to see with your administration what could be done technically, mechanically, so that this amount can be included in the budget and that the budget remains in balance. Budget and cash should not be confused. Yes, we act as a bank. I agree with you, Mr. Demon. Here, the question is not asked in these terms. The question is that we must allow police areas to remain in budgetary balance. Otherwise, the police areas will have to turn to the governors, and then to the minister. I think we could avoid all of this. It is with great benevolence that we ask you to see what can be done, Madam Minister.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u23	Given the limited time frame, I refer to my written question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u24	As I said earlier in committee, we do not miss an opportunity to promote the use of the 112 BE app. At every large-scale event and event for professionals that the General Executive Board organises or participates in, there is a stand where the public gets tips on downloading the app and its use. I am thinking of the security village on the Sablon on 21 July, the Belgian Fire Games, various fairs and salons such as Expo 112 or the ASTRID User Days, or the congress days of the fire department. Each year, on 11 February, during the European Emergency Number 112 day, the 112 BE app will be highlighted on the social networks of Civil Security. The website www.112.be contains a full section dedicated to the 112 BE app. This includes the promotional videos for the app, explanations of its benefits, the way to download it and all the visual promotional material. In 2020, videos were made and distributed to show the numerous benefits of the 112 app and to encourage a larger number of people to use them effectively to contact the 112 and 101 plants. Those movies were also posted on the website. In addition, the app is included in the other promotional and awareness-raising campaigns of the General Executive Board of Civil Security. This is the case, among other things, in the campaign "Sometimes fire is not your biggest risk" for firefighters, in which firefighters are advised to use the 112 BE app if they need police help during an intervention and to report in advance, when registering their profile, that they are firefighters. Based on that app, their location can be easily determined, which is the case for every user. Civil Security will thus continue to promote the use of the app through various media. I would also like to call on you and the other committee members to strengthen that message through local channels. Impactful communication can certainly also be done in this area via the nearest network, namely local authorities.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u25	Mr President, Minister, I also installed the app and even promoted it on my Facebook page and so on. You are right that we must continue to sensitise and advertise. In 2021, the app was downloaded 80,000 times less than in 2020. This figure fluctuates on the basis of promotional and awareness-raising campaigns. There are 7 million active smartphones in our country today. 17% of them are equipped with the app. All together, we have to raise that figure. That app with location detection on the smartphone can save lives and save lives already. That must be the ultimate goal.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u26	Madam Minister, I refer to the written version of my question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u27	Currently, 16 staff carry out the security verification, 6 coordinators check the quality of the screenings and submit the disputed files to the National Security Council (NSR) colleges and 2 supervisors provide the service for the organisation, priority determination and compliance with deadlines. The number of screeners has increased over the past three to four years. There are now 50% more people there. There are currently no vacancies available for the function. The average lead time of a security screening conducted by the federal police is about five days for simple files and 10 days for more complicated files. In the latter case, we are also dependent on the answers of external partners before a ruling can be made. I broadly agree with the conclusions of the Court of Auditors and I am convinced that it is absolutely necessary to digitise all processes and to put in place continuous monitoring for the holders of a safety attestation or advice. Moreover, Europe's ongoing monitoring has been imposed on us in the framework of the security of our international airports. Pending the introduction of such a process, the period of validity of airport badges is reduced to one year instead of five years. Proposals have already been made in the context of the extension of security verification to new sectors and of the reform of the NSR. These proposals concern the recruitment of additional staff, the necessary material, the legal framework, the ICT events, the support and the budget needed to cope with the additional workload. For the strategic question on the screening policy of the NVO, please refer to the Prime Minister, who also exercises powers in foreign affairs. Today he is responsible for the NVO according to the decision in the NVO.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u28	Thank you, Madam Secretary, for your clear answers. The decision to shorten the validity of the airport badges from five years to one year was very good. There is a lot of traffic at Zaventem Airport, also at other airports, and sometimes people were no longer employed there, but they still had a safety badge.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u29	Mr President, this matter was dealt with fairly extensively in plenary two weeks ago, but my question remained on the agenda. I thought she might not be up-to-date anymore, but yesterday articles appeared again in Het Nieuwsblad and Het Laatste Nieuws about Western Flemish police zones expressing their concern. That is why I would like to refer here to the question that has been put.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u30	I would like to remind you and the other colleagues of the rule. One can refer to his written question, but then one cannot ask an additional question in committee.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u31	Mr Moyaers, I feel that there are some misunderstandings or misunderstandings about the recruitment reserve here and there. The recruitment reserve is part of the new recruitment and selection procedure. So she didn't exist before. We can therefore only speak of a recruitment reserve since 11 April 2022. After all, it is only at that time that the first selections have taken place according to the new concept and that people have entered the recruitment reserve. On 1 June 2022, so now 14 days ago, 7 weeks after opening the recruitment reserve, there are 86 laureates in the recruitment reserve, of which 49 French speakers and 37 Dutch speakers. They are now applying for a job at a local police area or a federal police department. It is certainly not the intention to have and keep as many people as possible in the recruitment reserve. After the selection tests, we want a rapid flow from the selection to recruitment by a local zone and/or a federal police service, so that there is a flow. The figures mentioned on the recruitment reserve are not about the stock we want to keep. After all, there is no dynamic in that. They do deal with the flow of those involved. It is therefore a good thing that very few people are involved, but that they have started their training in the meantime. In addition, a large number of laureates have passed the general selection tests according to the old procedure. Between 1 January 2022 and 1 June 2022 592 laureates of the old procedure and already 4 of the new procedure started their training in the police school. Last time we talked about the numbers of recruitment and the people who go to training. The recruitment of candidates for the integrated police force is in a transitional year, a year with a combination of the old and the new procedure. Following the introduction of the new procedure, we have worked to optimize it. The screening we have put in place also requires some coordination and some additional work here and there. However, it is now running as we had planned. The recruitment and selection department of the federal police has been strengthened with staff from the Personnel and the National Police College, in order to eliminate the backlog as quickly as possible. The processing time of the screenings, where a bug has caused problems for three weeks, has now been reduced from five weeks to one week. New candidates may also choose the dates of their generic selection tests according to the new procedure. About 30% of the candidates for inspector and 50% of the candidates for a job at the Security Directorate did not show up for the tests. The question then is, of course, whether this autonomy will get us to the candidate and the recruitment fastest. Employees of the Recruitment and Selection Service have therefore contacted each candidate individually to arrange a new date. Of course, we would have thought that it would be easier for people to decide for themselves, so that they could take account of their agenda. We need to take that into account now. This is something that can also be found in other recruitment processes. We will evaluate the system and the services will examine how to avoid a larger number of absentees, again to make it move forward as quickly as possible. As far as police schools are concerned, there will be a study with them and with the Personnel Directorate on how to adjust the planning for the autumn, so that more places in the training will be available from October onwards. As regards the occupational doctors involved in the selection by the Recruitment and Selection Service, a public contract was issued, allowing them to carry out more short-term medical examinations. We hope to be able to award that government contract in the summer of this year. In the framework of the qualitative aspect of the new sectoral agreement, discussions are taking place with the trade unions on their own recruitment. I've told you that before. This is the system whereby local police areas can take full responsibility for recruitment and selection procedures. We have a pilot project in Antwerp, but there are also challenges. We must have sufficient capacity and we must ensure that these recruitment routes are handled in a harmonious manner, but I am certainly not in favour of this. That is why we have had this on the table for a long time in discussions with the trade unions. In any case, the FOD WASO has responded positively to the question whether zones can also use their own occupational doctors for their own recruitment. As you can see, we're working on the road there. I hope I have given you sufficient information. I'm sure we'll talk about that in the next few weeks and months.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u32	Madam Minister, thank you for the comprehensive answer. I believe that a number of misunderstandings can be overcome in this way. We'll follow up on this. Questions will undoubtedly follow.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u33	Madam Minister, I refer to my written question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u34	Mr Loones, the distribution of seats among the various electoral circles of the country before the elections of the Chamber is indeed governed by Article 63 (3) of the Constitution. From now on, no ten-year census will be held. In accordance with the Constitution, Article 33 of the Law of 13 December 2002 on various amendments to electoral legislation sets out another means of determining population figures. The population figures to be taken into account for the distribution of the members of the Chamber of Representatives among the electoral circles are those resulting from the number of inhabitants registered in the National Register of Natural Persons, as they were published after the 10-year period referred to in Article 63 (3) of the Constitution. The most recent population figures are those of May 28, 2012, which were published by KB on November 19, 2012. The following figures to be taken into account are those resulting from the number of inhabitants registered in the National Register of Natural Persons on 28 May 2022. The extraction of population figures from the National Register on 28 May this year will soon be carried out by the Home Office. In accordance with the Constitution, these population figures will be published within six months. In practice, the publication will normally take place in September or October 2022, but do not pin me on that. Within three months of this announcement, the King will determine the new division of seats in the Chamber. In practice, the new distribution of seats is normally published fairly quickly after the publication of the population figures. I hope I have made this clear to you.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u35	Thank you for your explanation, Madam Secretary.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u36	I refer to the written version of my oral question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u37	Mr Depootere, the so-called camera law of 21 March 2007 applies to surveillance cameras, placed by governments and local authorities. This law provides that the data controller is the legal or natural person who records the finalities and modalities of the deployment of surveillance cameras. The controller should respect the rights and obligations of the camera law and evaluate the necessity and proportionality of the camera deployed. The camera law is clear. Intelligent cameras, linked to external databases, are only allowed if they are ANPR cameras, linked to the technical ANPR database. The use of cameras with facial recognition software in public buildings is not legally permitted under the current legislative framework. The infringement of the camera law is subject to criminal sanctions. Sound recording is also punishable, in accordance with 314a of the Criminal Code. I would like to emphasise that my services provide the declaration platform on the egov portal, but are not themselves the recipients of the data contained in the mandatory declaration. Those records are only for the police forces. Furthermore, the electronic declaration form shall contain an optional field for the technical description of the cameras, where the controller may indicate the camera's mark. Security and security services are well aware of the risks posed by the surveillance cameras. The most appropriate response to the concerns expressed, both within and outside the context of public procurement regulation, is currently being prepared.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u38	Madam Secretary, thank you for the answer. The camera law is clear, but it is a good thing that we uphold the principle of caution in this matter. If one does not see that small cities such as Kortrijk and Hasselt look at the use of these kinds of cameras with a certain distrust, then a number of alarm bells should go off.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u39	Madam Minister, the question is a bit dated, but I refer to my written question.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u40	The judicial investigation into this incident is ongoing, which means that the police area is not entitled to answer the questions asked. The stabbing on the Moricharplein is a particularly serious fact, but fortunately it remains an isolated incident in this area of Saint-Gilles. That neighborhood is mainly related to social nuisance, in particular noise pollution. Street deals are also present in this neighborhood, as in many other neighborhoods of the country. They are also at the root of the aforementioned nuisance. To your question about curfew, I can confirm that no curfew was set at the time. Local police will focus on tackling social nuisance through police presence, by engaging in dialogue with local residents, but also, and above all, with the citizens at the root of the nuisance. Eventually, appropriate action will also be taken if necessary in non-compliance with the rules. In my view, the police as a service provider cannot and cannot be seen as the only problem solver for this problem. The approach to nuisance requires coordinated action by all chain partners, including prevention workers and city guards, as well as the Communities and partners from other sectors. In this sense, police forces are one link within the security chain and will assume their responsibilities.
ParlaMint-BE_2022-06-15-voorlopig-55-commissie-ic818x.u41	Madam Secretary, thank you for your reply. You speak of an isolated incident. That is true of the stabbing, but there are numerous incidents, which you euphemistically describe as'social nuisance'. I would rather describe it as very serious societal problems. The problem doesn't date from yesterday, it's been dragging on for years. We hear the same mantra over and over again: the police will intervene if necessary, but we need a chain approach with different partners first. If that chain approach is not working properly, Madam Minister, then I think we should change our shoulder and instruct the police to act much more repressively. We must abandon the policy of pampering with regard to some young people who create a form of insecurity there.
