ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u1	Mrs Muylle and Mr Bacquelaine apologize. Their questions therefore become without object.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u12	Minister, I refer to the written version of my question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u13	Sciensano's research, based on data from 2018 and evaluating the number of years lost in good health of the Belgian population, also provides an overview of the factors that can lead to a reduction in quality of life. It is very interesting for the definition of our policy. We can estimate which diseases and injuries have the greatest impact on public health. The disease burden indicator used by Sciensano is a very good synthesis indicator. It is about the number of healthy years of life that a person loses due to illness, disability or premature death. It is generally concluded that the 37 main diseases in Belgium resulted in a loss of 2.3 million healthy years of life in 2018. All the pathologies and health problems mentioned have the effect of reducing people's quality of life and even dying prematurely. At the same time, it is difficult to provide a global response to all these diseases and problems. Prevention initiatives are of course particularly important. A healthy lifestyle is particularly important. The Länder also have important responsibilities here and are therefore also indispensable partners in health policy. At the same time, we must recognise that the approaches that are needed are very different in substance. Sometimes long-term psychosocial support is needed, sometimes invasive surgery, sometimes rehabilitation. It's always a matter of healthy lifestyle. In the preparation of the members, the importance of the reform of the hospital landscape, networking and pooling of expertise was mentioned. The reform of the hospital landscape in itself is not enough. Above all, we need to build bridges between what happens in hospitals and what happens outside hospitals. We must strive in every possible way for a more integrated approach and a truly good personal care system, creating synergies between different components in the healthcare system. We also take initiatives in federal health insurance, within our own powers, to create more integrated, and therefore multidisciplinary, care, where people are indeed at the heart of the matter. We are also taking initiatives in the field of mental health care. I say immediately that it must also be a question of integrating somatic and psychological approaches. As a human being, we are one whole. We experience physical and psychological complaints or problems that need to be looked at together. I will not repeat here what I have already said in more detail about mental health policy in previous debates. It is very important that the resources provided by the government for the development of first-line psychological care are properly deployed. That is a process that takes a lot of time, and I wish there would be an acceleration at the level of mental health networks. But I won't repeat that. We have stressed this in previous debates. I would like to add that there are still initiatives on mental health. For example, we want to allocate EUR 35 million to strengthen our care capacity for children and young people in mental health care. We want to do this on the basis of a good assessment of the needs of all the regions and sub-regions of this country. This means that we want to allow more flexibility in the use of the EUR 35 million on an annual basis. One region or sub-region will not have exactly the same priorities as another region or sub-region. It is my intention to organise a survey in the coming days and weeks so that I can make a very good assessment of the priority problems in the regions and sub-regions with regard to care capacity for children and young people. In other words: in children's and youth psychiatry. On that basis, I would also like to develop the capacity for child and youth psychiatry, consular but also, where necessary, within institutional settings. In addition to this 35 million I plan to invest 15 million in High Intensive Care and Intensive Services, HIC and ID. My administration is preparing a third call for project proposals related to this, taking into account, inter alia, the scientific evaluation of the projects already approved during the first and second stages, which were proposed at the meeting of the Adult Consultation Body on 10 March 2022. I can also tell you that on 13 May 2022 the Public Health Office will organise a webinar on the intensification of the HIC and ID projects. That will be an important step. As a number of Members have pointed out, we must continue to give the problem of psychopharmaceutical a place of our own, but at the same time we must also hope that what we are doing in terms of developing mental health care and adult, child and youth psychiatry really helps to combat overuse and misuse of psychopharmaceuticals. That's a familiar problem. In 2013, already eight years ago, the Belgian Psychotropics Experts Platform - BelPEP - was established, a multidisciplinary platform that provides advice on policies for the rational use of psychopharmaceuticals. Some patients are prescribed psychopharmaceuticals while a non-medical alternative may be possible and would be better, and others may not be prescribed psychopharmaceuticals although that would be appropriate. This is a challenge, both for the care provider and for the patient. In this respect, various training tools have already been developed under the coordination of the Public Health Office for health professionals, but also useful tools for patients. I could give a detailed overview of this, but I will not do so and refer to the website www.sleepenkalmeermiddelen.be, maintained by the FPS Public Health, which maps existing initiatives, but also to the material collected on the website of the FPS Public Health, https://www.health.belgium.be/en/health/organisation-of-health/quality-of-care/good practice. You will find a whole overview there. The important thing is that we will not leave it to what exists. At the end of this year we are planning a next campaign on psychopharmaceuticals, a campaign that will focus on the general practitioners, pharmacists and psychologists. I am also looking forward to launching the campaign that is in full preparation. I hope, after all, that, at the start of the campaign, there will be a well-developed first-line psychological care, better cooperation between first-line psychologists and general practitioners, and a permanent important role of pharmacists in this area. As far as harmful alcohol consumption is concerned, I can only endorse Mrs Depoorder's call for this. Indeed, within our powers, we must do everything possible to support health professionals in order to speed up the identification of harmful alcohol consumption in patients and to better refer patients to the right treatment. This support includes a series of training courses, some of which are still under development. We also finance the project "tools and care path alcohol" which was started in fifteen general hospitals. The project consists of training hospital staff to identify more effectively harmful alcohol consumption in patients and to develop a care path in the hospital's lap to help patients be treated more effectively. Finally, the Thematic Conference on Drugs of the IMC Health - a meeting which I chair - undertook to develop an interfederal strategy to reduce harmful alcohol consumption in Belgium. The problem and the general objective of this plan were presented to the members of the Thematic Assembly at the end of last month and have already been approved. The aim is that the working group should now be preparing concrete actions. The final text should be completed by the end of this year. To sum up, I would like to say that we can build on a whole series of initiatives that have been taken around psychopharmaceuticals and alcohol. I also believe that we should give fresh impetus in the second half of this year, both through actions to combat harmful alcohol consumption and actions to improve the use of psychopharmaceuticals. All this against a background of hopefully a fully developed first-line psychological aid and an increased capacity in child and youth psychiatry and adult psychiatry, where it complements one another well. Whether these solutions are adequate for all the problems identified in the Sciensano study which led to this topical debate? You do not hear me say that, but I do think that we should intervene as efficiently as possible on the basis of this kind of scientific material. Of course, I have also listened carefully to you, Mrs Depoorter, although I have not responded punctually. After all, you had asked further questions and made suggestions regarding the role of the pharmacist. I have not gone into this now because I do not have a ready proposal, but I will certainly continue to pay attention to it.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u14	Minister, I have some good news for you: I have that ready-to-use answer. Feel free to read it: it is the 2550 proposal tabled by me and my group colleagues in the Committee on Health. Minister, I am truly disappointed in your reply on the phasing out of psychopharmaceuticals. You've given us a lot of explanations we've already heard. Positive steps have indeed been taken with regard to mental health care, but if you say that you want to launch an awareness-raising campaign on prescription behaviour in relation to psychopharmaceuticals, you really underestimate what is the problem today. It all starts with prescription, but it is also true that many patients today are twisted in the use of unpaid psychopharmaceuticals. For years it has been a priority for the RIZIV to provide a reimbursement schedule. You're now saying you're gonna do research and work evidence-based. The Hoge Gezondheidsraad published a publication in 2011 following the study by Coteur, Van Nuland, Vanmeerbeek et al. on the effectiveness of the reduction of psychopharmaceuticals. The authors draw up a clear schedule: one will titrate per 10 % of the patient's dose and deliver it to the pharmacist or to the psychiatric home nurse, you know: the one for whom you only have two nomenclatures, while I have asked more often to increase the number of nomenclatures and the guidance of the patients. The plans are there, my proposal is ready, you can put your name on them, no problem at all: there is indeed a possibility of a solution! And you will reply that you will investigate this and come up with an initiative soon. This initiative has been selected as a priority by RIZIV. Work it out and we'll help a lot of patients right away. I would like to add one more point, Mr President. If the benzodiazepines are non-refundable psychopharmaceuticals, it is priceless for the average patient to finance the dilutions from his own pocket.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u15	Minister, your answer is interesting, but I wonder if you have understood the seriousness of the situation. We often score well on European barometers compared to other countries, for example in terms of accessibility or number of hospital beds, but in terms of good health and quality of life we are red lantern carriers. We really need more prevention in our country. I do not think you are using certain things to take further steps. Let me give you an example. We still do not have a long-term strategy for vaccination centres. The PVDA has long argued in favour of further developing and using the good cooperation with all the people in primary care at local level for vaccination if necessary, perhaps even for vaccination for flu, but also to consider other preventive measures that could be developed from primary care in the long term. I am thinking of promoting a healthy lifestyle, detecting diabetes, working on tobacco addiction. These are things that need to be developed close to the people. This is really underdeveloped in our country. The people of primary care in the covid crisis have achieved fantastic things in the field to meet the challenges of vaccination of the population. I think that we can use this to develop a long-term strategy for prevention. I would also like to emphasise the development of multidisciplinary first-line centres - we also do this with Medicine for the People - where people can go for care and prevention, for physical care with the general practitioner and the nurses, but also for mental care. We need to work on the idea of the first-line pyschologist that people have access to quickly. If fears are still mild, if alcohol consumption is still starting, if depression has not yet developed, people should have access to treatment. This way we can avoid ending up so badly in that ranking. You say that you will take certain actions for the general practitioners in the field of psychopharmaceuticals. That is a good initiative to make people aware, but we score very badly in Belgium. There have already been sensitization actions. What about the numbers? We need to follow that. I think this is going the wrong way. In terms of people's working conditions, we must also focus on prevention. Low back pain causes people to sit at home and lose their quality of life, is in the study. It is not going to be solved by sending the people with back pain back to work quickly. We need to focus on prevention. We must ensure that employers assume their responsibilities and that people's working conditions are workable.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u16	Thank you, Minister, for the comprehensive answer. I believe that such studies are very important for all policy makers, not only for you or for us, but also for local authorities. I agree that prevention should be tackled close to the people and that local authorities can and already do play a role in this. The numbers aren't negative. We read in the study that 2.3 million healthy years of life have been lost, just because of these 37 most common diseases. That's huge. You have also said that man is a whole and that it is important that we also remember the mental aspect. I agree. I see that in other diseases, too, much more is being devoted to this, not only to the physical aspect, but also to mental well-being. Man is a whole. The mental has an impact on the physical and vice versa. What worries me is that we invest very little in prevention. I think we need to see how we can strengthen this and how we can do it together with the regions and local authorities. I think working with health objectives can help with that. You have already worked on this with the RIZIV, but I think we need to go further. Objectives ensure that all stakeholders are in line and that all regions and local authorities can also be involved. For example, it can be decided that this year we will focus on alcohol consumption and tobacco consumption. Then the local authorities can play a role in this.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u17	Mr President, Minister, this study is certainly interesting, but I think there is no surprise. It must still be admitted here in a sufficiently clear way. We have multiple data on the explosion of chronic diseases. They are known.- they do not date from today - both at the level of Belgium and at the European level, in any case, of the Western countries. What I expect, beyond studies, is a much clearer and much stronger strategy, with both the primary prevention aspects: we always refer to the Communities and the Regions, but the federal government has in its hands the levers that are fundamental. Tobacco and alcohol plan: there have always been major resistances during all these years in order, indeed, to take strong measures in view of the seriousness of the situation. Food, living conditions, environmental risks are all levers available to the federal government; and secondary prevention aspects to slow down the evolution of chronic diseases, too, I think, too. Second, there is the whole aspect of access to health, the quality of care that goes first and foremost through a sufficient number of well-trained caregivers; the fact of having as early a diagnosis as possible, accessibility to care; the centres of expertise with multidisciplinary care; and the whole aspect of innovation. In short, beyond studies, what I expect is a strategy in relation to chronic diseases that will only worsen in the years to come. It is therefore of course up to policy makers to put in place a public health policy worthy of this name and commensurate with the issues at stake.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u18	Mrs Laurence H annoyance has just apologized for a family imperative and as already mentioned, Mr Bacquelaine and Mrs Muylle are also apologised. These questions therefore become moot.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u19	Minister, the ECDC called a while ago to test Ukrainian war refugees for all kinds of infectious diseases, including the corona virus. OECD figures show that only one third of the Ukrainian population has been double vaccinated against corona. This is mainly about 60-plussers. If we compare that to Flanders, it's pretty low. Even the vaccination rate against polio and measles is relatively low at 85 % and 82 %, respectively. You might be able to draw the licence card here, but I assume you won't. Ukrainian refugees can apply for a special status in our country that is valid for one year. With this they can get an A card, with which they can join the compulsory health insurance. They can also apply for a BIS number, a social security identification number and be vaccinated voluntarily with that number. I have a few questions about that. I'm sure you're eager to answer them. Are Ukrainian war refugees systematically tested for infectious diseases? If that's the case, when will that screening take place? What infectious diseases will these victims of the war in Ukraine be tested for? What are the results of these tests? How many Ukrainian war refugees have requested a BIS number? What proportion of Ukrainian war refugees have applied with that BIS number to be vaccinated against corona? Which part of it has been effectively vaccinated in the meantime? In Ukraine, among other things, vaccinations were carried out with Russian Sputnik V and Chinese Sinovac. Since neither vaccine has been approved in our country, I would like to hear from you how this is taken into account and what the vaccination status is or will be of the Ukrainian war refugees concerned for our government. In other words, is vaccination with a vaccine that our country and the European Union do not recognise in one way or another? Can Ukrainian war refugees in our country also be vaccinated against infectious diseases such as polio and measles? If so, to what extent does this happen?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u20	Minister, since the Russian invasion of Ukraine many people have fled their country, mainly women and children. Every day horrible images come to us that show that citizens are not spared. Belgium decided rather quickly to keep 150 beds free for war victims. The Belgian offer has been reported to the European Union, which coordinates the possible reception and distribution of Ukrainian patients in European hospitals. In addition to the 150 beds already made available, are there plans for further scaling, should this prove necessary? Have war victims been transferred yet? According to people from the healthcare sector, such as Margot Cloet, further medical care and coordination will be needed. There are people coming at us in the number of a medium-sized city centre. They haven't all been vaccinated, we know that. There are chronically ill and people who have other needs, as well as people who have suffered trauma. You have already stated that consideration is being given to the creation of concerns in cooperation with the Communities. Can you tell me more about that? In the first-line zone where I live there is already such a concern, so I suppose there is already progress in that area. Thanks to the very successful vaccination campaign, the covid crisis in Belgium is now fairly well under control. In Ukraine, the vaccination rate against covid, but also against other diseases, is significantly lower. Is there any study with the Länder on how we can test the people who arrive here for covid and offer them a vaccine? Is that what's happening through the worries? Is it being examined whether we can offer their other vaccines, possibly in cooperation with those concerns? What role can the federal government play in this and what should the Länder do? How is our healthcare sector, both primary care and hospitals, prepared for the expected additional medical care both physically and mentally? Is a coordination plan being put in place for this purpose? Is additional resources provided?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u21	Mr Minister, first of all, those facing war often develop traumas. So it could be that Ukrainian refugees coming to our country need psychological guidance. I would have liked to have heard from you about the efforts you have already made in this regard. Do you think psychological support is needed? Did you also link an age study to that? For example, do you have special facilities for children who come from war zone and have to build a new life here, go to a new school and leave their home and sometimes parents behind? What are your specific plans regarding psychological support for children and young people? How much budget did you allocate for that? The competent State Secretary has also made a number of statements on the guidance of Ukrainian refugees in the press. To what extent have you also consulted him and provided a project on psychological assistance and planning for Ukrainian citizens? Secondly, the federal government has a number of obligations towards civilians entering our country from a war zone. In accordance with Article 29 of the Reception Act, the recipient of the reception may be subject to a compulsory medical examination for reasons of public health. To what extent did you organise a screening? How does that work out? Which authorities are competent? If you did not organize that, I would have liked to know why not. A few things have already been put in place, but who pays what? How are the costs distributed? Have you made any arrangements on this? Have you worked out a plan or framework with the competent State Secretary? Is that framework clearly publicly available? The degree of vaccination against COVID by the Ukrainians is not that high, as my colleagues have already mentioned. This is also the case for other vaccines. How did you anticipate this? Concerns are being organised. What means are in favour of this? How are the resources distributed? The federal policy level will cover the costs of the necessary medical examinations. This concerns the reimbursement of the work of the caregivers. How is the distribution with the Länder regulated? Has that been knocked off yet? The discussion on who is paying for the booster shot is still ongoing. What about the cost of vaccination against corona and diseases such as measles, mumps, rubella, diphtheria, tetanus and pertussis? What is the timing for the vaccination of the upcoming Ukrainians? Will they be escorted to the medical centers immediately? To what extent are they prepared to be vaccinated? As this is not mandatory for our citizens, so is those arriving in our country.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u22	I refer to the written version of my question.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u23	Minister, on 2 March, the university hospitals asked in a letter to concentrate the care of war victims as much as possible in the military hospital of Lower Over Heembeek. As a reason, they give up safety, expertise and the fact that care is still being overtaken in the regular hospital sector. It seems logical to me that victims of war should initially be cared for in a military hospital. I asked Minister Dedonder what the capacity of the Military Hospital was for the Easter holidays. Then, to my surprise, only 25 beds were available and then only for patients with burns. In the meantime, how many victims of war have been transported to Belgium? In which hospitals and in which provinces or regions are they taken care of? Is it university hospitals or general hospitals? How's the distribution? What do you think of the fact that the military hospital can only accommodate 25 patients and then only for specific injuries? Shouldn't the military hospital be able to play a greater role in times of crisis, especially in a war situation? What agreements have been made with the Defense Department on crisis situations? Will you ask your colleague to provide more capacity in the military hospital in the future, including for other pathologies, such as polytraumata, especially when we are dealing with war? This seems particularly important to me in order to safeguard regular hospital capacity.
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u24	Mr Minister, in the Doctor's Newspaper of 31 March 2022, we read that the RIZIV is developing an arrangement to ensure the first medical reception of Ukrainian refugees in the central areas of concern. The main aim is to collect medical data from the refugees, to start first treatments, to provide pregnancy guidance and to guide them in our health care system. The areas of concern will also be the subject of psychological assistance from the mental health networks. What is the concrete state of play in relation to the concerns? Where is the consultation going and who is involved? How is that financially budgeted, because it's something new after all? Where are the resources coming from and how much resources are being made available for them? There are mobile teams. What is the real meaning of this? What profiles will the mobile teams man? Where did they come from? How will you work out psychological aid for refugees, given the long waiting lists already in place in the sector for our own people?
ParlaMint-BE_2022-04-20-voorlopig-55-commissie-ic757x.u25	Mr President, Minister, I would like to address two points. The first concerns the care of refugees. As many questions have already been asked on this subject, I would simply like to stress the fragility of a number of them and to return to the care, coordination, psychological aid, the issue of language and assistance for hospitals which should include interpreters, ad hoc funding for the care of these patients, both for their accessibility and for the financing of hospitals. Some of the refugees suffer from chronic diseases. I heard your opening, and by the way, some nephrologists have responded with regard to the dialysis patients. However, I would like to draw your attention to the fact that this type of patient is difficult to mobilize because they need either daily peritoneal dialysis or every 48 hours in haemodialysis. I invite you to evaluate things in the other direction. Medical equipment was sent, but to my knowledge, nothing specific for chronic non-movable patients. I am thinking of the call of Ukrainian nephrologists to obtain dialysis equipment, in order to help these patients in the particularly delicate situation on the spot. The second part concerns war-wounded people. A European commitment provides for the release of 150 hospital beds for future war wounded in Ukraine. I confess that I do not understand why this postponement of charges to general hospitals, and more particularly to university hospitals, when they are still faced with the closure of beds due to covid-19, involving the postponement of care of other patients. The hospitals have asked you – and you have not, to my knowledge, yet answered – about the importance of a centralized reception of these potential war wounded at the Military Hospital. This is all the more important from a safety point of view in the case of, for example, chemical, biological or even nuclear warfare. University hospitals would make particularly well-trained personnel available to the Military Hospital if necessary. Minister, you must understand how impossible and irrelevant it seems to me, in relation to the management, that these wounded from this war should be sent to the general hospitals. I urge you that the government proactively activate the procedure to the Military Hospital if many of the wounded were to arrive and be taken care of in Belgium.
