ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u1	Ladies and gentlemen, the Minister can stay until 6 p.m. today.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u12	Far from me. It was the PTB that collected 300,000 signatures, not the MR. Under the Michel government, when you were a minister, the MR increased the VAT to 21%. I hear you're open to the proposal. We were two Members under the previous legislature and I had come from time to time to see you in the Committee on Energy. I note that you are demanding that the surplus generated by energy producers be used to finance this reduction in VAT. That is exactly what I said earlier in my speech. Finally, I would like to return to Mr Vanden Burre, who is defending a targeted measure, that is to say, to help the poor and the middle class. But if you add up the precarised public and the middle class, that makes the majority of the population. I still want to point out that 80 per cent of the population have a net income of not more than 2,000 euros per month. Even the 9th decile, the richest nine tenths, has an average income of 2,139 euros. These people are all targeted. Nine tenths of the population are severely affected by rising energy prices. It is for virtually the entire population that a measure is required, therefore not a targeted measure. We need a general measure. And to make the rich pay, there are the taxes of the millionaires, the contribution of the energy producers. There are ways to bring in money, but VAT is not a solution to tax the richest.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u13	Thank you for your answer, Minister. As you said, this debate is ongoing. These are proposals that you have made, as you have said yourself. On the government table is a whole series of proposals, which have also been made in connection with other types of measures. We're also potentially talking about cheques. Some families can therefore be targeted. As for the enlargement of the social tariff, it is important. Mr Verduyckt thought it was insufficient, but today it is still an impact on 20% of the population. Yes, we need to reach more segments of the population. I said it. But this tariff needs to be expanded over time and in the categories of people affected. That's clear. This will, in any case, consist of a series of measures that will respond to the current urgency. Indeed, we want measures that are as effective as possible, and to that end, they must be effectively targeted. I am not going to answer in detail to Mr Van Hees. We know the positions of environmentalists and communists in this regard. We really want to have a targeted measure that directly affects the families who need it, and it is not just the disadvantaged families. I said it. It is also a large part of the middle class. Yes, there is a need for solutions and targeted solutions. They are particularly on the table. Today, we must move towards a decision which, clearly, is moving towards a package, a panoply of measures. Indeed, only one measure will not be sufficient. They will have to be urgent and lasting. Of course, all ministers, particularly the Minister of Energy and the Minister of Finance, are counting on this. It goes without saying that we will follow this debate very carefully.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u14	Thank you, Minister, for your explanation. We should perhaps pay more attention to the fact that there are high prices throughout the discussion. That's the first problem. The second problem is who pays the bill, because it is a fact that someone has to pay the bill. Minister, I appreciate that you are examining different slopes and that you are applying the criteria of effectiveness and thoughtfulness. One must always think one step further. What are the derivative effects? What is sensible and sustainable? This is too important. In addition to the measures already taken, additional measures must be taken which are targeted, socially responsible and financially feasible. I think we should all refrain from profiling ourselves. After all, we all want smart taxes. There is little point in blackmailing this debate or holding a classic opposition discourse. This has little to do with the problem. My concern is always what we will do in the long term to ensure that there is sufficient supply to meet rising demand.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u15	Thank you, Minister, for your very broad answer. It augurs for a start of a solution appropriate to the critical situation in which we are. First of all, I share with you the fact that we are in an exceptional circumstance, of which I do not know how long it will last: at least a few months. I am convinced that, unfortunately, we will not find prices in the energy markets for a long time, which are sufficiently low to return to the situation we had before these far-reaching increases. It's a first thing. So you are right to foresee what is to be expected. That's where I may be going to engage in dialogue with Mr. Van Hees. To the extent that a reduction in VAT can only be temporary, it is obvious that you need to look, alongside this, for sustainable measures that can be structural and permanent or, in any case, able to adapt in the future to the fluctuations of the market in the medium and long term. You do, and I thank you for that. That's really what we need to look for. Mr Van Hees, it is true that you have attended one or the other of our committee meetings. I don't blame you. I have always been open to the principle of a reduction in VAT but not in a structural way because we all know, as you – do not pretend to not know – that this decrease cannot be structural. That is what differentiates us. The former government, which was chaired by Mr Di Rupo, had decided on a temporary reduction in this VAT which, at the end of this time, had to be raised. That's why we had to do it. It is therefore clear that other more fundamental, targeted and nuanced measures need to be found. It would be interesting to hear from you on this point. I am thinking of sustainable, structural measures, bearing in mind that the reduction in VAT is necessarily only a one-off glamour. We must therefore also warn against this punctual glamour. That 15% on the bill may not even be enough to counter and stem the increase we are experiencing now. I see you're opining from the leader, so we agree. Minister, we look forward to your panel of measures. We are not the most impatient. Those who really are, quite rightly, it is all consumers who really need this structural assistance from the government, and to have that listening. I also hope that you will extend your know-how and your willingness to move forward with a dialogue with the Regions, as they could also participate in this great national effort.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u16	Minister, last weekend, via the Federal Participation and Investment Company (FPIM), the federal government took over 6% of the capital of Ageas, the largest insurer in Belgium. You noted that this transaction fits in with the FPIM's investment strategy, as the financial sector is one of our six strategic investment pillars. In the De Morning programme, you also said that the decision was taken because there was a danger that the interest would be taken over by others. Can you explain the strategic added value of the participation? What would be the real danger if the interest had fallen into other hands? Is that the main reason why they chose to invest in Ageas now? On what criteria was the decision taken by the FPIM? Is the assessment made by the FPIM affected by the renewed management agreement and investment strategy? If so, in what way? Stefaan Michielsen points out in De Tijd that the federal government is now a shareholder of three major insurers: Belfius Insurance, Ethias and Ageas. He claims that this threatens to create an uneven playing field with competing insurance groups that are entirely in private hands. How do you judge that theorem? How does the FPIM take into account this potential threat? The centralisation of holdings within the FPIM has been deployed. As the FPIM's balance sheet expands, it is important to strengthen the FPIM's accountability. I have a few questions about that. The management agreement between the government and the FPIM does not contain any guidance on the federal government's shareholder policy, in particular as regards the anchoring of strategic assets. Both the OECD and GUBERNA therefore recommend that an ownership policy be drawn up, a kind of shareholder policy that should include the long-term strategy of the government. This document should be adopted at political level following a public debate and after consultation of stakeholders concerned. Will you and the FPIM work on this? Finally, do you not think that the communication of the FPIM should better reflect its relative operational independence? The FPIM should actually communicate on this type of transaction itself rather than through the Minister of Finance. However, we have not heard from the chairman of the board of directors about this and today there is no information about this large transaction on the website of the FPIM. Do you also think that the FPIM should communicate more independently?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u17	Mr Vanbesien asked the questions in a broad context. What is the logic seen in a broad context? Isn't there a risk that there will be a preponderance of the financial balance in the relationship between the different strategic spearheads that exist? What is the ultimate motivation for this step? Is it a case that has been sought or was it offered rather and is it an opportunity? Then there is the question within the question, in particular about the FPIM's own communication line. Is there any independence to act in that?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u18	As mentioned by colleagues, the Belgian State becomes the largest shareholder of Ageas, after the Chinese Fosun. In addition, I do have a few questions. First, in the financial press, it is suspected that it would be the acquisition of the shares of the Chinese group Ping An, which also has an exact 6,3% share package. Can the Minister confirm that? Secondly, you stated first that there was a risk of a foreign takeover, secondly that the transaction fits in with FPIM's investment strategy and thirdly that this is a smart anchoring of companies of strategic importance. What risk of takeover are we talking about? How big and how real was that risk? Can you give Parliament more information on this? After all, that is not insignificant. Thirdly, the participation of 6.3 % is indeed sufficient to block a buy-out bid, a so-called sqeeze-out, by avoiding that a particular buyer can acquire 95% of the shares and thus push out the other shareholders. However, a foreign takeover can also be stopped by a legal ban. For example, the German Government has legally prohibited the acquisition of the technology company IMST by a Chinese defence group for security reasons. Was that possibility considered? If not, why has that possibility never been investigated? The financial sector, to which Ageas belongs, is one of the six strategic spearheads of the FPIM, in addition to aviation, healthcare and scientific research, impact investments whatever that may mean, energy and public utility services and, finally, transport and mobility. Minister, what are the criteria for considering participations as strategic? In the specific case of Ageas, the majority of turnover and profits are realised abroad. Turnover and profits in their own country can therefore hardly be regarded as a strategic element in this dossier. Is there not also a task for Parliament to hold a debate on the strategic nature of public investment, for example, to define and review criteria that a dossier must meet in order to be considered strategic? When we look at the shares of the FPIM, it is striking that the share of the financial sector, such as Dexia's residual bank, Belfius, BNP Paribas, Ethias, and now Ageas, and in particular insurance, is becoming very large. Is a better distribution of risk and portfolio within the FPIM not on the agenda? How is this participation funded? Does this happen with the FPIM from cash or through the sale of other shares? Does the federal budget intervene in this case through participation or participation?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u19	Madam Chair, Minister, colleagues have described the context in a comprehensive manner. So I will not repeat what has been said. In line with what Mr Vanbesien was asking, I wanted to go back to your statements. Minister, you said in the press that an investment of 6.3% of the state, via the SFPI, in the capital of Ageas, is made to anchor the group. I understand the question of employment, of course. These are criteria that I fully understand. I wanted to understand more broadly whether other criteria had been taken into account for this investment, which is important: criteria related to sustainability, social impact, environmental impact, each investment of the SFPI. Here, it's in an insurance company, but it could obviously be somewhere else. I would like to know what is also under discussion for other potential investments by the SFPI, which is now literally becoming the federal state's financial arm in terms of investments and in terms of managing public participation. That's a good thing. This is something that we have defended in the discussions to form this government. Minister, I wanted to see if you could explain in detail this 6.3% acquisition, but also take advantage of it to expand the whole investment, and therefore the next investment targets of the SFPI, that we can expect to see coming in the coming weeks and months.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u20	Madam President, ladies and gentlemen, first of all, I would like to point out that the FPIM is still subject to a confidentiality clause, which makes it difficult to disclose much information about the selling party. That is until the official notification at the FSMA happens, after which we will of course find ourselves in a different situation. For what reasons have we made that purchase? At a shareholders' meeting in Ageas, the fact that the shareholdership there has been fragmented has always represented around 40% of the shares. This means that a party with 10% or more of the shares can weigh very strongly on the decision-making process. In the press, there were more and more reports and rumours about parties possibly preparing to take over Ageas. With the participation of the FPIM in the shareholdership, we can ensure that we continue to anchor that important stake in Belgium, as the FPIM holds more than 5% of the shares and is therefore a significant representative at the general meeting. Mr Vermeersch, as far as the legal framework is concerned, Europe does not allow a foreign takeover to be stopped unless there is a real threat of the takeover. The possible acquisition of the German IMST posed security risks to German citizens by the sensitive information that IMST faces. Since there was no real safety risk for the acquisition of Ageas, there was no legal prohibition in this regard. The FPIM's investment strategy was already explained and discussed in the Finance Committee on 23 September 2020, when I had not yet been appointed Minister of Finance. For this anchoring strategy, we will of course, in cooperation with the FPIM, apply a so-called smart anchoring approach that allows FPIM to anchor strategic Belgian assets efficiently, taking into account the resources available to FPIM. Strategic assets are defined as companies with potential to grow into important players in Belgium and emerging from the new economy, as well as companies that are considered to be of national interest to Belgium, for example because they relate to our national security, are of public interest to make our economy function properly or belong to a key sector that distinguishes the Belgian economy from abroad. The concentration of the financial sector is, of course, the result of the financial crisis in 2008. At that time, the federal government saved several institutions from bankruptcy by engaging in equity participations. Once all the shares are centralized in the FPIM balance sheet, the FPIM will of course also further analyse and try to mitigate the spread of risk and portfolio, taking into account the fact that it is a sovereign wealth fund and the strategic nature of each of those shares. Participation in Ageas is financed from the FPIM's own resources, without budget support. There were more and more rumours about foreign parties preparing an offer to buy for Ageas. We could have let the market play freely and then discovered that an important decision-making centre had moved abroad. AG Insurance is the country's largest insurer and one of the largest investors in the second and third pension pillars. The Belgian infrastructure – the government – strengthened the Federal Society of Participation and Investment (SFPI) last year to anchor these strategic assets in our country. Indeed, we want to anchor strategic companies in a smart way. We have taken into account employment, but also the important role that Ageas plays in the Belgian economy. Ageas employs 7,000 people and is the largest insurer in our country. Moreover, a significant part of the Belgian financial sector is already in foreign hands, such as BNP Paribas Fortis and ING, which increases the dependence of our economy on foreign decision-making centres. The FPIM does not deal with the daily policies of the institutions. It is bound by the rules and provisions of corporate governance regarding the avoidance of conflicts of interest. The same applies to any representatives designated by the FPIM in the institutions concerned. As a result, participations are independent in operational decisions and strategy. The FPIM is currently preparing an ownership policy, which indicates the direction of the government's long-term strategy. It will also be discussed in due course on the Board of Directors of the FPIM and the Government. The FPIM is free to communicate about the decisions it makes. The decision to participate in Ageas has been taken entirely autonomously. It is therefore up to them to communicate about this.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u21	Thank you, Minister, for the comprehensive answer. We know that the importance of FPIM will increase considerably in the coming years. If all holdings are centralised and companies such as Proximus, Bpost and Belfius come under FPIM control, the portfolio managed by the company will increase from EUR 2 billion to EUR 20 billion. That's a huge responsibility. That is why I really insist on defining a shareholder policy, as recommended by the OECD. You say that the FPIM is working on this and that this will be discussed by the government. I hope that Parliament will be given more information on this so that we can provide guidance.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u22	Thank you, Minister, for the answer.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u23	Minister, you have also read the newspaper articles, the government steps into Ageas and the investors step out of Ageas. With this operation, the Belgian government has certainly had little confidence in the markets, because the stock exchange rate got quite a tap after the FPIM entered. As far as the risks are concerned, you say it's rumors. I hope that we will not base our strategic stakes on rumours. You do not say what role Parliament will have in this. However, we consider it very important to be able to hold a debate in Parliament on the strategic nature of investment. We also need to be able to define clear criteria and assess in future what a dossier has to meet in order to be seen as strategic for the FPIM. You are right to say that we have a number of holdings that are a historical consequence of the banking crisis, but we also need to be able to say goodbye to a number of holdings. We had that calculated by the Federal Planning Office in response to the election campaign. We believe that there should be a debate in Parliament on which shares the government should hold and which should not. If market conditions are right, we must also be able to distance ourselves from a number of holdings. These resources can then be used for energy measures or debt disposal. We urgently need to have a debate on these possibilities in Parliament.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u24	Minister, I will not reply further at this stage. We'll follow the file closely. I thank you already for these first elements.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u25	Since Mrs Reuter was absent, her question No 55021602C was not applicable.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u26	I refer to the written version of my question.
