ParlaMint-NL_2020-12-08-tweedekamer-69.u1	Finally, we move on to the last VAO: the VAO Nature. I am happy to give the floor to Mr Wassenberg.
ParlaMint-NL_2020-12-08-tweedekamer-69.u26	This was the first motion on the Caribbean. I think we should wait. I didn't realize the members didn't have them either. We'll just wait a minute.
ParlaMint-NL_2020-12-08-tweedekamer-69.u27	I understood that there were only a few speakers when the VAOs were scheduled, but it has exploded since Friday afternoon. We have not been able to take that into account.
ParlaMint-NL_2020-12-08-tweedekamer-69.u28	I'll give you the appreciation again, without any explanation. The motion in part No. 203 has been dissuaded. The motion in part No. 204 has been dissuaded. The motion in part No. 205 gets judgment, Chamber. The motion in part No. 206 has been dissuaded. The motion in part No. 207 is the motion on the goats on Saba and Statia. No matter how sympathetic, I really can't live up to this. In that light, I must discourage the motion, but we are doing everything we can to limit the problem. Then the motion to part No. 208. We're in the process of improving coral cover by island. We can see what's possible to set those targets earlier, but I can't see now whether that's technically possible before 2024. I have to discourage this motion, even though we're in the process of looking at how we can apply acceleration.
ParlaMint-NL_2020-12-08-tweedekamer-69.u29	Two years ago, there was supposed to be a policy plan. That has finally come. Now there is also a reference to 2024. That coral will be gone by 2030! This must be given real priority.
ParlaMint-NL_2020-12-08-tweedekamer-69.u30	But I'm prioritizing it. I'm doing everything I can to get this thing moving. This motion calls very specifically for 2021 and I cannot commit to things that I am not sure will succeed. That's why I'm deposing the motion. Let's see, the motion to part no. 209 gets judgment, Room. Then the motion to part No. 210. I've already promised that I'll talk to the State Real Estate Company about what the consequences will be if you go ahead with this. This motion goes one step further. He's gonna ban it right away. That's why I have to discourage this motion. Then the motion to part No. 211. There is now a date mentioned, but I do want to first... I recognize the problem. I'm working on the risk assessment. I'll see what's in there. Perhaps Mrs Bromet can hold the motion, because the date is just a little too early. I need to see what's in the risk assessment first.
ParlaMint-NL_2020-12-08-tweedekamer-69.u31	Mrs. Bromet is coming to the microphone. Go ahead.
ParlaMint-NL_2020-12-08-tweedekamer-69.u32	I can hold the motion, but I can also set another date. It doesn't really matter. Would June 1st be okay?
ParlaMint-NL_2020-12-08-tweedekamer-69.u33	No, I need that risk assessment first. I just can't figure that out right now. But when I do, I'm gonna take a serious look at it. That's what I'm trying to do. This date is just too early. Based on that, I have to dissuade her. What the motion in part No. 212 asks, we're actually already doing it. We are already participating in the wolf working group of the IPO and we are hanging out with the provinces. Action perspective in the event of incidents is one of the elements of the consultation. The provinces are directing this process, so I could take over this motion.
ParlaMint-NL_2020-12-08-tweedekamer-69.u34	Does anyone object to taking over the motion in part No. 212?
ParlaMint-NL_2020-12-08-tweedekamer-69.u35	Yes, Mr. Chairman, there is talk of killing wolves while they are a protected species. So I do object.
ParlaMint-NL_2020-12-08-tweedekamer-69.u36	Okay, if you object, she'll be put to the vote. That'll give him judgment, Chamber. Go ahead. The motion in part No. 213.
ParlaMint-NL_2020-12-08-tweedekamer-69.u37	This also applies to the motion in part No. 213. Actually, we're already working on this. We are also looking at this point. So I could take over this motion, too, but if it's going to be put to the vote, she'll be judged Chamber.
ParlaMint-NL_2020-12-08-tweedekamer-69.u38	Anybody mind taking over? You can nod too. Mr Wassenberg.
ParlaMint-NL_2020-12-08-tweedekamer-69.u39	Just put it on the list.
ParlaMint-NL_2020-12-08-tweedekamer-69.u40	Put it on the list. Then this motion will be voted on and it will be judged Chamber. Please continue with the motion in part No. 214.
ParlaMint-NL_2020-12-08-tweedekamer-69.u41	Let's see. It's the same as Mrs Bromet's motion. I really want to take this into consideration, but first I want to wait for the proper risk assessment that is currently being carried out. My proposal would be to hold the motion, but we're going to look into it.
ParlaMint-NL_2020-12-08-tweedekamer-69.u42	He's not gonna arrest her, so we're gonna put her to the vote next Tuesday. Then the motion to part No. 215.
ParlaMint-NL_2020-12-08-tweedekamer-69.u43	It's the same one, so to speak. I'm working on it. Just give me a minute. It's just too early to make a judgment on that. I would really arrest her if Mr Moorlag is prepared to do so. Then we'll see what we can do that way.
ParlaMint-NL_2020-12-08-tweedekamer-69.u44	We're gonna hear it. Mr. Moorlag.
ParlaMint-NL_2020-12-08-tweedekamer-69.u45	Mr President, the situation is urgent. I went to Terschelling this spring. They were out there digging machines. Millions have already been spent. It's really urgent. I would appreciate a somewhat more active attitude on the part of the Minister.
ParlaMint-NL_2020-12-08-tweedekamer-69.u46	Okay, so you're not holding the motion.
ParlaMint-NL_2020-12-08-tweedekamer-69.u47	I would like to stress that we sent the Nature programme to your Chamber today. It also identifies measures to ensure that remedial measures can be taken. This is also done through a specific benefit to the provinces. This can be combated. So we're working on it. I am trying to find the landing ground with Mrs Bromet and Mr Moorlag on the water crassula, but I note that it has not yet been fully found.
ParlaMint-NL_2020-12-08-tweedekamer-69.u48	Thank you. This brings us to the end of the seventh VOC, which we have completed in no time. I would like to thank the Minister very much for her speed. It's annoying that we've been under so much pressure from time to time.
ParlaMint-NL_2020-12-08-tweedekamer-69.u49	I shall suspend the sitting for a few moments before we debate the European summit... You are not going to ask me another question, are you, Mr De Groot? Go ahead.
ParlaMint-NL_2020-12-08-tweedekamer-69.u50	No, chairman, I want to thank the messengers, because this was for them really...
ParlaMint-NL_2020-12-08-tweedekamer-69.u51	This was also for them... thank you for this emergency. I shall suspend the sitting for a few moments. And then the debate on the European summit begins.
