ParlaMint-NL_2020-12-17-tweedekamer-6.u1	No, we'll continue with the Temporary Law Second Chamber Election Covid-19.
ParlaMint-NL_2020-12-17-tweedekamer-6.u12	What Mr Öztürk says, we have also looked into. Do you have to want this? Could it be? We've been looking into how it works. You can do it on your own. If you send something registered, it costs eight euros and a few more by letter. If you want extra insurance, you have to add 14 euros. If you want it sent with the emergency service, we are talking about twenty euros per letter. Anyway, it's possible. But is it wise? We work a lot with answering numbers on envelopes. You don't have to put a stamp on it. You can just do it on the bus. That's what we do for banking. We do it for different things that matter to people. It's generally good. I can't guarantee that it's going well for every individual envelope I can't guarantee, but in general it's going very well. I therefore propose not to introduce another vulnerability in this fragile electoral process through an existing but expensive track-and-trace system. I don't think that's necessary. It's not wise to do that. I think it raises more problems than it gives answers. And again, if a voter wants to know for sure, he can go to the drop-off point.
ParlaMint-NL_2020-12-17-tweedekamer-6.u13	The minister says track and trace is an expensive system. I don't know. I want to hear what it costs and what risk she's taking for that money. Almost everyone works with that system. I really don't get it. Even a track-and-trace code is created for a twenty-cent phone cover from China. I do not understand the Minister's opposition and the risk she is taking.
ParlaMint-NL_2020-12-17-tweedekamer-6.u14	No, I'm fully cooperating. I just outlined the cost of one letter. But it's PxQ, and I don't know how many people are going to vote in letters. I can do the maximum, and then it's going to be 2.4 million times, let's say €30. Then you know the cost about it. But it's not about the cost. It's the principle that matters to me. We need to make sure that what we introduce works. And there has to be an alternative, and that is the issue point.
ParlaMint-NL_2020-12-17-tweedekamer-6.u15	The reason we are paying so much attention to this is that, of course, we do not want to lose a vote. In the words of the Minister: every vote counts. I totally agree with her. I also like the fact that that's the name of the campaign. I understand that the advice is given that if you really want to make sure that the letter voice arrives on time, you have to do it on the bus on Friday. Then you're sure he'll arrive in time. But we know that mailboxes are not always emptied on Saturdays and weekends, and not even always on Mondays. I ask whether the cabinet would like to make arrangements with the postal companies to ensure that the mailboxes are emptied every day in the week preceding the elections, so that every day can be delivered. Maybe someone thinks on Monday: oh, I completely forgot Friday, but I would like to use this way of voting that I am now bidden. If that person does the letter on Monday on the bus, that bus must be emptied and every effort must be made to get that letter to the letter polling office by Wednesday at the latest during the day.
ParlaMint-NL_2020-12-17-tweedekamer-6.u16	I'd like to meet Mrs. Van der Graaf. I'd like to start that conversation with PostNL. I would like to ask the Chamber whether it is not better to do what I propose in terms of communication, namely to say that people should be sensible in the case of letter votes and to vote on the bus by Friday at the latest on the 12th. Then I will ask PostNL to make every effort to get any late letter votes on time at the destination. Letter buses are now emptied from Monday to Friday. So that's also the case on Monday the 15th. I'll start that conversation with PostNL.
ParlaMint-NL_2020-12-17-tweedekamer-6.u17	Mr. Sneller. I'll take a look at Mrs. Van der Graaf. Were you ready? I saw you having second thoughts.
ParlaMint-NL_2020-12-17-tweedekamer-6.u18	I think this is a very sensible line. I have already indicated that I do not think it is crazy if it is clearly communicated in advance: if you really want to make sure that your vote arrives on time, then vote on the bus on Friday. But for the people who can't do this, I'm glad the minister is going to consult with the postal companies. I hope that will lead to the agreement that they will empty the mailbox every day the week before the elections.
ParlaMint-NL_2020-12-17-tweedekamer-6.u19	Now, of course, the Minister has opened the locks for requests to discuss with PostNL. I think that Mr Öztürk's point goes a little far, but that the underlying concerns can live wider. In the note following the report, I read that an external agency is going to carry out an operational audit on that whole process. It would be good for trust if PostNL were asked to communicate openly about its outcomes, so that everyone could have confidence in that dedicated process.
ParlaMint-NL_2020-12-17-tweedekamer-6.u20	I'll take that request down, too. I want to give the Chamber another stand in February anyway. Then I can include these aspects.
ParlaMint-NL_2020-12-17-tweedekamer-6.u21	I have a comment and a question. My comment is that I think the Minister hasn't been to a mailbox for a long time...
ParlaMint-NL_2020-12-17-tweedekamer-6.u22	Yes, I do.
ParlaMint-NL_2020-12-17-tweedekamer-6.u23	... because the mailbox will not be emptied on Monday. This is because the delivery also does not take place on Mondays. That's one of the problems. It is very good that it is discussed to empty on Saturdays and Mondays. Then the second. With regard to the investigation, there are two souls in my breast. On the one hand, you have to protect privacy and electoral secrecy, but on the other hand, you would like to know how many people have used the right to vote in the letter, and how many people have gone to the ballot box while they could use the right to vote in the letter. Is that somehow getting out of the investigation?
ParlaMint-NL_2020-12-17-tweedekamer-6.u24	After the election, you mean? Oh, yeah. As the ballots look different from the other ballots, we will indeed be able to determine afterwards how many letter votes have been received and how many votes have been cast at the polling stations.
ParlaMint-NL_2020-12-17-tweedekamer-6.u25	I understand that, but this is what's important to me. Can one investigate how many people have waived the possibility of voting a letter and then set the course for the ballot box?
ParlaMint-NL_2020-12-17-tweedekamer-6.u26	Okay.
ParlaMint-NL_2020-12-17-tweedekamer-6.u27	So one can know what the range is. Does it mean that there hasn't been a 70-plusr in the polling station? Has it led to a higher turnout than would otherwise have been the case?
ParlaMint-NL_2020-12-17-tweedekamer-6.u28	I need to see if I can reconstruct exactly how many people we delivered it and how many people sent it through the mail. That was one question. We can, of course, reconstruct the other on the basis of the normal course of events. By the way, I know very well where the mailbox is in my neighborhood. I think it will be emptied on Mondays, but it will not be delivered on Mondays. Anyway, we'll see. Maybe it differs from one municipality to another; that could also be the case.
ParlaMint-NL_2020-12-17-tweedekamer-6.u29	Yes, Mr. Van Otterloo. No, no, it's okay.
ParlaMint-NL_2020-12-17-tweedekamer-6.u30	It was entrapment. Apologies.
ParlaMint-NL_2020-12-17-tweedekamer-6.u31	No. Mr. Van Otterloo, would you please make a point of order about the mailbox?
ParlaMint-NL_2020-12-17-tweedekamer-6.u32	I live in a big village called The Hague. We don't empty the mailbox on Monday.
ParlaMint-NL_2020-12-17-tweedekamer-6.u33	Okay.
ParlaMint-NL_2020-12-17-tweedekamer-6.u34	But in Amsterdam it is.
ParlaMint-NL_2020-12-17-tweedekamer-6.u35	But that is not the measure of things, as we know, Mr President.
ParlaMint-NL_2020-12-17-tweedekamer-6.u36	Good. Please continue.
ParlaMint-NL_2020-12-17-tweedekamer-6.u37	I'd love to. Mr Öztürk asked if there was any connection between the voting of letters and the powers of attorney. Actually, there's no connection. A letter vote may only be cast by the electorate who has the documents to do so. No power of attorney may be given or given by means of the letter vote. So there's no connection. Then there is the question of whether the municipalities themselves can decide how many issue points they have voted for letter. The bill provides for one or more places to be designated in each municipality where people can give their letter vote. Indeed, municipalities are free to decide for themselves how many there will be. I have reason to believe that municipalities will use locations that are easily accessible to voters. From 10 March they will be open on working days at least during office hours, i.e. from 9 a.m. to 6 p.m. B and W may decide to set wider opening hours. They may also decide to keep termination points open on weekends. The same voting times apply on the day of the vote as for the polling stations, i.e. from 07.30 a.m. to 9 p.m. Then sign the vote-plus pass. It's true that there were voters' questions about signing it. Just like voting by proxy, the voting pass also requires a signature. With that signature, in the case of the voting plus pass, you declare that you have personally completed your own letter ballot. It also states that that is the intention. The following is the case, and it is already the case. If people are unable to sign, the vote still counts. I believe that I have now dealt with most of the points relating to the risks and I would like to move on to early voting. Questions have also been asked about this, albeit less than about the vote in the letter. As far as we are concerned, Monday and Tuesday are indeed special for people at risk. This concerns people who, for whatever reason, have vulnerable health, worry about the virus or prefer not to go to public places, perhaps for months now or perhaps for months now. Early voting is there for those people to create spread and quiet moments in the polling stations. This is how I will bring it to people's attention in communication.
ParlaMint-NL_2020-12-17-tweedekamer-6.u38	I have a brief point about the previous block. I wondered whether the Minister could comment briefly on the substance of the matter. I understand that it is not possible to arrange that letter vote for everyone in the short period of time there is. In substance, I find it difficult to say: you cannot use the voting secret when you vote in letters, which is why we have the power of attorney option. The same problem is, of course, intertwined in this too. I still find it complicated for people with vulnerable health who want to comply with voting secrecy to make that point substantive in this way. That is why I had made a point of this in my speech. How do we weigh that? I do not really think it is a good argument to say that we are not going to vote for letter in general because it is more difficult to use the secret of voting. That also applies to the other option. So that sheds a little bit. I wondered if you would go into that very briefly, because I missed that in the first block.
ParlaMint-NL_2020-12-17-tweedekamer-6.u39	I actually had two arguments. One argument was the feasibility and it simply couldn't make it to the date if you could make the letter vote possible on request or for everyone. The other argument has indeed to do with the vulnerability of the electoral process and the weighting that you have to make in it. Ideally, everyone's just gonna vote at the polling station, so you're 100% sure that the voting secret is also the voting secret. Because then you vote in that voting booth. The moment people vote elsewhere, you don't know that. In the case of letter votes, people do so at home and through the power of attorney, people do so through someone else. Then you're not there yourself. So that's a risk weighting and the bigger you make that group, the bigger the risk becomes. I think the risk that we are taking now for the group 70-plus is acceptable. In that case, we cannot have 100% certainty. I agree with Mrs Van Esch that the same applies to those who do not choose to vote on Mondays and Tuesdays, for example because of vulnerable health, but who choose the route of proxy. There too, it is a calculated risk.
ParlaMint-NL_2020-12-17-tweedekamer-6.u40	Please continue.
ParlaMint-NL_2020-12-17-tweedekamer-6.u41	I say to Mr van der Molen that the communication will be Monday and Tuesday: let us show solidarity with the people who are vulnerable, and there are many of us. There's a lot of people in that risk group who know if they're worried. Let us ensure that they can vote in peace. It is, of course, the case that anyone who reports to that polling station on Monday or Tuesday may vote with the votes, because of course there can be no question of checking the electorate's motives for voting on that particular day. It is accessible to everyone, but that will have to be made clear in communication. Why have a minimum number of voting rooms been chosen for early voting? Mr Van Raak asked that. We have indeed prescribed a minimum number of voting rooms. That's a stairwell: the bigger the municipality, the more of those polling rooms open early. The goal is not to do the same as on Wednesday the 17th, but to create an additional opportunity. Municipalities are free to do more than the minimum required. If you have one municipality but a lot of village centers, Mr.Van Raak mentioned Friesland and Groningen, then you have to look by municipality what is desirable to make it easy enough for those voters. The distribution that we create with this can be important, both in large cities and perhaps also in municipalities with a large geographical area. I understand from Rotterdam, for example, that they intend to open 30 voting rooms on Monday and Tuesday. That there are ten more than is prescribed by law. All other forms, the mobile polling stations, the special polling stations in the healthcare institutions, etc., can also be chosen as a municipality on Mondays and Tuesdays. We simply have no experience of this early vote in the Netherlands. We are doing this for the first time, so it is very difficult for me to predict how many voters will use it and whether it will have exactly the effect that we are aiming at: spreading but a little more slowly on Mondays and Tuesdays. Of course, I cannot predict how many 70-plussers are going to make use of the letter vote. A lot of people are used to going to the polling station, so it may be that many people still want to do so. That's okay, too. It's fine when people do that. It is therefore very difficult to say in advance which of the 2.4 million are going to vote in writing and which of our 70-plussers are going to vote for themselves. Then there is Mr Van Raak's point. He wakes up with a tickle in his throat, a cough and headache on March 17th. I do not allow him to stress this first, but the fact is that we ask a voter with covid-like complaints not to go to work, not to the supermarket and not to go to Grandma. We're asking you to make an appointment to have you tested. That's what we ask everyone. On 17 March we ask that we do not vote ourselves. That's right. That's right. Can you vote then? Yeah, thank God, that's through the power of attorney. That is the alternative for those who are unlucky to be affected by a virus or virus on that day.
ParlaMint-NL_2020-12-17-tweedekamer-6.u42	So if you notice that you have corona symptoms in the morning, you can go to the test street by bike but not by bike to the polling station. That's weird. That's very strange, also because 20% of the people who have corona symptoms, according to RIVM, just goes out. Maybe those people just go to the polling station and the risk of infection is much greater. Then the Minister says: yes, then you can get someone else to vote for you. I think that's mostly theoretical, because then someone has to come to your house, where you're quarantined. Then you need a copy of your ID. So you have to have a copier or a printer. Well, I don't have either. How many people, does the Minister think, are going to do that? You need to call someone to your house while you're in quarantine, get a copier or a printer somewhere and all complicated. That's just not gonna happen! That's not gonna happen. So when you wake up on March 17th morning with a cold, that actually means you can't vote.
ParlaMint-NL_2020-12-17-tweedekamer-6.u43	No, that is not the case. Look, we already know the voting system by proxy. A lot of people do. People generally know how to do that. If you have to stay home with disease, we don't know that because there's a risk that you've contracted corona, then all kinds of things have to happen. You might need some groceries. Then you ask someone to deliver it to your door. The same way the messages are transferred, the voting card can also be transferred and a copy can be requested, if that is still to be done. It's a rule, but of course it's possible. There's no practical reason to assume that's not gonna happen. I also find Mr Van Raak's reasoning a little crazy. He says, "People just go into the streets with complaints." Our urgent appeal to people is not to do that. Don't do that, because that puts other people in danger. It is precisely in the elections that we do everything possible to organise it as safely as possible, by maintaining it on the 1.5 metres, by means of hand hygiene, by means of an additional polling station member, which people point out, and by protecting the polling station members with cough screens. It's safe in those polling stations. But if Mr Van Raak here suggests that people with corona can still vote, I find that very bad for people's confidence in safety. I think it is really important that we all radiate that the polling stations are safe. If you are unlucky enough to be ill at that time, please vote with a power of attorney.
ParlaMint-NL_2020-12-17-tweedekamer-6.u44	It's almost impossible on the same day. Normally, people don't do that on the same day either. When I wake up in the morning with a cold, I can ride my bike to the test street, but I can't ride my bike to the polling station. Can't we just set up a polling station at the test street? Why is it not possible to create drive-through voices, in a tent or in public? Why is it not possible to give a possibility in every municipality to people who have corona phenomena to vote in a place that is designed for that purpose, for example on a test street that has already been set up for that purpose?
ParlaMint-NL_2020-12-17-tweedekamer-6.u45	Of course, that sounds like a very good idea. I think that's sincere. But if you feel like you might have something and want to get tested, you'll make an appointment. I cannot predict what that will be like on 17 March, but I believe that the appointment is often for the next day at this time. So that doesn't help Mr Van Raak on March 17, if he can't test until the next day. The second is that we fortunately have a lot of test streets in the Netherlands. But we don't have them everywhere. So I cannot guarantee that every municipality has a test street where a polling station can be organized and where everyone could vote. Although I understand the thought very well, there are really practical objections. One. It is not at all said that you actually have that test on the day you sign up for it, because that goes by appointment. It's been handled very precisely. The testing station says you'll be here tomorrow at 10:15. It's not like you can go to the test street at a time that suits you well, for example early in the morning, because you'd like to know if you have corona. We also need to align a little with the reality that we are living in now, with corona. I would have liked to see it different, too, but that's the way it is.
ParlaMint-NL_2020-12-17-tweedekamer-6.u46	I understand all practical objections, but it is a constitutional right to vote.
ParlaMint-NL_2020-12-17-tweedekamer-6.u47	Yes.
ParlaMint-NL_2020-12-17-tweedekamer-6.u48	That constitutional right can only be taken away by the judge, for example, if you are a convicted terrorist. A convicted terrorist may be punished as an extra sentence for the judge to rule that he is not allowed to vote. But if I have a cold on March 17th in the morning, the Minister says stay home. Early voting, early voting, and lettering can't do anymore, and I can't do that theater of those powers of attorney either. So I can't vote. Then that fundamental right has been taken away from me. I'm not a terrorist, I'm an honest citizen who wants to vote. But that's impossible. I know there are practical objections, but it is about voting rights. Have every city make a drive-through, a voice street. Let each municipality create a voice street that is coronaproof and where people who have a cold or corona symptoms in the morning on 17 March can just go.
ParlaMint-NL_2020-12-17-tweedekamer-6.u49	I keep saying it's really not wise to do that. For people who have complaints there are indeed test streets set up, with all due care, so that there can be no contamination in those test streets either. Mr Van Raak has probably seen what the people who work in these test streets look like. Let's leave it tested for corona where it belongs, with all the circumstances that go with it. We do the voting in other places, under different circumstances. For people who have restrictions due to corona, we introduce a number of other possibilities. That is why we are already in two debates on this subject. So we are introducing a number of other possibilities, including, when it comes to the final point, the ultimate means of giving someone else a power of attorney. I think that we have covered everything up, and that is why we voted, which I like as much as Mr Van Raak, as much as we do in the legislation for the forthcoming elections.
