ParlaMint-NL_2020-12-02-tweedekamer-7.u1	We have arrived at the answer and assessment of the Minister's motions.
ParlaMint-NL_2020-12-02-tweedekamer-7.u12	Well, a breaking point? I would first like to see the end result of the negotiations. It's not a starting point for us. So something that is not a starting point cannot become a breaking point in the logic of things either. It's not supposed to be there.
ParlaMint-NL_2020-12-02-tweedekamer-7.u13	Good. Please continue.
ParlaMint-NL_2020-12-02-tweedekamer-7.u14	Furthermore, the Animal Party has asked what has actually improved in China's situation during the negotiation process on the Convention. Well, then you ask a great deal of a treaty. Of course, we always see a treaty as an option for improvement in a wider context. It's not a one-on-one relationship. Moreover, the Investment Treaty has not yet been negotiated at all. It's still going on. So I can't say at all that anything has improved. Hope brings life, but not yet. Mr Van Raan has asked whether I can agree, perhaps through Secretary of State Vijlbrief or directly, to come up with a letter for the phasing out of fossil and to indicate a timetable for this. Well, confirmation with Secretary of State File Letter. He has undertaken to send this cabinet period another letter setting out scenarios to bring the ECV into line with the Paris Agreement. In doing so, the cabinet considers Mr Van Raan's request to have been accepted, because of course there is also a timetable. Mr Stoffer has asked whether I can indicate how good the trade relationship with Taiwan is. I gave you some figures. Taiwan is the fourth export destination of the Netherlands in Asia and we are Taiwan's second trading partner within the EU. Approximately 4.8 billion of goods and services were exported to Taiwan in 2018. We imported EUR 3.7 billion in goods and services from Taiwan. As you can guess, those are especially machines and electronics parts, so all high-tech. In 2019 we were the second largest foreign investor. Having said this, we do not see any need to further anchor this in another trade relationship, but I will return to your motion. Mr Van Haga said that no import duties would be paid below €150 and asked whether it would be possible to lower the threshold or examine a realistic threshold. I have already dealt with this in the written reply. It is the policy areas of the Ministries of Finance and EZK. This policy is based on European rules and is the same in all EU Member States. The levying of import duties on products below €150 does not outweigh the administrative burden involved. I also recommend that Mr Van Haga continue this debate with the Finance and Economic Ministers, because that is where the decision-making and implementation powers lie. Mr Voordewind asked what I can do when it comes to non-ODA in relation to Lesbos. He also asked about the 0.7% in which he talked about cleaning away the 900 million cash drawer. I quote him: "When the PvdA and GroenLinks sit at the table later, brush away the cash slide." If the economy takes precedence over the current estimate, then the ODA budget will grow, but the cash drawer is of course in the books and disappears not only because of economic growth. I shall now turn to the amendments and the motions for resolutions. First of all, I would like to refer to the amendment on item No. 6 by Mrs Van den Hul and Mr Van den Nieuwenhuijzen. I would advise against this amendment. I stand for the chosen distribution between the themes and the articles presented in the budget. The size of Article 3.1, with more than EUR 400 million, is sufficient within the possibilities now available. A shift would only put pressure elsewhere and that would not solve the problem. SRGR, of course, remains a very important subject and we are also doing a great deal about it. Then I have the amendment to item No. 9 by Mr Van den Nieuwenhuijzen.
ParlaMint-NL_2020-12-02-tweedekamer-7.u15	The verdict was: dissuade. Very briefly, Mrs Van den Hul, very briefly.
ParlaMint-NL_2020-12-02-tweedekamer-7.u16	But the budget is lower. So that's actually my question. The minister says there's enough money, but the budget is lower.
ParlaMint-NL_2020-12-02-tweedekamer-7.u17	Yeah, but it's also a big budget. There is a lot of money, other resources and political support for this issue. It's very important. We do it on many fronts. We are also doing it through the activities of many UN organisations. We do it all kinds of ways. I think that the shift that is being sought when you look at reception in the region and migration cooperation... Something that is already very large is getting a little bigger, while we are taking real money away from other policy areas. That's not in the best interest. I am really in favour of this budget.
ParlaMint-NL_2020-12-02-tweedekamer-7.u18	Please continue.
ParlaMint-NL_2020-12-02-tweedekamer-7.u19	Then there is the amendment to item No. 9 by Mr Van den Nieuwenhuijzen. I sympathise with the authors, but it is very difficult to deal with this amendment procedurally, because it lacks coverage. Of course, if there was cover, the amendment was not necessary. On that basis, I must advise against this. There's no cover, so it's not feasible. Moreover, the coverage at the point of the Tax Plan seems to be in breach of the government's budgetary rules. They are based on a separation between expenditure and tax revenue. I have here the last amendment of the three, the amendment to item No. 11 by Mr Bouali, Mrs Kuik, Mr Voordewind and Mr Weverling. I leave this to the Court, but of course it depends on the nature and objectives of the activity, taking into account aspects of legality and efficiency. For example, if you look at the assessment criteria of legality and effectiveness, this does not mean that we have an organisation presorted in advance. We look at the most efficient and logical choice. Then it may well be that we come to a said organisation, but, of course, the key principle is always efficiency and legality. Then I'll move on to the motions, Madam President.
ParlaMint-NL_2020-12-02-tweedekamer-7.u20	I think it was... judgment room. Or didn't I understand that correctly? But you have a question about that, don't you, Mr. Weverling? You think it should be dissuaded.
ParlaMint-NL_2020-12-02-tweedekamer-7.u21	Certainly not, Madam President. But that also answers my question, I understand, about Wings for Aid and so on, which I have addressed extensively. I also discussed in detail the good 2015 amendment by Mr Smaling of the SP and Mr Teeven of the VVD and so on, which is now embraced by the current coalition. They say, "Wings for Aid is for emergency aid."
ParlaMint-NL_2020-12-02-tweedekamer-7.u22	Yeah, among other things. There are a lot of emergency aid organisations, but as I have just said, Mr Weverling, I can very well imagine that we will be joining an organisation like Wings for Aid, but at these times, while respecting legality and efficiency, the cabinet is not already going to preside over one organisation in a motion. But it may well be that we come to that.
ParlaMint-NL_2020-12-02-tweedekamer-7.u23	Good. Please continue.
ParlaMint-NL_2020-12-02-tweedekamer-7.u24	Then I come to Mrs Van Weerdenburg's motions. The motion in part No. 12: Dissuade. The motion in part No. 13: Dissuade.
ParlaMint-NL_2020-12-02-tweedekamer-7.u25	Yeah, yeah!
ParlaMint-NL_2020-12-02-tweedekamer-7.u26	Well, I suppose you also have other matters on the agenda, Mr. President.
ParlaMint-NL_2020-12-02-tweedekamer-7.u27	Yeah, it's okay.
ParlaMint-NL_2020-12-02-tweedekamer-7.u28	The motion in part No. 14: Judgment Room. The motion in part No. 15: Judgement Room. I can give you a heads-up about post-Cotonou. The motion in part No. 16 by Mr Weverling on the European Court of Auditors: Court of Auditors opinion. The motion in part No. 17: Judgment Room. The motion in part No. 18: Judgment Room, of course taking into account the reality check that we are going to explore the possibilities. But we are not alone at the helm of the WTO. Then I will move on to Mr Van den Nieuwenhuijzen's Green Left motions. I understand the wish of his first motion, the motion in part No. 19. We all share the importance of an independent civil society, but if you describe the motion in this way, it is too clear, because it says: subsidies to civil society cannot be judged on the level of support for government policy. There are many NGOs that we choose precisely because they are relevant to the themes. Examples include SRGR or Ihbti community support. So the way it's written now, it can't. Perhaps you'd like to keep her or reformulate her.
ParlaMint-NL_2020-12-02-tweedekamer-7.u29	I think we're trying to do the same thing, so if you help me and indicate what formulation you can live with, we'll change the motion in a minute. Because, of course, it is simply important that we do not cut down on NGOs and other civil society organisations, because they contradict and because they are critical. Contradiction is necessary for our democracy.
ParlaMint-NL_2020-12-02-tweedekamer-7.u30	Are we talking about the motion in part number? 19?
ParlaMint-NL_2020-12-02-tweedekamer-7.u31	Yeah, it's about the motion in part no. 19.
ParlaMint-NL_2020-12-02-tweedekamer-7.u32	But that's just a speech-out. The Minister does not have to judge that at all. I wasn't paying attention.
ParlaMint-NL_2020-12-02-tweedekamer-7.u33	Very good. I don't either. Then the motion to part No. 20. Mr President, I am a little confused now. I've never dealt with a speech-out.
ParlaMint-NL_2020-12-02-tweedekamer-7.u34	Yeah, lately they've been very common, I've noticed.
ParlaMint-NL_2020-12-02-tweedekamer-7.u35	Then let me ask you for your opinion, Madam President. Is the motion in part No. 20 is also a speech-exmotion?
ParlaMint-NL_2020-12-02-tweedekamer-7.u36	No, that motion says "requests the government."
ParlaMint-NL_2020-12-02-tweedekamer-7.u37	Okay. I would advise against this motion, because customs are bound by the obligation of legal confidentiality. It would be in the throes of sharing declaration data and, of course, the adjustment of the customs system. It's not feasible. The motion in part No. Twenty-one, I'm telling you, too. At this stage, it is the responsibility of companies themselves to carry out the risk analysis in order to end contacts and contracts. We absolutely do not support companies when there are risks. They can look for new suppliers, but we do not instruct Dutch companies to withdraw. I shall now proceed to the motions by Mrs Kuik and Mr Amhaouch.
ParlaMint-NL_2020-12-02-tweedekamer-7.u38	I'm a little surprised at your reaction to the motion in part No. 21. You just told me you didn't recommend it. The operative part is literally: calls on the government, through our postal network, to urgently draw attention to the OECD guidelines and to encourage Dutch clothing and textiles companies. So you're reading an operative part that's not in the motion.
ParlaMint-NL_2020-12-02-tweedekamer-7.u39	No, I'm surprised too. The official team did not receive the printed motions on time either. That could be a problem. I have a printed version of the motion in front of me. He's asking the government to urge companies to point out... yes, of course it can. Of course, we can point people at something. That's what we're expecting. But it also says "incentive to leave if necessary." You can't do that again. We can point them out, but encouraging them to leave, if necessary, is still not the role of the government at this stage. We may be able to do that if there is a new policy on imvo. At present, on the basis of the frameworks, this goes beyond what is legally permitted. We can point them out, we can say that, we can advise, but it always remains the choice of the companies themselves.
ParlaMint-NL_2020-12-02-tweedekamer-7.u40	Mr Van den Nieuwenhuijzen, then it is up to you to put the motion to the vote or not.
ParlaMint-NL_2020-12-02-tweedekamer-7.u41	Then the motion to part No. 22. I leave this to the judgment of the Chamber. The motion in part No. 23 also gets judgment room. Then the motion to part No. 24. I'll take a look at the text as I've received it. The only problem lies in the word "strategy." They're asking for an Africa strategy to be set up. We do not yet need an additional Africa strategy for the next ten years. The Netherlands has been in different ways for decades with different cabinets on all themes in Africa. We have the policy agenda. Africa is not a country, as you know. All forms of development and underdevelopment occur. There is an EU-Africa strategy. I suggest we keep working hard on that. And other aspects are standing policy. If you take out the Africa strategy mission, we may be able to live with a modified motion. But on the basis of this text, I must discourage the motion.
ParlaMint-NL_2020-12-02-tweedekamer-7.u42	Mr. Chairman. Then my colleague will amend the motion.
ParlaMint-NL_2020-12-02-tweedekamer-7.u43	Okay, well, then that motion will be changed. Minister, proceed with the motion in part No. 25
ParlaMint-NL_2020-12-02-tweedekamer-7.u44	Thank you. I'm just gonna get the motions handed out, just to be safe. The motion in part No. 25 asks the government to investigate the relationship between Dutch embassies and multinationals. As the proposers know, the embassies operate on the basis of standing cabinet policy. Clear is the prevention of conflicts of interest and the fight against bribery, among other things. It is, of course, a core task of embassies to stand up for the interests of all Dutch companies, organisations and citizens, with all guarantees of integrity and means to act where necessary. The department reports through the annual report on internal integrity investigations. The department, therefore, the cabinet, sees no reason for such an investigation. On the basis of this weighting, I advise against this motion. Then there's the motion in part No. 26 of the Alkaya and Weverling Members. Three investigations are currently under way in this area. We would actually like to ask if you could continue this motion pending the completion of the investigations, and then see what else is needed, which will also provide additional information and elements of weighing. I hope this is possible.
ParlaMint-NL_2020-12-02-tweedekamer-7.u45	Do I recall the Minister saying we'd get a letter next week? When can we get more information about this? Because we don't want to hold the motion forever.
ParlaMint-NL_2020-12-02-tweedekamer-7.u46	I understand that, but I need to check it out. We've exchanged so much today and a number of letters. I also seem to remember that this letter must come very quickly, but I have to double check it. Maybe I'll get a piece of paper from the officials. Then I can confirm that.
ParlaMint-NL_2020-12-02-tweedekamer-7.u47	Then, on that basis, we can hold the motion if there is enough progress.
ParlaMint-NL_2020-12-02-tweedekamer-7.u48	I'm gonna put it aside. On the motion in part No. I give the same response from Mr Alkaya as Mrs Van den Hul received. We stand for the chosen division between themes and articles. So we stand for the budget. So I advise against this motion. Then I'll move on to D66. It's moving fast, I hope. The motion in part No. 17 I give judgment Chamber. I'm getting to the motion on part No. 18. It is of course up to the Ministry of OCW and that ends the funding in 2022. I'm going to ask OCW to give a further substantive opinion on this motion. If you could hold it until then, that would be very useful. The motion in part No. 19 I give judgment Chamber. The motion in part No. 20 I'm judging Room. I've cut down a whole jungle here, I believe, with these papers. The motion in part No. Mrs van den Hul's 21 motion is a very important one: 'calls on the government to come up with an action plan'. I'm giving this motion judgment room. I admit that we are already doing a great deal, but I have also said that I think it is a very important priority. So if I may interpret the motion in such a way that there will not be another separate action plan, but a letter to the Chamber clarifying what we are all going to do or want to do and in what way with whom, then I can give this motion judgment Chamber. Then there is the motion for a resolution by Mr Van den Hul on part No. 22 on strengthening civil society organisations. It is indeed about the 25% target. As we have exchanged on the basis of the arguments I have given earlier, I advise against this motion. It's a direction, but we send for results, not organizations. The motion in part No. 23 is about the situation on Lesbos. So much has been said about it and a motion was adopted yesterday in the debate with Mrs Broekers-Knol. We made the promise. We are heading for the quickest possible takeover of the group of vulnerable people selected and designated by Greece. But JenV has a leading role in this. On the basis of the text of the motion as I read it now and of what the cabinet is already planning, I must advise against the motion. The motion in part No. 35 by Mr Bouali and Mr Van Raan, I give the Chamber's judgment. It is similar to an earlier motion of the Party for Animals. We also responded in writing in 2019.
ParlaMint-NL_2020-12-02-tweedekamer-7.u49	The motion in part No. 35 belonged to Mr Voordewind.
ParlaMint-NL_2020-12-02-tweedekamer-7.u50	Sorry. Excuse Mr Voordewind. Then the motion to part No. 36. I'm getting more trees, I see. The messenger's handing me more papers. They are two notes about the same thing, but it is an answer to Mr Alkaya; I shall come back to that in a moment. I'm at the motion in part No. 36 by Mr Voordewind and Mrs Kuik. This one I'm judging Room. Of course, in terms of efficiency and legality, it is true that we do not anticipate the choices of organisations. But I think it is important that we should be able to state politically that the government's commitment to child prostitution and exploitation remains natural. It fits in with a long tradition of government that we also take up these kinds of themes. In the motion in part No. 37 states: "Whereas China and the EU intend to conclude an investment treaty in the short term (...) invites the government (...) to make it clear that the Netherlands is against this treaty." This is one of those issues that I would like to say: I recognise the approach of the motion, but perhaps you would like to continue the motion, because we must first see how far the Commission is going. We are not responsible for a treaty that has not even been received and negotiated. This is a bit the same situation as with Mercosur.
ParlaMint-NL_2020-12-02-tweedekamer-7.u51	Very briefly, Mr Van Raan.
ParlaMint-NL_2020-12-02-tweedekamer-7.u52	Just to prevent us from having to oppose it again at the end of the process, because there are all kinds of things in it that we don't like, you better stop it in advance. Unfortunately, therefore, we cannot hold this motion.
ParlaMint-NL_2020-12-02-tweedekamer-7.u53	Okay. You're free to do that.
ParlaMint-NL_2020-12-02-tweedekamer-7.u54	Noted, but then I advise against this motion. In the motion in part No. 38 states that women often have a weaker position in international value chains and that strengthening their position is one of the spearheads. That's right. The motion calls on the government to ensure women's rights and gender equality even more firmly in the development of the policy of imvo. I think it is good that we have the debate next week. I interpret this motion in such a way that women's and girls' rights and gender equality issues must be well anchored. I agree with that. We must, of course, see how this can take shape in the implementation of the policy after the measures have been accepted. That is a matter of wording, so I will give this motion judgment Chamber with the appreciation I have given. Mr Stoffer asked for another billion to be released for the global approach to COVID-19 without cutting the ODA budget. The intention of this motion in part No. 39 I very much welcome. Unfortunately, it is not possible in this period of government. On that basis, I must advise against this motion. The motion in part No. 40 concerns the establishment of an investment agreement or agreement between the EU and Taiwan. We've talked about that before. I advise against this motion. The motion in part No. 41 deals with the situation surrounding the Ethiopian Tigray region. The motion calls on the government to examine the adequacy of existing emergency funds. We can certainly do that. I'm giving this motion judgment room. I would also point out that I have already spoken with Ethiopia's Finance Minister. I have spoken about humanitarian access, about the need to protect people and to resume development cooperation as soon as possible. Minister Blok also spoke to his counterpart. I was at the motion in part no. 41 and I am looking for the motions on the items Nos. 42 and 43. The motion in part No. Forty-two by Mr Van Haga, I advise. From the motion in part No. I don't have a hard copy here. I'm gonna move on to the motion on part number. 44. He'll be judged Chamber. I'm looking for the motion in part no. 43. There she is. Thank you. We've talked about this before. This is particularly for the Minister for Finance and the Minister for Economic Affairs. This is what EU legislation is for. I think it would be better to hold this motion, pending discussion with the Minister for Finance and the Minister for Economic Affairs. I believe I have dealt with all the motions with this. No? Is there another motion in part No. 45? I don't have one here on paper either. Here comes the messenger again with an A4's; it's a kind of Wings For Aid here. Thank you. The motion in part No. 45 is about supporting activist clubs. So I can also discourage them, because the intention is clear: we stand for the independence of Dutch civil society organisations. They are allowed to do so and have the right to do so. This is a sign of the rule of law that is the Netherlands, and of the power of independence of expression. We advise against this motion.
ParlaMint-NL_2020-12-02-tweedekamer-7.u55	Thank you. I think you still need to answer a few questions.
ParlaMint-NL_2020-12-02-tweedekamer-7.u56	Yes. There's been a reference to a letter. It is produced for the cabinet by the CBS. The letter will come after Christmas, so in a few weeks. Ideally, the letter would come for Christmas, but I'd count on him coming after Christmas, considering the crowds. I also promised a letter on strategic dependencies. It might be finished in a month. For the record, we were talking about two letters.
ParlaMint-NL_2020-12-02-tweedekamer-7.u57	Okay. I see you standing, Mr. Van den Nieuwenhuijzen. Be very brief. The same applies to Mr Bouali and Mr Weverling. You can't say goodbye to the budget.
ParlaMint-NL_2020-12-02-tweedekamer-7.u58	No, not at all. Not at all. Not at all. Not at all. In my second term, I asked some questions about vaccines and the pandemic. The Minister did not go into that at all. I would ask her to answer that question.
ParlaMint-NL_2020-12-02-tweedekamer-7.u59	I'm looking at the minister.
ParlaMint-NL_2020-12-02-tweedekamer-7.u60	Could you remind me of the question?
ParlaMint-NL_2020-12-02-tweedekamer-7.u61	The questions were about the availability of vaccines. I asked you to explain what the Netherlands is doing right now for the fair distribution of vaccines. How many extra vaccines did we buy for that? Who are we gonna share it with and when?
ParlaMint-NL_2020-12-02-tweedekamer-7.u62	The Netherlands has joined via COVAX. We have contributed to this. We participate on all fronts in international alliances where vaccines are purchased. And we support the WHO to achieve a fair distribution, so that indeed the most poor can get the vaccine. I share the concern that the rich countries can stand in front of the queue and be vaccinated there, while we are losing sight of the poorest countries. That is why we participate in all international alliances. The numbers are not yet visible. We pledged EUR 25 million at the previous international conference organised by President Von der Leyen of the EU. But we also support through bilateral development cooperation.
ParlaMint-NL_2020-12-02-tweedekamer-7.u63	I have a more enlightening question for you, Mr President. I think that in the copying of the motion in part No. 28 the names of Mr Voordewind and Mr Amhaouch have fallen away as co-signators. I don't know how to add that.
ParlaMint-NL_2020-12-02-tweedekamer-7.u64	Oh. Is that what happened with the copying?
ParlaMint-NL_2020-12-02-tweedekamer-7.u65	Yeah, that happened in the context of saving the Amazon forest. I know that Mr Amhaouch and Mr Voordewind would like their name to be included in that motion. So something probably went wrong there.
ParlaMint-NL_2020-12-02-tweedekamer-7.u66	I'm gonna go check it out. Their names aren't underneath it. So you want us to add those names?
ParlaMint-NL_2020-12-02-tweedekamer-7.u67	Yes. Can we do that? That would be very nice.
ParlaMint-NL_2020-12-02-tweedekamer-7.u68	Mrs. Kuik, may Mr. Amhaouch's name be included? Yes. Any other names? Mr Voordewind's.
ParlaMint-NL_2020-12-02-tweedekamer-7.u69	I fear the same thing has happened with the motion in part No. 30, about diversity. We'll put it all on the covid debt. I tabled that motion with Mr Alkaya.
ParlaMint-NL_2020-12-02-tweedekamer-7.u70	Are we talking about the same colleagues?
ParlaMint-NL_2020-12-02-tweedekamer-7.u71	No, the one only with Mr. Alkaya.
ParlaMint-NL_2020-12-02-tweedekamer-7.u72	Only Mr. Alkaya. But he wasn't on it. His name didn't fall away from copying, either. But we add the name with love. It's okay.
ParlaMint-NL_2020-12-02-tweedekamer-7.u73	I'm looking at the Registry. Thank you very much.
ParlaMint-NL_2020-12-02-tweedekamer-7.u74	I had just mentioned Nagorno-Karabakh. Mr Van Helvert and I have tabled a motion to the Foreign Affairs budget. That motion was held because it was referred to this budget. I was wondering if the Minister could comment on that. The van Helvert/Voordewind motion held.
ParlaMint-NL_2020-12-02-tweedekamer-7.u75	I can't do that from this stage, because I haven't taken note of this motion, so I don't have any advice on that either. I don't know what the question is. Is this about emergency aid?
ParlaMint-NL_2020-12-02-tweedekamer-7.u76	Could you please come back to that in writing?
ParlaMint-NL_2020-12-02-tweedekamer-7.u77	It was humanitarian aid towards Nagorno-Karabakh.
ParlaMint-NL_2020-12-02-tweedekamer-7.u78	But the minister didn't get the motion.
ParlaMint-NL_2020-12-02-tweedekamer-7.u79	I can get back to you very quickly. Of course, humanitarian aid is usually used in areas outside the OECD/DAC region. But we'll look into it.
ParlaMint-NL_2020-12-02-tweedekamer-7.u80	That's good. Mr Weverling, the microphone is now clean.
ParlaMint-NL_2020-12-02-tweedekamer-7.u81	I would like to help the Minister with the amendment that we tabled as a coalition. I totally get what she's saying. This has to do with the conditions of legality, efficiency and so on. In 2015 there was a similar amendment, after which there was a lot of strangling with administrative judges and so on. Is it not right, for example, to send a letter before the votes, or something else? The point is that we also want to make it easier for you to stop talking about that amendment afterwards. I don't know how we're gonna fix it, but it'd be nice if we could clear it up.
ParlaMint-NL_2020-12-02-tweedekamer-7.u82	Wasn't it judgment room?
ParlaMint-NL_2020-12-02-tweedekamer-7.u83	It was judgment room, but it was with...
ParlaMint-NL_2020-12-02-tweedekamer-7.u84	But you're being a little difficult.
ParlaMint-NL_2020-12-02-tweedekamer-7.u85	I'm being difficult, yeah. That's what I'm standing here for; let's leave it at that.
ParlaMint-NL_2020-12-02-tweedekamer-7.u86	I think I can make it easier for Mr Weverling, because I have no problem with it. Mr Weverling is, of course, looking for a form of reassurance that the example of Wings for Aid will be looked at very seriously, with a certain expectation that it will fall within the framework. Well, I dare to reassure you, of course, with due regard for efficiency and legality.
ParlaMint-NL_2020-12-02-tweedekamer-7.u87	And? Are you satisfied? Yeah?
ParlaMint-NL_2020-12-02-tweedekamer-7.u88	I have more comfort, thank you very much.
ParlaMint-NL_2020-12-02-tweedekamer-7.u89	Thank you. This brings us to the end of the debate on the budget for external trade and development cooperation. I thank the Minister, I thank the Members of Parliament.
ParlaMint-NL_2020-12-02-tweedekamer-7.u90	We are going to vote on the motions tabled next week and we are going to vote on all the budgets sometime next week. For now, I shall suspend the sitting until 3 p.m. Thanks again.
