ParlaMint-NL_2020-06-10-tweedekamer-3.u1	The next item is the VAO Department of Nursing, with Mr Van Otterloo, the first speaker of 50PLUS.
ParlaMint-NL_2020-06-10-tweedekamer-3.u12	The Minister for Health, Welfare and Sport has the floor.
ParlaMint-NL_2020-06-10-tweedekamer-3.u13	Thank you, Mr. Chairman. I'd like to review the motions and a single question. I do that in order of entry, with the exception of intensive child care, because I do those motions together. So I'll start with the motion in part No. 203 of 50PLUS. It calls on the government to deal with the problem of malnutrition. I would like to leave this to the Chamber. Malnutrition is a major issue. That certainly hasn't been solved. I will ask the Secretary of State to speed this up wherever possible and to inform you about it. So I'd like to get on with this.
ParlaMint-NL_2020-06-10-tweedekamer-3.u14	The motion in part No. 203 gets judgment Chamber.
ParlaMint-NL_2020-06-10-tweedekamer-3.u15	Then motion to part No. 204 asks the government to examine whether there can be one source of funding for care for the elderly at home and to inform the House of this in the autumn. I think we will certainly have this discussion in the autumn too, namely when we discuss the outline paper. It must have slowed down a little bit. It could have happened over the past few months. But of course we're going to discuss it at some point. This is certainly also about the financing of care at home, if only because there will be a response to the results of the Forest Committee. One funding flow, whereby you involve the Wmo and the Wlz and the Zvw, is not currently proposed by anyone. I had not heard this suggestion in this way before, because it is very rigorous. Another one has been proposed, namely that it is no longer home but only institutionally financed through the Wlz. Well, that's an option ahead of you. That is an opinion of the Forest Committee. The cabinet will then come up with a cabinet response. I would like to discourage this motion in this form, but I do believe that we are going to talk in detail about the financing of care at home.
ParlaMint-NL_2020-06-10-tweedekamer-3.u16	An interruption by Mrs. Agema.
ParlaMint-NL_2020-06-10-tweedekamer-3.u17	I find it remarkable that the Minister says that there are no proposals, although these proposals come regularly from the House of Representatives. My group always proposes to go back to the situation before 2007, when care for the elderly was still in one hand. I therefore find it very regrettable that we have often brought it up, because it seems that it is not an option that is being examined. I'm asking the Minister to take that option. In my view, the situation for 2007 was simply much simpler. Then everything was housed in the AWBZ and all those bulkheads weren't there. So I'd really like the Minister to take that option with me.
ParlaMint-NL_2020-06-10-tweedekamer-3.u18	The option where you ask if you should not let the Wlz be mainly institutional, with which you would only finance the care at home from the Zvw or from the Wmo, I would like to take with you. But if you want to arrange both the Wlz and the Wmo and the Zvw in one funding stream, that is de facto the end of the Wmo. That is such an incredibly rigorous system change that I have no plans at the moment to investigate it. And if I were to say yes at the moment, "we will have that discussion in the autumn," then I am raising the wrong expectations as to what we are preparing right now. So I'm not willing to do that.
ParlaMint-NL_2020-06-10-tweedekamer-3.u19	Thank you. I see that there is no more interruption from Mr Van Gerven; it is enough for him. The Minister's opinion on the motion in part No. 204 has been dissuaded?
ParlaMint-NL_2020-06-10-tweedekamer-3.u20	Yes, I'd like to advise against this motion.
ParlaMint-NL_2020-06-10-tweedekamer-3.u21	The motion in part No. 204 is not recommended.
ParlaMint-NL_2020-06-10-tweedekamer-3.u22	Then the motion to part No. 205. I don't think this is such an easy motion to respond in a good way. This one's very cleverly written. I'm gonna ask you to keep these. Let me explain. I have, of course, had that debate with you on a regular basis. Sometimes I thought I'd get close to you somewhere. I have also said myself that I think we should focus on greater cooperation and that we should try to reduce the excesses of market forces. We discussed this very explicitly, for example, when it came to the fragmentation of community care. So, among other things in the AO where this belongs to a VAO, we talked quite intensively about the question: where do you see that the market forces in the care have washed out that you shouldn't want with each other? Moreover, it is certainly not only the market forces in the care that have led to these excesses; there are many more reasons for this. I also think that with that precision, you should start talking about what you want. A little less market and a little more cooperation: I believe in that. By the way, these are also the lessons of the corona crisis: you can see that, where these bulkheads are very tight, cooperation over the domains does not come about. That is really problematic at a time when you have to put all the sails in order to be able to deliver the care you are for at all. That makes me want to have that conversation on my own about how do you structure your system, how do you direct your funding? But to say "judge chamber"? That means that tomorrow you will say 'well, wonderfully, there are going to be proposals to abolish market forces' or something. And that is another incredibly ingenious debate that I think we should not do that either. So I'm asking you to hold the motion. When discussing the contour note in the autumn, we will discuss the questions in detail: how do we structure funding, how do we structure the system, how do we promote cooperation across the domains? And then you shouldn't rule out that we're surprisingly close to each other on a number of points.
ParlaMint-NL_2020-06-10-tweedekamer-3.u23	Mrs Laan-Geselschap was there first, but it is now about Mr Van Gerven's motion. So perhaps he can first respond to the Minister's request to hold the motion.
ParlaMint-NL_2020-06-10-tweedekamer-3.u24	I would suggest to the Minister that we leave the judgment to the Chamber. Because when we look at the operative part, we read: calls on the government, etc., to come forward with proposals to further curb market forces and competition. It doesn't say "scratch." We have also formulated the motion in such a way that we also leave some room for the Minister and the Cabinet, because, of course, we know that we are not entirely in agreement. As I have heard the Minister put it, I think that is in line with how the motion was written. So that's why we're asking you to give Chamber of Appeal.
ParlaMint-NL_2020-06-10-tweedekamer-3.u25	It is very nice, of course, that you leave the cabinet something of space, so I thank you for that. However, I would like to deal with this in the way I have just described it. Because we are going to look at this contour note to see how we could adapt the system in a number of ways, so that it is better able to cope with the growing demand for care, especially care for the elderly. That is why it is necessary to promote cooperation. And in order to promote cooperation, it is necessary to take a number of measures that lead to a little less market and a little more cooperation. This is what we're supposed to do. But I think you have the wrong expectations. You may go home with the motion under your arm, saying that the end of market forces is in sight in the care sector, but it turns out that I have very nuanced views there. To be honest, I think we should spare you that disappointment. That's how I think I'm gonna go with you. I think you should leave room for the Cabinet to make that outline note. In the autumn, we will have that debate with all our ferocity and ferocity.
ParlaMint-NL_2020-06-10-tweedekamer-3.u26	Finally, Mr Van Gerven.
ParlaMint-NL_2020-06-10-tweedekamer-3.u27	I have indicated the motion as it stands, so that is perfectly clear. I think the verdict should be reached next week by putting the motion to the vote.
ParlaMint-NL_2020-06-10-tweedekamer-3.u28	Thank you. I call Mrs Laan-Selschap.
ParlaMint-NL_2020-06-10-tweedekamer-3.u29	I find it rather frightening when the Minister says that he will eventually agree with the approach of the Socialist Party in many respects in the outline note. That nuance will indeed have to be addressed in the debate. I would ask the Minister whether he would like to comment on his comment on the fact that market forces and cooperation could not seem to go hand in hand. If you're a good market player working with others, I think you can make the most profit. But maybe he has other ideas about that.
ParlaMint-NL_2020-06-10-tweedekamer-3.u30	Now that you put it that way, I understand that fear. That fear creeps me out, too. This, I think, is a fair warning. As you put it, you write "Socialistise"; like in the old days. That's exactly what it sounded like. So, no, I can't possibly be expected to suddenly agree with the Socialist Party. Mrs Laan, of course we have had this debate quite often. I have seen that the functioning of the market in care has not only brought us blessings. As an example, I would like to mention the fragmentation of care in community care. There are also providers who want to be clear about the amount they get for the care they provide to people, in order to get better themselves. Furthermore, there are providers who are not encouraged to seek cooperation. They are fighting to get the client to run as much production as possible. Indeed, my opinion on all the funding systems that promote this is sometimes somewhat close to the opinion of the Socialist Party and others who think so. I don't think the Socialist Party is alone in this. We really need to be critical of the excesses of market forces in healthcare. Especially where it is about the future, where we have to take care of fewer people. At least, with a little more people, but we need to take care of a lot more people. So the relationship between the staff we have and the people we have to care for will be really different in the future. Collaboration is incredibly crucial. So we need to see how we can structure the work in the care sector in such a way as to maximise cooperation. An incentive, e.g. a financing incentive, to get as many clients as possible, especially to treat those clients themselves and, above all, not to cooperate with anyone else, is dysfunctional. That's how I want to look at this, but this always takes some nuance. As you can see, I am using a little more text than a single sentence. I think we are going to have this debate in full swing in the autumn.
ParlaMint-NL_2020-06-10-tweedekamer-3.u31	Mrs. Laan-Geselschap, finally.
ParlaMint-NL_2020-06-10-tweedekamer-3.u32	Locking up, Mr. Chairman. I welcome the Minister's nuance and the way he brings it, knowing that our cooperation can always bring added value. Where I use the word "profit," I mean not just financial profit, but the quality for the client in the neighbourhoods, for which we fight so hard.
ParlaMint-NL_2020-06-10-tweedekamer-3.u33	We very much agree.
ParlaMint-NL_2020-06-10-tweedekamer-3.u34	Thank you. Is the request for the motion in part No. If so, is the decision not to be taken?
ParlaMint-NL_2020-06-10-tweedekamer-3.u35	Yeah, well, then the judgment is dissuaded. I will do everything I can to avoid disappointments with Mr Van Gerven. Then I shall refer to the motion in part No. 206. I will deal with this together with the motion in part No. 208. These motions are both about intensive child care. A question has also been asked by Mr Van Gerven. I'll start with the Slootweg motion. This is the motion in part No. 206. On this motion, I would like to leave the judgment to the Chamber. We talked about this very intensively. Last Monday, I sent another letter that I promised at the time. At that time we also found that there was a number of parents. We discovered that problem in the autumn of the year, which was indeed given a very low indication. That's really problematic for parents who have a higher indication. But in analysing where that comes from, we have ensured together that there was no change in the law or other regulation behind it, that there was no change in the policy of health insurance companies, that there was no change in the standard framework of V&VN, but that there was also a change in the standard framework of V&VN, but that there was a change in the very euphemist term "practice variation" that could be very annoying for parents, and of course everyone understands that this is not just possible. So if you as a pgb holder provide intensive child care and because of the income you get from that side you are really dependent on it, because for example you have given up a part of your job or your entire job, then a big change in it from one day to the next at the kitchen table is of course not to be devoured. So what we did then is meet with the health insurance companies: if there is this type of casusism, are you willing to just think about how it lands with parents at home that it is also doable? The health insurance companies have said yes. We also said to healthcare insurers Netherlands: are you willing to look at it again if an individual parent and individual health insurance provider do not come out of it together? "Yes," the health insurance companies said. In addition, we have agreed with the V&VN that the framework of standards, which now seems to allow for this variation of practice, needs a little more guidance. This concerns, in particular, intensive child care. Well, they're in the process of providing child care. It would actually be finished by May 1st. But, yes, because of everything that has happened, there has not been enough opportunity for that, which is very unfortunate. But that is why we are now doing our best to get it done on 1 August. I think that is very sensible, because the hope is, of course, that there will be much more guidance, so that there will be much less variation in practice. That's the hope, and that's the point. And in the meantime, we need to have an open eye and an ear for individual problems, where it gets stuck. Well, in that light, I can give this motion judgment chamber. And in that same light, I'm going to make the other motion, that seventh in piece number. 209, dissuade. That has to do with the fact that you are actually sitting on the nurse's seat with this motion, and says that the nurse's care I read there for a moment "preserved actions" in... should not be regarded as normal care. But that is different from, for example, care in kind, where it does. And why shouldn't putting an insulin syringe be considered regular care? And why would you want to deprive the nurse of the space to learn that type of medical treatment and also to make children independent in those medical treatments; why would you want to go on that path, why would you discourage that? So this motion, I'm not for that, and I'm going to dissuade it, too.
ParlaMint-NL_2020-06-10-tweedekamer-3.u36	Thank you. The fourth motion, in part No. 206 is therefore: Judgment Room. And motion 6 on the list, the motion the minister just mentioned, is not recommended.
ParlaMint-NL_2020-06-10-tweedekamer-3.u37	Oh, it was number six. Sorry.
ParlaMint-NL_2020-06-10-tweedekamer-3.u38	And Mr Kerstens had a question about that.
ParlaMint-NL_2020-06-10-tweedekamer-3.u39	In fact, I have a question about the motion in part No. 206. Because I heard the Minister's reasoning about my motion. I know them, and he knows my opinion on them, and we will perhaps discuss them again on Monday, when we discuss the whole of care in great detail. I should of course have asked Mr Slootweg my question on that fourth motion, but I wasn't there yet, so I'm going to put it to the Minister. The motion refers to a framework that is in place on 1 August, and then asks the Minister to inform the Chamber before the summer. That seems a little impossible to me. Nor does it seem to me that Mr Slootweg does not mean until the summer of 2021. So: we all mean "as soon as possible after the summer"; that is clear.
ParlaMint-NL_2020-06-10-tweedekamer-3.u40	That provokes all sorts of discussions. I'll take a look at the time, too. The Minister.
ParlaMint-NL_2020-06-10-tweedekamer-3.u41	Yes. I had actually assumed that Mr Slootweg would be so gracious to give me the space until after the summer; otherwise, I have not yet received this new hand-out and I cannot inform you either. But the explanation of Mr Slootweg's motion will really have to be left to Mr Slootweg. So, through the chairman, I should like to look at Mr Slootweg in the same way.
ParlaMint-NL_2020-06-10-tweedekamer-3.u42	I had indeed corrected that in my particular text. That also means I'm going to change the motion. Sometimes things are also going well, let me put it this way so quickly, that I mistakenly inserted this wrong piece of text into it. But Mr Kerstens is absolutely right: as soon as possible after the summer, that is the intention, and that is what is going to happen.
ParlaMint-NL_2020-06-10-tweedekamer-3.u43	Fine, then the motion becomes part no. 206 has been amended and in any case has been given a Chamber judgment. Then we'll move on to the motion in part number. 207.
ParlaMint-NL_2020-06-10-tweedekamer-3.u44	I would first like to answer the SP's question as to whether you should not simply start with what parents need and what nurses think is important when it comes to child care. When you put it that way, of course, that's the only answer. Of course you want to assume that. Let us not forget that it is always tried in this way at least at the beginning. Very often it goes very well and very harmonious, but sometimes it doesn't. That is because a district nurse or a child nurse really has an indicative responsibility. In this case, it is complex that the result of the indication is actually money and that that money is also part of the household wallet. Often a job has just been cancelled or partially cancelled in order to take care of a child at home. So if the indication is adjusted downwards, it has a financial implication for home. This also means that the pressure on the child nurse is, of course, increasing very strongly. So I think it would benefit us to want everything to go harmoniously. I think that's how we should set up all our arrangements. Hence the need to provide more clarity through this hand-out in order to explain the variation in practice and to make it as small as possible. All this is important in order to avoid conflict at the kitchen table. But in the end, a nurse does have the indicative responsibility and we should really leave it there.
ParlaMint-NL_2020-06-10-tweedekamer-3.u45	A short question from Mr Van Gerven with a short answer, I hope, because of course the debate has already taken place.
ParlaMint-NL_2020-06-10-tweedekamer-3.u46	I would just like to make a brief comparison with a general practitioner, who also constantly gives indications of what needs to be done, with financial implications for care and so on. This is self-evident, but when it comes to an indication of a district nurse, there are a lot of questions. Does the Minister not think that the system we consider normal for the general practitioner should also apply, for example, to the district nurse in the context of intensive child care, assuming that everyone is genuinely in favour of providing good care?
ParlaMint-NL_2020-06-10-tweedekamer-3.u47	I think it's actually exactly the same thing in the base. Since the district nurses themselves are allowed to give the indication, it is no longer the CIZ that sets the indications. The latter would be the alternative system. Well, I'm not in favour of that because it leads to all kinds of bureaucracy, which just doesn't have to. That money is really better spent on the care itself. So that's not what I'm here for. I am in favour of professional space such as general practitioners who have direction to their patients and like nurses who have direction to their patients. That's what I'm here for, but I can also see that there's a difference. If you see how much lowering an indication of a nurse can lead to a problem in the household wallet, that is a problem that you see much less strongly in general practitioners. I think that is also the explanation for the sometimes conflicting situation that may arise when a nurse simply follows the directive and sets an indication lower. Whatever we know, let's not be dazzling about that. It's that a lot of pressure can be put on that nurse to give the indication as high as possible. Then there are the health insurers who have to take a legality test and an efficiency test. In the base, the system is as Mr Van Gerven wishes, but there are also reasons why the number of conflicts can be explained. It is precisely in that that you must want to offer more guidance and hence the hand-out.
ParlaMint-NL_2020-06-10-tweedekamer-3.u48	Shortly, because the questions are long and so are the answers.
ParlaMint-NL_2020-06-10-tweedekamer-3.u49	The Minister points out the pressure of perhaps the parents, but I would also like to point out the pressure of the health insurance companies, in particular, which are very much at the expense of the money. I think that's part of the problem we're talking about here.
ParlaMint-NL_2020-06-10-tweedekamer-3.u50	Finally, the Minister on this point.
ParlaMint-NL_2020-06-10-tweedekamer-3.u51	This, I think, really ignores what I have seen, even in individual cases. It probably didn't go well once and I can't always judge that, of course, but let's not assume wrong intentions. Healthcare insurers simply have the legal mandate to monitor legality and efficiency. That's one. The second is that nurses are responsible for the care of children or district nurses. The third is that it can be very complex at home if an indication is adjusted from top to bottom, because that also directly affects the home wallet. Very often that happens harmoniously, but yes, there can sometimes be a conflict and there can sometimes be something difficult to explain, in which one nurse says "with the same treatment I come to this conclusion," while the other nurse comes to a different conclusion. If your household income is so dependent on that, it is a bit of a recipe for conflict. That's what we need to take away. That is why I am also pleased that the professional association is now working on a better approach. I think we should do it with that hand-picking and in the meantime just want to deliver individual tailor-made work. So do the health insurance companies.
ParlaMint-NL_2020-06-10-tweedekamer-3.u52	Thank you. Then there is the motion on part No. 207 and the motion in part No. 209.
ParlaMint-NL_2020-06-10-tweedekamer-3.u53	The motion in part No. 207 I'm just gonna judge Chamber because I just agree. Mrs Laan's list shows how tough that issue really is. But it's not over until neighborhood nurses also say it's over, so we're gonna go through with it. In Q3, it says here that it is ugly language for the third quarter of this year, there will also be a new report, which also takes into account the experiences of district nurses. So I just want to compare those reports well, because they also show different numbers for convenience. I would also like to discuss with the parties what more we can do. This motion also calls for this. So I'd like to leave the verdict to the Chamber.
ParlaMint-NL_2020-06-10-tweedekamer-3.u54	The motion in part No. President. - I call the Group of the European People's Party (Christian-Democratic Group). 209.
ParlaMint-NL_2020-06-10-tweedekamer-3.u55	The motion in part No. 209 is about remote care. This is one of the many lessons we can learn from the months behind. Let's learn that lesson, too. There are many lessons more, but this is indeed also a beautiful lesson. So here I'd like to leave the judgment to the Chamber.
ParlaMint-NL_2020-06-10-tweedekamer-3.u56	Thank you. Then the motion gets to part No. 209 also judgment Chamber. This brings us to the end of this VAO Neighborhood nursing service.
ParlaMint-NL_2020-06-10-tweedekamer-3.u57	I shall suspend the sitting until 11.05 a.m.
