ParlaMint-NL_2020-02-04-tweedekamer-31.u1	We will continue with the VAO Tourism, with Mr Schonis as the first speaker.
ParlaMint-NL_2020-02-04-tweedekamer-31.u12	Thank you, Mr. Chairman. The tourism sector is of great economic importance, even greater than agriculture. It gets forgotten sometimes. The sector also creates a great deal of employment, including for people with lower levels of training, people who are practically trained. In my view, there was broad consensus in general consultation that this sector deserves more national attention and more national commitment. That is why I would like to table the next motion, Mr President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the tourism sector has a high economic importance, a high level of employment and a high growth potential, but it is also a sector which has received relatively little attention at a rich level in the past;]] [[Whereas the government has taken a number of good steps and has drawn up an action agenda with co-governments and industry, but a stronger and more coordinated commitment of the government is desirable and necessary;]] [[calls on the government, with the co-governments and inter-branch organisations, to strengthen cooperation and to better coordinate national efforts to exploit the sector's growth potential and combat bottlenecks, and to inform the Court of progress,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Moorlag. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-89]]
ParlaMint-NL_2020-02-04-tweedekamer-31.u13	Mr. Chairman. Finally, I note that the quarter-timer proposed by Mr Schonis in his motion simply fits perfectly into what I am advocating in my motion. Thank you.
ParlaMint-NL_2020-02-04-tweedekamer-31.u14	Thank you. Finally, Mr Van Haga.
ParlaMint-NL_2020-02-04-tweedekamer-31.u15	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that as of 1 January 2020, the Labour Market Act has been in balance, increasing the costs of flexible work and thus making flexible work less attractive to entrepreneurs;]] [[Whereas it is a fact of general knowledge that flexible work is considered necessary in the tourism sector and, therefore, that flexible work is widely used;]] [[having regard to the Tielen/Palland motion, which calls for a short-term assessment of the effects of the SAB;]] [[calls on the Government to examine specifically the impact of the introduction of the SAB on the tourism sector,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that certain airline tickets for flights within the European Union are very low prices;]] [[Whereas there is a wide-ranging desire for high-quality tourism;]] [[calls on the Government to consider whether an increase in ticket prices for flights within the European Union could have a positive impact on the quality of tourism in the Netherlands,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there has been a significant increase in tourism tax;]] [[noting that local burdens on entrepreneurs continue to rise;]] [[Whereas operators should be able to benefit from tourism;]] [[calls on the Government to examine the advantages of setting up a micronorm, requiring municipalities to increase tax revenue by no more than the inflation rate, and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Haga and Aartsen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-90]] [[This motion was tabled by Mr Van Haga. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-91]] [[This motion was tabled by Mr Van Haga. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26419-92]]
ParlaMint-NL_2020-02-04-tweedekamer-31.u16	I give the floor to the Secretary of State.
ParlaMint-NL_2020-02-04-tweedekamer-31.u17	Thank you, Mr. Chairman. I have nine motions. The first motion is the Schonis motion in part No. 84 in 15 minutes. This is precisely the concreteisation that we were all looking for in the AO, namely working together with provinces, municipalities and all other stakeholders in a practical way. At the Tourism Summit I also indicated with delegates that we want to work on destination management with as many partners in the region as possible. Then how wonderful is it that a quarter of an hour maker can see what the good experiences we can learn from each other are? I'll leave the verdict on this motion to the Chamber.
ParlaMint-NL_2020-02-04-tweedekamer-31.u18	The motion in part No. 84 gets judgment, Room.
ParlaMint-NL_2020-02-04-tweedekamer-31.u19	Then there is the second motion, in part No. 85. Mr Schonis asked the government to consult the tourism sector and national and regional transport providers to promote public transport. Of course, a lot is already happening in this area, together with the Ministry of IenW. I see this motion as a support for policy and therefore leave it to the Chamber to decide.
ParlaMint-NL_2020-02-04-tweedekamer-31.u20	The motion in part No. 85 gets judgment, Room.
ParlaMint-NL_2020-02-04-tweedekamer-31.u21	Then I have the motion in part no. 86, by Mr von Martels, in which the government is invited to bring to the attention of all the beautiful story museums and cultural institutions and to explore what we can do with each other to seduce the tourist to get to other beautiful places in the Netherlands. I'll leave the verdict on this motion to the Chamber.
ParlaMint-NL_2020-02-04-tweedekamer-31.u22	The motion in part No. 86 gets judgment room.
ParlaMint-NL_2020-02-04-tweedekamer-31.u23	The motion in part No. 87 is about implementing the tourist vision Perspective 2030 by concreteising it and thus developing a secure and forward-looking sustainable tourism agenda. This is a bit of what I have already said about Mr Schonis' motion, namely that we should do it with each other. We need to work with all actors, i.e. provinces, aldermen, the NBTC and the National Data Alliance to get them off the ground. I shall therefore leave this motion to the Chamber.
ParlaMint-NL_2020-02-04-tweedekamer-31.u24	The motion in part No. 87 gets judgment room.
ParlaMint-NL_2020-02-04-tweedekamer-31.u25	Then I have the motion in part no. 88, by Mr Van der Lee. He asks me to tell you what the concrete indicators are that can ultimately be assessed as to whether it all works and whether it is a success. It is good to distinguish between what I do deal with and what I do not deal with. I am responsible for the grant agreements with NBTC and have agreed on this with NBTC targets, for example at least 24 projects in the field of destination management. The programme of action of the provinces contains a large number of things for which I am sometimes responsible and sometimes other ministries. But it is, of course, good to see how far we have come at some point. I shall therefore leave this motion to the Chamber.
ParlaMint-NL_2020-02-04-tweedekamer-31.u26	The motion in part No. 88 gets judgment, Room.
ParlaMint-NL_2020-02-04-tweedekamer-31.u27	Then I have the Moorlag motion in part No. 89. This is the same as what I said to Mr Schonis and Mr Van der Lee. I'll leave the verdict on this motion to the Chamber...
ParlaMint-NL_2020-02-04-tweedekamer-31.u28	The motion in part No. 89 gets judgment, Room.
ParlaMint-NL_2020-02-04-tweedekamer-31.u29	...of course within the powers that exist for that purpose. Then I have the motion in part no. 90, by Mr Van Haga, in which he asks me to examine the consequences of the introduction of the Labour Market Act in balance for the tourism sector. This law just came into force. Mr Van Haga was quite right to speak about the Tielen/Palland motion, said out of my mind. The Minister will ensure a good, careful evaluation, with the information available at the time. This motion is not only premature, it is also not submitted to the right govern ment. That's why I have to discourage the motion.
ParlaMint-NL_2020-02-04-tweedekamer-31.u30	The motion in part No. 90 is not recommended.
ParlaMint-NL_2020-02-04-tweedekamer-31.u31	Then I have the motion in part no. 91, in which Mr Van Haga asks to examine whether an increase in the ticket price for flights could have a positive effect on the quality of tourism. This sounds a bit because of the fact that quality of tourism is directly proportional to what people can pay for a plane ticket. I want to keep that far from me. In addition, recent research commissioned by the Ministry of Finance shows that, in addition to pricing, capacity restrictions at Schiphol Airport in particular determine air traffic. I have to discourage this motion.
ParlaMint-NL_2020-02-04-tweedekamer-31.u32	The motion in part No. 91 is not recommended.
ParlaMint-NL_2020-02-04-tweedekamer-31.u33	In the motion in part No. 92 is one consideration that I fully agree with, namely that entrepreneurs should benefit from tourism. The subject of tourist tax is part of the broad tax powers of municipalities. That's what you need to see in conjunction with each other. I therefore ask Mr Van Haga to table the motion in a debate with the Minister for the Interior and Kingdom Relations. I have to dissuade her.
ParlaMint-NL_2020-02-04-tweedekamer-31.u34	The motion in part No. 92 is not recommended. That brings us to the end of this VAO.
ParlaMint-NL_2020-02-04-tweedekamer-31.u35	The motions tabled will be put to the vote next Tuesday. I thank the Secretary of State for coming to the Chamber.
