ParlaMint-NL_2020-01-23-tweedekamer-9.u1	The Minister has the floor.
ParlaMint-NL_2020-01-23-tweedekamer-9.u12	Thank you for that answer. I had asked another supplementary question, namely whether the Minister could also estimate how many couples or how many people would have been helped if the Labour Party amendment were to be adopted. With that I go back to the law of then Minister Schippers.
ParlaMint-NL_2020-01-23-tweedekamer-9.u13	In the third block, I deal with the social discussions and other topics that need to be addressed. Do you mind if I come back to it? I'd like to concentrate on what's in this law, if that's okay with you. Then we'll save that question for later. Mr Hijink also had a question about this, but I think I have answered this question. I think that answers the questions that affect sex choice.
ParlaMint-NL_2020-01-23-tweedekamer-9.u14	In replying to questions from various groups, the Minister states that in all cases of hereditary breast cancer or Leber's disease, if gene mutation detection has not been possible, you are not entitled to pgd as a last resort. I understand that a weighting is being made every time, but I am trying to imagine something more concrete. If you have as a woman that hereditary gene for breast cancer, then there is a chance...
ParlaMint-NL_2020-01-23-tweedekamer-9.u15	That you don't qualify for pgd after all. Yes, that's because the weighting is made in the personal situation. The same applies to IVF. Personal factors and a person's situation are involved in that weighting.
ParlaMint-NL_2020-01-23-tweedekamer-9.u16	I'm trying to imagine something about that. When can you be locked out of there as a woman? I can imagine that this could cause unrest for women who have such a genetic gene. They think, "Maybe I'm in a situation where I'm not entitled to it."
ParlaMint-NL_2020-01-23-tweedekamer-9.u17	It has a relationship with the IVF criteria. I'm gonna take a look at the wings, too. The profession has set itself a review framework for when people are or are not eligible for IVF. I can't reproduce the criteria right now, but I know that there's always a conversation with IVF parents about whether they're sure it's appropriate in their situation. For example, it has to do with the psychic state of parents. That's one of the weighting factors. They're still on the table. Look, what we need to avoid is that we are going to try to make weighting criteria absolute and that we are going to have a kind of right to pgd. There's no right to pgd. There is always a weighting by a multidisciplinary team. That will also be assessed in relation to the IVF criteria. Inside, a personal weighing and weighing is made. Perhaps it would be a good idea in the second period to go a little further into how the criteria relate to each other. Then I'll go to quality control. That is a second and fairly separate element in this bill. This therefore concerns the use of sex cells and embryos for quality control purposes. The Embryowet does not, strictly speaking, provide any basis for this, but the same institutions are obliged to do quality control under the Safety and Quality of Body Material Act. This is also in relation to the European directive on this point. If this is not the case, institutions are not in a position to guarantee the quality of fertility care. The use for quality purposes may involve different types of use, such as the practice of the operations by new employees and the validation of equipment or the testing of culture media. Quality assurance sometimes requires the use of sex cells and embryos. On the basis of the proposed amendment, it concerns the use of residual material, i.e. sex cells and embryos which would otherwise have to be destroyed in accordance with the Embryote Act. The legislative proposal creates a basis for the use of the residual material for monitoring the quality of fertility care. This is a necessary adjustment, which also reflects the quality assurance required for the provision of good care. Mr Jansen of the PVV asked if this was also defined for what it is necessary. Is the list contained in the explanatory memorandum correct? The answer is yes. The training of employees, the validation of equipment and the testing of liquids are indeed the type of quality control envisaged and envisaged.
ParlaMint-NL_2020-01-23-tweedekamer-9.u18	As a result, we have asked how quality assurance is currently taking place, so far.
ParlaMint-NL_2020-01-23-tweedekamer-9.u19	Yeah, I was ready for that. That's a fair question. Quality assurance is already being carried out, using residual material, such as embryos that have stopped parts during the procedure, ova that have not been fertilized or embryos with genetic disease. But there's actually no basis for the Embryo Act at the moment. However, the same professionals were already obliged to do so, not only under the European Quality Directive but also under the Safety and Quality of Body Material Act. Hence the importance of reconciling the conflict between these two legal bases. That was done through this bill. Mrs Ellemeet asks whether it is true that there is no need to give explicit consent to the obligation to comply with quality assurance. That's right. The extent to which institutions can comply with quality legislation is difficult to depend on the degree of willingness of parents to consent. So that's why we didn't do it that way. Mrs Dik-Faber asked when this conversation would be held with parents. Shouldn't parents know very well that there is the use of residual material or embryos for quality control and that this is one of the uses of residual embryos? I understand that, actually. In fact, I would like to combine her question with Mrs Dijkstra's question to ask the profession whether this still requires an adaptation of the model rules, of the way in which work is carried out. I think I'm gonna combine those questions. I am indeed going to pass that question on to the profession. I am referring to Mrs Faber's question. Let us assume that it makes sense to have this conversation at the very beginning of the journey and to be completely clear towards parents. The question then is: if you want to do so, does that still require an amendment to the regulation? I would add that I assume that the implementation practice is such that this type of conversation takes place at the very beginning of the journey. It seems logical not to do this after the treatment, but before, if the choice has yet to be made.
ParlaMint-NL_2020-01-23-tweedekamer-9.u20	I welcome the Minister's response to the questions raised by me and Mrs Dijkstra. When... Well, maybe not when, but how is the Chamber still informed about this? I'm very curious about the conversation he's going to have. I'd like to get a note or something about it.
ParlaMint-NL_2020-01-23-tweedekamer-9.u21	I get that. I honestly do not know at what rate that can be done, but I will of course admit that I am informing the Chamber again. In a subsequent progress report, it seems useful to me to let you know what the reaction is, or to let you know when the reaction is coming. I think that's how I'm supposed to do it. Then there is Mrs Dijkstra's question. The present legislative proposal defines quality assurance, she says, more limited than the European directive, because it states that it must be actions related to treatment processes or diagnostic processes in reproductive medicine. Then why this containment? In that we have actually with the formulation a bit connected to the system that we will also apply in the Body Material Control Act. They've been working on that for a very long time. I once said very bravely in the First Chamber about the Wzsd that that was a law that had been working on for nine years, but I understand that it has been on the board for 19 years, of the same person who is also working on it. No, it's not, but we've been working on it for a long time, because it's such an incredibly difficult law. So we really want to be connected to the scope of the target for which it is intended. Precisely because the current situation is so diffuse for which residual material, body material, may or may not be used, we found it logical to join. So that's why here, in this law, for this application, you've seen this limitation in the scope. It has also been remarkably noted; I must add that. Can quality assurance also contribute to a lower number of residual embryos? The aim of quality monitoring is to ensure that the procedures are carried out in the best possible way. However, most patients choose that all ova are available to fertilize. Quality monitoring then ensures that there is an optimization of the chances of success, so that there may also be more leftover embryos. It could be. So it's not that easy to estimate in advance the extent to which this affects the use of residual embryos. At the same time, you can say that these improved chances of success will no longer require a new IVF attempt, where a number of residual embryos will arise; that is something you can avoid. This in turn prevents additional use of residual embryos. So the net effect isn't that easy to predict. In a number of cases, there will be more, but you will avoid new treatment, because you can assume that effectiveness will improve as the quality of treatment improves.
ParlaMint-NL_2020-01-23-tweedekamer-9.u22	Maybe the Minister is still working on this, but I would like to add something to what he just said. Thank you very much for the answer when it comes to why this additional demand was chosen. I also asked the Minister whether he could confirm that, for example, the training of new embryologists is covered by that diagnostic or treatment process. I understood for a moment that he was talking about the training of new employees, that this is indeed answered in the affirmative. Just in case.
ParlaMint-NL_2020-01-23-tweedekamer-9.u23	Yes, skill training for employees is called quality assurance; absolutely. Then there is the question of the Christian Union: should we not strive to minimize the number of remaining embryos? That wish is very understandable. There are indeed patients who choose to create only one embryo at a time. There's only one downside to that. This means freezing eggs, one of which is fertilized each time. This does not improve the quality of the eggs. So I also understand that by far most patients choose to fertilize all the eggs in order to maximise the risk of pregnancy. This consideration is for patients themselves and that conversation is also being conducted with patients. I don't want to go in there. That's actually a choice that patients have. Why was the concept of residual material chosen? That's what the SGP's asking. In its opinion on the legislative proposal, the Advisory Section of the Council of State recommended, as an editorial comment, that Article 9a be formulated in such a way that it is clear that only residual material is used for quality assurance purposes. In response to this remark, Article 9a explicitly refers to residual material. A definition of this is therefore included in the first paragraph. There's no substance behind it. It has actually been a editorial comment from the Council of State, which we have taken on board. Mr. Chairman. In my view, I have answered the questions raised on quality assurance. Mr. Chairman. Then the more adjacent topics, also in relation to the dialogues. We had a general discussion not so long ago, in which we discussed the social dialogues in detail. I remember Mrs Tellegen saying: I have not been mentioned recently about germ-track modification along the hockey field. I had the same experience. Also with me sometimes a Saturday morning passes by the line without me being talked about, for example, embryo culture. That is a pity, because it is a nice subject to discuss Saturday morning. It is not always easy to turn it into a very lively social dialogue. That's right. That also changes a bit by subject. Sometimes the subject is very technical. Before this law, I had to remember what I had learned about genetics in high school. This applies to many of these subjects. The level of knowledge must be very good in order to be able to conduct an adequate dialogue. During the general consultation, I undertook to have you explain very clearly how we do it by dialogue. How do we try to do justice to the level of knowledge required by each dialogue, try to reach as large a group as possible, knowing that there is often a very limited group interested in it, and try to make it clear as clearly as possible when what discussion is taking place? We try to work that out for you as best we can by dialogue. That letter is to be expected in February. That commitment stands. Although I understand very well what you mean, I would ask you to continue the debate on the basis of the elaboration of that commitment, because I have the opportunity, much better than in this debate, to explain how we have tried very carefully to make it as lively and broad a dialogue as possible. That's one. The second is that several groups, both coalition and opposition, have asked if I should not manifest myself a little more. Mrs Ploumen, in particular, is eagerly looking forward to my presence in the newspaper.
ParlaMint-NL_2020-01-23-tweedekamer-9.u24	On this subject!
ParlaMint-NL_2020-01-23-tweedekamer-9.u25	Oh, on this subject! Look, that's a limitation of the scope of this encouragement: from now on, I can only talk about germ-track modification in the newspaper. But seriously, I understand that remark. It is also true that in the cabinet you can very well enter into a social debate and get going, namely by contributing to that debate and once in a while throwing a stone into the pond. Actually, I'd really like to do that. However, I am rather cautious to do so on these issues. This is because these are particularly important subjects that I believe I, as a representative of the cabinet, which has to relate to the outcome, should not close that social dialogue in advance by saying too clearly that we should either turn left or turn right. That's one. Two. If I were to do so, I would have to make sure, as you know, that in this coalition it is sometimes balancing between the more liberal and the Christian parts. As a cabinet member, I am not a party representative. As a cabinet member, I have to be a representative of the cabinet, which must know that the outcome fits in with the government agreement, in which there has been a very detailed discussion of medical-ethical issues. About the most important procedural agreement made in the coalition agreement is that the third part of the medical-ethical review framework is also passed in peace. That is: has the social debate taken place and is there sufficient political reflection? In that relationship, I would not think it wise for me to tell myself at a start-up meeting on embryo cultivation what should come out after all these meetings. But at some point, of course, the cabinet has to relate to its outcome. That's true, but it's in the right order of things.
ParlaMint-NL_2020-01-23-tweedekamer-9.u26	I think that the Minister is failing himself here, because he could of course intervene very well in the social debate without immediately recognizing colour or determining a position. With the way in which the Minister has just answered our questions, he shows that he is able to answer questions that are not very easy in a very clear way. That is precisely what my question is about: the social component of this dialogue. There is a very small group of people in the Netherlands who know what it is about, but it is about something. I would like us to find a way of conducting this dialogue outside that group of scientists and experts. It would be a nice thing for me if the Minister could take the word "social" in his letter.
ParlaMint-NL_2020-01-23-tweedekamer-9.u27	Yes, I understand that question very well, with the remark that on one subject it is easier to do so than on the other. I suspect, for example, that the talks are not really a social debate because we did not find a debate appropriate to the final phase of life, the theme of life completed, euthanasia and so on much easier to lead to a real social conversation than that of embryoculture.
ParlaMint-NL_2020-01-23-tweedekamer-9.u28	I understand that, but the Minister just made the point that a discussion about germ-track modification is not the first thing you think about along a football field at 8:30. That is precisely why I believe that we should think about better ways of addressing it, precisely because the government also has a duty to inform people. There's so much fiction about what's going on here right now that I think the cabinet should think about how we get to the people that we're talking about here.
ParlaMint-NL_2020-01-23-tweedekamer-9.u29	Yes, very once. Especially in the case of germ orbital modification, that is very much on the agenda. There is also considerable investment in this area. I am going to explain this in great detail, with the emphasis on the word'social', in order to highlight the social translation of this type of dialogue, so that it is not just a conversation between scientists. That comes with the February commitments.
ParlaMint-NL_2020-01-23-tweedekamer-9.u30	I understand the Minister's considerations very well. I certainly did not call on him to close the debate immediately. I did call on him to interfere in the debate in a way that gives people information about what is at stake. I think that we are trying to make it clear to each other, without only speaking in technical terms, what the issues are. As far as I am concerned, the Minister should do the same. He would also show how important the subject is for him and the cabinet. He also does so with subjects that are not even part of his portfolio, take migration. Hence my slight surprise that he is so reluctant here. Once again, I am not trying to force him into a position that would be too faint, but he is expressing his opinion on the dilemmas and the opportunities he sees. There should be opportunities for that.
ParlaMint-NL_2020-01-23-tweedekamer-9.u31	Sure. I understand that question, but I will explain to you where my deliberately chosen caution comes from. I just explained that. You may have seen it coming back nicely in the debate Mr Van der Molen had with Mr Hijink on his amendment. There came those arguments about how to look at the theme "embryo culture," I think, well along. On the one hand, the discussion on embryo cultivation always says: you must not want to instrumentalize the cultivation of embryos. That is what Mr Van der Molen emphasizes. On the other hand, Mr Hijink says, and I think you are on that trail with more members of the Chamber, that you should also want to see that it is the question why you should not be doing that type of investigation. We are already growing embryos, and we are already researching embryos, because this is allowed under a number of conditions. So we are doing that research to improve the outcome of the IVF treatment, which we had already made possible. That's what we want to influence. I understand that, but those are the arguments. What if I gave an interview like that and you moved into the journalist I was supposed to do an interview like that with? I think you would ask the follow-up question: yes, so where should it go? Do we choose to have one prevail or do we choose to have the other prevail? I'm gonna move on pretty quickly to the outcome of that. That is precisely why I have dealt with it with caution so far. At the same time, the cabinet has to relate to the outcome of this discussion. I am, once again, not the representative of a political party, but the representative of a cabinet that must come out with at least the four parties that support this coalition. I will when the time comes.
ParlaMint-NL_2020-01-23-tweedekamer-9.u32	Obviously, I'm looking at something else. I will also put forward a proposal in a moment to put the Minister on a slightly different path. I have a second question about the implications of the results of that dialogue. I imagine that given the nature of the issue, they will not be digital. The Minister is keen to wait for these results and not to influence them too much, but at the same time he also says: I am dealing with the frameworks of the coalition agreement. These are still valid, if I have the timetable in mind, even after that dialogue has been concluded. Does that mean that the results of this dialogue, whatever the considerations, will not have any influence on what this cabinet is going to propose? Is that what I actually hear the Minister say?
ParlaMint-NL_2020-01-23-tweedekamer-9.u33	That's not what you hear me say. I have just begun to say that in this coalition there are different parties with very different backgrounds and therefore very different medical-ethical views. That is why it was discussed in great detail at the start of the coalition agreement. Furthermore, it was concluded that we actually have three questions that in the sum sum are a review framework for the way this coalition has to deal with medical-ethical questions. Big questions, small steps, you could say. In a sense, I think we're all in the game on medical-ethical themes. That is why it says, and this was also the reason why the previous cabinet's bill was withdrawn at that time, that the public debate on embryo cultivation has not yet taken place enough to lead politically to a conclusion. Originally, it was one bill, but that part of the bill was therefore withdrawn. Actually, of course, a whole new bill has been made. But that was one of the reasons to withdraw that bill. Furthermore, it was decided not to come forward with a new proposal before that social dialogue was concluded. That has become part of the government agreement and that has also become part of the medical ethics note. So that's how we're gonna do it. This dialogue will be concluded sometime in the spring, and I believe that it is announced in the medical ethics note that we will come forward with a proposal on how to deal with the outcome by the summer of 2020. I know how much the planning of subjects and the way in which the cabinet relates to the outcome of this type of dialogue are part of the agreements made, including in the government agreement. They also have to relate to the main meeting on how to deal with those three review questions on medical-ethical issues. And of course, I'm sticking to that seamlessly.
ParlaMint-NL_2020-01-23-tweedekamer-9.u34	Shortly my last question. I'm gonna ask the question anyway. Of course, it is not inconceivable that the outcome of this dialogue is that people see room for the cultivation of embryos within very strict frameworks, as proposed in my amendment, for example. It is not unthinkable that that is the outcome. Does that mean that the cabinet will consider that? Or is that a matter of course dismissed? I'm just trying to figure out how the outcome of that dialogue will relate to what's in the coalition agreement, if that's the outcome of the dialogue: take the next step. Does that outcome still have relevance? Or is that going to be pushed further forward?
