ParlaMint-NL_2020-05-27-tweedekamer-5.u1	I now give the floor to the Secretary of State for Finance.
ParlaMint-NL_2020-05-27-tweedekamer-5.u13	A question has been asked about the scheme with the CAF 11-parents. The Donner report also states that this scheme should apply not only to the CAF 11 parents but to all parents who have become part of it in a group-by-group approach. We have taken that up in the cabinet response. We have added that we also want to make a special arrangement for additional damage. And we have said that the list that has been used, and is indicated in Donner's report, is used by us as the list to establish that bias. It consists of five criteria, in which intensive research, the collection of documents, the cessation without research, arguments and elements play a role in this. What about the burden of proof for parents? And how do parents qualify for the schemes? In part, we know the parents. We know which parents were part of a CAF investigation. We approach these parents ourselves, because of them we have data and addresses. So we can approach them ourselves. The data of parents affected by the hardness of the scheme are not stored in a file with us in any way. Then it is indeed necessary for parents to come forward. That is a complicated issue for parents, and I understand that very well, because I would like to help them as much as possible. So I also want these parents to be known to us. By the way, about 5,000 parents have already reported. To ensure that it is known to parents that this is the issue, we ask their municipalities, the childcare organisations and other institutions where they could be known to pass this on. We ask these organizations to ask the parents to come forward. In this way, we want to make it as clear as possible that these arrangements exist. Unfortunately, it is not possible for us to get out of our own files in advance exactly which parents are eligible. That is why we ask parents to report to us. Mr Van Weyenberg asks whether there are possibilities for greater compensation. Actually, that's what I've been telling you. It is therefore possible to provide greater compensation for parents if they are of the parents comparable to CAF 11 or have been part of a biased decision or treatment. There is therefore also the safety net system, which is in line with the hardness of the system. We're going to discuss that safety net clause in more detail next week. It also makes it possible to compensate parents otherwise. Moreover, in all cases, many parents have also indicated to me that they are not only looking for financial compensation, but also otherwise need help. It is also for that reason that I have contact with many municipalities, and in the coming time with much more, to see together how we can then help those parents. Questions have been asked about the size of the groups. In total, this is about 20,000 parents. Of course, the exact number of these is still dependent on the assessment to be carried out, but for the time being we are still assuming this size. This also means that a great deal of work will have to be done to assess these parents as closely as possible. I'm going to say a little more about that in a moment. Then I would like to turn to the questions that have been asked on the subject of dossiers, the parent files. A total of around 700 requests were made for a personal file, for parents. There are about 41 parents who have gotten that file by now. Of course that sounds like little and that is also relatively little. That has a lot to do with the fact that putting those files together is an enormous amount of work. We lost about 400 hours per file. We have many files to go through and we need to ensure that this information is properly ranked, in a way that also provides insight for the citizens concerned. We're gonna have to paint some of that information, too. That has everything to do with the fact that there is information in there that should not be visible to parents, of course, because it is not about them, but about others in those files. This is what we have done. We have contacted the National Ombudsman and asked him to look and think about a process in which we can help parents and answer the questions they have. Many parents are not looking for their complete file, but for information to get a picture of what happened to them. That is why I indicated with the Ombudsman that we are going to organise the process as follows. We're gonna call parents. We ask them exactly what information they need. On that basis, of course, we will also seek that information for them. If they still want a whole file, there is, of course, that possibility. But unfortunately that will take some time, because it is so incredibly much work and there are many parents who have asked for their file.
ParlaMint-NL_2020-05-27-tweedekamer-5.u14	Mrs Leijten would like to ask a question very quickly and very much.
ParlaMint-NL_2020-05-27-tweedekamer-5.u15	Yes, Mr. Chairman. I'll come back to the arrangement in a minute. I think anyone who's been listening can't tie a rope to it anymore. So this is the hell of a swamp created on the basis of Donner's raving advice. But I would like to go into those files now, because parents have a lot of questions about that too. We already knew this answer, because we got it last night in response to parliamentary questions. But how is it possible that parents don't get a file, but they get a call that they've already been reviewed and that they fall into a certain category?
ParlaMint-NL_2020-05-27-tweedekamer-5.u16	Parents haven't been assessed yet. As part of the steps we are taking in the assessment, exactly what we have also indicated in the cabinet response has been done. We have looked at which of the CAF files has played a role in this institutional bias and which has not. We've made that distinction. That's what the parents get from us this week. In addition, we have already called some of them, who we already have in mind and who we are already in contact with, because we realize that the outcome is exciting for them and that it can be not only exciting, but also very intense at times. We felt it was important that this should not only be communicated by letter, but that they should also be called.
ParlaMint-NL_2020-05-27-tweedekamer-5.u17	This is not an answer to my question. I just can't reach it. I went to the IRS with those parents. Those parents had a lot of victims of a CAF investigation. If you read those files... Your shoes are falling out! What happened there! It says almost literally: we do not have to deal with the owner of the fraudulent childcare, because she is already bankrupt because the parents can no longer afford it. And all these parents are hearing now: you're not at all comparable to CAF. You've eaten dry bread for years, you can't give your kids anything, but you won't get any compensation from the state. This is going to be a really big problem!
ParlaMint-NL_2020-05-27-tweedekamer-5.u18	Just to make it very clear, here's what I'm gonna do. There is a distinction in the CAF studies. There are CAF studies in which group bias has been addressed and studies in which this has not been addressed. In cases where it has been discussed, parents are entitled to the compensation scheme as described in the Donner report. That means: you get back the money you were originally entitled to and you also get additional lump sum compensation. In the cabinet response we added the possibility to receive additional compensation if you can prove that you have suffered additional damage and that this damage is related to the childcare problems. That's one. Two. There are CAF files in which there has been no bias. It may be that they are files that, for example, were not at all about the childcare allowance. It may be that research has been carried out, but that research has not led to anything happening to the parents. It may also be that there has actually been fraud by a parent concerned. In that case, you are not eligible for the compensation scheme and therefore not for the additional compensation. But as I pointed out at the beginning, there is also the possibility that parents have been treated individually on the basis of bias. Then you will also be eligible for the same scheme that I was just talking about and which we call the compensation scheme. If this is not the case, if parental bias has not played a role but they have been affected by the hardness of the system, then these parents are eligible for a scheme in the context of that hardness. That means: you still get back the money you were entitled to, with interest, with reimbursement of the fines you paid, and so on, and so on, and so on. That group of parents will therefore receive a compensation from us as well. In addition, for parents subject to the hardness of the scheme, there is in very special cases the possibility to benefit from an additional scheme through a so-called safety net provision. I understand it's complex and it's complicated. But the basis of the difference lies in the bias that was at issue in some cases and the mistakes that have been made by us, the government, we therefore believe that the parents concerned are entitled not only to the amount they were entitled to, but also to additional compensation on the one hand and the hardness of the arrangements on the other. That's what hit his parents, too. In some cases, it was about very large sums. I know the parents involved, of course, and I know the amounts involved. But there was no bias or error on the part of the government. There was a very hard settlement, and we are now trying to restore it as best we can.
ParlaMint-NL_2020-05-27-tweedekamer-5.u19	It's a lot of words, but at least it's not generous, and that's what the Secretary of State started with. Today it's about: are you generous, or are you letting people walk back into a bureaucratic swamp in which they have to prove it themselves? Donner's advice did not take into account the legality of intent/big debt, but did not consider whether parents had acted unlawfully and therefore biasedly outside the group approach. And that was a promise. Donner didn't look at it, but he advised on it. And the Secretary of State is doing that. This isn't complete. If these parents go to court and the Tax Office has no evidence to show why they've assumed "frauder," then the Tax Administration is getting wet. I wouldn't want those parents to have to do that. It is up to the Secretary of State to be wise today and to say that in the event of intent/great guilt it is necessary to examine whether there has been any legitimate action. Because we just have an internal note stating that there has to be evidence; you have to be able to show what you suspect people of. And that's just not in those files.
ParlaMint-NL_2020-05-27-tweedekamer-5.u20	It is a good thing that you indicated this, because apparently that was unclear. In the beginning of my piece I indicated that I am also doing research on the theme of intent/great debt. So this is separate from the fact that we are stopping that policy, that we are not going to continue with intent/great debt. There is now only the possibility, where necessary, to recover on the basis of a late payment that someone can have or on the basis of something that needs to be repaid. Built-up/greater debt is no longer available in the future. In the past, it has indeed happened. I realize that it is complex that is given to parents who qualify. They could be parents in CAF files, they could be parents in other files, but they did. It is not always clear why this has been done, why these parents have received this qualification. What I consider to be very important is that this should come to light, that it should become clear why it is, and that this should also play a role in the assessment of the parents' files. The fact that you received that qualification does indeed play a role for the parents in the handling of the files. This is true of the past; in future we will no longer be using this policy.
ParlaMint-NL_2020-05-27-tweedekamer-5.u21	I wish it were true, but it's just not true. Deception/greater debt: those files simply do not answer that. You say I turned it off. Yes, you had to. Last April, the Council of State ruled that the Tax Administration should not use it, because people who act in good faith but still make a mistake are disproportionately affected by it. The fact that it was not released until March is, in fact, already richly late. But Donner says literally: "We have not investigated any illegalities in the treatment of people outside the group approach." In his opinion, he assumed that everyone individually excluded from that risk selection had legal protection, which still needs to be investigated. And that's what he based his advice on. But they didn't have legal protection. They've been beaten together, left to die in the ditch, and we're not picking them up until now. But we do say: yes, maybe you weren't left for dead after all. This isn't generous. The Secretary of State must look at the legality outside the group approach. If the Secretary of State doesn't do that, then this is a sad, sad day.
ParlaMint-NL_2020-05-27-tweedekamer-5.u22	Maybe a few things to say in response. Number one: I am not here on behalf of the Donner Committee. I stand here on behalf of the cabinet, which has made an arrangement, based on the Donner Committee. Part of what we have indicated is that we are indeed investigating intent or gross guilt. It is very important for me and for us too to know exactly how that went, not least for the parents, as I mentioned earlier. What exactly went wrong? I indicated in my introduction: we are going to recover and we are working on it. We're making sure parents get justice. But we don't have all the answers to all the questions yet, and this is one of them. We also do not have all the answers to the questions asked to the AP. We also do not have the answers to all the questions about whether documents have disappeared or not. That will all come to light in the near future. I sincerely hope so. I am, of course, also aware of the fact that this is happening, because it may also play an additional role in the assessment of these dossiers. But I don't want to wait for that. The cabinet is very keen to compensate the parents as soon as possible. And that is what we are doing on the basis of the arrangements that we ourselves have made, which are again based on the Donner report.
ParlaMint-NL_2020-05-27-tweedekamer-5.u23	Mr President, I would like to make a point of order to you. We had asked for documents at the beginning. There's been one document.
ParlaMint-NL_2020-05-27-tweedekamer-5.u24	Yeah, that's right.
ParlaMint-NL_2020-05-27-tweedekamer-5.u25	That is the document that was in 3.5 point. Now that's neatly readable. But we don't have the underlying documents. None of the decision lists came up. And the documents written by the Dg Tax Administration and submitted to the State Secretary are the three documents mentioned in reply 15 of the factual questions are not provided, because their content would have been provided to the Chamber. Then the Secretary of State has missed an article 68 discussion and I ask you to give the Constitution to the Secretary of State. So I ask the Secretary of State to deliver those documents to the Chamber within 15 minutes, because they are the subject of debate here. And if there aren't, I get the feeling we're gonna be playing some kind of detective again. So this is an order proposal. I want those pieces within 15 minutes and otherwise we'll just wait until those pieces are here and then we'll move on to the debate.
ParlaMint-NL_2020-05-27-tweedekamer-5.u26	I understand that there has been a letter stating that one document is available, but the rest is not yet available. But the Secretary of State knows that better than I do.
ParlaMint-NL_2020-05-27-tweedekamer-5.u27	Yeah, that's right. One document has been made available. It concerns the documents requested by Mr Omtzigt. They're about reports from management team meetings. We have already replied to questions from the Chamber on this matter that we can no longer find them either. We can't get those pieces out of the water anymore. The ADR has asked for this and we have been looking for it. We've done that several times. But those documents are no longer in our files or in our archives. So I can't make it available to you. I'd love to. Many of the management team reports we are dealing with, hundreds of them have indeed been made available. But the ones you're asking for aren't here anymore. The ADR has also indicated this in its report. And the last piece is about an official note. It has finally come to a concept in the official organisation. But it has not been completed and has not been used as such as part of the deliberations and has not gone to the Secretary of State either. As part of the fact that this is a personal policy concept, we have chosen not to share it with you.
ParlaMint-NL_2020-05-27-tweedekamer-5.u28	That's not a choice. That's not a choice! A personal policy concept? The DG Tax Administration conducts an internal investigation into what happened. This is dismissed as a personal policy view, which has remained a concept note and which is not provided. It should simply be provided to the Chamber under Rule 68. There is a Chamber motion, adopted 150 to 0, so I would ask you to forward it to the Chamber. The answer also contains a second note which has been presented to the Secretary of State, namely the report of a number of talks. It's a little overflowing. On the basis of the Constitution, I simply request that those two notes be delivered to the Chamber. I do not care what the government thinks about it in the next half hour, so that they can become part of the deliberations.
ParlaMint-NL_2020-05-27-tweedekamer-5.u29	I gave the answer I gave. Some of the documents cannot be made available because we do not have them at our disposal. I gave you what you got. We assess the other documents as documents dealing with personal policy concepts. We do not make them available to the Chamber because otherwise it is not possible for my staff to share ideas, plans and messages with each other without them playing an immediate role in the public debate.
ParlaMint-NL_2020-05-27-tweedekamer-5.u30	Then I'll do it on the basis of the WOB, truly true as a Member of Parliament. This isn't an e-mail or anything. I'm not asking about the e-mails. This is a report from the Director-General. That's the highest boss in the IRS. He did months of research, interviewing employees. A report was written on that. This concept was consciously held and this is now seen as a personal policy concept? Come on! This is not a personal policy idea. The second is a piece that went to the Secretary of State. It's between the lines. Since it is not provided, I propose that this debate be suspended for a moment. I'll have a word with the other MPs. It can't be that after two and a half years of toiling on pieces again, I just can't get a piece that comes above the table. I need to be a goddamn journalist. By the way, that's a fine, honorable profession. But I need to be a journalist to control a government here. I can't take it anymore.
ParlaMint-NL_2020-05-27-tweedekamer-5.u31	I'm also looking at the Secretary of State if it might be possible to keep certain documents confidential... Yeah, I know how complicated that is.
ParlaMint-NL_2020-05-27-tweedekamer-5.u32	No, Mr. Chairman. They're allowed to make names black. I understand that there are a number of personal names in it. That's where I'm at. But if an investigation is being carried out, then we have to check it. The investigation was held here late last night under the radar of the Chamber. It's not an e-mail or a personal policy idea. It belongs to the highest director-general of the tax administration. We need to be able to control this, because we want to see what happened. The same answer says that a memo has been sent to the Secretary of State. It was official in any case, so that is not the case with the Secretary of State's whole apology. I understand you're looking for those other documents; we'll find out again. But those two documents can simply be provided to the Chamber so that we know what happened there. Do you know what kind of debates we had in the Chamber at that time?
ParlaMint-NL_2020-05-27-tweedekamer-5.u33	No one can hear you, Mrs. Leijten.
ParlaMint-NL_2020-05-27-tweedekamer-5.u34	Mrs Leijten said that if these parents do not deliver a piece, they are punishable and they have to pay tens of thousands of euros fine. But that was off the record.
ParlaMint-NL_2020-05-27-tweedekamer-5.u35	Yeah, now it's in the Acts. You made an order proposal to suspend. How long do you intend to suspend?
ParlaMint-NL_2020-05-27-tweedekamer-5.u36	Ten minutes, so we can get an answer from the Secretary of State on how to get that document.
ParlaMint-NL_2020-05-27-tweedekamer-5.u37	Then I will see if this proposal is supported. Mr. Snels.
ParlaMint-NL_2020-05-27-tweedekamer-5.u38	Mr. Chairman. I certainly support that, because I would like to have a word with colleagues. Indeed, as Mr Omtzigt said, we have had a whole debate on Rule 68 and the obligation to inform the cabinet. We have also had a discussion about what personal policy concepts are. This is an investigation and a report based on interviews. That has nothing to do with this. This does not fall within the definition of personal policy concepts. It's just a piece that's important to us to check what happens in the service. This does not fall under personal policy considerations, so the Secretary of State must send this to the Chamber anyway.
ParlaMint-NL_2020-05-27-tweedekamer-5.u39	I will see if everyone agrees with Mr Omtzigt's order proposal. Is everyone okay with that? Mr. Nijboer.
ParlaMint-NL_2020-05-27-tweedekamer-5.u40	In itself, the Constitution is very clear. We're just entitled to it. I support Mr Omtzigt. A majority of the Chamber is asking for an explanation of this. I think there is a majority for that.
ParlaMint-NL_2020-05-27-tweedekamer-5.u41	Yeah, I just asked.
ParlaMint-NL_2020-05-27-tweedekamer-5.u42	The only procedural proposal left is to file a motion in the interim in order to enforce it with the Secretary of State. However, I think that if everyone speaks now, and there is probably a majority in favour of this, it should be done.
ParlaMint-NL_2020-05-27-tweedekamer-5.u43	That's what I'm asking. Only those who do not support it can say something. Does everyone therefore agree with Mr Omtzigt's proposal to suspend for ten minutes so that you can consult each other? Okay, then I'll suspend the meeting for ten minutes.
ParlaMint-NL_2020-05-27-tweedekamer-5.u44	I'll give the Secretary of State the floor first.
ParlaMint-NL_2020-05-27-tweedekamer-5.u45	Thank you, Mr President. In response to Mr Omtzigt's requests, one thing was not entirely clear to me, because there had been a request. I didn't understand that. The first request concerned the document which is an internal administrative note, which was subsequently rejected internally by the administration. That's why that piece wasn't made public. As far as I am concerned, that is what I have just said. The other note you're talking about is about a conversation report. I would like to make that note available to your Chamber, but there are a few themes. We need to take a good look at the information in terms of names and persons. We therefore need to be able to monitor this very carefully. The other point is that we need to look closely at possible interference with the investigation that the D.A. is going to do. I cannot therefore make that note available to you immediately, but I am prepared to give it to you.
ParlaMint-NL_2020-05-27-tweedekamer-5.u46	Thank you for getting all the documents, I suppose, that have gone in question 15 towards the Secretary of State on this relevant subject here. As far as that other piece is concerned, I will continue the discussion later, because I do not agree with it, but I do not want to stop the debate. However, I do not agree that a study carried out by the DG, which covers the whole process, can remain in the concept phase from the moment one is interviewed and cannot move forward. Anyway, I don't want to stop the debate. I'm waiting for the next piece.
ParlaMint-NL_2020-05-27-tweedekamer-5.u47	I think we're still confusing two documents. There is an official piece, made by a senior official, but stopped by an even higher official. We're just keeping that part in-house. That is an internal policy concept under consideration. The other piece is about conversations that have taken place and the conclusions from them. That is what we will make available after we have looked carefully at it.
ParlaMint-NL_2020-05-27-tweedekamer-5.u48	Thank you. I still don't agree with that first one. I will come back to that later. I assume that the latter applies to all the documents made available to the Secretary of State in that file. When I read that answer carefully, I do not know whether one or two documents have ended up with the Secretary of State. I'd like to have it. I understand that it takes some time to look through those pieces carefully, because there might just be names in there.
ParlaMint-NL_2020-05-27-tweedekamer-5.u49	In that context, I have the following point. The answer says: notes were provided to the previous State Secretary on 20 November and 2 December 2019. Your decision will see to it that we get those notes, won't it?
ParlaMint-NL_2020-05-27-tweedekamer-5.u50	Yeah, that'll take care of the notes that went to the Secretary of State.
ParlaMint-NL_2020-05-27-tweedekamer-5.u51	Then we can move on to the debate. I have on my list: Mr Omtzigt, Mr Snels, Mr Van Weyenberg and Mr Azarkan. I give the floor to Mr Omtzigt.
ParlaMint-NL_2020-05-27-tweedekamer-5.u52	We're talking about people's files. Nine months ago, about 600 people asked for their files. My first question was: these people did so on the basis of Article 15 GDPR. You're entitled after three months. If you don't get it, you get a penalty. The government denies that these people are entitled to the GDPR or that they have requested it on the basis of the GDPR. However, I have seen a number of letters from these people. They even mentioned GDPR Article 15 in the application letter. That was an example letter from the Union for Taxpayers. Those people are either entitled or entitled to a periodic penalty payment. I would have liked to know if that's the case. But it goes one step further. It is not just a matter of the right to the file or to be bothered, but of the fact that, as a tax authority, how can you determine whether someone is entitled to compensation, or whether someone falls into one of the categories mentioned by Mrs Leijten? How can you determine that if you can't provide the file to the people? That seems to me... So there are 600 people, and they're all gonna get finalized when they don't have their own files. They can't go anywhere, can they? And how can they appeal to themselves? That is the crux of the matter.
ParlaMint-NL_2020-05-27-tweedekamer-5.u53	Maybe we should talk about the latter first. Indeed, it is not necessary that you have the complete file of someone, which we have given to those 41 parents, to decide on the child care allowance and/or the scheme for which one is eligible. That is because the files we have made available contain much more information. This is also about rent payments, about the child-related budget and also about other topics, such as "what was going on with my childcare organisation?', What some parents asked for, and all that information. So those complete files we made for the parents who asked for them, you don't need to make that assessment. Of course, we are looking for the elements that are needed for this. Of course, we are going to compile that file and we are going to do it together with the parents, because our contacts contact the parents and see what they have in their files to ensure that they together have the best possible basis for decision-making. That's one; so you don't need a full file to make a decision. Then there's the other point. You're right that the parents who ask for those files are entitled to that. We do not deny that at all, because it is true that you can request your information and we have given a number of parents all that information. The only point we are dealing with is that putting these files together will cost a great deal of work. Indeed, there have been some 700 parents who have asked that question, and we have been looking for a way in which we can help these parents as soon as possible, in addition to what we are naturally doing to ensure that they are also compensated, so that they get that financial compensation. That's how we can help these parents. That's why we call these parents, we contact them and we ask them what they're specifically looking for, because then we're gonna find that specific information for them, and we're gonna try to do the same. The first parents we called for this, and again, we do so under the supervision of the National Ombudsman, who have often also indicated that they are indeed looking for specific parts of the file. And we'll give it to you. We have also said that if a parent still wants the complete file, we are going to put it together, but we need more time for that. If you are talking about the relationship with the GDPR: the GDPR elements from those files are narrower than what we make available to the parents. So if we only act according to the GDPR, then it's just part of the file we have to give. Those are, of course, data that show that they're registered, and that sort of thing. But it is not that the GDPR obliges us to give those complete files completely and in every way. Apart from that, we do, but we've found a "I'd almost say" practical way to make sure the parents are served, that they get information. And I asked the National Ombudsman to look into it, because I think it is so important that we do not give the impression here that we do not want to give them, or that we do not want to provide them, or that we do not consider the information we need for the proper assessment.
ParlaMint-NL_2020-05-27-tweedekamer-5.u54	Then parents are confronted with the fact that they were entitled to that GDPR information, while you are now saying that they did not ask for it on the basis of the GDPR. Yes, that is in the answers to last night's parliamentary questions, that of Mrs Leijten and me. So that's not based on Article 15. Now they have, which means that they should normally have a decision after one month, three months at the latest, and, if such a decision is negative, they should be entitled to the penalty payment towards the Tax Office. And if you nod yes, I see that you can't really avoid that. I hope you tell the parents that too, because they are entitled to this information. And secondly, I asked all this because a lot of parents in that CAF 11 case want their entire file, especially those 40 parents who have suffered more damage. But they do not have their whole file and now they have to go to the committee, which I will hear in a moment when it is set up and whether it is working, with their entire file, within a period of time. And that deadline has already expired, but their request for information has gone much longer. So how's this going, without complete files? It is also very important for them to have all the elements about the childcare institution, which has often been quite messed around, and then I express myself mildly. So how do we get people to that committee with their entire file and how does that committee work? And b: do these people now have the right to a decision and compensation if they have a question on the basis of the GDPR, because it is not provided within three months?
ParlaMint-NL_2020-05-27-tweedekamer-5.u55	Maybe I could go into that first piece. What we will do is to the parents, and especially to the parents, who bring out information from their files that is necessary for a proper assessment of what they are entitled to. We will certainly also, when it comes to, for example, additional compensation, perhaps look further into the files and look for that information. That is what we are doing for these parents in the context of dealing with the case and, as you rightly say, they are entitled to do, because we need to look at each other. This is also the work that our contacts are doing. That's one way. I would like to come back to you in the second term on the question of precisely zooming in on the GDPR, because I want to answer exactly: which parts of the dossier are or are not part of the GDPR? But let me just say one thing about it: I think, just like you, that parents are entitled to all this information and we would like to give it to them, but we also want to work here and make sure that the information that is now needed comes out.
