ParlaMint-NL_2020-11-11-tweedekamer-9.u1	We shall now proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2020-11-11-tweedekamer-9.u12	Mr Voordewind may say that we lack courage or courage, but I note that in this Chamber you must have some nerve to go against the existing narrative, to say no, because we see the effects of the existing strategy. Let me turn it around: why do we always have to say yes? Mr Voordewind knows as well as I do that in the end it is not always, or almost never, to do human rights. Otherwise other partners would have been supported. The Middle East also has raw materials, including oil. It's been going on for decades. On this point, as far as the last example is concerned, I would like to point out that the interventions in Afghanistan and Iraq alone have led to 15 million refugees. In-house, too, a lot. And in the United States, which is asking us all to do this, our own people also say: why should we spend around 800 billion on militarisation when I have no health insurance and no food? I would like to point out that they hardly receive refugees, that they are heading this way, and that then all right-wing parties are calling: you see those who come to take away what is ours; they are coming to take away our culture. What I'm looking for is another strategy where we don't look away from the root causes and give oxygen to terrorist groups. And that's another look, another vision. But that's not a systematic "no." I'm afraid you're making us a little short.
ParlaMint-NL_2020-11-11-tweedekamer-9.u13	I think we all agree with the plea that we need to address root causes. Of course, we all want people to take over the crew, not the sword. Of course, we'd rather grow crops than fight each other with guns. The point is that at some point there are guns, that at some point there are fighting somewhere. Then you can disagree on whose fault that is. Mrs Karabulut of the SP says very clearly that the United States is guilty of the war in Iraq. There's a difference of opinion on that. But what you see now is that there is war and that the locals are suffering. Is the SP at such a time willing to say: we do not agree on who is guilty, but we are willing to help the people, to make sure that those guns disappear?
ParlaMint-NL_2020-11-11-tweedekamer-9.u14	It is my party that systematically and continuously insists on no longer sending and selling arms to conflict zones.
ParlaMint-NL_2020-11-11-tweedekamer-9.u15	No, but those guns are here now. If the guns are there yet?
ParlaMint-NL_2020-11-11-tweedekamer-9.u16	Can I just finish my answer? Perhaps Mr Van Helvert did not fully understand me. My point is not that only the West is guilty of... No, my point is that we are contributing to that, with all the good intentions of Mr Van Helvert. Because it is not just about Western intervention, it is also about oppression, poverty and inequality. That is a very diverse and complex whole. I am convinced, given the facts, that we cannot bomb a democracy elsewhere and that there are often very different interests at the root of a war: geopolitical interests, power, oil. I note that our contribution to this and blindly following the United States, NATO and other allies has not brought what we were promised, namely more security, less terrorism and fewer people on the run, but exactly the opposite. For more than twenty years now, because it is not necessarily defence, it is the chosen wars that are operated in this way. These are the facts. I mentioned the rise from 32,000 to 110,000 Islamic terrorist fighters. At some point, then, we have to light a light and start thinking: we want to do this differently, otherwise we will come to the scenario proposed by the Minister of Defence: instead of 10 or 11 billion now, we will grow to 13 to 17 billion in expenditure on militarisation and defence. And then...
ParlaMint-NL_2020-11-11-tweedekamer-9.u17	I just want to...
ParlaMint-NL_2020-11-11-tweedekamer-9.u18	...you'll come up with even more weapons in the world. So a vicious circle. I am sorry, Mr President, but this is a subject that is very close to my heart.
ParlaMint-NL_2020-11-11-tweedekamer-9.u19	I can tell.
ParlaMint-NL_2020-11-11-tweedekamer-9.u20	We are familiar with the argument, but the answer to the question has not yet been given. The moment the violence is there, you can argue about who's to blame and how it happened. Then how do you get it out? You can't say to IS: let's sit down together, we'll grab a cup of tea and we'll deal with the root causes; will you stop killing the locals? Unfortunately, that's not how it works with IS. Is Mrs Karabulut, once there is violence, prepared to cooperate to expel IS first, and then to work on the root causes? Because the moment ISIS walks on the field with guns, the farmer can't grow a crop there.
ParlaMint-NL_2020-11-11-tweedekamer-9.u21	I have just made it clear in detail in various interruptions that ISIS is part of the illegal war in Iraq and that the root causes of that war have not been solved. But let me zoom out and answer more generally Mr Van Helvert's question. I understand him in such a way that he asks: are there any possible situations in which the SP would also like to help in supporting peace and creating a situation in which the weapons remain silent? Of course there are. I have explained that we also look at a number of things every time. Is there an international legal basis? Is it legitimate? Is it proportional? And will it really do what they say it does? We look at this on a case-by-case basis.
ParlaMint-NL_2020-11-11-tweedekamer-9.u22	I like that. Because the point is: what is the story of the SP to the village in Iraq surrounded by IS? That village is surrounded by IS, the people in the village are trapped. Does Mrs Karabulut say to those people, to those women who have finally come back after they were initially liberated from IS, and to the children who are allowed to go back to school: we have said it before, we were always against the war, we are going to tackle the root causes? Or does the SP also say: we will first free you from IS, and then we will tackle the root causes?
ParlaMint-NL_2020-11-11-tweedekamer-9.u23	Again, IS is a product of intervention. We should never have done that. Of course, when there is genocide, we want to help. I note that at the moment the majority of the parliament in Iraq wants foreign troops to leave and that the young people in Iraq are now demanding that their corrupt leaders resign. The corrupt leaders supported by the Western governments. So at the moment, things have to be very different in Iraq. I would also like to say once again that the Kurds, who have shocked the Jezidis in Singar, are currently being attacked by the NATO partner of the West. The Jezidis have been abandoned in Northeast Syria. I do not want to say that this is the fault of Mr Van Helvert or that Mr Van Helvert proposes it. But it's about very different interests. We shouldn't forget that. My plea is that we must make our own decision and develop our own foreign policy.
ParlaMint-NL_2020-11-11-tweedekamer-9.u24	Speaking of fact-free, when the Jezidis in Sinjar were surrounded by the horrible terrorists of IS, we could help them. We did. The Netherlands, with allies, sent F-16s to bomb ISIS out of there. That genocide has been prevented. A lot of people were before that, but who was against it? The SP. Has that point of view changed now? Does the SP want to start helping people who are killed by terrorists?
ParlaMint-NL_2020-11-11-tweedekamer-9.u25	I just told you it's about the circumstances. In the case of genocide, that's what we want. The Jezidis were helped in the first few months and dismayed by the Kurds. We shouldn't forget that. After that, the Netherlands did start bombing. When there is genocide and we have to save people, of course we are involved in it.
ParlaMint-NL_2020-11-11-tweedekamer-9.u26	Not, because the SP has voted against it and is still voting against it. The SP has voted against it, and we will all be able to see that. We've all noticed that. But I see something else now. Mr Van Helvert is presenting something very concrete: there is a village surrounded by terrorists, and we can help those people by bombing. What does the SP say? Are we gonna do something? And then I hear Mrs Karabulut say that we need to zoom out and see what the root causes are. It is even brave that Mrs Karabulut is fighting for another narrative! But what's in it for those victims? What do Mrs Karabulut and the SP offer to victims and near-victims surrounded by terrorists they want to kill? Until now, the SP has always voted against it. Does the SP vote for action in the future?
ParlaMint-NL_2020-11-11-tweedekamer-9.u27	I have explained how we reach our decisions. We take it very seriously. At least we do not sign blindly because the allies ask for it. And we're not gonna tell a story about it getting us all safe. I would point out once again that the wars, supported by the VVD with the promise that they would bring security, less terrorism and democracy, have completely and fatally failed. Millions of people have fled, then pushed back into the region by the VVD. Europe is currently totally failing to provide humanitarian aid. And then the VVD dares attack us? I challenge you, Mr. Koopmans, to respond to the facts I have told you. The facts are that terrorism has increased, that the number of attacks has increased and that the number of refugees has never been so high. I challenge you to reflect on the question of whether this might be due to our interventions and whether we should not abandon that strategy.
ParlaMint-NL_2020-11-11-tweedekamer-9.u28	The facts are that every time we were able to decide here on combating IS, Mrs Karabulut and the SP voted against. They voted against combating the most horrible terrorists we have seen in history. No, no, no, no, And there's nothing the SP is offering right now. Every time we ask what the SP wants to do in concrete terms, Mrs Karabulut starts with a huge ideological story. Well, the victims won't be watching, but if they did, they'd hear that there's only ideological battle with banners, but that it's never said once: no, now we're going to intervene and protect the people. I'm noticing that.
ParlaMint-NL_2020-11-11-tweedekamer-9.u29	That observation is incorrect. I have already said: in the case of genocide. I also explained why we were against the first and subsequent missions and against the illegal war in Iraq. I explained all that. You have not explained your reaction to the facts. Unlike the promises, there is no democracy, but chaos. The number of terrorist groups has grown and there are so many millions of refugees. And then the attacks take place here as well. Good safety offers you people.
ParlaMint-NL_2020-11-11-tweedekamer-9.u30	I think colleagues have properly exposed the weak position of the SP on security. And they haven't even mentioned the fact that the SP wants an alternative to NATO, but not a European military force, and that the SP wants to reduce defence spending to 1% of GDP. Those are pretty hard hits when it comes to our safety. My question concerns what Mrs Karabulut just said to me about a personal fact. She said I miscited her party's program. I ask her why her party programme states that the SP considers the euro untenable. Why does the SP Party Programme say that the European Commission should be abolished as a political body? When it comes to European cooperation, the SP shows itself, I would almost say, an enemy of European cooperation. Stepping out of the euro costs an improbable amount of money. Abolishing the European Commission will make us lame. I have the following question for Mrs Karabulut: why is this in your programme?
ParlaMint-NL_2020-11-11-tweedekamer-9.u31	That's a good question. I have two answers to that. The first answer is that we see that the current euro, with northern and southern countries with totally different economies, is not working. It doesn't work especially for the poorer countries. The programme does not say that we should leave the euro directly or whatever. I believe that the SGP and the Christian Union have included something similar. It does say that we must prepare, given the crises that exist. You may be able to put your head in the sand for that, but we do not. Perhaps there will be two different coins, so that you can also take account of the different economies. That seems to me to be a good idea, rather than having us robbed again and then spending billions on banks, after which all kinds of countries and populations are getting mortified. Then there's the second answer. I simply do not think the European Commission is so democratic. I understand D66's wish very well. They're very clear about that. D66 wants European integration and actually a federal state. I do not think it will solve anything if we continued the foreign program of permanent warfare, geopolitical action, unfair trade and so on. I see a major democratic problem there. I'm worried about that. We would like important changes to be submitted to the population. That should appeal to you. We want to give more powers to Parliament and we want to strengthen local democracies. This way we can continue to work together at European level. When I listen to D66 and read his program, I'm always a little scared that it's being forced...
ParlaMint-NL_2020-11-11-tweedekamer-9.u32	Good.
ParlaMint-NL_2020-11-11-tweedekamer-9.u33	... without any support for it. This, for example, makes radical right-wing parties and programmes unnecessarily large.
ParlaMint-NL_2020-11-11-tweedekamer-9.u34	That is a very, very long answer, which actually amounts to one thing. That's that the SP wants a financial nexit. The SP wants to take away the weekly salary resulting from the euro from the port worker from Rotterdam. That's what it's like, of course. Speaking of facts-free politics, the CPB has calculated that the euro will pay every working Dutchman a week's salary. If you call yourself a socialist party, if you're showing solidarity or saying you're showing solidarity, I don't understand why you're proposing such a harsh measure for the people who really need it. I conclude that the SP is proud of the financial nextit. I wasn't supposed to tell you just now, because it wouldn't be true. I've repeated it now. Mrs Karabulut confirms that this is included in the programme. I find this extremely regrettable.
ParlaMint-NL_2020-11-11-tweedekamer-9.u35	That's obvious to me. I put nuance in it, too. The D66 who normally pleads for nuance doesn't want to see that. You can, you can. I think that Mr Sjoerdsma has a core: who or what should a system function and work for? We simply disagree in that regard. I do believe that the port workers, but also the employees in the care, the classroom, the cashiers or the cleaners in the Netherlands, but also elsewhere in Europe, are not taking enough advantage of all the wealth that exists. On our continent, too, there is a skew. Inequality is, in addition to militarisation, one of the biggest problems. Then you can go both ways. D66 is making a clear move and wants to push further European integration without support, I would almost say, through people's throats. We want a movement, a democratisation movement, the other way. Apparently, Mr Sjoerdsma is afraid that together with other left-wing parties we are indeed proposing a genuine social programme with fundamental changes.
ParlaMint-NL_2020-11-11-tweedekamer-9.u36	I suggest, Mrs. Karabulut...
ParlaMint-NL_2020-11-11-tweedekamer-9.u37	We're not just gonna do crazy things, Mr. Sjoerdsma. It's okay. It's okay.
ParlaMint-NL_2020-11-11-tweedekamer-9.u38	Good. Please continue.
ParlaMint-NL_2020-11-11-tweedekamer-9.u39	Mr. Chairman. This brings me to a number of comments on civil society and, in particular, freedom of the press. It's been declining around the world for years. The COVID-19 pandemic has accelerated that process once again. I understand from the Minister's replies that two grants for programmes aimed at freedom of the press, spread over several years, will be terminated by the Cabinet this year. I also read 'I believe that Mr Van Ojik spoke about this too 'that, despite good intentions, there is still little concrete to come back for it. That's worrying. I would ask the Minister not to cut back on this aspect of human rights policy, but to see whether additional investment in freedom of the press is possible. Is the Minister prepared to do so? Perhaps the greatest threat to the freedom of the press in the Western world right now is the persecution of journalist and WikiLeaks founder Julian Assange. He is threatening to be extradited by the United Kingdom to the United States. I have spoken about this before in this Chamber. The United States wants to prosecute him for his journalistic activities, revealing all kinds of war crimes. In the United States, he is waiting for an unfair trial and possibly serious human rights violations, even torture. Amnesty International warns about this. That is why extradition must be prevented. We should all scream from the rooftops, the minister first: journalists are not criminals; long live freedom of the press; Julian Assange free. Thank you.
ParlaMint-NL_2020-11-11-tweedekamer-9.u40	Thank you, Mrs Karabulut. I now give the floor to Mr Sjoerdsma on behalf of D66.
