ParlaMint-NL_2020-12-03-tweedekamer-10.u1	The next item is the second term of office.
ParlaMint-NL_2020-12-03-tweedekamer-10.u27	The motion in part No. 50 will assess the Secretary of State. The same applies to motions on items Nos. 51, 52 and 53. Then I come to the motion on part No. 54 by Mr Stoffer and Mr Van den Bosch. It's also about task specialization. I just said something about that. I can leave the judgment to the Chamber. Then the motion to part No. 55 by Mr Stoffer and Mr Van Helvert. I would like to explain it as follows. It says: "Asks the government to include in the evaluation of the Defence Equipment Fund (DMF) Act how to do so... "Of course, that will come. I'd say: or and how. Because if you evaluate, of course you have to look seriously, so I'll explain the motion as "or and how" and then I can leave the judgment to the Chamber.
ParlaMint-NL_2020-12-03-tweedekamer-10.u28	I see the petitioner nodding yes, so you can explain him in a moment.
ParlaMint-NL_2020-12-03-tweedekamer-10.u29	Thank you. Then that was the verdict on the motion in part No. 55. Then I'll go to the motion in part no. 56 by Mr Öztürk on adequate resources for PTSS. I have already indicated in my term how important it is for me to take a serious look at it and how complicated it is sometimes to deal with PTSD and complaints. I can leave the verdict on the motion to the Chamber, because we are always looking at whether there are sufficient resources. I stress the importance of this point. The motions on the documents Nos. 57 and 58 will assess the Secretary of State. There is nothing left for me but to repeat what I said at the beginning, namely to thank the Members of Parliament for their input and to reiterate that we also assume that this is the last budget we have put in here. I repeat that we have consistently taken steps to improve the position of our men and women in defence, and that we have laid down a Defence vision that sets out the long lines towards the future, which I hope will benefit everyone in this Chamber. I also hope that everyone will join me in the public debate on what security is worth to us. Thank you very much.
ParlaMint-NL_2020-12-03-tweedekamer-10.u30	Thank you. Then we'll do a little change and we'll have the floor with the Secretary of State.
ParlaMint-NL_2020-12-03-tweedekamer-10.u31	Mr. Chairman. For the sake of time, I would like to start the assessment of the motions immediately. I'll start with the motion in part No. 35 by Mr Fritsma. I advise against it because it is contrary to the Constitution. Pursuant to Article 3, all Dutch people are simply eligible on an equal footing in public service. The motion in part No. 36 is about Turkish military service and regulation. I've already told you that the loan should simply be repaid. And of course I have also said to Mr Fritsma sometimes we may not understand each other that I do agree that this is undesirable. My commitment is therefore also aimed at abolishing this regime. So I'm giving this motion judgment Chamber. The motion in part No. 40 belong to Van den Nieuwenhuijzen, Van den Bosch, Belhaj and Van Helvert. I have indicated what the formal procedure for naming Navy ships is, but I will pass this request on to the Tradition Committee with a positive opinion. So here's the thing: Judge Room. Then there is the Van Helvert/Kerstens motion on part No. 41 on chromium-6 and POMS locations. We discussed this in detail last Monday, and I think it is a good question to ask, so: Judgement Chamber. Mr. Chairman. Then there is the Van Helvert/Stoffer motion on part No. 42. I understand what both gentlemen want to say, namely: be proud of the Dutch industry. Mr Stoffer also mentioned it in his closing words. The rest of the way he sees it in consortia is up to him. I would like to give the Chamber the following comments. In recent years, we have drawn up the DIS, the Defence Industry Strategy. To give you an idea: in 2018, there was only 32.1% involved in the initial participation. In other words, once we have entered into a tender and concluded a contract, how do you bring in the Dutch industry? That was 32.1% in 2018. Then at the entry into force of the DIS, we realized 65.4% in 2019. The new policy has therefore led to a doubling in order to give SMEs an explicit place in it. I would like to point out that our commitment is precisely to give this Dutch industry and, above all, the SME industry a place in it. I have indicated that the invitation to tender is ongoing and that I cannot mention any criterion in this Chamber either. So I would like to ask Mr Van Helvert whether he would like to delete his first operative part, 'calls on the government to check the three suppliers' and then delete the sentences that follow afterwards. Perhaps he can say that because of the strategic autonomy and national security interests, we give the Dutch industry a place in the offers we ask out to recruits. That is a suggestion I would like to make to Mr Van Helvert. Then I could give the motion judgment chamber. But if the first operative part stays in place, I'll have to dissuade her.
ParlaMint-NL_2020-12-03-tweedekamer-10.u32	I am going to take a closer look at the wording and take the advice of the Secretary of State into account. Then I'll come back with an updated motion.
ParlaMint-NL_2020-12-03-tweedekamer-10.u33	The request is therefore to amend it. Until then, she's been dissuaded, but it could be judgment room.
ParlaMint-NL_2020-12-03-tweedekamer-10.u34	Yes. The same applies to the second operative part. That will then be after the award, but that is also part of the modification of the motion. Then the motion to part No. 50 by Mr Kerstens and Mr Van Helvert and Mrs Belhaj. I have indicated to you that this is important. I'll give this motion judgment chamber. Then the motion to part No. 51 by Mr Kerstens. I've indicated that we're talking to the business community. I see this as a good suggestion, so I'm also giving this Chamber judgment. Then the motion to part No. 52 by Mr Voordewind and Mr Van Helvert and Mrs Belhaj. That motion is about priority. We have had a debate on this. The Defence Vision also indicates how many priorities there are. Ms Belhaj also stressed the importance of staff, including in a subsequent cabinet period. It is about human readiness and material readiness, but also about security. We have talked little about security today, but that is also one of the top priorities that the Minister and I have set in terms of defence investment. This is part of that. If I can read the word "priority" in the sense that it is important to improve security, material readiness and human readiness, then I will give the motion judgment Chamber. But if this is the only priority, it will be a little more difficult, because there are more priorities. In her contribution, Mrs Belhaj always talked about staff, which I also endorse. I see Mr Voordewind nodding. Then I'll give her judgment room. Then the motion to part No. 53 by Mr Stoffer. I think it's a fair question to be involved early. We've also asked the observer, the observer, I'll use the Dutch term, to be an observer of the program. There has been a positive response to that. The further elaboration has yet to take place, but I am giving this judgment Chamber. Then the motion to part No. 57 by Mr Öztürk. I think we have had a whole debate on this. I'll advise against it. We have solved the problem of the AOW-hole. Then the motion to part No. 58) also by Mr Öztürk. The findings are not entirely correct, and neither are the considerations. The theorem about the irregularity payment is incorrect, and that military are overloaded, structurally irregular services run and PTSS increase is also wrong. In any case, we are working with the social partners on this issue. That is the working conditions consultation. We will. That's what we're doing. So I'm gonna tell you what I'm gonna do.
ParlaMint-NL_2020-12-03-tweedekamer-10.u35	Mr Öztürk. We are not going to repeat the debate on the AOW age either. That's what you came up for, I guess?
ParlaMint-NL_2020-12-03-tweedekamer-10.u36	No, I think the Secretary of State should read my motion properly. It is only about the group for which the AOW-hole is not arranged. We want that resolved as soon as possible. That's my question. At the motion in part No. 58 I am going to look again at the considerations. If that's the case, I'll adjust her. The Minister was more generous than the Secretary of State. So I'd like to ask the Secretary of State for the motion in part No. 57 to go through it again. This is also the last budget debate. The intention is good. I've also heard you want to do that. I just think you should read carefully why the motion is being put forward, because it may well make it a Chamber of Appeal.
ParlaMint-NL_2020-12-03-tweedekamer-10.u37	Are we gonna negotiate here? I don't think this is the place. I have indicated to you that the AOW-hole is simply resolved in general terms. I'm really committed to stressing that. In reply to questions from Mr Kerstens, for example, but also Mr Van Helvert and other Members of this Chamber, I also indicated that I would always like to look at individual cases. But you're fully linking this motion to the AOW-hole. That's why I betrayed her. But if Mr Öztürk has some suggestions for this debate, I will look at them later.
ParlaMint-NL_2020-12-03-tweedekamer-10.u38	Thank you. This brings us to the end of the debate on the defence budget, in which several members have indicated that they are deeply grateful to our Defence personnel, both the military and civilian personnel. I would therefore like to conclude this debate by thanking you.
ParlaMint-NL_2020-12-03-tweedekamer-10.u39	We're going to vote on the motions next Tuesday. I'm suspending the meeting until 3:50 p.m.
