ParlaMint-NL_2020-09-02-tweedekamer-6.u1	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2020-09-02-tweedekamer-6.u12	Well, let's call it an evaluation of that part of the process. What went well in the areas of transparency, privacy, the involvement of volunteer experts and so on? Because I think that can be very useful, not only for this project, but also for all kinds of other ICT projects that are running or following.
ParlaMint-NL_2020-09-02-tweedekamer-6.u13	I actually think that's a very good suggestion. I have to take this with colleague Knops, who has the digital government in his portfolio, so I really need to talk to him about it. But it seems to me to be a very good one. You could say that this is perhaps one of the most complex ICT projects ever within the government; I honestly do not know that. Well, technically, it isn't. But I think that is the case in terms of unrest in the social environment. I don't think there's ever been so many people with an opinion about a government digital product. I believe that in this case this is two-fold complicated. But there's no doubt there's a way to learn from that. You can learn from the open source side, I think. So I'm going to record with my colleague Knops how we could involve the lessons that would be to be drawn, call it an evaluation.............................................................................................................................................................................................................. I think that's a good suggestion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u14	Please continue.
ParlaMint-NL_2020-09-02-tweedekamer-6.u15	As Mr Van der Staaij said, the law before us is actually very limited. Others have also referred to this, such as Mr Verhoeven. One provision is that there should be no abuse of the app. The app may not be required. The other provision specifies the basis for data processing. That's it. Nevertheless, during such a legal process, all legitimate questions concerning the introduction of the app are also asked. The most appropriate question is, of course, whether that app is helping. Is it really a tool? Does it really have added value? That's the only really important question. A second important question might be whether that app has such negative effects that we have to say goodbye to it despite seeing that it does help. I understand that question very well. That is why we have said that a continuous evaluation is actually needed. Again and again we have to answer this type of question. On the advice of the guidance committee, the Task Force digital support and the Task Force behavioural sciences, we have opted for a continuous evaluation. Last Friday, we reported it to you in a letter. It states that this will be done on the basis of an evaluation protocol. The evaluation focuses on a number of facets of the app. I refer to the degree of adoption, the use, the directly targeted effects, the indirect effects, but also the unintended effects. I think it's important to evaluate this widely. I should like to say a few words about the way in which the Chamber looks at this. Let us carry out this continuous evaluation and I will inform you of it with a fixed frequency. I'm thinking of doing that every month. You will not have new data on all facets every month, but that gives the Chamber the chance to keep up with the implementation practice in a good way. The Chamber can see what the effects are and what the actual added value of the app is. If you ask me whether this app really makes any sense, I will reply on the basis of the authority of a number of experts, based on experience abroad and on the advice of the OMT. I say to you: yes, that app makes absolutely sense in addition to the source and contact research, never instead. That app makes sense because you will always be able to visualize more contacts via the app than without that app. That's just because that's how our memory works. You don't remember who you were sitting next to in the bus booth last night. You don't remember who you were sitting next to at the restaurant table last night. In the regular source and contact research, it is often unclear who you have encountered within the criteria of the LCI directive. You know that with an app like that. It's never instead of, but as a complement to. What exactly is the effect? How much effect does the app have? Are there any negative effects? I can imagine anything about many of these questions, but we will not know until we try it out in practice and evaluate it.
ParlaMint-NL_2020-09-02-tweedekamer-6.u16	I just heard the Minister say that based on experience abroad, there is reason to believe that such an app can be successful. Where's that? What foreign country?
ParlaMint-NL_2020-09-02-tweedekamer-6.u17	Germany, for example. That's the foreign country we're doing most of the work with.
ParlaMint-NL_2020-09-02-tweedekamer-6.u18	That's where it's not successful. That's where it turns out it doesn't work. Germany is a counter example. It shows that nobody installs that thing and that it doesn't work at all.
ParlaMint-NL_2020-09-02-tweedekamer-6.u19	That's really wrong. It is installed millions of times and is also widely used. There are now quite a few reports there that have led to a test and a rash in which the infection chain can be broken. Everything we do must be dedicated to keeping the virus underneath. You look at the extent to which this could be detrimental to the economy and society in a very different way. In that respect, we differ in any case. At least what we see as our most important task is to see if we can do all those things that can break the infection chain, so transferring the virus from one to the other. Source and contact research is an important method. Your test and a positive result will show you who has been in contact with us through source and contact research. In doing so, you use a certain statistical assumption. I'm talking about 15 minutes within five feet. That says something about the probability of transfer. That's the time to stop that infection chain, by asking if anyone would like to go into quarantine. This is actually a complement to that regular process of testing and source and contact research, because this is more complete in visualizing the contacts and because it also informs faster those contacts about what to do. That helps, is the assumption. Can I actually prove that right now on the basis of research? No, we can't, because that investigation still needs to be done. But are the experiences abroad such that you say that this could be a very promising addition to the source and contact research? The answer is yes.
ParlaMint-NL_2020-09-02-tweedekamer-6.u20	That is what we differ on.
ParlaMint-NL_2020-09-02-tweedekamer-6.u21	I'm trying to make it clear what the evaluation is about now. I get the impression that the Minister says: let's start with that evaluation and then we can tighten it up over time. I would like at least one thing to be included in the evaluation. That's about measuring added value. There is a value in discovering possible infections through the source and contact research anyway. The assumption is that more people will be discovered by the CoronaMelder. When measuring the effectiveness of the CoronaMelder, will we also see if we can get rid of all the people who are already in the picture through the source and contact research? Are we also looking specifically at the extra amount of false positives and their impact on society in relation to what we would have discovered through the regular source and contact research?
ParlaMint-NL_2020-09-02-tweedekamer-6.u22	Yeah, I think that should be, because that's right. Then you actually answer the questions you have. I'm gonna have to say a few things. One. Last Friday the evaluation protocol was sent as an annex to the letter. That's a pretty bulky document. All kinds of questions have been asked about effectiveness. I just mentioned the categories. This should give us the answer to the question of effectiveness. RIVM will further develop this research together with a number of universities and behavioral experts. But this very specific point means that you want to know exactly whether that app actually creates additional contacts in relation to the regular source and contact research. That's important. Suppose it would produce exactly the same contacts, but if you have them in the picture rather than after a whole day's call, that also helps. That's what you want to know. In addition, there is another side: haven't all kinds of people come into the picture that you didn't have to worry about so much, people who, for example, have come into the picture via the inaccurate bluetooth measurement? That, of course, could also be the case. How could you measure that? I'm just thinking out loud. You look at the number of people who actually get sick, so the contacts that eventually turn out to be infected. If the percentage of contacts that come into view via the BCO is very different from the percentage of contacts that come into view via the CoronaMelder, then you could draw the conclusion that you might have ejected the net a little too far. It could be. Either way, you're gonna have to check for effectiveness. So you want to get a look at those contacts, and the assumption would be that those contacts will eventually contain contaminations. That would be the assumption. That's how you want to measure effectiveness. Do you have all that in focus after month one? I do not think so, because we do not yet have this kind of data from all the countries that are now a little further ahead with the introduction. Otherwise, of course, we would have shared it with you. So, yes, we're setting up our investigation as best we can. I am as curious about the answers to the questions as Mrs Buitenweg is. But it's gonna be a while before you can answer it in a good way.
ParlaMint-NL_2020-09-02-tweedekamer-6.u23	I am very pleased with the Minister's response. I don't think I'm going to read that all the way back in the design of the evaluation. I think the Minister is going a little further, but I see this as a supplement. For example, it will be included in the final evaluation protocol, for which I would like to thank you.
ParlaMint-NL_2020-09-02-tweedekamer-6.u24	Give me the opportunity to really take a closer look at the protocol and to look at what we can do in the development of the research to bring these questions into view. Perhaps we should also ask a statement: how much time does it take to have the answers to these questions in the picture? 'Cause setting up an investigation like that really takes a while.
ParlaMint-NL_2020-09-02-tweedekamer-6.u25	I found the bulky document that the Minister just called "the evaluation protocol" one of the shorter ones. It contains, in my mind, five pages, or maybe six.
ParlaMint-NL_2020-09-02-tweedekamer-6.u26	Sixteen.
ParlaMint-NL_2020-09-02-tweedekamer-6.u27	Sixteen. Well, then I'll read faster than I thought. I've read all about it. This is what I noticed. There are six points in these criteria and there are only five points in the letter. In my contribution, I have also paid a great deal of attention to the question of what criteria you are going to use. In my view, the Minister is also convinced that we really need to look very closely at the behavioural effects here. Effectiveness was just mentioned, but I think it is far too early to say: we are now going to learn lessons. It's just beginning. We call it "evaluate" here in this house, but we really need to talk about "monitors." What happens in the first few weeks? The Minister looks at this on the basis of the evaluation protocol, but does he also intend to look at the question of where he can get information about how people respond to the CoronaMelder if there is? And doesn't he plan to do that for the first time after a month? These are innovations. In one instance, anyone can download and use that app. So my point is that you need to look at that a little more often in the first period.
ParlaMint-NL_2020-09-02-tweedekamer-6.u28	I have just mentioned the issues that are all part of the ongoing evaluation. I don't think we should tell each other that you have new information on all these issues every week or every two weeks. The question that Mrs Buitenweg answers can only be answered when you have done really good research. You need volume for that. So you need time to come up with a good research setup. At the same time, the demand for the number of downloads is again one of the most easy to answer questions, I think. So I would be inclined to think that we should make what we know as transparent as possible, but that I should make the appointment to inform your Chamber monthly about the status of the ongoing CoronaMelder review. That is from the moment of the national introduction. Such a continuous evaluation will indeed have the character of a monitor, where you know more and more, but not every month are able to come up with a full evaluation to complete your mind. But we know more and more to answer the question of effectiveness. We all have that question.
ParlaMint-NL_2020-09-02-tweedekamer-6.u29	This is not just about effectiveness. We really need to avoid using a twenty-first century instrument based on all kinds of good reasons, such as privacy, technology, etc., actually a nineteenth-century monitoring system.
ParlaMint-NL_2020-09-02-tweedekamer-6.u30	Agreed.
ParlaMint-NL_2020-09-02-tweedekamer-6.u31	So I'm not just looking for a monitor. I also want to know whether the Minister intends to do the utmost and to see how he can monitor what happens when he introduces the CoronaMelder, especially because he can only adjust on that basis. So I ask the Minister to do the utmost to identify criteria and therefore to think about the question: if I monitor this and then get these values, what are my flexibilitys; can I do something in the CoronaMelder or should I do something in another place?
ParlaMint-NL_2020-09-02-tweedekamer-6.u32	You must indeed set up your monitor in such a way that you are also able to adjust the policy based on the data you see. Mr Middendorp is, of course, right to point out that we have deliberately chosen to minimize data. While you can normally say, normally, that we do so every week on a lot of apps based on data exchange, we can also say more about the extent of the use, the intensity of the use, etc., we can't do that at this time of course, because we didn't want to trigger these kinds of data flows on purpose. In short, data minimization also limits the possibilities. This means that you will have to design it more research-wise, or nineteenth-century as Mr Middendorp says. We will all do so as modern as possible. I think it is important that this monitoring, or what I call 'ongoing evaluation' and what you call'monitoring', provides us with the data to be able to adjust policies. Again, I want to be as transparent about this as possible. I also think that this is important at this stage. That's how I hear your room. That actually means that a month after the national introduction, I want to be able to say something about how the app is being used, whether it is working or not, and whether there are also negative effects. The questions that Mrs Buitenweg adds are of course the real questions that you want answered: what is the real added value of using CoronaMelder in the fight against infectious diseases? We need to answer those questions in the investigation. That is why we need to dive into precision. It's not going to be automated, it's going to have to be manual. If you come into contact with Corona, will it provide more contacts and contact with................................................................................................................................................... I think it's important to add that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u33	The Minister has just spoken about monitoring and about Mrs Buitenweg's questions to compare the results of regular source and contact research with what the app does extra. The CDA had also asked whether specific targets were set, or does the Minister say that this is not possible in the current system?
ParlaMint-NL_2020-09-02-tweedekamer-6.u34	The objectives of adoption or use?
ParlaMint-NL_2020-09-02-tweedekamer-6.u35	With regard to adoption, use or additional effects.
ParlaMint-NL_2020-09-02-tweedekamer-6.u36	No, that's not possible. Of course, you want the app to be used as much as possible, but I'm not gonna put a number on that in advance. I would like to see no more reports in the picture than would actually have been, but I can't put numbers on them right now. I think we just need to get to work on it and then we need to see what effectiveness is. I do not think that a numerical objective is very helpful in advance.
ParlaMint-NL_2020-09-02-tweedekamer-6.u37	Then let me turn it around: are there also certain cut-off moments?
ParlaMint-NL_2020-09-02-tweedekamer-6.u38	I understand that very well. If you see that it has no added value compared to regular usage and if you see that it does have some negative effects, then you have to be honest to say that this has not brought us what we hoped for. This question has also been asked by a number of Members. It's possible. At that stage, you can come. We have to be honest with each other about that, too. You're doing something because you're convinced it's gonna help. That is the opinion of the OMT first and then of a lot of experts who have been involved. Then you come to something that I really believe is of added value, but that has to be demonstrated in practice. If that is not the case and there are negative effects, you must also be so honest as to say that we should not do it.
ParlaMint-NL_2020-09-02-tweedekamer-6.u39	In itself, we are pleased with the monthly evaluation, to use those words. At least that feels better than what we have seen so far in the evaluation protocol. But I still find it difficult to see what considerations we make as a Chamber: are we going to continue with the app or not? How do we take these possible negative social impacts into the evaluation? Those are essential parts for us to do some kind of stop on the app. It just feels a little too non-committal for us to say that we might change the policy. I would like a little more concrete information, not only on effectiveness, but also on what we do in the event of negative social effects.
ParlaMint-NL_2020-09-02-tweedekamer-6.u40	Now, if you ask me to standard that in advance, I think this is a question that I cannot answer properly. In the evaluation model, the unintended effects are one of the themes that are consciously taken into account, for example: does the app lead to slackening of the follow-up of other corona measures? It could be. I thought Mrs Van der Graaf mentioned an example of this. Imagine someone thinking with an app like this: I think I'm a little safer than normal, because if I've been within five feet of someone who's infected, I'll get a signal on my own. If this were the behavior effect, I don't know if it would make a great contribution. It may well be that this is the behavioral effect in a number of people. Should this immediately result in the plug being pulled out? Well, I don't think so. But it must then lead to a communication action to clarify what you may and may not assume to be safe from the app. The app isn't a miracle cure, it's a tool. So we need to be exactly what you're wearing and not what you're wearing.
ParlaMint-NL_2020-09-02-tweedekamer-6.u41	What, in your opinion, does it lead to pulling the plug from the app when the app has negative societal effects? It can sometimes work very effectively, but still have a lot of negative side effects. When does the plug go off? How do we measure that?
ParlaMint-NL_2020-09-02-tweedekamer-6.u42	That's always a weighting, so that's never an absolute limit or anything. That's always a weighting, always an administrative weighting. And that is why it is quite unique in this project, let me just say that we are so short on the ball with the ability to test whether something is effective or not. For example, we do not ask about the effectiveness of the regular source and contact research every month, because we are just really convinced of what its effectiveness is. Well, this is an addition to that regular source and contact research. And here we are going to sit very briefly on top of it so that we can continue to answer that question of effectiveness. Whatever we do, it's as good a picture as possible of the negative effects. What you are asking of me in advance is: could you then standardize whatever balance of pros and cons you pull the plug on? Well, that's impossible; that's not how we can make policies, I guess. It will always require an administrative weighting from me, initially, from the cabinet, but ultimately also from the Chamber.
ParlaMint-NL_2020-09-02-tweedekamer-6.u43	Mr. Chairman. I just got the impression that the success of the app is measured by the number of contacts found outside the regular source and contact research. But I think it's not so much about those contacts, but about the infections that we can track through that app. And in addition, of course, the problem is that we have very little data to analyze. That is a conscious and right choice, because privacy must be guaranteed. But the dates we do have, we have them from the trial period we have already had in the regions in the east of the country. We've been told that 412 people have reported to the GD after they've had a report. I have just asked: have we not tested, of course, at person level, many of these 412 people positively? Because if that's zero, it says something about the effectiveness of the app, and if that's 10%, it also says something about the effectiveness of the app.
ParlaMint-NL_2020-09-02-tweedekamer-6.u44	We cannot do that on the basis of the current data. I think that's the most honest answer. Normally, I'd take a look at the bin to double-check it, but I don't think we can do that on the basis of the current data. What we know is that 412 people applied for a test between August 20 and 26, indicating that they had a notification from the CoronaMelder. On the other hand, during the same period, there were eight infections that were introduced through that CoronaMelder, i.e. where the code was entered. So that would mean that those eight infections would have led to 412 reports. That's pretty unlikely. Also when introduced in Ireland, for example, it was one of the experience data, especially in this case because reporting such a notification on the app gives access to asymptomatic testing, which in practice might be a bit rounded up. So I guess we shouldn't jump to too many conclusions on the basis of the data from that first week. I didn't hear a number that would show how many infections there would be between 412, so I don't know. But, of course, that's what you want in the end. So you are right: where I say in the direction of Mrs Buitenweg that you should want to know how many more contacts are being traced, you would of course want to know again how many of those contacts are actually infected, because then you have the real catch at stopping the infection chain. Yeah, that's the million dollar question. But before you examine that convincingly in the right way, you're gonna be a while. Assume that's what you're gonna do.
ParlaMint-NL_2020-09-02-tweedekamer-6.u45	I think that's exactly the point. That's what you're hoping that that app will do: track infections. And my question now is: can we, on the basis of how the app is now set up and on the basis of what the GGD can and can do at the moment, find out about these figures? Or is it all on a voluntary basis what people report, or is it based on research that universities then have to do by interrogations etc.? Or is there, because we know how many people report to the GGD for a test, another way we can distill that means that the effectiveness of the app can be determined at about that much percent?
ParlaMint-NL_2020-09-02-tweedekamer-6.u46	Yeah, in two ways. One is a model approach. That could indeed be a possibility, but of course it always gives a lot of uncertainty. And the other is indeed the more manual investigation, which is always voluntary. So that data minimizement was deliberately chosen. For a good reason, I think, but it doesn't make it any easier to do this type of research. So it's true that it's hard work to find out about this. And that also makes me a little cautious in promises of "yes, we'll have that about right after a month." I think setting up an investigation like that just takes a long time. But I think we're both driven to get as many answers as possible to that type of question, because we want to know how effective it is. If we can introduce it from mid-September or end-September, we will have the answer to these questions by mid-October or end-October. They are quite right, but they also take a lot of time to investigate properly. What we do know, I will at least make monthly announcements, and if possible sooner, when we have hard numbers before.
ParlaMint-NL_2020-09-02-tweedekamer-6.u47	Please continue.
ParlaMint-NL_2020-09-02-tweedekamer-6.u48	Mr. Chairman. I think I've had the evaluation side with this. So I guess I can go to the second block with that. This also affects the effectiveness, namely the block of asymptomatic testing. At present, the test policy is based on the LCI Directive. I would like to say that this LCI directive... We have now had a number of debates in which we have all expressed our views, and I also hear about what this LCI directive should or should not contain. But let me just say that this LCI directive is a professional directive, a medical directive, and that is comparable to directives on medical treatment. I do not remember doing this for a while now because we have had a debate in the Chamber on a medical directive, on how or not an operation should be carried out. In the meantime, we do so on a weekly basis on the BCO Directive, the LCI Directive. That doesn't matter either, because BCO, the source and contact research, and testing and tracking are incredibly important in fighting that disease. So that's why I understand. Only, I'd like to stay in the right chair. So, yes, I also moderate myself on what that directive should look like, but the final judgment is really up to professionals. What do these professionals say? On the advice of the OMT, they say that testing with complaints is the most effective way of deploying test capacity. If you want to stop that infectious disease and break the infection chain, you have to do the testing with complaints. But there are more and more sounds that there is a certain amount of asymptomatic spread of the virus. That was also very clear in the course of the lessons we wanted to draw from the spring. Imagine if in that asymptomatic spread of that virus you could actually catch an infection. Even before anyone has any complaints, he could be contagious. If you could grab him through source and contact research, how much would it matter? Isn't that why you shouldn't be testing asymptomatic for a number of groups? The GGD actually does that in cases of major outbreaks. Even now, sometimes in a nursing home, sometimes in a slaughterhouse, sometimes in a campsite. Then they pull everyone through the car wash to find as many infections as possible. But they always do that very risk-oriented. Yesterday's amendment is based on the OMT opinion. The OMT's view is that you should amend that LCI directive so that you do so at least in nursing homes where there is an outbreak. Let me put that aside for a second. Asymptotic testing is therefore risk and outbreak-oriented, and at least in case of an outbreak in the nursing home. Then we have three research settings on which the OMT has advised us to investigate the added value of asymptomatic testing there as well. One is for returning travellers from orange areas. Hence the test street at Schiphol. Two is in the case of a BCO, so when you come forward as a contact in a source and contact investigation. Why? Because a serious percentage of those contacts... The contacts with roommates are even above 10%. Other close contacts are 5% to 6%. Added up you come to a little 20% in a few weeks. Then it might be worth testing those contacts asymptomaticly, because then you'll have the positive test results that you'll find in a few days with complaints in the test street before. You'll be able to shut down the infection chain before then. Which means you can quarantine those people earlier. The same goes for the app, because they are also just contacts. So if you ask me what the LCI directive should be like, I will just look at the scientific field. The great common denominator is that testing with complaints always takes priority, because that is always the most effective way of combating it. However, in a number of cases, testing without complaints can also be of added value. That actually applies to the people who come out of that app and to the same extent to the people who come out from source and contact research, because those are actually similar types of situations. Because you've been in contact with someone who was infected, so run your chance and so it's worth testing asymptomaticly. Will the LCI directive be amended because we are going to introduce the app? No, because those two things are, in a way, separate from each other. The LCI Directive is being amended when the great common denominator of the scientists who think with us is convinced that it is of sufficient added value. This must then be demonstrated by the research settings as they are currently set up. Secondly, I will still do the test myself if we can make it happen in terms of test capacity. I think it will also be included in the opinions. Every time the OMT advises on whether or not to investigate in asymptomatic testing, they always add: as far as the test capacity allows. They do this because they always give priority to settings where they are tested with complaints. That's not just a Dutch discussion. That is exactly the same discussion that is currently taking place in Germany, where it is for this reason that we are going to phase out the testing of travellers because it says that not only do we not see insufficient added value in it, but our test capacity cannot cope with it. That will always be a consideration over and over the entire crisis between what you really want and what could possibly be a profit, and something you may not be able to deliver and perhaps should not do for that reason.
ParlaMint-NL_2020-09-02-tweedekamer-6.u49	Then I have Mrs Buitenweg, Mrs Kuik, Mrs Sazias, Mr Middendorp and Mr Hijink. Mrs. Buitenweg.
ParlaMint-NL_2020-09-02-tweedekamer-6.u50	The Minister says that testing with complaints is the most effective way. My question is, however, that the scarcity has already come to light, whether it is mainly the most effective way because there is scarcity or because there are other things involved, such as a false sense of security. If there were no scarcity in that fictitious case, unfortunately not at the moment, would it be desirable to test asymptomaticly?
ParlaMint-NL_2020-09-02-tweedekamer-6.u51	The added value must be demonstrated by these research settings. Two: you're absolutely right, it's also scarcity. If you have to choose between tests with complaints and tests without complaints, most scientists agree that in that case, preference should be given to at least testing with complaints. But when testing without complaints there are a number of other negative effects that are always weighed differently by one than by the other. Suppose you get a negative test result at the time when you weren't really that somatic and didn't have any complaints at all, then you might draw the conclusion: oh, but then I can. That's what you saw around those tests right before you get on a plane, for example. That doesn't really mean anything. If you just test in a random group without any complaints, that doesn't really mean anything. This also applies to returning travellers. Why is it interesting in that group? Because it's not just all the returning travelers. They are travellers who have been in a country with an increased risk of infection. This also applies to the app group and to the group that emerges from the source and contact research. That is a group where a certain risk selection has taken place. They have an increased risk of having been in contact with someone who was infected and thus infected on their own. Hence the choice seven days after the contact. Then you're at a good point in the incubation period. At that moment it could indeed be of added value, but it listens closely, because it can also give a negative effect, a sense of false safety: I'm tested negative, so I'm okay and I'm free to go. That is why we say to the travellers: even if the test results are not positive in themselves, you still have to quarantine for ten days. That's the best behavioral advice you can give to people who come back from an orange country to really stop the infection.
ParlaMint-NL_2020-09-02-tweedekamer-6.u52	How is this added value being measured at the moment? The Minister is actually saying that there is a problem with capacity, which is the reason why people are mostly not being tested, where they might otherwise be tested. But perhaps it would be wise for the other group to be tested as well. For that, we need to measure the added value. Just now the Minister was talking about the evaluation where he says it could take months. Does that mean we won't know this for months? How is he going to find that added value quickly?
ParlaMint-NL_2020-09-02-tweedekamer-6.u53	There are three research settings for testing without complaints. That's Schiphol, that's the app, and that's the source and contact research. Schiphol and the app have been running for several weeks, the source and contact research should be started or started at this time. It's gonna be a while before you get the results on that. Let me put it a little more broadly: I think that in the second half of September you will have the results of those research settings, that RIVM can then say something meaningful about it, that it can then say whether it is actually of added value. But I say to that: imagine that the answer is "no." Well, then it's easy. Then the LCI Directive will not be amended. If the answer to the question on value added is "yes," then the demand for capacity still applies. Because that is a "yes" in a situation where you have to choose between one form of testing and the other form of testing, depending on the capacity. I cannot say at the moment whether that capacity is there at that time. That will then be by the end of September. I have to say: do we have enough room in the overcapacity that you can make this choice? And why is that? Because I've just seen how disappointing it can be when you're so dependent on suppliers operating on a global market. Of course, we also see this in the current situation in which we have focused on those 30,000 tests a day. But not only has demand just increased enormously, which means that you are ticking the max test capacity, but also all the excess capacity we would have wanted to achieve has been caused by a greater operational loss, by disappointing deliveries, at least supplies that you had hoped you could have contracted, but which just didn't work out, et cetera. In short, reality is just more uncomfortable than that. So I can't predict that. So what I'm doing for that reason is taking this apart. That app is the addition to the regular source and contact research. In doing so, the LCI Directive applies. That's just the professional directive. If the moment of introduction is there, it will simply be introduced on the basis of the then applicable LCI Directive. In addition, asymptomatic tests and added value are shown and currently viewed in a research setting. If this leads to an adaptation of the LCI directive, it simply does. So the app is introduced on the basis of the current LCI Directive. That's how I took these two trials apart.
ParlaMint-NL_2020-09-02-tweedekamer-6.u54	The Minister constantly says that we should not interfere with the LCI directive, but at the same time we are simply making choices that are motivated by scarcity. That's what makes it so complicated. Imagine if I took the plane to Sweden, sat there in a cabin on the moors and then returned to Schiphol. Then I get to pass the test street. But if I didn't sit at the Member's Restaurant for more than 15 minutes at that 1.5 meter with someone who downloaded the app and then I get a notification, then I shouldn't be tested. That means that it is more than just following a directive. Choices are made in scarcity. I just want to know from the Minister what consideration is being made and what logic is behind it.
