ParlaMint-NL_2020-11-05-tweedekamer-12.u1	The next item is the continuation of the EZK budget, including the National Growth Fund.
ParlaMint-NL_2020-11-05-tweedekamer-12.u13	Please continue.
ParlaMint-NL_2020-11-05-tweedekamer-12.u14	Mr. Chairman. About the way in which we gain our prosperity, we all see more and more............................................................................................................................................................................................... There are also positions on the labour market that we need to review. We all see that there is a lack of consensus and there is also a certain consensus on this. There is also a growing common awareness of what threatens our prosperity: economic insecurity, unfair competition, from Asia, for example, trade barriers that arise, the Brexit, the lagging productivity in southern Europe, cybercrime and pandemics. We are also broadly convinced of that. But when I follow the public debate, it sometimes seems as if the appreciation for prosperity and for economy is gone. Big companies are in any case long out of favour, the banks preceded them, but the industry was a quick follower in falling down on the popularity ladder. Economics is a swear word, while my thesis is always: economy is not about money, but about usefulness and about consideration within purpose. In the end, it's about our happiness. Let me take a look at the President to see if there is any point in starting another paragraph.
ParlaMint-NL_2020-11-05-tweedekamer-12.u15	I think you could wait a moment, because I would like to give Mr Verhoeven of D66 an opportunity for his interruption.
ParlaMint-NL_2020-11-05-tweedekamer-12.u16	I could have waited until the end of the block, but...
ParlaMint-NL_2020-11-05-tweedekamer-12.u17	Yeah, I could have.
ParlaMint-NL_2020-11-05-tweedekamer-12.u18	But I think the Minister says something very important. I would like to ask a question about that. He says there's some kind of feeling that how growth is translated to prosperity is somehow changing. He said after that: the banks and the big companies have long been discredited. I think it is true that there has been a changing feeling in this Chamber for a certain part of the business community. I also notice this in my own party and even in the minister's party and in many other parties. This has not to do with the fact that we have started to find money dirty, but with the fact that the distribution of wealth has become increasingly a problem in society.
ParlaMint-NL_2020-11-05-tweedekamer-12.u19	And what's your question?
ParlaMint-NL_2020-11-05-tweedekamer-12.u20	My question to the Minister is: what is the government doing to give up the support for earning in this respect? How do they improve the distribution and explaining that earning is necessary in order to be able to distribute? That is what has been lacking in recent years.
ParlaMint-NL_2020-11-05-tweedekamer-12.u21	Well, I'm trying, among other things, to do something about that with this contribution, because my point is that you have to earn it first. A lot of our conversations are about publishing and redistributing, which isn't weird at all, but we also have to earn it. A negative halo... You can be critical about a lot of things, but it's not "the big companies" that do it. It's our way of life that's made the molecules fly around us. We wear, use and eat products that have had effects somewhere in the chain that we have not included in the price and that the eater, user or carrier may never have meant. That's not someone's fault, but we need to change that with each other. We can only do that if we fix this with each other in a positive way. I'll be right there.
ParlaMint-NL_2020-11-05-tweedekamer-12.u22	Okay. If the Minister is going to say more about the relationship between sharing and earning, with the aim of making a future in which we are going to earn in a way that many people understandably see as a way for them to get a little more of that prosperity, and so the distribution becomes more important, then I would like the Minister to comment on the following. That is the way a part of the big business has set itself up to make that division almost invisible, because they've only been working on earning for themselves. I believe that this has, to a large extent, led to a sense of resistance in society, which almost all parties in this Chamber have had to deal with. May I ask another question, Mr. Chairman? Then I won't be giving long introductions anymore. This minister started his block with: yes, I was working on gas, I was working on Groningen, I was working on the Climate Agreement and when I wanted to start the economy, Corona came. The Minister is, to a large extent, right in that regard. That's what happened a little bit. The Minister is now starting with the merits of the budget and the importance that this Minister attaches to it. If he looks back... For example, he left all the questions I asked about the economy to the Secretary of State.
ParlaMint-NL_2020-11-05-tweedekamer-12.u23	And a little shorter, Mr Verhoeven.
ParlaMint-NL_2020-11-05-tweedekamer-12.u24	Is it not true that, looking back, the Minister might have wanted to pay a little more attention to the economic part of the portfolio, to the growth part, to the innovation part? Shouldn't a next Minister for Economic Affairs do that?
ParlaMint-NL_2020-11-05-tweedekamer-12.u25	I have made no secret from the outset that I felt that there should be a lot on the economic agenda, but I have also made it clear that a number of things were extremely urgent. Moreover, I think it is entirely justified to leave questions about the economy to our capable Secretary of State. Moreover, I believe that the debate on the distribution of wealth should be conducted first and foremost with the Secretary of State for Finance and the Minister for Social Affairs. That's not what we're talking about today. We are talking today about a responsible collection of our wealth, but the distribution issues cannot be put on the board of large companies. The distribution issues lie with the Cabinet and the Chamber, in the legislation they make for that purpose.
ParlaMint-NL_2020-11-05-tweedekamer-12.u26	I would have waited until the end of the block, but because the discussion is already starting...
ParlaMint-NL_2020-11-05-tweedekamer-12.u27	I think it's a good idea to wait until the end of the block.
ParlaMint-NL_2020-11-05-tweedekamer-12.u28	Good. But I do, because the Minister said a few things that are a little paradoxical. He starts by emphasising that we are getting closer together, but at some point I hear him saying that economics has become a swear word. In my view, that is a misanalysis of what my party has appointed and is referring to economics. That is precisely what we are talking about. It is then no longer earning, because the way it is earned causes so much social and ecological damage that it is unsustainable. That is not about putting away any entrepreneur, because it is an analysis of how we have organised ourselves and how we exhaust our earth and our raw materials and are failing flora and fauna. We are changing our climate and therefore it is no longer sustainable. It is then not wise to fall into the victim role or to take it up for companies. They can stand up for themselves. To put economics away as a swear word... It is the title of a social analysis on which the Minister is moving in the right direction. I would just like to reach out to him there.
ParlaMint-NL_2020-11-05-tweedekamer-12.u29	I like this interpretation of economics very much. Mr Van der Lee never sins against this definition either, because he does not use that word, but I invite him and his circle to fill that definition in that direction and not to use it to quantify things or to disqualify earning power in general. So I very much support Mr Van der Lee's definition.
ParlaMint-NL_2020-11-05-tweedekamer-12.u30	You can read the introductory remarks...
ParlaMint-NL_2020-11-05-tweedekamer-12.u31	By the way, I do not propose large companies as victims, but I do say that there is no point in making concepts such as 'large companies are bad' sound in social debates. That is not a reproach to the Chamber, but something I see in society.
ParlaMint-NL_2020-11-05-tweedekamer-12.u32	Mr Moorlag also has a question on this point.
ParlaMint-NL_2020-11-05-tweedekamer-12.u33	Mr Wiebes is not only touching my colleagues with an open nerve, but also with me. There is a presentation of things here as if earning is a rather neutral activity and that doing something is happening within the framework of the laws and regulations that we lay down here in this house. But earning is not a neutral activity! Mr Van der Lee pointed out the ecological aspect, but also the social aspect. Look at those huge Internet companies that exploit people and do harm. These companies are completely detached from society. A football association goes to a shopkeeper for a price for the annual raffle at the annual meeting, and compared to that, these companies are really off the rails of society.
ParlaMint-NL_2020-11-05-tweedekamer-12.u34	And your question?
ParlaMint-NL_2020-11-05-tweedekamer-12.u35	One more example, Mr. Chairman, one more. The large solar parks are also completely unsung from communities. The solar park above Hoogezand changes ownership three times without the community benefiting from it. Then earning isn't a neutral occupation, is it? That's something we can regulate, but surely companies must have something like corporate ethics and morality. This is often lacking, and it is certainly also criticised by society.
ParlaMint-NL_2020-11-05-tweedekamer-12.u36	What I do agree with is that morality also plays a role. I also said in my previous appeal: not everything that is allowed by law is desirable and you should want it. But I will distance myself from the specific proposals. It is not the case that the cabinet wants to make a negative assessment of the business activities mentioned by Mr Moorlag. But I do agree with him on that morality. Therefore, I am not disqualifying morality and I am not screaming big companies either. All I'm saying is that we have a lot to do without dogmas to work on what needs to be done and that we should not fall into rhetoric that denies that our earning power is ultimately very important. 'Cause what's it about? Those are exactly the things Mr Moorlag has a high priority. It's just the middle-class paycheck. It's about our social arrangements. It is about the things that Mr Moorlag wants to preserve, such as an old age provision, such as care and education. It is also about employment and the extent to which people can participate and feel part of society. We all call that prosperity and GDP, but it's something else. It is the degree to which we do things for each other and for each other, that is what we call economics and how we can use our standard of living in this way, even at a time when a very large transition is needed.
ParlaMint-NL_2020-11-05-tweedekamer-12.u37	To my taste, this is all too much the exaltation of the current economy.
ParlaMint-NL_2020-11-05-tweedekamer-12.u38	I'm expressly not doing that.
ParlaMint-NL_2020-11-05-tweedekamer-12.u39	Look at the earning models of the big companies. That's what fundamental transitions are going to have to do, isn't it? You can't harvest, consume and throw away infinite virgin raw materials. Look at big companies. Look at what happened to the gas extraction in Groningen. This is not only based on a formal permit, but there is also a moral license to operate. It's totally screwed up, isn't it? I think there are really fundamental shortcomings in our economy. We have a high level of prosperity, but that is something other than a high level of sustainable prosperity. That's my message to the Minister.
ParlaMint-NL_2020-11-05-tweedekamer-12.u40	It's a bit resentful that we stop every two minutes. I've got a whole story about it. I don't have that for nothing. I am very much in agreement with the speakers. But when I call sentence a, they jump over to sentence b, and vice versa. Would it be a crazy idea if I tried to put the whole thing down, including where we should be in 2040?
ParlaMint-NL_2020-11-05-tweedekamer-12.u41	Then we cut and paste it for economics class. I'll give you that opportunity.
ParlaMint-NL_2020-11-05-tweedekamer-12.u42	It's not an economics class. It is my view and my concern. I want to put it down.
ParlaMint-NL_2020-11-05-tweedekamer-12.u43	Go ahead.
ParlaMint-NL_2020-11-05-tweedekamer-12.u44	They are very similar, but not quite. That's what we're talking about. Mr. Chairman. What I regard as high is the concept of prosperity. I really think we're underestimating it in two ways. We underestimate the importance of maintaining that prosperity, but I think we also underestimate how much that still lacks. You have to wonder where we're going to go. I have always mentioned 2040 in the discussion on the Growth Fund. If we look ahead, we can see that there are still a number of major issues. We can continue to philosophize endlessly about the Netherlands as a seafaring nation, but it's about other things over the next twenty years. The first has already been mentioned; Mr Moorlag has already mentioned it. The molecules fly us around the ears and we know how to treat all the raw materials into waste at a relatively high rate. It's not going well. We have a large use of space and the primary raw material consumption is enormous. Everyone sees that we need to renew our production model. Two thirds of the Dutch also have the best support for this. I think that makes sense, too. I don't like being left and right. Anyone interested in prosperity is renewing their earning model. I think that denying that is a form of economic nostalgia. Nostalgia is for under the Christmas tree; that's why I never have such a thing. I'll give it to everyone, but we have to move on. So by 2040 we will have to be very credible on our way to CO-neutral. Take a look at what's on the Maasvlakte, the petrochemical complex. This is no longer a petrochemical complex, but a biochemical and circular chemical complex. The front train needs to be replaced and the rear train is probably still working. But in the next 30 years we have to get it done and in 20 years we have to see a lot of that. That's a huge challenge. The second thing I see before 2040 is this. We have no hope other than that we are a society that relies primarily on knowledge. There's no alternative. This means that we must be dominant in some areas of knowledge. Think of high-quality clusters. We're doing great in biotech, photonics and a lot of other things. More areas need to be included. We will need to increase the number of high-quality clusters in which we work on the basis of knowledge and propose something in the world. We don't even know exactly which ones they are yet. We are not going to be able to decide that democratically either. You don't do that by vote, but we have to work on that. Knowledge doesn't just mean knowledge that we have in clusters among highly educated people. I am convinced that we can only make an important leap if we continue to train the entire workforce. Everyone knows that we have been talking for ten years about a lifetime of developing. Everyone knows that we have done something about this in every cabinet period. We certainly did so during this cabinet period. I think we need more of it. We need to make everyone as productive as possible. That's more useful for people themselves, but that's what society deserves. And knowledge is not only translated into services. I agree with an important part of this Chamber that we should also look for this in production, in high-quality industry, high-quality agricultural production. For simple low-grade commodity's, we won't have the space. For the basic industry we have a fantastic head start through our location, through the entire gas network... you name it all, but for a lot of other things neither. With further automation and further excellence in knowledge, at some point we see less and less of a labour cost disadvantage in production, but an advantage of knowledge proximity. Hey, that's funny! Isn't that what Wiersma was talking about? He was talking about reshoring. This is a fairly natural reshoring ground. Production costs are making less and less difference, but close acquaintance makes more and more the difference. ASML never had to have low cost. That has had to have so much knowledge in one area right next to production that only one party could do it. Call that our reshoring. This also means that we should not think that we are at the end of prosperity building at the employment rate. There are still a lot of people who say they can and want to work more. If people want that for themselves, then society should not stop them from doing so. If people don't want it, it's a choice. Dominant in 2040; I'm not gonna waste a lot of words on it, but it has to be mentioned. Society will come out best if you and I, chairman of the board, have strong institutions, a good factual basis, where important decisions are based on facts and analysis rather than just on images and interests or partial interests. World history does show that. If we see all these things, if we see that we're in this position in 2040, what does that mean for the government? Now I'm going to say something I wouldn't have said four years ago. That is that I think we should have a government on two fronts that is just a little bit more involved. First of all, it is inevitable in renewing the economy that we have stronger public participation. There is also new academic knowledge in this field. This means public investment in innovation, especially in cases where opportunities for a society and societal challenges come together. This also inevitably means that we are concerned about education in the sense that our foundational education should be the top. Period. There's nothing else we can accept. It also requires that we inevitably have to take on a heavy coordinating role for the whole of the sustainable infrastructure that we need to build. We did that a long time ago with the gas grid and so on. In between it was quiet for a while; there is another time coming. But that's building up that prosperity. At the same time, we need to take a stronger role in protecting the economy where it is needed, from here on out, you and I, yes, in this world, irrevocably, for example, when it comes to unfair competition, state aid, cyber, state-dangerous takeovers and pandemic support, can I mention it in the list? To do all this and to make it happen, this cabinet has laid down that growth strategy. Mr Verhoeven asks if I would not have wanted to spend more time on this. I wish I had that growth strategy a year earlier. That's about two things; the underlying analyses are really two. First of all... If we don't renew, we're gonna be sidelined. Then we have one or too fossil, or too old-fashioned, or not unique, or no longer knowledge-based economy. Period. We need to do something about that now. We can see that! The second is this and that is serious, and that is why I am committed to prosperity. We have seen only a very limited part of the prosperity growth in the past twenty years in the wallet of Dutch people. A very large part was for collective arrangements, which benefit us all. No one has ever protested against that either. They've always served the top three of all the political parties in the middle. But the fact was that the people at home noticed only a limited part of the rise in prosperity. That's gonna get worse in the next 20 years. Because the prosperity expectations are just a little lower if we don't do something. And the growth of collective arrangements due to ageing, care and so on is just slightly higher. So from what's left, we might be able to finance a few collective wishes, but then we're out. So we must also do something about the level, but within the framework of the way we do it. That's what we based that growth analysis on. It has six points. They all cost at least effort, and often also money. Often structural but sometimes occasional. There's six of them. We could have made 20, but I would have finished a year later. According to prominent economists, these are the six most important. With their help and with all the recent economic literature in hand, we made six. Half of them are about knowledge. The héft! Mr Moorlag has made a whole speech in which there was knowledge. I'm always nodding hard, but he's got a point. Foundational education is one of six points. Developing a lifetime is one of six points. The focus on innovation and R&D is also one of six points. Of course we also have a more modern infrastructure to build. Hydrogen is one of six points. It is also about the employment rate of those who want and can work and about the whole management of all these transitions together. 'Cause there's a lot of them. And again, the molecules are flying around your ears. I think that's the basis. Soon I will come up with how such a growth fund fits in, because that facilitates some of these things. I have been asked: what strategy is behind this Growth Fund? No, it's the other way around. We have a growth strategy. Which funding vehicle is included? There, that's the Growth Fund. But that's where we want to go. My belief is that we have a growing consensus here, that this is not a left-wing issue, that it is appropriate to be constructive and to realise that it is also a battle. If I make a plan now and we're gonna do it, something's changed in the world next year and we're gonna have to adjust it. Our systems must be flexible. We also see it with the climate, but I'll get to that later. We need to keep adjusting, but we need to keep an eye on the target and not argue about who we can blame. In my opinion, it is not the big companies that are being blamed, not the people who are being blamed, not the people who cannot work that are being blamed: no, this is a task for all of us, and I do see a growing consensus for that. And I've seen that with some pleasure and some restraint during these three years. A lot of questions have been asked about that, but there are so many people eager to observe a kind of natural silence.
ParlaMint-NL_2020-11-05-tweedekamer-12.u45	Have you completed this block on main lines?
ParlaMint-NL_2020-11-05-tweedekamer-12.u46	I have several questions, including those of Mr Wiersma, Mr Van Haga, Mr Graus, Mr Amhaouch, Mr Öztürk and Mr Verhoeven, on specific matters.
ParlaMint-NL_2020-11-05-tweedekamer-12.u47	Okay, fine. First, I give the floor to Mr Van der Lee van GroenLinks.
ParlaMint-NL_2020-11-05-tweedekamer-12.u48	Thank you to the Minister for his consideration. I'd still like to test the consensus he's experiencing. Much of what he perceives, I recognize and even subscribe to. But he needs a lot of words for that. Let me bring that back to the Netherlands, which last year in dollars was the fourth exporting nation in the world. This has to do with the fact that we are a fossilized mainport. What we need to go to is a sustainable brainport, not only in terms of services I recognize that but also in terms of high-quality products. Can I understand the Minister so that the transition from a fossil mainport to a sustainable brainport is a somewhat simpler summary of the consensus he perceives?
ParlaMint-NL_2020-11-05-tweedekamer-12.u49	Mr Van der Lee says that I needed a lot of words, but he only adds new words, so the speech will not be shortened. The additions are welcome. Yeah, we're a big exporter. But it's too easy to say: let's not export those products anymore, then we'll be done with that. He doesn't say that either, but I'll fill it in, because I'll add more words. Not producing these things anymore is not the solution. The other way of producing is the solution. And I think that there is an opportunity for some of these products to say: let us, as a responsible country, that this can be done in a sensible way, a number of products that fit here because of the unique location of the Netherlands, but in a green way. It creates a lot of jobs, but we take responsibility for doing so in a new way. This means that we have to take the infrastructure first. There's every chance for that. The gas infrastructure needs to be changed, but we can. The ball is on the spot, to talk to the football lovers, so it's possible. But we have to bet on that. So it is not the question whether we export too much, but whether we produce the stuff properly.
ParlaMint-NL_2020-11-05-tweedekamer-12.u50	Then I conclude that the words'mainport' and 'brainport' already in existence in the Netherlands can sum up what the Minister says here. We need to move from a fossilized mainport to a sustainable brainport. A second point I would like to make is the following. For a few decades, the Dutchman has been benefiting relatively little or almost nothing from prosperity growth. The Minister devotes this almost entirely to collective arrangements. I think that is a fundamental error of opinion. We also see an enormous concentration of power in a few. This leads to a capacity inequality similar to that in the United States. If he doesn't include that in his analysis, the consensus he observes will fall apart. There are several parties here in the Chamber who see that earning happens in such a way that a lot of power ends up in a few. On this issue of distribution, the Minister does well to look not only at collective arrangements, but also at the concentration of capital as a reason for the fact that the distribution in the Netherlands is not yet in order.
ParlaMint-NL_2020-11-05-tweedekamer-12.u51	No, I'm not buying it. You can look at the distribution of wealth with and without pensions, but this is not primarily about wealth. Mr Van der Lee says that what is left of income has been very good for households, but that it is a very limited group. But first of all, it is not true that if you look at the total income of households, then you see that a very significant part of the prosperity has ended up there. Secondly, you can see that in the distribution "b" there are a few individuals who are probably very rich at that time "b" the gini coefficient is virtually unchanged in the Netherlands, just like the labour income ratio. So it's just statistically not true. There are all kinds of people who have a lot of power. I want to believe all that, but that's not the big cause. That's not anyone's fault either. I'm not blaming the government. The election programme of the party on which I voted for many years has also had the top three: concern, old age and so on.
ParlaMint-NL_2020-11-05-tweedekamer-12.u52	I have two questions which are in line with the Minister's speech. I really agree with the words he speaks about the consensus and the system changes he describes. He actually follows the Party for Animals in that, so we really agree on that. But I do have two questions. They may also be about testing that consensus. Another big part is the export that finds its physical form in an activity that really doesn't yield anything, namely the numbness of the Netherlands with all the big warehouses that are being built and that actually doesn't contribute that much. What role does he see in this? I'm assuming that this stunning of the Netherlands is gonna wear off if I have to test his consensus. This should be automatically reduced in Mr Wiebes' worldview. Is that right?
ParlaMint-NL_2020-11-05-tweedekamer-12.u53	I'm not so sure. I am not saying no, but I have not done a sectoral analysis of the distribution sector in preparation for this budgetary treatment. I outline images for 2040 that emphasise that we need to have more knowledge on all fronts than we do now and that we need to organise our production in a different way. That is not a matter of left or right interest, but of all of us.
ParlaMint-NL_2020-11-05-tweedekamer-12.u54	I certainly agree with that, but it would be good if the Minister would also draw the conclusions which are part of his analysis. Such a physical distribution system with very little added value but a huge space attachment should have no place in the Netherlands of 2040. You don't have to do sector analysis to draw that conclusion. That was my question about that. I feel that he is not going to answer this question, but I assume he agrees with the analysis. The second question I have is about the earning model that needs to be earned first because collective demand is increasing. In fact, there is a part of it missing, namely the third piece on what business pays off. Of course, that's gone down. Look at the taxes that business pays. There are also large and increasing opportunities for tax avoidance. Perhaps he can add a few words to that, because that is still lacking in his picture.
ParlaMint-NL_2020-11-05-tweedekamer-12.u55	The previous cabinet and cabinet have recognised that tax avoidance has been subject to changing opinion in a variety of ways and that we need to do something about it. I do not think it is right that companies should systematically pay less tax. Again, the labour income ratio has remained about constant in the Netherlands. There's a big change in shape. In recent decades, companies have been paying less of one type of tax and more of another. For example, they have started to pay much more in environmental taxes. In the time I took those taxes, we were number three in Europe, probably number three in the world. There are a lot of things to note on the system. I am not saying anything about that, but given the total contribution, it is not the case that companies have systematically started to pay much less tax. Whether it is sufficient is a question of political decision-making, which I would like to leave to the participants in the Tax Plan. But these are basically the facts.
ParlaMint-NL_2020-11-05-tweedekamer-12.u56	It's always nice to have a look through 2040 with this minister. I think it is also very good that we should consider this. The minister said, looking back, maybe two things should have been different over time. I think one of them was in on it. The government needs to be more involved. I forgot the second one. But that is not relevant either, because this is what is at stake. How does the Minister look at the agility of the economy towards the future, but also at the agility of the government? Can she follow the pace? I am not saying to the Minister that, as in China, in Wuhan, we will have to stamp out a new hospital in ten days, but you can see that the economy has much shorter roadmaps in its developments. We do not talk about new developments from 10 to 15 years; often they are five-year deadlines. Yesterday, I congratulated the Ministry on its rapid development in the corona crisis. But can the Minister briefly reflect on how agile the government will be? Think of manoeuvrable instruments but also of being able to act quickly, to help companies in time in these transitions.
ParlaMint-NL_2020-11-05-tweedekamer-12.u57	I did not say that we should have done more in the past period, but that we should have done so in the coming period. The point that Mr Amhaouch missed, but which I said we should have done differently... I told Mr Verhoeven that we should have had a growth strategy earlier and that all the work failed. But I think I should have. Such a thing should be at the beginning of a cabinet period. Well, it's there now. Yeah, I think a government should be agile. This requires a certain form of work which is uncomfortable, I say, also in relation to Parliament. We're gonna have to practice a little bit. Corona is a very good example. We are managing a crisis, in debate with Parliament. That controlling function is heavy. In other countries they do things differently, I think. It is also up to the Chamber to determine how that controlling function is fulfilled, but it is difficult to manage a crisis and major changes in the Dutch tradition of debate, poldering, etc. This concerns many parties, from the security regions to the others. In the climate agreement, for example, you can see that. It is very good to set goals and put instruments against them. But we have not for nothing, by the way very much helped by the Climate Act... I look at seven groups, but I always start with GroenLinks and the Labour Party. They are the initiators and the rest have joined in. That's a sensible document, because it doesn't tell us how to do it. It's a law that recognises that things change every year, so you have to change things every year. We have to learn to live with these things. An evaluation that shows that something else has to be done is not a bad thing. It's a good thing, because that's exactly what it's supposed to be. It is good to measure something every year and see what is going well and what is not going well, and to adapt it. We have to embrace that as a normal course of action. There's a purpose. That is parliamentaryly established. There must be some room to manoeuvre in this area, with the right instruments to strive for it. We will see a lot of that relationship, because that will all happen with economic policy, prosperity building and transition.
ParlaMint-NL_2020-11-05-tweedekamer-12.u58	Please continue your speech.
ParlaMint-NL_2020-11-05-tweedekamer-12.u59	I will continue my speech. Mr Wiersma said: nice, such a six-point growth letter. But he remembers that there was a commitment from the cabinet to further develop this and to produce documents, which not only now, during this cabinet period, could happen via a growth fund, but also with which a subsequent cabinet could benefit. I intend to inform the House of Representatives next spring about the progress of these actions. The Growth Fund has been set in motion. We're still working on all kinds of reconnaissance. One of the six points in the growth letter was participation. Among other things, there is the Borstlap Committee and the final report of the scenario study design child facilities. We'll get back to you on that one. But Mr Wiersma has made it a little broader in his question. He looked at me pretty hard when he asked. In addition, therefore, I would like to undertake that the Central Economic Commission should also be asked to carry out further exploration, to provide these themes and additional themes for the strengthening of earning capacity, so that a reformer can take advantage of them. I will come back to the Growth Fund later, purely to some economic questions. Mr Wiersma has distinguished several periods: the short term, the medium term and the long term. He's actually asking how they connect and how we're gonna handle it in the middle. The short term is clear: a package of support. There's no other way. There's not much choice. That's what we have to do. In the long term, we can only really have it in the long term. That too is economic theory, but everyone here knows it with productivity gains. In a sensible productivity improvement, the Growth Fund has a role to play, but we will simply have to make reforms and make adjustments so that we always focus on the right things. In the intermediate area, the main challenge is to maintain private investment. Yes, the government can also invest things, but 85% of all investments in the Netherlands really come from the private sector. If they fall silent, you're the bad guy, that's how we learned from the previous crisis. So we are trying in all kinds of ways to keep that up. Hopefully European funds, the RRF and the Just Transition Fund, will help. The Growth Fund has a long-term productivity effect, but in the short term at least a spending effect, to complement it with the BIK or other things. But it is above all an economic stimulus in the medium term. I don't see an acquisition job for the government. I can't tell companies how they get new assignments. My rather noisy and comprehensive silent diplomacy towards VDL and BMW has not resulted in me being asked to act as an acquisite. I think Van der Veegte might have asked me if he'd seen my talent, but he hasn't. No, I can't acquire. So the government can't do that. I'm bad at that, and we're all here. The point is that we have a spending impulse and we keep an eye on whether we keep the healthy companies running. Then it has to be in the medium term. There's more in that impulse. We have another industrial agenda. We've got Tiki. We have the Climate Agreement, a digitisation strategy and an SME Action Plan. All these things play a role. One of the medium-term dishes, I see, is a spending impulse. In the long term, this is a productivity improvement. In the short term: save what can be saved, with an emergency package. We must help all healthy companies to survive as much as possible. But it's not all gonna work.
ParlaMint-NL_2020-11-05-tweedekamer-12.u60	The minister says that he is not good at acquiring, while many ministers go along with trade delegations, with a lot of entrepreneurs, SMEs, VNO-NCW and ONL, to make proper acquisitions and establish contacts. Prime Minister Rutte is good at that. Our king will do that where necessary. The fact that the Chamber asks the Minister to make an acquisition for BMW and the employment in Limburg is therefore completely normal. That is also one of your tasks. Only, in addition, you can remove a lot of obstacles in the laws and regulations, so that a partner outside Europe can also come to the Netherlands. You do have a part in that.
ParlaMint-NL_2020-11-05-tweedekamer-12.u61	Sure. I fully agree with this. We don't do specific acquisitions for a specific company, but this is the kind of thing the king and the prime minister do. I would also like to mention my colleague Kaag in this context; let us not forget that we have a minister for it, with great respect abroad. Obstacles to regulation must also be removed; I fully agree with that. There's no pin in here.
ParlaMint-NL_2020-11-05-tweedekamer-12.u62	Please continue.
