ParlaMint-NL_2020-11-25-tweedekamer-5.u1	The next item is the budget for Justice and Security.
ParlaMint-NL_2020-11-25-tweedekamer-5.u12	Always.
ParlaMint-NL_2020-11-25-tweedekamer-5.u13	I have the following question: does Mr Markuszower also see the increase in violence and intimidation of women by the alt-right movement?
ParlaMint-NL_2020-11-25-tweedekamer-5.u14	Are you talking about women in the alt-right movement?
ParlaMint-NL_2020-11-25-tweedekamer-5.u15	No, the point is that there is more and more sexism and harassment against women on the Internet. Often this comes from the social media on the internet of the alt-right movement. Is he familiar with that?
ParlaMint-NL_2020-11-25-tweedekamer-5.u16	No, I'm seriously unfamiliar with the alt-right movement. That's not a joke. I don't have anything to do with it. Everything that's "alt" is really bothering me. Everything that's alt-right already sounds filthy. Anything alt-left, left, sounds weird to me, too. I had nothing to do with it. Anyone who threatens women or men must be treated hard. That's what the PVV's been standing for years.
ParlaMint-NL_2020-11-25-tweedekamer-5.u17	I think Mr Markuszower is a little too concerned. I didn't say the PVV was connected to the alt-right movement.
ParlaMint-NL_2020-11-25-tweedekamer-5.u18	I just don't know anything about it.
ParlaMint-NL_2020-11-25-tweedekamer-5.u19	Mr Markuszower mentioned a very sad thing that was intimidating for women. I notice that all sorts of studies have been published, and the AIVD also says that the increase in sexism and violence against women is very much promoted on the right. This is done, among other things, through the alt-right movement, but also through the incel movement. Unfortunately, I never hear the PVV about that.
ParlaMint-NL_2020-11-25-tweedekamer-5.u20	On this point, I will take over that plea. Anyone who threatens women or men, approaches them by force or commits violence must be dealt with vigorously. I make absolutely no distinction in that regard. Fortunately, I have no more knowledge of any movement than the knowledge I have from the messages of the normal media.
ParlaMint-NL_2020-11-25-tweedekamer-5.u21	Please continue.
ParlaMint-NL_2020-11-25-tweedekamer-5.u22	When I read that story in the newspaper last week about that Zeeland stepfather and his wife who had abused their own children, I got furious. Those offenders must be locked up for life. As far as I'm concerned, they should never see daylight again. I expected and hoped that our ministers would have the same anger and emotion and act accordingly. But what do the officers of Grapperhaus and Dekker demand? Six years. So such a child abuser walks after the cell discounts that the VVD and the CDA continue to grant criminals, after four years again like a predator strunking on the street, looking for his new prey. This policy will allow such a child abuser to make new victims in a few years' time. What kind of country are we living in, Mr. Chairman? You raped and drugged two very young girls for years. You pimp them out, I know how many people, but after less than 50 months, you're out. The mother of those children is a compassionate, drugged and abused those children and let her husband abuse those children by many others. And do you know, Mr. Chairman, what that mother was doing in prison while she was in custody? She started an affair with a prison guard. Anything can and can only be done in this country! You're getting away with everything! Serial rapist and assailant Jasin A. held all of Leiden for months last year. Girls were afraid to go out on the street anymore. Two rapes and a sexual assault, and what does the judge say? That judge just fooled society, fooled the victims and says, "Jasin, all those rapes, all those young lives destroyed, that's not so bad." Three years in prison is more than enough. In fact, the judge says to Jasin: in two years you will be released. Free from the prisons of Sander Dekkers VVD and those Sander Dekker prisons are a joke. Perpetrators are being pampered. In prisons, parties have been held for years. When the corona crisis broke out and the whole of the Netherlands had to stay inside, there was one group that was released. Those were Secretary Sander's prisoners. In order to prevent a corona outbreak, prisoners no longer stayed in prison, but were allowed to go home with an anklet. We all know what happens to those ankle straps: they are cut on the assembly line. If we ask the Minister how many people committed a criminal offence while wearing an anklet at the time, then the Minister does not even know it! That's not even registered. But some of the prisoners are still in jail. Yesterday or the day before yesterday, we could read in the media that they are getting their contraband like drugs delivered by drone. And Sander Dekker stands there and looks at it for years. In the Netherlands of Dekker and Grapperhaus criminals are protected and coddled. In the land of the CDA and the VVD, the victims are in the cold. Last few days, Minister Grapperhaus did a round of media: one big ego tour. Lots of "I," a lot of chest beat, lots of kettle music, very little result. Grapperhaus had plenty of time for interviews. He said, among other things, that the Netherlands should not become Europe's drain where the fight against drugs is concerned. Instead of talking so much, he should have done it. In all this media talk, Grapperhaus was unable to address the word "Islamic terror," which is the greatest threat we as a country are facing. In the country of Grapperhaus, it is possible that terrorists, who have been found by the judge to have participated in a terrorist organisation, will be punished with only one and a half years in prison. That's not punishment, is it, Minister Grapperhaus? That's a joke, isn't it? With this kind of punishment for terror, you don't have to worry about drains. With this kind of punishment, Minister Grapperhaus, you are the largest terrorist magnet in Europe. Those jihadis aren't just laughing at you, they're threatening our teachers. How can it be, Minister Grapperhaus, that teachers, teachers, who try to teach our children something and deserve our support and protection, have to go into hiding, while their behaviors are also terrorists who are free to roam? How can it be, Minister Grapperhaus, that you have time for that intensive round of media over the last few days, but not just doing your job and picking up those jihadis, who are bereaved by those teachers? I have seen on social media that the names of the bereaved of, for example, those Leiden lecturers are known and I expect the Minister to inform me tomorrow that these jihadis, these terrorists, have been caught and are in long detention, are being tried quickly and are being punished for a long time. You wouldn't be a real Minister of Justice and Security if you let a teacher's behavior run and let the threatened teacher go into hiding?
ParlaMint-NL_2020-11-25-tweedekamer-5.u23	How's it going, Mrs. Van Toorenburg? I think it's very handsome how you do it. It's a little tricky, because you need to be on that foot pedal.
ParlaMint-NL_2020-11-25-tweedekamer-5.u24	Mr. Chairman. I thought I went in with a stretched leg today...
ParlaMint-NL_2020-11-25-tweedekamer-5.u25	You will!
ParlaMint-NL_2020-11-25-tweedekamer-5.u26	...but I hear the PVV go all the way! Just for a second. I'm just listening, and I understand that there are things you can find quite a bit of. I'm not happy with everything either. I'm starting to hear a bit that the PVV actually thinks that these rulers are giving the punishments in the Netherlands. That's kind of weird. Does the PVV think that the Justice Ministers should now decide how much punishment someone gets? Or do we still have a legal system in the Netherlands in which we make the laws with each other and ultimately impose a penalty on judges? It may be too low. We can also talk about the law of morality, which Minister Grapperhaus is working on, and also from Legal Protection, which Dekker is working hard for. I'm kind of looking for who's gonna pay the penalty here.
ParlaMint-NL_2020-11-25-tweedekamer-5.u27	I was going to say "you," but first I want to wish you a lot of health and strength with your leg. But you, Mrs Van Toorenburg, must do so. The coalition parties must, of course, make the punishments higher. We have done it countless times, but you will never vote with us. It's gotta do that. Your minister doesn't do that. Nobody does that here except the PVV. But, yes, we don't have a majority yet. I know what the law is like: we make the law here. Those sentences need to be higher. You don't do that.
ParlaMint-NL_2020-11-25-tweedekamer-5.u28	I always get criticism that we increase the penalties so often, so I am glad that this is not recognised by the PVV. But for a while. We have introduced a whole new prison policy, in which people can only earn some freedoms in good behaviour. We have introduced legislation on a number of points. Isn't it an overstretched leg the PVV is working on, or is it just the conclusion that it should all be with minimum punishment and that no judge should be able to deal with it anymore? Because that's what the PVV wants in the end. I get that, too, because I hear how easy people get away with it sometimes. I'll be bitten, too. Nevertheless, I think: a minimum sentence for all crimes ultimately makes a country very dangerous. That is what we see in other countries.
ParlaMint-NL_2020-11-25-tweedekamer-5.u29	Well, all the crimes... Let's start with the violent and sexual crimes. That's our point. Mrs Helder has been fighting for years for the accumulation of penalties, so that, among rapists such as Robert M., who abused 86 or more small children, 86 times a high sentence can be handed out. Minimum penalties are, of course, good, because those judges are terribly weak and incompetent when it comes to sexual and violent crimes. I just called terror, too. I think the average number of days is 1,000 or so in the case of murder. It is simply not enough what is given in the Netherlands. Even the CDA thinks so. You say it a lot, but you don't. The VVD often says a few things before the election, but it doesn't happen. And yes, the ministers don't do anything for four years.
ParlaMint-NL_2020-11-25-tweedekamer-5.u30	I want to talk to the PVV about penalties on every proposal that can be made custom-made. But I want to stand up here today, which is not so easy at the moment, to throw away from me the fact that our Dutch judges and our prosecutors are incompetent and cowardly and what other qualifications they have all been thrown at their heads. They're not here. We're the legislator. You just didn't get a majority for minimum punishment. That may be annoying, but don't put that on the judges and the officers.
ParlaMint-NL_2020-11-25-tweedekamer-5.u31	No. Let everyone know that there are no severe penalties in the Netherlands because parties like CDA and VVD systematically stop them. It is true that parties such as Mrs Van Toorenburg, the CDA, and Mrs Bente Becker, the VVD, are not severely punished in the Netherlands. That's right.
ParlaMint-NL_2020-11-25-tweedekamer-5.u32	Please continue.
ParlaMint-NL_2020-11-25-tweedekamer-5.u33	Sometimes, very often, the elite parties do make effective use of their judiciary. That's when they decide to prosecute the leader of the opposition, Geert Wilders. Then they, all those elite politicians and the civil servants associated with their party, twist themselves into ten thousand turns. Then there will be no more trias politicians. Then suddenly everything gets pulled out of the closet. Millions of euros will be spent. Because if you can't take out a political competitor through elections, if you don't get through the democratic rules to beat your political opponent, then you're just trying to do it through the judiciary, right? Only corrupt ministries of justice and security from the dark dictatorships try to eliminate competing politicians through the judiciary. Only corrupt ministries of justice and security are able to throw Julio Poch in front of the Argentine lions via a trick. This minister too is anxiously trying to keep the stinking cesspool closed and withholds information on this issue. The sneaky CDA minister Hirsch Ballin started lying and his successor, also a CDA, covered this lying predecessor and was even willing to put the Constitution aside for this. But that's not the only sin of this Minister Grapperhaus. He's bugging whistleblowers. Whistleblowers who brought out his WODC were fired and intimidated by this minister. Like many other whistleblowers working at Justice and Security, they are pushed back into the Omerta, the culture of silence. None of these are incidents. In the Netherlands of Rutte, we are dealing with a culture of keeping public affairs away from the citizens and the representatives of the people. Road painting is under the VVD van Rutte elevated to an art. Despite Article 68 of the Constitution, which gives members of parliament the right to all information, hide, hide and conceal essential information. That's how they destroy lives. They destroyed Poch's life. Wilders' life is trying to destroy them. The lives of the thousands of victims who made Wiebes and Asscher cum suis have been destroyed, also because the government refused to share all information with this House of Representatives and the investigative journalists in time and in full. We do know that at some point everything that's being put under the carpet is gonna stink like hell. And isn't it terrible that the Council of State, the judges of Grapperhaus and Rutte's cabinet facilitate all this? Always release all the information that MPs, journalists and citizens ask for. Mr. Chairman. It's really not that complicated. The Netherlands can become a safe and just country, a country where perpetrators are treated hard and victims are protected. A country in which fathers no longer have to fear for the safety of their children. A country in which street thugs are removed from society for a very long time. A country in which street terrorists who unhinge and insecure entire neighbourhoods, streets, pools and beaches are punished directly at the first trial with a heavy minimum sentence. A country in which foreigners or offenders of dual nationality are being squeezed out of our country. A country in which rapists and child molesters can never get away with their act and disappear into prison for at least 20 years, preferably for life. A country in which justice is obliged to prosecute violent and sexual crimes and in which judges are obliged to impose very high penalties for violence and sexual crimes, not on average 24 months for rape and therefore no less than three years for prison sentences for terrorists or less than 600 days for traffickers. You don't want criminals like this back in society, do you? A country in which we Dutch people say to the current top of the police, justice and the judiciary: you make a big mess of it, do not function properly and do not really deal with crimes and so every four years we are going to choose criminal and chief prosecutors ourselves. Then we immediately put an end to this mad practice of giving penalty discounts and then we ensure that perpetrators are punished by deed, so that you can pile up crimes, which Mrs Helder of the PVV has been fighting for years, and so that you can always punish those who did this high. Then we will ensure that criminals convicted for the second time for a serious crime of violence or sexual assault will always receive a double sentence. Then we will ensure that terrorists and sympathizers of the jihad are arrested and detained preventively. Then we will make the Netherlands a country where criminals are caught and locked up in jail and where the common Dutchman can live in all safety and freedom in our beautiful country. Thank you, Mr. Chairman.
ParlaMint-NL_2020-11-25-tweedekamer-5.u34	Thank you, Mr. Markuszower. I now give the floor to Mr Emiel van Dijk on behalf of the PVV.
