ParlaMint-NL_2020-07-02-tweedekamer-75.u1	I'm encouraged to start again. The next item is the VAO MIRT. Mr Van Aalst has the floor first.
ParlaMint-NL_2020-07-02-tweedekamer-75.u12	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that approximately one fifth of traffic jams are caused by accidents, which has a major impact on accessibility;]] [[Whereas the NMCA provides objective mapping of the mobility declarations;]] [[calls on the government to consider road safety as an important pillar in the new NMCA,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Postma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-103]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u13	Then my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that almost the entire Chamber last year expressed a positive attitude and the will to have a direct intercity Randstad-Eindhoven-Heerlen-Aken run in the period after the current concession;]] [[noting that the NS has developed an alternative to this;]] [[Whereas there are opportunities for direct intercity driving from 2025 if framework conditions such as equipment, operation and infrastructure are met;]] [[Whereas most of the line is inland rail transport, with only a small part lying across the border;]] [[Calls on the Government to speed up the development of the possibilities of a direct intercity link Randstad-Eindhoven-Heerlen-Aachen from 2025 and to identify the possibility of bringing this within the new concession of the main rail network;]] [[calls on the government to send the outcome of the debate on rail organisation to the Chamber in the autumn,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Postma, Mr Amhaouch, Mr Laçin, Mr Schonis, Mr Ziegs, Mr Van der Graaf, Mr Gijs van Dijk, Mr Stoffer, Mr Kuzu, Mr Van Brenk, Mr Van Haga, Mr Van Esch and Mr Kröger.]] [[She's getting No. kst-35300-A-104]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u14	This motion is therefore submitted by virtually all the parties. Do you have any questions?
ParlaMint-NL_2020-07-02-tweedekamer-75.u15	Yes, I have three more questions. About the N35, the minister called today, I understood. There's an appointment on August 26th. I am very curious whether the joint end goal of the N35 and the conditions, time, money and the direction of resolution are on the agenda for that consultation. Can the Minister undertake to do so? I have a question about the Lelylaan for the Secretary of State. What other tests are there? Can the Secretary of State undertake that these investigations have been completed for the next NO MIRT and that their results for the NO MIRT are shared with the Chamber? My final point concerns the A4. The A4 is being widened. Residents of Rijswijk, The Hague and Leidschendam-Voorburg are rightly concerned about the viability of their living environment. I'd like to hand over the petition they gave me. I would ask the Minister to respond in writing and to send it to the Chamber before the end of the summer.
ParlaMint-NL_2020-07-02-tweedekamer-75.u16	Thank you. Mr Dijkstra has another question for you.
ParlaMint-NL_2020-07-02-tweedekamer-75.u17	Yeah, I have another question about that second motion, with all the names underneath it, about that train connection. I'd like to inform the Secretary of State that the VVD believes it's important that it's an open game. It should not be the case that the NS automatically receives that concession and that it automatically belongs to the main rail network. I hope the Secretary of State will be able to answer that in her reply. I am giving this to her on behalf of Mr Ziengs.
ParlaMint-NL_2020-07-02-tweedekamer-75.u18	That's a very circumstantial one. Thank you, Mrs. Postma. I call Mr Laçin. Go ahead.
ParlaMint-NL_2020-07-02-tweedekamer-75.u19	Mr. Chairman. As of day one, we are moving together with the CDA to enable the intercity connection Randstad-Heerlen-Aachen. I am pleased to see that many parties have now joined. In fact, I think it is rather a strange remark from Mr Dijkstra, because the name of his colleague Mr Ziengs is under the motion and he is simply saying: do it within that concession. Anyway, Mr Dijkstra has to know that himself. I welcome the broad support and I hope the Secretary of State will embrace the motion. I myself have a motion on another line, which I find extremely important, the Lelyline. I've heard questions about that, too. I find it strange that we had a whole debate last Thursday during the AO MIRT, when there was already a research report. We didn't get that until yesterday, when we might as well have handled it during the AO. Too bad the Secretary of State didn't share that with us in time. I would like to take a small next step, a motion in line with the questions put by Mrs Postma. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the potential study improved O.V. link North-Netherlands-Randstad shows that the Lelyline has more potential than a bus connection and is more efficient spending of tax money than improving existing rail;]] [[Whereas improving and strengthening the labour market, housing market and the locational environment in cities along the Lelyline contribute to a more favourable SMEA, and the report calls for further identification;]] [[calls on the government to make explicit enquiries in the administrative consultations about the opportunities that Flevoland, Drenthe, Friesland and Groningen see for reinforcement and improvement, and to inform the Chamber of the MIRT notary meeting this autumn,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin, Mr Gijs van Dijk, Mr Van Esch and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-105]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u20	Thank you, Mr. Chairman.
ParlaMint-NL_2020-07-02-tweedekamer-75.u21	Mr Dijkstra, VVD.
ParlaMint-NL_2020-07-02-tweedekamer-75.u22	Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Zuidasdok project is experiencing setbacks;]] [[noting that the contribution of the city of Amsterdam by about 13.8% to the overall project is very limited;]] [[noting that the realisation of Zuidasdok project is of great social and economic added value for the region and the city of Amsterdam;]] [[calls on the government, when covering the deficit for the Zuidasdok project, to better reflect the high social and economic added value and local benefits in the relationship between the financial contributions of the city, the region and the Empire,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in the Northwest Netherlands administrative consultation, the Empire agreed to take a start decision in autumn 2020 on the broadening of the A12 Gouda-Utrecht and expressed the ambition to achieve all the 2030 plans;]] [[noting that the demand for housing is high and has mobility implications, with the municipality of Utrecht still a bit hesitant for housing at the Rijnenburg site;]] [[calls on the government to ensure that the decisions on the MIRT projects A12 Gouda-Oudenrijn, U Ned and the housing around Utrecht take into account large-scale housing of the Rijnenburg project, to coordinate this well, for both bike, h and car,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra and Mr Stoffer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-106]] [[This motion has been proposed by Mr Remco Dijkstra and Mr Stoffer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-107]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u23	I would like to come back to the motion just now and to the text that Mr Dijkstra put forward. As far as we are concerned, the text of the motion remains the motion, so the question is: does the VVD then wish to proceed under motion, or should it be interpreted differently? As far as we are concerned, the text of the motion remains the motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u24	What's it about? About a previous motion?
ParlaMint-NL_2020-07-02-tweedekamer-75.u25	It's about the motion on the Randstad train to Eindhoven.
ParlaMint-NL_2020-07-02-tweedekamer-75.u26	The motion under which Mr Ziengs stood. Mr Ziengs is just under that motion and he has given me this evening: make it clear that it is not an automatism that the NS always gets everything. If we want good quality, we also need to be open to multiple providers, and the Secretary of State is about to respond.
ParlaMint-NL_2020-07-02-tweedekamer-75.u27	So the text of the motion simply remains the motion and the VVD remains underneath it.
ParlaMint-NL_2020-07-02-tweedekamer-75.u28	Plus the question there is, yes.
ParlaMint-NL_2020-07-02-tweedekamer-75.u29	This is becoming an interesting figure. Let Mr Dijkstra submit his third motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u30	I don't see any contradiction. I asked the secretary of state a question. She'll answer that. I'm filing my third motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the European Commission has been consulting stakeholders on the revision of the TEN-T Regulation for some time;]] [[whereas the connection between the Randstad and the North Netherlands is one of the many spearheads in the Future Picture OV 2040 and that investigations into the faster train connections towards the North of the Netherlands have now been completed;]] [[Invites the Cabinet to support the opportunities for the international connection Amsterdam/Groningen-Scandinavie in the consultation of the TEN-T Regulation, and to quickly add passenger transport to Hamburg where possible, and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra, Mr Van der Graaf, Mr Schonis and Mr Ziegs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-108]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u31	Thank you, Mr. Chairman. I'm gonna do it a little bit different this year. I do not have any motions, so I can explain two points more broadly and put questions to the directors. I will start with the section that Mr Laçin and others have already discussed, namely the Lely line. If one project can show that you literally connect the whole of the Netherlands and that it is a good investment for both the infrastructure and the economy of the Netherlands, then that is the Lelyline. The research published yesterday shows that there are opportunities for this line and that it is a promising project. That is why I have a number of questions for the Secretary of State. Can the Secretary of State tell me how she sees the process before her in order to achieve the Lelyline? What concrete steps will the Secretary of State take this summer to take this project at least one step further? And how does it involve the northern provinces? In the end, the aim must be to achieve this, and I hope that the Secretary of State will agree with me that this project is the project that should be on top of the pile when we have that investment fund, that Wopke/Wiebes fund? It's already had all kinds of names. This is an excellent project where with a good investment in sustainable mobility the Netherlands really helps a step further. Then there is my second point, which is also a bit of the topicality of this week. The planning agencies confirmed on Tuesday that, in order to allow car traffic to continue in the Netherlands after 2030, we really have to pay differently for our car use, preferably with a rush charge. Of course, D66 has been arguing for that for a long time. After all, with a smart tax, you're on time without getting stuck in traffic. We want the Minister to draw up the three proposals for charging as soon as possible, as agreed in the Climate Agreement. My question to the Minister is: does the cabinet therefore take into account in these proposals how driving can contribute to the ambition of the climate agreement, which is also stated in the Climate Agreement, to sell only emission-free cars in the Netherlands in 2030? I've got seven seconds left. Thank you.
ParlaMint-NL_2020-07-02-tweedekamer-75.u32	Thank you. Mrs Kröger, GroenLinks.
ParlaMint-NL_2020-07-02-tweedekamer-75.u33	I've got three motions, so I'm gonna start soon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the bike is the cleanest and healthiest form of transport and can therefore contribute to our climate policy and viability;]] [[Whereas the corona crisis will further increase the use of the bicycle;]] [[Whereas investment in infrastructure and the establishment of public spaces is necessary in order to give the bicycle a great deal of space;]] [[Calls on the Government to address the issue of increasing the ceiling of the Road Safety Promotion Scheme 2020-2021 if the requested State contribution to cycling measures exceeds the ceiling and if the applications contribute sufficiently to improving road safety;]] [[calls on the government to ask the local authorities to come up with plans for fast bicycle routes and to involve them in the PO's MIRT and to link them back to the Chamber,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Hordijk Committee has advised on the calculation models used for road transport nitrogen calculations;]] [[Whereas the Committee notes that it is not justifiable that the nitrogen impact on roads is calculated differently from that on a regular basis;]] [[Whereas the government still needs to appreciate this report, which may have an impact on how much nitrogen deposition is calculated for various projects and/or on what nitrogen measures will produce for nature;]] [[Whereas it is necessary to avoid legal problems affecting the Empire in the planning and execution of the seven MIRT projects;]] [[calls on the Government to clarify how the opinion of the Hordijk Committee is being implemented before further process steps are taken in projects where external netting and traffic emissions are involved,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger, Mr Laçin, Mr Schonis and Mr Van Esch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-109]] [[This motion was tabled by Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-110]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u34	And finally. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas strengthening international rail can make an important contribution to the accessibility of the Netherlands and the climate and nitrogen policies of this cabinet;]] [[Considering that there are currently several initiatives including the Air Rail Plan and the Green Deal to stimulate international rail;]] [[whereas the Netherlands, in cooperation with other countries, can also provide the European Commission with a TEN-T route for passenger transport;]] [[Whereas there are calls with several countries, including Austria and Sweden, for a night train connection;]] [[calls on the Government to share its plans, including priorities for the promotion and strengthening of international rail links, for the MIRT briefing with the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger, Mr Van der Graaf, Mr Schonis and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-111]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u35	Thank you, Mr. Chairman.
ParlaMint-NL_2020-07-02-tweedekamer-75.u36	Thank you. Finally, Mrs Van der Graaf, Christian Union.
ParlaMint-NL_2020-07-02-tweedekamer-75.u37	Thank you, Madam President. I have a motion on the international rail network and the European money available to it. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that good and fast international train connections are essential for a good connection with the rest of Europe;]] [[Whereas the Court also stated that short-haul flights should be converted as far as possible into fast international train connections;]] [[Whereas, in a number of recent motions, the Chamber has asked the Government to make ambitious and broad efforts to improve high-speed cross-border rail connections;]] [[whereas EU information shows that the Netherlands does not or hardly use European TEN-T means for passenger transport;]] [[Considering that policy development around the new TEN-T framework has almost been completed at EU level;]] [[calls on the Government to obtain maximum co-financing for Dutch budgetary resources from EU funds, by drawing up a plan to effectively respond to the EU's TEN-T programme and to ensure maximum use by the Netherlands of TEN-T funds for international rail links, and to inform the Court of Justice of this by the second half of September 2020 at the latest,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van der Graaf, Mr Schonis, Mr Kröger and Mr Gijs van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-A-112]]
ParlaMint-NL_2020-07-02-tweedekamer-75.u38	Thank you.
ParlaMint-NL_2020-07-02-tweedekamer-75.u39	I give the floor to the Secretary of State.
ParlaMint-NL_2020-07-02-tweedekamer-75.u40	Mr. Chairman. The minister had some more motions, so he's still working on the final details. I thought I'd start with the motion on the railroad. Thank you very much. I'll make the motion on pieces Nos. 100, 104, 105, 108, 111 and 112. The Minister makes the other motions. The first motion, in part No. 100, belongs to Mr Van Aalst. He asks to take the lead in the IJssel-Vecht tender. The CDA also asked written questions on this subject to the Secretary of State for EZK. They were answered today. It really is about procurement in general. In particular, I do not see any role for me in this concession, because the tendering process is a responsibility of the provinces of Overijssel, Flevoland and Gelderland. It is clearly something that needs to be discussed in the States. Of course I agree with Mr Van Aalst that there should be no fraud, so I assume that this will receive all the attention in the States. I'm dissuading the motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u41	That is precisely why that motion was tabled today. It should indeed lie with the States. But if there's a deputy who's just doing a little poppiejopie with his name on the train, doesn't file it, keeps secrets from the States and then says he's just making a nice decision in the summer recess and everyone else picks it out, is that what the states are up to? Then it is up to the Chamber to say: Secretary of State, take the direction and say that we do not deal with each other; we do not deal with representatives of the people, this is our role. I think it's very clear. That's what the motion requires. I am not asking for decisions to be taken on this tender, but simply to point out to the province how it works in the Netherlands, how democracy works and how it cannot be that the States are lagging behind.
ParlaMint-NL_2020-07-02-tweedekamer-75.u42	I fully understand the frustration and desire of the PVV to say that fraud must be denounced and cannot play a role. It's just not my role to intervene in the States. Then I'll go to the motion in part no. 104. It calls on the government to make haste with the development of possibilities. The VVD had a further question. I will describe the advantages and disadvantages of including them in the concession, practical matters such as the motion asks. Then the Chamber can decide on it afterwards. All the information on the table is, I think, something that binds us all. After that, a careful decision can be made. I'll give the motion judgment room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u43	The motion in part No. 104 gets judgment, Room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u44	Then the motion to part No. 105. Mr Laçin asked for an explicit question about the opportunities that the provinces see in the construction of the Lelyline and to inform the Chamber for the note-to-note meeting MIRT in the autumn. It seems excellent to me to do so. Perhaps that answers Mr Schonis' question right away. He asked what steps are being taken in the interim. This also applies: let us get all the information on the table properly, then we know exactly what we are talking about. I'm also giving this motion judgment Chamber.
ParlaMint-NL_2020-07-02-tweedekamer-75.u45	The motion in part No. 105 gets judgment, Room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u46	Then the CDA group asked which studies are still under way. A number of other studies are ongoing on alternative options for travel time savings. These are not all the same options for travel time savings as were discussed in the Lelyline study. Two specific gears were investigated. This involves other forms, with which travel time can also be booked. It is also about other amounts. Those investigations are still ongoing. Those are all investigations that will be completed by then, leaving the entire palette of information there. Those are the studies which are still ongoing and which can also be shared with the Chamber for the NO MIRT. Then there are two motions on TEN-T. Until now, there were only freight projects in TEN-T, which is why there were no Dutch passenger transport projects in TEN-T. It's been a while. I think it's very good to take stock of that, too. Mrs Van der Graaf's motion to item No. 911 calls for an inventory, if I may read the motion in this way, and to inform the Chamber about it. I can't do that until mid-September, but I can do that for the NO MIRT. I would like to suggest to Mrs van der Graaf that I take stock of some things. I see she's raising her thumb. I would like to say to Mr Dijkstra that I would like to include the option he is setting out in that inventory. I would ask him to hold the motion until then, so that we can take a decision on it on the basis of all the information and take a next step at the NO MIRT in the autumn.
ParlaMint-NL_2020-07-02-tweedekamer-75.u47	The motion in part No. So 911 gets judgment room?
ParlaMint-NL_2020-07-02-tweedekamer-75.u48	Yeah, the motion to part No. 112 Court of Justice and Mr Dijkstra's motion, in part No. 108, I'm asking you to hold. I cannot make a financial decision on that at the moment. It always takes co-financing when you put something like that on a list.
ParlaMint-NL_2020-07-02-tweedekamer-75.u49	Mr. Dijkstra, are you willing to make the motion in part no. 108 to hold?
ParlaMint-NL_2020-07-02-tweedekamer-75.u50	Then I have the motion in part number. 111, inviting the Government to share with the Chamber the plans for international rail for the MIRT memo consultation. This motion, too, will be judged by Chamber.
ParlaMint-NL_2020-07-02-tweedekamer-75.u51	Also motion 111 judgment room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u52	Then I am at the end of the answer.
ParlaMint-NL_2020-07-02-tweedekamer-75.u53	Thanks for the quick answer. Then we'll go to the Minister's office.
ParlaMint-NL_2020-07-02-tweedekamer-75.u54	Thank you, Mr. Chairman. A few more questions, including those from Mrs Postma, about the N35. Indeed, I had a meeting with Deputy Boerman today. The question is whether all the N35 research for the NO MIRT is ready in the autumn and whether the final solution is the subject of discussion on 26 August. Mrs. Postma, you were well informed. We are indeed striving to discuss all the decision-making information with each other. I got another petition about noise and air pollution along the A4. What are we gonna do with that? In addition to this petition, there have also been many other reactions to the OTB, including from different municipalities. We are going to take a good look at all these reactions and on all these reactions we will get an answer. Mr Schonis asked another question about the planning offices and the pilots. You are well aware that this is done under the direction of Secretary of State, Mr Vijlbrief. We have also made clear agreements on this in the Climate Agreement. I assume that Mr Vijlbrief takes that as a very good starting point. That's what we agreed. Then Mrs. Van Esch. To include sustainability in the MIRT rules. We've already talked about that. You also know that the Mobility Fund revises the MIRT rules. I hope that in this process we will be able to take your concerns well into account in the new MIRT rules that we are going to shape. Your Chamber will, of course, be involved in this. Then there's the motions. I'll start with the motion in part No. 97, by Mr Van Aalst, on the N35. I have just answered Mrs Postma in detail about this. I would ask you to hold this motion until we have had that good discussion with the province of Overijssel.
ParlaMint-NL_2020-07-02-tweedekamer-75.u55	Please hold the motion in part No. 97 to, Mr. Van Aalst?
ParlaMint-NL_2020-07-02-tweedekamer-75.u56	If not, I'll have to discourage the motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u57	Yes.
ParlaMint-NL_2020-07-02-tweedekamer-75.u58	Then the motion to part No. 98, including Mr Van Aalst. It's about realizing the A67 as soon as possible. We have agreements on that within SmartwayZ. We have recently established the structure vision of A67 Leendere-Zaarderheiken. This doesn't fit in there. I'm dissuading the motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u59	The motion in part No. 98 is not recommended.
ParlaMint-NL_2020-07-02-tweedekamer-75.u60	Then the motion to part No. 99 also by Mr Van Aalst, calling for legislation to be removed, where possible, from the market for innovative ideas on the construction of infrastructure. This motion I give judgment Chamber.
ParlaMint-NL_2020-07-02-tweedekamer-75.u61	The motion in part No. 99 gets judgment, Room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u62	Then the motion to part No. 100 by Mrs Van Esch.
ParlaMint-NL_2020-07-02-tweedekamer-75.u63	You probably mean the motion in part No. 101.
ParlaMint-NL_2020-07-02-tweedekamer-75.u64	That's right. Excuse me! The research on the route decision will examine in detail what Mrs Van Esch is asking for. There will be a second opinion from the committee. So I would also advise against this motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u65	The motion in part No. 101 is not recommended.
ParlaMint-NL_2020-07-02-tweedekamer-75.u66	Then the motion to part No. 102. I should also like to advise against this, because we are simply sticking to the current laws and regulations. Of course, we are not going to move towards legally unsustainable route decisions.
ParlaMint-NL_2020-07-02-tweedekamer-75.u67	The motion in part No. 102 is not recommended.
ParlaMint-NL_2020-07-02-tweedekamer-75.u68	In the motion in part No. 103, tabled by Ms Postma, calls on the government to include road safety as an important pillar in the new NMCA. I think that's very important myself. Judgment Room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u69	The motion in part No. 103 gets judgment, Room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u70	The motion in part No. 106, by Mr Dijkstra, is about the project ZuidAsDoc. I would like to ask Mr Dijkstra to hold this motion because we are still very much in the process of specifying the costs. I do not want to anticipate the outcome of this, so I would ask Mr Dijkstra to hold his motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u71	Mr Dijkstra wants the motion to be put to the vote. This therefore means that the motion in part No. 106 is not recommended.
ParlaMint-NL_2020-07-02-tweedekamer-75.u72	The motion in part No. 107 also belongs to Mr Dijkstra. This motion calls on the government to ensure that decisions on the MIRT projects U-Ned, the exploration A12 Gouda-Oudenrijn and the large-scale housing in the polder Rijnenburg are properly coordinated. In this motion, he actually assumes that the housing will be there, but that is still being investigated. This is untimely. I advise against this motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u73	The motion in part No. 107 is not recommended.
ParlaMint-NL_2020-07-02-tweedekamer-75.u74	In the motion in part No. 109 the government is invited to deal with a coulant increase in the ceiling of the Road Safety Promotion Scheme if the contribution requested for the bicycle measures exceeds the ceiling. In between, I can lift a happy tip of a veil. You know that the scheme has been open since 1 July. We already have 73 project requests from municipalities. As a minister, that makes you very happy, especially when you see how difficult municipalities are sometimes. I don't know how much bike there is, but I hope we're going to do some really good business there. Mrs Kröger has the second request to ask the local authorities to come up with plans for speed bike routes. If we are aware that the initiative ultimately lies with the region, I can give this motion the Chamber's verdict. It must be clear that we are not going to make these plans ourselves for municipalities.
ParlaMint-NL_2020-07-02-tweedekamer-75.u75	The motion in part No. 109 gets judgment room.
ParlaMint-NL_2020-07-02-tweedekamer-75.u76	The motion in part No. 110 is in line with Mrs Van Esch's motion. I don't recommend that motion.
ParlaMint-NL_2020-07-02-tweedekamer-75.u77	I have a question about that, because farmers are protesting outside at the moment. This is actually about calculation rules that are much more favourable for asphalt, for which farmers and nature are responsible. Is the Minister not afraid that if she continues with certain route decisions, they will be legally unsustainable and will eventually die at the Council of State and that we will have a much longer route for the motorways she would like to build?
ParlaMint-NL_2020-07-02-tweedekamer-75.u78	Everything we do now complies with current laws and regulations. It has also been approved several times by the Council of State. As long as there are no other laws you have to abide by, you rely on the current laws and regulations. That's exactly what we're doing. The cabinet comes after the recess with a response to both Remkes and Hordijk's final report.
ParlaMint-NL_2020-07-02-tweedekamer-75.u79	Thank you for your prompt response.
