ParlaMint-NL_2020-12-08-tweedekamer-68.u1	Then we'll rush to the VAO Fisheries. Mrs Lodders is the first speaker.
ParlaMint-NL_2020-12-08-tweedekamer-68.u12	I have a point of order. I am sending a motion from the previous VAO and that is the motion in part No. 1161 by Mr Futselaar, but there is no name under it. So just before the administration, maybe you'd noticed. I was asked who tabled the motion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u13	The Griffin's gonna take a look. Yeah, that had become clear. They'd seen that. We stayed with Mr Wassenberg. Then comes Mr Bishop and then Mr Futselaar. So there are three more speakers on the side of the Chamber.
ParlaMint-NL_2020-12-08-tweedekamer-68.u14	Thank you, Mr. Chairman. I have three brief motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that on 15 December the fishing quotas for part of the fishing sector for 2021 are fixed;]] [[noting that quotas are established on the basis of scientific advice;]] [[having noted that no less than 52 out of 120 quotas for 2020 have been set higher than the scientific advice;]] [[calls on the Government to actively oppose increasing quotas in Europe over scientific advice,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are no quotas for certain fish species and that there is therefore no upper limit for these species;]] [[Whereas this entails the risk of overfishing;]] [[calls on the Government to establish quotas for all species of fish in Europe on the basis of scientific advice,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-85]] [[This motion was tabled by Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-86]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u15	Then a little introduction to my final motion. It is about not promoting fish consumption by the EU through subsidies. We just talked about that with the Minister. Last summer, the subsidised meat ads were in the news. I then tabled a motion for a resolution which the Chamber adopted. Now the same thing happens, but with fish. I know the Minister isn't happy about that. We are not happy with it either, because once again the EU pays for advertising, which is also broadcast in the Netherlands, this time in order to encourage the sale of fish. Once again, I ask the Minister to oppose this and again I would like to give the Minister a little support from the Chamber. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Commission is subsidising advertising to promote the consumption of fish;]] [[Whereas the Cabinet has indicated that it is not in favour of EU funding for the promotion of agricultural products, including meat;]] [[calls on the Government to actively oppose European subsidies for the promotion of fish consumption in Europe,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-87]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u16	Thank you, Mr President. I shall confine myself to tabling one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a ban on seine fishing and a 75% reduction in pike fishing on IJsselmeer and Markermeer has been proposed;]] [[Whereas stock estimates have not yet taken into account the huge reduction in fishing effort in recent years and therefore give a distorted picture;]] [[Whereas alternative sampling is still under way;]] [[calls on the Government not to carry out a generic reduction of fishing rights while the abovementioned stock survey is ongoing and stock estimates still need to be revised, and to allow for seine fishing on Lake Marker in conjunction with research on Lake IJssel,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-88]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u17	Thank you very much.
ParlaMint-NL_2020-12-08-tweedekamer-68.u18	I call Mr Futselaar. And I see that Mr Graus would like to register for this VAO. Okay. That's it. Mr. Funtselaar.
ParlaMint-NL_2020-12-08-tweedekamer-68.u19	Thank you. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the restoration of flat oyster reefs offers a profitable opportunity for both nature, climate, fishing and biodiversity;]] [[Considering that nature conservation organisations and private companies have demonstrated that the recovery of flat oyster reefs is possible and has developed a working method for this purpose;]] [[noting that flat oyster reefs as a characteristic species were found on a large scale in a healthier North Sea in the past;]] [[Whereas it is necessary to be able to protect flat oyster reefs within protected areas;]] [[calls on the Government to grant existing and future flat oyster reefs a protected status by adding them as "typical species" for protected areas in habitat type 1110 and 1140 profile documents and as biogenic structure in habitat type 1170,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-89]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u20	Thank you, Chairman.
ParlaMint-NL_2020-12-08-tweedekamer-68.u21	Thank you. I call Mr Graus on behalf of the PVV.
ParlaMint-NL_2020-12-08-tweedekamer-68.u22	Thank you, Madam President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to discuss with the British Government new arrangements for Dutch fishermen in British waters before Christmas,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-90]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u23	The final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[says that there can be no North Sea agreement without the fishermen,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33450-91]]
ParlaMint-NL_2020-12-08-tweedekamer-68.u24	Thank you, Madam President.
ParlaMint-NL_2020-12-08-tweedekamer-68.u25	Thank you. I am going to ask the Minister whether she would like to point out as briefly as possible in the appreciation of the motions, and perhaps not fully tell us what she is doing, because otherwise we are really going to run out of time. Yes, Minister, it's really crazy, I agree with you. Alone, we have to do it. We wait until the Minister has received the motions and has been able to judge them properly.
ParlaMint-NL_2020-12-08-tweedekamer-68.u26	I would like to resume the sitting and give the floor to the Minister.
ParlaMint-NL_2020-12-08-tweedekamer-68.u27	Mr. Chairman. With regard to motion in part No. 80: We have already made further agreements on the Frisian Front. They're just being followed up. This has also been done in consultation with fisheries. So this isn't an issue anymore. About the Borkum Stones I have indicated that I am willing to engage with the fishermen. That is now being anticipated. It must all lead to a different classification and be reduced. I said I'd like to talk about that. Here a problem is suggested with the Frisian Front and the Borkum Stones that I don't see. So I have to discourage this motion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u28	It says, "Less to limit." This is in line with what is generally shared in both areas. So I do not fully understand the Minister's opinion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u29	Since the general consultation we have also looked again at the Frisian Front. Good deals have been made. So there's no problem there anymore. About the Borkumse Stones I said that the question was whether the map was properly signed in. I have said that I want to discuss this with the fishermen, if they just come to me, to see how that needs to be adjusted. So there's no limit to that either. So I don't understand this motion in that sense. That's why I really have to dissuade her, as she is now formulated. Motion in part No. 81 is about impact analysis. We responded in the Kottervision to the socio-economic consequences for the primary sector. We have also worked out what the reorganisation looks like, what the perspective looks like and what the means are for it. We can also make use of different arrangements. So we're not gonna do impact analysis anymore. All that has already been done at the Kottervision. I advise against this motion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u30	We're not gonna make it. If we ask a question on all the motions, we're just not gonna make it.
ParlaMint-NL_2020-12-08-tweedekamer-68.u31	This is my last question. I'm telling you. I hear the Minister saying that some kind of impact analysis has already been done. Then I ask her to share it with the Chamber, regardless of any vision. We're not asking for nothing. In particular, it concerns the regions and the chain. It's hard for me, too, because I'm replacing someone.
ParlaMint-NL_2020-12-08-tweedekamer-68.u32	I understand that, but I have had this debate with Mr Weverling. I said there's a Kotter vision. In that Kottervision, attention is paid to all these aspects. If I have to do something about it when everything is already there... Mr President, your Chamber has the Kottervision.
ParlaMint-NL_2020-12-08-tweedekamer-68.u33	You dissuade the motion. The motion in part No. 82: the fishing industry.
ParlaMint-NL_2020-12-08-tweedekamer-68.u34	I have also talked to Mr Weverling about this. We want to ensure that there is fish migration. Then you don't go fishing on top of the fish migration spot, because then you always get hit, because those fish get twisted through it, so to speak. That 250 meters really is a normal size. So I advise against this motion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u35	Thank you. Motion in part No. 83.
ParlaMint-NL_2020-12-08-tweedekamer-68.u36	The motion in part No. 83 also requires some kind of impact analysis. There's a lot going on in the fishing industry. We have the Kottervision. I will answer the same question as Mrs Lodder's. We have also worked out how we support the communities. I advise against this motion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u37	Thank you. Motion in part No. 84.
ParlaMint-NL_2020-12-08-tweedekamer-68.u38	The motion in part No. 84 is in line with our bet. I can give this motion judgment chamber.
ParlaMint-NL_2020-12-08-tweedekamer-68.u39	Thank you. Motion in part No. 85.
ParlaMint-NL_2020-12-08-tweedekamer-68.u40	We always look at what Isis says. We also depend on what third countries find. We are also looking at the situation of fish stocks. I advise against this motion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u41	Thank you. Motion in part No. 86.
ParlaMint-NL_2020-12-08-tweedekamer-68.u42	Isis is also investigating the number of species and may or may not adopt an opinion on them. For some species Isis gives a different advice, for example, which is not fished at all. Quota management shall monitor the most vulnerable species. Data are not collected for other species. So this motion goes too far, and that's why I'm unsuspecting her. Motion in part No. 87 is about advertising subsidies. We are against subsidies of this kind, but the time has come to find something. Not that I do not think that Mr Wassenberg is right, but I am not going to argue for it now because it has no momentum.
ParlaMint-NL_2020-12-08-tweedekamer-68.u43	Thank you. The motion in part No. 88.
ParlaMint-NL_2020-12-08-tweedekamer-68.u44	So I'm deceiving the motion in part no. 88.
ParlaMint-NL_2020-12-08-tweedekamer-68.u45	We are not going to stop these ads anymore, but there will probably be advertisements again in 2021 and 2022. The Minister or her successor may also oppose this. That's the intention of the motion.
ParlaMint-NL_2020-12-08-tweedekamer-68.u46	If that's what's in store, I'm gonna stand up to it. It's not up ahead. And what my successor is going to do is for the next phase. No generic reduction. Let's see. I have discussed this in great detail in general terms. I have to discourage this motion. The need for reduction is really too great. We need action now. The motion in part No. 89 I can give judgment Chamber.
ParlaMint-NL_2020-12-08-tweedekamer-68.u47	Good. Then we'll go to No. 90.
ParlaMint-NL_2020-12-08-tweedekamer-68.u48	The motion in part No. 90. The European Commission is negotiating on behalf of all the Member States, precisely in order to be stronger together, so we do not recommend this motion. And the motion in part No. 91 is a speech-out.
ParlaMint-NL_2020-12-08-tweedekamer-68.u49	Thank you. This VAO has come to an end.
ParlaMint-NL_2020-12-08-tweedekamer-68.u50	We will vote on the motions next Tuesday.
