ParlaMint-NL_2020-10-01-tweedekamer-7.u1	Now let's move on to the General Financial Reviews.
ParlaMint-NL_2020-10-01-tweedekamer-7.u12	I heard Mr Slootweg. I believe that this has been discussed before during the debate on air tax.
ParlaMint-NL_2020-10-01-tweedekamer-7.u13	Thank you for responding to the 4.5 billion in fossil subsidies. I asked the following question. It's gonna take a while to get a picture of it first. There was some uncertainty about how much it is, but now we have that in view. Wouldn't it be good to keep it in view by giving it a permanent place in the Millions note so that we can follow it and we can also follow that it's being phased out? Because we fully share that objective.
ParlaMint-NL_2020-10-01-tweedekamer-7.u14	Maybe I can come back to that in the second term? I need to talk to the boss of the Millions Note, who's behind me. But this does not seem to me to be a bad idea in terms of transparency at all. Which brings me to honest, fairer business. I am going to say something about fair taxation, something about transparency and something about the tax governance code. I would also like to say a few words about the committee that Mr Sneller asked for, which still has to be set up, and about the transfer companies. This is a subject close to my heart. I am extremely pleased that my predecessor has set up the committee on the balanced taxation of multinationals, better known as Mr Bernard ter Haar, who has now achieved national fame as the Ter Haar Committee, because the committee has provided important input, including on this budget. The impression that, in the first term, what emerged on the side of the Chamber that companies would easily get rid of this cabinet is strange to me, given that we are structurally increasing 700 million in burden for multinationals in this budget. We'll do that on the basis of this report. We do not do that to bully multinationals, but we do so because we like to make the loss relief in the Netherlands fairer so that you cannot deduct infinitely 100% losses. That's what we do in the loss account. That letter of amendment is coming to you. Some sort of lower limit is being created in corporation tax, and I am very much in favour of that. The second measure we are taking is to combat international mismatch: the fact that you can deduct some costs in one country and that they are not taxed at all in another country. We are also going to do something about the so-called info-capping system, as it is called in the language of the thief of taxation. This brings us to 700 million interventions in the multinationals. I'm coming to see you, too. That's already been sent to your Chamber. I'm sorry about the liquidation and strike loss scheme. I would like to look at Mr Sneller, because he has played a special role in this with the legislative proposal. This is how we try to make the taxation of multinationals, large companies, fairer. I also announced in spring that I am considering introducing a withholding tax on dividend flows to low-tax jurisdictions, also known as tax havens. I'll come to you in the spring with a bill. In short, what the cabinet is doing there in terms of fairer taxation for businesses is not small. I want to say that again. This fits very well in the image in which you try to help the business community again: but pay a decent tax, please. Mr Snels asked for transparency: can we become transpanter over what multinationals pay each year and so on? That's in the same language I've just mentioned, the fiscal language, known as public country-by-country reporting. We already have country-by-country reporting where tax authorities exchange this kind of material among themselves. There is a discussion going on in Brussels about whether this should not become public. The Netherlands takes a positive stance on this; the Netherlands is for that. This debate is taking place today in Brussels. I also think it is good to do this at European level. It is wise not to do this on your own, because the question is whether it makes a lot of sense. That is the answer to Mr Snels' question on transparency. Then there was also a question...
ParlaMint-NL_2020-10-01-tweedekamer-7.u15	There is one of Mr Mulder's now.
ParlaMint-NL_2020-10-01-tweedekamer-7.u16	About doing it alone or not. Does that also apply to the flight tax?
ParlaMint-NL_2020-10-01-tweedekamer-7.u17	Mr Mulder takes the words out of my mouth. I have just said about the flight tax that I would have a great preference to apply excise duty on kerosene. That must indeed be done in Brussels. As long as that does not happen and flight is not taxed at all and all other forms of transport does, we will take a measure at national level, which is, by the way, very underserved, through the ticket tax. Which brings me to the tax...
ParlaMint-NL_2020-10-01-tweedekamer-7.u18	I have the impression that Mr. Snels still has a question.
ParlaMint-NL_2020-10-01-tweedekamer-7.u19	Yeah, about transparency. In the first term, I asked that question through an interruption and through Mr Sneller to the Secretary of State. It is also about the Ter Haar Committee. I'm for country-by-country reporting, so we can make it public. But the Ter Haar committee had great difficulty getting data. Of course, that has something to do with Article 67 of the AWR, the obligation of confidentiality. Now we see it again with Tata: we don't really know. The Ter Haar committee says: now obliges large companies, multinationals, to also make commercial profits public. Then you have the tax profit, then you have the commercial profit and then you finally get a real view on how much tax these companies pay. I wonder whether the Secretary of State would like to take this proposal from the Ter Haar Committee to heart.
ParlaMint-NL_2020-10-01-tweedekamer-7.u20	I do not know whether there is much light between what I just mentioned, the public country-by-country reporting, so the country reporting that becomes public according to a certain format, and on the other hand what Mr Snels is now asking. I feel like if you do the first thing, you're gonna make it to the second. But I see Mr Snels shaking no, so I think there's still light in there.
ParlaMint-NL_2020-10-01-tweedekamer-7.u21	Yes, because otherwise the Ter Haar committee would have had no problem getting the data. This group of companies isn't that big. Which one would you like to take? The 25 of the AEX, or the multinationals? This is, of course, ultimately about sensitive data and leads to competitive information. And yet the Ter Haar Committee says: "Make it mandatory to make it transparent per company what the commercial profit is, what the tax profit is, so that you can really see per company, public and transparent for everyone, how much profit tax these companies pay. That really goes a step further than the proposal referred to by the Secretary of State.
ParlaMint-NL_2020-10-01-tweedekamer-7.u22	I'll check between the first and second term to see if that difference is really that big. I have a slightly different lecture from the public country-by-country reporting, and I have to say that in this case it really helps if you roll this out at European level, so to speak. Because you are not waiting for material about only Dutch multinationals. This, of course, plays a wider role. So let me see what exactly is the difference between what Ter Haar says and what you're advocating on the one hand, and my public country-by-country reporting on the other.
ParlaMint-NL_2020-10-01-tweedekamer-7.u23	That's fine, Secretary of State. But let me give you an example. It is always investigative journalists who put on the agenda how much tax companies pay. My bill on the liquidation loss scheme and its support ultimately stem from the fact that Trouw showed that Shell does not pay any profit tax at all. We now have the example of Tata Steel. This often has nothing to do with the international approach to tax avoidance, but with the fact that we ourselves do not know how our own Dutch tax system works for large companies. I sometimes feel rather lonely to do something about it as a Member of Parliament with own-initiative proposals when you don't have the information. It is precisely this knowledge that we need to make more transparent. I think it's really crucial that we get that knowledge. And then I think the Secretary of State should do something about AWR, article 67. And I admit that's kind of a tough discussion.
ParlaMint-NL_2020-10-01-tweedekamer-7.u24	I am not trying to avoid a difficult discussion, and Mr Snels does not have to be lonely, because I am with him and I am in favour of this. But let me see between the first and the second term what exactly is light between what I say and what he says. Which brings me to the tax governance code. In the Fiscal Policy Agenda 2019, the Cabinet stated that it would be desirable if the business community and the tax advisory sector together developed a tax governance code. An EC bundle has been created about it under the direction of Professor Hans Gribnau. This bundle is expected to be completed soon. Then we at the Ministry of Finance will try to develop a roadmap towards such a tax governance code. I think this includes the other Secretary of State. Let's call it a form of regulation that makes people behave properly. Mr Sneller asked if there were any more details about the committee that is going to investigate streamers. Some people already call this the Ter Haar II Committee, but I can assure you that I have not yet asked Mr Ter Haar. Maybe I will. In the previous debate I held with the Chamber on the Tax Collection Act, I said that I would like to set up such a committee. I will come to the Chamber as soon as possible with a task assignment and with the composition of that committee. I will strive for a balanced composition, because it would be nice if the business community itself were to participate in this. This offers additional support, as we have noticed at the Ter Haar I Committee. That brings me to "fairer for citizens." Is taxation fair to citizens? Mr Stoffer has asked a number of questions about this, and he has particularly drawn attention to the position of the single-earners. A package of measures was chosen in the coalition agreement. It was really intended that both groups, the single-earners and the two-earners, would progress about the same or would not progress. According to our information, this period of office has been quite successful. Mr Stoffer says: I would have liked that hole to be smaller. Now it is unfortunate that there will be a committee capacity. I'll go through committees, I realize. However, there is a committee capacity coming from the same debate at the request of Mr Omtzigt, who called for attention to be given to the position of the principle of carrying capacity in taxation. I said it would be a good idea to have that looked at. Perhaps, as I say to Mr Stoffer, I could ask that the same committee also map the position of a earner and show what we can do about it. I would add that, of course, there are more principles in the tax system than just carrying capacity. For example, there is also a desire to promote participation. So it's gonna come back in there. Which brings me to the headline: better. I'll start with the unequal tax treatment...
ParlaMint-NL_2020-10-01-tweedekamer-7.u25	Perhaps it would be a good idea if I first gave Mr Nijboer the opportunity to ask a question.
ParlaMint-NL_2020-10-01-tweedekamer-7.u26	The Secretary of State rightly points out that we are doing quite a lot about tax avoidance. We're taking measures, and we're also raising money. I've thrown the cabinet in my face every time that I think it's such a perverse argument that if you take tax avoidance, you want to give it back by another way. I haven't actually heard the Secretary of State about that. I actually think that's rewarding bad behavior. If you first avoid tax, the cabinet takes good measures, but then it is said: yes, but then the rate has to go down, otherwise business will pay more tax. How does the Secretary of State view this?
ParlaMint-NL_2020-10-01-tweedekamer-7.u27	It is not a law of Meden and Persians that, to put it in technical terms, if you broaden the support, which must always come back to a reduction in the rate in that same domain. Let me give you an example of the fact that we have a burden increase of 700 million in this Tax Plan through the loss relief and arm's-length principle. This does not come back in the form of lower rates.
ParlaMint-NL_2020-10-01-tweedekamer-7.u28	No, I didn't. But that reasoning is the basis of the coalition agreement. That is why I am also asking this Secretary of State, because I am always curious how new rulers look at it in the most important financial debate of the year. That's where the dividend tax comes from, then the Vpb reduction and we'll be talking about the BIK later. That is where it comes from, because the burden on businesses must not increase on balance. If you look at the measures that are being taken, such as tackling tax avoidance, which is sometimes even against evasion, then I think that this should simply benefit the general resources and reduce the burden on citizens. That reasoning has been a bit of a cornerstone of this cabinet's budgetary policy. But if the Secretary of State agrees with me that that is not really wise, then I am very satisfied and then perhaps we can do something about it.
ParlaMint-NL_2020-10-01-tweedekamer-7.u29	No, the Secretary of State doesn't say that's not wise. It is not so strange that we are also doing so in the case of citizens in order to link acceptance widening and tariff reduction. We have already done this once in the case of income tax, in the case of previous tax reforms. That is not strange in itself, but it is not a law of Meden and Persians, that is the term I just used, that it should always remain in the same domain, I say to Mr Nijboer. I can imagine that at some point you will find that a particular type of tax is more appropriate in the future. But that does not necessarily mean that it should remain in the same domain. I think that's the nuanced answer to this. I'd come to better taxation. Equity and debt, and the cost of it, is something close to my heart. I actually had the idea of saying that in March or April, too, in the press, in order to further limit the interest deduction for companies. I also saw that this would add to the burden on business. I am actually very pleased that we have now decided in the Millions Note to look at the capital deductions in the decision-making process. This is a deduction that applies not only to debt but also to equity. It's actually the logical economist's answer to the question of how best to deal with the problem that the minister just extensively appointed for the Dutch economy as a whole, and that also plays a very important role in business. That is in good Dutch "overleverage," the fact that companies finance themselves too much with borrowed assets, subtract the interest and thus make more profit. Of course, that's a flywheel that's spinning. Anyone who has learned this at the university knows that this is called the "heavy effect." That's exactly what's happening. But that is something that can get in your way in the long run, because it can limit the resilience of business. What I am about to look at in a study, which we are trying to complete in such a way that it could also be on the table at the formation, is whether we can go to a capital deduction: that means that both the costs of equity and of debt become deductible for the Vpb. This is complicated because the cost of own funds is more difficult to determine. That leads to all kinds of tax questions, but we're gonna try. I'm happy about that, too. That goes with a closed cut, by the way. There was also a zero in the Millions Note for this, which means that we are likely to increase the cost of debt and lower the cost of equity. You already understood that, because otherwise there can be no zero. Which brings me to a better box 3. You may not all have the word "better" in your head at box 3, but it needs to get better. I really think that we should do everything in our power to achieve a real rate of return. I think I'm the eighth Secretary of State... No, it can't be: this is from the beginning of this century, so I'm the fourth or fifth one who's pursuing that goal, who's a little tired of the flat-rate system, who's tired of the legal problems and who's tired of the injustice involved. The Members who were in the debate on this know that I have announced an inquiry into how this can be done in practice. I got some cynical reactions when I announced the next investigation, but that was a little faint, because I'm gonna do a different kind of investigation. I'll have a look into whether the technique still limits us in keeping track of the actual rate of return. My own point is that this should not be the case, with all the modern technology we have today. This would mean that this should also be possible for tax purposes. There are still a lot of difficult questions coming from behind, but that is the goal. As a step in this direction, we have now decided to increase the duty-free rate in the rate of return from €30,000 to €50,000. That's not small. This means that the number of taxpayers in box 3 decreases from 3 million to 2.1 million. All people between €220,000 capital, single, and €440,000 capital, partners, are improving on the situation in which we would not have done so. I think that is an improvement in the system, but that is not quite the end, because we are going to look at the real rate of return. Mr Alkaya asked in the first term when we can expect the state of the millionaire tax investigation. We included that in the building blocks, so there are two variants for a millionaire tax in the report on tax building blocks. In my view, this meets a motion by Mr Alkaya and Mr Van Weyenberg, if I recall correctly. I believe that this is the answer to Mr Alkaya's question. Mr Van Otterloo asked: if you would gradually increase that tax-free capital by €25,000 each year, how much would that cost? That's 210 million. Then we'll cut the tape with the surcharges. This means that we leave the power limit in the surcharges where it is now, as is the case in the current proposal in the Millions Note. Then it costs 210 million per €25,000 higher exemption.
ParlaMint-NL_2020-10-01-tweedekamer-7.u30	A brief question from Mr Van Otterloo on this point.
ParlaMint-NL_2020-10-01-tweedekamer-7.u31	Yes, a short question, which also has a relationship with what the Secretary of State just said about box 3. Mr Snel's previous proposals were also based on budgetary neutrality. That led to fairly complicated images. But at the moment there is a risk of negative interest on savings. At the same time, the percentages that are still in the Tax Plan for next year, but which were also in force in all previous years, are characterised by the people who have to pay it as expropriation. So how do we deal with that now? Because it is very good that it is being investigated whether it can be done better technically. I am totally in favour of this, but the question is also how we deal with the old problem.
ParlaMint-NL_2020-10-01-tweedekamer-7.u32	Mr Van Otterloo is right: there is an old problem in this area. In the short term, I will come to the Chamber with a letter to indicate how we will deal with this. That is the problem of the past. He is also right that savings rates are now extremely low. I am trying, by increasing that duty-free foot, to take a first simple step that is also feasible. That is in fact the imperfect answer to this problem. So I admit immediately that it is an imperfect answer, but it is the feasible answer at the moment. (NL) Mr President, finally, in this small block. Mr Van Otterloo asked why I did that start-up exemption; I'm just saying homely. Why did you do that, why did you work with an age and not just "the first time you get this, no matter how old you are"? I'm not gonna tell you if I wanted to. It sounds very reasonable what Mr Van Otterloo is asking, but this really is not feasible. We have looked very closely at this and the only thing that was feasible here and closest to reality as we experience it on a daily basis was an age limit. I understand, here too, that Mr Van Otterloo considers this to be imperfect, but that is the case in this sub-manic case. I can't do it.
ParlaMint-NL_2020-10-01-tweedekamer-7.u33	I don't believe in heaven; so I don't expect it to be better there either. But on this subject. It is presented as a starter scheme, but in fact it is an age point. You're not 35 yet, and then you can take advantage of it. However, I am constantly hearing talk about the start-up scheme, while it is not a start-up scheme. The question is whether there can be no more clarity for the public either. Why, for example, didn't we look at a different age, which makes it possible for people to pay off their student debt first and then get paid to buy a home? Many people still have a student debt and are therefore not in a position to buy a property if they do not have rich parents.
ParlaMint-NL_2020-10-01-tweedekamer-7.u34	I understand Mr Van Otterloo's question, but unfortunately the answer remains somewhat the same. We checked to see if we could find a form in which we could implement a start-up exemption. The best approach of a starter is an age limit. You can also set it to 36 or 34, but that's how we came up with this proposal. If Mr Van Otterloo says 'you must be more clear about the fact that this actually means an age limit', then I say this very clearly now, also for the camera. The other way, so as the first home, we can't do that; you know that, with a starter. Mr. Chairman. This brings me to the subject I think most discussed in the first part, at least in my field, the tax field, namely the Job-related Investment Discount, the BIK. I see everyone standing up and I see Mr Azarkan nodding. Two times two billion euros. I'm gonna try to explain how the thing works first. Then I will set out the objectives and then I will answer a number of questions. I'll add that next Monday's bill will be coming your way, in full detail. I cannot yet mention certain details, because the bill is still with the Council of State. Two times two billion euros. How does the thing work? The thing works like this. It's an investment deduction. A certain percentage of the investment made by an entrepreneur may be deducted from the wage charge. Why is this thing executable? I am a little ahead of the questions of feasibility; I shall come back to Mr Alkaya's question in greater detail later. Because we have followed the system of the Research and Development Promotion Act, the Wbso. It works in exactly the same way. In the first term it was asked: but there is also structural budget? Yes, but that structural budget came from the Vpb reduction in the previous Tax Plan. That VPB cut was an employer's tax cut. For two years we have taken this employers' reduction to do something specific with it. Maybe I can try to explain the purpose, because it was somewhat confusing in the first term, I found myself. It's actually a very simple idea. Private investment is the most important spending category in this type of highly advanced economies. It is more important than consumption, more important than exports and more important than public expenditure. Why is that? That is because the investments have two effects. Investment creates spending. You buy it. You need to buy a machine, a bakery machine, a car, et cetera. At the same time, production capacity is created in companies. That is what we call the capacity effect. That's what investments do. So if these private investments fall, it will not only have an effect on the economy in this year or next year, but a much longer-term effect. Investment is, as it were, the turning point between the short-term and the long-term. The aim of this reduction is to maintain investment levels in a crisis in which a restriction from the outside, a pandemic, the economy, threatens to fall silent. I don't think anyone here is denying that these private investments are going down. People say they'll be back next year. Yeah, that's true, but we're losing a little bit. Secondly, we do not know whether next year is going to be as "favourable" as it is now estimated. Private investment is therefore crucial in such economies. We have now tried to take a piece of the relief for companies and reserve it for two years, twice 2 billion, for a specific type of discount, so that investment becomes more attractive. It is about making additional investments, but above all it is also about bringing forward planned investments. You recognize it, because the Minister's contribution just brought back the issue of public investment. That's what you're trying to do here. These investments are being brought forward. It is a temporary arrangement, which focuses only on new investments. They must be put into service within two and a half years. That is basically the architecture of the Job Oriented Investment Discount. Mr Alkaya asked whether the cabinet had looked at alternatives. Yeah, of course we did. There was a VPB cut in the books, I say to Mr Alkaya. You can also opt for random write-off, early write-off. The advantage of the Job Oriented Investment Discount, the BIK, is that it also works for companies that make no profit. There are quite a few of them in this time. So that's what we've been looking at. Then there were a number of interventions about the impact on employment. I therefore deliberately take the instrument as an investment-oriented instrument. Of course, you do it eventually to keep jobs, but every entrepreneur knows that you invest to keep jobs. So I say to Mr Nijboer and Mr Alkaya, who stressed the importance of jobs in particular: yes, that is really the purpose of this instrument. There are other instruments for that. We don't have to have a shadow fight over it that there are other instruments. You can also reduce employers' costs. Of course you can. Of course you can. But I repeat my point: we, the cabinet, have thought that at this stage, in which you are in between recovery and crisis and where, let us be quite honest, you also don't know exactly where you are. I didn't know two months ago that we would be at this stage of the economy if such an investment-oriented instrument were to work best. Mr. President, do you want me to finish the BIK block first?
ParlaMint-NL_2020-10-01-tweedekamer-7.u35	I did want to see where you were around the BIK.
ParlaMint-NL_2020-10-01-tweedekamer-7.u36	Just a few more minutes. I've got a few things left.
ParlaMint-NL_2020-10-01-tweedekamer-7.u37	Let's do that. I shall then give the Chamber every opportunity to ask further questions.
ParlaMint-NL_2020-10-01-tweedekamer-7.u38	Mr. Chairman. There were quite a few questions about whether the BIK is also aimed at SMEs. The answer to that is simply yes. We're gonna put in the arrangement that comes to you on Monday. So we're going to make sure that smaller investments get a relatively higher deduction than a larger investment. Our estimate now is that about 60% of the BIK funds, to name but a few, will end up with SMEs. Contrary to what is stated in the Millions Note, I have also indicated that in my brief letter of Tuesday, all the other schemes that exist, the small scale investment deduction, the Energy Investment Deduction, the MIA and the VAMIL, all remain alongside the BIK. This means that the BIK stimulates both green investments, because you also keep your green jerking off, as well as focusing on SMEs. That brings me to the execution. Mr Alkaya asked very explicitly whether it was feasible, as a result of reports in the newspaper that I have read. There are two implementing organisations involved in this. That's the National Service for Entrepreneurship Netherlands, the RVO, and the Tax Administration. I repeat the system of the Wbso. It also works in exactly the same way. It is also the case with the Wbso that it is carried out in principle by the RVO, the department of Economic Affairs. The information will then be forwarded to the Tax Administration. We, and also these implementing organisations, believe that this regulation is feasible. Only new investments are eligible. We will also keep the implementation organisations involved in the development of this. Then there's something else I need to say about the trial around here. I have written a sentence in the letter that I am deeply sorry about; it happens sometimes that you write a sentence that you think: well, I should have written a different sentence. That's the sentence about the WOB. I do not mean to say that, in particular, to Mr Alkaya and Mr Azarkan to send the Chamber documents only after three months of plowing through all the WOB documents, because that is, I believe, what Mr Azarkan, whom I often encounter in tax debates, was afraid of. That is by no means the case. I think we'll really be in a week, two weeks... I will do my utmost to send the underlying documents to your Chamber before we have the first legislative consultation on the Tax Plan. Then I have one question left and that is perhaps the nicest question for someone who is 57 years old and started his career at Economic Affairs when the Investment Account Act had just been abolished and people who knew the WIR were still out there. Mr Bruins, Mr Nijboer and Mr Snels asked, in response to the comments made by the Central Planning Bureau in the Macro-Economic Exploration, in so many words: what is the situation, are you just re-entering the WIR and are we going to get back to all the problems? The answer is, of course, no, I would never do that. A major problem with the WIR was that the company's assets could have been used before, causing so-called carousel fraud. And you can't do that with the BIK, because you can only use new business resources for it. Furthermore, it now works so that you can only cash the BIK if you employ staff. So it doesn't work for empty bvs, because then you don't pay a wage charge. So that's a second guarantee. A third guarantee that makes it different from the WIR is that the investments must be fully paid by the end of 2022 and that the assets must be put into service six months later. Finally, we have strictly budgeted the BIK. That means two times two billion. That also means that next year when we see that things are getting out of hand, we can intervene and we can sever the percentage for the following year to zero if necessary. We believe that we have built in sufficient budgetary security. Then I will end this subject with Mr Bruins' question as to whether the cabinet will take care of an SME test. The answer to that is: yes, we will gladly do so. In any case, we will continue to work closely with entrepreneurs in the drafting of the legislation, but we will be happy to carry out such an SME test. Then I guess I've had the subject of Job-related Investment Discount.
ParlaMint-NL_2020-10-01-tweedekamer-7.u39	I have reason to suspect that there are some questions. I will start with Mr Nijboer, then Mr Azarkan and then Mr Alkaya, and then we will look further. Mr. Nijboer.
ParlaMint-NL_2020-10-01-tweedekamer-7.u40	It's quite a relief if the Secretary of State admits such a mistake about the WOB so generously. He's talking about a "subject" now; maybe he can say a little bit about this subject after the end of the Tax Plan: well, that wasn't such a good idea, this BIK. I am not going to ask about the details of the arrangement because as a Chamber we have just not received any documents or any legislative proposal. So about all these percentages and the difference with the WIR and the like, we are going to hold hearings and we also have the Tax Plan. I am going to ask a key question now, which is about the purpose of the scheme. That objective is to enable investment and job retention, at least if I understand correctly. My question is whether the cabinet is also open to methods that might bring these two objectives closer and even closer. I am referring in particular to the landlord tax. Research has been done on this: 60,000 jobs, investment in housing is also falling. The lesson from the previous crisis is: do not go into times of crisis to get all your construction workers out on the street. We saw BAM's messages yesterday. Is it open to the cabinet, if there is a better interpretation, which really is better for investment, job retention and the prevention of unemployment, to look at a more detailed interpretation?
