ParlaMint-NL_2020-02-19-tweedekamer-4.u1	We continue with the VAO Education and Care. I give the floor to Mr Beertema.
ParlaMint-NL_2020-02-19-tweedekamer-4.u17	Mr. Chairman. We had a good debate with both ministers. And yet, it can always be a little bit better. That's why we've got the next few motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the number of pupils at home has not decreased since the conclusion of the so-called 'Home Seasonal Pact';]] [[noting that no annual target for reducing the number of pupils at home has been set in the Home Seasonal Pact;]] [[and noting that the Home Seasonal Pact is an example of a non-binding administrative agreement with no binding effect;]] [[calls on the Government to make binding agreements with all parties concerned on reducing the number of pupils at home including annual targets to be achieved, and to inform the Court of Justice of this before the summer,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Meenen and Westerveld. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-351]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u18	This follows on from the motion that I was allowed to table together with Mr Beertema. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that each child is entitled to optimum development and education;]] [[noting that some of the children need support and care in order to exercise this right to development and education;]] [[Whereas the public authorities strictly separate the resources needed for support and care from those needed for education;]] [[Whereas this separation of children's opportunities is an active obstacle and creates a heavy bureaucratic burden for parents, teachers, school leaders and other stakeholders;]] [[calls on the Government to release the funds for education and support and care in education,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-352]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u19	Finally, Mr President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting the government's intention to set up pilots in two regions and thus to provide scope for the collective financing of education care in practice;]] [[Whereas it is intended to provide all the energy and time needed to provide care and education for the most vulnerable group of children by maximising the burden on parents, schools and other stakeholders;]] [[Whereas this need and necessity exists throughout the country;]] [[calls on the Government to give this opportunity to any region requesting a pilot and the associated regulatory space, and to actively publish the possibility to do so,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-353]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u20	I have a question about the final motion. It's a pilot. You're running a pilot because you want to see if anything you want to put in later is gonna work. By broadening the pilot so far, we also ensure that there is a risk that a much larger group of vulnerable children will suffer disadvantages if such a pilot is not achieved or is not effective. How does Mr Van Meenen view this? It is important for me to judge this motion.
ParlaMint-NL_2020-02-19-tweedekamer-4.u21	I understand. In my opinion, we have agreed on an objective in the coalition agreement, namely to go as far as possible towards collective funding and to make a real provision for schools that teach the most vulnerable pupils. The pilot is heading in that direction. But those kids are all over the country. I want to give them that opportunity. I think that pilot is mainly meant to give that space and, of course, to learn from it. I think there are a lot more places where we can do that and there are also a lot of places that are actually already well prepared to get that opportunity.
ParlaMint-NL_2020-02-19-tweedekamer-4.u22	Thank you. I'll suspend for a few moments. No. Excuse me, I was too fast. Mr. Lordema, you are absolutely right. You also have two minutes to speak. I was going too fast.
ParlaMint-NL_2020-02-19-tweedekamer-4.u23	You're clearly not being favored by the same party, Mr. Chairman!
ParlaMint-NL_2020-02-19-tweedekamer-4.u24	I was going too fast.
ParlaMint-NL_2020-02-19-tweedekamer-4.u25	Mr. Chairman. One motion from my hand. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Home Seasonal Pact had the aim of not having a child at home for more than three months by 2020 and that this target was not achieved, with more children staying home for three months or more than the previous year by 2020;]] [[Considering that, following the poor results of the Home Seasonal Pact, the Minister announced plans to oblige partnerships to regulate a perseverance force, but that the Chamber still has to wait for more than one year for a legislative proposal on this matter;]] [[believes that every effort should be made to get as many children back to school as possible;]] [[Calls on the Government to submit a concrete legislative proposal before the summer of 2020 on the obligation of partnerships to regulate a perseverance force for consultation and to send it to the Chamber by 1 October 2020;]] [[calls on the Government to provide an overview of the concrete results of the announced acceleration approaches to reduce the number of home seats and to inform the Court of Justice of this before the summer recess 2020;]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Rudmer Heerema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31497-354]]
ParlaMint-NL_2020-02-19-tweedekamer-4.u26	I shall now suspend the sitting for a few moments.
ParlaMint-NL_2020-02-19-tweedekamer-4.u27	The Minister has the floor.
ParlaMint-NL_2020-02-19-tweedekamer-4.u28	Mr. Chairman. I would like to thank the Chamber for its contribution to this VAO. We have indeed had a very extensive and intensive general discussion, where I was present not only on behalf of the cabinet, but also my colleague De Jonge. For your miraculous reasons, you have kept him from being here, but there are two motions that touch him. That's about the motion in part No. 349 by Mrs Westerveld and Mr Kwint and the motion for a resolution tabled by Mrs Westerveld on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party I will ask Mr De Jonge to send you a written response before the vote. The other motions affect my policy area, so I will respond to that. First of all, the motion in part No. 346, which I see as a follow-up to the motion tabled by Mr Van Meenen on item No. 351. This affects the period that we are going to conclude before the summer, where in the previous cabinet period two ministers and one secretary of state, but also the PO Council, the VO Council, Ingrado and the VNG, in short, a whole group of people involved in the home affairs issue, made the agreement to work on ensuring that no child sits home for more than three months in the summer of 2020. It is true that this has not been achieved. Does that mean that Mr Beertema indicated that, and that is how we know him in his role as opposition leader, that it immediately became a mess? The answer to that is no. Indeed, very good things have happened on all fronts. Much more cooperation has been achieved in the region. That is not enough, but there is movement on all fronts. The number of children dropping out of a school year has really fallen very much. We are also getting better and better to bring children back into the schools. But again, the figures for 'longer than three months' are indeed not good and in my opinion not acceptable either. We're not going to accept that either. But I have also indicated that the agreements that were made at the time, also with 'after three months it is only a homemaker', are no longer workable for me either. I have therefore announced that I will come forward with further proposals before the summer. Mr Van Meenen also asks for this in the motion on item No. 351, along with Mrs Westerveld. I will, of course, continue to try to reduce the number of home-owners in the coming months, but I will send you a new plan before the summer, with clear agreements and clear provisions of the roles, and, as far as I am concerned, less of a commitment than has been the case so far. I also read in Mr Van Meenen's motion that it should be 'binding'. That is, of course, always a legal issue, but we will continue to write down what is possible and what is not possible. I therefore advise against the motion in part No. 346, without taking a gram off the stakes we have, and I'm giving the motion in part No. 351 Judgment Room.
ParlaMint-NL_2020-02-19-tweedekamer-4.u29	The motion in part No. 346 is not recommended. The motion in part No. 351 is Judgment Room.
ParlaMint-NL_2020-02-19-tweedekamer-4.u30	I think that's very sad. We are now getting a whole story about the Home Seasonal Pact and that something will happen in three months' time. I've called for a halving. That is not very ambitious, and yet it is being pushed forward again. Does the Minister have so little faith in all these programmes and in himself? When it comes to perseverance and urgency, the Minister must be able to say with confidence: 'A halving? That's what we're gonna do."
ParlaMint-NL_2020-02-19-tweedekamer-4.u31	Mr Beertema is now going on with the old system. This is contrary to the way in which he used the figures during the general consultation. He believes that, in accordance with the Pact, I should continue to halve the number of homeowners, by the definition I have said that I really do not think it is enough. I just want to get rid of that in a couple of months, and you say, go on until the end of the cabinet period. Then I have to go on for almost a year with a definition that is not workable for me and which I find quite a few children sitting at home are not even in the picture. I'm not. I will continue with our approach. I have a lot of confidence in that and I see results too. But I also want to be able to act much earlier and much more preventively. I'll present those plans to you before the summer. I would also like to take away the voluntary nature that some people are using to hide behind it a little bit. That is why I say 'yes' to the motion in part No. 351, while I oppose the motion in part No. 346 say: it's actually a bit of an old bite, so we shouldn't do it this way. And I say that separately from the objective, because, of course, we are working daily to reduce the number of homeowners.
ParlaMint-NL_2020-02-19-tweedekamer-4.u32	Mr Bertema, briefly.
ParlaMint-NL_2020-02-19-tweedekamer-4.u33	I think it's very sad. Years ago, at the entrance to appropriate education, there were 15,049 pupils at home, and now 14,897. That's hardly a difference. That is the situation in which we listen here to the Minister and to all these plans. Let me ask you a different question. There are now 14,897. What are you aiming for? If you leave with your cabinet Rutte III, how many homeowners are there?
ParlaMint-NL_2020-02-19-tweedekamer-4.u34	The fact that we now have more insight into figures also has to do with the approach of recent years. Much more attention has been paid to it. A lot more has come up. The figures you mention are, in part, the figures for 'longer than three months'. I also mentioned it in general consultation: if a child sits at home for three months minus one day, it is also a homemaker for me, and if a child sits at home for two months, it is also a homemaker. Every homemaker is one too many. So our commitment will just have to stay focused on getting homeowners back into the schools, in a good place. And the more the merrier. But you know how stubborn that is. We shall therefore continue to do so without delay. I don't think it's wise to go there again with all kinds of numbers. We just need to stay sharp and continue to strive for a good place for children.
ParlaMint-NL_2020-02-19-tweedekamer-4.u35	Thank you. I'll take a look at Mr. Heerema. Is this about a clarification of the motion?
ParlaMint-NL_2020-02-19-tweedekamer-4.u36	Yes, Mr President, I would like to clarify the Minister's answer. He uses two different interpretations in word "non-binding." I think it is important that this is clarified. First, he talks about less non-committalism towards schools and partnerships. A little later, he says "no strings attached." Then he'll tell me to get rid of the no strings. What does the Minister mean now? When it comes to the scope that we give to schools and partnerships to allow homeowners, there is a very big difference between them.
ParlaMint-NL_2020-02-19-tweedekamer-4.u37	That is the difference between what is possible on the basis of the current approach, with the present division of responsibility, and what I intend to do and what I want to inform you about before the summer. That is that these roles are much clearer and that you can appeal to those involved, including municipalities, much more clearly and better on their responsibility. I'm working hard to bring that to you more clearly. I think we should put our energy into that. We should not continue any longer than the coming summer with something that we have noticed has worked well on parts, but was not optimal in everything. Mr. Chairman. Then the second motion, the motion in part No. 347 by Mrs Westerveld and Mr Kwint. I can give him a ruling room.
ParlaMint-NL_2020-02-19-tweedekamer-4.u38	The motion in part No. 347 gets judgment room.
ParlaMint-NL_2020-02-19-tweedekamer-4.u39	There are some investigations into parental empowerment, but not yet in relation to this subject. So as far as we're concerned, that can be taken. You know that there is a great deal of energy going into the evaluation at the moment, so I hope you will understand that it is going ahead for a while. But we'll take care of this if the Chamber asks us to. Then the motion to part No. 348 by Mrs Westerveld and Mr Kwint. The initiative Together to School classes is indeed a very nice initiative. There is also in principle no legal objection to registering the children in a regular primary school. Then a school also receives the basic cost and additional resources can be made available through the partnerships. And if care is needed, then the municipality is covered. There is also no need for an exemption from compulsory education and for funding to run through the municipality. In that respect, therefore, you are right to note that we should not want to do so. I am willing to engage with the collaborations and with the Nsgk to further shape this. In secondary education, the situation is different, because there is a diploma requirement and these children cannot meet this requirement. But you know, we have also discussed it in the general discussion that education through the school can be arranged as a secondary location of, for example, a special school in the regular school. Once again, it falls under the banner of education. I am also talking about that. So I can give this motion judgment room.
ParlaMint-NL_2020-02-19-tweedekamer-4.u40	The motion in part No. 348 gets judgment, Chamber.
ParlaMint-NL_2020-02-19-tweedekamer-4.u41	Then we will further stimulate it and also promote it. That is, of course, what you are asking me to do in that regard. Mr. Chairman. Then the motion to part No. 349. I have indicated that my colleague will judge this.
ParlaMint-NL_2020-02-19-tweedekamer-4.u42	I believe that this judgment is given in writing.
ParlaMint-NL_2020-02-19-tweedekamer-4.u43	I have indicated that my colleague will judge this.
ParlaMint-NL_2020-02-19-tweedekamer-4.u44	I understand that, of course, but I would like to make two comments. The Minister said it was us who had decided in our wisdom that Minister De Jonge should not come. That really was Minister De Jonge himself who decided in his own wisdom not to come. Secondly, if I understand correctly, these motions will be put to the vote on Thursday.
ParlaMint-NL_2020-02-19-tweedekamer-4.u45	That's correct.
ParlaMint-NL_2020-02-19-tweedekamer-4.u46	Then we can at least say from this place to the Ministry of Health that they will have to make some haste, because those votes are already taking place quite quickly.
ParlaMint-NL_2020-02-19-tweedekamer-4.u47	We'll pass that on. I understood something else. But in any case, I'd like you to have a good judgment on these motions from VWS. That can be arranged in this way.
ParlaMint-NL_2020-02-19-tweedekamer-4.u48	That is about the motions on the items Nos. 349 and 352.
ParlaMint-NL_2020-02-19-tweedekamer-4.u49	I would like to make a comment on the motion for a resolution on item No. 349. I understand very well that Minister De Jonge will respond to that motion. I would like to draw this Minister's attention to the fact that this can, of course, also relieve the burden on education. Education also has to wait for the next decision of the municipality and therefore does not know what it is going to be. So perhaps the Minister could give this to his colleague to encourage him.
ParlaMint-NL_2020-02-19-tweedekamer-4.u50	I understand.
ParlaMint-NL_2020-02-19-tweedekamer-4.u51	I have to make a correction on the votes. I reported that they would take place on Thursday, but I just got the message that they will take place after the recess. So there is a little more time to make the motions on the items Nos. I would like to say to Mr Kwint that it is an appreciation of 349 and 352. The Minister continues with the appreciation. I think we are now at the motion in part No. 350.
ParlaMint-NL_2020-02-19-tweedekamer-4.u52	Yeah, the motion to part No. 350. There are two parts which are also in line with what I have said in general consultation, which I would like to see done in the near future. The first is to map it regionally and to categorize it. You know we're already working on that. I even intend to have the figures on a monthly basis, even in the context of the discussion that we do not want to wait too long to intervene if necessary. So I see the motion as an encouragement to continue with it. The second operative part concerns the request to re-examine the files that are now on the table. I will encourage the development of these regions, because it must be done there with the education counsellors and with the Behavioural Foundation, which also has a role to play in this, will, where possible, pick up the files that are there and continue to conduct them. It says very strictly "all files." Let us instruct them not to take dossiers for granted and to use them wherever possible. If that's how I understand the motion, I'll give her judgment Chamber. Then she is also in line with what I myself have indicated about my ideal with this kind of...
ParlaMint-NL_2020-02-19-tweedekamer-4.u53	The motion in part No. 350 gets judgment, Room.
ParlaMint-NL_2020-02-19-tweedekamer-4.u54	Then the motion to part No. 351. I have already given an opinion on this, namely Court of Justice. In the motion in part No. 352 asks Mr Van Meenen to...
ParlaMint-NL_2020-02-19-tweedekamer-4.u55	The motion in part No. 352 shall be dealt with in writing.
ParlaMint-NL_2020-02-19-tweedekamer-4.u56	Yes, it will be dealt with in writing. I must say that it is for the motion in part no. 353 goes. In it, Mr Van Meenen asks for some more opportunities for the pilots. You know that, even when it comes to how we finance things, sometimes there are limits to what is possible. But I understand the desire to see to what extent it is possible to set it up more broadly. I am prepared to take that up, to see what is possible there and to step outside the box of those two. I would like to make the point that, in the end, it must all be possible to pay, but you will understand that. I'm giving this motion judgment room.
ParlaMint-NL_2020-02-19-tweedekamer-4.u57	The motion in part No. 353 gets judgment, Chamber.
ParlaMint-NL_2020-02-19-tweedekamer-4.u58	Mr. Chairman. Then the motion to part No. 354 by Mr Heerema. I haven't gotten my hands on the motion yet. That's up to me, I guess. I've had so many. Can I have the motion for a second? First of all, the bill. I've already informed you that this bill is going into internet consultation in the spring. That's April. You know that, if it's been in internet consultation, it's not directly in the Chamber yet. Your wish is to have that before the summer, but that is quite impossible. This bill has already been put in line, just to put it in official language. The second request you are making concerns something I have already promised you. During the general consultation, I have already promised to inform you of this before the summer. So I advise against this motion. It is, in a sense, superfluous when it comes to the second operative part. What is stated in the first operative part is impossible, because it can never be as fast as it will be in internet consultation in April.
ParlaMint-NL_2020-02-19-tweedekamer-4.u59	The motion in part No. 354 is not recommended.
ParlaMint-NL_2020-02-19-tweedekamer-4.u60	I had asked to offer it for consultation before the summer. I think I'm already being helped on that point.
ParlaMint-NL_2020-02-19-tweedekamer-4.u61	Then you've already been served in it.
ParlaMint-NL_2020-02-19-tweedekamer-4.u62	I asked to offer it to the Chamber before 1 October. You say it's not feasible for the summer. I understand that, but October 1st seems feasible to me. If that were not feasible, what date would you have in mind to offer it to the Chamber?
ParlaMint-NL_2020-02-19-tweedekamer-4.u63	As soon as possible. If it is in internet consultation and then it comes out, then it goes further in the procedure. When it's done, we'll try to get to you with that. We think it's gonna be hard to offer it October 1st, but if we can, we'll do it right away. When it's done and it can go to the room, it goes to the room. There is no reason to leave it on the shelf for longer than is necessary.
ParlaMint-NL_2020-02-19-tweedekamer-4.u64	Thank you. This brings us to the end of the VAO Education and Care.
ParlaMint-NL_2020-02-19-tweedekamer-4.u65	The votes on the motions will take place after the recess.
