ParlaMint-NL_2020-02-18-tweedekamer-30.u1	The next item is the order of business. At the request of a number of Members, I propose that the following motions be renewed: 28625-266; 26407-120; 26407-119; 35300-A-18; 29398-781. I propose to carry out the following work: 32820-335; 2020Z01577; 34602-2; 31239-311; 33612-72; 30196-694; 32813-443; 31239-309; 32813-441; 29023-255; 32813-440; 33612-71; 31239-308; 3179-392; 30196-689; 32813-406; 27879-74; 32813-403; 29477-647; 35300-XVI-156; 33506-41; 21501-07-1648; 21501-20-1509; 35000-VIII-206; 31288-797; 31288-808; 32140-66; 34602-1; 28362-24; 26695-130; 29477-646; 29614-149; 25295-80; 25295-78; 32793-473; 25295-77; 25295-77; 2020Z00699; 3544-2; 29544-960; 28684-610; 31936-716; 29279-563; 196375; 2020Z00743; 24515-449; 29614-149; 25295-87; 25295-78; 32793-473; 25295-77; 25295-77; 2020Z00699; 3544-610; 31936-76-71; 29279-65; 2147; 2147; 2147-65; 2020Z00743; 2147-449; 214747; 247-449 I propose to add to the agenda: VAO Pregnancy and birth, with Mrs Ploumen as the first speaker on behalf of the PvdA.
ParlaMint-NL_2020-02-18-tweedekamer-30.u15	And an AO is a committee debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u16	So no support for a plenary debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u17	The general consultation takes place in the Thorbeckezaal. Important decisions are taken there too, so I'll see you there tomorrow. No support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u18	No support for a separate debate. We're gonna talk about it in committee tomorrow.
ParlaMint-NL_2020-02-18-tweedekamer-30.u19	The Christian Union also wants to talk about it in the committee debate tomorrow.
ParlaMint-NL_2020-02-18-tweedekamer-30.u20	Thank you, Mr. Van Aalst. You have no majority.
ParlaMint-NL_2020-02-18-tweedekamer-30.u21	I've seen it, Mr. Chairman. It's obvious.
ParlaMint-NL_2020-02-18-tweedekamer-30.u22	Then Mr Wiersma on behalf of the VVD.
ParlaMint-NL_2020-02-18-tweedekamer-30.u23	Mr President, thank you. Last week it was announced that knowledge institute Wetsus was hacked in Friesland. On Friday it became known that Iranian hackers are also active. We need to protect our knowledge institutions. We have already requested a debate on this, specifically on the case of Maastricht University, but I think it is right to start planning that debate shortly and to include the themes I mentioned. Then we get a broad debate about protecting our knowledge in the Netherlands.
ParlaMint-NL_2020-02-18-tweedekamer-30.u24	It is therefore a matter of planning an existing debate on the list as soon as possible.
ParlaMint-NL_2020-02-18-tweedekamer-30.u25	Yes. I briefly outlined the broader context of the things we've heard in the last week. I think they fit in very well.
ParlaMint-NL_2020-02-18-tweedekamer-30.u26	Mr. Chairman. We have a very long list of current debates. As far as we're concerned, no support. It is not the top priority at the moment.
ParlaMint-NL_2020-02-18-tweedekamer-30.u27	Mr. Chairman. Now that they are even hacking into Friesland: all the support to plan this debate quickly.
ParlaMint-NL_2020-02-18-tweedekamer-30.u28	Mr President, support for the debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u29	Support for the debate, but it does not have to be done in the very short term, because there are also issues such as inequality of opportunity on the agenda, which, as far as we are concerned, deserve priority rather than this debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u30	Mr Wiersma asked for this debate to be held in the short term. What exactly do you think is "short-term"?
ParlaMint-NL_2020-02-18-tweedekamer-30.u31	Well, after the recess, Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u32	What recess?
ParlaMint-NL_2020-02-18-tweedekamer-30.u33	After the coming spring recess. I can also imagine that the cabinet would like to send a letter on the case with Iranian students, but I would like to schedule this debate soon after the recess.
ParlaMint-NL_2020-02-18-tweedekamer-30.u34	Soon after the recess. Where's Mrs Westerveld? Do you or do you not support it?
ParlaMint-NL_2020-02-18-tweedekamer-30.u35	No.
ParlaMint-NL_2020-02-18-tweedekamer-30.u36	No. Okay.
ParlaMint-NL_2020-02-18-tweedekamer-30.u37	No support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u38	Mr. Chairman. This is a matter of urgency. Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u39	Mrs. Kuik, PvdA. No, not Mr Paternotte; Mrs Chicken.
ParlaMint-NL_2020-02-18-tweedekamer-30.u40	Now I'm gonna take care of myself... Support, Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u41	I'm fine with keeping it soon. I do not know exactly what the proposal is, because I do not know exactly what "soon" is.
ParlaMint-NL_2020-02-18-tweedekamer-30.u42	Me neither.
ParlaMint-NL_2020-02-18-tweedekamer-30.u43	I can imagine that we are combining this debate with a cybersecurity debate that, I understand, is already planned, even in the very short term. This would make it possible to cover this wider issue, which Mr Wiersma rightly outlines, in the short term as well.
ParlaMint-NL_2020-02-18-tweedekamer-30.u44	This is a new proposal. Do you support a separate request from Mr Wiersma, yes or no? At least, to schedule it quickly, because the request...
ParlaMint-NL_2020-02-18-tweedekamer-30.u45	I think the counter-proposal I just made is actually better, so to put it together, because Mr Wiersma wants to make this a broader debate about cybersecurity and protection of knowledge.
ParlaMint-NL_2020-02-18-tweedekamer-30.u46	You're about to have a majority, Mr. Wiersma.
ParlaMint-NL_2020-02-18-tweedekamer-30.u47	That's how we're gonna do it, yeah. I am simply following my request to schedule the debate quickly, but in the broadest sense of last week's themes, such as the knowledge institutes that have been hacked.
ParlaMint-NL_2020-02-18-tweedekamer-30.u48	Thank you. That's up to you. Then I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mr Van Gerven, SP.
ParlaMint-NL_2020-02-18-tweedekamer-30.u49	Mr. Chairman. I would like to ask you to plan the VAO Pregnancy and Birth this week, including votes. I am doing this on behalf of the people present in the general meeting last week.
ParlaMint-NL_2020-02-18-tweedekamer-30.u50	Everyone agrees. Okay. Then Mr Öztürk on behalf of DENK.
ParlaMint-NL_2020-02-18-tweedekamer-30.u51	Mr. Chairman. Last week we were shocked by a bizarre television broadcast by the NPO about a pedophile who would like to set up a political party. The aim of this political party is to be able to abuse young children aged 2 to 3 years. They also want to legalize paedophilia. This is shocking. As far as DENK is concerned, political parties calling for child abuse should be banned. We have to protect our kids from this kind of crazy.
ParlaMint-NL_2020-02-18-tweedekamer-30.u52	So you want a debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u53	That is why I want a letter and a debate with the Minister of the Interior.
ParlaMint-NL_2020-02-18-tweedekamer-30.u54	In itself, it is nice that Mr Öztürk is watching Dutch television, but not supporting it.
ParlaMint-NL_2020-02-18-tweedekamer-30.u55	What kind of comment is this?
ParlaMint-NL_2020-02-18-tweedekamer-30.u56	Mrs Den Boer, D66.
ParlaMint-NL_2020-02-18-tweedekamer-30.u57	Apparently, the PVV wants to legalize pedophilia, too.
ParlaMint-NL_2020-02-18-tweedekamer-30.u58	Mrs Den Boer on behalf of D66. Mr Öztürk, you will have the floor in a moment.
ParlaMint-NL_2020-02-18-tweedekamer-30.u59	D66 finds what was in this program quite reprehensible. That is why we would ask the Minister to respond in a letter. For the time being, no support for the debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u60	Mr Schonis on behalf of the VVD. No, sorry, Mr. Van Gent on behalf of the VVD.
ParlaMint-NL_2020-02-18-tweedekamer-30.u61	Well, that's also a Zeeuw. This is an important subject. We expect the Law on Political Parties this year. Then we're gonna talk about the conditions under which parties are banned. So no support for this debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u62	Mr. Chairman. It seems very good to get a letter from the cabinet. In the run-up to this legislative proposal, we need to discuss this issue explicitly, because it is an extremely bad thing that such a thing can be broadcast publicly. So support for letter and debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u63	Mr. Chairman. I absolutely share the emotions. I also support a letter. I would not want to do the debate because it takes a very long time. Let us look at the various procedural meetings, including at JenV, where we can deal with it very quickly.
ParlaMint-NL_2020-02-18-tweedekamer-30.u64	Mr. Chairman. This is an important subject. But first there must be a response from the Minister and then we can see if it is necessary to have a debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u65	So no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u66	Mr. Chairman. Dismissal statements. That's why I'm supporting a letter.
ParlaMint-NL_2020-02-18-tweedekamer-30.u67	So no debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u68	Mr. Chairman. I agree with all the parties who have indicated that it is a disgusting statement. I agree with Mr Van Gent's comment that we are going to discuss a legislative proposal on that point. Then let's do that there.
ParlaMint-NL_2020-02-18-tweedekamer-30.u69	Mr. Chairman. Horrible statements. You gotta protect kids. We'd like a letter. Then we can see through the committee if we can get to an AO on this as soon as possible.
ParlaMint-NL_2020-02-18-tweedekamer-30.u70	Mr Öztürk, you have no support for your request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u71	The Chamber opposes these disgusting statements, except for the PVV. Too bad.
ParlaMint-NL_2020-02-18-tweedekamer-30.u72	No, no, no. That's not quite... I propose that the stenogram of this part of the debate be transferred to the cabinet. I now give the floor to Mr Stoffer on behalf of the SGP.
ParlaMint-NL_2020-02-18-tweedekamer-30.u73	Mr. Chairman. Zeeland is in turmoil, and rightly so. Last week, the cabinet announced that the Marine Station is not moving to Vlissingen, but most likely to New Milligen. Here is a question of trust, because it appears that for months there have been negotiations and talks with Gelderland and Apeldoorn without Zeeland and Vlissingen knowing about it. Then you're really talking about the question: can we trust the government this way? That is why I want to have a debate on this this week. There is already a majority debate on Mrs Diks' agenda. We have coordinated this and we would like to bring this debate forward, where Mrs Diks is, of course, the first speaker. My question is to plan that debate this week.
ParlaMint-NL_2020-02-18-tweedekamer-30.u74	So it's about planning a debate this week. That's the request of...
ParlaMint-NL_2020-02-18-tweedekamer-30.u75	I would also like the Minister of the Interior to be present, because it is appropriate for compensation for Zeeland.
ParlaMint-NL_2020-02-18-tweedekamer-30.u76	Yes.
ParlaMint-NL_2020-02-18-tweedekamer-30.u77	Mr. Chairman. This gives a lot of feelings of unrest in Zeeland, and rightly so. That is why I think it is right that we should have this debate as soon as possible, as far as we are concerned on Thursday.
ParlaMint-NL_2020-02-18-tweedekamer-30.u78	So support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u79	Mr. Chairman. It is certainly an important subject, especially for the Zeeland and Zeeland. A debate with the Secretary of State is essential. The Minister of the Interior has not yet been able to discuss the compensation with Zeeland, so I would find it unwise to put it here. The cabinet is about its own delegation. So that's my condition. I'll tell you what.
ParlaMint-NL_2020-02-18-tweedekamer-30.u80	So you support the request?
ParlaMint-NL_2020-02-18-tweedekamer-30.u81	Absolute support for the debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u82	This week, too?
ParlaMint-NL_2020-02-18-tweedekamer-30.u83	Sure.
ParlaMint-NL_2020-02-18-tweedekamer-30.u84	It's a very invigorating thing. I therefore wholeheartedly support the request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u85	Full support for all requests, Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u86	Mr. Chairman. We understand the feelings in Zeeland very well. We support having the debate this week, especially since a colleague here is asking the question of trust, a colleague who, in my opinion, is not doing this lightly either. For the same reason as the VVD, we do not need to have the Minister of the Interior at this stage, because it is important that the talks with Zeeland can take place first.
ParlaMint-NL_2020-02-18-tweedekamer-30.u87	Support, Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u88	We had indeed agreed for a while, because my majority debate had been planned for about a year. I therefore think it would be a good idea to have this debate very quickly in response to the reports that have now come out.
ParlaMint-NL_2020-02-18-tweedekamer-30.u89	He also made the request on your behalf.
ParlaMint-NL_2020-02-18-tweedekamer-30.u90	Mr. Chairman. Zeeland's confidence has been incredibly damaged, so support for the debate and also for inviting the Minister of the Interior to do so, if only because we can at least give him something for those talks with the province.
ParlaMint-NL_2020-02-18-tweedekamer-30.u91	Mr. Chairman. The entire SGP Group supports this request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u92	Mr. Bishop, it slipped my mind for a moment. I wasn't paying attention, but you're not going to respond to your own groupmate, are you? But you do...
ParlaMint-NL_2020-02-18-tweedekamer-30.u93	Yes, Mr. Chairman, I'm aware of that, too. But I thought it'd be nice to report that.
ParlaMint-NL_2020-02-18-tweedekamer-30.u94	Good.
ParlaMint-NL_2020-02-18-tweedekamer-30.u95	The cabinet has damaged Zeeland's confidence. That must be corrected very quickly. Preferably a debate this week. Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u96	Mr. Chairman. It is perfectly understandable that many Zeeuws are incredibly angry. We supported and will continue to support GroenLinks' request for debate. So also this week a debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u97	Mr. Stoffer, you have a large majority for your request. We're gonna see when we're gonna schedule it this week. Thank you. Then I will go to Mr Wassenberg on behalf of the Animal Party.
ParlaMint-NL_2020-02-18-tweedekamer-30.u98	Mr. Chairman. Last week the North Sea Agreement was presented. The ink of that agreement was hardly dry when it appeared that the previous agreements, from 2011 and 2012, were not worth the paper on which they were printed, because shrimp fishermen proved to have fished tens of thousands of hours too much for years. The NVWA stood there and looked at it, because in order to spare the NVWA the fishermen would control themselves. That happened at the expense of nature. I think that is serious enough to want to have a debate on this with the Minister of LNV. I would like a letter in which the Minister explicitly addresses the question of why the NVWA agreed to these self-controls and the consequences of illegal fishing on nature.
ParlaMint-NL_2020-02-18-tweedekamer-30.u99	Support, Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u100	Mr. Chairman. On Thursday we discussed a lot of debates on the NVWA, but we are going to start over again. So also support from GroenLinks.
ParlaMint-NL_2020-02-18-tweedekamer-30.u101	On behalf of my colleague, Mr De Groot, I support this proposal.
ParlaMint-NL_2020-02-18-tweedekamer-30.u102	Mr. Chairman. For the time being, support for the letter and then we will assess whether a separate debate is necessary.
ParlaMint-NL_2020-02-18-tweedekamer-30.u103	So for the time being, no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u104	Mr. Chairman. I'd like to support it. Last Thursday I also raised this issue. Last weekend there was more coverage about this. The government can't look away anymore.
ParlaMint-NL_2020-02-18-tweedekamer-30.u105	So you support it.
ParlaMint-NL_2020-02-18-tweedekamer-30.u106	There must be a debate about it.
ParlaMint-NL_2020-02-18-tweedekamer-30.u107	Mr. Chairman. The Christian Union supports the request for a letter and then wants to look at it on the basis of the letter when and where we are going to deal with it.
ParlaMint-NL_2020-02-18-tweedekamer-30.u108	So for the time being, no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u109	No support for the time being, Mr. Chairman. A letter first.
ParlaMint-NL_2020-02-18-tweedekamer-30.u110	The same applies to the CDA, Mr President.
ParlaMint-NL_2020-02-18-tweedekamer-30.u111	You have no majority, Mr. Wassenberg.
ParlaMint-NL_2020-02-18-tweedekamer-30.u112	No, Mr. Chairman. I'm counting 61 members so fast.
ParlaMint-NL_2020-02-18-tweedekamer-30.u113	60.
ParlaMint-NL_2020-02-18-tweedekamer-30.u114	That is less than 75, but more than 30, so I would like to put it on the list of 30 Members' debates.
ParlaMint-NL_2020-02-18-tweedekamer-30.u115	Then we add this debate to the list of thirty-member debates. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mr Krol on behalf of 50PLUS.
ParlaMint-NL_2020-02-18-tweedekamer-30.u116	Mr. Chairman. The NRC headlined this week: "The Dutch government inspections are independent is 'pure nonsense'." We'd like a letter from the Home Secretary on that. It's not the first time the state inspections have been compromised. Again and again there would be influence. That is detrimental to the whole of politics. That is why I am also calling for a debate on behalf of Mrs Van Kooten-Arissen.
ParlaMint-NL_2020-02-18-tweedekamer-30.u117	Mr Van Nispen, I think you also have a debate on the same subject. Do you remember?
ParlaMint-NL_2020-02-18-tweedekamer-30.u118	Oh, yeah.
ParlaMint-NL_2020-02-18-tweedekamer-30.u119	Okay. Would you like to say something about that?
ParlaMint-NL_2020-02-18-tweedekamer-30.u120	I'd be happy to, Mr. Chairman. It's a broader problem than just the Justice Department. So if the request were to have a separate debate on all state inspections, we would also support it wholeheartedly, but I also hope that the debate on the misery at Justice and the WODC debate can at least be scheduled very quickly.
ParlaMint-NL_2020-02-18-tweedekamer-30.u121	That is announced for the week of March 3, so after the crocus recess.
ParlaMint-NL_2020-02-18-tweedekamer-30.u122	As far as I'm concerned, we're adding that to this. I'm fine with that.
ParlaMint-NL_2020-02-18-tweedekamer-30.u123	All of them, yeah? Thank you. Thank you, Mr. Krol.
ParlaMint-NL_2020-02-18-tweedekamer-30.u124	Thank you, Mr. Chairman.
ParlaMint-NL_2020-02-18-tweedekamer-30.u125	I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mr Azarkan on behalf of DENK.
ParlaMint-NL_2020-02-18-tweedekamer-30.u126	Thank you, Mr. Chairman. I'm shocked, bewildered. A few days ago, some 100 young people in Urk turned against the embodiment of local democracy, the town hall. With heavy fireworks and bricks an attack was made at the local town hall. What's going on? Where does this anti-integrative and undemocratic behaviour come from, including in the embodiment of our rule of law? How is this possible? I would like to have a debate with the Minister for Justice and Security and with the Minister for Social Affairs and Employment, because this may also have something to do with integration.
ParlaMint-NL_2020-02-18-tweedekamer-30.u127	I can imagine Mr Azarkan's shock. Only, this is a debate that should take place in the city council of Urk and not here. That's why there's no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u128	So no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u129	It is indeed shameful, Mr President. But I would not like to have a plenary debate. I would like to add it, perhaps with a letter, to one of the many general consultations that remain.
ParlaMint-NL_2020-02-18-tweedekamer-30.u130	Mr. Chairman. The bewilderment of Mr Azarkan is quite understandable. That this could happen in Urk!
ParlaMint-NL_2020-02-18-tweedekamer-30.u131	Unbelievable!
ParlaMint-NL_2020-02-18-tweedekamer-30.u132	That is why the debate must take place in Urk and not here in the Chamber. No support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u133	If we do that everywhere, we don't need debates.
ParlaMint-NL_2020-02-18-tweedekamer-30.u134	No, Mr. Azarkan. Let's see how others feel about this request.
ParlaMint-NL_2020-02-18-tweedekamer-30.u135	Mr. Chairman. Offences must be addressed and traced. That is what we say on other requests for debate. That is why I am counting on this to happen here. So that doesn't require a debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u136	I liked that put by Mr Van Nispen.
ParlaMint-NL_2020-02-18-tweedekamer-30.u137	I also agree with Mr Van Nispen, President.
ParlaMint-NL_2020-02-18-tweedekamer-30.u138	I agree with that, Mr President.
ParlaMint-NL_2020-02-18-tweedekamer-30.u139	It is in itself encouraging that everyone wants to keep local issues local, because very often it is about Amsterdam and everyone here wants to discuss the whole housing market. But it is very good to hear that a new trend has been put in place for colleagues. I agree with Mrs Kuik's comment that it could possibly be dealt with in an AO.
ParlaMint-NL_2020-02-18-tweedekamer-30.u140	No support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u141	Then you have no support, Mr. Azarkan.
ParlaMint-NL_2020-02-18-tweedekamer-30.u142	100 young people attacking the town hall, chairman, and no support. I don't understand!
ParlaMint-NL_2020-02-18-tweedekamer-30.u143	No, no, no, Mr. Azarkan, no comment. Thank you. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mr Graus on behalf of the PVV.
ParlaMint-NL_2020-02-18-tweedekamer-30.u144	Thank you, Madam President. Last week a video of YachtTv appeared, made with the help of the Royal Dutch Hunters Association. In it, an animal is severely abused. There is a ban on pressure and drift hunting, supported by the entire Chamber, and now animals are being dug out alive, just lying asleep. They're just bullied and bullied for minutes. It's pure sadism. And that while it's animals that relieve the farmers of mouse, rat and goose nuisances.
ParlaMint-NL_2020-02-18-tweedekamer-30.u145	So?
ParlaMint-NL_2020-02-18-tweedekamer-30.u146	It is therefore unlikely that the largest and best conservationist in the Netherlands, the fox, will be shot not only, but also sadistically abused.
ParlaMint-NL_2020-02-18-tweedekamer-30.u147	Okay. And you want to talk about that?
ParlaMint-NL_2020-02-18-tweedekamer-30.u148	I would like to have a debate on this with the Minister for Agriculture, Nature and Food Quality and animal welfare.
ParlaMint-NL_2020-02-18-tweedekamer-30.u149	Mr. Chairman. I've seen the footage, too. It's nauseating. Adult guys with dogs digging out a foxhole and then the fox, who runs, shoots down and pulls the dogs to the cadaver. It's really nauseating. I wholeheartedly support the debate. We must indeed ban this as soon as possible.
ParlaMint-NL_2020-02-18-tweedekamer-30.u150	On behalf of Mr De Groot, no support, because we believe that it can be involved in Nature AO.
ParlaMint-NL_2020-02-18-tweedekamer-30.u151	Mr. Chairman. I thought it was horrible, too, but I think we should discuss this in AO Nature.
ParlaMint-NL_2020-02-18-tweedekamer-30.u152	The Christian Union wants to discuss this in a general discussion.
ParlaMint-NL_2020-02-18-tweedekamer-30.u153	Mr President, I would also like to discuss it in a general discussion.
ParlaMint-NL_2020-02-18-tweedekamer-30.u154	I also like to discuss it at the Nature AO, I think on 8 April.
ParlaMint-NL_2020-02-18-tweedekamer-30.u155	Mr. Chairman. This has very little to do with nature, so I don't think AO Nature is appropriate. I might find planning an AO hunt more logical, but I support the debate until such a thing can happen.
ParlaMint-NL_2020-02-18-tweedekamer-30.u156	Thank you, Mr. Fuzzler.
ParlaMint-NL_2020-02-18-tweedekamer-30.u157	I would very much like to debate with Mr Graus, but I am saving my ammunition for another debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u158	So no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u159	Mr. Chairman. I think Mrs Bromet's suggestion is excellent, so no support for this debate.
ParlaMint-NL_2020-02-18-tweedekamer-30.u160	Support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u161	Thank you, Mr Öztürk.
ParlaMint-NL_2020-02-18-tweedekamer-30.u162	You have no majority.
ParlaMint-NL_2020-02-18-tweedekamer-30.u163	No, but I do have support for a 30-member debate. I know that's gonna be at the bottom of that, but I'm gonna let that go. Mr. Futselaar gave a good lead. At least we'll have a stick behind the door. If it were to be discussed earlier in a debate or in an AO Nature, I can call it a debate from this chairman...
ParlaMint-NL_2020-02-18-tweedekamer-30.u164	...you'll come back and take it off the list.
ParlaMint-NL_2020-02-18-tweedekamer-30.u165	Madam President, that's right, isn't it? I can also call an AO a debate. You told me that yourself once.
ParlaMint-NL_2020-02-18-tweedekamer-30.u166	Yes, of course!
ParlaMint-NL_2020-02-18-tweedekamer-30.u167	So if it is possible for a debate on nature or in a general discussion, then I will speak on behalf of the PVV, and on behalf of the foxes. Thank you.
ParlaMint-NL_2020-02-18-tweedekamer-30.u168	Thank you, Mr. Graus. We are adding this debate to the list of 30 Members' debates. Mrs Palland on behalf of the CDA. It's okay with the interrupting microphone. Whatever you say. It's an announcement, isn't it?
ParlaMint-NL_2020-02-18-tweedekamer-30.u169	Yeah, exactly. The Competitiveness Council will take place next week. On Monday, four parties provided input. I would like to await the report and then request a VSO before this week to table any motions.
ParlaMint-NL_2020-02-18-tweedekamer-30.u170	That includes votes, I see. I think we're going to vote every day this week, so this will fit in. Mr Emiel van Dijk on behalf of the PVV.
ParlaMint-NL_2020-02-18-tweedekamer-30.u171	Thank you, Mr. Chairman. Yesterday the news became public that the NGO Syrian Civil War Map found out that Aleppo has been completely freed from jihadists for the first time since 2012 and is therefore safe again. Starting tomorrow, flights will start from Aleppo to international destinations like Cairo. It is therefore time to send the tens of thousands of Syrians who are here in the Netherlands back to Syria to help them rebuild their own country. Large parts of Syria are safe. We must make haste with that, otherwise those people will get a permanent residence permit and they will stay here instead of going back to Syria, where they...
ParlaMint-NL_2020-02-18-tweedekamer-30.u172	You want a debate on that?
ParlaMint-NL_2020-02-18-tweedekamer-30.u173	Yes, I would like a debate on that.
ParlaMint-NL_2020-02-18-tweedekamer-30.u174	Mr. Chairman. Not so long ago, we planned a major migration debate at the request of Mrs Kuik. It seems logical to me that if the PVV wants to talk about this, it should involve it in that migration debate. No support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u175	It's not the same thing.
ParlaMint-NL_2020-02-18-tweedekamer-30.u176	Mr. Chairman. The people in Syria have been attacked by ISIS, but also by their own government leader, the dictator Assad. There is no question of safety. No support for a debate that is not relevant to the people in Syria, who...
ParlaMint-NL_2020-02-18-tweedekamer-30.u177	So no support.
ParlaMint-NL_2020-02-18-tweedekamer-30.u178	... now that 900,000 have fled.
ParlaMint-NL_2020-02-18-tweedekamer-30.u179	Mrs Ploumen!
ParlaMint-NL_2020-02-18-tweedekamer-30.u180	Not I say it, but international NGOs.
ParlaMint-NL_2020-02-18-tweedekamer-30.u181	That is the disadvantage of a lot of text when a request is made.
ParlaMint-NL_2020-02-18-tweedekamer-30.u182	Mr. Chairman. In view of the development in Syria, I think it would be very wise for us here in the Chamber to consider what follow-up the reception of these refugees should take temporarily and what follow-up it will take. So support for a debate. It seems very relevant to me.
ParlaMint-NL_2020-02-18-tweedekamer-30.u183	Mr. Chairman. I would like to ask for a letter, but that will have to be through the procedural meeting. I would like to know when the next country report will be available. But that's something we're discussing at the committee. Then we can talk about it afterwards.
ParlaMint-NL_2020-02-18-tweedekamer-30.u184	Mr. Chairman. Syria is anything but safe. No support.
