ParlaMint-NL_2020-07-02-tweedekamer-4.u1	The next item is the VAO Building. I give the floor to Mr Terpstra, on behalf of the CDA.
ParlaMint-NL_2020-07-02-tweedekamer-4.u12	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the housing shortage in the Netherlands is high;]] [[noting that Zuidplaspolder is a large outlying building site in the Randstad;]] [[Whereas resolving the housing shortage in the short term, but also in the medium term, remains an important task;]] [[calls on the government, together with the province of Zuid-Holland and the municipalities concerned, to identify the possibilities for large-scale housing in Zuidplaspolder, including related infrastructure and public transport facilities and nature, within the agreed "village and rural housing" environments, and to inform the Chamber before the end of the year,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the House of Lords. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-660]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u13	I would like to make one final comment, if I may. We spoke during the debate about flex housing locations. I speak different people; there are tens of thousands of locations that seem not to come off the ground. I have sent the Minister the suggestion to go to three locations in the summer recess. I'd like a response.
ParlaMint-NL_2020-07-02-tweedekamer-4.u14	Thank you. I now give the floor to Mrs Beckerman on behalf of the SP.
ParlaMint-NL_2020-07-02-tweedekamer-4.u15	Good morning. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a shortage of social housing in a number of housing market regions and that the target population for these homes is increasing, whereas the social stock has narrowed in recent years;]] [[whereas it is therefore not logical to sell, demolish or liberalise social housing if there is (too) little new construction;]] [[calls on the Government to ensure that housing market regions where there is a shortage of housing are based on the principle that, when social housing disappears through demolition, sale or liberalization, the same number of social housing should be created in the same housing market region,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman, Mr Nijboer and Mr Smeulders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-661]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u16	And then the second one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the corona crisis in disadvantaged areas causes exponential growth of problems and increases division and inequality of opportunities;]] [[noting that there is currently no budget or policy for a neighbourhood approach;]] [[invites the Government, in consultation with the Association of Dutch Municipalities, the Housing Association and Aedes, to examine the possibilities of creating a rural neighbourhood improvement fund that takes into account local differences and control of local residents, and to submit this to the Lower House,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman, Mr Smeulders and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-662]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u17	That's it.
ParlaMint-NL_2020-07-02-tweedekamer-4.u18	Thank you, Mrs Beckerman. I now give the floor to Mr Smeulders on behalf of GroenLinks.
ParlaMint-NL_2020-07-02-tweedekamer-4.u19	Thank you, Mr. Chairman. It's been a couple of weeks since we had the debate on building. To be quite honest, I was rather disappointed, because I thought "the cabinet is going to come up with a lot of plans now," but that was rather disappointing. There was a reference to Prince's Day. That would be the moment when the government's plans would come, to speed up or at least to keep housing going. That's why I have a motion that focuses on Princess Day. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is a housing crisis and an economic crisis ahead;]] [[calls on the Government to present on Princess Day a housing fund to promote the construction of affordable housing and social housing, to boost the economy and to maintain and create jobs in construction,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Smeulders, Mr Nijboer and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-663]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u20	Mr. Chairman. I have one motion that speaks for itself. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that research carried out by ABF Research, commissioned by the Ministry of BZK, revealed:]] [[immigration is a source of housing problems;]] [[that housing workers cannot build up against the huge increase in the number of immigrants;]] [[that in ten years' time the housing shortage will be virtually the same;]] [[whereas from 2014 onwards more than 87,000 social rentals will be given priority! They have been given away to status holders, while Dutch house seekers have to be on the waiting list for years;]] [[says that these homes are from and for the Dutch;]] [[calls on the Government to withdraw the residence permits of the status holders and to ensure that the social housing released by them, as well as all other social housing units, is exclusively allocated to the Dutch,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kops and Mr Emiel van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-664]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u21	Thank you.
ParlaMint-NL_2020-07-02-tweedekamer-4.u22	Thank you, Mr. Kops. I now give the floor to Mrs Van Eijs, on behalf of D66.
ParlaMint-NL_2020-07-02-tweedekamer-4.u23	Thank you, Mr. Chairman. Last Friday I was very local, near Eindhoven and Oirschot, visiting a builder of flex houses. We all see images of container-like buildings in front of us, but the builder has also made a building for the international school in Amsterdam, for example. This building can be placed 500 metres further after two years. There are really fantastic examples. In general, we discussed the remaining obstacles to this type of housing and buildings. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands has a large housing rating;]] [[noting that the number of flexible dwellings is lagging behind the forecast despite the Incentive approach Flexwonen;]] [[Whereas flexible housing can contribute to reducing the housing shortage in the short term;]] [[Whereas municipalities often face obstacles to achieving flex housing, e.g. in the depreciation of utilities;]] [[calls on the government, in cooperation with the VNG, to have municipalities identify the amount of unused land suitable for flexible housing;]] [[invites also to identify identified barriers to the placement of flex houses and to develop solutions with interested parties;]] [[Finally, requests the Court to inform on both points before February 2021,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Eijs and Koerhuis. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-666]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u24	Thank you, Mr. Chairman. As announced, I have a motion on the landlord's tax. Yesterday we discussed the spring note here. It was clear: the landlord levy was once introduced as a crisis measure in the context of the financial crisis. We came out so well that last year we had 14.6 billion left in the rich budget. Then it is again very difficult to reduce the landlord's tax, while it is much more profitable than anyone had ever imagined. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is a shortage of housing;]] [[Considering that housing corporations are best equipped to realize social housing and that they deserve as much support as possible in building it;]] [[Whereas since the introduction of the landlord levy, the construction of social housing has been reduced;]] [[having regard to the fact that, with a budget of 1 billion, the scheme opened at the beginning of this year has been a major success within a few months, as an estimated 80,000 dwellings have been applied for;]] [[having regard to the fact that during the corona crisis the government demonstrated its ability to take draconian measures and that the crisis in the housing market also justifies draconian intervention;]] [[calls on the Government to explore in the short term the possibilities to extend the Reduction Rental Tax Scheme and to make the budget available for it,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Otterloo and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-667]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u25	Thank you, Mr. Chairman. A very broad section of the Chamber missed an approach to housing in this corona crisis. From ornamental cultivation to culture to potato fries growers, everyone gets something, but in the housing of the people it stays quiet. That's why I'm filing two additional motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that many tenants and housing corporations are in the water's way;]] [[Whereas many sectors have been assisted by the Cabinet, but there is no convincing approach to housing;]] [[calls on the cabinet to temporarily suspend the landlord's tax,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Nijboer, Mr Beckerman and Mr Smeulders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-668]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u26	Mr. Chairman. Then my second and final motion. This too I submit with my colleagues Beckerman and Smeulders. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the purpose of the housing incentive is to build more affordable housing;]] [[noting that the current wording also allows projects without social housing;]] [[calls on the Government to ensure that the housing realised actually contributes to those segments where the deficits are highest and therefore to apply a lower threshold of 30% social rent,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Nijboer, Mr Beckerman and Mr Smeulders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-669]]
ParlaMint-NL_2020-07-02-tweedekamer-4.u27	I can see from the reaction of Mr Koerhuis that the VVD is already giving its support to this motion in advance. Thank you, Mr President.
ParlaMint-NL_2020-07-02-tweedekamer-4.u28	We'll see. Thank you, Mr. Nijboer. The motions are first copied and distributed. Shall I suspend for five minutes? Yes.
ParlaMint-NL_2020-07-02-tweedekamer-4.u29	I'll give the Minister the floor.
ParlaMint-NL_2020-07-02-tweedekamer-4.u30	Thank you, Mr. Chairman. Thanks also to all the spokesmen. To begin with, Mr Koerhuis had an invitation for me to visit locations that would be suitable for flex homes. I also think we had the agreement that he would pass on to me or to the ministry which places he has all in mind. When we get that list, I'm gonna go see how I can combine it. You may not be able to imagine it, but even in the recess there are many work visits. So if I can somehow combine that, of course I'd like to do it. Mr. Chairman. Then there's the motions. The motion in part No. Mr Terpstra's 656 concerns mortgages, mortgage lending. There is indeed one mortgage provider, BLG Wonen, who has a pilot on the subject mentioned by Mr Terpstra: the pilot rental statement. I've already asked BLG to share the experiences of that pilot in that Platform mortgages, which we use for that purpose. They expect to be able to do so in the autumn. I will then inform the Chamber of the outcome of that. With this explanation, I would like to leave the opinion on the motion to the House. Then the motion to part No. 657 by Mr Terpstra, on bottlenecks and major sites. That motion actually has two parts, namely a general part of the motion, which, in my view, is entirely in line with the approach of the Commission and a specific part of it, about bottlenecks. These bottlenecks surrounding the development of Rijnenburg are taken into account in the urbanisation strategy. I will inform the House of that in the autumn. With this explanation, I would like to leave the opinion on the motion to the House. The motion in part No. 658 by Mr Koerhuis is also about large-scale housing in Rijnenburg. I would like to stress, however, that there are also a number of other motions that include location choices to municipalities and provinces. In response to Mr Terpstra, I mentioned the urbanisation strategy, which involves weighing up a number of housing and job mobility investments. This is for the period 2030-2040. The location Rijnenburg is a complex location. Members of parliament know that it will also require mobility adjustments. So the 2030 period is really unrealistic. We just have to be honest about that. I could, however, pay particular attention to the development of Rijnenburg within this urbanisation strategy, so that the questions which the Chamber has will be answered. So perhaps Mr Koerhuis would like to take that year out of his motion. In that case, I could give that much easier judgment Chamber. Then the motion to part No. 659 by Mr Koerhuis. We are fully committed to building production: build as much as possible in the short term. For that, I sent a plan to the Chamber. We'll see in the cabinet what we need in addition. Production must remain stable and continue to rise in later years. So I'm going to visualize it with provinces, including as regards specific locations and what is needed for realization. I'll give the motion judgment room.
ParlaMint-NL_2020-07-02-tweedekamer-4.u31	On that previous point. It is not entirely clear to me what the Minister's opinion is.
ParlaMint-NL_2020-07-02-tweedekamer-4.u32	Yeah, I was looking a little questioning. It would help me very much if that year were to go out of the motion.
ParlaMint-NL_2020-07-02-tweedekamer-4.u33	Yes, Mr. Koerhuis, what are you going to do?
ParlaMint-NL_2020-07-02-tweedekamer-4.u34	Well, I'm doubting a little, because 2030 is still ten years away. So perhaps the Minister could explain a little bit more why she expects it to take 20 years for a road or a home to be built somewhere.
ParlaMint-NL_2020-07-02-tweedekamer-4.u35	The region does not currently have Rijnenburg in the plans that are needed. I believe that Mr Smeulders also hinted at this. It is a complex location, where many mobility adjustments will be needed if you want to develop it. So IenW's colleagues have to look into that and think along with it and make the budget available in due course. If we prefer to follow the region in which it is now in the short term, let us say: between now and 2030, a lot of new construction can be achieved, then of course, and Mr Koerhuis always insists on that, you should think further and plan further. It is simply not feasible before 2030. I'm not saying we don't start until after 2030. I say we take it into the urbanisation strategy now. That's what the conversation is about. You also need to think about what you could do if you wanted to achieve it in the short term, but of course it will never work before 2030.
ParlaMint-NL_2020-07-02-tweedekamer-4.u36	Good. What are you going to do, Mr. Koerhuis?
ParlaMint-NL_2020-07-02-tweedekamer-4.u37	Before the end of this year, the Chamber will be informed of this. The Minister and I disagree. I'm gonna take that year out. I really don't think it's gonna take 20 years to build homes or a road. I am particularly concerned that the plans for large-scale housing should come to the Chamber at the end of the year.
ParlaMint-NL_2020-07-02-tweedekamer-4.u38	Clear. So you're taking the year down? Is that right? The motion is being changed? Okay.
ParlaMint-NL_2020-07-02-tweedekamer-4.u39	The Koerhuis/Van Eijs motion (No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the housing shortage in the Netherlands is high;]] [[noting that Rijnenburg is a large outlying building site in the Randstad;]] [[Whereas resolving the housing shortage in the short term, but also in the medium term, remains an important task;]] [[calls on the government, together with the province of Utrecht and the municipalities concerned, to identify the possibilities for large-scale housing in Rijnenburg, including the associated infrastructure/ov facilities and nature, and to inform the Chamber before the end of the year,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 658 ().
ParlaMint-NL_2020-07-02-tweedekamer-4.u40	Judgment Room. Thank you to Mr Koerhuis. The motion in part No. 660 by Mr Koerhuis is about the Zuidplaspolder. We have indeed discussed this on several occasions. There are talks between the Empire, the province and the municipality. Right now, I'm gonna put a visual on the county locations to see what's needed. Then we know exactly what the parties want in the Zuidplaspolder and what the most important locations in the region are. I would ask Mr Koerhuis to hold the motion until then, until we have more insight into it. Then he can decide if it's still necessary.
ParlaMint-NL_2020-07-02-tweedekamer-4.u41	I'm just looking for the moment. Am I going to hold the motion until September 1st? When is this information coming?
ParlaMint-NL_2020-07-02-tweedekamer-4.u42	No, September 1st is almost the day after tomorrow, so that's not realistic in terms of what I can do. In the autumn, I can inform the Chamber. That autumn will be October rather, if autumn really starts, than September 1st.
ParlaMint-NL_2020-07-02-tweedekamer-4.u43	What are you going to do, Mr. Koerhuis?
ParlaMint-NL_2020-07-02-tweedekamer-4.u44	I hear October 1st...
ParlaMint-NL_2020-07-02-tweedekamer-4.u45	No, in October.
ParlaMint-NL_2020-07-02-tweedekamer-4.u46	There's a housing shortage, so I'm gonna need a little more urgency. I hear "after the summer recess is the day after tomorrow" and "no homes within the next ten years."
ParlaMint-NL_2020-07-02-tweedekamer-4.u47	But what do you do with the motion?
ParlaMint-NL_2020-07-02-tweedekamer-4.u48	I'll arrest her until October 1st.
ParlaMint-NL_2020-07-02-tweedekamer-4.u49	At the request of Mr Koerhuis, I propose his motion (22847, No. 660) again. That is what is decided.
ParlaMint-NL_2020-07-02-tweedekamer-4.u50	Then the motion to part No. 661.
ParlaMint-NL_2020-07-02-tweedekamer-4.u51	The motion in part No. 661 belongs to Mrs. Beckerman. He's asking for every demolished or sold property... I don't have the motion here for some reason, but at least she wants to build something back; that should be the deal. I would remind her that this is truly regional and, above all, local customization, which aldermen agree on in residential agreements. I think we should respect that, so I'm going to advise the motion. Her next motion in part No. 662 calls for a neighbourhood improvement fund. I share her concerns about vitality and safety. I have already said that with a number of municipalities, including the fifteen municipalities whose mayors have requested, we have plans to improve these areas substantially and structurally. I'm also talking to the VNG about that trajectory. I'd love to be inspired by her idea, but I don't have a budget for that right now. I can't give any guarantees about that in advance, so I have to discourage the motion. I am afraid that the same applies to the motion on item No. 663 by Mr Smeulders. It's about a housing fund. I think I have said before that I like to be inspired by the left-wing parties, as they always call themselves in this context. I'm planning, too. The first package was about the here and now. Then, as far as I am concerned, there will indeed be a plan around Prinsjesdag on how to keep housing going in the coming years, because there is a shortage and the economy is against it. So something really has to be done. I would like to be inspired, also by the ideas put forward by Mr Smeulders, but I must now discourage the motion. Mr Kops always forgets that we have Article 1 in the Constitution and that, moreover, the Constitution states that everyone is entitled to a residence, so I advise against his motion. The motion in part No. 666 belongs to Mrs Van Eijs. Who sees on...
ParlaMint-NL_2020-07-02-tweedekamer-4.u52	Mr Kops, on the previous motion.
ParlaMint-NL_2020-07-02-tweedekamer-4.u53	That is very easy, Article 1 of the Constitution. But does that also apply to the Dutch? There are more than 87.0000 social rental homes with priority given away to the status holders, while the Dutch have to be on the waiting list for years. That's discrimination against the Dutch, isn't it? When is the Minister going to end that?
ParlaMint-NL_2020-07-02-tweedekamer-4.u54	Article 1 applies to everyone who is legal in our country. Whether it is a status holder or Mr Kops himself: they must not all be discriminated against. Everyone has a right to a home, too. I really want to take away the image that all those homes are being hijacked by people who suddenly get in between. Sometimes that's necessary, Mr. Kops. There are women who are victims of domestic violence and who come to a home in that way. There are indeed status holders who can get out of an azc and get to work in that way, Mr. Kops.
ParlaMint-NL_2020-07-02-tweedekamer-4.u55	Or back to the country of origin. But the Minister considers it fair that more than 87,000 social rental homes have been given away to status holders, while the shortage of social rental homes is also around 80,000? What does the Minister think of that? If we withdraw the residence permits of those status holders and assign the residences to Dutch people, the deficit would be practically solved. Does the Minister share that opinion?
ParlaMint-NL_2020-07-02-tweedekamer-4.u56	What Mr Kops is proposing is against the law. We can't withdraw status because of the housing shortage. To solve the housing shortage, we need to build homes.
ParlaMint-NL_2020-07-02-tweedekamer-4.u57	Please continue.
ParlaMint-NL_2020-07-02-tweedekamer-4.u58	Then the motion to part No. 666 by Mrs Van Eijs on flex houses. I think that this motion is very much in line with what I would like to do with flex houses, including the regular notification of the Chamber. I will involve Mrs Van Eijs' request in those progress reports, so I would like to leave the judgment to the Chamber. Then I am in favour of Mr Van Otterloo's motion of 50PLUS to item No. 667, which wants to keep the rental tax discount open for new construction. The motion doesn't see any cover for that. I'm excited about the instrument. That's why I'm very happy to have been able to use it. This is also important for further construction. So I have already said: in August, September, we will explore the possibilities as widely as possible. So I'm gonna get inspired by this, too, but since there's no budget for it right now, I'm gonna have to dissuade her. Then I am in favour of Mr Nijboer's motion on item No. 668, which asks for something similar, at least it asks that the landlord levy be suspended until formation. This must also be a budgetary balance, the cost of which must be balanced against possible other uses. In the short term, I do not see the same problem for housing corporations as Mr Nijboer. I think it's very important that they can continue to build, but I have to discourage the motion for now.
ParlaMint-NL_2020-07-02-tweedekamer-4.u59	The Minister would be right if it said that it should be opened immediately. But the motion is still fairly carefully formulated, because it says: explore the possibilities. This means that it is also about the budget when exploring the possibilities. I have referred to all kinds of other measures where we are able to make money available in the short term.
ParlaMint-NL_2020-07-02-tweedekamer-4.u60	Thank you for the explanation, for starters. Then let me say: then it's a bit like the people's housing fund. This would certainly be one of the options you explore when considering how we should have housing in the coming years, but there is a lot more going on. I will also inform the Chamber further about the Ronnes motion concerning the landlord's tax. So for that reason, I would like to discourage the motion at the moment. Then the final motion, in part No. 669, on that 30% lower limit for social rent. For that, again: that really depends on the local needs. I want municipalities to have the freedom to decide for themselves. I am therefore not in favour of a lower limit in general terms. I'm dissuading the motion.
ParlaMint-NL_2020-07-02-tweedekamer-4.u61	Thank you. This brings us to the end of this VAO.
ParlaMint-NL_2020-07-02-tweedekamer-4.u62	Thank you.
ParlaMint-NL_2020-07-02-tweedekamer-4.u63	We shall be voting on the motions tabled tonight. Or tonight. We'll see. I thank the Minister.
