ParlaMint-NL_2020-06-23-tweedekamer-32.u1	I call Mrs Postma of the CDA.
ParlaMint-NL_2020-06-23-tweedekamer-32.u19	Everyone with a little common sense was shocked by last Friday's Schiphol footage. We saw a packed departure hall. This is in no way in line with the EASA regulations, which state that social distancing should be monitored at all times, especially during check-in and boarding. We talked about this extensively last week. I would like to ask the Minister once again whether she can guarantee that this 1.5 meter will be maintained at Schiphol Airport. It is a question of money: under-staffing, creating long queues. You don't have to do this. This exceptional position of aviation undermines the support for all the corona measures in the theatre and the catering industry, where all those entrepreneurs are hit hard. That's really unacceptable. Thank you, Mr. Chairman.
ParlaMint-NL_2020-06-23-tweedekamer-32.u20	Thank you. I call Mr Paternotte of D66.
ParlaMint-NL_2020-06-23-tweedekamer-32.u21	Mr President, thank you. Because I'm not usually at AO's about mobility, I like to get a little nostalgia about the car trips to the south. My contribution is, of course, about aviation, especially CORSIA. Last March, The Economist wrote that the current crisis offers a fantastic opportunity for a piece of greening. Many areas were mentioned and of course aviation too, because the idea is that a baseline will be drawn in 2019 and 2020: that is CO2 emissions and we are going to compensate for everything above that. And since 2020 will, of course, be a disappointing year for aviation, the suggestion is now being put on the table to think away for a moment. But because aviation is going to shrink for the time being, that would mean that aviation will have nothing to compensate for in the coming years and that we will not start doing anything about the CO2 emissions of aviation until about eight years from now. That is not good, because all sectors have to contribute. This is a task for us together. Therefore, I would like to ask the Minister whether she would like to ensure at this time that the ICAO Council does not take the decision to set the baseline at 2019 and to throw it away in the coming years when it comes to climate compensation for aviation. Mr. Chairman. I would also like to ask two more questions. My first question concerns research into the operation of filter and ventilation systems in aircraft. I think it is essential that there is clear scientific evidence that people can get on a plane safely. This is important for the confidence in aviation, but it is also a signal to all those other sectors that had to take very strict measures with regard to distance that does not currently apply on the aircraft. The minister said she was going to find out when the RAGIDA investigation would be ready. Does she know when that's? We have held a motion today pending news and clarity. So I hope the Minister will be able to say something about that. Finally. Indeed, I am curious to see which glasses the Minister looked at last Friday's Schiphol footage. Schiphol is an inner space. Inner spaces with a lot of people are the places where the virus can spread, so the rows on Schiphol don't seem like the intention at all. Thank you, Mr. Chairman.
ParlaMint-NL_2020-06-23-tweedekamer-32.u22	Thank you. That brings us to the end of this term of office.
ParlaMint-NL_2020-06-23-tweedekamer-32.u23	The Minister has the floor.
ParlaMint-NL_2020-06-23-tweedekamer-32.u24	Thank you, Mr. Chairman. There are a few motions and a few questions. I'm just gonna start with the motion on part number one. 819 by Mrs Postma. It calls on the government to encourage car holiday Member States to ensure extra good hygiene and to work with organisations to ensure good information. Well, just so I know, I've had a meeting with... this afternoon. Does this call for any response?
ParlaMint-NL_2020-06-23-tweedekamer-32.u25	No, there is some confusion with the Members of Parliament, because no motions have yet been distributed. I'll take a look at the messengers.
ParlaMint-NL_2020-06-23-tweedekamer-32.u26	Oh, doesn't the Chamber have the motions yet?
ParlaMint-NL_2020-06-23-tweedekamer-32.u27	They're coming.
ParlaMint-NL_2020-06-23-tweedekamer-32.u28	Well, let me at least tell you that this afternoon I happened to have a meeting with the Secretary of State with a lot of the organizations involved here, including the ANWB, HISWA-RECRON, Tourist Information, actually the whole field of the tourism sector, to talk about mobility in corona time. This has not been specifically discussed, but we have agreed to work together in the field of information for people. That was not so much about foreign affairs, but I am quite willing to highlight this aspect in the interest of Dutch travellers in the club that is already looking at communication. If I may interpret the motion in this way, that judgment may give Chamber.
ParlaMint-NL_2020-06-23-tweedekamer-32.u29	The motion in part No. 819 gets judgment Chamber. Then we'll move on to the motion in part number. 820.
ParlaMint-NL_2020-06-23-tweedekamer-32.u30	Mr Dijkstra has asked questions about the green lanes. I'd better get on with the questions if you don't have all the motions. I very much agree with Mr Dijkstra that these green lanes are working well and that we must also retain them. I will therefore be happy to take this into account in the revision of the TEN-T regulation that is to come. It's scheduled for next year. The publication will probably come sometime in the spring or summer. I have already understood from the German colleague that this is also an important subject, including during the German Presidency. So I'll be happy to work it out like that. I would like to start with the questions, such as Mr Paternotte's question about the RAGIDA, the club researching the spread of viruses. I promised you at last week's AO that I would send you a letter on this matter before the summer. We're inventorying that. The first contacts have now been established. But it is still too soon now, so at the latest next week you will get the answer.
ParlaMint-NL_2020-06-23-tweedekamer-32.u31	Well, I guess I'd better be sharp, Mr. Chairman. Last week we agreed that, at least next Tuesday at the latest, we would be able to have the votes put to the vote on another motion, which would lead us to investigate that we, as the Netherlands, will then initiate what we would prefer not to do, provided that RAGIDA research is completed quickly enough. All we need to know right now is what the timeline is. So I hope that you will be able to send that to us at least before next week's votes. And I'm curious why mapping a timeline is complicated, because if that's been going on for a long time, I'm a little worried about the investigation itself.
ParlaMint-NL_2020-06-23-tweedekamer-32.u32	Well, look... You're right. You indicated that you wanted to know before the votes, but I also indicated at that time that I know that they are researching viruses, but do not know whether they have specifically investigated COOVID-19. I'd check, and I'd let you know. You also indicated: if they do not and do not intend to do so, then you would like a Dutch alternative. However, we are still examining whether they are in the process of carrying out this investigation, so I cannot tell you when that investigation is finished. But we are really going to honour the commitment made to you before the vote. Then Mr Paternotte and Mrs Kröger also asked questions about enforcement at Schiphol. It is primarily up to Schiphol and the security region to maintain that. They also have knowledge of it. Of course, Schiphol has also, together, drawn up these protocols, and the security region has also indicated that they are maintaining them.
ParlaMint-NL_2020-06-23-tweedekamer-32.u33	An interruption by Mrs Kröger.
ParlaMint-NL_2020-06-23-tweedekamer-32.u34	Mr. Chairman. The question then is: is there going to be maintenance? Because we had a whole debate on Thursday. In my opinion, the VVD has asked quite literally: that 1.5 meters, is it going to be maintained, in line, at check-in, at boarding, at security? And then the answer was, yes, we're gonna take care of that. Then, on Friday, things are gonna go wrong. And Schiphol says: yes, the 1.5 meters, we cannot maintain them; the people must only wear a mouth cap. Does the Minister agree with me that the 1.5 metres should simply be maintained?
ParlaMint-NL_2020-06-23-tweedekamer-32.u35	It has been very clearly agreed that the 1.5 meter is also maintained at Schiphol Airport, except in those places where there is no traffic, and that is when checking in, at the security filters and when boarding. That is why it is necessary to wear a mouth cap there too, so that the wearing of the mouth cap should be maintained. That is the indication that went to the security region from VWS, and that is also maintained by the military police and so on.
ParlaMint-NL_2020-06-23-tweedekamer-32.u36	A short question from Mrs Kröger.
ParlaMint-NL_2020-06-23-tweedekamer-32.u37	But does the Minister recognise that it depends on how many personnel use Schiphol or there are long queues at security, at check-in, at boarding, so they have an influence on that? So we really have to make sure that Schiphol just pulls the wallet and doesn't sit "slim," creating incredible congestion? You can't just let this happen, can you? Surely this is unacceptable and unacceptable for all those sectors that are now in unbelievable losses because they maintain that 1.5 metres?
ParlaMint-NL_2020-06-23-tweedekamer-32.u38	I agree with Mrs Kröger that Schiphol cannot create situations there because of austerity that can occur in a different way. But in the end, of course, I will come back to the answer: it is the responsibility of Schiphol and the security region to maintain what we have agreed with each other.
ParlaMint-NL_2020-06-23-tweedekamer-32.u39	Schiphol is being looked at incredibly critically, especially at this time. Somehow I find that very annoying for all the people who work at Schiphol Airport, who are doing their best to ensure that they can abide by the rules. But I get it, too. This has to do with what Mrs Kröger just mentioned, namely that in many places people have to abide by rules and they feel that they do not apply in some places in the Netherlands. They think of Schiphol. In March we saw the footage of the luggage tyres. All luggage to one tyre...
ParlaMint-NL_2020-06-23-tweedekamer-32.u40	Mr. Paternotte, your question to the minister is? Because you've just indicated what you...
ParlaMint-NL_2020-06-23-tweedekamer-32.u41	...all luggage to one tire, causing crowds, and now back in the hallway. "Avoid crowds" is a very important adage that the government communicates. This also applies in such a large hall, where a lot of people stand in line. By spreading that, you can avoid crowds. My question is whether, as a system operator, you would like to address Schiphol and whether you can check whether Mrs Kröger's implication or suggestion is correct, namely that it is the use of resources.
ParlaMint-NL_2020-06-23-tweedekamer-32.u42	Of course, Mr Paternotte and the Chamber can expect me to remind Schiphol regularly, if necessary. I've been in touch this weekend, too. Then you ask what's going on. I've also been in contact with the security region. I've been in touch with colleague Grapperhaus. Of course we do, but in the end they are responsible for that enforcement. I will certainly appeal to them, if necessary.
ParlaMint-NL_2020-06-23-tweedekamer-32.u43	Thank you. In my view, then, there is the motion in part No. 815. Or are there any outstanding questions?
ParlaMint-NL_2020-06-23-tweedekamer-32.u44	Yeah, the motion to part No. 815. I had only gone through with the questions because I noticed that Members did not have the motions yet. This motion is by Mrs Kröger's hand. It invites the Government to commit itself to the ICAO Council to postpone a decision on the baseline of CORSIA and invites the Cabinet to submit its position on CORSIA to the Chamber in advance. Now I would like to give a ruling on the second request, Chamber, but I cannot give a ruling on the total, because we in the ICAO Council speak on behalf of seven countries and the Netherlands is the only country in the seven countries that is in favour of postponement. So we simply cannot do that, because we represent seven countries. We have indicated that, but you are not alone. You're there on behalf of the other countries.
ParlaMint-NL_2020-06-23-tweedekamer-32.u45	So the motion in part No. 815 is dissuaded?
ParlaMint-NL_2020-06-23-tweedekamer-32.u46	Yes.
ParlaMint-NL_2020-06-23-tweedekamer-32.u47	Mrs Kröger, shortly.
ParlaMint-NL_2020-06-23-tweedekamer-32.u48	It would also have been strange if the second part of the motion had been dissuaded, because there are already two adopted chamber motions that the Minister has requested before adopting an ICAO position to submit to the Chamber. Now the Minister is silently agreeing to a slackening of the climate agreements, by actually saying that this 2019 baseline can, while we can also say that we simply have to follow an orderly process, that we postpone the decision and that we then properly submit it to the Chamber. Then we also follow what the experts recommend. Why doesn't the Minister want to follow that route?
ParlaMint-NL_2020-06-23-tweedekamer-32.u49	Again, our efforts remain the same. That doesn't change anything. But your specific request is for a delay. We cannot do that alone, because you speak on behalf of seven countries. Those other countries do not want a delay, so I cannot comply with that request. That the Dutch commitment is aimed at the non-weakening of the stakes, you can be sure of that. It's gonna stay that way.
ParlaMint-NL_2020-06-23-tweedekamer-32.u50	Mrs Kröger, finally.
ParlaMint-NL_2020-06-23-tweedekamer-32.u51	What does this mean for what the Netherlands is going to vote at the end of this week? Does it agree with that weakening to the baseline of 2019?
ParlaMint-NL_2020-06-23-tweedekamer-32.u52	Then the balance will have to be what the risk is if the whole of CORSIA is to die. Then I guess you have to choose the least evil. Then you will also think "better something than nothing," I think. But that's about the choice we'll be able to make.
ParlaMint-NL_2020-06-23-tweedekamer-32.u53	It is difficult for me to see what could be the motive of countries to say that they would find even delay unacceptable, because there is still a pilot phase first. After that, a final decision must be taken. In that pilot phase, a country may decide to choose a baseline different from that of 2020. So my question is: what is the hugely serious reason why countries object to this?
ParlaMint-NL_2020-06-23-tweedekamer-32.u54	Mr Paternotte asks me, with his question, what exactly are the reasons for these individual countries to want to do so, but I am quite prepared to look at what the countries want to give away in public and see if I can put some things together for you in a note. But that's all I can offer you in this. It will not be up to us; it will be unabated.
ParlaMint-NL_2020-06-23-tweedekamer-32.u55	Thank you. Then we have come to the end of this VSO Transport Council.
ParlaMint-NL_2020-06-23-tweedekamer-32.u56	I'm suspending the meeting for five minutes. Then we'll start with the patent law.
