ParlaMint-NO_2006-12-15-lower.ana.ud1937e38	The representative, Carl I. Hagen, will present a proposal for a representative.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e212	The representative, Bjørg Tørresdal, has taken up the suggestions she referred to.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e215	As others have said, the aim of the legislative amendment is to harmonise film and videogram laws with the new Section 100 of the Constitution, on freedom of expression. The centre party supports the changes that have been submitted here, and I would like to associate some comments with the themes that have been addressed by the Center Party in connection with the law change. The commercial pressure against children and young people is increasing. The marketing of different products is becoming more aggressive, and increasingly the marketing is apparently linked to lifestyle and body ideals. The aim of the centre party is to dampen the advertising press against children and young people and to ensure that for this group there are zones in society where the commercial pressure is less. The debate on marketing to children and young people is also part of a larger debate, namely the debate on the ever-increasing consumption we have added and, as we know, a huge environmental tax. The increasingly aggressive marketing helps to build up under increasing consumption. As a mature human being, we are able to both make up an opinion in the choice between different products and think about the pattern of consumption. Source, on the other hand, does not have the same intention to make these assessments. In addition to the impact of the marketing itself on the children, we have to take into account the fact that a large market pressure is involved in building up under a lifestyle of high consumption. Then there's a lot of advertising revenue for cinemas, and it's a challenge if any loss of these revenues can result in a dramatic reduction in cinema supply or even a complete fall away from some places in the country. Therefore, the Centre Party is pleased that the Government will both follow developments when it comes to advertising in children's views, and examine how dependent the cinemas are on these advertising revenues. The Central Party has the slogan: With the heart of the whole country. And our country is made up of small and large municipalities, towns and spreads. In such a country, the market is quite different, depending on the country. This is not just about the fact that advertising revenue can be decisive as to whether the offer exists at all, but it is also about the fact that many places in the country are only financially defenceable with an offeror within the cinema. It is then right, in the view of the Centre Party, that the municipalities still have the possibility to place leadership that ensures a good width of the cinema offer through the concession scheme. This is not about film censorship, it's about the fact that when an offeror gets to dominate a market, it's right to make sure that the supply that comes comes benefits the most in the community. Furthermore, the centre party is satisfied that the government decides that it should not be opened to view pornography in Norwegian cinemas. We support the pre-control of 18-year-old films. But we want to stress that the control is maintained for films for children and young people, and that it is important that previews are possible for these films if the distributor wants it. So it's like the Progress Party hassles with the plural view in this case, especially when it's about pornography. That must be done by the representative Knudsen of the Progress Party, but the Progress Party rules by itself, is talking about where they think the boundaries should go, because it's not that the Progress Party thinks there should be no limit to what is displayed on the cinema? If there are limits, you must manage these limits. There has to be an assessment, and someone has to review these videos. It is then that the case managers who are going to consider films based on the Progress Party's possible limitations are faced with exactly the same visual challenges as those who work within the Government's system – but the tolerance limit will be slightly different.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e233	I am pleased that the Committee supports the Government's proposal for amendments to the Film and Video Grammar Act. The proposal is primarily a adaptation of the film and videogram law to the new Section 100, on freedom of expression, of the Constitution. In the opinion of the Government, the proposed liberalisation is, inter alia: the abolition of the so-called adult censorship necessary to bring the law into line with Section 100 of the Constitution. At the same time, it is important that the law provides effective protection for children and young people from reports that may seem daunting or perhaps harmful. I am therefore also pleased that the Committee supports the proposal to maintain a ban on the display of pornography in Norwegian cinemas. Although technological development has probably run from the pure pornoquino, the Government believes that it is important and proper to set a different limit to what can be displayed in the public space than is permitted within the four walls of the home. With regard to the system of municipal concession for cinema, the majority of the Committee considers that the Constitution does not prevent the maintenance of access to conditions regarding the content of cinemas' programme offerings. I record that the number of committees with this interprets the Constitution differently from what we used in our proposal, and of course we take note of that. The Party of Progress, Right and Left notes that it is not natural and impracticable to operate with two different standards of prohibition for pornography, one for screening and one for placing on the market. I would like to remind the parties that this is the system we have had from the film law was adopted in 1987 and until the prohibition code was amended through administrative practices, primarily through the decision to allow the film 'The Kingdom of the Swiss' in 2001. I can therefore not see that the Government's proposal involves no major practical problem. When the same parties write in the setting in a minority comment that they can “difficultly see the fundamental difference between what you see at home in the living room and what you can see in a public view”, I have to say that I disagree with that. What to do within the four walls of the home, we're going to put ourselves in the least possible position, but in the public space, where people are exposed to what others are doing, and where an involuntary encounter with things, we're going to have other thresholds, and, once again, especially against children and young people. The difference must be quite clear also for those who want the most liberalisation possible. Well, for individuals it's great that they have to make their own choices, but we're not going to make the choices on behalf of others. Finally, I would say that the Government shares the majority's concern for the increasing commercial pressure on children and young people. These are issues that we will consider on an ongoing basis, not only in the advertising of children's shows in cinemas, but on a broad political basis.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e248	It's going to be line change.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e251	I initially have very little faith that there will be some market in Norway for the public display of pornography, but if that is the case, it is therefore that the government parties want to impose some restrictions on this by ‘injuring shame’. So, according to the comments, one has to assess the proximity of the sexual description and the extent of the sexual description. It's going to be the state council that's going to put these things into practice. There is a need to introduce legislation, a regulatory system and an assessment option. I could imagine hearing the Council of State's thoughts on how far away from the sex organs he thinks the film camera can be in such a context. And how much part of a movie can be sexual intercourse, without being affected by the law?
ParlaMint-NO_2006-12-15-lower.ana.ud1937e258	The representative Knudsen uses a completely different system than the actual one. What has been the approach of the Storting and the Government to this is that we have used that type of expression, ‘incriminated’, as a general term, among other things. because what is offensive at all times is changing. We have a different threshold for this today than we had 20 years ago, and we might have a different threshold in 20 years. It is therefore the legal apparatus that interprets it at all times into its time. I'm not here to satisfy the representative Knudsen's need for further, more detailed descriptions, but refers to the system that has actually been operating. I also think the representative should take on board that there is a significant difference between what people are doing at home – I think you should put yourself at the lowest possible level, based on the individual's freedom – and what we are exposed to in public space, where we have a common responsibility for what kind of borders actually exist.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e265	I think it is a little important to give priority to the most important things, for example. abuse of children wrongly referred to as child pornography. It's not pornography, it's assault. I wish you had a focus on it and not on everything else. But to this with the concern of public space: is it that the Council of State has received a wealth of signals from a selection of cinema directors who are just waiting to show pornography in their premises? And a question related to technological development: in fact, there are a lot of people who put out movie clips of themselves, for example. on the Internet. The Internet is also part of public space. The Council of State will also ensure that the Internet is previewed, so that, for example: children or others do not see sexual activity in public space as when the Internet is?
ParlaMint-NO_2006-12-15-lower.ana.ud1937e274	Yes, the last thing we do is actually contribute, not through censorship, but through turbulence rules, through filters, through systems that enable parents to help their children both to use the Internet in a good way and at the same time to avoid accessing the sites that may seem offensive and perhaps frightening to children. I don't think there's any reason to make fun of that. I actually think it's an important task for the state and the public to facilitate it. But censorship of the Internet has not been proposed by the Government in this context. And no, we haven't received a lot of enquiries from cinema directors. But it is probably also because the law today does not open up for this, and there have therefore not been any market players who have been interested in it. However, we are also not interested in those market players entering Norway as in any other country that has different rules. We want the public space to be such that those who don't want to and don't want to run into this, will also be allowed to let go of it. That's what's here, and I can assure you that it doesn't take any attention away from the fight against child pornography, the assault on children or the other issues that the government is working on in full.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e281	I just want to stress that my question was not about children having access to porn, it's about all the others. My question is whether the Council of State will pre-surge large parts of the network that display pornography for adults — for example. some websites. That's what this question is about. This other one is actually so that the Right has been a proponent of, for example. in the Committee on Justice to get the Minister of Justice on the road to combat child abuse. So I just want to repeat the question: will the Council of State ensure that previews are also carried out by the Internet in relation to the adult audience? That's what's my question, not how to protect children, because we all agree on that.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e288	I think this debate will be terribly long if we have to explain to the representative Oktay Dahl the difference between going to Karl Johan and sitting at home and surfing the Internet. If you download pages from the Internet, it's not in the public room, it's a very private room where you sit and are on the Internet. It's not that you happen to stumble into a porno movie on the Internet, you just have to be a little more active about it in order to achieve it. But if, on the other hand, you get it in the public room, in shops, kiosks and in the street, I actually think some people in Norway will experience it steadily. Here the threshold is definitely different. The point must be that it has to be voluntary, it has to be your own choice if you want to look for that type of material. People have very different thresholds for this. Those who are liberal must also be able to respect the fact that others have a different threshold and that public space should be free of it. And so the Internet is not the public space where you stumble over things. At least you can get away from it very quickly, if you want to.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e295	Several have not asked for the word for a line. Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 261]]
ParlaMint-NO_2006-12-15-lower.ana.ud1937e313	At the request of the Judicial Committee, the President will propose that speaking time be limited to 5 minutes to each group. Furthermore, the President proposes that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e320	I see this case as a consequence of decisions that we made in connection with the budget, where we had a long, lively and pleasant, I would say, debate, and I'm just going to brief you on the content of the matter today. This applies to the reduction of the fee in respect of outlays by NOK 215 and to the removal of the additional fee by NOK 2236 in cases where expenses are taken. The majority want to screen people with debt problems against a high fee on forced recovery and debt default. Therefore, you have proposed to change the legal fee law.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e329	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 262]]
ParlaMint-NO_2006-12-15-lower.ana.ud1937e342	The odelsting shall vote in case No. 1 to 3. Before we go to voting: the President thought it was nice that we had representatives for the performance "Alt voor Rognan" at the Gestival Gallery. The assembly was applauded.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e397	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e407	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e415	Three proposals have been put forward during the debate. It's proposal No 1, by Ulf Erik Knudsen on behalf of the Progress Party and Right-wing Proposal No. 2, by Bjørg Tørresdal on behalf of the Christian People's Party and Left Amendment No. 3, from Bjørg Tørresdal on behalf of the Christian People's Party
ParlaMint-NO_2006-12-15-lower.ana.ud1937e546	The Progress Party, Right and Left have warned that they will vote against Section 13a.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e559	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e569	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e671	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e681	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2006-12-15-lower.ana.ud1937e692	There is no record available.
