ParlaMint-NO_2006-02-09.ana.ud1041e51	The representative of Laila Bavøy will make a private proposal.
ParlaMint-NO_2006-02-09.ana.ud1041e157	The Chair of the Foreign Affairs Committee spoke about the Palestinians and possible demands, or non-requirements, and the reason for making demands. We experienced a choice that, at least in retrospect, did not turn out to be particularly surprising. But wasn't it also about that we didn't have the ability, would, desired, dared to make the necessary demands on Palestinian leadership, and that corruption, the unculture, the need on the Palestinian side were allowed to break in such a way as extreme forces, such as Hamas, were able to exploit, so that they won through a democratic election? Do we not do the Palestinian people a bear service by failing to make just strict demands?
ParlaMint-NO_2006-02-09.ana.ud1041e162	Of course, strict requirements must be met. In particular, strict requirements shall be imposed when Norway has financial resources. What I think is important, however, is that we do not have a system of dual morality, which makes special demands for some countries, some groups and some actors in a conflict, but we do not make the same demands on the other side. I believe, of course, that those who lost their elections in Palestine have a great responsibility for it. At the same time, I think that the previous Palestinian authorities were in an unusually difficult situation, where not least the Israeli occupation made it impossible to make a real progress for the Palestinian people, and that there is one of the main reasons why it went as it went. What's my main point now is that we don't have to use this opportunity to close the door, but rather try to influence the new powers in this area to meet their neighbors.
ParlaMint-NO_2006-02-09.ana.ud1041e171	Both the presentation and the members of the Foreign Affairs Committee have now focused heavily on current and northern issues. It's important and big things, but when you focus on what's very current here, it's quick to lose something else. I am concerned that the northern regions should not be shadowing our neighbourhoods. We are facing a major and important development in our neighbourhoods. Both Belarus and Ukraine shall have elections within the next month, but the Government’s statement did not mention it in a word. The Chair of the Foreign Affairs Committee did not mention this either. Belarus may be what is almost a dictatorship in our neighbourhood and in Europe today. Ukraine has a fragile democracy. It's about 10 million. people in Belarus, it is 57 million. human beings in Ukraine, and it concerns situations that are quite crucial. What is the Labour Party's policy in these areas?
ParlaMint-NO_2006-02-09.ana.ud1041e178	The situation in Belarus is a stumbling block to European society as a whole. I have to be honest and say that Norway's role here must be working with other European countries. I myself have been involved, through the Council of Europe, as an observer of the elections in Belarus. The result was that we didn't approve the choice, and Belarus was left out as an observer, which we believe helped to increase the pressure on the authorities there. And of course, it's so that one could probably have had a larger activity associated with this area. I totally agree that we need to have a foreign policy based on the problems that we see arise, and not to a large extent let's take the lead of what's up in the media at any given time. Our role in these questions must be to work closely with our allies, so that we can increase the pressure on Belarus, and at the same time be involved in supporting the democratic forces we see in these countries.
ParlaMint-NO_2006-02-09.ana.ud1041e185	I listen with great interest to the inauguration of the Chair of the Foreign Affairs Committee. It was the first step in a purely foreign policy debate here in the Chamber, and in my view it contained many perspective-rich thoughts. It's, basically, nothing I disagree with in the analyses that were done. On the other hand, I was rather surprised that the first newspaper post I saw from the Chair of the Foreign Affairs Committee went against what he said here in the introduction. Then he talked about that even a small country that Norway had a responsibility to do its own. Norway has a tradition — through voluntary organisations, through individuals and through our authorities — to make an international effort. The new leader of the First Foreign Committee is actually going against the new Oslo Centre for Peace and Human Rights. Does the Chair of the Foreign Affairs Committee think that there was a suitable debut in the public debate, and is the view of the new centre that appeared in his newspaper, the Labour Party's view?
ParlaMint-NO_2006-02-09.ana.ud1041e192	First of all, I would like to say that I am pleased that the Christian People's Party can join in the post that I have just held, and that I will be very honest, I feel that the Labour Party and the Christian People's Party are very close to each other in many of these questions, not least in relation to having development as an important part of Norwegian foreign policy and thus in promoting development in other parts of the world, and not least in helping to secure our own everyday lives. And then, unfortunately, it's not all a win and do, which gets the same attention. I want to deny that I have only had an output. I have had several reading posts in several Norwegian newspapers on different topics after I became the head of the Foreign Affairs Committee. When I wanted to discuss this new center that was created on a principle basis, it was precisely because I wanted to ask some fundamental questions. Unfortunately, the level of debate in Norway has become such that nothing can be debated without entering into a framework and being made either as an attack on persons or as a partisan. But what was my purpose was to get a discussion on a fundamental basis about something new, and I'm at it.
ParlaMint-NO_2006-02-09.ana.ud1041e201	The cord shift is over.
ParlaMint-NO_2006-02-09.ana.ud1041e205	First, I would like to thank the Minister of Foreign Affairs for a very thorough presentation. Of course, with the broad agreement on foreign policy in general in Norway, the Progress Party can support this presentation very much. I'm not going to spend a lot of time in the areas we agree on in my article now. Recent events show us that the world is not in harmony; there are conflicts at many levels. We don't want to describe it as a religious struggle. It's not a civilisation fight, either, but to the most extent it's a value struggle. It is about fundamental values such as freedom of expression, freedom of belief, freedom to be different and freedom to stand up to what is prevailing and ruling. These values are secured in our opinion by democratic rule and secularized societies. Totalitarian states that base their power on a fundamentalist interpretation of religion are the worst basis for good values. Provided we agree that democracy and peace are worth fighting for both at home and outside, how do we implement our foreign policy? How do we promote the values that we stand for and that we believe all people will benefit from? Here I would say that it has been done wrong, and it is done wrong. All too often, we ignore or close our eyes to the shortcomings of a state, totalitarian tendencies and obvious violations of fundamental human rights. We may explain that they have a different culture, they have no experience of democracy, we cannot impose our values on them – or that democracy building takes time. It's always an explanation of why things are the way they are, and maybe they stay the way they are. I do not believe that there is a prescription to create freedom that can only be adopted – far from it – but I believe that our policies, along with the policies of other democratic states, make a difference. Dialogue and respect are two of the most commonly used words in recent days, and with good reason. These are words that are positively charged and signal the will for peaceful human relations. But can everyone demand respect, and deserves everyone to participate in dialogue? Is there a limit to who we can sit down with? Do certain assumptions have to be in place? Let me give you a little historical perspective to make it clear what's meant. About 30 years ago, a military junta crashed Argentina with a hard hand. Political killing and torture were part of the Argentinean life. While this was happening, would it make sense to cooperate extensively with Norway and Argentina? Would it be right to finance the junta's military expenditure? And would it be right to have a human rights dialogue in one room, while the most cruel actions were carried out in the other? The examples are many – very many – on similar regimes that at different times have been of such a nature that, at least in retrospect, the cruel nature of the regime can easily be established. In today's modern communications society, we unfortunately know too much about what is happening in these regimes, almost as it happens. Today, unfortunately, there are many such regimes, regimes that both in law and action violate human rights strongly, which define women as second-class citizens, who do not tolerate freedom of faith, and who persecute ethnic minorities, to mention something. How do we deal with such states today? Should we always show respect? Are we always going to be willing to engage in dialogue, or are we going to make demands? And if we do that, it's going to be said that we can't make contact. We just isolate the problem, it gets claimed. I think, unfortunately, that by showing respect and dialogue for obvious despotic regimes, we only help to legitimize their existence, and show for both internal and external opposition that this country has the backing of the outside world. We must give respect, and we must have dialogue, but it must be with states that deserve it, states that have set a course against democracy, or that have a climate where dialogue is fruitful. There are such states, even in the Arab world. However, countries that make choices also have to withstand demands and critical searchlights. Such a differentiated approach would be a deliberate discrimination that says something about how important we see values, and how serious we are breaching human rights. The world society must set itself up for those countries where the reformer is great. We must not just encourage more democracy; we must be involved in ensuring it. It's about extensive trade cooperation, maybe collaboration in research and education, and, as the representative Sponheim talked about yesterday, a people for people-cooperation, to mention something that could be an arrow to promote democracy in a part of the world where it's been relatively unknown. In concrete terms, what I have now said is that we mean – at the moment of the presentation yesterday – that the time has come to participate in any human rights dialogue with Iran. And we think it is unwise that Secretary of State Johansen travels to Iran. With regard to the MR dialogue, I would like to refer to a previous meeting between the Foreign Affairs Committee and Peace Prize winner Shirin Ebadi and her criticism of the dialogue that has taken place between the EU and Iran. Most disappointed was the Progress Party over the presentation on the conflict between Israelis and Palestinians. We agree with the Government that we must support the Ministry of Business for President Abbas during the transitional period. But when the Minister of Foreign Affairs makes a point that we must not make too strict demands on the new government, we do not agree – on the contrary. Here we experience that e.g. the said Quartet has been very clear in its claims to Hamas for the recognition of the State of Israel and for the cessation of all terrorist activities. These are essential requirements. Here again, I want to challenge the government of whom we want to associate with, what values we want to represent, and not least what values we want to promote. Lack of ability to distribute well-being and combat corruption must take a great deal of the blame for the defeat of the current government in the West Bank and Gaza. Corruption has been staggering and is well documented. International patience with this unculture has not helped to promote good values. On the contrary, this has opened the way to more extreme forces. Once again, our policy has an effect. And we think the effect of a good policy is better in the long term than the effect of a clever and naive policy, where the fear of encountering someone is greater than the will to fight against unculture and tyranny. The Progress Party is today promoting a proposal that we believe describes a minimum of the requirements of future governments in the Palestinian territories must satisfy to deserve our cooperation and participation. I take up the above-mentioned proposal to demand that future Palestinian governments recognise the State of Israel and refrain from all violence and terror. The northern regions are important, and I am very happy that the Foreign Minister spent so much time in the northern areas yesterday. When I'm not going to spend that much time on it, it's because here we essentially agree with the Government, and we agree that this is probably the most important task for Norwegian foreign policy in the coming years. Nevertheless, we are concerned about whether our capacity to be present is sufficient – we have taken this up in this room earlier – and then we think especially militarily. Now we record that one has this for assessment, and wants it for continuous assessment, but visibility is important. As we now experience it, we have a defense that is neither large enough nor robust enough to be sufficiently visible. We believe that there must be work to ensure that we have the necessary resources, not least in relation to operations. For example, we want money and crews to run the new frigates that are soon on their way, from an annual perspective. In this perspective, we are also concerned that we do not take on tasks and responsibilities militarily that make us lose the ability to be present in, for example. The Barents Sea. We agree with NATO's new strategy and the importance of contributing abroad, but this must be done with caution. And when it comes to dealing with new, heavy problems in Africa, we're skeptical, not to say outright negative to it. We believe that this will extend our resources in a way that is not reasonable. We are already struggling with recruiting crews for foreign operations. This problem will only be further reinforced if we now take on new tasks, at least with the dimension we have in today's defense. If it's the will of the majority to bet more on the defense, of course we'll get back to it. Finally, I would just like to mention Norway's role in relation to peace mediation. We have been critical of this for some time, not because we are negative about Norway's participation, but we believe it is a bit of a focus in Norwegian foreign policy. Nevertheless, there are many important tasks that we do. I want to mention Sri Lanka in particular, because there we are in a critical phase. We see it so that all the forces must now be invested in order to get to something. This is not the time to do anything half-hearted – not that I have any idea that the government will do something half-hearted, but I think you have to bet on a wide front and give it a time perspective, for a process that goes out for years more, I don't think any of the parties are served with.
ParlaMint-NO_2006-02-09.ana.ud1041e269	The representative of Morten Højlund has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2006-02-09.ana.ud1041e274	I feel that we can rewrite this post by getting one of the Phantom's slogans: tough on those tough ones. That may be okay, but if that leads to a closing of the doors, and not least that one increases the legitimacy of some government in their own people by getting an external enemy, I think it's the wrong strategy. The Progress Party is the party that differs most in Norwegian foreign policy, especially when it comes to aid policy. I think the last few days have shown that helping people out of a difficult situation actually also helps to secure our own situation here in the country. We have now seen attacks on Norwegian public institutions abroad, but we have also seen a great danger of Norwegian commercial investment. Does not the Progress Party see that their proposals to reduce aid by 9 billion kroner will actually help to make the situation in Norway more insecure for us who live here?
ParlaMint-NO_2006-02-09.ana.ud1041e281	Hardly against the tough – I live well with that description in relation to aid and development, important issues. We feel that we have a good and comprehensive development policy. And to take one perspective, emergency help, we feel absolutely that we're at full height. We feel that we have an offensive trade policy that will meet the interests of developing countries in a very good way. Debt-lending policy, where we consider it to be paramount with all due respect, is one of the key elements in creating fundamental prerequisites for development. And not least what I tried to sketch about an active relationship with democracy building and freedom building, which is probably one of the most absent in developing countries, is a good tool and a much better tool than continuing with assistance, which has had a very varying effect.
ParlaMint-NO_2006-02-09.ana.ud1041e286	On 30 January, Siv Jensen stated according to NTB: ‘The only way we can force the UN to start the cleanup is to threaten to stop the cash flow. For too long, Norway has uncritically pushed money into the scandalous colossal colossal. There is reason to ask questions as to whether the necessary criticism has been omitted because many in the Norwegian state apparatus have wanted a position in the UN.» And she says, ‘The UN shall not be a place where the North shall sunbathe in positions.’;» Apart from the fact that this is a funny statement about some of the Northmen who have done a good job in the UN, from Trygve Lie to Gro Harlem Brundtland, Jan Egeland and Terje Rød- Larsen, many of us are concerned that the world has rarely needed a multilateral organisation that respects international law more than now. It does not prevent us from being concerned about reforming. It can be done actively within the system, or you can sit outside and wait for the result to come. Does it not worry Morten Höglund that the policy of the Progress Party would isolate Norway in the world?
ParlaMint-NO_2006-02-09.ana.ud1041e301	Now one could almost get the impression that the representative Vallersnes thought that the Progress Party wanted us to resign from the UN. Of course, we have never mentioned that. We believe that in important areas of environment, international security, peace building, etc. the UN has a crucial role and no one else can replace the UN in that task. We are concerned that the UN should work. That's exactly why we're dealing with these things. Norway is the seventh largest contributor to the UN, and in relation to population, we are the second largest. We are an important player in the United Nations system. We believe that the means of pressure we have is financial. The need for reform in the UN is clearly documented far beyond this room and far beyond the ranks of the Progress Party. It is a pressure we believe to be beneficial at least to be tested. It's not about getting out of the United Nations, it's about being even more active in the reform process.
ParlaMint-NO_2006-02-09.ana.ud1041e306	In Norway, there has been active dialogue between the Muslim population and the authorities. In Denmark, there is full confrontation. The reasons for that can be many. Denmark has actively supported the United States in the war in Iraq. Fogh Rasmussen and the Danish People's Party have actively promoted cultural struggles, where the ingredients are a harsh immigration policy and the cultivation of pure Danish, which promotes the distance between «them» and «us». The progress party has gained a lot of inspiration from Denmark. The Progress Party is probably the party that has taken the most inspiration from Denmark, both in terms of foreign policy, and in terms of immigration policy – and cultural policy, in fact. With what has happened now, has the Progress Party begun to reflect on the fact that this road is not dangerous, and that it leads to explosions both foreign and domestic?
ParlaMint-NO_2006-02-09.ana.ud1041e313	I do not recognise myself in the entire description of Denmark that the representative Valle draws up. What she didn't mention, and I think it's important, is that the difference between how, for example. Islamic leaders have appeared in Norway and Denmark, and are quite obvious. While Norway, at least as I know, has been very responsible and a contributor to mitigate the level of conflict – we will take care of that, and we will develop it – many in Denmark have been almost inflamed with conflict and have helped to spread a picture of Denmark in the outside world that has not been right, which has been incorrect, and has damaged Danish interests. That's also part of that picture. I do not feel that people in Denmark have not wanted to have a dialogue with Muslims, but they want to have a dialogue with moderate Muslim leaders. There's a significant difference. So that's part of the picture. I think we're going to get the whole conclusion before we draw a conclusion on what is the result of Danish politics.
ParlaMint-NO_2006-02-09.ana.ud1041e318	The cord shift is over.
ParlaMint-NO_2006-02-09.ana.ud1041e321	This government's foreign policy was long marked by a series of markings, markings that were suitable to so question what was Norwegian foreign policy, about who were our friends out there. Norway’s relations with NATO, with the World Bank, with the EU, with Israel and with the United States were tested by the new government at the Soria Moria base. It is therefore particularly gratifying that one of the main features of foreign policy by the Minister of Foreign Affairs is to take care of and further develop the relationship with friends and allies, and to be our friends' friends. Then I hope that there is also agreement in the government about who our friends actually are. In a globalized world, what happens elsewhere in the world is becoming more important to us. The distance is getting smaller. The impact on individuals and on jobs of what is happening elsewhere is increasing. That is why I agree that international rules are important. International organisations that work are important, and not least a small country needs to work to stimulate it. However, it is also important to realise that a small country such as Norway is dependent on strong allies to ensure vital interests at home and outside. Carl Bildt said at NHO's annual conference that in sunny days it might be an advantage to stand alone, but when it storms, it's good to have steady friends, friends who don't fall in your back. It takes time, mutual trust and respect to build friendship. Destroying friendship, on the other hand, is not that difficult. So we were worried for a long time that the government's many different outcomes would make us friendsless. The Minister of Foreign Affairs' statement therefore represents a prolonged normalisation of Norwegian foreign policy, and I hope it will be followed up in the continuation. What you can say after the presentation is that the main lines of Norwegian foreign policy are fixed. It's positive. It is especially gratifying that the Government has chosen to continue the strong commitment of the previous government to the northern regions. The foundation for an active north-eastern policy has been laid. In June 2005, there was a wide-ranging discussion of Norwegian north-eastern policy in Stortinget, where a clear majority felt that Norway would strengthen its position in the northern regions by facilitating Norwegian companies to participate in the petroleum industry in the Barents Sea. That's what it said: ‘Norway’s position as an energy storm power must also be exploited at the highest political level. Such a focus is necessary to promote our own natural and environmental interests.’ We must be absolutely clear that the northern regions can become an energy region of global importance. And the world needs more energy. High growth in countries like China and India, along with political unrest in several important oil producing countries, makes oil today feel like a scarcer good than just a few years ago. Security of energy and supply has now become a dominant policy issue in many countries, and also internationally. Europe’s energy vulnerability became more apparent following the disagreement between Russia and Ukraine at the turn of the year, on the conditions for gas supplies and transport. And the President of the United States, on his side of the State of the Union, stressed on 31 January that the United States had to reduce its dependence on Middle East oil by 75 pst. by 2025. During Russia’s G8 presidency, energy issues are one of the main priorities. Norway should position itself in energy and foreign policy to help provide both the EU and the United States with some of the answers they are looking for. The availability of sufficient energy will be a crucial factor in maintaining our standard of living in the West. At the same time, however, energy supply is even more necessary as a prerequisite for economic growth, development and stability in the Third World. Millions of people can be lifted out of poverty through growth and economic development, where energy is a crucial factor. The main foreign policy contribution Norway can make as an energy nation is twofold. On the one hand, Norwegian companies and authorities should continue to use their experience and competence to help new petroleum producing countries to extract their resources in the most environmentally friendly way possible. On the other hand, participation of companies from Norwegian petroleum environments makes technology available so that they can extract as much oil and gas as possible. It is also important in foreign policy to look at how energy forms challenges for international society in a new way. We see today that China's positioning in very many third-world countries is justified by the lack of energy. 40 pst. they have their own energy. If we just go 10-15 years back, they would have 100 pst. coverage. We experience the challenge when we demand good governance to countries in the Third World. When calling for human rights from a single UN organisation and from Western countries, we face the situation that China is responding to its energy needs and ensuring that they do not become effective, because they contribute instead. This means that the rule of law and the United Nations system in the field of human rights are becoming more important and more important, because self-interests in energy, in particular, now seem to undermine part of what we want to achieve from human rights and democracy in many countries. I hear that the new government is going to pursue a more active European policy. I'm a little uncertain about what the Government is putting into a more active foreign policy. But I'm glad it's still going to be active. In the absence of full membership of the EU, we need to make best use of the channels available to us in order to win out with Norwegian interests. I think it is reassuring that the Minister of Foreign Affairs says that the Government will call around the agency that ensures a level playing field for Norwegian companies and jobs. I interpret this as both the fact that the EEA Agreement should still be at the heart of EU policy and that it should ensure that the EEA Agreement as a whole is, in fact, similar to that of the EU's own body of agreements. It is a little surprising that the members of the Government repeatedly choose to ignite the spark that can easily set the whole agreement on fire, when no less than four of the Government’s government’s government’s government has rattled with the right of reservation in the EEA Agreement. It is possible that it is an active policy, but I do not think it is a constructive policy if we are to ring around the agency that can guarantee a level playing field for Norwegian businesses and jobs. An active European policy is essential if we are to deal with a Europe of continuous change. In an otherwise comprehensive presentation, the Minister for Foreign Affairs did not find any place in his view of the EU’s developments or forthcoming enlargements. It is important to stress that through the EEA Agreement we will be most affected by an extension. I miss the reflections of the Government and the Minister of Foreign Affairs on this. How does the Government address the debate on the external borders of the EU? It is also important that an active European policy is wider than the EU. I have expressed my amazement at the fact that on 17 pages that are not written in one word, there is no mention of Ukraine or Belarus. The main challenges of democracy in Europe today are these two countries. Both must have a choice for the next month. This concerns Norway directly. Ukraine and Belarus are located between the EU and Russia. The borders with the EEA region of which Norway is part. Their future will affect our future and the whole of Europe. I want to challenge the Government to develop a strategy for how we can contribute to the establishment and consolidation of democracy and human rights in these two countries. How are we going to deal with the involvement of the broad network of organisations, volunteers and parties and in and of political parties to help strengthen Ukraine's democracy and strengthen the opposition in Belarus so that the pressure from within to experience a change is equally strong? It must not be that Norway seems to have an emergency because of our priorities of maintaining a friendly relationship with Russia, because Russia still sees this as part of its sphere of interest. Belarus is Europe's most authoritarian regime. Freedom of expression and organisation are very limited, journalists and oppositionists are being persecuted. Norway must help to save the stumps of democracy for 10 million. White showers, which are on the border with the EEA territory, of which we are part. In Ukraine it has been a year since the Orange Revolution. The democratic process is far from complete, and one may quickly experience setbacks in the election process. In our quest to understand the attacks on Norway in the Middle East, we should not be tempted to respond in simple terms. The aggression is linked to oppression, undemocratic regimes, strict bans on free political expression, except Islam, extensive corruption, uncontrolled population growth and economic tensions. Regimes such as Syria and Iran can also be suspected of touching on this in relation to their own policies. Some of these are marked by an internal political agenda. With 17 pages, it's a big story, with a lot of themes. That's why there's a lot of speakers from the Right who deal with different issues, to show our views on what the Government has said.
ParlaMint-NO_2006-02-09.ana.ud1041e354	It's going to be line change.
ParlaMint-NO_2006-02-09.ana.ud1041e358	Let me first commend the representative Solberg for having taken up the situation in Belarus and also mentioned Ukraine. I think there should be a broad consensus that we should follow up on it. Then I might think that the representative should abandon his initial rhetoric, because it is continuity, and there is a broad consensus on Norwegian foreign policy. That's the way it should be. We should be predictable as a nation, both to our allies and in our international work for peace, development and human rights. At the same time, we have a government that has a new value base. And if there's anything this government is betting more on than it's been done before, then it's building up an international legal order and increasing bet on the UN. It concerns the channelling of assistance, but it is also important for the Workers' Party and for the Government to strengthen the UN's authority in the world community. It might be interesting to hear what the Right Leader thinks about the Siv Jensen committee team's play on freezing the money to the UN as long as we don't get rid of superfluous bureaucracy, and as long as the reforms are not done. I heard her party trap here instead, but it's a little interesting to hear how Erna Solberg deals with the Progress Party in this matter.
ParlaMint-NO_2006-02-09.ana.ud1041e365	I am not reading any new value base out of this government in terms of democracy, human rights and belief in international organizations, in relation to the previous government. That's where I think we've been so strong. I'd rather ask a few small questions, because there's one topic – to put it that way – in the statement about this that I've been a little surprised about, and that's the one-sided focus on dialogue, with Cuba as an example. The reason for this is that if you use the exact same rhetoric, we're going to reintroduce a cooperation with Zimbabwe – which at least we're strongly opposed to. It's important to say that sometimes the regime dialogue doesn't work on. Yes, we're in favour of a strong UN, yes, but we're also in favour of our development aid working in the best ways. We think the World Bank has done a good job. There's a lot of rhetoric around the UN, but the 100 million. kr, which was moved during the budgetary procedure last year, is not exactly the big and dramatic one. We believe that the UN should work well. It is important to work against corruption, but I don't think threatening to draw money support is the right way to get it done.
