ParlaMint-NO_2006-06-15.ana.ud2170e119	The representative, Olemic Thommess, will make a private proposal.
ParlaMint-NO_2006-06-15.ana.ud2170e263	Let me start by taking up the suggestions that the Progress Party is on, and I've remembered that. There are many themes you can focus on in a matter like this. The management plan has the task of clarifying the overall framework for marine activities. The representative Nordtun explained a lot about it, so I'm not going to repeat it. The management plan shall also balance many different interests where the petroleum industry is only part of the large picture but, in the opinion of the Progress Party, an important part. Shipping, oil protection, fisheries, rural policy, foreign policy and infrastructure are all important issues that you can and should say a lot about, and the Committee has done so. However, in most of these areas, the Committee agrees mainly on the basic approaches to the development of the northern regions. Everyone in this room wants the best for the people of North Norway, and everyone wants a good balance between the different interests. Environmental vision is well anchored in all parties. This disagreement is more reflected in different assessments of the risks and consequences of accidents. The Committee is united in expressing the importance of such a readiness to protect oil, a good navigational officer and in stopping fishing for thieving purposes and promoting sound oil activities. My colleagues will address this in more detail. With such broad consensus on the general context, it is the practical implementation that will ultimately target whether the Government has succeeded in its policy. Unfortunately, broken promises already in the initial phase – already before the ship has sailed – have shown that there is a concern that one will achieve the objectives expressed by the Government. It's enough to look at what happened to voluntary oil protection. The WWF has applied for support and has been defrosted with crumbs. It's enough to refer to the sailing director, where the government has expressed a target of 30 miles from land, but already in the first posts they added up to 14 miles. The acquisition of knowledge, which everyone focuses on, does not harmonize with the total closure of Nordland VI for the acquisition of knowledge, and the failure of Northland VII and Troms II to establish consistency. Some would like to respond to the fact that today's debate focuses a lot on oil activities. For many in the north, tourism, fisheries and other business sectors are still more important sources of income than the oil industry will be. However, I would still like to focus on oil and petroleum policy, because this is where the most important policy is to be defined today. The management plan is most specific in terms of the framework for the oil industry – where it will be opened and where it will not be opened in this context. While the Committee correctly states that shipping has the greatest environmental challenges, it is still the oil industry that becomes the victim when SV is to be awarded some victories in this matter. Many in the government parties will refer to the management plan as a great victory, even though they fully know that they have broken a pile of election vows in this context. All, especially in the north, believed that the government would clarify the framework conditions for Northern Ireland VI, Northern Ireland VII and Troms II. Many voters in Northland and Troms thought one vote to the Workers' Party would give a management plan. Instead, they got a postponement plan. The most prospective areas of oil activity are not opened. They are not properly closed either. The government only postpones the matter. Then it's natural that a lot of people will focus on it. The Progress Party wants a more offensive and optimistic attitude towards the role of the petroleum industry in the management plan. Over 30 years of experience from the North Sea has given us valuable experiences. We are among the leading countries in petroleum-oriented technology. Snow White and Worm Lange illustrate that technological challenges can be solved. There are positive notes between the oil industry and the fishing industry, and there is reason to believe that one would have success off the coast of North Norway, as one has had off the coast of Rogaland. Unfortunately, there is political emergency aid to SV that puts an end to the activity in several places. Now it's not all dark -- there's a lot of things to enjoy. It's a pleasure that the oil adventure will be speeding outside the Finnish coast. There reason has prevailed, and the wishes of the broad majority of population that exist are being fulfilled. This is possible because, fortunately, SV has lost both its ultimate demands in the election campaign. They shall not be passed on to petroleum-free areas at any point. Thus, there are no permanent obstacles that make it difficult for other large numbers to make changes. They don't stop Goliath – a project where the party spokesman drove civil disobedience to stop. Fortunately, the unorthodox practices of the Minister for the Environment in the autumn towards the exploration activities of the oil company Eni proved to be just a blow in the air. Fortunately, the Minister of Environment’s statement at the SV National Governing Council that the desire to fight is felt by the fact that oilmen dressed in clothing was just a formulation for internal use. Some necessary and relatively uncontroversial clarifications have been made in the management plan, and that is good. So far, only a few of these questions have been pushed forward, pending the plan, and it is good that those decisions can now be taken. At the same time, I cannot allow patriotism to take over completely, as the representative Nordtun did when he spoke to NTB on the day the committee gave its opinion. I cannot go forth and lift the Norwegian flag and cheer silently over what has happened, for many areas of Northern and Troms have been subjected to a regular political regime, since the management plan has become a defensive postponement plan. The few understand why the government refuses to open the impact investigation of Northland VI, Northland VII and Troms II. These are the most prospective areas of the petroleum industry, and geographically they are outside areas where relocation has been normal for many years. It is a paradox that the Government will deny systematic knowledge of the consequences of petroleum activities in these areas. This is done in a case where the word «knowledge» is used as often in the committee setting as the Workers' Party used the word «toolbox» in the election campaign. In retrospect, we see that the Workers' Party really meant to talk about jewelry boxes, not about toolboxs, and that's the same attitude towards vocabulary that's probably the reason the Government refuses to make an impact assessment. Knowledge is something the Government should adorn itself with, but not use as a tool for value creation. Where is the logic when the Government permits knowledge to be acquired through limited seismic and bird counting, but not so much that it can actually give a qualified opinion that the petroleum activity can take place without an acceptable risk? Where's the logic when the government says it's safe to run seismics in Northland VII, but not in Northland VI? There are no environmental reasons, as I have heard so far. It is likely that the government partner SV is afraid that knowledge must show that petroleum activities are sound and that they can live side by side with fisheries. I guess SV has observed how the petroleum industry has met the expectations, the requirements and the technological challenges. After all, we should remember that if we allow impact studies today, then possible expansion is many years, if not many decades, ahead of time. A lot of technology can be developed within the issues we are discussing today that will be solved. It therefore appears as pure symbolism when the Government chooses to do as they do. It is regrettable when the red-green government does not listen to the broad population of the north, to business and to industry, and not least to its own peoples elected in the regions, who want the regions to be subject to impact assessment. On the other hand, it is positive that the Progress Party and the Right are listening to the local forces. We're doing what the local workers' party representatives in all three northern states want. The Labour Party may continue to change its mind today because the proposals are for voting. We have done this in a constructive way. We invite to a cooperation where the government does not commit itself to anything for Northland VI, Northland VII and Troms II, other than to make an impact assessment. If the impact assessment shows that oil business is not appropriate, then we accept that. This is not to be opened up to oil companies. But if it turns out it's perfectly sound, we wouldn't have wasted many years for some parties to be allowed to train a desired progress. The Labour Party is trying to put itself in the middle of this case as evidence of a good compromise, as the representative Nordtun has said to NTB several times. The truth, however, is that a small minority in this Chamber have blocked the wishes of a large majority, and the compromise is only about postponing decisions for purely political and tactical reasons. This will be the narrowest oil compromise on Stortinget. The invitation offered by the government parties to the opposition in the autumn is not worth anything. 87 of 169 representatives are behind the majority who adopt the management plan. Some suggestions correctly illustrate that there is disagreement in the opposition as to how far one should go, but this disagreement is much less than the Workers' Party and SV illustrated in the previous period when they were able to flag their primary positions. Worse, for the Government, the opposition actually stands together on a number of proposals that we do not receive support from the government parties. That's what I think is sad, and it shows that the government's parties act as a voicepath. Fortunately, the Government is proposing a revision of the management plan as early as 2010. That's good. A lot of people are ready for rematch. No decision is taken today that specifically binds future government constellations. It is perfectly legitimate for the Progress Party to take that rematch and get the Northern Region bet on a better track. In fact, I believe that the Workers' Party will also be involved in that rematch, because we saw that they started the rematch already when the management plan was submitted, and so did SV. It shows how fragile this compromise is, unfortunately.
ParlaMint-NO_2006-06-15.ana.ud2170e312	The representative Ketil Solvik-Olsen has addressed the proposals he referred to. It's going to be line change.
ParlaMint-NO_2006-06-15.ana.ud2170e317	I think we should be happy not to vote for the reality description of the Progress Party. I think it's far from the truth. I just have to point out, as the representative Solvik-Olsen has now described, that here we have a part of the country in great growth, and here we lay the framework for the new development in the north. In the case of Solvik-Olsen, I just have to stress one thing: Nordland VI is consistent. We have decided not to engage in oil activity in this area during this four-year period. My main question to Solvik-Olsen is: does he not see the difference between an impact assessment, what paragraphs and what law underlie an impact assessment, and what we are now proposing with the acquisition of knowledge, before we should possibly go to that step in order to grant an extraction permit in 2010? Doesn't Solvik-Olsen look at this differently, and is he not interested that we are basing our decisions on as much knowledge as possible about these vulnerable areas?
ParlaMint-NO_2006-06-15.ana.ud2170e326	Of course, the Progress Party is concerned with as much knowledge as possible. That's also why we say that this should be done in the most proper and tidy way possible, so that we get systematics in it. Instead of doing as the government has done, hiding behind a protection of SV and saying that one will only have limited seismics, bird count and such things, the Progress Party wants to get systematics on this. I also believe that the representative of Nordtun knows very well, and would agree entirely with the Progress Party, whether he had been free and not in a government constellation. The point is, as Nordtun himself pointed out, that the purpose of an impact assessment is to see whether to open the areas. But there is no obligation in an impact assessment. If the impact assessment shows that this is not appropriate, there is nothing by carrying out an impact assessment that binds one to the immediate opening of the areas. Then one waits, develops technology, acquires even more knowledge, and then takes another round. That is what the Progress Party wants.
ParlaMint-NO_2006-06-15.ana.ud2170e333	You can get a rather dull taste in your mouth when you hear the talk of the Progress Party about knowledge and knowledge, and that it should be used as a basis for politics. The stage of progress is distinguished in its position by being those who will systematically take at least into account the environment. The Progress Party does not even have enough knowledge to conclude, in line with the rest of the world society, that man-made climate change is the greatest environmental threat we face. They also stand out in one more area. Even the Right Party, together with the Left and the Christian People's Party, supports the Government's framework for the petroleum industry, when we want permanent protection around the Bear Island, and when we want it not to operate in 65 kilometers around the island, which has the world's densest populations of seabirds. There we have enough knowledge to say that there's not going to be any business there. But obviously the Progress Party has enough knowledge of the other way to say that oil is also going to take place in the rocks.
ParlaMint-NO_2006-06-15.ana.ud2170e338	As I said to the representative Nordtun, the Progress Party systematically works to acquire knowledge. When we say we're going to have an impact study, it's worth noting that we're not saying that it should result in oil business anyway. That's the same thing we do when we don't want one to protect all the areas along the coast. One does not find anywhere in the setting where the Progress Party says that oil is to be opened tomorrow, but we say that we will not be able to protect it either. There's some difference. We believe that if the technology is so good and the legislation is so good that there is minimal environmental risk to oil companies in these areas, the Progress Party has no ideological problems in opening it up. I fully agree that in some of these areas we do not have the technology we need for oil business today. But neither does the Progress Party say the opposite. We don't want to get involved and commit ourselves to having a protection that will apply until 2010, if we like. finds out that the technology will be established tomorrow.
ParlaMint-NO_2006-06-15.ana.ud2170e343	The representative Solvik-Olsen had a post in which he was in many of the areas we are discussing today, but one topic mentioned the Solvik-Olsen not, and that is the climate challenges. It may not be so strange, because the Progress Party is not aware of the fact that it is the man-made climate challenges that are the greatest, nor does it agree that we need to do something about emission reduction – despite the fact that the experts in the UN Climate Panel are increasingly confident that we are talking about anthropogenic challenges. But the Progress Party will start an impact assessment of Northland VI and VII as well as Troms II now, although all the trade unions say that there is no evidence here that oil drilling in these areas can be done without damage to fisheries and the environment. Is it true, then, that the Progress Party only listens to professional experts when it suits the party, and does it not have to be when it means that some tough decisions have to be made?
ParlaMint-NO_2006-06-15.ana.ud2170e350	Climate challenges were both the representative Holten Hemdal and the representative Sørensen within, so I link those questions together in my answer. Yes, we also observe that in some places it is the weather phenomenon that is tricky, but what we also observe is that although the majority of the Stortinges believe that it is obviously man-made CO2 emissions that are the cause, not all researchers necessarily agree with it. We believe that there is enough doubt that we should avoid making any bastant conclusions about the large costs now. Rather, you can use the same time and money to get more knowledge to be sure of what the causes are, what the consequences will be, and what you can do about it. Then it is also a little odd that we are charged with the issue of climate change, while everyone in this room agrees to increase the oil industry in the northern regions, which will just aim to increase the oil and gas extraction that emits CO2. The majority in this room also believe that it is right to use mobile gas power plants in central Norway. The complaints about the climate policy of the Progress Party are then quite hollow.
ParlaMint-NO_2006-06-15.ana.ud2170e365	The cord shift is over.
ParlaMint-NO_2006-06-15.ana.ud2170e368	I think it's obvious to most people that the government should go a lot further in its activity to exploit the resources we have on the Norwegian base. One should go much further than what one has actually compromised and dared to do when it comes to investigating what kind of occurrences we have in our northern regions. I do not think it can be particularly consistent with the reality when the case-rapporteur in his main speech states that most people are satisfied with today's proposals and the position of the majority parties regarding the management plan. I'm afraid that you've equipped yourself with very terrible listening equipment with regard to all those who have great confidence in the many promises presented in the election campaign, not least from the wearing party of today's government, about all the activity you were going to go into in our northern regions. When you see what is being done in this area in today's setting, I think there are a lot of people who don't get excited, but are relatively depressed by disappointment. I believe that in many ways all those living and living along the coast are quite representative of the outcome of the study presented by the Committee, which clearly confirms – I would say in understandable clear terms to all – that the existing industries along the north coast are unable to prevent a continued deportation from the part of the country. Then it's a paradox to me that the energy storm power Norway is actually, with our experience from 30-40 years of activity in complex, challenging areas along the Norwegian coast, now chooses to take some rest cuts in terms of the activity we expected to be in line with the promises in our northern regions. We have built out a base that has created a wealth on land without equal in any other part of the world, and the West today is'stretching' because of the lack of people to put into the many vacant positions on land, and a well-being has been developed that appears to be a pattern without comparison with anyone else in the world. Then the Nordic youth simply don't understand that they're not going to have the same opportunities as it's politically determined to have in the rest of the country. It's just to take note that on the rise side the bearer government party failed in this area. The issue is that today's setting represents first and foremost the many lost opportunities. You lose opportunities, you lose time, you lose pace. It also ensures that the supply industry, what could have been built up in the north, also loses competitiveness. One loses the opportunity to be on the track with competitiveness and skill when the base is once built into the north, in the areas proposed by the Right with the Progress Party. We are strongly in favour of reopening the activities of Nordland VI, Troms II and Nordland VII, and we will also work actively to collect seismic data from the unopened areas of Nordland VI in the same way that the Government enters for Troms II and Nordland VII. I am also very afraid that we are losing pace with postponing in the uncertain within the cooperation to develop the base in the Barents Sea, also on the Russian side. We lose the possibility that world-class Norwegian technology and world-class Norwegian environmental standards can be involved in the development of the north. This is the side effect of the compromises that have been made on Soria Moria in this case, and it illustrates in many ways that limiting the pace of development also limits the rate of preparedness development along the Norwegian coast. So this is far, far from any win-win situation, so you could interpret the case rapporteur in his posts today.
ParlaMint-NO_2006-06-15.ana.ud2170e387	It's going to be line change.
ParlaMint-NO_2006-06-15.ana.ud2170e390	Righteousness puzzles me somewhat. There is a lot of evidence that Kristians today must have taken a lot of Møller's tran, when he says that this is a defensive plan, and that the Workers' Party is breaking promises. The reality is that the decision-making process with a new majority and new government is the cause of an offensive and comprehensive plan. The previous government would have presented a plan – according to Sponheim – with veto from the Left, which would contain several petroleum-free zones. This suggests that Kristiansen and Right are quite comfortable with and happy that they have come out of the band that the previous government put on the Right, that they are now happy to be done with the cooperation that they have had with the Christian People's Party and the Left, and that they now as a supporting party for the Advance Party have a new and active and clarified role for the future.
ParlaMint-NO_2006-06-15.ana.ud2170e397	I hope the voters in the north are able to judge the Right according to what we have actually done in the government position. We reopened the activity in the Barents Sea. We made sure to get Snow White in place, which appears to be an example of what the Workers' Party should have learned from, and which should have been taken further into account in all the promises made in the last election campaign, how Snow White and adjacent areas could develop in terms of new activity and new jobs. I think the Labour Party must sit with the attitude today that attack is the best defense. When today's government members from the Workers' Party said in the election campaign that they could not live with a situation where there was no immediate activity in Northland VII and Troms II, it could hardly be because I have taken too much Møller's tran. I think there are other people who have forgotten to use refreshing instruments that could have speeded up the political activity on the pedestal.
ParlaMint-NO_2006-06-15.ana.ud2170e404	The previous government was clear that the Lofoten was the most vulnerable area we have to manage in the Lofoten-Barents Sea area. The areas around Røst and inward towards the Westfjord are areas that are crucial for the spawning population of the world's richest cod tribe. It's also close to seabirds in the area, and there's coral reefs nearby. Most of the environmental criteria are in place, and none of the environmental or fisheries authorities recommend that activities should be opened up in the area of current knowledge. When the plan was presented, the right-wing manager said that she wanted us to have activity in this area as quickly as possible. Is it that the right jumps away from everything you promised in the last period, that what you do should be based on knowledge? Because here the knowledge is unique. With the knowledge you have today, you don't have to open up oil activity in Lofoten.
ParlaMint-NO_2006-06-15.ana.ud2170e411	I think SV should be extremely careful in today's debate about taking representatives from the Norwegian fishing industry to income for their vision, because it is actually quite far from the truth. I think SV has forgotten Norway's knowledge of the environment and technology, which is without comparison the best available in the world. We have 40 years of experience on Norwegian pedestal that has shown that we are able to master difficult conditions. In fact, it's not true that, in general, in the case of Northern Ireland VI, there are so many more complex conditions and challenges there than in parts of the rest of the Norwegian territory. I think that the SV really fights for – and you actually link yourself firmly to activity – is fair enough, but you don't have to push others in front of you in activity to prevent development. No one will see anything particularly useful in the long term.
ParlaMint-NO_2006-06-15.ana.ud2170e420	Ivar Kristiansen and the Right have spent time after the management plan was presented, accusing the Government of a breach of promises, and far from shutting down important areas for the necessary activity. They are associated with the Progress Party in most of the criticism of the submitted management plan, because you do not go far enough and because you do not open enough. At the same time, this government is attacked by the Left and Christian People's Party from the other side, because one opens too much and is not too environmentally friendly. Can Ivar Kristiansen tell me how he would have made a compromise if the government he represented in the previous period were to continue?
ParlaMint-NO_2006-06-15.ana.ud2170e427	I think we would like to discuss whether it is a breach of promises or not, what representatives of the government parties have presented in the vote today. What we're doing is quoting the right to quote from the Labour Party's leading representatives who are in today's government. If you read the setting, no one with the benefit of Norwegian education from Norwegian school today can call this anything but a breach of promises. I do not quote the members of the Central Party or the SV of the Government. I think that when you judge the Right, you have to do it after what we got into government. We got the Barents Sea reopened for activity, with the Christian People's Party and the Left in government. We were given a 19th concession round of 64 blocks, which has created an unparalleled activity these days in the Norwegian Sea and in the Barents Sea. But what I think must be a bigger cross of thoughts for those who travel around their national environmental networks is how we now lose time and opportunities for close and good cooperation with Russia, which in any case will go further – perhaps based on a different standard than the Norwegian one.
ParlaMint-NO_2006-06-15.ana.ud2170e434	The cord shift is over.
