ParlaMint-NO_2006-05-10.ana.ud1109e24	The representative Jon Hunter Gåsvatn will make a private proposal.
ParlaMint-NO_2006-05-10.ana.ud1109e262	I hear with interest what the Council of State says, but in the Soria Moria statement he says something different. It says the following: ‘The government will pursue a policy to counter excessive concentration of ownership and power in the media. The Media Ownership Act will be amended accordingly.» At the same time as the Council of State promotes this proposal – so he has promoted it – he goes out and says that it is entirely okay that the LO-Eide A press buys Orkla Media. In this way, Gerd-Liv Valla becomes head of two of the largest media houses in Norway. Does the Council of State believe that the Soria Moria Declaration applies to everyone else, but not to the movement of workers? Is that how to understand that any government council likes to be "similar" to others?
ParlaMint-NO_2006-05-10.ana.ud1109e272	It is quite right, as the representative Woldseth says, that the Government has actually proposed a change in the law – it is now under consideration in the Culture Committee – which reduces the overall ceiling that one owner can have from 40 p.m. to 33 pst. It ensures greater diversity. Of course, the Ownership Act applies to everyone, and it is the Media Authority that deals with any acquisitions. It is not even the case that the review procedure comes to the department; it has been added to an independent mention. So we as politicians don't go into individual matters. But we must be able to have an opinion about the laws we give; both legislator and government must be able to have an opinion about the laws. I have registered that the representative Woldseth's party still has an opinion on e.g. criminal law, punishment and that kind of thing. So with regard to the ownership law, I say the same thing today as I said when we dealt with it on 18 November 2004 in the Stortinget, that it does not prevent the three groups from selling individual newspapers between themselves. I'm sure of that today.
ParlaMint-NO_2006-05-10.ana.ud1109e279	May-Helen Molvær Grimstad – for follow-up questions.
ParlaMint-NO_2006-05-10.ana.ud1109e282	For the Christian People's Party, it is important that media failures, both local, regional and national – freedom of expression, that we need a comprehensive media supply, and that we avoid buying up that weakens the media diversity. It is important that we remain in Telemark, f. e.g. may have both Varden and Telemark Workerblad. Government proposals for new national ownership limits are something we consider. But in the debate that has taken place, I wonder if the Council of State is still focusing on ensuring media pluralism and freedom of expression, or whether the Council of State is most busy finding creative solutions to secure the A-press. There's another Trond Guess we belong in the Storting here now, than when he was in opposition. The announcements that have been made in the media have caused concern over Orkla and other media media by the fact that the Council of State has given a new signal. He says that he has always claimed the one, but if we look back at what the council has said before, it seems from the last announcement that it is allowed to be creative, as if the council has changed course.
ParlaMint-NO_2006-05-10.ana.ud1109e289	Let me quote what I said in Stortinget on 18 November 2004 about exactly this: ‘as I read the law, it cannot be an obstacle to buying parts of the group in the form of some newspapers.’ [[...]] That's what I said in 2004, and that's what I'm saying today. I think that a merged Orkla Media and the A-press will certainly be against regional ownership restrictions. Both in the West and the East, i.e. in Eastfold and in Telemark, they will come over 60 p.m., and thus the Media Authority will have to intervene. So I really don't understand what the representative Molvær Grimstad and I might disagree. But it's not like that if, for example, The A-press was supposed to sell the Bergensavisen, so everyone can buy the paper, except Schibsted and Orkla Media. So the law cannot be understood that way. That's what I said in 2004, and that's what I said in 2006.
ParlaMint-NO_2006-05-10.ana.ud1109e299	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2006-05-10.ana.ud1109e302	Central trustees in the Bondelag have said that they expect reimbursement from this government of the support they have given, and others from other trade unions have also said so. The leader of the LO said on 1 May that we now have a government working with us and not against us. It's also the director of the A-press who says it. With the openings that the Council of State has actually had, and with the double communication and the opening of creative solutions that the Council of State has had, my question is, is that how you get paid back in social democracy, and is that what the Council of State's principles are?
ParlaMint-NO_2006-05-10.ana.ud1109e309	No, it's not. When the trade union movement is refunded because we have a new government, it is essentially about us stopping the right-wing policy that, among other things. the Party of the Left was in the last Government. We have reversed the changes in the Working Environment Act, which created a tougher labour market, we have stopped the privatisation of, among other things. The school system and health sector, we have had more offensive efforts to tackle unemployment, and we have had a much better community economy, which means that we are developing welfare services. These and many other measures are the main reason why a large majority of trade unionists voted for a red-green government. In the case of acquisitions in Media-Norway, it is the Media Authority that controls it and enters into individual cases. I don't think either the positioning or opposition parties should go into individual matters on the basis of political motives. Nor can it be that the right-hand side of the Stortinget reinterprets the ownership law in order to prevent the A-press from making purchases in Norwegian media.
ParlaMint-NO_2006-05-10.ana.ud1109e316	Let's go to the next main question.
ParlaMint-NO_2006-05-10.ana.ud1109e319	I have a question for the Minister of Culture. We've recently been given the right many strong stories by those who are game addicts, who have played everything they own, and all the money. There are many who are tired of going to the store and trading bread and milk for themselves and their families, because they can't help walking past the blinking slot machines, which seem like a magnet on them. This means that they come out of the store without money and without food and bread for themselves and their family. While the Council of State is waiting for the EFTA Court, we see that in many municipalities there is a large-scale campaign of solidarity with the game addicts. Many municipalities want to be free to play, and some of them have become. The Christian People's Party believes that the government should start work on getting rid of the vending machines. If we had an automatic monopoly today, the political parties would no longer receive revenue from the slot machines. We know that there are 70,000 game addicts, and that nine out of ten dollars are put on the machines, come from people who are game addicts. We know that those who struggle with this feel enormous guilt and shame. Multiple batches receive income for their activity through slot machines. What did the Council of State think that political party is also financing its activity with these funds? Shouldn't Giske and the Workers' Party pretend to clean up their own houses, because the Workers' Party is one of the parties that gets funded parts of their activity through slot machines?
ParlaMint-NO_2006-05-10.ana.ud1109e333	I don't think that as politicians, we have the task of moralizing neither against the various political parties, the Red Cross, the Cancer Association, the Rescue Company, nor any other person who has income on the machines. What's our job is to create a regulatory framework, which a broad majority in this House have adopted, namely that we get a system that gives people the opportunity to play, which is the joy of many in small doses, while avoiding the major and serious social problems that gambling addiction brings with them. I fully share the representative's description and concern for those affected by this. It's just a disease, and it's not just those affected, it's family, friends and associates, and it's creating huge problems. So we have to clean this up. The size of the store has discussed this matter, and the ban was part of the discussion: to shut down all machines and encourage them, or, where appropriate, to ban machines. It said a unanimous biging, in fact, no, and all the parties except the Progress Party joined the model proposed by the Bondevik government, namely that Norwegian Typing should have the exclusive right to drive machines, that the number of machines should be drastically reduced – they should be away from grocery stores and places where people move most, and we should get another type of machine that does not create gambling addiction in the same way. We are then, as the representative is well-known, dragged into the courtroom time and time again by the automatic industry, which of course is concerned about losing billions of dollars. Now it sings in the last verse of that process. Hopefully, the EFTA Court will take a decision in half a year, perhaps a little more. Then I hope that we get the same conclusion that we got in the Law of Lawyers: full support for what the Storting has adopted, so that we can implement Storting's policy.
ParlaMint-NO_2006-05-10.ana.ud1109e344	I thank you for your answer. But I still think it's a little alarming. This isn't about moralizing. But we know that the political party will not be able to retain its revenue if we get the automatic monopoly implemented, with which the Christian People's Party has been fighting. Then these revenues will disappear. That's why, as politicians, we have a responsibility to clean this up. I didn't think we should jump from that responsibility. I am aware that the case is before the EFTA Court and that things have dragged out in time. I'm sorry. Then I thought it was important that the Council of State not just sit and wait. It is important for him to start work on how to get rid of the machines if we do not win out in the EFTA Court, instead of waiting for the decision and then starting with new distributions. It takes too much time compared to all the game addicts that we know are there. The signals are given by many – as the councils were also involved – both family and those who struggle with guilt and shame. This is a big problem, and now we feel that the municipalities are impatient. I wish the Council of State were just as impatient.
ParlaMint-NO_2006-05-10.ana.ud1109e353	I am probably as impatient as the representative after reaching a final conclusion on the matter and having it implemented by a broad majority in the Stortinget. I really hope that the EU rules do not prevent us from doing so. That was also what the right of the teamman came into existence. But we are now once living in a state of law, fortunately, so everyone – including the auto industry – has a legitimate right to run the legal proceedings that the legislation gives them. So we must unfortunately lubricate ourselves with patience before we get the decision of the Storting. But that doesn't mean we're sitting and waiting for it. We are now implementing concrete measures to remedy the situation today. We're launching a campaign against gambling addiction. We spend more money on helping addicts. We're closing down the banknote roof on the vending machines, hopefully now from July 1st, so it's going to be harder to play so much money away so fast. And we also have other measures under assessment to remedy the situation today. So we're in the process of doing what Molvær Grimstad calls for, and we're going to do everything we can to help those affected.
ParlaMint-NO_2006-05-10.ana.ud1109e360	The President will allow three follow-up questions – first Karin S. Woldseth.
ParlaMint-NO_2006-05-10.ana.ud1109e363	As the Council of State is also aware, the automation industry has already promoted various measures to combat gambling addiction, including in 2003. using 1 pst. of the gambling surplus for research and treatment of gambling addicts. In addition, they proposed to move the vending machines from the most vulnerable locations and to switch to less aggressive vending machines. How can it be that the Council of State does not engage in dialogue with the industry? Now three years have passed – and why does he not engage in dialogue with the industry and find a good solution until the judgment about the monopoly falls? This is not about a conflict between the Council of State and industry, but about voluntary teams and organisations and the addicts to gambling. Has there been such a high degree of achievement in the monopoly case that the Council of State is not willing to find constructive solutions with the industry?
ParlaMint-NO_2006-05-10.ana.ud1109e368	It is now the industry that has prevented us from implementing what the Storting has decided, because if it had not been for bringing us into the courtroom, the vast majority of people had actually implemented their policies. Now I've been the Council of State for only six months of the three years that the representative Woldseth refers to, but we're already working on proposals that can remedy today's situation, among other things. by closing the banknote roofs. We have other of the industry's input proposals under consideration. So hearings are required, formal procedures are required, which means that this can't be done immediately, but it's in full swing. Nevertheless, the broad majority, apart from Woldseth's party, believe that it is only an acquisition from Norsk Tipping and a control over the gaming market that is a complete solution. We have no tradition that the private gaming market controls, as it does now, more than three times as much of the turnover in games as Norsk Tipping does. We've used Norwegian Typing as the tool we have to have a responsible and good game policy, so that one creates joy in small doses, but avoids the big social problems.
ParlaMint-NO_2006-05-10.ana.ud1109e373	Olemic Thommessen – for follow-up questions.
ParlaMint-NO_2006-05-10.ana.ud1109e376	It is commendable that the Council of State has a focus on the victims in relation to gambling. But there's also another party in this picture, and it's the volunteer organizations. We have also noticed with some concern that Councillor Karita Bekkemelm has signaled a ban on telephone sales, which will also be an intervention in relation to the revenues of these organisations. If you think you're going to a ban, you're going to further complicate the whole picture of funding for the voluntary organizations that were behind the Bondevik government. What does the Council of State think of meeting the needs of voluntary organisations? There's a lot of money we're talking about, and we're putting these organizations in a very difficult situation.
ParlaMint-NO_2006-05-10.ana.ud1109e381	I don't think any government has had such an offensive platform for volunteering as the one in the Soria Moria Declaration, so facilitating good relations for non-governmental organisations is at the heart of the visions of the Red-Green Government. But what's happening now is that with the postponement of the introduction of the monopoly, the voluntary organizations earn billions of extra dollars that they should never have actually earned. What is then absolutely crucial is that voluntary organisations do not add to a consumption level on the expenditure side corresponding to this level of income. For that level of income will not last. There is no government and no large-scale majority, I think, who have some ambition to fully compensate for what is today's level of play. Then it's quite right that, among other things. The ski association is now making use of some of the revenue that you have on vending machines today, in funds, so that you spend the money over several years. Then, in cooperation with the voluntary organizations, we will find other and better sources of income, which do not create serious social problems.
ParlaMint-NO_2006-05-10.ana.ud1109e386	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2006-05-10.ana.ud1109e389	In fact, I want to start by bragging a little bit of the Council of State initiative in relation to the campaign against gambling addiction. But we've also got into a political mess right now. For the Left it was not the monopoly that was the point, it was the control that was the point, and now the Council of State is taking a good deal of action to get better control of the machines we already have. But I have two questions for the Council of State. Firstly, could the Council of State have intended to consider a stricter regime, a different type of control than monopolistic solutions, so that we would have come out of what we are up against with regard to EFTA today? And secondly, the Council of State has looked at the consequences of such a kind of ban, for example. what will result from opening Internet games? In opposition, the state council has been a great champion of bingo, and the bingo will disappear by such an automatic ban. So I wonder if the Council of State has thought about the consequences.
ParlaMint-NO_2006-05-10.ana.ud1109e395	Now let's calm any listener or viewer: the bingo is not going to go away. Even though we ban the automatic industry's private players and leave this to Norwegian Typing, the bingo will last, both in bingo rooms, radio bingo and other ways of playing bingo. It is not the bingo that creates gambling addiction to a great extent either. There are two types of games, the machines and the Internet games, which are now becoming a bigger and bigger problem. That shows the numbers that we have from the Guide. But for me, this is about two things: it's about getting a system that's verifiable, and there I totally agree with my predecessor, that it's just Norwegian Typing's exclusive right that guarantees. And then it's also about having a national right to decide the game policy in a country. The European Parliament recently said no to the European Commission's proposal to make games a free service during free movement within the EU/EEA area, and I believe that we should stand firm that this is where the Storing decides. We won the law on the same rules as the EFTA Court is to judge, and I have good hope of winning there too.
ParlaMint-NO_2006-05-10.ana.ud1109e402	Let's move on to the next main question.
ParlaMint-NO_2006-05-10.ana.ud1109e405	I have a question for the Minister for the Environment. It's interesting to follow SV in position. In some areas, a high and cash demonstration occurs when the lot is overrun by government. Foreign policy is such an area. In other areas, defeats are embraced and produced as an impact on SV. Environmental policy is such an area. The Labour Party parliamentary leader, Hill-Marta Solberg, called the management plan a scheme for giant petroleum activities in the north. She was right. The Minister for the Protection of the Environment, who comes from a party with a programme to combat all oil activity in the north, called on his side the management plan ‘ingenious’. When the management plan was presented and it became clear that SV had lost in significant areas, the Minister for the Environment stressed the importance of establishing a sea route of 30 nautical miles from the country. Ship traffic is a greater threat to the environment than oil activity, explained the Minister for the Environment. Now we know that SV has not reached in this area either. It is planned to sail 14 nautical miles from the Finnmark coast. Yesterday, the Energy and Environment Committee had a hearing on the management plan, and strong reactions from the environmental movement and from the Fisheries Team, which say that what is now on the table is a government lifting breach, and that a route along the coast is planned which invites conflict between fisheries interests and other shipping. Does the Council of State understand the strong reactions it triggers when planning shipwreck in fundamental conflict with environmental and fisheries interests and is the Council of State open to adjustment so that the arrangement is consistent with the promise?
ParlaMint-NO_2006-05-10.ana.ud1109e412	I still want to call parts of the management plan genius. Some of the genius of the management plan is the underlying methodology and method, the systematic monitoring of the state of nature, and the fact that all activity, both oil and petroleum activities, ship transport, fishing activity, must be based on ecosystem-based thinking. It is absolutely essential. Of course, it's in that context that the sailing side shadow shows up. It is important for the Government that we take seriously the fact that the greatest risk of emissions is just from ships. I have to be allowed to mention three key chords, so I have to make sure that different representatives understand the point here. We have a monitoring system along the shoreline that is Coast Guard. It'll work. 30 nautical miles from the coast. Then we have to make sure – we have some transport to go east and some transport to go west – that the transport that is most dangerous should go out further. That's why there'll be some transport in the shipping line, especially ballast water transport, which will go closer to 30 nautical miles. Of course, I can inform you about this in detail, but I can assure you that it is the consideration of nature and other activity that is why we have chosen that solution.
ParlaMint-NO_2006-05-10.ana.ud1109e419	It was clear that it was the methodology in the management plan and not the content that was brilliant. As far as the shipping side is concerned, the starting point for those participating in the debate is that SV in Stortinget has said that a desire for a 30-50 nautical mile off the coast. What the Environment Council is now saying means either that SV has promoted its policy proposal on the wrong basis, or that there is a scheme on which there is no possibility to make adjustments. It was precisely what the fisheries organisations and the environmental movement wanted yesterday, a dialogue with the Government in order to get a route that is in line with a promise when the management plan was presented, and not a scheme that is now, where shipping is managed into areas where fishing activities take place few nautical miles from land, with the potential for conflicts in it. Will there be a dialogue between these interests and the Council of State?
ParlaMint-NO_2006-05-10.ana.ud1109e426	There is always the possibility of dialogue. But what I want to say is that this is the way – these are the details – that in some areas the sailing trail will go within 30 nautical miles. In other areas it will go as far as 58 nautical miles off the coast. What is important, and as we have said, is that when there is a storm and wind, the monitoring system covers only 30 nautical miles. It is the Coast Guard that says that we can safely follow ships in storm, in bad weather, only 30 nautical miles. It is, in particular, when the weather is bad that the risk of accidents can increase. Then we can't lay the ship's traffic, ships full of oil, outside 30 nautical miles. These are, of course, details, but there's a clear reason, which is professionally based, for the decisions we chose to base when we applied for a route.
ParlaMint-NO_2006-05-10.ana.ud1109e431	The President will allow two follow-up questions – first, Tord Lien.
ParlaMint-NO_2006-05-10.ana.ud1109e434	It might be interesting to hear why it goes with 58 nautical miles somewhere, but not elsewhere. But I want to focus on something else. This was something everyone agreed on in the election campaign, including the Advance Party. Nevertheless, the Government does not get it. However, fairway limitation, together with proper towing boat readiness, may reduce the possibility of loss and acute oil spills. However, we need someone to clean up the beach zone when the accident is going to happen – a lot of work, and a work of competence. During these days, the Wilderness Fund is training volunteer staff to take care of these tasks. This is what the Government believes is so important that it sets at NOK 80000. Of a budget of 1.3 million. SEK to the Villlmarksfond gives the Government 80 000 SEK for this project. This is the Government's increased commitment to oil protection. Is the Minister for the Environment familiar with this?
ParlaMint-NO_2006-05-10.ana.ud1109e439	Oil protection is essential for us to be able to operate as close to the coast as we do. It is a matter in which the Government is very concerned, and as part of the follow-up to the management plan, both traffic monitoring and oil protection is something we want to increase. I can assure you that this is one of the issues we're dealing with, while it's a big challenge for us because the coast is both long and quite complicated in some places.
ParlaMint-NO_2006-05-10.ana.ud1109e444	Iver Kristiansen – for follow-up questions.
