ParlaMint-NO_2006-03-09-lower.ana.ud367e43	The representative Bent Höie will make a private bill.
ParlaMint-NO_2006-03-09-lower.ana.ud367e201	The proposals for today’s changes will mean that children’s law is much more adapted to the society in which we live. As Minister for Children and Gender Equality, I want to work for a more equal parenthood. Of course, the best thing is whether the best interests of the child and the need for maximum contact between both parents can be combined. My starting point is that, as a general rule, the child should have contact with both parents even after a breakup. Of course, if this is not compatible with the best interests of the child, consideration for the child must be given first. There is no political disagreement that it is good for fathers to take more responsibility and care for their own children after a breakup. When parents do not live together, it is important that things work together, and that both act as caregivers for the children they have together. We see a social development in which men want more association. That's good! Experience has shown that parents who have cooperated well and shared care tasks before a breakup are also more likely to cooperate afterwards. This contributes to fewer conflicts in the legal system. In this respect, I am pleased that the majority of the Committee so clearly points out the need to consider changing the standard of association so that the child's association with both parents is more equally distributed. I am pleased that an overall committee raises the child’s relationship with the local environment as an important assessment theme for assessing the best of the child in these matters. It is important to stress what several of the representatives have been involved in, that this is something other than a removal ban. One way to resolve conflicts is that all parents who move away are obliged to meet for mediation. The proposal proposes to extend forced mediation to cohabiters, while making the mediation system more targeted. I believe that this proposal will help parents to arrive at agreements on children and prevent the conflict from developing. There are cases where it is not good for children to have contact with one of the parents or where contact has to be limited. Violence and family abuse are a social problem, and both the representative Tørresdal and the representative Knudsen were involved in this in their contributions. We know that this causes great adverse effects for children. The law will now provide better protection for children in these matters as regards parental responsibility, permanent residence and association. Let it be clear: in such situations, the protection of the child shall be brought forward as the most important. Also, in cases where one parent may have killed the other, the proposition contains changes that will take better care of the child than at present, and that will help to avoid situations that are perceived as offensive to the relatives. I'm glad that Odelstingen joins these changes, which will help to strengthen the child's legal certainty in difficult matters. I would also like to stress that these measures deal with the specific situations in which the child is at risk of being abused, and do not change the basic principle that it is normally of great value for the child to be in contact with both parents even when they live separately. It is important that parents can cooperate well and share care for their children, whether they live in a traditional nuclear family or otherwise. As a society, we need to be more good at helping those parents who, through their own conflict, make the situation extra difficult for the children. Then we must succeed in getting parents to accept that a person experiences as a bad partner, yet can be a good parent. The child and both parents must experience that they are being taken seriously in these difficult matters. I believe that the changes that Odelstinget is dealing with today are a step in the right direction, and that they will help to make children's law more adapted to the diversity of family types that make up the Norwegian society. Finally, I would like to say that in the case of the nine proposals promoted by the Progress Party, I would like to take a close look at them when we go in and look at an evaluation of the Children's Act.
ParlaMint-NO_2006-03-09-lower.ana.ud367e218	It's going to be line change. The President notes that, on the basis of new guidelines, the lines are taken from the interlocutors down the hall.
ParlaMint-NO_2006-03-09-lower.ana.ud367e224	I thank you for that reminder. The Progress Party believes, as it emerged from my main post, that the most appropriate solution in child distribution matters is shared care. There are many countries that have looked at this solution. Now I registered by the post of the representative Olemic Thommessen from the Right that this was both difficult to get to and something that was perhaps almost impossible. I guess it's nothing new that the Right is a conservative party that's having a hard time reconnaissance. I perceive that the Council of State is many more open to thinking new, and also concerned with equality between mother and father. My question to the Council of State is: Will care sharing be part of the investigation process that she outlined at the end of her article?
ParlaMint-NO_2006-03-09-lower.ana.ud367e235	First, I want to say that the starting point for a review of the Children's Act will be the best of the child. As an active women's politician for many years, I have worked to make the father's role much clearer, and that Dad's rights should be much clearer. That's what you've meant when you've lived together in a community. That's why the government is now going in to get an extension of the dad's quota of 10 weeks. Of course, it is also natural for Dad to have the opportunity to get together with his child after a breakup is a fact. At the same time, we know that the political divisions intersect across all parties. We need to have a review of the matter. I can't forge what will be the Government's final decision today, but I can promise that the Council of State will take this seriously. I want to highlight all the aspects of it, and I also see that many of the proposals that the Progress Party has put forward today are worth going into and considering in a serious and proper way by the Government.
ParlaMint-NO_2006-03-09-lower.ana.ud367e240	You should listen to those who are carriers of the long lines, especially when it's children, because here it's the long lines that count. So to this with the community norm. The government in the press has also signaled that she would like to see today’s arrangement changed. Now we see from the comments and hear from the red-green parties that you want this assessed and investigated. To what extent – if it is possible to ask the question like this – has this been decided? The councils in the press have taken a position on this, as I have seen. I would like to know if she can confirm here that it is actually such that we are now preparing for shared care to become the main rule when the matter is presented. If so, when can we expect such a case to be submitted?
ParlaMint-NO_2006-03-09-lower.ana.ud367e247	As I said in my previous answer, we have now started the job of going through the Children's Act. We are taking seriously the very unique signal that Stortinget is giving today in relation to community standards. The government will follow up and do some work on it. But I ask for understanding that in this case is the heavy, serious balances we have to make, and we take them seriously. I also believe that these questions are very complicated to deal with politically, because this is about the most intimate and sensitive of human lives. The children are the dearest one has, and when there is then conflict and struggle about the children, it is quite natural that this is difficult for many. That is why we should also take the matter seriously. I cannot attest today to what the final outcome of the government's work will be, but I just want to refer to the answer I gave to the representative Knudsen instead.
ParlaMint-NO_2006-03-09-lower.ana.ud367e252	I would like to ask the Council of State two questions. One is a yes/no question, so I expect to be able to clarify it. There has been a rather strange debate about a unanimous comment by the Committee on the importance of residence. That's why I just want to ask if the Council can confirm that she agrees with Gunn Karin Gjul's definition of that comment, when she's going to put this into action. So to the second question. It is clear that the comments of the government parties on more equal treatment of parents with regard to the allocation of time have created some confusion. I understand that the Council of State cannot prejudge the matter, but with regard to the comment that the Left and the Advance Party are united, that parents must be treated more equally, I would like to confirm that there is a value that the Council of State shares, because it is clear that child law must change all the time as society's standards change.
ParlaMint-NO_2006-03-09-lower.ana.ud367e259	On question No. 1 I can say a clear yes. I fully support what Gjul has said in the public space at this point. As regards question No: 2, if more equal distribution of time, there's no disagreement on that piece. Both through posts in the hall and in previous answers, I have stated that it is clear that we need to have more equivalent treatment for the parenthood.
ParlaMint-NO_2006-03-09-lower.ana.ud367e264	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-03-09-lower.ana.ud367e269	So far in the debate, there has been little about the misjudged fathers. As I also said in my main post, it seems clear that there are many dangers that have been misdefined, and there are some who claim that 10 pst. of the Norwegian population may be registered with the wrong father. The state as a legislator and a judge has always had overall responsibility for determining fatherhood in Norway. From a number of points of view, the fact that the fatherhood was properly established did not seem to be so central to the authorities; it was more important to find a eligible father. This, together with the mother being the party that the court often had the greatest confidence in, led to many errors. The Progress Party is very pleased that the Storting adopted the amendments to the Children’s Act that came into force on 1 April 2003, which gave all parties to a farce the opportunity to request the case resumed and clarified by DNA testing. This was a proposal from the Progress Party which we had repeatedly promoted in the Stortinget. The consequences of legislation are that many false hazards have been identified. So far, however, a convicted father will only be refunded the money he has paid in a child contribution in kroner. Many misjudged fathers have had other major economic outlays and have been subjected to considerable mental stress. Many men have been deprived of money by the State on a faulty basis and at least an economic compensation must be provided in the form of interest or indexation. It should also be possible to cover other financial expenses, such as legal expenses. The Progress Party supports the claim of the Badly Judged Fedre Support Group that those who have been granted permanent but should be compensated. We now think it's time for justice for the convicted fathers. Another aspect of this case is that a faulty danger also provides a basis for inheritance being granted to persons who should not initially have a right to it, and many do not receive the inheritance they are entitled to. This should also be amended.
ParlaMint-NO_2006-03-09-lower.ana.ud367e282	I am pleased that the Council of State in its reply in the reply to the reply was not finally and blatant in the question of community standards. But I've also noticed what the majority in this room means, and we can well have an expectation. I just want to give the Council some words on the way to that work. It's the way children should be heard. It's an important principle. Children should be heard – and not just heard, they should be listened to, and you should do as they say. It has also been said so correctly from the representative May Hansen that it is the responsibility of adults to get the best solutions for their children. Then I would like to pass on a line taken from the backseat in the car while you were sitting and listening to a program where this theme was discussed, and where there were questions about children travelling here and there. So the line came: maybe it would have been just as nice if it were the moms and dads who had to travel? It might be thoughtful, because when we discuss things where we have – I say – the shirt on, it's not always as easy to distinguish what is really for the child's best. Also, when you take the driving role in a gender equality debate, I think you might want to think a little bit about – whether equality is always at the best of the child. If you see the two grounds of consideration isolated, maybe it's not like that. Sometimes I think you might also think: what is the seventh and last thing that matters? Is the importance of being a driver for equality, for example, or – to take an arena belonging to my political section – freedom of choice, always balanced against the best interests of the child? In many areas, there will be coincidences. One will not contradict the other. But I think anyway, when we come to the question of living in the back, how many of us adults would like to see life if we were to move from one address to another, one week after another? But it is our responsibility to find the best solution, and it is the child's best that is the most important. So let's leave it hanging again if maybe the moms and dads might as well be able to move on.
ParlaMint-NO_2006-03-09-lower.ana.ud367e293	Several have not asked for the floor on case No. 1st@item: inlistbox [[Footage, see page 160]]
ParlaMint-NO_2006-03-09-lower.ana.ud367e309	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines within the allocated speaking time of up to five lines after the intervention of the Council of State. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-03-09-lower.ana.ud367e318	Today, we are dealing with the law on changes in the legislation on pregnancy, childbirth and adoption. As rapporteur of the case, I am pleased that the consensus is so great in the committee. The changes will simplify the law, and this will give more flexibility to parents. I would also like to thank the Committee for its good work. In its comments, the Committee stresses the importance of simplification in legislation on pregnancy, childbirth and adoption. These changes will provide extended, more flexible and organised benefits to parents and will provide a simplified regulatory framework, which will be more easily accessible to parents while facilitating the practice of the social security system. In addition, as I said, it will increase the family's freedom of choice. The Committee also considers that it is a good proposal to introduce the concept of parental leave to replace the concepts of maternity and adoption benefits, as it is the same performance as it is concerned. As rapporteur-in-Office of the Council and as a midwife, I would like to stress the importance of changing the law so that maternity benefits are now to be granted the right to holiday pay. Ingvild Vaggen Malvik and the undersigned proposed this in the previous ageing period. Today's rules mean that the woman gets worse financially if she takes out maternity money than if she's sickened in her pregnancy. As long as maternity benefits have not given wages for holidays, many women have wanted to get sick. This is unfortunate, as the woman is not ill. This also has an unfortunate impact on female health insurance statistics. The reason the woman is unable to work in pregnancy is that the child may suffer from the fact that she is working. It is also important to stimulate the increased use of maternity benefits, so that the foetus is not adversely affected by pregnancy. The scheme applies to women working in an environment that is at risk of foetal development and where it is not possible to relocate the woman. This will also increase the pressure on employers to try to redeploy women in pregnancy. Parties to the Government oppose the proposal to grant entitlement to the withdrawal of the parental quota during the first six weeks after birth. We propose that today's practice be maintained. There is disagreement in the committee. When you open up simultaneous withdrawals for mother and father, the total benefit period will be shortened. This is not desirable when looking at the child’s needs. It is important from a family and gender perspective to give both parents the right and opportunity to be at home and provide care for their children in the first year of life. If mother needs help because of illness after birth, she may be sick, and father may take out leave. This is ensured by existing legislation and by proposals for new legislation. I would like to stress that the father quota was introduced in order for fathers to take a more active part in the care of the child's first year of life. It is important that father is stimulated to be at home alone with the child and take the main care. The Committee supports the restriction of the current derogation for ancestral allowances in order to allow the granting of a derogation from the parental quota only where hazards are prevented from taking care of the child due to sickness or injury. It is also good to allow for a longer and more flexible distribution of the spring quota. We are also pleased that a more flexible system of graduated parental pension withdrawals is now in place, which will make it easier to combine work and child care in the first year of life of the child. The aim is for the scheme to act as an equal opportunities policy and to be attractive to fathers. The aim is to contribute to increased feather withdrawals. This will mean that employers will have to be more flexible and that men will also care for children. Then I would like to point out that in case of an incursion, there have been two errors in the setting. On page 5, in the middle of the page under section 14-10, it says “see section 14-9, second paragraph”; it says “see section 14-9, fourth paragraph”. Same thing on page 8. In § 14-10, at the end of the first paragraph, it says “see § 14-9, second paragraph”; it says “see § 14-9, fourth paragraph”.
ParlaMint-NO_2006-03-09-lower.ana.ud367e344	It's going to be corrected.
ParlaMint-NO_2006-03-09-lower.ana.ud367e347	I think it is important to stress that the scheme we are discussing today is one of the world's best maternity leave schemes. This scheme is very important to ensure the participation of women in employment; it is a scheme that contributes to Norway’s being at the European top in terms of birth rates, and it contributes to the very good condition of Norwegian children during its first year of life. The changes we are making today in the law on birth money are modernisations and simplifications. Firstly, we change the name of the scheme from birth and adoption money to parental pension. It may look like a minor change, but it's not, because it gives a clear and clear signal that this money isn't just mom's money, but parents' money. My hope is that this, along with the other changes we are now making, will help Dad to take out a larger part of the maternity leave. We know that over 90 pst. Of the fathers today, the fathers' quota is five weeks, but unfortunately it's a sad fact that there's a very small proportion of the fathers who take out something more than these five weeks. I think both mother and children are well served that father takes out a larger part of the leave. The child needs to be familiar with and closely associated with both parents. Only when Father is allowed to be alone with the child and has responsibility alone will he have a real close relationship with his child. But Mother too is well-deserved that Father takes a greater part of the leave. This leads to more equality at home and that fathers take more responsibility when both are back to work and the time frame takes over. The Time Account Scheme is now proposed to be simplified. The graduated birth grant scheme and the Time Account Scheme are proposed to be merged and simplified. The current time account system was introduced in 1994, but unfortunately it has been very little used, despite the fact that it is a fantastic good system. The reason is that the scheme has been both rigid and complicated. But now it is said that the parental killers can be taken very flexibly through – call it what you want – the new timing system or graduated birth money. The only exception is that three weeks before birth and six weeks after birth cannot be taken out flexibly. It now opens up so that parents can combine it more closely with being at home with a newborn child and working. In this way, leave can also be taken over a longer period of time and until the third year of life of the child. In one area, there is disagreement within the Committee. The majority, the Workers' Party, SV and the Centre do not support the proposal that the spring quota be taken into account in the first six weeks after birth, at the same time as the mother is at home. The meaning of the father's quota is that father should have time alone with his child. He does not get that if the leave is taken out in the first six weeks, when the mother is at home on leave anyway. The goal must be that father should take more leave and have more time alone with the child. This is a proposal that could lead in the opposite direction. Another element is that the Work Environment Act gives all newly-baked fathers the right to leave without pay the first two weeks after birth. All employees in the public sector are paid during this period of leave, while there are large variations in the private sector. If the father quota can be withdrawn during the first six weeks, the Workers' Party is afraid that it will destroy the possibilities of winning against those employers who do not pay during leave. All in all, the changes we are making today will help us to have a more modern and flexible maternity leave system, which is already the best in the world today.
