ParlaMint-NO_2006-12-07-2.ana.ud1908e30	and
ParlaMint-NO_2006-12-07-2.ana.ud1908e265	It was a disappointment that the State Council Odd Roger Enoksen did not mention the gas pipeline to Grenland with one word in his main post. He had to get into the theme first in the row. Border has a great need for natural gas. In one of the largest industrial areas in the country, an entire population now impatiently awaits the gas pipeline to ensure conservation and further development of the industry. A clarification of the Grenland gas pipeline is much of the key to whether projects are to be started. It's about growth in Norway. It was the Bondevik government and the Workers' Party that combined the basis for the realization of gas pipelines to Grenland, and it was in the previous ageing period. Then the state company Gassco was set up to investigate the project to realize the pipeline for the transport of gas. This work has taken time, but happily the company delivered a positive report this autumn. But afterwards, there has become striking silence from the government parties, and there was no information from the government council to the Stortinget. I therefore sent a written question to the Council of State, Enoksen, on 19 October, about when and in what way the Stortinget would be presented with the result of Gassco's work. The answer was disappointing and little concrete: first, the commercial basis must be clarified, and at the next milestone, the Stortinget must be informed in an appropriate way. So far, the Storting has not been properly informed. Nor does the State budget provide clarity. Four button lines about such a big case do not give the impression that the government prioritizes the matter. This stands in grievance of the promises made by the Workers' Party in opposition. The current representative Sylvia Brustad promised NOK 3 billion for the construction of a gas pipeline to Grenland. The employee party representatives from Telemark went up on the track accordingly. In the big election campaign, even Telemark Arbeiderparti promised that the gas pipe would be built, only a government change. The working party has created high expectations, but it now seems that the red-green government has taken a long break. The industry in Grenland has no time to lose, and the Council of State should today confirm that the gas pipeline is coming. It is essential that the industry in Grenland now has long-term and predictable framework conditions. The committee's comments from the government parties are positive, but far from clarifying. Not one government crown is set aside in the budget. The government parties just say that it is important to get a clear picture of the economic foundation of the pipe, and that it is important that the commercial actors show interest. I don't disagree with the views, but what about all the promises? I hope the Council of State can be more precise and clarifying than the government parties in the committee. It's the Council of State Enoch who's holding the cards. The play is his – and not just me, but an entire industrial community in Telemark is waiting for the start shot. This is when the Council of State has to say: Yes, the pipe is coming!
ParlaMint-NO_2006-12-07-2.ana.ud1908e282	I want to get back to the representative Heidi Sørensen's line to Børge Burnde earlier today. As we know, Stortingsretten Børge Brende has repeatedly stated – as was also said in the reply – that climate emissions are higher under the current Minister of Environmental Protection than they were when he was Minister of Environmental Protection. Where did he get that? We haven't got the figures for 2006 yet. What statistics is Børge Burne referring to? I take it as a matter of course that the Right and the previous government take responsibility for the amount of emissions in 2005. After all, we did not take over the government until a long time in October 2005. The figures we have show that emissions fell from 2001 to 2002. So the emissions increased by a total of 1.5 million. Between 2002 and 2004, when Børge Brende was Minister for the Environment, they fell again when he had joined the role of Minister for the Environment. It's strange, then, that a former state council repeatedly makes a large drop in height for itself, sending out false claims to the nation's population. Fortunately, the people out there understand this. So a little to the left: I don't think I got a response from the Left saying whether they agree or disagree that mobile gas/biopower plants will be put into a potentially difficult supply situation in Middle Norway in a year's time. I understand that it's hard for the Left to answer this, because there are no other alternatives in the short term. At the same time, I understand the problems left have, for the government that left was a member of, got nothing done to meet the problems in Middle Norway, even though they knew well about what we were going to meet. I ask again Left: What does Left think is the alternative to getting more power to Middle Norway already in a year?
ParlaMint-NO_2006-12-07-2.ana.ud1908e293	The Soria Moria Declaration expresses the desire to use more domestic gas for industrial, energy and transport purposes. At the same time, the same document places great emphasis on active industrial policy. What unfortunately seems to be difficult for the Government is when these two things are going to be combined. That's where it's going to fail completely. An active approach to building gas infrastructure is obviously only of interest to the Government if the pipeline goes abroad and not to e.g. Grenland. I noticed that the representative Nordtun in his post spoke warmly about a gas pipe, and that the representative Aasland guaranteed a gas pipe. But as long as the council doesn't want to confirm a gas pipeline to Grenland, a commitment and contribution to the project, it's just words, and words don't build gas pipes. It's okay to wish yourself well, but it's not safe to get it. This has been a frustrating process for the inhabitants and industry in Grenland. There is no doubt that this is a necessary investment for the industry and jobs in the region to have good prospects for the future. It is therefore disappointing that the Workers' Party, when in government, asks for more investigations instead of clarifying the country's involvement in the gas pipeline to Grenland. For while the Government is sitting on the fence, without any direct involvement in the work of a gas pipeline to Grenland, decisions are being taken to participate in the CO2 treatment of gas power plants, which are absolutely unexplored in terms of economic contribution or social value. There's a lot of unknown here. What's scary is that whenever you want, investigations are not so careful, while other projects can obviously be investigated indefinitely. Even more daunting is the fact that, at the opening of this year's natural gas conference, the State Secretary of the Council of State, Anita Useth, expressed his opinion on the Government's involvement in the gas pipeline as follows: ‘At the same time, we are not interested in paying more than we need, so we will await clarification as to how many and which commercial actors commit to the project’. This is where you get a clear picture of the government's commitment. If the government waits too long for more investors, decisions may be made elsewhere, in other countries, in boardrooms around the world, to outsource the businesses in the border region that are users of gas. Then the basis for gas pipes disappears, and state councils, state secretaries and government can beat their breasts to say that now the government contribution is reduced to zero. I want the government to get down from the fence before it's too late, and give clear and binding signals about what the state is going to contribute, and what role it should play in further working on a gas pipeline to Grenland. Let me just end by stressing: now there is a need for political action, political courage and political determination, which the inhabitants of Grenland deserve.
ParlaMint-NO_2006-12-07-2.ana.ud1908e314	Anyone who has followed a little bit in the energy debate here to land over time cannot have avoided noticing the inability to make decisions on energy issues. Constant delays and wings cause the uncertainty both inside and outside the energy industry to grow. It seems clear that this uncertainty causes operators in the industry to wait with or refrain from expanding energy production because the risk becomes too high. Both gas and renewable energy concessions remain unused. We therefore see that market mechanisms and existing instruments do not contribute to the necessary security of supply. What is the reason for this refusal? Some have pointed out that the Government lacks a mandate to use the necessary tools. In order not to be on the law, the Christian People's Party has put forward proposals to amend the Energy Act which will give governments a clearer mandate to ensure the start of new energy production. We believe that we need a law that clearly places the responsibility for the security of supply at the Government of the responsible State Council, and that gives the State of the Government the right and obligation to ensure that new production is achieved in individual cases where the market fails, by not investing in new production in time. Special attention has been paid to the power situation in Central Norway. The Christian People's Party, together with the Left, has proposed that Central Norway be designated as a laboratory for the development of renewable technologies. There is an enormous potential for the use of renewable energy, not least in Central Norway. This must be achieved as quickly as possible so that temporary solutions such as price ranges and highly polluting gas power stations can be phased out. Wind power and small power must be built where, for environmental reasons, they can accept this. The Low Emissions Committee has identified the need for offshore wind technology development as a very important alternative. Offshore liquid windmills will be able to move wind power generation to areas where adverse effects are minimal and the energy supply is almost unlimited. However, a pilot plant must be established as soon as possible. Does the government promise that a pilot plant for offshore wind power on deep water will be put in place, or is the Council's billions reserved for fossil energy production? And there are also different technologies on the user side that need to be more widely used. Pure-burning stoves were translated into the Government's rapid support scheme for households, despite the fact that, after electricity, they are the main energy carriers for households. Let's get a regional aid scheme for wood stoves in central Norway and support schemes in the big cities. It could also provide a counterweight to the disadvantages imposed on the part of the country through, among other things. a dedicated price range. Finally, we need a long-term energy plan for Middle Norway as soon as possible, but also for the country as a whole, where it is important that the Government now shows its power of action and its ability to think in the long term.
ParlaMint-NO_2006-12-07-2.ana.ud1908e328	In my article I want to focus on Document No. 8:111 for 2005-2006. In the summer that passed, we have experienced the worst herrings from predators in the North Throne Team. It's been worse than ever, and it also shows the numbers that were presented on September 20. It gave little reason for optimism and cheers, the damage figures in the Nord-Trøndelag have gone right to the weather. More than every four ovine animals detected or assumed to be taken by predators in Norway are taken in the North Trøndelag. It is shameful and sad to record that every four gaupe-killed sheep and four out of ten bears-killed sheep are in the North Throne Layer. What's also changed a little bit in relation to before, and that makes the situation much more dramatic, is that bear, among other things. draws more and more densely constructed strips. We've seen bears that haven't been far from house nova to people, and not far from where the children travel when they're going to school. Yes, in the fall we were actually witnessing that a car on Snåsa, on a side road, collided with a bear. Then we have a situation that we can no longer accept. It is also interesting to note the statements made to the Nations on 9 October this year by the head of the State Department of Natural Resources, SNO, Kjartan Knudsen: ‘This must not be seen as the overall damage image. Only a small part of what is lost is recovered.’ This means that the situation is much worse than what you've actually registered. It is also sad to note that today's debate and voting are a complete turnaround from the Centre Party. I record that the Senterpartiet has chosen government over its predatory policy – it has thrown its predatory policy overboard. I'm registering that when we treated St.meld. No In the spring of 2004, the Centre Party and the Progress Party agreed on several proposals. There were a number of proposals, including on the emergency court. I register today that the Centre Party is voting against the proposal of the Advance Party, which is a witness to the turnaround in this matter that the Centre Party has done. I note that the policy pursued today is a slow but safe closure of the rural economy in the districts. It may be a desired policy from the Government, and if so, they are unfortunately well in progress. I recommend that the minister take a walk and talk to the affected, talk to those who have experienced the loss of their animals, so perhaps the minister and the government too would get a completely different view of the damage picture and the situation that prevails in the North Trøndelag at the moment, and perhaps they had changed their predatory policy.
ParlaMint-NO_2006-12-07-2.ana.ud1908e348	I'll try to turn the debate even a little bit more over from gas to predators, which is important to many. In the districts, there is little to create such a debate as for or against predators. Roughly and simply told, the people who live in the city, too, and those who live in the countryside, are against. And that might be natural. Even stronger, of course, are those who live by buffalo, those who have been hunting as income or as recreation and hobby, as well as those who want to use nature for experiences without fear of encountering predators, and then perhaps especially the wolf. Extra evil is it in the counties bordering on Sweden. Here, the number of predators is considerably larger than elsewhere in Norway, and so we get a large number of predators that cross the border according to their needs. The problem is that these wolves, which to a large extent are on the Norwegian side, are not taken into account, otherwise we would have a number of predators clear over the stock target Norway has set itself. Of the states that are particularly heavily affected, Hedmark is. So strongly affected is the district that the Food Authority announced a grazing ban for some of those who were operating with sheep in the fall. The father that they were taken by predators was so large that they had to be kept at home. This, of course, created problems in several ways. The most difficult was that the buffalo had to have food, and they had to graze on the soils that would produce high for the winter season. This, of course, also created a lot of extra expenses as well as a lot of extra work for the individual user. To the very matter of predators. It is strange that no more parties and individual representatives follow the proposals of the Progress Party. Many of us remember, among other things. The representatives of the centre party, who traveled the country and the beach around and defended the farmers' use of the field and said that you should feel safe when you travel out in nature. We were happy to hear this, as it was in line with the vision of the Progress Party. But what happens when we have opportunities to do something? Then the Center Party withdraws, and the government party's district representatives are absent. Could it have anything to do with the proposal coming from the Progress Party, or was it not the whole and full truth that emerged during the election campaign? In my time as a bigotry politician, many concerned people have contacted me about predators. They've been afraid of their nutritional basis, they've been afraid of their animals, their children or their own safety. They have been so committed that they have said that I could use their name from this pulpit and say that they are proud of the Central Party in this matter. If the Center Party failed, they would never vote on that party. For those parties and representatives, inter alia: from the District Working Party, today must be one of the worst. Today they had the opportunity to realize their promises. One thing that is certain is that the more predators, the larger and more conflicts. Finally, I must say that a good and sensible predatory policy is a good and sensible district policy. If the territories are to survive, man must rule, not the predators.
ParlaMint-NO_2006-12-07-2.ana.ud1908e367	In order to succeed in environmental policy, we depend entirely on bringing with us the broad population. I don't think it's such that everything can be controlled from this room, and that with our good ideas we can change so many attitudes. There are many good solutions available locally and through local involvement. We politicians can help show the way. Storing and government can help show the way. But I believe that if a dry and willing to give responsibility to the regional level, to the local level, many good solutions can be found on climate issues, on protection issues and on a wide range of environmental issues. I believe it is important that, through our protection policy and our predatory policy, we do not create such a large local mobilization against environmental policy that we lose many we could have on the team. We cannot have a policy where we have protection for the sake of protection, where we count percentages rather than species, where principles become more important than reality, and where we see that the consequences of, for example, predatory policies make important grazing landscapes with important red-listed species disappear. I have grown up in an administration tradition and have faith in managing, not in unilateral protection. When we see the challenge in relation to red-listed species in Norway, we see that a very large proportion, up to 35 pst. of the endangered red-listed species are in cultural landscapes, in grazing landscapes that are growing again. I think it is important to discuss environmental policy and the future management of environmental issues, to have a management that is as local and as regional as possible, so that you can find good local and regional solutions and find practical solutions. A good example of how well this can work is from Akershus, where the county opened up for expansion in the beach zone, while the county community said no. The county and local politicians have been more restrictive than the state representative. If you dare to give responsibility to the local and regional level, I think you can find many good solutions. Finally, in the case of predators, it has been important to raise the debate so that more actors can participate in it. That is why I am pleased that the Government has now decided to grant 1 million. kr to the People's Action new predatory policy, which enables us to produce more strong and powerful voices in the predatory debate.
ParlaMint-NO_2006-12-07-2.ana.ud1908e380	This has been a very debate marked by energy policy issues, which are crucial for the environment debate, but we have talked relatively little about the Ministry of the Environment's budget and the functioning of the Ministry of Environment. Over the past few years, and especially in the time when Børge Brende was Minister for the Environment, there has been an increasing conflict about environmental protection policies in Norway. It has come as a result of a very offensive and, in part, aggressive protection policy in which only a small part of the crime was committed to hearing the local population before decisions were passed in the government. The first protection process in Trillemarka was such a classic example. The then state council did not even take the time to visit the local environment, get involved and talk to those who lived there. I believe that today's government, today's Council of State, has been involved in turning around. There have been visits to Trillemarka, the arguments put forward by local representatives have been heard, and we are now in a process of resolving this matter, as well as many other safeguards. It is – and should be – important for us to try to bridge this growing conflict, so that environmental policy in the future does not become a conflict between city and country, does not become a conflict between classical nature protection and the administration tradition, and does not become a conflict between national government and bureaucracy. It is our responsibility for politicians to be involved and contribute to it. It's the Central Party's intention to make a positive contribution. Then an attempt is made to draw up a new predatory debate on the part of the Progress Party and the Right. I experience that the Right Party, and partly the Christian People's Party, is using every opportunity to distance themselves from the predatory settlement they agreed to enter into a year and a half ago. I think that is a good thing. But it is a fact that these parties must take responsibility for the predatory policy we are pursuing today, because it is the report of predators and the broad agreement of predators that underpins the government's policy. We have been able to change the rules on compensation, and this summer we have already notified by a letter from the Minister for the Environment and the Minister for Agriculture that the emergency protection will be reviewed as soon as possible. It's a work that's going on, and it's a work that we obviously have ambitions. Of course, the fact that we are not jumping on a proposal from the Progress Party and the Right today that we should file a case for a change in the emergency court before 1 May is not an indication that we disagree with that. It's just an expression that we define our own agenda and our own approach to this.
ParlaMint-NO_2006-12-07-2.ana.ud1908e395	There is a lot of one could say about the Right Action in this debate. Although we are going to sweep our own door in environmental matters first and foremost, I want to give the representative Ivar Kristiansen a boost for two issues he raised related to environmental issues. One was the interaction with Russia on environmental issues. On my many visits to Russia as head of the Nordic Council Environment and Energy Committee, I have absolutely confirmed the need for enhanced cooperation. The northern dimension of the EU, including Norway, and the Nordic Council’s cooperation programme with North-West Russia are just opening up to dialogue and further enhanced action within the programmes already in place. This is very important. I also agree with Ivar Kristiansen in his assessment of the Nairobi Conference that it meant a step forward for environmental work in the world. I have attended several of the UN's major climate conferences, and there is now clearly a greater understanding that the global challenges require inter-national interaction. Several nations have responded to the issue of action and more dialogue and may subsequently participate in the processes leading to an agreement on action. I listened with interest to a representative of the NGOs in Africa who raised a thought-provoking question. He said something like that: you from the rich countries can't just come and visit Africa and talk, go out to nature reserves and look at our animals, and then go home with polluting planes and live like before. – This is an unpleasant and pressing challenge. So a short visit to where I started. It sounds like the representatives from, among others. The right, the front and left are of the opinion that a spare power should be released if only a set of wind is put in place. So if you were not to bet on the reserve power – if it was necessary to put it into use – then you could not have the stable wind power you need in mid-Norway. That's why I think this is a strange argument that's not related.
ParlaMint-NO_2006-12-07-2.ana.ud1908e409	I have to say I am disappointed that the Council of State in its main post chose not to say anything about the gas pipeline to Grenland. As for his line, I really only remember one word: it was a report, a report, a report. It has been frustrating to wait for a government commitment when both the Labour Party and the Progress Party were willing to grant money to a gas pipeline to Grenland as early as 2003. Sylvia Brustad said in 2003 in a comment in Dagbladet: It is now time for political action and foresight, not more investigations. Nevertheless, in retrospect, they have been hiding behind Gassco and waiting for new investigations. Needless time has been lost. In fact, if the State had taken a clear responsibility for the construction and operation of a gas pipeline in 2003, investors had already been in place, and gas consumers had had gas supply contracts from Grenland. Instead, you've been on a desertless trek where no one knows what the state wants. The Government shall not boast an active industrial policy in this matter. It has been wonderful for the people of Grenland and politicians to observe how loose the money has been in other matters, such as: CO2 treatment plants. The requirements for investigations into these projects have not been similar to those required for gas pipelines to Grenland. At the same time, it is important that the Government puts all its weight in identifying the opportunities that one can see lying in a branch pipe to Sweden, Denmark, and perhaps even to Poland. Governments and their agencies should also see if it is not possible to speed up the progress plan under which Gassco operates. Governments now also have on their pult an application from Skagerak Energia for the construction of gas power plants on Hereya, and soon receive a new application for a gas power plant on the Slagentang in Westfold, which I hope he will clarify in the near future, as these investments will mean a great deal for the development of the gas pipeline project to Grenland. Unlike the Government, which seems to have been very sceptical about depositing money in terms of gas pipes to Grenland, I'm sure this is a good investment. In fact, there are some actors who do not want to commit at this stage, as they would have preferred to see the State as an active actor in the pipeline to Grenland. At the same time, it has been surprising to note that a government which, up to the degrees, is concerned that the State should have a hand on the steering wheel in the case of large Norwegian companies and central infrastructure, in this case has acted exceptionally passively and will leave the ownership of the gas tube to commercial companies. However, if the investigation requirement is to be at the level set for the gas pipeline to Grenland, in order for the State to be involved in other infrastructure investments, I am afraid this government will not reach much before it has to go off, hopefully in 2009. I had hoped and expected that the Council of State had today said a clear and tumultuous yes to gas pipes to Grenland.
ParlaMint-NO_2006-12-07-2.ana.ud1908e435	One of the things the red-greens were most concerned about in the election campaign was the so-called industrial power regime. We see that many process companies around Norway are struggling. In the spring it became known that Elkem's plant Bjälvfossen was to be laid down and moved to Iceland. Then Minister of Oil and Energy Odd Roger Enoksen went out and decided that they should wait until this fall, because then they would get answers from the Government on how to design a future industrial power regime. Unfortunately, Elkem made the decision that it would be closed, regardless of what the Council of State said. It was stupid, sin. But if they had waited for answers from the Council of State, it would have begun to hurry. I would like to ask the State Council, Odd Roger Enoksen, now, at the bottom of this debate, to briefly explain to the European Parliament about progress. Would the Bjälvfossen have received an answer before Christmas, or is it enough a delay? That opposition is frustrated, is that it must remind the Government – at least when it is a majority government – of it, whether it promises something and it doesn't hold it. That's what I think is our job in a government: to fill our role as opposition. Of course, you can dislike it, but that's what matters. There's been a lot of broken promises. At least as well this new renewable fund would be, said the Norwegian Council of State on 15 March. It did not happen when you look at the support schemes in our neighbouring countries, and now the renewable project is not being implemented. It was not going to be a separate price range for Middle Norway, said the Council of State. On 20 November it became a separate price range. There was to be an action plan to combat the power crisis in Central Norway early this fall. The action plan has not arrived. The Minister for the Environment said that there would be no polluting mobile gas power plants. Then it was supposed to be that those who came, if any, were to be fired with bioenergy. In the course of the day it boiled down to the fact that now maybe two are going to partially go on bioenergy, and one cannot go on bioenergy. Then there was gas pipeline to Grenland, which was another important matter. There you show a syrup stance from the Government. The opposition now only points to the lifting break and to the inertia that is. I hope that I stimulate the Government to speed up and deliver what they have promised.
ParlaMint-NO_2006-12-07-2.ana.ud1908e452	In Political Quarter this morning I heard the Minister of Oil and Energy talking about a short-term and a long-term plan for Middle Norway. As far as the long-term is concerned, it is difficult because the players, i.e. the industry, have to make the decisions. Here Christian People's Party has delivered a Document No. Eight proposals to clarify the responsibility for security of supply and to give the state a right and an obligation to start new power generation if the market is not functioning – to give a helping hand in a situation that we are now facing. With regard to the short-term plan, which was also discussed on the radio, NTB today refers to the Prime Minister. Four out of five points were launched by the Bondevik government. We set up the Energy Fund, 650 million. kr., Enova was strengthened – and a strategy in relation to waterborne heat and transmission lines to Klebu and from the Worm Lange – just to mention something. Governments waved some papers here instead. That's all right. But I think the Council of State will realize that that fanning is not so good when it comes to comparing the thin four-page staging message with what he waved with. A crash message does not give any powers to the Government. But the government needed powers, which it got through the treatment of the state council fanned with. I have listened to this debate and many from the government parties have said that they have delivered. It seems that it has been delivered, as it has probably been a lot of internal work. But the challenge is that the industry does not experience it that way. It has even been said by government representatives that it is regrettable that it will not be fully developed by Vikna. We are sincerely hoping that there will be an expansion of Vikna, since it has been said by government representatives in line changes. In the case of gas pipes to Grenland, Eastfold and West Sweden, there is a great deal of agreement on this, too, it has been claimed. That's good, because it's important for the case. But if there were no fundamental differences in the two comments that exist, I have to ask why the majority did not go into the comments that were already in the committee position. Finally, Ola Borten Moe is talking about building a bridge. Voluntary protection is bridge construction. I miss the centre party in the comments on voluntary protection processes in the vote on today's budget.
ParlaMint-NO_2006-12-07-2.ana.ud1908e469	A week ago tomorrow, the government presented its Northern Territory Strategy in Tromsø with great words and views for the northern regions, and with a foreign minister who proclaimed that now the government had taken the Northern Territory Strategy ashore. It stunned many people and wondered what that was really supposed to mean. It's going to be a little bit more than a big word to keep people in the northern regions and in northern Norway working. It is no secret that there are particularly high expectations of what the ring effects of the petroleum industry could mean for the northern part of the country. If these expectations are to be met, the activity in the north must be up, not down. The largest government party, the Workers' Party, has been particularly concerned with presenting itself as the guarantor for continuing large – and larger – oil operations in the north. But the government has a problem when there are two government councils in this room with some conflicting interests. The Minister of Oil and Energy has promised more activity in the north, while the Minister of Environment will protect more in the north. The question then arises as to whether there is a kind of balancing point which should nevertheless provide viable conditions for new off-shore industrial activities in North Norway. At least that balance point has not been found in the Bøkfjord in Kirkenes. It is now a reality that the SFT has said no to continued oil reloading in Bøkfjorden. These activities have meant valuable deliveries of different types of goods and services from the Church community. Oil reloading has taken place in very controlled and ordered forms, protected from storms and factors that may affect that type of activity, and it has been done in an environmentally sound manner. There has been no accident in relation to the activity that has been there. I now allow myself to challenge the Minister of Environmental Protection whether this is the last word that has been said in this matter, whether the Government has actually intended to turn the thumb down for further activity in the Church. Locally, it is now noted that the consequences of SFT’s refusal will be that the expected oil activity in South Varanger may have been cancelled before it has started. The SFT's refusal is interpreted as excluding, for all time, the location of oil activity from the Kirkenes and Süd-Varanger, despite the high expectations that one should be able to do so in that part of the Barents Sea. Locally, you're left with the impression that the environmental movement has got a full count, and that it's the population and the people who're going to have something to live on up there, who's left in the taperbua. I also remember, as a representative has done here before today, that it is a government that has submitted a big message that one should have the “heart of the whole country”, but obviously one does not have the “heart” of the churches.
ParlaMint-NO_2006-12-07-2.ana.ud1908e486	First, I'm going to take a very small visit to the representative Yrvin, who is busy with suspended particulate matter in Oslo. I believe that on that occasion it is timely to warn against the increase in suspended particulate matter, NOx and sulphur emissions that will result from the government's new car charges. I also look forward to our joint correction as soon as possible and would like to be revised. Then I think that when we first argue as much as we do – and have done today – in this room, I think it is also good to point out that the two posts held by the representatives Battle Violence Vedum and Borten Moe from the Center Party, I am very much behind. I have no idea that the government is in charge of the policy that they are talking about, but I agree with many of the conclusions that they drew. As far as predatory policy is concerned, I think it is important to point to a material thing, and that is that the stock targets that this hall has adopted against the votes of the Central Party and the Advance Party are very close. We have a cloud-high level of conflict in very many states, but the stock targets have not been reached. This applies both to wolves and, in particular, to bears. So when you attack us for a rematch – the Progress Party was not on the compromise, but it was on the right – I think there is reason to point out that there are many more wolves in Sweden today than it was when the predatory compromise was reached. There are many more border wolves, and there are actually so many wolves in the border population that there are larger numbers than the national population. This I don't think the majority of people could predict when we made the deal, and I would like to point out that there is a very good reason to take a new debate on these things today. In trøndelag you have to have four breeding bears. You don't have one today. Four breeding bears in Trøndelag – in a few municipalities in the Nord-Trøndelag – will mean that there will have to be a place between 40 and 60 adult bears in the Trøndelag counties. This is not to be combined with the maintenance of the off-road industries in Hedmark, Akershus, Eastfold, Trøndelag and Nordland. I think that's a confession we have to take over. So you could say it's okay, it doesn't take the whole thing so much. But the consequence of maintaining today's predatory policies is that there will be no off-road industries to any extent left in these regions. Then we might get a beautiful day a new predator policy, when the predators – the bear and the yerven – have spread well down the West Coast to More and Romesdal, to Sogn and Fjordane, to Hordaland and perhaps also to Rogaland, though it may be a little bit to take in. For then, predator policy – or the lack of a sensible predatory policy – affects many more voters and many more magnification representatives, and then I trust that we will have a change.
ParlaMint-NO_2006-12-07-2.ana.ud1908e503	I will first correct the Danish State Council when he claims that the Advance Party will rather grant money to thorium power stations than to mobile gas power plants. That's wrong. When I mentioned NOK 2 billion for the mobile gas power plants, it was of course to illustrate the sums. For the price of three mobile gas power plants, half of the largest industrial project in the world can be financed, but when we talk about mobile gas power plants, it shows that it costs to pursue a wrong energy policy. Action paralysis has a price. It's not like if we just leave anything to do, the problem goes over. The price in this round is 2 billion kroner. How much is it going to be next time? I dare not think about it. If we had got a big power project at an early stage instead, we would have avoided the need to have mobile gas plants, that's the point of the opposition. I hope that Asmund Kristoffersen gets with him. When Asmund Kristoffersen in his posts owes to former governments and former magnificence, he has to ask the Labour Party the question: Where was it the party when the Worm Lange decision was made? The working party had no comments on the power situation in More and Romesdal – none! The fact that the Bondevik II government is the only one who owes it will be quite debatable. After all, it was the Workers' Party that in its time, through the New Year's Eve to Jens Stoltenberg, stopped the hydroelectric power plant in Norway. You have to take responsibility for that. Then I register lots of boasts about Kårstø and how much money is granted. However, good environmental policies have nothing to do with the amounts allocated, but with the measures implemented. No one here mentions the total cost, and no one here mentions the environmental impact. And, for information to the Minister for the Environment: there is no planned technology development in relation to Kårstø – at least not if you ask the Minister for Oil and Energy. So to say that in the post is going to be pretty cowardly. We also have to ask the question, for the 720 million. kr as the Stortinge grant now, without having any idea of how this will finally be – what other environmental effects could be obtained for the same sum? No one in government has thought about it. I think it is a matter of concern to grant so much money without the Stortinget getting a real case about it at all. One can set it up against the Tjeldbergodden and Mongstad – there is not a single crown granted, despite the fact that everyone boasts that it is what is the «monthly landing project». You're not coming to the moon without money, unfortunately. Nor are there any fundamental clarifications from the Government regarding the gas power project in general. It makes most things lie in the initial pit without moving on. Many people say we have to wait for the "Tjeldbergodden" – the actors have to finish their projects. Yeah, well, on Kårstø and Mongstad the government had ambitions. Where are the ambitions of the tabernacle god? They're gone. And then finally boasted about gas power and CO2 cleaning: yes, many people ask how Norway does it, but that's because the same countries run their own CO2 clean-up projects. The difference is that in the United States, England, Denmark and the EU, they try to clean coal plants. That's where the gain is environmental. It's not the gas power plant the world will start to clean if they get the chance. It is not surprising that they are asking about Norway, because it is completely meaningless politics that we are pursuing.
ParlaMint-NO_2006-12-07-2.ana.ud1908e524	I think it will be noticed that the Council of State takes the decision on the third extension of the Outer Vicna wind farm to income for the support scheme provided by the Government. It says in what has been sent from the board that the decision is taken despite the fact that one has a support scheme that makes this not profitable and justifies it with an exposure to a plant that produces wind turbines. I think it's very important that someone take over the results that one now sees of this support scheme. The council says that he has worked hard to facilitate new power generation in Central Norway. The result of the last month's work is that two thirds of this project, which could provide 40,000 households, is being scrapped, and nine out of ten other wind power projects are being put on hold. This means that the effort you make gives negative and not positive results in relation to this specific area and in relation to the country as a whole. Today we record that the Prime Minister has been in Kristiansund and promised support for gas power plants in Forest. It would have been natural that the Council of State had used the opportunity to clarify what kind of support it is the Government is thinking of. When does one want to contribute to the realisation of this installation? And it might be interesting to hear the Minister for the Environment's assessment of whether the gas power plant in Forest can be realized without demands for cleaning from day one, as the concept is based on. At all, it would be useful for the Storting to get an overall presentation from the Government of how one wants to respond to the different gas power projects that are now going on: Which of these is it a seem to be the most interesting? Which is it a desire to support? And when does one want to do that? Torny Pedersen asked what was the Left's strategy to solve the challenges in Middle Norway. We have described this well in a number of other debates on the same theme in Stortinget. We support a number of the measures outlined by the Council of State. But we do not support mobile gas power plants. We want to bet on mobile biopower plants, and I show you, among other things. letters from Zero to the members of the Committee today, indicating that such equipment is available. One of the reasons why the Left is very sceptical about purchasing mobile gas power plants and combining them with weak support for renewable energy sources is that this is not just an emergency solution, but that it is a support wheel to be used as part of the government's holding energy policy.
