ParlaMint-NO_2006-12-04-2.ana.ud2368e28	No one has asked for the floor. [[Fotation, see page 876]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e241	I do not think there is any political disagreement in the issue raised by the proposal. We all see the need and want good solutions. This is also illuminated in St.meld. No 25 for 2005-2006, Mestring, opportunities and meaning, where there is both evidence and action. The question is, I guess, why the opposition has a lot to say about this now and does not come back to that debate with all the proposals that I think are good too. We know that the care sector needs people. We know they need professionals. Everyone agrees that you need a carpenter, it's okay that he can snort. The same applies in the health sector. If we need help when we're at the weakest, we need professional insight into what you're doing, why you're doing it, and when you're going to put the measures in place. It will save society unnecessary hospitalization and save the individual for unnecessary pain and provide a better everyday life. It's also frustrating for the person who works, to have a job that you really don't know about. There are many measures that need to be taken, and this is something the proposers also say. The 2015 Competence Plan will be one action to improve this, where, by being active in several arenas, we will be able to achieve the target of 10,000 more annual works. Learning places, decentralisation of higher education provision, teaching homes and recruitment campaigns will be other measures that can help. Campaigns to get more men into care, to show young people how important it is to work with and for people, are something we can put in at an early stage in school-oriented interventions. Creating professional environments in care, creating room for development and creating opportunities for continuing training could also make working in care more attractive. We need to give the professions a status where the aim is to ensure a better service for those who need help. It is also important to raise the level of competence with regard to the basic ethical ideas surrounding this with care, and it also says something about the bigotry message. The unskilled are doing a great job today. We hadn't made it without that effort, and they actually deserve to get this necessary promise in their skills, so that they can do their job even better. We can do that by following up St.meld. No 25-digit number The goal must also be that those who want to work full-time will have that opportunity. Many annual works would be filled if they were completed. We will be able to do this through a strengthened local economy, and with an even better local economy, even more people will be able to do so. The possibility of part-time also needs to be present, of course, so that we have a varied working life that is adapted to both the working capacity and the living situation of the individual. Flexible solutions with good competence are something we can work for, to get the most of them to work in care.
ParlaMint-NO_2006-12-04-2.ana.ud2368e256	On the basis of the proposal and the committee's position, I really did not expect this to be a reprisal on the election campaign a year and a half ago, but I note that there are some people who are busy driving that reprice. I think it is limited to the pleasure of the users of the healthcare sector in this country. In general, used election campaigns are one of the most suspicious things there is. It must be allowed to remind both the representative of Mr Schjärlaaen and the representative of Mr Thorkildsen that it was the previous government that started work on the communication on which the Committee is now working and that work had come a long way. What was meant at the time was clearly to focus the qualitative aspects more strongly than the quantitative ones, because we have had a lot of shippertacks in the care sector over the years, all of which have shared the fact that they have been dealing with quantitative quantities, not qualitative quantities. That is why work was started on a quality report on the care sector. The background to the proposal we are considering today is that all experience shows that the key to quality is competence. In the absence of competence, establishing the required quality is a very, very difficult project. It doesn't have to be any more complicated. Then I record the sending of double signals both from the government council and from figures from the government parties. On the one hand, you praise the proposal and say that it is good, and on the other hand, you say that it is untimely that it travels. I can promise that the proposals will follow the load in the Committee's further consideration of the care communication. The position of the majority of the Committee is not to reject the proposal, but to attach it to the minutes. It has to be seen that there is a substantial content in the proposals that it is worth taking further, if you are interested in the users – well to note – of the care services in this country. I predict that we will have ample opportunity to return to the elements of what is called the Competence Lift 2015. Let me just make it clear here and now that I have nothing against any of the goals that are set there, but what I want is the operationalization of how to achieve the goals. There, I don't think we're going to get away from any of the components, nor from picking up labour from our neighboring country.
ParlaMint-NO_2006-12-04-2.ana.ud2368e267	It was the representative of the municipality that also made me take the floor one more time, and the background was his negative characteristics of the municipality of Bergen and the care of the elderly that takes place there. As I understood it, he went very far in travelling a type of criticism against the staff as well. It's clear that we're not going to form a glossy image. But it may be a little dangerous to generalise and say that a municipality as large as Bergen has a very poor and unqualified staff group – I don't remember exactly the expression he used. I want to take an example. One of my close relatives lived in a huge nursing home in Bergen for two and a half years before she died. For her, it led to an existence from insecurity to security. Actually, it took some time to get there. I think maybe the problem many people are struggling with today is that it often takes too much time before you get help. Many people don't get enough help, and many people may not get enough content in the help they get. I think it could happen anywhere. I believe that we from this pulpit should at least be careful to characterise individual municipalities and individual employees in municipalities, or generally personnel in municipalities, who do not have competence, even though of course we are both in St.meld. No 25 and the competence plan say we need more competence. But there is also a good deal of competence. Many municipalities, including Bergen, have examples of very good care policies for the elderly, both inside and outside hospitals, from which we have learned, and which are also mentioned in some places, both in the notification and in other documents. I needed to say this.
ParlaMint-NO_2006-12-04-2.ana.ud2368e278	It's dangerous to generalize. My opinion is not to generalize. But it's actually important that you have systems that guarantee good quality, regardless of whether you have home care, whether you're in a nursing home or the like. This is part of what I experience getting messages about, and that certainly also Laila Bavøy, when she encounters the fight for the elderly and many others in Bergen, is told about what works, and what does not work. I also believe that the representative Davøy, as she has stated earlier, agrees that there are many unresolved tasks related to getting the care of the elderly to work around. I want to repeat what I said earlier that people are missing as well. The government has high ambitions for several annual work in the care of the elderly. I am glad that the proposers actually see the need for more. But I want to, like the Council of State, ask questions about whether it is right to take qualified staff from other countries, who also need to be able to get our old age care to work. In fact, I think it's important that a good recruiter here to the country, that one gets higher quality of education, and that we concentrate on it first and foremost. Then the representative says Wage that it seems like there's some old gutter from the election campaign we're coming with. I am surprised that the representative Wage, and the Right, who recently sat in the government offices, have such an incredible need to highlight matters in this room.
ParlaMint-NO_2006-12-04-2.ana.ud2368e287	Several have not asked for the floor on case No. 11th@item: inlistbox [[See page 877]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e303	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 5 minutes to each party. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-12-04-2.ana.ud2368e312	The following proposals are presented in this document: ‘The size asks the Government to ensure that there is consistency between the State restrictions on sales times for beer and other alcoholic beverages with a volume percentage between 2,5 and 4.7 and general opening times for shops in Norway on weekdays.’ In other words, sales of less alcoholic beverages should be possible during the opening hours of the shops if the individual municipality so wishes. Under the alcohol law, municipalities are obliged to draw up an alcohol policy action plan, which is to be a central instrument for the overall treatment of alcohol policy issues in the municipality. In addition, the municipal system for the sale and donation of alcoholic beverages shall also contribute to the achievement of the national objectives of the alcohol policy. This also applies to the representatives of Skjellaaen and Davøy and to Bergen city. In this case, the Committee is divided into two groups. As the rapporteur, I expect the majority in the Committee to present their views on the matter, so that I can use my time to present the views of the minority, that is. The party of progress, the right and the left. It is amazing that the Stortinget imposes on the municipalities both the appropriations and the follow-up to national targets in the alcohol policy, while the Stortinget does not give the municipalities the opportunity to determine the selling hours of alcoholic beverages, so that they could have been coordinated with the opening hours of the shops. By giving the municipalities this right, Stortinget would give the municipalities real influence and thereby strengthen local democracy. In other words, Stortinget could here give the municipalities and the inhabitants a great degree of right of codecision. It makes no sense for municipalities, on the one hand, to be responsible for the follow-up and exercise of the alcohol policy, but not to be allowed to decide the opening time. Here we are at the heart of the matter. You don't want the municipalities to have that right, because in many cases you will transfer more real user power to the individual person. The party also wants to point out that there is clearly a link between excessive charges on legally negotiable alcohol, lack of availability and crime related to smuggling. I almost have to be allowed to ask, who is between 2.5 pst and 4.7 pst. from the store most harmful for? Is it most harmful to those who have poor advice, because they don't see themselves equally fit to go to a pub? Or is it less harmful to those who have good advice, for for them, in any case, will availability be near at all times? The minority in the Committee agrees that the least possible harm resulting from drug use should be sought, in line with the fact that we want the least possible damage and health problems for other reasons. However, it must be pointed out that there is a distinction between use and abuse. It is also amazing that the government parties and the Christian People's Party are unable to put Norwegian alcohol policy into a wider context, where adaptation to Europe and other countries is natural, and must be implemented. It must be an extreme experience for a tourist in Norway that legal sales goods are illegal in one minute and that no people are able to take responsibility for their own actions in the same minute. This responsibility does not want today's government and the Christian People's Party to give it to the individual in Norway. In other words, there are some politicians who are so concerned about detailing and deciding about the lives of others that they are sounding out: of course, we know better than most people what most people have good at. Are we going to be totally lepers on our mountain? In fact, with the policy that is now being pursued, where we are so good at improving our knowledge, we are never going to harmonise our policy with that of the other Nordic countries, rather Europe. We're going to be a commoner in the class.
ParlaMint-NO_2006-12-04-2.ana.ud2368e343	Should the representative make a proposal?
ParlaMint-NO_2006-12-04-2.ana.ud2368e346	I took that up in the beginning.
ParlaMint-NO_2006-12-04-2.ana.ud2368e351	The representative Jan-Henrik Fredriksen has then taken up the proposal he referred to.
ParlaMint-NO_2006-12-04-2.ana.ud2368e354	We are very pleased that there is a solid majority in the Stortinget who do not wish to endorse the proposal for a representative in Document No. 8:108 for 2005-2006. As can be seen from the case, the majority argue that the proposers wish to adapt the regulation of the alcohol law on the selling times for beer and other alcoholic beverages by volume between 2.5 and 4.7 to the opening times by law of public holidays and holiday peace. This means that municipalities cannot limit the sale time for beer and other alcoholic beverages between 2,5 and 4,7 % vol. If the proposal were to be adopted, it would theoretically be possible to sell beer in the store 24 hours a day, with the exception of Sundays and holidays. Many grocery stores have been open until 9.00 p.m. 23, seas about 24-hour shops are not common. It could be a matter of time. Let me put it this way: we're not hanging heads in the alcohol policy. As they did during the Bondevik government, more and more municipalities are going to be sold on the pole. In fact, we believe that people out in District Norway should have reasonable access to Polish goods. But there is every reason to believe that the proposal to extend the opening hours, if adopted, would lead to a relatively large increase in the sales time for beer, and thus to an increase in consumption. We believe that it is not logical for customers that beer and bread should have the same opening time. We don't think there's any evidence to claim it. We don't think there's a need for that either. It may be annoying to get to the cash register with four darts that you have to put back, but we have to have more ambitions in alcohol policy than to make that a problem. In a study conducted by SIRUS, a total of 63 pst. supports today's alcohol policy, and the entire 64 pst. support the alcohol policy of its own municipality. It may seem that the proposers want to help the shops because it is a problem to have different selling times for beer than for groceries. Then I think the reason at best is thin. If there is a difference between the opening time legislation and the rules of the alcohol law that are the problem, we should like to discuss whether we should adapt the opening time of the shops to the rules of the alcohol law. But we think it must be the desire to make alcohol more available that is the driving force behind this proposal. It is not compatible with good health policy. There is a worrying increase in the consumption of alcohol by the North. Most people are most concerned with the abuse of other drugs that are more visible in the street picture and are not aware of the adverse effects of alcohol. There's a lot of numerical material that makes it visible. On a national basis, police surveys show that 60–80 pst. of all violence is alcohol-related. A study on who suffers from heavy alcohol consumption — I refer to Rossow and Lund — shows that 40 pst. they have been exposed to landfills in the last year, i.e. almost 1.5 million people over the age of 15. Many of the plagues are, in fact, so-called petty plagues, such as ruined sleep at night, emancipation, threats, etc. But many of them are serious. That's the kids. I think it's natural to have a very special focus on children now in Christmastime, and because we're approaching Christmastime. I think we know about all the kids who care about the Christmas celebration because of the family's alcohol consumption. We know enough about violence. We probably know about damage and abuse. We probably know about extensive research that points to the link between availability of alcohol, alcohol consumption and alcohol damage. I am pleased that the government parties and the Christian People's Party do not support this proposal. We are amazed at the Right and Left in this matter, especially because it says to read in a comment in the setting of the Health Budget, which we will deal with in a few days: ‘Alcohol is still the drug that causes most problems, such as premature death, sickness, violence, crime and high health expenditure.’
