ParlaMint-NO_2006-05-23.ana.ud1471e51	The so-called alternate of the state of Troms, Ole-Anton Tegen, has taken a seat.
ParlaMint-NO_2006-05-23.ana.ud1471e505	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e508	Antiabort work has taken place since George Bush came to power in the United States. This is also reflected in US aid policies, including: by the fact that organisations receiving US aid are unable to carry out abortions or refer women to other places where abortions are carried out, cannot inform them of the possibilities of abortion, nor can they argue for women's right to abortion. In addition, the United States has stopped providing assistance to several organisations that work with family planning and reproductive health, including the United States of America. The UN Population Fund. This is a mockery, it's a crime, it's a war against women, and especially against women in the poorest part of the world. In addition to other countries, the government has signalled that we should go in with increased support where the United States cuts, and we should provide assistance to the Global Fund for Safe Abortion, which aims to provide support for measures that have lost funds as a result of anti-absorptions from other countries, for example. U.S.A. Does the Christian People's Party distance itself from this fundamentalist war against women, or does the Christian People's Party believe that removing support for the UN Population Fund is a constructive way of fulfilling the UN's Millennium Goals?
ParlaMint-NO_2006-05-23.ana.ud1471e515	The Bondevik government does not remove supported UN Population Fund. But there is reason to say that the UN as an organisation does not promote abortion as a solution. The Christian People's Party (Christian People's Party) stands for a policy in Norway with respect for the unborn life and the born life, and is thus for a stronger legal protection for the unborn life. We have the same position internationally. At the same time, there is reason to say that in the work of women's reproductive health there is a need for a health care system that says something about proper health centres, proper prevention guidance and proper follow-up of women in general. But that Norway should become a malignant for free abortion, we don't think it's a good idea. One must respect the laws of each country in this way.
ParlaMint-NO_2006-05-23.ana.ud1471e522	First, I'd like to praise you for a very good post with a lot of constructive input – there was a lot of content. For the sake of the voice of the representative, Jon Lilletun, I will try to put a yes-no question. The Christian People's Party has, as the representative was present, been concerned with aid and development for a very long time, and has perhaps been one of the parties in Norway that has led that tab the highest. Africa, and in particular southern Africa, has been the most concentrated area, both with funds and with other objectives. Is the representative satisfied with what we see in southern Africa after so many years of assistance?
ParlaMint-NO_2006-05-23.ana.ud1471e530	The answer may be no, but it cannot be alone as a no. The situation would have been dramatically worse if we hadn't had the development aid for southern Africa. Both the representative Høglund, I believe, and I have visited a number of actions that are driven both by public bodies, by the UN and by church organizations, and that every day save lives, give people schooling and provide people with health services. It has its value anyway. There is no doubt that we have done too little – it has increased significantly in the last period, but we have done too little when it is due to enable the individual state to exercise good governance, including, among other things. anti-corruption work as an essential part.
ParlaMint-NO_2006-05-23.ana.ud1471e535	I also think the representative Lilletun was in many interesting aspects. Among other things – if I heard correctly – he has begun to look at the WTO in a power context, and see if it really helps the developing countries. I think that's very interesting, if that's right. I didn't really intend to take a line on the representative Lilletun, but I have to be allowed to go on with what the representative Anette Trettebergstien was about when it was about reproductive health. For reproductive health, one of the most common causes of death and disease is among women and young girls in developing countries. Mother mortality has not fallen in the last 20 years, despite several decisions. Unsafe abortions are a serious obstacle to achieving the Millennium Goals to reduce maternal mortality by 2015. I am pleased that the representative underlined the need for assembly, but is it not important that Norway assumes a leading role in the fight for reproductive rights, including the right to safe abortions?
ParlaMint-NO_2006-05-23.ana.ud1471e544	I think I need more than one minute to give an adequate answer, and I would like to meet the representative Valle in relation to it once. It's quite clearly necessary for us to put the abortion question into the context in which we put it, where we think it's not just a question of woman, but also a question about the fetus and her fetus dishes. It is quite obvious – that is exactly what the representative Valle says – that there is a tragedy about the situation of too many mothers in this area. Difor is enormously dilemmad, but the Christian People's Party is forced to acknowledge its fundamental view of abortion also in relation to this. And then one has to look for solutions that can relieve the distress that the representative Valle quite correctly described.
ParlaMint-NO_2006-05-23.ana.ud1471e551	The cord shift is over.
ParlaMint-NO_2006-05-23.ana.ud1471e554	The difference between poor and rich is one of the greatest – if not the greatest – challenges we face in today's world, and we, with our resources, actually have great opportunities to do something about this challenge. The Central Party is therefore pleased with the ambitious objectives of the Development Minister and the Government for Norwegian development policy, and I would like to thank the Minister for a good and thorough presentation. In order to achieve democracy, and also peace, poverty must be combated. Today, large parts of the poor world are being exploited by giant multinationals that provide us – some of us who are at least rich – with cheap products, but in many cases this has been at the expense of the environment, with the exploitation of labour and a sustained pressure to get low production costs. The Central Party believes that here we must use our own voice to be the partner of the poor countries up against gigantic power blocks, such as the EU and the United States. We must fight to ensure that agricultural workers, the environment and poor farmers are taken into account in WTO negotiations, and not a small owner who, with a highly industrialised operating system, is depleting resources in parts of the world. I am pleased that the Minister for Development so clearly signals that aid and development policy are part of Norway's overall foreign policy. We need to see the link between trade policy, security policy, poverty reduction and the environment. The centre party believes that it is essential in this work that we focus on a stronger, more modernised and more democratic UN as an important instrument in this process. Norway has an important role in the UN per year. Today, and we have to use that role to drive a stronger UN. We need strong global cooperation through the UN to solve common challenges, including meeting the Millennium Goals. In this work we must bring the United Nations political body, the United Nations aid organisations and development programmes closer together. And we're going to demand how the money we give is used. That is why we must also work to combat corruption – which several speakers before me have been involved – and have zero tolerance for this everywhere Norway participates. Norway has a major obligation to achieve the Millennium Goals in terms of health, disease control, education and the environment. In order to achieve these objectives, it is important that Norway is also a driver for promoting gender equality and bets on women, as not least women are often the key to producing results in those areas. A new, comprehensive and strengthened policy for Africa must have the main focus. For the center party part, this is a continent we've long been engaged to. Although not everything goes wrong in Africa – on the contrary, we can record positive developments on the democracy side, we have fewer territorial conflicts, and we see that we are making progress in the health sector – we just have to recognise that the challenges are in line. Sudan and Darfur will be important areas in the future. I cannot hide the fact that with some wonder I record that someone has suggested that we should not have participation in Sudan and in Darfur. The arguments have been that this is a risk area, especially in the case of disease, but also because of the extremely unclear internal conditions. I think we have to admit that much of our aid and peace activity poses risks, but with the structure and security we have built around our field workers and soldiers, Darfur should not be regarded as a more difficult area than in many similar operations we have participated in. As a significant aid country under the auspices of the United Nations, it is important that we are in place to address humanitarian emergencies. But when we're in this area, we've been told that there's a menacing catastrophe on the Horn of Africa – a disaster we can't forget at all. So we have to deal with both acute disasters and developing a new policy for the entire African continent. In order to contribute to a more fair and peaceful world, we must support the construction of democracy. Self-held and autonomous countries are the very basis for achieving these objectives. Therefore, we will work to support grassroots movements and build on cooperation with organisations, parties and movements that are working for democratic development – it is in countries east of us, in Latin America or in other parts of the world. The Central Party believes that developing countries themselves must come and take responsibility for their own development. Priority must be given to cooperation on measures to strengthen good and democratic governance, functioning institutions and good governance. In this work it is among other things. important to continue to develop further the work done by the Norwegian Centre for Democracy Support. Norway also has a strong and important involvement in Asia. The presence in Afghanistan must continue as long as Norwegian forces are needed. At the same time, the tasks are in line in Sri Lanka and Nepal, to mention some areas. On the other hand, new countries are also emerging as trading partners and where Norwegian business interests are present. I record that the Minister of Assistance expressed hope for a new economic axis between China, India and Brazil. I assume he has a very long-term perspective. For it must be a prerequisite that China has taken many, important steps in the development of democracy and human rights in its own country, before we see that that axis must be of particular importance. This presents us with new challenges in the face of economic and industrial cooperation countries. We need to be clear about what we cannot accept, and take every opportunity and opportunity to address violations of fundamental rights in individual countries. Development policies and assistance are important, exciting and challenging policy areas. We will take seriously that Norway has not always acted as well in relation to how we have behaved in the developing countries with which we have cooperated. An example of this is, as others have been involved, the debt created as a result of the shipping campaign, which the Minister of Development also mentioned in his statement. This just makes the need for a more comprehensive policy visible, and the Central Party is pleased with the willingness of the Government to address these significant challenges.
ParlaMint-NO_2006-05-23.ana.ud1471e593	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e596	The representative spoke in his speech warmly for Norwegian participation in Sudan, in Darfur, also military, if I understood the representative correctly. At the same time, this government has not been interested in extending our involvement in e.g. Iraq. There are many conflicts going on around the world, there are many problem areas. We participate somewhere, we don't participate elsewhere. Does the representative agree with the undersigned and the Progress Party that it has not been given Norway to participate at any place? It is a problem to make military resources available. It is not an inexhaustible resource, and we must therefore make certain choices.
ParlaMint-NO_2006-05-23.ana.ud1471e601	I agree that priority must be given. In this case, we've done it, I think. Our commitment to Iraq was slowed down. We're not going to go into the underlying cause. We are aware that important resources are being seized, but the humanitarian situation in Darfur is, in our opinion, such that we found it important to prioritize this area.
ParlaMint-NO_2006-05-23.ana.ud1471e606	I want to return to the positive reference made by the Council of State to the importance of global trade and the importance of market forces in the fight against poverty. As I said in my post, there is a slight expectation from us about the government's initiative to invite more developing countries than today to export duty-free to Norway. The question is then: will the Central Party also work for more developing countries to export duty-free to Norway, i.e. not just the poorest, but a larger group of developing countries?
ParlaMint-NO_2006-05-23.ana.ud1471e613	In this context, we have stressed that the poorest may be the ones with the greatest challenges, and that is where we can best help. That is why we have placed great emphasis on the need for the MUL countries to export to Norway. But we recognize that they have certain problems, logistically and in other areas, with getting this done. But I think we should first of all be open to imports from just these countries.
ParlaMint-NO_2006-05-23.ana.ud1471e619	Several have not asked for the word for a line.
ParlaMint-NO_2006-05-23.ana.ud1471e622	The left noted that Minister of Development Erik Solheim, in the context of his statement on development policy, stated that the Bondevik II government had made good efforts in this area and that the Government would build on it. This seems to confirm that St.meld. No 35 for 2003-2004, presented by Bondevik II, with a focus on poverty reduction and the UN’s Millennium Goals, remains the basis for Norwegian development policy. The main impression from the statement is a bad course. From this point of view, the Government seems to be inclined to mark its own development policy through a number of new approaches. The left will point in particular to the management tools for the assistance. The Minister of Development announced that the Government would come back to the Stortinget with a concrete proposal to that effect. The left considers that more resources should be allocated to a more systematic and ongoing reporting of results, evaluation and quality assurance of Norwegian assistance. The reporting of results should be clear and unambiguous, easily understandable and accessible to all. In this way, it will be possible to better learn from experience, make necessary corrections, and help to improve the quality of assistance. In view of this, the Left Government’s work on establishing a Banking Consultation Forum with Norwegian non-governmental organisations is considered to be a step in the right direction. The same applies to the establishment of a public body to look at the impact on developing countries of Norwegian policies in their full scope, including trade, transport, energy, agriculture and culture. The left also sees the need to link foreign policy and development policy more closely. Norwegian assistance and emergency aid should not be deterred from the political realities prevailing on the ground in cooperation countries. In our opinion, it is of great importance to clarify the content of the term ‘good governance’ – and to stress to authorities that they are accountable to all groups of their own population. Hunger disasters should not affect politically marginalised groups. The left has noted the Government’s commitment to concentrate Norwegian assistance on four main areas — and to focus on a good division of labour between donor countries in line with the Paris Declaration. The initiative in four main areas represents a priority in relation to St.meld. No 35 for 2003–2004, which the Left believes makes sense, as resources should not be spread too thinly. The left is essentially behind the four priorities. Peace and reconciliation and women and gender equality are areas where Norway has a great deal of competence to contribute. Among other things, women and gender equality are central, as women play an important role in the development of a country. As far as energy is concerned, the Left considers the possibilities related to Norwegian competence in the extraction and management of oil resources. Each drop of oil should be traded in welfare is an important objective to settle, but the Left is somewhat sceptical of the Minister of Development's somewhat unilateral emphasis on oil. New renewable energy sources such as: Wind, biofuels, solar and wave power should also be included in the Norwegian energy deployment. The same applies to the promotion of a sensible energy mix, where different forms of energy are combined to meet a future and growing energy demand in many developing countries. In addition, a unilateral commitment to oil does not take into account the need to reduce future CO2 emissions. As regards the environment, which is the last main field of action, the Left sees a clear attempt to set priorities in a publicly available consultation draft action plan. This seems reasonable, but it remains to be seen whether that plan and the Government's overall resource use in this area will be able to achieve the target set out in the Soria Moria Declaration that Norway will become a leading country in terms of environmental development cooperation. The Minister for Development stated in his statement that although the Government defines four main areas of activity, Norway can also make an effort in other areas. He pointed to research and education, agriculture and fishing as well as child mortality. The left will focus on the promotion of good public health. Health is a prerequisite for value creation and poverty reduction, and is part of three of the Millennium Goals. The left considers good public health to be a prerequisite for democratic and sustainable development. Agriculture is another central area where security of supply and the ability to feed its own population are at the centre. In the case of the World Bank and the international financial institutions, the Government has taken a stand. It advocates that they no longer be able to make demands for liberalisation and privatisation in order to get debt extinguished or to be able to raise new loans. The desire for liberalisation and privatisation must come from the cooperating countries themselves. The left supports such an approach, but will at the same time warn against steering Norwegian aid away from everything relating to liberalisation and privatisation, for ideological reasons. There are results that count, and in some cases private actors will be able to achieve better results than a weak and corrupt government. As regards the World Bank and the international financial institutions, the Left is most concerned about promoting democratic and social reforms in the recipient countries as well as sustainable development. The Left also attaches great importance to reforming and streamlining the UN system, and agrees that Norway should use its weight and credibility to achieve this. At the same time, it is important to remember that it is through interaction with many more or less like-minded countries that necessary reforms can be put in place. Norwegian efforts to reform the UN should therefore be focused mainly on building strategic alliances, with both countries and developing countries. In his presentation, the Minister of Development took us on a crossroads around the world and presented his worldview. In the following I would like to comment on his view of South America and China. He pointed to the left wind blowing over South America, and that the power base of the old elites is in the process of weakening in favor of broad popular movements. At the same time, it was warned against populist elements in that left wind. The left wishes to welcome democratic development in South America, but at the same time will call for a degree of caution with regard to the rapid channelling of significant Norwegian aid funds to the region. This implies that Norwegian aid should be based on sound professional judgements and not an immediate enthusiasm for the new left wind. It is not only complex, but appears to be based on different degrees of anti-Americanism — and can quickly turn from past experience in South America. The left also sees the need to focus on China, which, together with India, Brazil and South Africa, is taking on a new role as global leaders, as the Minister of Development referred to as ‘an axis of hope’. The left shares this hope. At the same time, the Left sees a clear need to influence several of these countries to respect more fully human rights and to promote sustainable development in the exercise of their new role. These include the fact that China has a high demand for raw materials and wants new markets for its cheap finished products, which they, through closer cooperation with regimes of different character in developing countries, can access. The left, for its part, places great emphasis on sound economic development in the private sector as an important prerequisite for the development of a country. Small and medium-sized enterprises play an important role here. They are usually based on local resources and purchasing power and not large-scale investments that can lead to extensive natural interventions, dependence and vulnerability through a one-sided economic development. In addition, many small and medium-sized enterprises can help to build an intermediate class, which promotes political stability. The left is in favour of strengthening the emergence of such enterprises by providing microcredit, accepting breeding tariffs and stimulating Norwegian enterprises to engage in developing countries to promote local business. The left will soon submit a proposal that up to 1 pst. the Pension Fund must be able to invest over time in the activities of poor countries in order to promote development and employment. Investments are intended to take place on commercial terms, and should also go to countries that have progressed well — so-called ‘merging markets’. Furthermore, Left will support the Government's efforts to remove unilateral debt from developing countries, including debt from the Norwegian shipping campaign.
ParlaMint-NO_2006-05-23.ana.ud1471e669	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e672	The left confirms that there is a very broad consensus on Norwegian development policy. And that's good. I would like to ask the representative of the Left if she also sees the need for a debate on where to channel aid and a review of how to do so. The new government places great emphasis on the role of the United Nations – as a conflict-resolving force with peace-keeping forces, as the administrator of international law and as the creator of a new international legal order, but also as a very important channel for assistance. We believe that the UN, not least a reformed UN, will be one of the best channels for obtaining assistance where it is needed. I myself have experienced and seen that UN organizations, among others. in Pakistan in 2001 with refugees from the then Taliban regime, only received help from UN organisations, but they did not have enough money. How does the Left of the United Nations view Norwegian aid as a channel?
ParlaMint-NO_2006-05-23.ana.ud1471e681	The left believes that the UN should be strong, and that there should be something we are going to do in the future. But at the same time, we have always pointed out that the UN must be reformed and that they must use channels that are OK. The left will also be committed to the UN, and we will cooperate with both countries and developing countries in order to bring about such a system of assistance through this.
ParlaMint-NO_2006-05-23.ana.ud1471e686	Several have not asked for the word for a line.
ParlaMint-NO_2006-05-23.ana.ud1471e689	Let me first thank you for a very positive debate with lots of wise contributions – an inspiring debate that will make it possible when I leave here, I want the inspiration to work even harder in a field that all the participants in the debate have said is important. Let me start with what's really the least important debate, and that's the question of whether what's presented here is a new course or a bad course. It is not difficult to re-point mass in this statement, where the most important thing is perhaps a much clearer focus on how to use our means of assistance. We're going to run a tougher women's policy than the previous government did. We're going to have a completely different emphasis on energy, because it's an area where Norway has a special competence. We will be more critical of the World Bank. We want to deal with debt issues. We want to bring up Latin America, migration -- I can mention a number of things; it's stint of new things. At the same time, there is also a strong trend in the way that we do not complete the positive and sensible work done by the Bondevikregierung. I want to say that poor the policy area where there should be revolution each time a new Council of State entered the government quarter. If you changed everything and turned it all down every four years, we'd never get to do anything. Now, of course, we're going to sit a lot longer than four years, but that's if you took the worst possible option here. So it has to be a mixture – and that's the only thing that makes sense – by going on a lot, but there's also a very clear change in what's presented. If I'm going to point out that maybe the most important thing, there's something kind of general that's new. It is that this government represents much more than previous governments — it has been a gradual development, yes — a quantum leap by saying that development is much, much more than assistance. Assistance is a small, important part of creating development, but the most important thing is international power relations and power relations in individual countries. Policies are always the most important. For this reason, development policy must be part of the overall foreign policy, not deterred from the rest of foreign policy. For example, it is almost always essential to create peace in a country for development, and then we must always see development and foreign policy together. I also agree with what Finn Martin Vallersnes said very clearly, that, of course, development policy is also an extension of domestic policy. When we try to contribute to development in other parts of the world, we do. And we don't have to be embarrassed about that. We're doing it based on our values. For example, if we go out and contribute to another women's political investment in the world, it's based on Norwegian women's political values. When we believe that we have something to contribute to the management of natural resources – not to teach, but to share experiences – it is because we believe that we in Norway have done so in a way that others may benefit from, for example, hearing about. with close cooperation between the State and industry, with strong control systems and anti-corruption provisions, etc. Corruption has been in the hands of many people. There I want to challenge the Progress Party: at the moment you or some of your contacts become familiar with cases of corruption involving Norwegian development projects, so let's now to a great extent know about it immediately, so that we can take action against it. It shall not lack my will to hit it hard, if we see such cases. At the same time, we must also recognise that combating corruption is always difficult. It's not going to be happy and happy in many of our co-operation countries because we're starting a fight against corruption, but we want to see a development in the right direction through all the actions that many have been involved in the debate. So to Morten Höglund's very interesting, positive and good posts. He quoted a Kenyan scientist who pointed to some of the critical objections to assistance. Let me just say that this is a relevant and sensible criticism, which we have to discuss. Assistance can create corruption, help can create unnecessary bureaucracy, help can liquidate local markets instead of strengthening them, and perhaps most importantly: aid can in some cases contribute to less local entrepreneurship and less local real will to do something, including: Because there may be a tendency for the best people to be sucked in and start working on aid-related things, rather than creating their own business ideas or, for example, creating their own. own production. But not only the United Nations — it will also apply in relation to emergency aid, and it will apply in relation to non-governmental organisations. In Sri Lanka, as both Morten Høglund and I know, after tsunami, there was a strong tendency for a number of NGOs with good budgets to come in and suck up the best people, because they could offer the most interesting and exciting jobs and maybe the highest salaries. So these are completely relevant objections that we're going to discuss. One of the most important things Norad should now do when they discuss evaluation is to evaluate how Norwegian and international assistance works based on the criticism that Morten Höglund presented. I would also like to address what I would call tribal language in the field of development. A few months ago I was in South Sudan and heard an entire statement where there was not one normal, common word to hear in an hour. Everything was abbreviations and tribal language, mainstreaming and God knows what. But one of the tribal words I think also requires some deepening is the question of poverty orientation. That is right: development policies must aim at bringing up the poor, but development policies cannot always mean that, in every project, the poor are to be reached directly. Sam Eyde was, as I see it, very central to the fight against poverty in Norway, as a representative of a class of entrepreneurs who created Norwegian business. Martin Tranmæl was just as central to poverty reduction in Norway. He didn't organize the poorest first. He organized the more successful parts of the working class first. The sum of this, entrepreneurship and growth, which Sam Eyede symbolizes in Norway, and the organisation and power from below, which Martin Tranmæl symbolizes in Norway, is what created the fight against poverty in our country. I am in favour of poverty reduction and poverty orientation, but it cannot mean that every project and programme in the first instance should directly hit the poor. It is the growth and spread of the crop that has been shown to help. East Asia has set an example here in a way: formidable economic growth, but also a state that is able to ensure that people get part of it. And above all, there is also a need for non-governmental organisations, effective political parties and others to ensure that growth hits the poor. In that picture, I would also say that Africa is the continent we're going to bet most on – no doubt about it. Marit Nybakk, Jon Lilletun and others made important recordings here. I also want to see if we can do more in West Africa. I am strongly in favour of what Marit Nybakk said, namely that there must be more regional investment in Africa, not just individual investment on land. Countries must be able to act as a region. It was also the main message to Konaré of the African Union when he was in Oslo a short time ago. Yeah, we're gonna bet most on Africa. But it's also so that there's an equal number of absolutely poor people living in South Asia. The growth is more correct and better there. But still, there's a very large number of absolute poor people in South Asia. In Latin America is 20 pst. by the population of absolute poverty. More than 40 pst. the population is poor. So there's a lot of work to do. However, both in South Asia, in Africa and in Latin America, policy is most important. Assistance works politically, but the policy is the overall one. That's why I can't accept the argument that it's irrelevant what kind of development model or policy Latin American governments put on. Finally, I would just like to comment briefly on something that representatives have mentioned, and where my answer has been requested. Marit Nybakk and Ågot Valle were concerned about the issue of the World Bank. We will facilitate – if we get with neighbouring countries – a seminar in Oslo on privatisation issues in the World Bank. We will do so after the World Bank's September meeting in Singapore – for two reasons. One is that it is not on the agenda of this meeting, and it is therefore difficult to push it in, and the other is that we need more time to prepare it, because this will have no effect if only Norway joins in. But we are now starting work on getting such a seminar in Oslo in October/November, as the two representatives called for. Morten Höglund was in China. I'm very glad he said that we have to have the goal of getting China as a partner. The Minister for the Environment and I will try to get a joint trip to China in the month of September/October to see how aid and the environment can play together. This is in China's interest, but it is also, frankly, in the world's interest, and in Norwegian interest, to contribute to solving the environmental problems in China that China is playing over to the rest of the world. I've been told that the largest source of pollution in California is now China, and with the Pacific between China and California – that illustrates the point. Vallersnes was inside on the Red Cross and on what happened there. I'm going to catch it up and try to see if they've taken the criticism that Vallersnes used to bring, and that I want to follow up seriously. Ågot Valle was about the question of whether we should have presentations or briefings to the Stortinget. There, I will consult the Presidency and the Foreign Affairs Committee to hear what the Storting wants. Even I believe that explanations are the best form, and I was an active follower of it when I was in Stortinget. But if Stortinget prefers larger documents from the Government, we will of course settle it. Jon Lilletun wanted budgetary leakages – mostly. He wants us to take things too early. I can't do that, unfortunately. And if the president only allows until the end – to Samuelsen on Darfur: that's what the government is working very intensively on. Anne Margrethe Larsen wanted us to take on alternative energy sources, not just oil. We do, of course, but still in recognizing that there is oil that is the most important energy source in Africa in terms of short-term monetary performance.
ParlaMint-NO_2006-05-23.ana.ud1471e731	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e734	During the debate there has also been talk about aid channels. The UN has been mentioned, as well as non-governmental organisations and the debate around it. The representative Nybakk said in a line change before the Council of State had the word that a reformed UN was an important and good aid channel – that is how I understood it. It's not hard to agree with that. Nevertheless, we are not there to have a reformed UN. Nevertheless, is the Council of State so safe in the way that the United Nations system – now I am taking it as a whole – operates today, that he still wants to increase his investment in funds through the UN before the reforms are necessarily in place?
ParlaMint-NO_2006-05-23.ana.ud1471e739	We want a clearer commitment to the UN, not because we believe the UN is perfect and that we can be sure that every project or program the UN is involved in, operates in a perfect way, but there is no alternative to the UN if you want international organisation of assistance. One of the most important UN can do is to be a coordinator through a regional representative with a common programme and budget in each country, and to be the one setting the standards for its operation. If you look at international aid today, the UN is not a major player. I think -- I take the number out of memory -- that's 15 pst. by the development programmes operated by the United Nations. So there are some non-governmental organisations that are almost the same size, the World Bank is of course big and state of state aid is big. Where the UN is unique, it is like a set of norms and as the organizer of the joint effort that must take place in a single country – and we want to strengthen it.
ParlaMint-NO_2006-05-23.ana.ud1471e746	The government says it wants to channel even more of Norwegian assistance through the UN. Then it is strange that when the UN Secretary-General proposed budgetary reforms, which could provide greater flexibility in money use and provide better coordination between the various UN organisations and agencies, the Government was unable to decide whether Norway was a donor country or a developing country, and voted in a blank way, as they just did over a devastating resolution, which is intended only to stop Kofi Annan's reforms. All other donor countries voted against, with Norway as the only lonely exception. I assume that our United Nations delegation is voting on a mission from the Government. What's the rationale?
ParlaMint-NO_2006-05-23.ana.ud1471e754	I must first say that I do not know this matter in detail. It sortes under the Secretary of State, so I haven't been in the details of it. But as I see it, Norwegian voting was like that because we felt it was developing a rather devastating conflict between the Third World countries and the more prosperous countries of North America and Europe, which did not benefit the matter. The contact we have had with a number of EU countries also suggests that many of them were of the same opinion, although the EU came to a common position on agreeing with the United States. It was a desire to destroy a conflict, which unfortunately does not help to bring the UN forward. What we are now seeing is a tendency towards polarization in the UN where some developing countries unfortunately oppose absolutely necessary reforms, but on the other hand, some major powerful countries act in such a way that they do not get people involved in reforms, but in reality act so arrogantly that the reform process is slowed down and stopped.
ParlaMint-NO_2006-05-23.ana.ud1471e761	Just to follow up on the representative of Vallersnes asked, I have a great understanding of much of the substance in the answer given by the Council of State, but in this case Kofi Annan, the Secretary-General, had put forward the proposal. He is not directly aware of countering the interests of developing countries, so I thought the argument that the Council of State led in this case was special. The Council of State is somewhat relieved of the criticism that has been made that one is so happy about what is happening in South America. I can tell the council that I'm quite happy too. I thought a lot of this was very good, but I would be very unhappy if it was a premise for Norwegian development policy. So I just want the Council of State's assurance that there are technical and developmental objectives to underpin the promises you give, not if the regime has one color or the other.
ParlaMint-NO_2006-05-23.ana.ud1471e768	I agree with Mr Lilletun that party politics in the sense of whether or not one likes party politics to a regime is, of course, completely irrelevant. What is not irrelevant is whether a regime or a government follows a development-oriented policy that contributes to raising the poor of the country, which contributes to the necessary economic growth and the construction of the country and its distribution. That's the most crucial question. If the concept of ‘aid professional’ is to make sense, it must be a fundamental political concept, because it is the policy that is the most important. A sensible development policy is the most important thing. Then, of course, you can look at the individual elements in it from an aid professional point of view, for example. how to fight corruption most effectively. I believe that organising conservative, right-wing parties and Christian-democratic parties in a popular and fine way around the world, is also an important part of Norwegian aid for democracy development and development, and will of course support it as well.
ParlaMint-NO_2006-05-23.ana.ud1471e777	Several have not asked for the word for a line.
ParlaMint-NO_2006-05-23.ana.ud1471e780	The Council of State said in its statement that we have the opportunity to achieve the UN's Millennium Goals to Eliminate Poverty, or at least to reduce it to half as early as 2015. If we don't, it's because of a lack of will, not because of a lack of opportunity. Of course, the world community has set targets on poverty reduction in the past, and in the wake of good intentions many poor countries are left with a series of broken promises. The representative, Mr Höglund, is quite right about that. But it can't mean that because they failed before us, we're going to give up trying again. The development goals that the international community through the UN committed to in 2000 represented something new because they were concrete, they were measurable and, not least, a deadline for achieving its objectives was set, and the instruments for implementation are strong. The Millennium Goals say a lot about what poverty is, how poverty can be combated, and not least about when we can achieve results – if we want to. The Millennium Goals are simply a list of priorities for both the UN, national authorities and organisations working to reduce world poverty and the Millennium Goals commit. Today, nine years before the time it was agreed that these objectives could be achieved, we see that the status of target achievement varies greatly from country to country and from region to region. For example, countries in Asia and North Africa will: Realistically, the objective of halving poverty in 2015 could be achieved. We are making progress in the fight against poverty in some regions, but at the same time development is gloomy elsewhere. Most of these places are countries in sub-Saharan Africa. The countries of sub-Saharan Africa and some of the poorest countries of other regions are very much lagging behind in many of the Millennium Goals. Here we see, among other things: that, at today’s pace, the education target for all will only be achieved one hundred years after the deadline in 2015. In other areas, such as poverty and hunger, development is not even going in the right direction. So it doesn't go forward, and it doesn't stand still either – it actually goes in the wrong direction in some places. If the current trend persists, Africa may actually be the only region in the world where the share of people living on less than one dollar a day somewhere is going to be larger in 2015 than it was in 1990. An important reason for this is the AIDS epidemic that keeps Africa in an iron grip. Twenty-five million Africans are infected with HIV. To date, 11 million children have lost their parents because of HIV/AIDS. The disease creates poverty and hinders development, and if we cannot fight HIV/AIDS and reverse infectious trends, we cannot make progress either. It is very important that Africa is put at the top of the global policy agenda on poverty reduction, and it is right and it is important for the Government to focus so strongly on Africa. The representative Nybakk has been involved in a lot of it, and it also has the council, so I'm not going to repeat too much of it. Despite the small number of uplifting figures from some parts of the world, the UN concludes that it is possible to achieve the Millennium Goals, even in the poorest countries. It requires a much stronger effort. It is on the will of the world community. We have the knowledge, and we also have the cancers that are needed to get it. The report on the achievement of the Millennium Goals includes: the call for a strong increase in aid. It calls for high-income countries to now open their markets to exports from developing countries and also calls for better coordination of the UN system itself. Of course, we're going to back this up. The UN is the most important tool we have, but it can always get better. Nevertheless, there is no reason to report out and not contribute to poverty reduction through the UN system, such as the Progress Party for which the political party is at home, and such as the US as a Member State does in practice by trying to undermine the legitimacy of the objectives, by cutting off financial contributions to achieve the objectives and by directly countering some of the objectives of practical policies towards developing countries. Norway has been and is a strong defender of the Millennium Goals as opposed to the United States. This is because fair global development and poverty reduction are an important objective of Norwegian foreign policy, and because the UN is the cornerstone of Norwegian foreign policy. In the Government platform, we strongly express our full support for the ambitions of the Millennium Goals and for strengthening the UN system. We are showing this through concrete action at budgetary level and through the participation of the Prime Minister in the important reform process now under way. Let's see that the Millennium Goals become a real reality and actually create a wealth boost in the poorest part of the world, needs broad strategies and great upliftment in the western part of the world, but not least in the developing world itself. If the UN fails in its fight against poverty in the achievement of the Millennium Goals, it is only because the Member States do not want to. And if the UN fails with its own reform and weakens as a global player, it is definitely also the poorest countries it is going to go through.
