ParlaMint-NO_2006-11-08.ana.ud1671e24	The called alternate of the Rogaland County, Siri A. Meling, has taken the seat.
ParlaMint-NO_2006-11-08.ana.ud1671e298	It was a Document No. Eight proposals – it was called in the past, it is now called representative proposals – from among others. Bjørg Tørresdal and Jon Lilletun, it was well, which was the starting point for the policy change we are now implementing in this area. I agree with the way Tørresdal describes it, that in the future children's living time in Norway should be given greater weight, and children's situation should be given greater weight in the management of foreigners. There we now have a proposal for a new regulation out at the hearing. The consultation round is now either just concluded or soon concluded. Then we're going to review the hearing opinions with a view to implementing the regulation for the spring. What I have done then is that I have asked UNE to put all matters at risk for children who have lived for more than three years in Norway. It is certain that the future regulation will not go on for three years, but in order to identify a possible target group, we have done so. UNE has said that it means that their starting point is that there should be no forced transmission of children within that group. So we saw, as Tørresdal says, that something happened last week related to two kids from Kosovo. When we discovered it, there was immediate contact from our side with UNE, where we clarified the letter I had sent to UNE. This led to our turning around, and the boys got returned – I think it was in Bulgaria that we managed to stop them. The starting point, of course, is that this shouldn't happen, and that's why we also intervened.
ParlaMint-NO_2006-11-08.ana.ud1671e307	I thank you for your answer. I just have to be allowed to comment: we still must not send children out at night. Whether they are refused or not, a child must be treated as a child. In the course of this extension, Rogaland Avis had a headline on Monday saying, ‘No one wants to have flights.’ It is about refugees who have been granted a residence permit in Norway but who remain on asylum reception because it is today that it is voluntary for municipalities to accept. Some stay if they have a disability or other health problems. The size has said that no one should be more than six months in the reception. What was the example of Rogaland Avis was one who had been in reception for several years after receiving a residence permit. What will the Council of State do to ensure that this vulnerable group also has a decent stay in Norway?
ParlaMint-NO_2006-11-08.ana.ud1671e314	I did not get the time to say that I agree that we must have a dialogue with the police that broadcasts as happened in Stokmarknes, we must avoid as far as possible. So to the second question. My position on this is that it's obvious that we're not doing any good on the part of the state to make our grant systems work. Above my budget, we will provide an integration grant that will in principle be sufficient to accommodate the municipalities. Then we have a challenge with regard to disabled children. There is a system of grants, which is probably located in the Ministry of Local and Regional Affairs, in order to deal with the costs of cost-intensive users. As a result, my deposit – that is, the grant from the Ministry of Labour and the Ministry of Inclusion – disappears. And I don't think it's possible to have a system like this, because it means that we don't have people with disabilities, whether they're children or adults. So I'm set to engage in a dialogue in the Government with a view to making this grant system work better, and so make the housing even for the disabled.
ParlaMint-NO_2006-11-08.ana.ud1671e323	The President will accept three follow-up questions – first Karin S. Woldseth.
ParlaMint-NO_2006-11-08.ana.ud1671e326	I have a follow-up question to the Council of State. In 1994, the UN proposes, in 2000, and in 2005 the UN urges Norway to ensure adequate support and supervision for lone minor asylum seekers. So far, yesterday we got the first NGOU – there are 15 voluntary teams and organisations who, in cooperation with the Children’s Ombudsman, have developed it and investigated how asylum seekers are receiving it. Does the Council intend to ensure that the lone asylum seekers are now also subject to the law applicable to all children in Norway, namely the Child Protection Act?
ParlaMint-NO_2006-11-08.ana.ud1671e333	I would like to say that there is a great deal of attention attached to the question raised by the representative. We also see that there is a great deal of commitment from different organisations in this field. Therefore, it has been important for the Government to start work on transferring responsibility for this group to child protection. But we also see that this is a matter with great consequences. We could not transfer responsibility within two months. We had to do a thorough preparatory work in order to have a transfer to child protection, which just ensures these children a qualitatively better offer. The whole purpose of transferring the children to child protection is that these children are properly followed up. We know that this group is very complex; there are many different types of children in this group who need different types of help and treatment. I can tell the representative that we are in the process of working, but we have not found in the next year's budget to be able to meet financially at this point.
ParlaMint-NO_2006-11-08.ana.ud1671e338	Kari Lise Holmberg – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e341	My follow-up question goes to State Councillor Bjarne Håkon Hanssen. Things that concern children, children who have been in Norway for a long time, are matters that we are going to take most seriously. All children deserve a good and worthy childhood, and they must have the best possible relationships. It is not desirable to get into all the situations we have seen in our country with regard to children who have had to spend a long time in asylum recipients, children who have been in unsafe conditions in Norway for a long time. There are two things I want to draw. One is the time for proceedings, and the other is the time for appeal. We know that in our country we have a number of appeals. You anchor, and you anchor again. In the past, the Council of State has gone out and said that he wants to reduce the appeals, and then my question becomes to the Council of State: What will the Council of State do to further reduce the usual procedure time? And what will the Council of State do to reduce all the opportunities you have to appeal?
ParlaMint-NO_2006-11-08.ana.ud1671e351	The first part of the question is the simplest. The trial period is very often about resources, that is, we manage to have enough people to deal with the issues that come to the UDI and into the UN system. What we are now seeing is that although the number of asylum seekers has fallen somewhat, the issues we are getting are more complicated and more demanding to address, and therefore, in the Government's draft budget for next year, we have substantially strengthened both the UDI and the UN, with a view to improving the quality of the Graver Commission's report, but also as a result of the need to reduce the balances, i.e. to reduce the length of the procedure. As far as the second part of the question is concerned, it is easy to wish that matters should be decided more quickly in the appeal system, and I have stated that we should look at the possibilities for that. But it's hard to put it into practice. That's why it's a topic that we'll be able to deal with in the proposal for a foreign law, which comes in the new year.
ParlaMint-NO_2006-11-08.ana.ud1671e358	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2006-11-08.ana.ud1671e361	My follow-up question goes to Councillor Karita Bekkemelm. Asylum is a compound group, and I'm glad that the government has started a work to look at the care associated with this group. It's kind of two pieces. One is that many of them have had traumatic experiences. Many of them have experienced the death of close family members, while others have a completely different background when they get here. The second is on the treatment side, as the Council of State addressed in its previous reply. But what I want to lift up a bit is the general care and security you can create around such children, in general, having a stable arm hook that they can sleep in in the evening. One of the suggestions that have been made, and that the Left has been asked to do, is to make models of the SOS children's cities for these children to make a stable care. Are there models that the Council of State might think of? And are there models you can work with?
ParlaMint-NO_2006-11-08.ana.ud1671e368	I want to continue a little bit where I left off. It is about looking at the content of this reform. There is no doubt that this will be a major reform with economic but also professional implications. That's why it's important that we do some proper preparatory work, so that we can get these children properly. As the representative here points out, this is also about an important piece of care. These are children who have had a very traumatic childhood and who may need many different forms of support. I see very clearly that non-governmental organisations can also make an important contribution to how we can take care of these children. But the important thing is that we take greater social responsibility. As I see it, I'm proud, because this is actually the first government to start a job at least to get these kids out of reception. So it takes some time, but I can promise that both Bjarne Håkon Hanssen and I are working intensively on this, and we are going to make suggestions as soon as we're done.
ParlaMint-NO_2006-11-08.ana.ud1671e373	The size goes to the next main question.
ParlaMint-NO_2006-11-08.ana.ud1671e376	My question goes to the Minister for Gender Equality. We have an emerging feminist debate in Norway. In the last 20 to 30 years, Norway has spent millions of dollars on gender equality work, research and investigation, not forgetting gender ombudsman activities. We have allowances in schools, in jobs and later on in company boards. In all this business, there's a group of women who seem to be forgotten, and it's the immigrant women. We see the development of ghettos, parallel societies, which are dominated by the lack of human rights, with major social problems, women and children suffering from unworthy conditions, girls and women who are covered, who are sexually mutilated, and we see that violence and rape are increasing and becoming more serious. We've also seen killing. Women as individuals are crushed in a cynical game of visa, citizenship and money. In this book here, Hege Storhaug’s ‘But most of all freedom’, the blame is mainly on felony, sibling childhood and family-accompanied marriage. Is it not time, on the part of the political majority, in particular from social democracy and the so-called feminist, and also from researchers, journalists and others, to admit that they have been rescued? Isn't it time we took a solid settlement with the view of women that exists in some immigrant environments?
ParlaMint-NO_2006-11-08.ana.ud1671e387	I want to say that the commitment of the Progress Party to immigrant women is commendable. This is also about the fact that we have to follow up on concrete actions. When it comes to assigning blame – whether it is in the lodge over there, here in the hall or in the first row here – I think that the responsibility for how we come out as a society, and how we are judged for how we treat our new countrymen, can be distributed quite equally. But the important thing is that we take the political responsibility we now have. I actually believe that this government does. Among other things, we have amended the marriage law, with clear improvements just linked to the girls with whom Ulf Erik Knudsen is concerned. In addition, Bjarne Håkon Hanssen works with a revision of the Foreign Affairs Act, which is, of course, complicated, in the balance of being able to address some measures that will protect this group, versus that others could in a slightly unfair way be subject to the changes in the laws that we might have to make. Obviously, these are difficult balances in a society. That's different opinions. That is why I believe that it has also been set up by my colleague to deal with this matter that just shows that we might come to the right solution in common. So I just want to say that we're working intensely. We put more money into the question of forced marriage. We're working intensively against interception. We work with different types of support to organisations, which means that even this youth actually feels confident about being able to seek help from the Norwegian authorities. I would like to say that the government is doing very well with the work that the representative is dealing with.
ParlaMint-NO_2006-11-08.ana.ud1671e398	It's true, as the Council of State said, that you're doing something in relation to the marriage law, and in Ot.prp. No 100 for 2005-2006 are tightened against bigami, against proxy marriage and against marriage with children, and it is easier to dissolve forced marriages. At the same time, the statements relating to divorce are partly diluted, and it is said that the so-called arranged marriage is completely ok. This is to shoot yourself in the foot. Another issue is that the measures taken in Ot.prp. No 100, come ten years after everyone knew about the problem, and ten years after the Progress Party had notified how this was to be resolved. Isn't it time to stop pulling your feet after yourself, to get a 24-year detention age as soon as possible, and to get a ban on fats and cousins?
ParlaMint-NO_2006-11-08.ana.ud1671e405	I want to say, as the representative well knows, it has been more than the Progress Party that has had a strong commitment in this Chamber for many years to be able to come up with a policy that is better than what we have done. That's exactly where we're now, that we're going to conclude. I will not go into the field of my colleague. He who has the constitutional responsibility gets to answer himself. But it is quite clear that here the government will come up with completely concrete measures. I also want to say that on the question of siblings' childhood and the age limit, I think we have to be honest to say that opinions go across all parties. But what the government is concerned about is to take as a starting point that we want to protect both young girls and boys from being exposed to a number of acts that are of such a nature that it would have been inappropriate for us to accept that our own children had been exposed to them.
ParlaMint-NO_2006-11-08.ana.ud1671e412	The President will accept three follow-up questions – first Kari Lise Holmberg.
ParlaMint-NO_2006-11-08.ana.ud1671e415	It's good to be a immigrant woman in Norway only when you know the Norwegian language, when you know our society, when you participate in our society and contribute according to your ability. In order to achieve this, conditions need to be established. Avoiding coercion is essential. In this context, as also mentioned earlier, a proposal for a 21-year-old age limit, which has been put forward for consultation, is being put forward. But in our globalized world, where young people travel around the world, they meet and will be together. The aberration with an age limit is that it will make everyday life difficult and take away the freedom of many of our young people. The right has a better option. We want to raise the requirement of maintenance further. Several people would then have to work and be self-sustaining in order to get a spouse. It will also contribute to fewer coerciveness. I think it is good that we have both the Minister of Gender and the Minister of Inclusion here. Cooperation between the two is essential in these matters, and therefore I would like to ask the Council of State here: will the Government now contribute to the lifting of the maintenance obligation?
ParlaMint-NO_2006-11-08.ana.ud1671e423	I'm looking at my colleague who's here. He actually has the constitutional responsibility at that point, so I guess the right thing is that he answers that. But I can assure the representative that the situation for immigrant women is high on the agenda, and the cooperation between our two departments on these issues is ongoing. But I think, since the Council of State is actually present in the Chamber, he's going to be allowed to answer that.
