Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e49	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SHK	Horne, Solveig	F	1969	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e199	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e215	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.EAS	Aspaker, Elisabeth Vik	F	1962	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e234	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e242	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e387	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e397	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e583	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e593	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e770	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e780	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2006-03-16-lower	ParlaMint-NO_2006-03-16-lower.ana.ud2220e791	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2006-03-16	2006-03-16	Lower house	Term 2005-2009	Session 2005-2006	-	Sitting day 2006-03-16	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
