ParlaMint-NO_2006-03-29.ana.ud2478e24	The called alternate of the Aust-Agder County, Kjell Ingolf Ropstad, has taken the seat.
ParlaMint-NO_2006-03-29.ana.ud2478e195	Firstly, I would like to return the praise to the representative, Mr Højbräten, who I believe has taken a very commendable view of this important policy area and of cooperation in this area. I'm very happy about that. My ambition and that of the Government is that when we bring this matter to the Spring Storting, it should be as concrete as possible. Of course, we need to address ourselves and describe both the challenge of today’s elderly care and younger users under the age of 67, who are growing, and what is the situation in the future. But then there's a point, which I totally agree with the Hojbråtn in, that we have to try to be as concrete as possible, which obliges us all. I'm very happy if it's possible to come up with a settlement in such an important policy area that we can lift in teams, because I don't think any of the parties have any monopoly on what is the truth, and some of these things are too important to argue about.
ParlaMint-NO_2006-03-29.ana.ud2478e202	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e205	After the opening round here, I expect the Council of State, with the same price and obvious commitment, to put down everything that she perceives as unfair, regardless of the name of the party and the name of the independent municipality. As an observer of Norwegian citizens, I will do my part in observing it. My question is in the follow-up to the Council of State's commitment – that she takes responsibility, and I believe that. She rightly points out that we need labour, people who can set up when older people are going to have as good a life as possible, because they need help. Therefore, my question becomes to the Council of State: What will she do as a member of the government to take that responsibility for training professionals? We know, for example. the budget for the current year was cut in private colleges, simply because it was called ‘private’. At Lovisenberg Hospital in Oslo, one of the oldest educational institutions in Norway, training of geriatric nurses has been cut. Will the Council of State take responsibility for these cuts being corrected, so that we get the professionals we need, and so that institutions that train good people are taken not only because they bear the title 'private', but that they say that people are what we need, no matter where they are trained?
ParlaMint-NO_2006-03-29.ana.ud2478e212	The government is prepared to take the responsibility we have to contribute to ensuring the necessary number of employees we need in this important sector. Then, as the representative Dørum says, we both have to make sure that we train more at all levels, and we also have to make sure that we further educate some of the people we already have in the sector, who do an excellent job. But in view of the fact that there are more people with more complex disorders, more chronic diseases, it is necessary to gain even more competence. That is why we also need to develop further. We also have to try to get back some of those who have disappeared into other professions, get them back and tell them that these are actually interesting, exciting and fun jobs. And then we also have to make sure that some of those that are now being pushed out – even at my age, and I haven't reached the age of 40 – that can contribute something, but that can't contribute 100 pst., also get a place, i.e. the inclusive working life. We have to start with the counseling service at school. I was recently visiting the auxiliary care line at Sandaker High School, or what is now becoming the trades union line. What they said was that the counselling service had hardly mentioned them, and the guys who went there were almost ridiculed because they went there. So we're working across a wide field, so the representative Dørum has to be safe.
ParlaMint-NO_2006-03-29.ana.ud2478e223	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e226	In the context of a number of debates, the Council of State itself has addressed issues related to Oslo and the rest of the country. The Council of State itself has taken a step in the right direction by saying that every time something relating to Oslo has come up, one has been very high on the track and criticised that piece, while one sees many, many examples that in places around the country where the Council of State's own party sits in power, it's fairly quiet on the part of the Council of State. But I'll leave it, and just say that's it. My question to the Council of State is as follows: for a number of years we have tried to transfer funds only to the municipalities and have informed them that they are responsible for the care of the elderly. You haven't looked at the system itself, and there's no sign that you want to do that. In the context of the forthcoming communication, will the Council of State ensure that the way of financing care is also assessed, that it is the legal right of the user to be at the centre, that the money follows the user to the institution you choose? Or will the Council of State continue with a policy that has not worked in recent years – at the same rate?
ParlaMint-NO_2006-03-29.ana.ud2478e233	Firstly, I hope that the Progress Party will also contribute constructively to a promise that is for the benefit of the elderly, and then we recognise that in some areas we disagree. I believe that the representative Nesvik is wrong when it is claimed that this year's councils have received NOK 5.7 billion more from this government, it has not been used for the elderly. What we know so far is that a lot of the money has been spent on the elderly around the municipalities. It's because there's a lot of people around the municipalities who have a lot of sense, and I think the sense is pretty much the same. In the matter that comes to Stortinget, we're going to go through and look at what we actually have to do to ensure that older people and others who need it get more help for care and care. With regard to the concrete and the way in which it is financed, this government and the Progress Party disagree. We have no faith that the State will take over the financial responsibility, give a check to them, and then the elderly themselves will go out and shop for an offer in the market. We think it's going to lead to a lot of bureaucracy. We need people out in the field, in the ministry, to help those who need it.
ParlaMint-NO_2006-03-29.ana.ud2478e242	Let's move on to the next main question.
ParlaMint-NO_2006-03-29.ana.ud2478e245	I want to ask a question to the Minister of Health and Care. For a long time now, we have seen new and ominous signals from regional health businesses, and not least from the regular health companies, the individual hospital. We are now seeing ongoing proposals for cuts. We've seen it in the media related to St. Olav's Hospital in Trondheim. We see that, among other things, considering shutting down their cochlea implant operations. We see threats of redundancy in a number of hospitals. We've seen it in the case of Haukeland, which is considering shutting down a department every Friday because there's no money to do operations. We see a whole bunch of things. In addition, we now see that sick leave in many hospital wards is sky high. In other words, the ever-new problems that arise now go beyond patient treatment. This means that there is not enough funding to allow regional health businesses to maintain the level from last year, and at least not to be able to increase and provide more sick people with an offer in the oil nation of Norway. My question to the Council of State is: will the Council of State now guarantee that there will be a significant increase in the funding of firms in the context of the revised national budget so that they can now start planning their activities better? Furthermore, will the Council of State ensure that depreciation rules and replacement value, i.e. the opening balance sheet of enterprises, are put in place in the revised national budget, so that hospitals and businesses know what they have to do with being able to invest in the future? Or will the Council of State just let this scour and go and not give any signals now, so that we get an even greater uncertainty in the population, even greater problems, threats of the closure of departments and redundancies, which in turn will lead to increased sick leave and poorer offers to patients?
ParlaMint-NO_2006-03-29.ana.ud2478e255	Norway has one of the best health services in the world, and we will continue to have that. This government has been responsible for five months. Based on previous experience from the social committee in this house, I know that at this time of year there are lots of suggestions because there are internal budgetary processes in hospitals, so you also have to have some ice in your stomach. I do not believe that there are demanding situations in many of our hospitals. That's exactly why the party I belong to, over many years in Stortinget, has given more money to hospitals. That's why this government already after a few weeks after it took over, it opened up 500 million. More to the hospitals for the current year, so that we can treat well 20,000 more patients than was foreseen with Bondevik's draft budget. So this government has already said that the increased pension costs that hospitals have of about NOK 1 billion, we're taking out of the balance sheet requirement, so that it doesn't have to be more efficient than NOK 1 billion. It would mean further challenging situations. So it's the Stortinget, including the representative Nesvik, who has instructed all regional health companies to balance this year. It's a decision I take with the greatest seriousness, and that I'm trying to make. Clearly, this is not a simple decision. I could otherwise say, there's going to be more money for hospitals. We are working to correct the investment regime, and we are aiming at correcting the imbalance between the regions – in particular Health West and Health Mid-Norway. The representative Nesvik is so experienced in politics that he knows I can't say now when we bring it, but we'll bring it up at some point.
ParlaMint-NO_2006-03-29.ana.ud2478e268	The problem of not sending signals until a later date is that there will still be uncertainty in the population and in hospitals, and there will be new proposals for cuts and major problems in the individual departments, which do not know what to do with them. Governments indicate that so much more money is allocated to hospitals. Yes, it was taken back with the other hand then, by introducing a new component of physiotherapy. That's why you took in 250 million. NOK only there, and charged patients with an extra cost at that point. It's important that we give signals, just to make the business calm, just so that patients know what they're dealing with. What the Council of State does not say in its reply to me about businesses is that, after all, the funding system was also changed in the New Year. Now we actually see that the queues are increasing, patients are getting a worse offer, we see a great uncertainty. Is the Council of State really comfortable with the signals we are now receiving in Stortinget that there is a threat of cancellation and termination of offers?
ParlaMint-NO_2006-03-29.ana.ud2478e277	There is a difficult situation in several of our hospitals – I am the first one to admit it. That's also why I spend a very large part of my working time trying to do something about it. It's about money, and there's more money. But it's also that we know the hospitals where we haven't had enough cost control, we have to get it. Now I do not have the right to answer questions, but it might have been tempting to find out whether the Progress Party believes that one should not meet the balance sheet requirement that the Storting has adopted. If so, there will be new signals. Then I also want to say that money is of course crucial in the hospital sector. But money isn't everything. Let me use psychiatry as an example. So every psychiatry therapist treats an average of 1.8 patients per person. day(s) If we just manage to get them to treat two patients per. Day, we can take away more than 3,500 per. years. Money is important, but money is not everything. We also have to make sure that we spend the money and the excellent staff we have at our disposal, in a better way than we do today.
ParlaMint-NO_2006-03-29.ana.ud2478e286	Here too, the President will accept four follow-up questions – first, Børge Brende.
ParlaMint-NO_2006-03-29.ana.ud2478e289	It's a serious situation at St. Olav's Hospital in central Norway. Several bed beds are to be closed and health cows will increase. This is in stark contrast to what the red-greens promised in the election campaign. The current Councils of State, Giske and Djupedal, said to the Address Paper on 6 September following an election meeting in which I myself was present, the following: ‘The Red-Green Alliance partners reiterated yesterday their crystal-clear guarantees for psychiatric centers as well as cut-off and state funding support.’ I then asked if this was clear with the party management? Yes, the guaranteed guess. Only the red-greens came into government, all the challenges for St. Olav's Hospital were to be solved, and there would be more money. Now the situation is tougher than ever. The health queues are increasing. Arent M. Henriksen, the director, goes out and says he's shaken over Brustad, and asks them to retrieve the manuscripts from the election campaign and fulfill the promises. When will the Brustad Government Council bring money to avoid increasing health cows?
ParlaMint-NO_2006-03-29.ana.ud2478e301	I dare remember that it is only five months since Børge Burnde was in a government that was also responsible for St. Olav's Hospital. I've got an inheritance that's quite arduously attached to St. Olav's Hospital, which is and is going to be a very good hospital when it's completed. So what did St. Olav's Hospital and this region get? Firstly, Health Mid-Norway has received DKK 4.4 billion in addition to normal circumstances. After two months in the chair, this government gave them an extra SEK 2.9 billion to complete phase 1. Something like that didn't do the previous government. We have also made sure that they have received a lasting increase in order to also complete phase 2 within the framework of the health region that they believe is right and that is worth approx. Three billion kroner. We also did that two months after we took over. Something similar did not do the previous government of which Børge Burnde was part. I just have to say that in this case I do not have a bad conscience! We have delivered, and we have delivered much faster than the government Børge Brende was a member of. It is also true that if the budget proposal submitted by the government had been adopted, it would have been 260 million. kr less each year for this region.
ParlaMint-NO_2006-03-29.ana.ud2478e310	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e313	It may well be that it is not primarily the comparison with the previous government that becomes the problem for the Brustad Council. What she is confronted with is that her party traps in the campaign country and beach around have promised that everyone who needs treatment in a given place will get it. We have also seen examples of the state council being prepared to intervene when she thinks it is necessary. My question, then, is this: before we have a revised budget, is the Council willing to intervene with healthcare companies that intend to reduce treatment provision on which large groups of the population depend?
ParlaMint-NO_2006-03-29.ana.ud2478e320	We have carried out meetings with the management of the different health regions to ensure that the changes they have to make as a result of the Storting decision do not significantly exceed the patient's offer. Of course, all people in Norway who need treatment should have it as soon as possible. That's the whole point of working in this sector. For some hospitals there are now tougher times than for others. I am aware that there are several things, including money, that I am, of course, working to get more out of. We have appointed new regional health business boards, as the representative is aware, and in a short time local health business boards will also be appointed. I feel confident that all of this together will help us get a better system than we have today. It's a challenge. We're working on that day and night to make it even better, and we can make sure people get the help they need.
ParlaMint-NO_2006-03-29.ana.ud2478e329	Gunvald Ludvigsen – for follow-up questions.
ParlaMint-NO_2006-03-29.ana.ud2478e332	At the hearing of the Health and Welfare Committee on 8 March of this year, the Council of State said that it maintains the requirement for healthcare professionals to achieve a financial balance in 2006. At the same time, we see that several health professionals are struggling with the economy and have to cut the supply to their patients in order to meet the balance sheet requirement. I just read that the director of the Helgeland Hospital says that one cannot meet the balance requirement without cutting into key functions that rock at the very foundation of the local hospital. How does this correspond to Soria Moria's promise that the Government will maintain a decentralised hospital service, and the promise that no local hospital will be laid down?
ParlaMint-NO_2006-03-29.ana.ud2478e342	The balance sheet requirement adopted by the Stortinget is demanding for many hospitals. But I, as the Council of State, have an obligation to carry out what the Storting has decided, and that is what we are now trying to do. Obviously, it has some unfortunate rashes. There's no doubt about it. As far as local hospitals are concerned, the Soria Moria Declaration clearly states that they should be maintained. We're not going to lay down a local hospital, and it's stuck. Then we look at – and there's a matter for Stortinget about it – what local hospitals should do. I am enough of the opinion that part of our local hospital should do more, for example. in relation to older people with more complex disorders, so that's also something we work with. It is demanding, but I work to implement what the Storting has decided, and then we also work to ensure that this sector will of course get money in the future.
ParlaMint-NO_2006-03-29.ana.ud2478e351	Jan-Henrik Fredriksen – the last follow-up question.
ParlaMint-NO_2006-03-29.ana.ud2478e354	It seems that there is a common practice for the Council of State to answer questions with new questions, and that is sad. What is the situation in Health-Norway? The Health Hospital says that the balance sheet requirement cannot be met. Hålogaland Hospital Health companies need additional manning reduction and it may be appropriate to reduce by 20 jobs at Harstad Hospital. At the surgical department of Haukeland University Hospital, the number of interventions has been cut because of lack of money. Health South has an unsolved EUR 158 million challenge. kr. There is a full dispute in Health Finnmark about where orthopaedics and surgery should lie, because of too little means. The Rikshospitalet – Radium Hospital HF may receive nearly 90 million. kr to balance. Today's situation is demoralising, and sick leave is increasing among health workers, and then health East and Health Mid-Norway, which have the biggest problems, is not mentioned. Is the Council satisfied with today's situation, which clearly reveals uncertainty for patients and employees, or does it agree with the Progress Party that the under-financing of enterprises is real and a consequence of last year's budget?
ParlaMint-NO_2006-03-29.ana.ud2478e367	I repeat that there is a difficult situation in many of our hospitals. But then I also ask that you have some ice in your stomach – at least I have to have it – compared to the fact that there are processes around the regional governments and you have to decide where to save and what to spend money on. Then there are also some things that are not at all – fortunately, I would say – going to be a reality when these processes are finished. I believe that when we get all the new boards in place, when we get better control at a part of the hospitals where there is not enough cost control, and when we get more money in place and manage to spend our people the best possible way for the patients, this will go better. We haven't been able to solve this in five months, but we're on, and we're going to do the best we can.
ParlaMint-NO_2006-03-29.ana.ud2478e374	Let's move on to the next main question.
ParlaMint-NO_2006-03-29.ana.ud2478e377	My question goes to the Minister of Health: Just over two years ago, the law on the medical use of biotechnology was adopted here in Stortinget. The objective paragraph states that the purpose of this law is to ensure that the medical use of biotechnology is used for the benefit of people in a society where there is room for all. He establishes respect for human dignity, human rights and personal integrity, and rejects discrimination on the basis of legacy facilities. The government has now announced that they will weaken this law. First, one opens to test a fertilized genetic egg. The aim may be to prevent a child with a more or less serious illness from being born. The purpose may also be to create a rescue shower or a donor child that can deliver tissues or organs to a sick brother or sister. For the Christian People's Party, it is important that all children are wanted by themselves, and not just as a means for another human being. Such a quest for hereditary properties of a fertilized egg also suggested that the government opens up to research into unborn life. The Christian People's Party believes that the Government can thus reduce the germinal life to an instrument. Then it is the human dignity itself that meets the winds. So there are serious and fundamental questions we are talking about, and the work of the Government should, in the opinion of the Christian People's Party, be influenced by it. The subject of biotechnology, which is the government's most important adviser in the field, even suggests that they have not had time to deal with the issue in a defensive way. The Christian People's Party of my State Councils is running into this matter. On other major issues, such as the relationship between state and church and regional forms, the government announces that they will use good time and listen carefully before concluding. This question is far more serious. It is about respect for human dignity and human life. Can the Council of State explain to the Council what is involved in this matter, which makes it possible to set as high a pace as the Council of State here?
ParlaMint-NO_2006-03-29.ana.ud2478e396	I do not want to go into the content of the matter today, except to repeat what we have said in the Soria Moria statement, namely that we should allow research on surplus fertilised eggs and a limited use of preimplantation diagnostics, i.e. PGD. That's what I'm working on on behalf of the Government now. We will send a proposal to the hearing in a very short time. The period of consultation shall be three months. We've been working on this since we took over five months ago. People will have ample opportunity to think about it before we conclude, and before the matter comes here to Stortinget. Then I just have to refute what is said about the director of the biotechnology topic, Sissel Rogne. I stand here with an e-mail that I have received from her. It says, among other things.It has been a very good process, and I have nothing to complain about. So it's not like the government here is running rough, but it's been an effective and good process. We need to have a democratic process on which everyone should be heard before it is concluded, and before the matter comes to Stortinget.
ParlaMint-NO_2006-03-29.ana.ud2478e405	I thank the Council of State for the answer, but it is not just a Christian People's Party that has responded that this matter is being produced as an expression. There have been several media essays in which the subject of biotechnology says they didn't get the chance to finish one of the most combustible topics when they met, and that the members of the denominator were content to send emails to each other to present their vision in such an important question about help or donor children. The vice-leader in the name must have stated that they were given such a short period that it has crossed the stick and stone, while the leader of the secretariat says that he cannot understand why this should go so quickly. Also, the government party’s representatives in the media said that they are insecure the second week, and that this matter is so difficult that there is no reason to rush. How do these voices get heard in this process?
ParlaMint-NO_2006-03-29.ana.ud2478e410	All voices will be heard. I would like to quote Sissel Rogne, head of the Biotechnology Study, who says, "As far as the VG quote is concerned, as I said, I am completely incomprehensible to this." So it's not the impression that's been attached, that the subject of biotechnology thinks this has gone too fast – and it should just be missing. We've had a real and proper process. We're also going to have to keep going. I have to ask to come back to the content when we present it. But I can assure the representative that it will be public in a very short time.
ParlaMint-NO_2006-03-29.ana.ud2478e419	There will be three follow-up questions – first Vigdis Giltun.
ParlaMint-NO_2006-03-29.ana.ud2478e422	I would like to ask a follow-up question to the Council of State Brustad. I myself participated in a couple of consultation conferences organised by the Biotechnology Study. There were very good conferences, where there was a clear desire to have a rapid revision. Existing law is not good. It was also clear from everyone except the Christian People's Party representative that this was urgent. It is important to get on the ground in research, including for Norwegian researchers. It is important to be able to help parents who have sick children. It is also important to be able to look at the possibilities that this offers to help people with serious illnesses to be cured differently from what is happening today. The Progress Party believes it is important to have that revision as soon as possible. I hope that the Council of State can ensure that there are no delays due to any disagreements in the Government or any other way, so that this can be started and processed as soon as possible.
ParlaMint-NO_2006-03-29.ana.ud2478e434	I can assure the representative Giltun that we are working properly and carefully on this and have democratic processes. We're going to send it to the hearing in a very short time, with a three-month consultation period. When it is done, the Storting will get the case. I fully agree with the representative that there are opportunities to help some people with serious disorders, including: That's why there's no reason to wait a long time for this, but we're going to do it in a real and democratic way. That's what we're doing.
ParlaMint-NO_2006-03-29.ana.ud2478e441	Governments were injured to misinform the Storting instead. She said the director of the Biotechnology Study is Sissel Rogne. The head of the Biotechnology project is Lars Ødegård. The Council of State should know that. Now, it is essential in this case that the revision of the Biotechnology Act can bring together the widest possible support in the Storting, because if any case is not suitable for throwing ball between changing majority from growing period to growing period, this is the case. Last time the Stortinge dealt with this, towards the end of the last enlargement period, it became a majority for a compromise decision that did not really reflect the real political majority of the Storinge. At that time, two of the three current government parties opposed what was actually being driven by the Progress Party and the Workers' Party together. Is the Council of State prepared to do such a solid foundation work that there can be a broad political consensus in the Storting on this matter, or will she run it forward as a controversial matter?
ParlaMint-NO_2006-03-29.ana.ud2478e448	The government is going to present what we think is right, and it says in the Soria Moria statement. Within that, of course, there are details that we have to look at. We're working on that. I'm not rushing out anything. It is a little strange to be criticized for effective treatment. In most cases, it's the opposite of being criticized for taking too much time. I'm going to take all the criticism I might have, but I guess I honestly think this is a little unfair. When the case is put to consultation with three months – which is quite common – one may see that it is a democratic process. Otherwise, the representative is the pay expert on – yes...
ParlaMint-NO_2006-03-29.ana.ud2478e457	Now I'm excited, President!
ParlaMint-NO_2006-03-29.ana.ud2478e462	I would like to make it clear that Sissel Rogne is the one quoted on behalf of the Department of Biotechnology in various newspapers. Therefore, I would like to refute that she should have thought that this was too fast and too fast a process. I stand here with an e-mail from her that rejects it. That was the point.
ParlaMint-NO_2006-03-29.ana.ud2478e467	Anne Margrethe Larsen – to the last follow-up question.
ParlaMint-NO_2006-03-29.ana.ud2478e470	The left considers that there must always be strict ethical requirements and considerations on the basis of which new medical technology is applied. It is necessary to facilitate full transparency and a continuing societal debate on where to go. The fact that this debate is being taken here in the Storting in full openness and not in the Chamber of Government is a prerequisite for a new social debate. Socialist Left Party Olav Gunnar Ballo does not support the decoration of the Biotechnology Act, while the Minister of Health and Care has no visible concerns about the proposal. But we have not yet received a debate on this law. The left calls for this debate. Will the Council of State take this matter behind closed doors until the Government has reached an agreement, or take it in full public?
ParlaMint-NO_2006-03-29.ana.ud2478e477	It's quite common for the government to decide what you want, before you discuss it in full transparency, and we'll do that in this case as well. I can assure you once again that the Government's view will appear in a very short time, and then of course it will be a very open debate. There has also been open debate until now through the subject of biotechnology and others, and it is affordable. Then there'll be a hearing, and then the Storting will have to say its own, and that's of course the Big Thing that decides on the seventh and the last.
ParlaMint-NO_2006-03-29.ana.ud2478e482	Let's go to the next main question.
ParlaMint-NO_2006-03-29.ana.ud2478e485	I would like to ask the Minister of Local and Regional Affairs about the process and content of the regional reform announced by the Government in 2010. The Soria Moria Declaration has stated that the reform will come, but says little or no about its content, whether it relates to the size of the regions or to what tasks should be right in these regions. Yesterday, I attended the debate in the County Committee in More and Romesdal, and since politicians have few signs of how and what, there was a as confusing debate as that of regional reform in recent years. State Secretary Inge Bartnes has said that any merger of county municipalities into larger regions should be voluntary, which causes the Municipal Report to conclude that ‘this was the case’ – on the whole reform. And even the state council has said that she should go on a skid while state politicians find out where the boundaries are going. Others in the government party will decide on new, larger, centralized regions. This is confusing. For the Left, local democracy is a pillar of our people's rule. We want the decisions as far down the system as possible, and here I actually believe that the Left and the Center are pretty close to each other. It might be interesting to know if the Minister of Local and Regional Affairs has looked at what tasks you can move down to the primary municipalities and to the new regions. My main question to the Council of State is then: Does the Government have a plan for how this reform should be governed, or is everything as uncertain as it has been before? Is everything in blue when it comes to tasks and size?
