ParlaMint-NO_2006-05-30.ana.ud2641e38	The representative of Mr Sonja Irene Sjøli will make a private proposal.
ParlaMint-NO_2006-05-30.ana.ud2641e193	Document No The 8-proposal that the Progress Party is promoting here is very similar to a proposal that the Centre Party made in the last period, in an attempt to settle for a predatory settlement that we did not put ourselves behind. I would also like to remind you, when we now discuss the predatory and border wolf challenges in particular, that we had an alternative to the predatory deal that went a lot further in reducing the number of wolves in particular, but also the number of predators in general than the attempt to change that the Progress Party proposal makes. It's also reflected in our party program. Nor is there any doubt that predatory policy is an important area for the Senter Party, simply because it affects people's everyday lives to those degrees. It affects people’s nutrition, and it affects animal welfare around the districts. It is therefore no secret that the Senterpartiet has primarily wanted a different predatory policy, and especially another predatory policy in the case of wolves. It is, however, that we are part of a government cooperation, and in connection with the Soria Moria declaration we lost the battle of border wolves, and we lost the battle of stock targets. But we have also achieved a part of the Soria Moria declaration, which is a balanced declaration of government. Among other things, we received: in place other replacement rules for predatory losses. We have been given the order that the emergency protection paragraph should be reviewed and clarified. We have established formulations that the population should also be assessed against the impact on grazing, grazing animals and the quality of life of people around the areas concerned. I would therefore challenge the Minister for the Environment to say a few words afterwards about the status of this important work and for the work on achieving the balance of the government statement. It's the five batches behind the predatory settlement, which have to take responsibility for the population, for the frontier wolf, for grazing and for predatory losses. It's not the responsibility of the Center Party. I think it is remarkable that the Right Party and the Christian People's Party now, six months after the government itself, distances themselves from the predatory settlement and tries to give the impression that you want a different predatory policy, especially in those areas where predatory policy is an important part of the public debate. The conditions mentioned here and referred to in the note were known at the time the predatory settlement was concluded, and was not least known at the time we last debated the border wolf, in connection with the examination of Document No. The 8th proposal from the Senterpartiet. We were brutally rejected by an Environment Minister from the Right – who is not present in the Chamber today – who has said that the definition of a border wolf is: A border wolf is a border wolf. It was as far as the previous government wanted to go in and discuss this serious issue. That's why I'm not particularly concerned that the Right and Ivar Kristiansen are haggling with the Center Party from the pulpit today. However, I take note that the Right Party and the Christian People's Party do not want to stand by parts of the agreement they themselves made, for which they themselves were responsible two years ago. I hope that this shows that they are about to take inward that we have been right in parts of the criticism that we have promoted against the predatory policy agreed upon. Among other things, I understand that the decision of the majority of the population that wolves, people and grazing animals should live side by side in discretionary harmony is – at least too much of the conciliators – clear for a revision. We have been attacked by several teams here today because we are going to reject the proposal. It is of course because it is the Soria Moria Declaration that underpins the government's policy. That statement is behind us as long as this government sits, and we are satisfied with the balance that the government statement represents.
ParlaMint-NO_2006-05-30.ana.ud2641e208	I refer you to the rapporteur's excellent statement of the reasons for the majority's view, a majority in which the Left is included. However, let me make some comments on behalf of the Left. The rapprochement concluded at Stortinget in the spring of 2004 was important. It clarified the policy in a disputed area, and it occurred after long-standing conflict and debate. That's why it was also important that there was a broad majority behind the deal. The left is concerned that the settlement should continue to underpin predatory policies. I feel absolutely convinced that if one takes out one element and adjusts in one area, as it is currently being added up to, it will quickly trigger pressure in other areas. The arrangement of this important settlement can then be quickly undermined and altered. Joint management with Sweden of the border group of wolves was part of the agreement, and also the non-participation of these wolves in the Norwegian target number. The left side is associated with the government parties in the setting. We are not on the proposal of the Right and Christian People's Party. Although the proposal for the frontier flocks is open in form, it may be an element of a new orientation that is not in conformity with the predatory agreement. It doesn't want the left to be on. On the contrary, we want to use the opportunity to stress that we are behind the agreement and believe exactly the same as we did when we were in government, and as we did in the spring of 2004 when we were in the agreement here in Stortinget. I was going to end by noting that the Center Party is part of the majority this time, and wish them – so to speak – a welcome in the flock. But after hearing Ola Borten Moe's posts, I understand that they're forced to move. It's rare that in a predatory debate you see as clearly the swallowing of camels as what we're witnessing here.
ParlaMint-NO_2006-05-30.ana.ud2641e224	I take note that the majority on Stortinget is adding to the 2004 agreement on predatory game policy. This implies the continuation of the stock targets set in Stortinget, including for wolves. I also take note that for the third time in a row in the last two years, the majority of Stortinget has rejected the inclusion of the wolf border herds in the overall stock target of three annual juveniles. On the basis of the fact that the 2004 stock targets are established, I believe that the majority of the formulations on ‘stockings should be able to be assessed on the basis of the impact on grazing, grazing animals and on the quality of life of people in predatory areas’ are to be assessed by the regional authorities in the context of the regional management plans for predatory game currently under development, with good processes in all regions. I take further note that the majority would like to see enhanced cooperation with Sweden on the management of border stocks. I would like to follow this up in a concrete way. Then I have also noticed that the former government parties Right, Christian People's Party and Left also base the 2004 conciliation, but they still seem to believe that the frontier groups of wolves today are outside national administration. The concreteisation made by the Bondevik II Government in March 2005, to which the vast majority of these members belong, implies that decisions on killing affecting family groups or re-virtual pairs of wolves where parts of the territory of Sweden are located, shall be taken after contact with the Swedish authorities. There is reason to stress here that Norwegian game law applies on the Norwegian side of the border. This implies that border groups will also be managed by the Norwegian authorities in the future in the event of damage or risk of damage on the Norwegian side of the border. Since this is a matter of problems affecting a neighbouring country, the management of these cross-border flocks has been added to the central authorities and not to the surveyors. Based on the comments of the majority in this case, I am pleased with the conclusions that are now being taken into account for the management of the wolf. The government is following up the 2004 Great Britain’s anti-aircraft settlement through a targeted effort on prevention and conflict mitigation measures, with a total of 37 million this year. kr. I am concerned that regional predators will have total responsibility for the dimensioning of current predatory measures in their region. For this reason, it has been suggested that regional denominators themselves allocate allocated funds to conflict-reduction and prevention measures in their region, without being controlled by the central government. Also in the coming period, the Government will place great emphasis on prioritising funds for prevention and conflict mitigation measures to both animal owners, municipalities and communities in areas that are subject to the greatest burden of the management of wolves at all times. I will follow up with a continuation of today's compensation schemes, both in relation to domestic animals, in relation to domestic animals and in relation to hunting dogs, where predatory attacks still occur. I will also, in line with Stortinget’s 2004 leadership, undertake a test of state hunting rental in areas with wolves in predatory game region 5, Hedmark, this autumn. In conclusion, I would like to follow up the point made by the Soria Moria Declaration that the emergency protection paragraph in the wild law should be clarified in order to clarify the animal owner's right to protect domestic animals and dogs from attacks. As part of this work, the Ministry has recently received an assessment from the Directorate for Nature Management on the issue of emergency protection in relation to dogs. I see it as natural to consider a change in the emergency provision in connection with the work on new natural diversity laws.
ParlaMint-NO_2006-05-30.ana.ud2641e250	It's going to be line change.
ParlaMint-NO_2006-05-30.ana.ud2641e253	The Council of State was concerned about the importance of regional wild game subjects, that they are responsible for monitoring the quality of life of the Soria Moria Declaration, and that they have total responsibility for predatory wildlife policy in their region. Then it points to anti-conflict measures. It is worth pointing out that in the debate we have today about wolf, whether Norwegian or Swedish, the predators do not have anything they should have said, because the stock targets have not been achieved. It is a responsibility that lies in the Directorate, and therefore with the Council of State itself. So it is the Council of State that must take responsibility for the quality of life in Hedmark. I want to ask the Council of State the simple question of the Council of State and the Government sees it as 31 wolves around Elverum affect the quality of life of the people most, for those who are engaged in agriculture and buffing in the countryside, and not least for those who have children playing in the countryside in Hedmark.
ParlaMint-NO_2006-05-30.ana.ud2641e262	I can assure you that the Government is concerned with the quality of life, of course also in the areas that have many wolves. I guess it's not that a large number necessarily results in the threat getting bigger. As a minister, I am very concerned about how our predatory game policy works. It is also one of the reasons why I have now been and am out for a round of visits to all the predatory wildlife subjects, just to get the issues close to the body, which allows us to make decisions that are both necessary and right – but always based on what the Storting has decided.
ParlaMint-NO_2006-05-30.ana.ud2641e269	The councils have visited Elverum, seen the commitment, got a presentation of the situation and have also felt the abduction that you feel locally. In parts of Hedmark, you are now approaching the reserve tanker. I don't think there's any particular doubt about that. Ask the Hedmark High School at Petter Wabakken, it is believed that the wolf population is centered in Åsnes Finnskog. When there's an explosion of wolves in Sweden, it's obvious that border teams are going to be a much bigger problem. All re-establishment destroys the hunting and field potential, and it destroys the quality of life of people. It's pretty well turned on. Why, then, does the Council of State fail to take on board the fact that the concentration and quality of life were also part of the predatory game settlement, and that today's administration suffers from a total lack of confidence in the affected areas?
ParlaMint-NO_2006-05-30.ana.ud2641e276	I can assure you once again that I am following this development very well. Of course, it is also important to recognise that there are some municipalities that have stronger pressures than others. That's about. 10 municipalities — Elverum is one of them — affected by wolves in Norway today. We follow it closely. I also think it is important to stress that we are now giving the predators and what is happening in the different regions a chance. There is a new regime that is up and going, it has worked approx. A year, and we're going to gain experience. I promise the representative and Stortinget that we will follow closely and, of course, will also present the issues in due course.
ParlaMint-NO_2006-05-30.ana.ud2641e283	I am pleased that the Minister for the Environment believes that the Christian People's Party is on the agreement, even though not all the representatives of the government parties do. I am also looking forward to the work that will be presented to us on the emergency court in the case of a dog. In my question to the Council of State, I would like to draw attention to a committee comment. Let me quote from the agreement: ‘The Committee refers to the fact that the notification provides for and supports the delegation of pest withdrawals to the individual municipality in such isolated cases.’;» This goes on pests. These ten municipalities with a heavy load do not always experience such a delegation. I then ask the question: What action is the Council of State going to take in order for these municipalities to experience that the Storting's assumption is being followed up on this field?
ParlaMint-NO_2006-05-30.ana.ud2641e295	I have now visited five regions, and I have on the block in a few months to cover all the predatory wildlife subjects. The message I get through dialogue with the predatory wildlife subjects is that this new regime with regional predatory wildlife subjects also provides greater insight and opportunities to influence the procedures to have pests removed quickly. I want to follow that development. We are concerned that rapid decisions should be made when damage has been detected. I think a lot of municipalities are just giving feedback that this is where the administration has improved. But as soon as I get reports that the administration is not working after the intentions, I will contact you quickly, so that we can get ahead of it. I assure you that I am following this closely.
ParlaMint-NO_2006-05-30.ana.ud2641e300	The cord shift is over.
ParlaMint-NO_2006-05-30.ana.ud2641e303	Those who had hoped and believed that with the Senter party in government there would be noticeable and positive changes in predatory policy, must be very disappointed today: a complete kneel-drop for SV's predatory fanaticism and a rather embarrassing political magpie for the Center Party. It is no more than a year since the Stortinget dealt with a proposal almost identical to what we are dealing with here today, just with the important difference that it was then the Center Party itself that promoted and supported the proposal. But since then, there have been elections and government negotiations, and the Central Party has failed in something that must be a core question for their voters. With the Central Party in a majority government, it is unfortunately only to note that the wolf lives safer than ever. The breeding stock settlement in 2004 had at least one very serious weakness in the management of the wolf population. The status of the cross-border flocks was unclear, in the sense that they should not be included in the Norwegian stock target. These flocks were thus defined away and considered almost non-existent. Such a situation is not to live with. That is why I am pleased that the Storting has this opportunity to debate this very question. With the predatory policies of the Swedish authorities, a rapidly growing wolf population in Sweden will, of course, have consequences for us too, with a significant migration of wolves from Sweden. The situation may come out of control, and then it may be too late. We can then find ourselves in a situation where the density of wolves in border regions against Sweden is so high that the living conditions of the population in these areas are seriously impaired. There can be no doubt that very many of those living in the most affected areas feel that the policy of the majority of predators is a major offense. The big community and the big crowd should remember Arnulf Upperland's words: ‘You must not tolerate injustice so intensely that you do not touch yourself!’ In this perspective, the debate on the status of cross-border fleets is important. Preferably, I would see that the Stortinget could today determine that border flocks which have at least half their territory and spend at least half of their time in Norway were to be included as part of the total population target of three young people and come under the ordinary Norwegian game management. I am therefore going to express this also through my vote here today. But, of course, I would also like to support the proposals made by the Right and Christian People's Party, which are a good step in the right direction in relation to taking seriously the challenge posed by the border forces. It is both disappointing and alarming that these proposals are not supported by any of the government parties.
ParlaMint-NO_2006-05-30.ana.ud2641e325	Wolf is a hot theme where it's hot. Not many people in Norway have been directly affected for the time being, in fact, no more than those involved have been easy to sacrifice on the altar of the great society. Arnulf Upperland talked about the previous talk, so I don't have to mention him. The zone problem itself is based on the fact that this is a burden to which the whole of Norway cannot be exposed. There will be too much conflict. The wolf zone is a border zone, but the majority of the population is not to be seen. In Norwegian policy, it has been chosen to stick your head in the sand, pretending that the plague does not exist and hoping that the individuals it touches quietly go their way. That the Central Party will reject both the proposal of the Progress Party to include parts of the frontier fleets and the proposals of the Right and the Christian People's Party to look at the development of border stocks and the unilateral burden of today's wolf load will give them a strong feeling that the Centre Party has this as an area of pure symbolism in the opposition, which is rapidly dissipated in position. Personally, I will vote in favour of both proposals. Many will feel bitter that what was one of the Central Party's taboos before the election is not even worth an examination and critical look after the election. Norwegian wild game management, and then in particular of wolf, is a disaster. It creates conflicts locally and against our neighbouring country Sweden. The local community feels overwhelmed, unenforced and stamped by the big community. I live and try to create the income of the field in the middle of this. The sense of impotence is great, injustice is very strong, and the distrust of democracy's ability to understand is growing. Reprocessed grazing rights are sacrificed smoothly. Most have already given up, and now the Food Authority forbids pasturage. Landowners in the border area suffer large losses of income and industrial potential. In an established wolfevir, 150 to 200 moose are taken per. years — it continues to increase — the ideal work of hunting and fishing associations is being strangled, and the quality of life of many people is being greatly reduced. It may be impossible, in the spirit of democracy, for individuals to bear the costs of the looting agreement alone. Loss of livestock income is provisionally replaced. However, domestic animals provide subsidised income and thus live on the welfare of the big society already. Hunting and hunting do not require subsidies and support to be developed. The quality of life and the sense of security are indefinable, but not less important for that reason. The majority lack the ability to empathise with the individuals concerned, and it is striking. The right proposal is a good compromise between many interests. It would have given residents and businessmen along the border a hope of being heard. The center part torpedoes that hope. In the election campaign, they put themselves on the market as no to the wolf party. Now you have fallen completely in love with SV and their predatory policy. There must be a record in his shift. Good luck marketing.
ParlaMint-NO_2006-05-30.ana.ud2641e343	Not much is creating such a debate as for or against predators. To be honest, people living in cities are for, and those living in rural areas are against, and it is relatively natural. Even stronger, of course, are those who live by buffs, have hunting as income or as recreation and hobbies, as well as those who want to use nature for experiences without fear of encountering – in this case – the wolf. This is about quality of life. Extra evil is in the states bordering on Sweden. In Sweden, the number of predators is considerably higher than in Norway. This gives us a large number of predators that cross the border according to their needs. The problem is that the wolves, which are largely on the Norwegian side, are not taken into account, and we will then have a large number clearly above the stock target set by Norway. Of those countries that are particularly affected, among other things: Hedmark – so strongly affected that the Food Authority has notified a grazing ban on some sheep. The danger of being taken by predators is so great now that the buffoon must be kept at home. This, of course, creates problems in several ways. The most difficult is that the sheep must have food, and thus they must graze on the soils that would produce high for the winter season. This, of course, creates extra expenses as well as a lot of extra work for the individual user. To the very thing: it is strange that some other parties do not follow the proposals of the Progress Party. It's also strange that individual representatives in the other parties don't either. Many of us remember, among other things. The representatives of the Central Party who traveled country and beach around and defended the interests of the farmers and the use of the land. You should feel safe when you go out in nature. We were pleased to hear this, and it was in line with the vision of the Advancement Party. But what happens when they have opportunities to do something? Then the Center Party withdraws and the other parties' district representatives are absent. Could it have anything to do with the proposal coming from the Progress Party, or was it not the whole and full truth that came from the Centre Party during the election campaign? Over the past few weeks, a lot of worried people have called me. They've been afraid of their nutritional basis, they've been afraid of their animals, their children or their own safety. They have been so committed that I could be allowed to use their name from this pulpit and say that they had pride in the Central Party in this matter. If it failed, they never went to vote on this party again. For that party and for the representatives, inter alia: from the District Working Party, today must be one of the worst. Today they had the opportunity to fulfill their promises.
