ParlaMint-NO_2006-10-02.ana.ud1206e32	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2006-10-02.ana.ud1206e349	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Grand Duchy shall then be elected. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2006-10-02.ana.ud1206e356	I suggest Signe Eye.
ParlaMint-NO_2006-10-02.ana.ud1206e365	Signe Eye has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2006-10-02.ana.ud1206e374	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2006-10-02.ana.ud1206e380	I suggest Karin S. Woldseth.
ParlaMint-NO_2006-10-02.ana.ud1206e388	Karin S. Woldseth was proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2006-10-02.ana.ud1206e397	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals from the first Vice-President.
ParlaMint-NO_2006-10-02.ana.ud1206e403	I suggest Eirin Fallet.
ParlaMint-NO_2006-10-02.ana.ud1206e411	Eirin Faldet is proposed as the first Vice-President of the Stortinget. Other proposals are not available.
ParlaMint-NO_2006-10-02.ana.ud1206e420	The majority has then come to the election of the other vice-president. The President is asking for proposals.
ParlaMint-NO_2006-10-02.ana.ud1206e427	I suggest Lodve Solholm.
ParlaMint-NO_2006-10-02.ana.ud1206e435	Lodve Solholm is proposed as other vice-president. Other proposals are not available.
ParlaMint-NO_2006-10-02.ana.ud1206e444	It shall then be elected Secretary of State. The President is asking for proposals.
ParlaMint-NO_2006-10-02.ana.ud1206e450	I allow myself to propose Kari Lise Holmberg.
ParlaMint-NO_2006-10-02.ana.ud1206e457	Kari Lise Holmberg is proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2006-10-02.ana.ud1206e466	The President proposes that the alternate representatives Gorm Kjernli, Ingrid I. Opedal, Bente Thorsen, Oddlaug Børseth Brecken, Tom Stroemstad Olsen and John Thune be elected to the Lagation for the time they meet for the representatives of Vidar Bjørnstad, Bjørn Jacobsen, Øyvind Waksdal, Jorod Asphjell, Sonja Mandt-Bartholsen and Line Henriette Holten Hemdal. – It shall be deemed to have been adopted. The President proposes that the Storting should now suspend its negotiations so that the Laging and Odelstinget can meet and elect presidents and secretaries. – It shall be deemed to have been adopted. The stork continues its negotiations after the Lagninget and Odelstinget have formed.
ParlaMint-NO_2006-10-02.ana.ud1206e512	The President hereby declares Norway's 151. grossing up legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the Government, so that he may obtain the King's decree on the time of the opening of the Storting. – It shall be deemed to have been adopted. The time will be published later. The President requests authorisation after the announcement of the opening of the Grand Duchy, after the surrender of the throne and of the state of the kingdom, to make the customary wish for the King and the country of origin – and considers this authorisation to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting – and considers this mandate to be granted. As a deputation, the representatives Sigvald Oppebøen Hansen, manager, Bård Hoksrud, Gunn Olsen, Terje Aasland, Kåre Fostervold, Kari Lise Holmberg and Bendiks H. Arnesen are appointed. In response to the solemn opening of the Stortinge, Oslo Bishop has invited Stortinget’s representatives to serve in Trefoldighet church today, Monday, October 2, at 9.30 p.m. 17. The service will be held by Bishop Ole Chr. Khärme and Elisabeth Thorsen. Before the meeting is closed, the President will note that the time for the presentation of the budget has been set at 6 a.m. on Friday 6 October. 10th@item: inlistbox
