ParlaMint-NO_2006-05-24.ana.ud2089e24	The representative, Ms Eriksen, will make a private proposal.
ParlaMint-NO_2006-05-24.ana.ud2089e120	After the Progress Party's view, the cabin people are of great joy to the people most, and not least to the commercial industries where these have built their cabins. The tenants probably spend a lot of money in each municipality, which benefits both business and the municipality. Cabin tax plays can scare away potential outdoorsmen who plan to build themselves a cabin. Does the Council not see that this is backwards, and is not the Council of State agreed that extra taxes should not be imposed on measures that can get people into the wild? Should it not be for the Council of State to see to it that spokespersons and municipal politicians can enjoy the fact that people benefit from savings to invest in outdoor activities, instead of imposing these even greater tax burden by imposing property taxes on cabins? Is this a deliberate suggestion that they should be able to impose property taxes on municipalities throughout the country?
ParlaMint-NO_2006-05-24.ana.ud2089e127	I agree with the representative of Starheim that cabin crews are a pleasure for very many municipalities and very many communities in Norway, and not least the cabins are of great pleasure to those who have them. We maintain a property tax in the municipalities as a voluntary tax. If one is concerned that the municipalities should not avail themselves of the possibility of imposing property taxes, yes, then the most important thing we can do is to strengthen the municipalities financially. Because, as I said in my previous answer, there are a lot of municipalities that have experienced a lack of coercion in relation to the introduction of property taxes. The municipalities are now given additional freedom of choice in relation to the choice of the property tax scheme. This by removing the distinction between urbanly developed and non-urbanly developed strips will be important, because it has also been perceived as very unreasonable in many places, with, as I said, the heavy burden on the judiciary that we could have seen in front of us.
ParlaMint-NO_2006-05-24.ana.ud2089e137	Bea Lymph – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e140	The main foundations of the recently concluded agreement between the State and the Norwegian Agricultural Farmers’ Association for 2007 are linked to tax reliefs through an increase in the agricultural deduction. It is a device that the Left supports and that is in line with the agricultural policy that has been pursued in recent years. But does the Council of State not see that the proposal to give a general authority to the municipalities of the country to impose property taxes on buildings, i.e. the houses of the peasants, leads the Government to pay taxes with one hand and to take tax cuts with the other, as did the government when the 2006 budget was adopted?
ParlaMint-NO_2006-05-24.ana.ud2089e145	Firstly, I am pleased that the Left supports the tax profile of the farm. In the case of property taxes, it is also the case today, until the new law enters into force, that in the case of farm use within the area for which property taxes can be imposed, it will be up to the municipality how to levy taxes on buildings. What we've done now is we've implemented a mandatory derogation for soil, forests and operational buildings. In the case of apartment buildings, they will be subject to the property tax in the same way as other residential buildings, but with the limitation of the own value-fixing rules of the house on the ground floor being part of a larger production unit.
ParlaMint-NO_2006-05-24.ana.ud2089e152	Bent Höie – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e155	As for the Council of State's description of the local economy in recent years, I would have to ask the Council of State to stick to the truth of the development she herself describes in the context of the municipal proposition in formal responses to me, which is quite different from what she gives here in the Chamber. To the matter: I have to repeat the question from the representative Sanner. Does the Council of State not see the undemocratic fact that local politicians, chosen by the population living in the municipality, can impose property taxes on people who do not have the right to vote in the municipality in which they have the dwelling property? The program output point of the centre party and of the right in relation to property tax is almost identical. Both parties are against the property tax, but it is up to local politicians to decide. But that means that those who get the property tax, and are opposed to it, should have the opportunity to get rid of the politicians who introduce it. The model proposed by the Government means that those who receive property tax cannot get rid of the politicians who introduce it.
ParlaMint-NO_2006-05-24.ana.ud2089e162	I understand the issue that was raised, but it is demanding for me to see what conclusion the representative Höie zejl would draw from the question he is asking. After all, there is a relatively special situation that would arise if the person with an interest in another municipality could have voting rights in that municipality. It would break with all of our democratic thinking. It's the residence that's the starting point for where we put our voice in the urn.
ParlaMint-NO_2006-05-24.ana.ud2089e167	Let's go to the next main question.
ParlaMint-NO_2006-05-24.ana.ud2089e170	My question is to the Minister for Transport. I hope that the Council of State in the answer will spend the time telling about the Government's own actions, and not commenting on the policies of the Progress Party. I hope the Council of State agrees with me that most people are more concerned with solutions than with disputes about old numbers. Other countries that do not have oil revenues spend money building new and better roads. Ireland is an example, NOK 340 billion is spent on new infrastructure. The argument there is that this must be done to ensure continued growth in the economy, and at the same time to avoid pressures on the economy. Some of the countries that build roads borrow money to do it. Some of these countries even borrow money from Norway to build roads, borrow the oil money that the Norwegian State has placed on behalf of its inhabitants in financial capital abroad. Loans are granted at low interest rates, 2 and 1/2 pst, because these are long-term investments, with low risk. However, social returns in Norway are much higher, and the risk is just as low. In Norway, we have an alarming need to renovate our own road network. The total follow-up to road maintenance throughout the country is over 40 billion kroner, according to new figures provided. Just 5 pst. of the national road network complies with the requirements we ourselves have set for our own roads. At the same time, the construction industry says that there is good open capacity to deal with both maintenance and start-up of several new road projects. 40 pst. of the asphalting capacity has been utilised and 20 pst has been exceeded. free capacity for road construction. It's not on the money, it's not on projects, and there's capacity. What action will the Council of State take to reduce the delays in maintenance and to increase the rate of construction of new roads, so it really monasteries?
ParlaMint-NO_2006-05-24.ana.ud2089e179	I understand that the representative will not be reminded of the progress party's budgetary settlement with the previous government, so I shall not say one word about it in my reply. When it comes to this government's policy, we want to bet on transportation. We have a Soria Moria statement based on the agreement in the National Transport Plan, which also includes the Progress Party, which says that we should increase the investment level by 2.2 billion annually. That's what we're working for; in the current year we've added 835 million. kr, which is a good growth. We're on our way. We're not far enough, but we're on our way. I also want, as opposed to the previous government, to turn more of the bet over to maintenance. It's not when we meet with trumpets and bassoons out there, because both here in Stortinget and in the state there are many projects that a person wants to get start-up permissions on and get started. And I understand that, because, as the representative says, it is a screaming need both for maintenance and for new projects around our country. I was late yesterday in More and Romesdal, and I'm going to Telemark and Sogn and Fjordane the next week, and both running along the roads and talking to people strengthen what I know before, that we have a great need. My job is with the Government to follow up what we've been choosing, and what we're building on in the Government's work, simply to follow up the National Transport Plan and also to be able to strengthen the maintenance budget for years to come.
ParlaMint-NO_2006-05-24.ana.ud2089e186	I thank you for your answer. The industry in Norway has a huge distance disadvantage, and it becomes extra large when the road network is poor. But it is also true that the imbalance between economic frameworks, plans and expectations in road construction is very high. For example, the Directorate of Roads has calculated that the cost of achieving a good standard, for example: on the main road network, is DKK 300 billion, and with the level of investment we know from this year's budget, in 2006, it will even take 70 years – 70 years to achieve full standards by means of tolls. What is this government's ambition in terms of time, how many years does this government and this departmental council see it going to take before we can get a better road network in Norway? I hope, of course, that this government will be very close for 70 years, but an ambition for how fast you want to move forward, I hope that this government and this council have.
ParlaMint-NO_2006-05-24.ana.ud2089e193	It would be a brilliant prospect for the country if this government were sitting for 70 years, even though some of us had to find ourselves in being replaced by younger forces afterwards. When it comes to the number of years it will take before we get a satisfactory name, it is, of course, impossible for me, as the representative knows, to say it exactly. It will depend on a lot of factors in our future country. But as I said in my main response, we have an intention to reverse the negative developments that have been in trade for many years. The share of traffic in the State budget has gone down. We're doing that work. We have both in the budget and in the revised budget the commitment to transport, we will continue to do so, and we will continue to work to improve the road network in the country – not only tribal roads, but also national roads and county roads. In the end, it is the county that is responsible for it. The fact that we now have a shift in the local economy allows the county to be able to catch up with the road network that may be the worst.
ParlaMint-NO_2006-05-24.ana.ud2089e203	There will be three follow-up questions – first Trond Helleland.
ParlaMint-NO_2006-05-24.ana.ud2089e206	I think we're all going to admit that the investment in road maintenance has not been good enough in any government, and that also testifies to the maturity we're seeing. However, the Council of State has now said — and repeated to the boring — that it is now going to be a different dance. Now we're going to speed things up, now we're going to bet more on maintenance. Then I find it exciting to read the revised budget, which has now been submitted. Well hidden on the Ministry's website, there is a detailed framework on how much this increase will be in the future, in an annex to the revised budget. I can figure out some numbers there: Oslo will get 3 million. kr extra for asphalting, Akershus will get 4 million. kr, Vestfold will get 4 million. kr and West-Agder, poor, will get extra zero kroner this year for asphalting. Is this a bet the council is satisfied with, or will it become a little puzzled?
ParlaMint-NO_2006-05-24.ana.ud2089e215	In any case, we have a commitment, unlike the previous government, which cut down on the maintenance in its budget. We've invested nearly 200 million. kr for maintenance, and it may well eventually approach that we come up at the zero point, where it was before the previous government took over and started their cut. In the light of that, I did not think the representative should be in a hurry. When we distribute a sum of 116 million. kr in many countries, will not be the sum of each. I could agree on that. Of course, the ambition must be to continue. But the sum-- well, 700 million. kr – which goes to asphaltification, is at least strengthened by this government and not cut, as it was by the previous government. I'm glad, because that means we've got another reverse operation. We've gone from getting a cut to getting a boost, and that's important. People will notice as time goes by, that we get more construction machines on the road and routes in this country.
ParlaMint-NO_2006-05-24.ana.ud2089e222	Jan Sahl – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e225	I heard with interest from the Council of State in the debate on Tabloid on TV 2 yesterday. I wondered again about this with the dose of Møller's tran, because the Council of State stated that we have not had a ten-year debate on transport in Norway. Understood: Only when the red-greens came into government, did the debate on transport speed. Where has the Council of State spent the last ten years — when, among other things, has the central government in which the Central Party took part? She further stated that the Cooperative Government cut off the appropriations for operation and maintenance on the roads. She repeated that now. It doesn't really match reality at all. We will admit that it was not good enough, but there were additions on the operating and maintenance side. We have a Minister of Transport who uses big words, but so far we see little follow-up to the words. The revised national budget contained a small increase, but it largely contributed to cleaning up matters that had to be dealt with in an important way. Now we have to look forward. [[The President clubs.]] I would like to ask the Prime Minister: are we getting project funding, which has been the big new one?
ParlaMint-NO_2006-05-24.ana.ud2089e236	State Council Liv Signe Navarsete. [[Laughter]]
ParlaMint-NO_2006-05-24.ana.ud2089e241	Thank you, President! It is right, as the representative Sahl says, that part of the funds in the revised budget had to go to clean up things that the previous government did not clean up. Both Creosotesaka and the fact that one had not taken away the income target as a distanced route charge, were things that I had to clean up after the previous government. When I said last night at Tabloid that we lack a public debate on transportation, I actually mean it. Then I mean a national public debate. I have had our regional politicians for ten years. In the regions, including in election campaigns, there is a difficult debate on the whole country's trade, but when one sits down and looks at national political debates on television, for example. in the last election campaigns, there are not many times the word commerce has been called. And that's what I mean by getting a national public debate on transport. I have called for it many times as a regional politician. I feel that we are getting it now, not least with the debate that was in Tabloid yesterday, and other debates. It's important, because this is something that concerns people throughout the country.
ParlaMint-NO_2006-05-24.ana.ud2089e250	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e253	Now the Minister of Transport is talking more about the previous government. I think that's kind of creepy when you're actually in a majority government. Last year, it was 730 million bets. kr on asphalt. This year, it's 700 million. kr on asphalt. But then to the question. Bondevik II has also invested a lot in public transport in large cities, because it is important for the urban environment, and it is important for the promotion of business from districts. In an interview with the Transport Forum, the Minister of Transport confirmed this and said that the previous government focused too much on public transport and that the road side was down priorities. Does that mean that in the future we will see that the road is given priority over public transport by the Stoltenberg government?
ParlaMint-NO_2006-05-24.ana.ud2089e260	This government's policy is a two-part commitment. It is to bet on public transport in and around the larger cities and make him so good that people actually do well because it is the best offer for the individual in their everyday lives, and it is to bet road construction in the districts. When it comes to road and rail investment and that balance, it is very clearly given in the National Transport Plan and in the Soria Moria Declaration. We're going to increase the bet by $1 billion on the road and $1 billion on the railway. So there we have a very nice balance -- actually, it'll give a greater percentage by rail than by road, because that budget is smaller initially. So the bet on public transport under this government won't be weighted.
ParlaMint-NO_2006-05-24.ana.ud2089e267	Let's move on to the next main question.
ParlaMint-NO_2006-05-24.ana.ud2089e271	I ask my question to the Minister for Transport. Norwegian aviation is currently affected by major concerns, unforeseeable strikes, disease incidents, random holiday settlements, lack of planning and threats of traffic disruption and delays. Aeroplane passengers can no longer be confident that aeroplanes will leave when they are required and must meet several hours before the aeroplane is due to leave, in order to have the hope of passing through the security controls. Few weights at work re-created queues in front of security controls at Gardermoen yesterday morning. Passengers lost their flight due to queues in the security controls, and several were so frustrated and angry that the police had to be called in to calm down people. Lack of weights on the job was the reason, and the management at Oslo Airport is afraid that the travelers will have to cover themselves for several days with a kitchen. Managing Director at Oslo Airport, Nic. Nilsen, said yesterday that he can't guarantee that the problems are over. The challenge of obtaining enough weights until the security controls have been resolved. Avinor and OSL are separate companies with their own directors and administrations, and the Council of State shall not govern the day-to-day operation of these companies. But the Minister of Transport is responsible for Norwegian aviation. It's actually her responsibility that aviation works properly. The Council of State is the General Assembly of Avinor and shall ensure that Avinor and OSL are governed in accordance with the stipulations of the Storting and in such a way as to satisfy the needs of travellers. The Minister of Transport needs to get Norwegian aviation back together. All of us who are going out and flying from a Norwegian airport have to be able to assume that the plane is going when it's going to, that we're not being prevented from reaching the plane of long queues, and that we're going where we're going in time. My question to the Minister will then be: How does the Council of State think about restoring predictability and confidence in Norwegian aviation, and what will she do in particular with the acute shortage of personnel that is currently at the Gardermoen security check?
ParlaMint-NO_2006-05-24.ana.ud2089e284	It is true that in recent times there has been a great deal of unrest in Norwegian aviation. I'm not going to go through that rule. That's the field I've spent most time on, I think, in the good six months I have our council. It is also right that Avinor and OSL are AS, they have their board of directors and day-to-day leases that have to take responsibility and that have been given clear messages from my side about taking responsibility for ensuring the stability and operational security of the various areas of aviation. When it comes to the specific question of security control at Oslo Airport Gardermoen, I have also communicated very clearly that one must do everything possible to restore a normal waiting time, which should basically be down to a maximum of a minute, or something like that, in a queue, when the train arrives, and not like now, that one might have to stand for 20 minutes or more. I have been assured that a person will do everything possible to increase the number of control points as well as to recruit crews to manage the checkpoints he has for security checks. I can't go directly in and be a recruitment company. This is simply a combination of a difficult situation that Adecco, a subcontractor, has to resolve – and as they are in the process of resolving – and that there have also been aggravating security requirements that have led to an increase in the number of control points to ensure that the cows are reduced. I trust that the management of OSL and Avinor will pay great attention to this, and that they will solve these problems in the best way possible.
ParlaMint-NO_2006-05-24.ana.ud2089e297	I thank the Council of State for the answer. But I'd like to drill a little bit more into the problems that aviation is currently facing. There is no doubt that European and Norwegian aviation are currently undergoing major change, and conversion processes require management. The head of the Air Traffic Management Association, Rolf Skrede, stated in yesterday's VG: ‘Changed by the Board of Directors of Avinor, once again, shows that we have been right in our warnings.’ He warns a bright future without strike, as long as the new director just does as the air traffic controllers say. Does the Council of State share the belief that the situation in Norwegian aviation will be corrected by the replacement of the Chairman of the Board of Directors? Is it the case that air traffic controllers' union and not the State Council are now to govern aviation? And does the Council of State think that by replacing the Executive Director and Chairman of the Board of Avinor she has completed the race and done the necessary steps to restore order and trust in Norwegian aviation?
ParlaMint-NO_2006-05-24.ana.ud2089e311	Firstly, of course, the leaders of Norwegian aviation are not the air traffic controllers. We have a history behind us. I was warned here earlier about talking about what's behind, but everything is related to everything. The fact that a halted challenge by air traffic controllers really makes us lack air traffic controllers today. It took quite many months to clear it up and on the table, but I have now received it, and it gives the air traffic controllers, of course, a strong negotiating position, which is then worked out over – perhaps I should say – many years. It is no secret that the air traffic controllers have had a strong negotiating position before. The fact that I chose to change the board there now is part of a completely natural process, where I was willing to do it at the general meeting, but did it three weeks before because of the very negotiating situation. And it's right that the new director can be involved in the request for the negotiations and add the leads that will have a lot to say for Avinor's future operations. I do not think that I have finished working on the situation of air traffic, and that is exactly why I have now started working on a strategy for Norwegian aviation.
ParlaMint-NO_2006-05-24.ana.ud2089e320	The President will allow three follow-up questions – first Arne Sortevik.
ParlaMint-NO_2006-05-24.ana.ud2089e323	Departed director and manager of Avinor have spent much of the company's time and resources on a conversion programme that the Stortinget and the Department have foreseen to maintain regularity. The programme has proved to be a chaos programme for air passengers, for airlines and, in fact, also for employees. Although the chaos instructors have been removed, there is a danger that the chaos will continue to haunt aircraft passengers for some time to come. How will the Council of State ensure that air traffic in Norway can be conducted in the summer of 2006 without the State company Avinor destroying travel and vacations for the most part?
ParlaMint-NO_2006-05-24.ana.ud2089e330	Yeah, that's right, it's been a major conversion program with a cost cut of about 400 million. kr, which was also the mandate. I want to distance myself from the characteristics of the former leader and director. After the mandate they received, they have done a considerable amount of work, which has probably been a burden on both the company's leadership, the board of directors and not least the company's membership. But it's done. When it comes to air traffic this summer, it's like, otherwise, the board and day-to-day rentals that are responsible for ensuring that we have regularity. We now have a negotiating situation that is necessary to come to an agreement in tariff negotiations, as we do in many other sectors of society. I hope that the next few weeks will lead to an agreement on a negotiated outcome that will give peace to air traffic this summer.
ParlaMint-NO_2006-05-24.ana.ud2089e339	Trond Helleland – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e342	I'm very pleased that the Council of State is taking the situation so seriously, because it seems that the management of the OSL is not so busy getting things right immediately. When they can say that it must be a month before we get two or three locks in place, we lack weights, we consider flying them in from other parts of the country, etc., I think it's a little off-limits to the air passengers. It is good that the Council of State is gripping this. In the case of air traffic controller issues, there is a lack of staffing. Has the Council considered collecting air traffic controllers from Denmark, where air traffic controllers have a retirement age of three years lower than the Norwegian one? This means that there is a steady flow of newly retired Danish air traffic controllers that can be put into turn in Norwegian aviation. Is there anything the Council of State has assessed?
ParlaMint-NO_2006-05-24.ana.ud2089e349	I can answer that affirmatively. We have assessed collecting air traffic controllers from both Denmark and other European countries. Air traffic control is now under way, including: translating all manuals into English, so that we can also pick up air traffic controllers from non-Nordic countries. This is a work that is in progress, where both the Air Safety Authority and, of course, Avinor have their roles to play. The safety moment shall be point-to-point. 1st@item: inlistbox But within the margins that lie there, we're going to do everything possible to remedy the situation that has arisen as soon as possible.
ParlaMint-NO_2006-05-24.ana.ud2089e354	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e358	In December 2005, during one of the many conflicts in Avinor, the Minister of Transport said to the Post of Aften: Air traffic controllers have great power. It is important that they do not abuse their power so that they lose confidence among management, the owner and people most. The Minister for Transport repeated this in his first reply. What will the Council of State do to make sure that she is the leader, not the air traffic controllers and their organization? What concrete action will she take?
ParlaMint-NO_2006-05-24.ana.ud2089e365	When it comes to the concrete grips, I guess I thought about it for the previous follow-up question. One thing is to try to get air traffic controllers from other countries. There is a work in progress. Unfortunately, in many other countries there is a lack of air traffic controllers, but there are possibilities. In the longer term, European cooperation, of which we are a part, could also provide for cooperation at Nordic level in order to manage parts of aviation as a common area. But it's a separation longer canvas to bleach. Of course, in the case of day-to-day operations, it is Avinor's board of directors and the day-to-day rental that is responsible for it. What I'm doing is looking at the larger lines. I agree with and facilitate that both the Air Safety Authority and the Department can be involved in discussions at general meeting level – perhaps say so. I am not in the daily business, I left it to those who are responsible for it.
ParlaMint-NO_2006-05-24.ana.ud2089e374	Let's move on to the next main question.
ParlaMint-NO_2006-05-24.ana.ud2089e377	I would like to ask a question to the Minister for Children and Gender Equality, who is also responsible for consumer matters. The co-operation management set up a selection called the Nyborg Committee, which had many proposals to limit advertising related to children and young people, among others. rules on advertising at school. As a major representative, the Council of State was very committed to this, so committed that in April last year she asked questions in this Chamber about the progress of the Nyborg Committee. At a conference held in December, the Council of State also had a strong commitment to limiting advertising to children and young people. According to the Newspaper, the Councils of State spoke out inter alia:: The school should be an arena where you don't have the press. The school shall be free of advertising. I have been given a booklet about Ibsen called "Ibsen in our time". It has a cover showing Ibsen texting. The booklet is fully funded by DnB NOR and has a lot of links to DnB NOR's intro programme. The booklet opens with a foreword by the Council of State Guessing in your government. My question is whether the Council of State thought it was particularly wise, whether it is such a kind of advertising she sees should be okay. Where, then, does the limit on what kind of advertising the Council of State seems to be okay? When you asked Clemet about the follow-up to the Nyborg Committee, you ended up with, after the answer from Clemet: This is great. So really my question to the Council of State about her, when she saw the statement with Mr. Guess, thought: this is great.
ParlaMint-NO_2006-05-24.ana.ud2089e392	The President reminds us that questions are addressed by the President.
ParlaMint-NO_2006-05-24.ana.ud2089e395	Firstly, I would like to say that I really understand that the representative is using the opportunity to ask such a question. Before answering the specific question, I would like to say that when we talk about consumer policy, it is important to take the children's situation into account. We know that developments in our society have been such that more and more children and young people are experiencing an increase in commercial pressure, where we also experience that there are many who are unable to join the purchasing career, and this causes huge problems for many. When the discussion in Stortinget concerns child poverty and how we can do concrete things to help the poor children, I also think it is important that we take this perspective with us. That's why I've been very committed to the fact that where children and young people are, we're going to have some unadvertised zones in our society, and I think the school is going to be such an arena. With regard to the specific question of DnB NOR and the foreword in the specific book, I have to be honest and say that I do not fully know the background for the Minister of Culture giving his contribution there. I expect that the representative will also ask the Minister of Culture that question. But the government is concerned that we're going to have an advertisement-free school going on, and we don't want to change politics in that field in the future.
ParlaMint-NO_2006-05-24.ana.ud2089e404	I thank the Council of State. I think it's a good commitment the Council of State has in this field, which I also share, and which I hope you will find a reasonable enforcement of. State Secretary Upperland of the Ministry of Culture said in the evening post today on questions about whether she believes that this should be legal or not, that ‘there is no such prohibition’ today. Then my question to the Council of State – through the President, of course – is whether it could have been possible to move forward in the follow-up to the Nyborg Committee, and whether it could be thought that such a ban could have been introduced, as it is clear that not all the Councils share the commitment of this Council of State.
ParlaMint-NO_2006-05-24.ana.ud2089e415	I can assure you that the government has a strong commitment that we will have an advertisement-free zone in school. It will be irrelevant for this red-green government to introduce a new regime. We saw that it was quite strong flirting from the previous government to introduce some advertising in the school. We also saw that there was some disagreement between the different government parties in that field. I think I and the representative have the same view, and then we'll try to ally ourselves in a good way, so that in the future we can have some advertising-free zones for our children.
ParlaMint-NO_2006-05-24.ana.ud2089e420	The President will accept three follow-up questions – first Ulf Erik Knudsen.
ParlaMint-NO_2006-05-24.ana.ud2089e423	The Progress Party has programmed free school material. I have registered that the government has also promised this, but that you have trouble delivering. We don't see anyone contouring either in the budget or in the revised national budget. This is one of many areas where this government doesn't deliver. Earlier today, we have seen that it is not done in the road sector. When you can't deliver in a political area, shouldn't you think about something new? From the Progress Party we are not negative to supplement with advertising-funded books. We'll give the Council of State commend him for participating in this advertising-funded publication. My question to the Consumer Minister is: how could it be so bad for Norwegian students, who are exposed to advertising everywhere else in society, and who have become clearly good at selecting and seeing what is advertising, and what is not, that one, for example, is. Do you get a textbook like the one I have here, where you have 100 pages of real learning material, and then you have 15-20 company presentations at the back of the book? So you get it for free.
ParlaMint-NO_2006-05-24.ana.ud2089e432	I actually think it would be a complete failure statement if we in our country get there that we have to finance the textbooks for our children with advertising money. We turn on our chests repeatedly and say we have the world's best country to live in. It's precisely because we've been willing to regulate market forces as well. It is about consumer policy, and it is about the best of children. If we are not to take seriously, among other things: what the Nyborg Committee says about the commercial pressure on children and young people, yes, I am also worried about as Minister for Children. We've also seen that market actors themselves are expressing the same thing. We saw that those who sat and participated in the Nyborg Committee expressed the exact same thing as what we express here. Then I want to say that the government has been sitting for a few months, and I can promise that we're going to go out and deliver. We are now allowed to present a government budget. We have submitted a revised national budget, but let's now present a government budget for the autumn.
ParlaMint-NO_2006-05-24.ana.ud2089e440	Olemic Thommessen – for follow-up questions.
ParlaMint-NO_2006-05-24.ana.ud2089e443	I understand from the Council of State's commitment that she has strong objections to children being in some way exposed to advertising – also from a bank, which may well not have to be experienced as a very aggressive actor in relation to the child's consumption. In 2008 it is Wergeland-year. Wergeland wrote beautiful things for children that I think it will be a good idea to revitalize for our time. What if a bank found out that it would give all pre-school children — perhaps especially those who were at child protection institutions, a field that is actually within the Council of State — an adventure book or a collection of poems with Wergeland's best-known children's space? Would the Council of State oppose this? In that case, she might come up with a suggestion that her department and the Ministry of Culture could agree to pay such a gift to a generation of Norwegian children.
ParlaMint-NO_2006-05-24.ana.ud2089e450	I want to say that the way our media everyday is, no one believes that you can protect children and young people completely from advertising. The more important it is that we teach our children and young people how to actually deal with the advertisement you get into your living room. We also experience an increasingly tougher everyday life, and I think that the opposition may not take enough inwards the developments we have had, where there is an ever stronger pressure. There will be different kinds of information that flows to our school youth in a good way – of course it will – but we must constantly have the ability to draw up some limits to the commercial pressure that goes towards the schoolyard. There I am perfectly aware that bourgeois, conservative parties are more concerned with market forces than what this government is, which are actually concerned with the best of the children and of protecting them.
ParlaMint-NO_2006-05-24.ana.ud2089e457	May-Helen Molvær Grimstad – for follow-up questions.
