ParlaMint-NO_2006-04-26.ana.ud1963e24	The representative Anders Anundsen will make a private proposal.
ParlaMint-NO_2006-04-26.ana.ud1963e132	Erna Solberg – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e137	I'm really glad that our country has gained considerable peace-making skills. At the moment, it seems to be needed domestically, and that it is needed in the Government. I want to say that there are many who have spoken out clearly in the discussion that has taken place between the three government parties. Some of those who have expressed themselves most clearly and clearly have presented some of the most historyless, some of the most disrespectful of the victims of Nazism, whom I have seen under pressure for a long time. I refer to a part of the prime minister's political basis in this Chamber, that is, the SV's representative, Hallgeir Langeland, and his statements that Israel's policy is about the same thing that Nazism was doing, that is to get into the habitat. Is the Prime Minister proud to lead a government where part of the foundation has the kind of attitudes that are bordering on antisemitism, or is going to do something about it, for example. to the head of the Swedish Government?
ParlaMint-NO_2006-04-26.ana.ud1963e146	I am proud to lead a government that pursues an active peace policy in the Middle East, and has a clear policy of recognising the State of Israel, but at the same time we are demanding the State of Israel to withdraw from occupied territories, stop illegal settlements and respect the central UN resolutions. I am proud to lead a government that is committed to supporting the Palestinian people, but at the same time demands the Hamas authorities to refrain from violence, recognise the State of Israel and respect international agreements. So it's nothing new that there are members of the government parties who have a different view, but that doesn't change the government's view. The government's vision is clear. And I disagree with those in the government parties who disagree with the government – and it's the government's view that counts.
ParlaMint-NO_2006-04-26.ana.ud1963e151	Jon Lilletun – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e154	It is in the Norwegian debate, among others. from the opposition within the government party and from some other environment, talk a lot about the fact that stopping in support will cause major social problems in the Palestinian territories. None of us want there to be greater social problems in the Palestinian territories, and we are quite a few with the Government in that it is necessary to avoid it, and that we have to find other channels to help individuals. No one can go in so that the individual can come out worse. It's said that the international community and the Norwegian government are in favour of it, but there's someone who's making a lot more of a contribution to it, and it's Hamas itself. It must be a responsibility for Hamas that they will not change a policy that has the consequence that large parts of their people will suffer. Therefore, I think it is necessary to state clearly in the public debate – I hope the Prime Minister can be involved – that Hamas has a significant responsibility for the suffering that may result from their lack of recognition and willingness to comply with the international requirements, which are general international law.
ParlaMint-NO_2006-04-26.ana.ud1963e159	I fully agree with Mr Lilletun that Hamas has a great responsibility. That is why we are also making demands on them. It's completely contrary to what we stand for, that you can't distance yourself from suicide operations, acts of terror, but it's called self-defense. And it is absolutely necessary to continue the Oslo process by recognising the need for two states in the region, a Palestinian state and an Israeli state. That is why we must also demand Hamas to recognise the Israeli state. Clearly, the type of attitudes that Hamas has expressed, including: after the suicide operation in Tel Aviv, financial support is difficult to obtain. Not only from Norway, but from all over the international community — the EU and the rest of the international community — it will be difficult to obtain that kind of support when Hamas has that attitude. But my main message today is that we should manage to maintain at least the same support as before, through other channels, and that is already given a significant amount to the Palestinian self-government authorities before Hamas took over. So Norway should not give less support, Norway should provide at least as much, perhaps more, support than before.
ParlaMint-NO_2006-04-26.ana.ud1963e166	Lars Sponheim – to the last follow-up question.
ParlaMint-NO_2006-04-26.ana.ud1963e169	I think this spontaneous question hour so far has given some clarification. The Prime Minister has stated that he disagrees with those who disagree with him, both in the Government and in the government parties. Although, of course, a government should have only one position, especially in foreign policy, I still think it's okay and clarifying that the Prime Minister says so, because he really has a much smaller problem than what he says. He has a wise foreign minister, who has expressed his foreign policy, and he has given support to him. The fact that there is some backyard noise in his own government from SV in foreign policy, I don't think really surprise the Prime Minister. In this way I think the Prime Minister is doing something reasonable by saying that that is the case, but we can live with it as long as the policy is firm and it has anchored in the Stortinget. I am concerned about this difficult situation that we find the wise combination of being firm in relation to the new Hamas government and being inviting to find good solutions. We must not get there that we push the Hamas government and the Palestinians into the hands of parts of the world that do not stand for the same international legal order as what we do. Will the Prime Minister take care of, inter alia: in today's meeting with the Palestinian President, to convey firmness in relation to the Hamas administration and to invite to the good solutions?
ParlaMint-NO_2006-04-26.ana.ud1963e176	I have to agree with all that the questioner has now said and expressed. Norway’s policy is firm, and it has a broad and solid anchor in the Stortinget. At the same time, I agree that it is important to find the right combination of firmness, both towards Hamas and towards Israel, and the basis for dialogue and the basis for continuing to provide financial assistance to the Palestinian people. There are methods for this, for how Norway should be involved in that cooperation, for how we should provide assistance in the best possible way. These are the instruments and techniques we are going to discuss today with President Abbas, precisely to ensure that Norway continues to play a role both in the peace process and in helping the Palestinian people.
ParlaMint-NO_2006-04-26.ana.ud1963e183	Let's move on to the next main question.
ParlaMint-NO_2006-04-26.ana.ud1963e186	Last week, the government had a half-hour party. They were going to present a list of all the government's plans to do in the last six months. Now it's probably part of us who observed it, who thought it was more flashing like a tomb than a party. I think on that occasion it might be interesting to ask the Prime Minister a little bit about some of the most important promises made by the Government, and as they spent a lot of time in the government budget to create an idea of would solve a lot of the challenges we have. An example is the so-called huge transfers to the municipalities. The Progress Party also suggested transferring the same amount, but we didn't take the chance, as the Government did, to almost create the impression that now all the empty pools would be filled, now there would be a lot of new teachers in school, there would be a lot of new nurses in the care of the elderly, and many municipalities would increase social assistance rates. There were no limits to what those billions would solve of problems around the municipality of Norway. Then we can read in Dagbladet today about price shock in SV-steered Nesodden, where the price of the school leisure system goes up from NOK 7 000 to NOK 30000. So this money can't have been spent on it. Then I think it might be interesting to hear the Prime Minister's assessment of the stand in Kommune-Norge now, after six months with the Stoltenberg government, after a government budget where the government was silent about how to solve the problems in the municipal economy through these transfers.
ParlaMint-NO_2006-04-26.ana.ud1963e196	This government has implemented more of its policies in a shorter time than very many other governments have done in half a year. We've come very far in fulfilling the election promises, and we've done what we said we should do, right away. For example, we said that we should abolish the tax relief and instead spend the big money on the big tasks, the care of the elderly, education and well-being, and we do. Extra 5.7 billion kroner for municipalities means that municipalities now have more money for school. This means that many planned cuts, e.g. here in the Municipality of Oslo, where the Progress Party is in charge, has been cancelled, and there have been additions, among others. for elderly care and schooling in many municipalities that otherwise could not afford it. There is no doubt that when the municipalities get more money, it becomes more of the municipality's business, and almost 80 pst. of local government expenditure is for school, health and care. We've put down the nursery rate, and we've done a lot to create a more human working life. We've done a lot to contribute to a fairer distribution, by those who have little, for example. those who were cut off from unemployment by means of the Progress Party and those who, through the Progress Party, had poorer disability benefits in the previous period through what was called temporary disability benefits, have now received better arrangements, increases in daily allowances, increases in disability benefits, as a result of the new government. And we've increased the housing stock. And then we've made sure that those with the highest incomes pay more taxes, while with the provisions of the Progress Party they would pay less taxes with the highest incomes, because they had been heavily cut in capital and wealth taxes. So we're going on: more community than tax havens. And we're building out. But we never promised that everything would be in place in the first six months. What we promised was that the course would be different. It's different, and it's exactly in the direction we said: the money for well-being, for school, for care, for kindergartens, instead of for those who have enough from before. Moreover, it is alarming that the Progress Party uses the SFO as an example, because the Progress Party is to abolish all public support for the SFO and all public support for kindergartens, so that the kindergarten price would be approximately NOK 10000 and all SFO schemes significantly more expensive than today.
ParlaMint-NO_2006-04-26.ana.ud1963e209	The speech that the Prime Minister has been training for a long time, I hear. But that's not what I asked. I asked how many more years had gone by in school, how many more nurses there had been in the care of the elderly, and how many more basins had now been filled with the 5.7 billion. That did not answer the Prime Minister, despite the fact that I asked for it. Then there was another important area in the 2006 state budget. It was the health service. The government unhindered its commitment to health, so that we could treat more patients. So we can read in the Evening Post today that we now have 227 Corridor Asians every day at the country's hospital, despite the requirement that no patients should lie in corridors, and that in a situation where most other countries it's natural for us to compare with, do not have corridors. How does the Prime Minister explain that Norway, one of the richest countries in the world, is unable to solve the most basic welfare tasks, despite a government budget with which the Prime Minister seems to be very pleased?
ParlaMint-NO_2006-04-26.ana.ud1963e216	The Progress Party has voted in favour of three state budgets and negotiated three state budgets, and in the last three years the Progress Party has been involved in financing large tax reliefs and in granting too little money for basic welfare tasks. So the progress party has a problem deciding what they actually choose. When we see that they have to choose, they choose tax relief rather than welfare in cooperation with the other bourgeois parties. As for how many are going to be employed in health care or in the care of the elderly or in schools, it is that a driver now employs people, so we do not know in April 2006 how many are going to be employed in Norwegian municipalities in 2006. We know that when the year is over. But what we know is that e.g. Tønsberg, where the Progress Party is in charge, or Oslo, where the Progress Party is in charge, had announced that fewer employees would be employed in important welfare tasks, had notified de-employment in the care of the elderly, for example. in Oslo. And when they got the money, they said, now we can drop it, now we can keep the employees. So there are at least considerably more employees in the care of the elderly with the Workers' Party's arrangements than with the arrangements proposed by the civil government.
ParlaMint-NO_2006-04-26.ana.ud1963e223	I record that the Prime Minister will not answer questions.
ParlaMint-NO_2006-04-26.ana.ud1963e228	The President will ask the representative to stick to the order of business, that there be follow-up questions after the last question by the representative, Siv Jensen, to say something diplomatic. And the first follow-up question comes from Harald T. Nesvik.
ParlaMint-NO_2006-04-26.ana.ud1963e231	I'm going to give the Prime Minister the opportunity to answer the very question related to what's going on with the Corridor Asian problem and with the lack of funding for the health service. What is obvious is that in health care at least there will be no more annual work. Here we are moving towards the liquidation of several types of hospital services, as well as seeing that the municipalities do not accept pre-treated patients in hospitals. This is the most expensive part of the healthcare system, i.e. patients in hospitals, versus getting them transferred to the hospital services and other things in the municipalities. This is largely due to the lack of health care facilities, and of course also to organisational problems. My question to the Prime Minister is: Will he now address the lack of interaction between the specialist health service and the municipal health service? For this, not only can one department, the Ministry of Health, be taken in cooperation with the Ministry of Local and Regional Affairs. Will the Prime Minister take an initiative now, so that we can get an arrangement for the corridor patients, so that pre-treated patients are printed out to the municipality in which they belong?
ParlaMint-NO_2006-04-26.ana.ud1963e240	Yes, we will deal with the interaction that is necessary between hospitals and municipalities, between hospital services and hospital services. We've been sitting for six months, and we've done one very important thing: we've made sure that a lot of municipalities, including the progressive party-driven municipalities, have got more money, so they don't cut in the care of the elderly and in the nursing home development. Then it's easier to receive people from hospitals who should actually be in a hospital instead of in a hospital. So we have already taken a significant step in relation to the municipalities, which are responsible for nursing homes. The second thing we've done is we've been notified that we're making a big announcement about the care of the elderly. This is very, very much about the elderly who do not get the care and care they should have, who often have problems getting hospital treatment, as they should, and/or stay in hospital for too long because the hospital offer is too poor. It's a main theme of the big message we'll be submitting in a few weeks. So we're quick both to act in terms of money, and to put forward new plans.
ParlaMint-NO_2006-04-26.ana.ud1963e247	Jan Tore Sanner – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e250	Fortunately, much goes well in Norway, and so did last year, when the Right sat in government. In fact, there were 2,000 more annual shifts in the care of the elderly in 2005 with the Right in government. But there is no doubt that we still have challenges. There are needs within our welfare community. There is a need to invest more in road and infrastructure. There is a need to focus more on knowledge and innovation. But it will be equally wrong when the Progress Party will solve all the problems with even more oil money that when the Workers Party will always solve the challenges by increasing taxes. One of the most important things we can do is stimulate the growth of the economy, so that there is more money to distribute. We've actually made that clear, because last year's growth in the economy was 7 pst. That means that very many of the billions now distributed by Stoltenberg came because they stimulated the growth of the economy. And my question is, what will the Prime Minister and the Government do to bake the cake bigger, so that we actually get more to distribute?
ParlaMint-NO_2006-04-26.ana.ud1963e257	It is quite right that a lot is going well in Norway, and Norway has been doing well for many years, regardless of governments. I think that is a point, and I actually underlined it in the election campaign in TV debates too, that it is not black and white, that it is not a social-democratic paradise against a civil plight, but that is the choice it is about – it is about which direction, which direction, which values the policy should be based on. What we are now seeing is that the policy now being pursued is based on other values. The direction is different, although of course there are unresolved tasks. The main difference of value is that we're involved in the community, that we're engaged in the fissure layer that's called the welfare community, that we want to spend the money on it instead of tax havens, and there's an honest disagreement between us and the Right. We simply believe that good care and good schooling are more important than new billions at lower taxes. So it's like investing in the community, whether it's in education or it's in the way, that this government spends more money on than the Right, it contributes both to well-being and also to value-making. Norway, Sweden and Denmark are countries with relatively high levels of taxation, but also high levels of employment, high levels of value creation.
ParlaMint-NO_2006-04-26.ana.ud1963e264	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e268	In the debates I took part in the election campaign, there was a rarity to hear that it was not a haphazard with the efforts of the previous government. I'm glad the Prime Minister thinks it was pretty good anyway. It is perhaps the expectations of the new government with which Stoltenberg and his government have great problems. This would include, inter alia: the care of the elderly before giving a single penny in tax bills. Right after that, the government presented a tax bill that the Landsorganisation said was totally unsocial and unacceptable. In addition, cutting educational institutions to ensure that we have enough nurses and teachers, as this government says it is concerned about. Does the Prime Minister understand those who believe that the red-greens actually engaged in the election campaign in their eagerness to make a government change?
ParlaMint-NO_2006-04-26.ana.ud1963e275	When I was running a campaign, I became more and more aware that there was an absolute chance that we could win the election. That's why I became more and more concerned with taking some clear, I would say, reservation, in the sense that I was very clear in several debates – I remember especially once in Tabloid where I underlined all that we weren't going to be able to do in one year, two years and at least not in half a year, actually not over a whole growing-up period. So I didn't guarantee, and I actually underlined that there were going to be problems in many important areas of society also in 2009, even if we won. But what I promised was that we would get a different course, and that we would spend the money on other things than what the previous government did. So the most important thing was that we wanted to cancel the tax breaks and spend that money on school and care for the elderly. We've kept that promise. It's a completely different course, it's a completely different direction, and it's a lot of Christian People's Party rapporteurs who are very happy that the Workers' Party is in government with the Center Party and SV, instead of the Christian People's Party sitting there with the Right and continuing to spend money on lower taxes instead of giving more money to school and care for the elderly in the municipalities. [[President clubs]] So we kept the promise we gave, that is to change the course. It's changed, but we're not in the goal.
ParlaMint-NO_2006-04-26.ana.ud1963e282	The President would say that it's okay with reservations, only it doesn't go too far beyond speaking time. Lars Sponheim – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e287	But I can confirm that the Prime Minister took some reservations at the end of the election campaign within the speaking time. However, it was at a time when the campaign machine he led out into hooks and hooks, he still created expectations that he probably could not bring down with it. It was opportunistic for him to be able to point to it now, but it is enough that the government he is running and its parties, created expectations that they cannot now meet. I think that's the background for a little bit of the significant turbulence we now have in Norwegian policy, and electoral displacements and frustrations. It's an expectation crisis, and it's illustrated by the fact that politics is very rhetorical and maybe less different. Thus, with regard to the large difference – ‘Community’ or ‘taxilet’, which are the most widely used words of the Prime Minister, the level of taxation in 2004 and the level of taxation in 2005 are the differences in relation to the so-called tax burden. So in this room, the big community has to be created, and I think that's hard to get the broad understanding of. Does the Prime Minister see that he has contributed to creating expectations that reality now makes it difficult for him to meet?
ParlaMint-NO_2006-04-26.ana.ud1963e292	I am responsible for what I have said, and what I have said is exactly what I am now saying in this questionnaire – I have said it after the election and before the election – and that is that we make different choices, we make different priorities than the previous government. But we have never promised, and I will never promise, that all problems will be solved – I have too much experience in how complicated the contentious reality really is. But that doesn't mean that it's immaterial who controls. Because if two ships leave the same port, and the course is different, the distance may not be so great the first days and the first time, but when they sail over time all over the sea, the place they end up becomes very different. That's what this election was about, what direction social development is going to take. Now it has a different direction – justice, community – than the direction it had under the previous government. Over time, the differences become very large. For the unemployed, who have had more unemployment benefits, for those municipalities that have been able to hire more people in the care of the elderly, for those schools that have been able to cut off special education, the differences are significant.
ParlaMint-NO_2006-04-26.ana.ud1963e297	Let's move on to the next main question.
ParlaMint-NO_2006-04-26.ana.ud1963e300	I think the previous answer to the Prime Minister was interesting. Justice and community are two important values. I want to begin by congratulating the Prime Minister. Congratulations on new car! It is always nice to get a new car – in difficult times it is often nice to shop too. It'll help things out a little bit. A modern Mini Cooper is a great car. I believe that there is no doubt that it is within the regulatory framework that applies, and I have no problem that the Prime Minister has done so initially. But it is quite important that it illustrates a point about the perception of justice, namely that it has become too expensive for people in Norway to obtain a Mini Cooper, or a Volvo SUV, that the Minister of Oil and Energy has obtained. Both Stoltenberg and many others in our society are able to solve it by saving money by having a company car. However, very many others pay the taxes and charges, such as: contribute to the financing of our wages and salaries, etc. – they come, among others. from the car charges paid. If Norwegian car charges had been lower, Norwegian cars would be cheaper, and more people could get safer, new and, in fact, more environmentally friendly cars. My question to the Prime Minister is: Based on the debate that has been over the past few weeks, on the understanding that there is a need, among other things. in District Norway, having safe, safe, quadruple-powered cars – as the Minister for Oil and Energy believes he needs – wouldn't it have been a point to lower car charges?
ParlaMint-NO_2006-04-26.ana.ud1963e309	What we have said about the car charges is that we want to convert the car charges in a more environmentally friendly direction. This means, among other things: that cars that use less fuel, more environmentally friendly cars, we are concerned about getting out more reasonably, and we are looking at ways to get to it now. Otherwise, Erna Solberg has been in government for four years. The right has had the Minister of Finance, and it's probably not that people feel that there are very reasonable cars that are the result of the four years. On the contrary, a very high level of car charges was retained, and nothing was done about the petrol charges during the period right in the government offices. We promise a more environmentally friendly arrangement of the car charges, but we will not promise a general reduction in the general level. It's simply because we think it's more appropriate to spend money in school, care for the elderly and the development of roads, where we spend more than the right, than to spend money on that kind of comprehensive tax relief. I noticed that the Right has not been a driver when they are in position, but as soon as the Right comes in opposition, the Right becomes a driver for e.g. lower petrol prices, something they didn't do with when they were in government.
ParlaMint-NO_2006-04-26.ana.ud1963e318	I am basically quite happy to have the president in his back today, because in 2002, as the Labour Party leader, he said that an important matter for the Workers' Party should be to lower the car charges. I fully understand that we did not do that in the four years we were in government. From his last government period, Stoltenberg had given us a too long list of taxes and taxes that had to be lowered first to restore the dynamism of the Norwegian economy. But it is true that if we are to introduce a tax and tax system for cars, the danger of conversion is only in the environmental direction that the safe cars are becoming more expensive. Folksam, the Swedish insurance company, has made calculations that show how many lives can be saved. Moving to Norwegian conditions is that if our entire car park had been from after 2000, we could have saved 100 lives in traffic in Norway because of safer cars. The danger of doing a conversion, which Right also agrees with, but we also want to lower the car charges, is that you do not get safer cars in Norway, and you get more killed. Is that a concern of the Prime Minister?
ParlaMint-NO_2006-04-26.ana.ud1963e323	I'm very concerned about road safety, and based on the knowledge that all the professionals have acquired this government, and that the previous government was certainly familiar with, it's much more important to invest in roads. That is why we have provided for increased road investment, increased transport investment, compared to what the previous government both adopted and added. In fact, I am proud that there had to be a government with SV, the Central Party and the Workers' Party to increase our efforts in the transport sector. It's good for business. This is good for accessibility, but it is also very important in terms of road safety. That's why I think there's a lot of other things, both within well-being and within, for example. transportation, which comes up higher on the list when I will choose, than a general reduction in car charges, although of course it would have been nice. But I promise a few billion there, there's fewer billions in another area, and there's other things I think come first.
ParlaMint-NO_2006-04-26.ana.ud1963e328	There will be follow-up questions – first Jan Tore Sanner.
ParlaMint-NO_2006-04-26.ana.ud1963e332	I notice that the Prime Minister is more concerned with attacking the Right than with answering questions. The reality is that in the last period, we were giving priority to cutting taxes on business in order to speed up the economy. We let people keep a little bit more of their own income, and we removed the entire house tax. We have been open that we believe it is during this period that priority must be given to setting charges on the car. The simple question the Prime Minister got is: What cars are going to be more expensive? When the Prime Minister says that he wants a conversion within a so-called Provenance-neutral framework, which sounds very secretive, that means that there are some cars that are going to be cheaper, and there are environmentally friendly cars. Right-wing agreement. But when the Prime Minister is not willing to lower the general level of car charges, that means that many cars are going to be more expensive. The question to the Prime Minister is, which one is it? These are the cars that people see as safe, safe family cars, which include: used as company cars for state councils and others? What cars, Prime Minister, are going to be more expensive?
ParlaMint-NO_2006-04-26.ana.ud1963e339	Once we have notified a review of the car charges, it is precisely because we believe that we need a review, and we have not concluded until we submit the proposals we have. Then Jan Tore Sanner will get answers to all his questions. We want to take things in the right order – first consider, look at arguments for and against, and then present a proposal to the Stortinget. The right may then be in favour of or against that proposal when they see a concrete proposal. But we therefore believe, contrary to the Right – and it is a perfectly honest matter that the Right and the Workers' Party disagree – that there are other things in society that are more important than lowering taxes and taxes in general. We want a fairer tax system. We want a fairer charging system, but we think it's more important to have money in common, whether it's for retirement, for the unemployed, for school or for the unemployed. That's why we've had more for the disabled, more for the unemployed, more for the elderly, more for school because we've had the strength, strength, or the ability to say no to some things Right says yes to. Now the right is repeating its tax promises, which I think are fundamentally crazy, and I think it's an expression that the right is struggling with the polls, when they start with that kind of tax rhetoric.
ParlaMint-NO_2006-04-26.ana.ud1963e346	Gjermund Hagesetter – for follow-up questions.
ParlaMint-NO_2006-04-26.ana.ud1963e349	All figures show that a newer and better car park causes fewer traffic accidents. This is also clearly established by researchers from SINTEF. Renewal of the car park is achieved by making new cars far more spacious than they are today. The entry fee must be reduced, and one should also increase the wreckage, as the Progress Party proposed in its alternative state budget. Measures will save a lot of lives and, in addition to saving many for personal suffering, such developments will also bring economic benefits to the state. My question to the Prime Minister is: does the Prime Minister see the relationship between high car charges, high average age at the car park and many killed, and does the Prime Minister see the context that if we reduce car charges, we will also get less damage and kill in traffic?
ParlaMint-NO_2006-04-26.ana.ud1963e356	I have said, and I would like to repeat it to the representative, that we are reviewing the car charges, and then we will present our conclusions to the Stortinget. What I'm not into is promising billions for all kinds of purposes. I think it is very important that politicians are able to choose and say what is most important. And even though it would have been very nice to promise many billions at lower car charges, I don't, because I think other things are more important, like, for example. care for the elderly, pensions and schools. There is a need to see the context of policy. There are too many politicians who promise money for all good purposes, and then it goes wrong, because you can't live up to the promises. Therefore, the Progress Party does not make me promise many billions in lower car taxes, but in return, the Advance Party makes me say that I would rather spend that money on the elderly care, school, well-being and work for everyone. Then we're going to create a fairer and better charging system for the cars. We're working on that, and then the proposal comes.
ParlaMint-NO_2006-04-26.ana.ud1963e365	Lars Sponheim – for follow-up questions.
