ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u1	Member's promise
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u12	Hello, ladies and gentlemen, have a nice new year. We will support the inclusion of both of these points, as the big political clubs have said here, but in our opinion, narrowing the debate to vaccination alone is not enough. The debate will be very flat, the vaccine is not in Europe, so there will be a whole discussion here and then maybe there will be various tabloids that the official has had his wife vaccinated and not and so on. I think there's more to it than that. We would like to place a point at 14.30 tomorrow, which is called "protection of the most vulnerable groups." We would like to discuss this point to discuss it before we discuss the emergency situation. The reason is about this: the government, this state, has spent CZK 500 billion on, I suppose, protecting the lives of the people. A quarter of all the deceased are people from senior homes, retirement homes, and so on, where only about a percent of the population live. When I counted it with a mathematical three-member, one of my grandfather or grandmother's lives is worth a lot more than a million crowns, and I think we're supposed to talk about how the state protects the most endangered, how he invested at least 125 billion crowns, whether there's a state-of-the-art testing, whether we launched campaigns to enable families - and financially motivated - to take these old people home. What we do to target this support to those really threatened, and not to ban third graders and seniors from going to school and my son's training and, more or less, endangering healthy people and destroying people economically after hundreds of thousands. This is a topic that I would say is a strategic approach to resolving the epidemic, because it is clear that when we are shaking this vaccination, it will take 13.5 years at this rate, if we use simple mathematics again, and unfortunately it will not be a universal solution at this time of election. So that's one point we'd like to place for tomorrow at 2:30. And the following second point would be called "the opening of schools." I have dealt with several important school associations, purely to know the opinion of their and primary school teachers, grammar schools for opening schools. I have a clear feedback that there's a strong demand to open up at least small classes, open schools to third graders, ninth graders and seniors. I would like the Minister of Education to speak on this point and defend on the basis of some of the data for which first graders and second graders go to school and third graders and seniors may not go to school. If there are clear dates that infected third graders are a little bit and infected first graders are a lot, then I'm able to accept that somehow the government is trying to shut down those schools and not let those other kids in. But if the government doesn't find any data, then it's just like using a non-existent "dog" purely randomly what it likes, and that's not good, and if the data is the same that the third graders and first graders are infected the same way, or even the third graders that are running around the block or they're at home looking at distance teaching, there's more, so there's no reason not to open up the school. [[PES]] So it's a serious matter. If schools remain closed for another six months, we will have hundreds of billions of crowns of loss due to the declining education of the population. And I think it's a subject where I may not be right, but I'd like to hear the data that, thanks to the way the government does and third graders don't go to school and first graders do, so it saves the lives of our fellow citizens. I'm not sure about that. So these are two points I'd like to place. Thank you for your attention.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u13	Thank you, Mr. Ambassador. With priority rights, Mr. Chairman Kováčik.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u14	Mr President, my dear government, my colleagues, allow me to warmly greet you on my return to full commitment. And I have to say, I've had a lot on my mind since I was ill. One of them was the constant question of whether this institution, the Chamber of Deputies, is still able to act more rationally than before, or at least a little rationally in the knowledge that there is actually a campaign before the elections to the Chamber of Deputies. So far, it shows that not much. Because, while not only we, but also many others repeatedly show that we are ready to discuss the subject of vaccination in all seriousness, the next procedure of the government during vaccination, we have many comments, many questions, many subjects and we in the KSČM parliamentary club, so we have tried to proceed so that if, and there, of course, we will also support the meeting to extend the emergency situation, so in this discussion on Thursday we were ready to apply our approaches to vaccination as well. I am a little surprised that we will have to go through this discussion twice, but only a little, because it is before the elections and we have to balance it rational, that is, serious, how to continue vaccination, how to continue protecting the health of the population, with the fact that one or another colleague, colleagues need to show themselves more often in the media. I say it with all seriousness. That is why, although we have already said at the press conference with the President of the ÚV KSČM Vojtěch Filip that it is more important for us to support this topic on Thursday, when it will be more organically suited, I say that the KSČM MP will also support the inclusion of that point on now, although we think it will be repeated and repeated things that may not sound so many times. Thank you.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u15	Thank you, Mr President. I have more applications for the meeting. Mr Ferjenčík, Mrs Langšádlová will be ready.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u16	Thank you for the floor, Mr President. Dear colleagues, I propose the transfer of House press 532, item 9 of the proposed programme, the Czech National Bank Act, to the end of the second reading block. The press has two relatively important issues included in it, namely the regulation of the real estate market by the Czech National Bank and the new powers of the Czech National Bank in relation to the operations it can do. I had a meeting with Secretary Schillerová last week, and I was also promised a meeting with Governor Rusnok on some compromise in relation to this press. I would like this to be possible before the second reading, because it will no longer be possible to make amendments. At the same time, when it is presented in this form, there is a risk that the negotiations will be stuck here, which, given what other prints are there, would be a little unfortunate, so I suggest a transfer and thank you in advance for the support of this proposal.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u17	Thank you. Mrs Langšádlová on the agenda, Mr Marek Výborný will be prepared.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u18	Hello, ladies and gentlemen, I, too, wish you all the best in the new year and I would like to propose the inclusion of a point called the Investment Agreement of the European Union and China, namely 28. 1st this year from 11.00 pm. Why am I doing this? You know that after seven years, an investment agreement between the European Union and China has been negotiated. This agreement will be ratified by the European Parliament, and at the moment it is not yet fully detailed, but I think it is quite appropriate that we be familiar with the position of the Czech Government, with how active it was during the negotiations and whether it really defended all that it should defend. [[Noise in the hall.]] Why do I say that? We, when we are on the European Committee 12. 6. 2019 -
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u19	I'm going to interrupt you for a moment and ask for some peace in the room. Thank you. Calm down, please!
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u20	We, when we discussed the strategic position of the Czech Republic on this date on the Committee on European Affairs, as you know, which represents the plenary of the Chamber of Deputies in these matters, on how it should look between the European Union and China, and between our resolutions there was this. The Committee on European Affairs notes that partnerships with China must be based on respect for international standards for the protection of human rights and obligations arising from international law, inter alia. And at this point, there is a suspicion that the new treaty does not reflect these demands at all, that although we know that China is a country where political prisoners are being taken away, there are concentration camps at this time, slave labor is being abused, this agreement has been reached. Yes, some criticize the European Union, but we are part of the European Union, our state is supposed to be active in this. And I wanted to get to know what was the position of the Ministry of Industry and Trade, if it also raised demands and criticism of this agreement, how successful it was, and with all this I would like us to be familiar with. Thank you.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u21	Thank you. Mr Výborný, Mrs Golasowská will be ready.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u22	Thank you for the floor. Mr President, Prime Minister, Ministers, ladies and gentlemen, at the beginning of this meeting, I would like to ask for a solid inclusion of paragraph 16, the Government's bill amending Act No. 99/1963, the Code of Civil Procedure, and the related amendment to the Code of Enforcement. This is the crucial point that we have been discussing for many months. Just confirming for your information, the second reading of the House press 545 was initiated and suspended by this House after we confirmed by the vote here that we would continue to act as the constitutionally-legal committee agreed, that is, in the wording of the amendments adopted by the constitutionally-legal committee. This House document number 7155 has been sent to you by House legislation, and I have also drawn your attention to it in person in an e-mail, because amendments to this House document must now be read in the second reading. Since this House document has been available since the beginning of this month, I am convinced that we can continue to read the second reading of this amendment, this House press 545, and ideally so as to keep at least 30 days in place for the preparation of amendments. So I'd like to ask the House for a fixed assignment for a variable week, which means a week from February 9th. I would like to put two proposals on paragraph 16, House press 545, namely to place it firmly on Wednesday 10 February at 14.30 hours as the first point, and variablely, if there was no will of the House, on Friday 12 February as the first point after the block of third readings. Friday February 12th as the first point after the block of third reading. I presume that this is a rather extensive amendment, which is also in the spirit of Prime Minister Andrej Babiš's government statement, so I assume that the opposition and the coalition are completely in agreement here, and it would be good to move forward in the discussion, and here at second reading to allow Members to read amendments to this House document so that we can move forward and vote in third reading on a bill that we urgently need to cultivate the entire execution environment and debt recovery environment in the Czech Republic. Thank you.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u23	Thank you. Next, Mrs Golasowská is on the agenda.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u24	Thank you for the floor, Mr President. Ladies and gentlemen, I wish you a good afternoon and I would like to ask you for the firm inclusion of the House's 593 press. It's a draft math law that has been here for some time and which our citizens want us to discuss. It's point number 35 and I suggest you place it as the first point tomorrow at 2:30 p.m., or then this Friday 22. 1. as the first point. Thank you for your support.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u25	Thank you. I would just like to point out that there have already been some proposals on the first and second points by President Faltýnek. Let's see how the vote goes. Then it would also be necessary to clarify the proposal. I'm asking who else is on the agenda. Mrs. Kovářová.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u26	Ladies and gentlemen, let me ask you to include paragraph 30, House Press 1006 on Friday 22 January as the first item. This House press is a proposal and concerns an extraordinary contribution for singles and young families. We have already submitted this proposal last year due to the fact that data shows that it was the singles that were most affected during the time of coronavirus and quarantine. Self - caregivers and singles really find themselves in a time of great uncertainty. A number of households were affected by a high decline in income. And it is this group that I have talked about that is the one that is most affected by it. A number of surveys show that many have lost their jobs or are in debt as a result of the crisis. And the situation is all the more serious that single mothers represent the second most at risk of poverty next to seniors. [[It's very busy in the hall.]] We propose payment of a one-off contribution of CZK 6 000. We have also put forward this proposal in the context of the so-called gloating process, and we wanted to point out that not only the pensioners, but also the singles and singles are currently in bad shape as regards their income. After consulting the Ministry of Labour and Social Affairs, we revised a little into the Senate the amendment that concerned this case. However, we were told that this is not really necessary, because there will be a press discussion that will address the increase in child allowances, so that these families will also receive an increase in income. [[14.50 hours]] Therefore, I ask that we start discussing this press because it turns out that we have a law in the House that will address the increase in child allowance, but as such rumors circulate, and the proposed negotiations at first reading, and so-called '90', are unlikely to pass, and this press will be heated in the House for a longer period of time. For this reason, we want to pre-schedule the discussion of this point so that for the time when it was promised that even singles and singles would be raised by child allowances, so of course the time is delayed and we want to reveal to them the hard times and, of course, the blackouts that they had. I therefore ask you to consider very much and to support the inclusion of this point, which concerns the exceptional contribution to single parents and single parents. Thank you.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u27	Thank you, I'm asking if anyone else on the agenda. President Bartošek.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u28	Thank you for the floor, Mr President. Colleagues, colleagues, as I have repeatedly addressed you with a request that we place firmly on the agenda a point that has number 200, it is the House Press 603 and it is the financial compensation of people sterilized in violation of the law. I know that Mr. Faltýnek and I have dealt with this repeatedly, and he keeps saying that it will only be dealt with after the emergency. But time ticks, our mandate is slowly coming to an end, we do not know how long the emergency will last, and I am convinced that it would be right for these women to discuss this point. It's not going to take us half a day, it's going to be a question - I think we can have it discussed in half an hour. I think we have the opportunity to correct the injustice that has happened to these women. And I'm asking you to. I ask you to place this point firmly on this Friday as the first point, possibly after the already fixed points. In case this doesn't go through optionly, I'm asking for an appointment next Wednesday afternoon from 2:30 p.m. Thank you for supporting my proposal.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u29	Thank you. Is there anyone else on the agenda? If not, we will deal with the vote on individual proposals. I'll call in my colleagues from the lobby. First, we will deal traditionally with the proposal tabled by the political grémium of the Chamber of Deputies. If there is no objection to this, we would decide by one vote, by a vote on the whole of the proposal for a grémium. I'm gonna wait a little longer. I'm gonna ask you to take your seats in the O.R. so we can vote. The number of votes is constant. We'll vote on a gremial proposal. Initiating vote on who's in favour. Who's against it? Voting number 4, registered 169, for 159, against no one. The motion was accepted. Thank you. Now the proposals of President Faltýnek. Firstly, there is a proposal for a firm inclusion of the agenda items from the block of laws rejected and returned by the Senate. And the following order is proposed: 575, 576, 1111, 834, 886, 918, 986. I just point out that we have just included item 1111 in the proposal, and now we are putting it in third place. [[printing]] There's a slight change, I'm warning you. Initiating vote. Who is in favour of this firm assignment? At 5:00 p.m., I probably forgot to say that on the record. Who's against it? Voting number 5, registered 169, for 144, against no one. The motion was accepted. Then there was a procedural proposal, but I waited for his vote to have some logic. On behalf of the ANO and ČSSD MPs, it is proposed in accordance with § 53 para. 1 to vote today after 19 and 21 o'clock. Initiating vote, who's in favour? Who's against it? Voting number six, 171 Members signed in for 129, versus 8. The motion was accepted. Now we come to the two laws that are supposed to be shortened in a state of legislative emergency. President Faltýnek proposes to include them on Friday 22. 1. as the first two points, first printing 1134 on the compensation bonus of entrepreneurs and then printing 1122, the Act on certain adjustments in the area of benefits of state social support. Initiating vote. Who is in favour of a firm inclusion of these two laws on Friday as the first and second points? Who's against it? Voting number 7, logged in 171, for 165, against no one. The motion was accepted. We will now vote on President Stanjura's proposal to include a new item in this meeting entitled Information on the vaccination strategy by the Government. If that's the right thing to do... It's not exactly accurate, but the President says it can stay that way. We all know what we are voting on: the subject will be vaccination. New point. Initiating vote, who's in favour? Who's against it? Voting number 8, 171 Members signed in, for 159, against 3. The motion was accepted. We will now place this point firmly as the first point in today's negotiations. Initiating vote. Who is in favour of a fixed classification of this point? Who's against it? Voting number 9, logged in 171, for 156, versus 4. The motion was accepted. Mr Klaus proposes to include a new item called the protection of the most vulnerable population groups. It also proposes the inclusion of a new point - the opening of schools. I ask if anyone is opposed to us voting with one vote. Or especially? I'll put it to an individual vote. [[15.00 hours]] So first of all, the inclusion of a new point - the protection of the most vulnerable population groups. Initiating vote. Who's in? Who's against it? Voting number 10, logged in 171, for 55, against no one. The motion was not accepted. We are now voting on the inclusion of a new point called opening schools. Initiating vote. I'm asking who's in favour. Who's against it? Voting number 11, registered is 171, for 82. [[against no one]] The motion was not accepted. Mr Ferjenčík proposes at paragraph 9, print 532 - the Czech National Bank Act to include this item at the end of the second reading block. Initiating vote. I'm asking who's in favour. Who's against it? Voting number 12, 171 Members signed in, for 53, against 19. This proposal has not been adopted. Mrs Langšádlová proposes the inclusion of a new point entitled Investment Agreement between the European Union and China. Initiating vote. I'm asking who's in favour of putting a new item on the agenda of this meeting. Who's against it? Voting number 13, registered is 171, for 56, versus 2. This proposal has not been adopted. Mr Výborný proposes paragraph 16, print 545, to place firmly in a variable week at 10. 2. at 14.30 as the first item of the afternoon meeting. Initiating vote. I said, who's in favour of this proposal? Who's against it? Voting number 14, registered is 172, for 80, against 1. This proposal has not been adopted. Mrs Golasowská proposes that we include paragraph 35, print 593 - the registers, as the first point tomorrow at 14.30. Initiating vote. I'm asking who's in favour. Who's against it? Voting number 15, registered is 172, for 73, versus 4. The motion was not accepted. Alternatively, the honourable Member proposes the first item on Friday. Please note that Mr Faltýnek's proposals have already been adopted there. Do you insist that this be the first point or the first point after the already fixed points? After already firmly placed points. That means the point 35 after the fixed points. Initiating vote. Who's in? Who's against it? Voting number 16, registered is 172, for 68, versus 2. The motion was not accepted. I apologise to Mr Excellent. He did not accept his proposal for 10. 2., however, he also gave an alternative proposal to the amendment of the OSŘ and the Enforcement Order - the point 16, print 545 - eventually put it on 12. 2. as the first point after the third reading. So we must vote on this proposal. Initiating vote. I declare this vote (number 17) confusing. I'll comply with the requests. I'll check you all out. I'm gonna ask you to rejoin... Okay, now it's okay. Now we've got an up-to-date check-in. So one more time. We are voting on Mr Excellent's proposal to include the amendment OSŘ 12. 2. as the first point after the third reading. Initiating vote. I'm asking who's in favour. Who's against it? Voting number 18, registered is 148, for 72, against no one. This proposal was not adopted. Mrs Kovářová proposes that we place paragraph 30, print 1006, on the exceptional contribution for singles, paragraph 300, sorry, point 300, on the exceptional contribution for singles, on this Friday as the first point after the already fixed points. Can it be that way? [[Yes.]] Initiating vote. I'm asking who's in favour. Who's against it? Voting number 19, registered 159, for 74, against no one. The motion was not accepted. Finally, there is Mr Bartošek's proposal that we place paragraph 200, press 603, on the granting of an amount for illegal sterilization, firmly on this Friday after the already fixed points. Initiating vote. Who's in favour of this assignment? Who's against it? Voting number 20, registered is 162, for 65, against no one. The motion was not accepted. There is an alternative proposal to include this press next Wednesday from 14.30 as the first point of the afternoon meeting. Initiating vote. I'm asking who's in favour. Who's against it? Voting number 21, registered is 162, for 59, against no one. Nor has this proposal been adopted. According to my remarks, we have dealt with all the proposals that have been made today on the agenda for the new meeting, and we have a vote on the agenda as a whole. Mrs Valachová to vote.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u30	Mr President, I will not question the vote, I am merely announcing that I am late for the 18th vote, but I voted in favour. 18th vote.
ParlaMint-CZ_2021-01-19-ps2017-079-01-001-999.u31	Thank you. And we will proceed to the vote on the agenda of the meeting as a whole. Initiating vote. I'm asking who's in favour. Who's against it? Voting number 22, registered is 172, in favour of 161, versus 1. The motion was accepted. I therefore note that the agenda of the meeting has been approved and we will continue according to its current wording. So I'm opening a new point that we just approved and placed, and that's
