Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	Minister	N.D.	New Democracy	-	Centre-right	ΒΟΡΙΔΗΣ_ΧΡΗΣΤΟΥ_ΜΑΥΡΟΥΔΗΣ_ΜΑΚΗΣ	Voridīs, Mayroydīs	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u15	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	Minister	N.D.	New Democracy	-	Centre-right	ΒΟΡΙΔΗΣ_ΧΡΗΣΤΟΥ_ΜΑΥΡΟΥΔΗΣ_ΜΑΚΗΣ	Voridīs, Mayroydīs	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u16	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u17	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΑΧΜΕΤ_ΣΑΜΠΡΗ_ΙΛΧΑΝ	Achmet, Ilchan	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u18	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u19	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Regular	MP	Minister	N.D.	New Democracy	-	Centre-right	ΒΟΡΙΔΗΣ_ΧΡΗΣΤΟΥ_ΜΑΥΡΟΥΔΗΣ_ΜΑΚΗΣ	Voridīs, Mayroydīs	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u20	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u21	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2019-09-26-S1-commons	ParlaMint-GR_2019-09-26-S1-commons.u22	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 21, 2019-09-26	2019-09-26	Unicameralism	18	1	-	21	-	Reference	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
