ParlaMint-BG_2018-07-12.u1	There's a quorum. I'm opening the meeting. Mr. Velchev, come in for a procedure.
ParlaMint-BG_2018-07-12.u81	The Commission shall, in principle, support the text of the importer and propose the following version of § 5: .................................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 42g the following 1. So far, text becomes para. 1. 2. The creation of para. 2: The monthly dietary supplement and medicinal products is 15 percent of the guaranteed minimum income.
ParlaMint-BG_2018-07-12.u82	Thank you, Dr. Ademov. Are there any speeches? I won't. We shall vote on the text of § 5 by importer in the version of the Commission. Vote 116 MPs: for 115, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2018-07-12.u83	The Commission shall, in principle, support the text of the importer and propose the following version of § 6: ........................................................... In Article 4 (1) (b), point (c) is replaced by The maximum amount of the targeted aid under para. 2 shall be determined and updated by an order of the Minister of Labour and Social Policy in agreement with the Minister of Finance, the Minister of Economy and the Minister of Health.
ParlaMint-BG_2018-07-12.u84	Thank you. Is there anyone who wants to make a statement? I won't. We are voting on the wording of § 6 in the version of the Commission. They voted 126 MPs: 124, none, abstention 2. The motion is accepted.
ParlaMint-BG_2018-07-12.u85	"Transitional and final provisions." The Commission shall support the text of the importer on the name of the subdivision. The Commission shall in principle support the text of the importer and propose the following version of § 7: .................................................... The proceedings under art. 42 are completed in the new order.
ParlaMint-BG_2018-07-12.u86	Are there any speeches? I won't. We are voting on the name of the division as well as § 7 in the version of the Commission. They voted 130 MPs: for 129, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2018-07-12.u87	The Commission supports, in principle, the text of the importer and proposes that § 8 be rejected as it is reflected in its systematic place in a new § 8.
ParlaMint-BG_2018-07-12.u88	Are there any speeches and considerations? I won't. We are voting to reject § 8 as it is already reflected in its systematic place. Vote 128 MPs: for 128, against and abstention there is no. The motion is accepted.
ParlaMint-BG_2018-07-12.u89	The Commission shall, in principle, support the text of the importer and propose the following version of § 9, which shall become § 8: ................................................................................... The monthly training supplements granted from 15 June 2018 until the entry into force of this law without a document certifying the duration of the training shall be suspended and the supplement resumed after the submission of the document under art. 42b, para. 2.
ParlaMint-BG_2018-07-12.u90	Thank you. Are there any speeches? I won't. We are voting in the version of the Commission for § 9, which becomes § 8. Vote 127 MPs: for 126, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2018-07-12.u91	The Commission does not support the text of the importer and proposes that § 10 be rejected.
ParlaMint-BG_2018-07-12.u92	Are there any speeches? I won't. We are voting for the motion to reject § 10. Vote 131 MPs: for 131, against and abstention there is no. The motion is accepted.
ParlaMint-BG_2018-07-12.u93	The Commission does not support the text of the importer and proposes that § 11 be rejected.
ParlaMint-BG_2018-07-12.u94	Are there any speeches? I won't. We are voting for the Commission's proposal § 11 to be rejected. They voted 118 MPs: 118, no opposition and no abstentions. The motion is accepted.
ParlaMint-BG_2018-07-12.u95	The Commission shall, in principle, support the text of the importer and propose the following version of § 12, which shall become § 9: ..................................................... The law shall enter into force from the day of its promulgation in the Official Journal.
ParlaMint-BG_2018-07-12.u96	Are there any speeches? Here you are, Mrs. Klisurska.
ParlaMint-BG_2018-07-12.u97	Madam President, honourable Members! I am referring to the so-made proposal under § 12 which becomes § 10 in relation to when this proposal enters into force, in order to remind all Members of the House that at the moment all these amendments we are voting are related to not stopping the integration supplements of the people who have applied after the entry into force of the decision of the Supreme Administrative Court and to remind them that the entire decision of the Supreme Administrative Court speaks, firstly, of a violation of the principles laid down in the UN Convention on the Rights of Persons with Disabilities, which we have ratified, I note, 2012 and that the Council of Ministers and the Ministry of Labour and Social Policy are parties to the administrative case, No 10020 of 2016 of the VAS. Even then, the government becomes aware of why the regulations issued by it hinder the full integration of people with disabilities. This policy on people with disabilities is contrary to the principles, I stress, the UN Convention. Last year, when we made some changes to the Law on the Integration of Persons with Disabilities, could we not then take a step towards a more equal, more complete implementation of the Convention recommendations? No, on the contrary, we closed our eyes. I would like to call on all MPs that the guaranteed minimum income cannot be a fair base for disabled people. To mention that in the end, the individual needs of this vulnerable group are not equalising and this is what the Supreme Administrative Court says. One more thing I'd like to highlight. People with disabilities and the parties to the case who challenged these integration supplements give a better proposal and it is the threshold of poverty, and I believe that this is the more appropriate standard of living. We are not making this proposal by our parliamentary group now, because we are in the middle of the budget year, but we hope that in October, as the Minister of Labour and Social Policy has declared, the two bills will be put together. One is the Law for People with Disabilities and the other is the Law for Social Services, where we can see this justice resolved because it is a temporary measure that we are taking now in the National Assembly and we are supporting it. In October, we hope to see reality on the other hand, reality as it will restore justice to this vulnerable group. Words such as "vacuum," such as the inability to obtain integration supplements, will never again sound from this hall or from this tribune. The other thing I would emphasise if the MPs do not see as a fact the two new laws that I am talking about now, which the Ministry is declaring to propose to us, our parliamentary group, with the adoption of the budget for the next calendar year, will make the editorial proposals that are a better basis and be on the threshold of poverty and not of the guaranteed minimum income. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2018-07-12.u98	Thank you, Mrs. Klisurska. Are there any lines? I won't. Are there any other statements? I won't. We are going to vote on the last paragraph and the proposal is to support, in principle, the text of the importer in the version of the Commission and § 12 to become § 9. Vote 126 MPs: 125, against none, abstention 1. The proposal has been adopted, with which we have concluded a second vote the bill amending and supplementing the Law on the Integration of Disabled People. Come in for a procedure, Mr. Hamid.
ParlaMint-BG_2018-07-12.u99	Thank you, Madam President. Honourable Members of the National Assembly, my procedure is on a proposal to move the items on the agenda: I propose that point 6 suppose a second vote on the Draft for Amendment and Supplement to the Administrative Procedure Code become item 4 of the agenda. My argument is that for the third week we have postponed this very important bill, which is expected not only in Bulgaria, but the whole of Europe is watching the Bill. We're putting it off for the third week. In the Commission, almost all controversial issues have been cleared, a 95% consensus has been reached, so please support this proposal of mine.
ParlaMint-BG_2018-07-12.u100	Thank you, Mr. Hamid. Are there any other suggestions? Here you go, Mr. Mitev.
ParlaMint-BG_2018-07-12.u101	Thank you, Madam President. I will disagree with my colleague Hamid. No less important is the Law on Protection from the Harmful Impact of noise in the environment, which has also been waiting for a long time, so I suggest that the agenda remain as it is. Thank you.
ParlaMint-BG_2018-07-12.u102	Thank you, Mr. Mitev. We are voting for the proposal made by Mr Hamid Hamid Hamid to move on the agenda point 4 to become the AKK Act. They voted 102 MPs: 39, against 13, abstention 50. The offer is not accepted. Here you go, Mr. Bojankov.
ParlaMint-BG_2018-07-12.u103	Madam President, I ask for a re-vote, as some of my fellow Members, including myself, have failed to vote.
ParlaMint-BG_2018-07-12.u104	Thank you, Mr. Bojankov. We're revising the procedural proposal for a shift on the agenda. Please, voting mode. They voted 112 MPs: 48 against 14, 50 abstentions. The offer is not accepted.
ParlaMint-BG_2018-07-12.u105	Ladies and gentlemen of the House! Moving on to the next item of the previously announced weekly programme: FIRST VOICE OF THE LAW FOR CHANGE AND CLEARANCE OF THE NORMAL AND ENVIRONMENT PROTECTION LAW. Report from the Committee on Health Dr. Daritkova, please come in.
ParlaMint-BG_2018-07-12.u106	Mr. Chairman, ladies and gentlemen of the House! I'm giving your attention. ♪ I can't believe for the first vote on a Draft Law amending and supplementing the Environmental Protection Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. At its regular meeting on 7 June 2018, the Committee on Health examined and discussed a Draft Law on Amendment and Supplement to the Environmental Protection Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. The meeting was attended by Deputy Prime Minister for Economic and Demographic Policy Mr. Valeri Simeonov, Deputy Minister of Health Mrs. Svetlana Yordanova, representatives of trade unions, word organizations in the field of health, tourism, hotel and restaurant industry and patient organizations. The bill and its motives were presented by Mr. Valeri Simeonov. It shall inform the Members of the National Assembly that the regulatory changes under discussion aim at protecting the health of the population from the harmful effects of noise caused by the activity of commercial and production sites revealed in residential and mixed-use buildings, areas and territories intended for housing, recreation and mixed-use areas and areas. The provisions relating to the powers, duties and responsibilities of the control competent authorities for the application of the law shall be reviewed by proposing an opinion of regional health inspections as part of the procedure for declaring working time to municipal and regional administrations for providing acoustic comfort to residents only for commercial and production sites revealed in residential buildings and/or in mixed-use buildings where part of the building is intended for residential construction. The Law establishes a legal basis for the issuance by the Council of Ministers of a regulation which lays down requirements for the provision of a normal acoustic environment in residential and public buildings and in areas and territories intended for housing, recreation and mixed-use areas, as well as requirements for the use of sound equipment and which clearly regulates the conditions for the provision of a normal acoustic environment in urbanised areas subject to health protection throughout the different parts of the day. The proposed regulatory changes introduce restrictions in certain time zones for the sound of open areas in areas and territories intended for housing, recreation and mixed-use areas, the sound of open-air areas of road vehicles and vessels intended for sport, tourism and entertainment and water attraction services, as well as the relevant exceptions. A requirement shall also be introduced to ensure that the sound of the above open areas is made only with sound devices fitted with automatic sound control controls so that an equivalent noise level above the regulatory limits is not allowed. The control powers of the Minister of Interior and officials designated by him regarding the sound of open areas in areas and territories intended for housing, recreation and mixed-use areas, the sound of open areas of road vehicles and work and the charging of sites for production, storage and trade located in residential and mixed-use buildings shall be supplemented. In carrying out their control powers, the persons designated by the Minister of Interior will be able to issue orders under art. 64 of the Act on the Ministry of Interior and to impose administrative penalties under this law. In conclusion, Mr. Simeonov clarified that in order to strengthen administrative control, stricter administrative-criminal provisions were introduced in breach of the requirements of the Law. Deputy Minister of Health Mrs. Svetlana Yordanova pointed out that noise is one of the factors with the worst impact on the health of the population. The damage from noise becomes one of the characteristics of modern intensive lifestyles with increasing importance for human mental and physical health. Scientific studies have shown that noise has a negative impact on the central and vegetative nervous system, cardiovascular, digestive and endocrine systems. The European Union Green Paper defining noise policy states that around 20% of the European Union's population suffers from levels of noise that health professionals consider unacceptable and can lead to serious health consequences. Mrs. Yordanova added that the dynamics of the development of public relations require a change in the regulations relating to the provision of health conditions for the lives of the population and the protection of the environment and the living environment from noise through the development and implementation of an integrated approach and measures to avoid, prevent or reduce it. Opinions on the bill presented the Business Association Sunny Beach and the Bulgarian Hotel and Restaurant Association. The representatives of the two associations stated that they support the government's will to introduce stricter environmental noise control measures, with the specific proposals on the individual texts of the provisions being detailed and motivated in the written opinions sent to the Health Commission. The written opinions of the Ministry of Economy and the Ministry of Tourism provide general support for the proposed amendments and additions, with note that, in the second vote of the Draft, the texts of the proposed provisions should be refined in order to achieve correspondence with the legislation in force. During the discussion, the members of the Health Commission expressed support for the proposed Bill and agreed that legislative measures to protect citizens' health by limiting noise in the environment are necessary and timely. The Members of the National Assembly stressed that in order to achieve the objectives set out in the reasons of the bill, a second vote should review and refine the texts of some of the proposed provisions. On the basis of the discussion held and the vote taken by 14 votes for the European Parliament, without the opposition and 2 votes, the Committee on Health proposed to the National Assembly to adopt a Draft for amendment and supplement to the Law on Protection against noise in the Environment, No 802-01-16, submitted by the Council of Ministers on 21 May 2018.............................................................................................................................................................................................................................
ParlaMint-BG_2018-07-12.u107	Thank you, Dr. Daritkova. There has also been a report from the Environment and Water Commission. Here you are, Mr. Matsurev, to brief us on the report.
ParlaMint-BG_2018-07-12.u108	Thank you, Mr. Chairman. Mr. Chairman, ladies and gentlemen of the House! I present to your attention: ♪ I can't believe for the first vote on a Draft Law amending and supplementing the Environmental Protection Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. At a meeting held on 7 June 2018, the Committee on Environment and Water examined a Draft Law amending and supplementing the Law on Environmental noise protection, No 802 01-16, submitted by the Council of Ministers on 21 May 2018. The meeting was attended by Mr. Valeri Simeonov, Deputy Prime Minister for Economic and Demographic Policy; from the Ministry of Health: Dr. Svetlana Yordanova On behalf of the importers Mr. Valeri Simeonov presented the Bill and the reasons for it, pointing out that the changes are generally in three main groups: 1. The order of issuing permits for working hours by municipalities, on-the-spot verification of noise level and the time limits for checks in line with business needs, as well as the time limits for the removal of infringements shall be determined. The powers of RZI and municipalities are also agreed and a specific regulation for parameters and noise levels is provided. 2. The bans on noisy activities for the charging of commercial sites and sound of open areas are regulated and the ban on sound is for the period 23,00. 08,00, with the exception of stations, bus stations, airports and disaster warning systems. 3. Changes are introduced regarding control, which are the most essential part of the bill. In the period 23,00 the powers are assigned to the Ministry of Interior with the possibility of ending the violations by the police during this period. Mr. Simeonov also pointed out that some clean editorial amendments are being made and missing definitions are introduced in the Law. He also noted that the amount of sanctions increased almost twice, stressing that a large part of the proposals received were taken into account, with municipal events being exempt from the restrictions introduced. He noted that no new regulatory regimes were introduced. The chairman of the committee Mrs. Vasileva gave the floor to the representatives of the Ministry of Health and the Ministry of Environment and Water before the debates. Mrs. Yordanova announced that they support the submitted bill aimed at creating healthy living conditions through an integrated approach. Stressing the undoubtedly harmful effects of noise, it drew attention to the intended control and preventive measures. Dr. Yordanova gave an example with the Green Paper of the European Union, according to which 20% of the population of the Union is affected healthy by the noise impact, as well as with the majority of the signals of wire. 112 related to noise effects. Deputy Minister Krasimir Zhivkov expressed the overall support of the Law by the Ministry of Environment and Water. The attitude took the people's representative Manol Genov with a question about the coordination with the municipalities and the opportunities of the police to react and received a response from Mr. Simeonov; the people's representative Boris Yachev, who announced the support of the United Patriarchs and the Law, which fills the niche in the Bulgarian legislation with the application of stricter measures to the offenders and the important role of the intended prevention; the national representative Atanas Kostadinov with a question about the existence of areas with a more liberal regime in the period 23.00. . 08.00 and received a response from Mr. Simeonov with an example of noiseproof discotheques; the public representative Hristo Grudev, who stressed that the inclusion of the authorities of the Ministry of Interior will contribute to improving control in order to protect the health of the people from the harmful noise impact and the national representative Erjan Ebatin on a debate and the need for business consent and received a response from Mr. Simeonov that the initiative for this bill started from the tourism industry. After the end of the discussion and the vote held the Committee on Environment and Waters with 13 votes in favour, without the opposition and 7 abstentions, supported the draft and proposed to the National Assembly to adopt in the first vote a Draft amendment and supplement to the Law on Environmental noise protection, No 802-01-16, submitted by the Council of Ministers on 21 May 2018.
ParlaMint-BG_2018-07-12.u109	Thank you, Mr. Matsurev. The next report was received by the Committee on Economic Policy and Tourism. Here you go, Mr. Kanev.
ParlaMint-BG_2018-07-12.u110	Thank you, Mr. Chairman. ♪ I can't believe on a bill amending and supplementing the Environmental Protection Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. At its regular meeting on 13 June 2018, the Committee on Economic Policy and Tourism examined the Draft Law on Amendment and Supplement to the Environmental Protection Act. The meeting was attended by Valeri Simeonov, Deputy Prime Minister for Economic and Demographic Policy, Svetlana Yordanova, Deputy Minister of Health and Irena Georgieva, Deputy Minister of Tourism. The bill presented by Deputy Prime Minister Valeri Simeonov aims to protect the health of the population from the harmful effects of noise caused by the activity of commercial and production sites, revealed in residential and mixed-use buildings, areas and territories intended for residential construction, recreation zones and areas and mixed-use areas. The provisions relating to the powers, duties and responsibilities of the authorities controlling the implementation of the Law have been revised and the powers of the Minister of Interior have been extended. Regional health inspections are intended to issue opinions as part of the procedure for announcing working time to municipal and regional administrations on providing comfort to residents in terms of noise. Limits for sound in certain time zones shall be introduced, specifying the relevant exceptions to the conduct of public outdoor events, such as the issuance of a regulation by the Council of Ministers, setting out the requirements for the creation of a normal acoustic environment and the requirements for the means of sound. For prevention purposes, the fines and penalty payments laid down in the Law are increased. The Ministry of Tourism stated that the provisions concerning the requirements for the activities in the national resorts should have been settled by the Tourism Act. After presenting and discussing the bill, a vote was held which ended with the following results: On the basis of the above, the Committee on Economic Policy and Tourism proposes to the National Assembly to adopt, on the first vote, a Draft for amendment and supplement to the Law on Environmental noise protection, No 802-01-16, submitted by the Council of Ministers on 21 May 2018.
ParlaMint-BG_2018-07-12.u111	Thank you, Mr. Kanev. The report of the Committee on Regional Policy, Public Works and Local Government will present to us Mr. Dinev. Here you go, Mr. Dinev.
ParlaMint-BG_2018-07-12.u112	Dear Mr. Chairman, honourable Members! ♪ I can't believe on a bill amending and supplementing the Environmental Protection Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. At a regular meeting held on 14 June 2018, the Committee on Regional Policy, Public Works and Local Self-government discussed a Draft Law on Amendment and Supplement to the Law on Environmental noise protection, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. In the meeting of the Commission took part Mr. Valeri Simeonov Deputy Prime Minister for Economic and Demographic Policy, Mrs. Svetlana Yordanova Deputy Minister of Health and Mr. Blagoy Stanchev Secretary of the National Association of Municipalities in the Republic of Bulgaria. On behalf of the importers, the bill was presented by Mr. Valeri Simeonov. The submitted bill aims to protect the health of the population from the harmful effects of noise caused by the activity of commercial and production sites in residential buildings, mixed-function buildings, areas intended for housing, recreation areas and mixed-use areas. The envisaged changes are in several main directions: First of all, it is proposed to refine the regulatory basis for administration, issue of working time permits, measure noise levels on site, time limits for carrying out checks and remedy infringements. The proposed changes introduce a ban on activities creating noise in sites located in residential and mixed-use buildings for the period from 23:00 to 8.00; a ban on sound of open-air areas in areas intended for housing, recreation areas and mixed-use areas, including road vehicles and vessels, for the period from 14:00 to 16:00 and between 23:00 and 8:00, except for the territories of mass transport sites and for the use of warning and public disclosure systems. The adoption of the bill establishes a legal basis for drafting a regulation by the Council of Ministers, which will regulate and specify the requirements for ensuring an optimal acoustic environment in urbanised territories, as well as the technical provision of control for their implementation. Control by the Ministry of Interior is envisaged to be carried out to comply with the requirements of the Law, especially in the quiet hours of the day. A significant increase in sanctions is at stake, and when drawing up an act of administrative infringement the evidence of the infringement is envisaged and after the issuing of a criminal order the same will be withdrawn for the benefit of the State. The proposals for amendment and supplement of the Environmental Protection Act aim at providing acoustic comfort, improving the quality of the living environment and improving the efficiency and quality of control. The Commission received opinions from the Chamber of Architects and from the National Association of Municipalities, expressing the principle of support for the proposed changes, making concrete proposals to refine individual provisions. During the discussion the MPs supported the need for the proposed amendments to the Law. Mr. Valeri Simeonov answered specific questions asked by the members of the Commission regarding the practical implementation of the bill. On the basis of the discussion and as a result of the vote, the Committee on Regional Policy, Public Works and Local Self-government, with 17 votes in the House, without votes against the Council of Ministers, and 2 votes abstentions, proposed to the National Assembly a draft amendment and supplement to the Law on Protection from noise in the Environment, No 802-01-16, submitted by the Council of Ministers, to be adopted in the first vote.
ParlaMint-BG_2018-07-12.u113	Thank you, Mr. Dinev. We will hear another report from the Committee on Internal Security and Public Order. Which member of the Commission will introduce us to him? Here you go, Mr. Nunev.
ParlaMint-BG_2018-07-12.u114	♪ I can't believe on the first vote on a bill amending and supplementing The environmental noise protection law, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. At its regular meeting held on 13 June 2018, the Internal Security and Public Order Committee examined and discussed the Draft Law on Amendment and Supplement to the Environmental Protection Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018. The meeting was attended by Deputy Prime Minister Valeri Simeonov and Georgi Nikolchev. Deputy Minister Svetlana Yordanova from the Ministry of Health. From the Ministry of Internal Affairs "Raina Dimova, Chief Legal Consultant at the Department of Legal Activity", and Lyubomir Chankov, Police Inspector in the Sector "Territorial Service" at the Department of Security Police. On behalf of the importer, the bill was presented by Mr. Valeri Simeonov. In his statement, he noted that the main objective of the Bill was to ensure the protection of the health of the population and the protection of the environment against the harmful effects of noise caused by the activity of commercial and production sites, revealed in residential and mixed-use buildings, areas and territories intended for housing, recreation zones and territories, and mixed-use areas. The bill introduces restrictions in certain time zones for sound. The bill establishes a legal basis for issuing a regulation by the Council of Ministers to determine the requirements for ensuring a normal acoustic environment in residential and public buildings and in areas and territories intended for housing, recreation zones and for the use of sound media. The requirement shall be introduced that the sound of the open areas be made only with sound devices fitted with automatic noise control controls. The arrangements in force shall be maintained for sites which have been authorised until the entry into force of this bill. The bill shall specify the provisions relating to the duties and responsibilities of the control authorities for the implementation of the Law and improve coordination between them to achieve greater efficiency in their activities. The proposed provisions supplementing the control powers of the Minister of Interior and the officials appointed by him are essential, and they will be able to impose administrative penalties under this law. The amount of fines and penalty payments are increased in order to achieve prevention and effective sanction against persons who do not comply with the restrictions and prohibitions in the Law on Protection against noise in the environment. The aim is to prevent, deter intruders and create living conditions without noise above acceptable limits. It is envisaged that, in the event of violations of the prohibition of sound and the drawing up of the act establishing an administrative infringement, the material evidence relating to the infringement should be seized and retained, and that, after the entry into force of the criminal decree, the property belonging to the natural person, legal person or sole trader that served to the State should be taken away for the benefit of the State. This is in accordance with the norms of art. 20 and 41 of the Law on Administrative Violations and Punishments. The proposed bill will not result in a direct and/or indirect impact on the state budget. The increased control by the Ministry of Interior and the Ministry of Health, respectively from regional health inspections, will be within the established budget for the respective departments. Deputy Minister of Health Mrs. Svetlana Yordanova expressed support for the bill. Representatives of the Ministry of Interior said they support the Bill and that the standards relating to the powers of the Ministry of Interior are coordinated and synchronized. The draft Law amending and supplementing the Environmental Protection Act does not contain provisions transposing European Union acts and therefore no correlation table has been applied with European Union law. The discussion was attended by the MPs Veselin Mareshki, Georgi Andreev and Tsvetan Tsvetanov, who supported the bill. On the basis of the discussion held, the Committee on Internal Security and Public Order with 17 votes for the Environment Act, No 802-01-16, submitted by the Council of Ministers on 21 May 2018, proposed to the National Assembly to adopt a draft amendment and supplement to the Law on Environmental noise protection, No 802-01-16, submitted by the Council of Ministers on 21 May 2018.
ParlaMint-BG_2018-07-12.u115	Thank you, Mr. Nunev. These were the reports from the parliamentary committees. Mr. Deputy Prime Minister, would you care to take a stand? An importer's opinion. Here you go.
ParlaMint-BG_2018-07-12.u116	Good afternoon! Dear Ms. Karayancheva, Mr. Chairman, ladies and gentlemen of the House! The draft proposed to your attention is related to an extremely painful problem, as you all know the problem of noise impact, in particular its harmful impact on the human organism. Unfortunately, decades did not pay enough attention. Unfortunately, the regulatory base was imperfect, including the Environmental Harms Act, either freely or unintentionally, there was no possibility that it could be applied with a result, and otherwise all the components needed for such a law were present in it. In the end, it was not applicable, in the sense it did not result. This has required the changes we offer to your attention. There's been a lot of new data on the damage to the human organism from the noise. Literally last month, there has been a study by the World Health Organization, which found that in addition to stress, anxiety, anxiety, mental damage, the noise has a very serious impact on the cardiovascular system, causing hypertension, severe diseases of the cardiovascular system, including heart attacks and strokes! I am not telling you this in order to push or create more pό disaster picture of the impact of noise, but in Bulgaria, unfortunately, the situation is more severe than in the other countries of Europe. This is shown by the research of authority institutions, laboratories, which establish that, for example, more than 40% of children in Bulgaria have damage to the hearing aid, unfortunately, which smaller ones, which larger ones. The need to correct the noise law no longer needs to argue. I will brief you on the direction in which the changes are going. First of all, in art. 16a a mechanism has been set up for the detection of new commercial sites in residential buildings for mixed purposes. Where a request for a working time is submitted to the municipal or regional administration concerned, an additional opinion from the Regional Health Inspection shall be required and the opinion shall establish whether those commercial, production or other objects which, in one way or another, generate noise affect the environment and neighbouring premises. There is a set order for this, a procedure which obliges the Regional Health Inspection, when submitting the relevant request for such an opinion, to carry out a measure within 20 days, respectively, to give a prescription or consent within 10 days. With this opinion, which will give, the object, in general, which is about to start working in the residential building or in a mixed-use building, receives the right to have a working time assigned to it. That's the general thing. A change in art. 16b, which determines the hours in which noisy activities or outdoor sound sounds can be performed. And in the current law there were such restrictions between 11:00 and 7:00 a.m. Here the only change is that we extend by one hour from 23.00 to 8.00 a.m. the period during which all noisy acts are banned. In Article 4 (1) (b), point (c) is replaced by the following: 31 The powers of the institutions to exercise control shall be determined. There is a slightly more significant change here, and control between 23:00 and 8:00 is entrusted entirely to the Ministry of Interior. The changes in the legal base were drawn up with the assistance of the Legal Directorate of the Ministry of Interior. There shall be given the right to take the appropriate action with prescriptions, written orders for termination of the sound, relating to the relevant orders up to 7 days, in case of re-entry of up to 30 days and so on. The latest change is related to the increase of sanctions in breach of this law, both in the first and in the case of repeated violation of the Law. Generally speaking, they're doubled. If you have any opinions, the questions are basically that. I would like to stress that in no way increases the administrative burden on sole traders, individuals or companies in relation to these opinions, as they are anyway submitting documents to the municipality for working hours. There is no increase in administrative burden. There are no further aggravations, except that it's getting a little hard, as I said, the control, on the one hand, and on the other, the sanctions. I would like to thank fellow Members of the committees to whom the Bill has been allocated for large-scale support, for this high result, which shows that the Law is being supported and is currently up to date. Thank you.
ParlaMint-BG_2018-07-12.u117	Thank you, Mr. Deputy Prime Minister. This was the opinion of the importer. I'm opening the debate. Are there any speeches? Here you go.
ParlaMint-BG_2018-07-12.u118	Dear Mr. Chairman, dear Mr. Deputy Prime Minister! Let's just say things the way they are. Undoubtedly, the proposed bill amending and supplementing the Law on protection against noise in the environment is transposition into the internal law of Directive 2002/49 of the European Parliament and of the Council on the assessment and management of noise in the environment. Therefore, in the Health Commission, we supported the tabled proposals for amendment and supplement, but we remain open to the question: how and who will control the noise in our national resorts? Dear colleagues, art. 16a of the current law is transformed into art. 16b in the Project and disappears along with the word "Courties." We await an answer to that question, Mr. Deputy Prime Minister. And one more thing. I think we should also take into account some of the opinions received in the committees, but have found no place in the proposed text of the Draft for Amendment and Supplement to the Environmental Noise Act. That is why we will abstain, retaining the right, between first and second readings, to amend, supplement, and some editorial amendments, in order to actually obtain a nice law that we can all be proud of. Thank you.
ParlaMint-BG_2018-07-12.u119	Thank you, Dr. Naydenova. Are there any lines? I can't see. Any other speeches? Here you go.
ParlaMint-BG_2018-07-12.u120	Thank you, Mr. Chairman. Dear Deputy Prime Minister of the Republic of Bulgaria, honourable Members! We discussed this in the Committee on Regional Development. I don't know how they wrote that there were two abstentions. For example, I voted against it, apparently the Quaestors did not observe the vote itself. I voted against these amendments, although there is logic in some, and they are naturally good as proposals, but in some proposals again we centralize everything that is under municipal councils' decisions on the ground, by municipalities. Dear Deputy Prime Minister, honourable colleagues! We continue to centralize power in the Republic of Bulgaria. I don't know what the idea is, but in all municipalities in Bulgaria there are regulations concerning precisely such problems concerning noise, decibels, and at the same time the period of peace of citizens from 23.00 until 7.00 a.m., as it has been so far, and most municipalities have adopted these regulations. We are now fully implementing control of the Ministry of Interior. So far RZI has managed to measure decibels through its appliances and when there are complaints or violations, those persons who violate the regulations of the municipality itself and the decisions of the municipal councils were fined or closed establishments in case of repeated violations. What exactly are we aiming at with these proposals at the moment, which we are proposing as a centralized solution in the Republic of Bulgaria? Here I begin to think that every week, by adopting such laws, by taking away the rights of the mayors of municipalities who are elected by the citizens of the respective municipalities, by taking away the rights of the municipal councillors who are directly elected, at one point we centralise it and impose on them something that completely and realistically depends on their decisions. Mayors of municipalities and municipal councillors best know the specifics of their municipalities. They know people best, they know best when and where there are the most complaints about certain establishments, say, or at events, weddings, etc. The mayors of municipalities judge on the spot against the situation, giving orders, according to its regulations, allowing a certain time of time for how long these entertainment events can be held on the ground. I'm not just talking about discos, I'm talking about weddings, hennaes, social events, which, of course, the Law says there may be a permit. But from here again, from Sofia, we will see how it reacts locally to certain complaints. Why? Why are we doing this? I do not know why the report did not mention that the proposal of the National Association of Municipalities in the Republic of Bulgaria is to take these decisions by decision of the municipal councils and issue orders by the mayor of the municipality. Since the last few months, when proposing such bills, we are withdrawing the rights of local authorities. What are we after here, Prime Minister? Why are we doing this? I understand, from 14.00 to 16.00 in such places, municipalities, where the noise really hinders the population, yes, we agree with these proposals, but especially for the conduct of events that are in a certain time frame and the mayor, for example, if certain establishments are in a remote place from residents in certain neighborhoods or settlements and even in settlements such as villages, then to be assessed on site by local authorities and thus to be granted permissions. I guess that's not the point. Here the goal is to control these processes from Sofia or in two words: to subdue the business. That's how I know it. Let us in this regard give some answer so that we can decide in the autumn how to vote on these proposals of yours and the proposal of the Council of Ministers as an amendment and an addition to this bill. We will vote against the House of Rights and Freedoms at first reading, and between first and second readings we will have our proposals that correspond to and do not really take away the rights of local authorities. Thank you.
ParlaMint-BG_2018-07-12.u121	Thank you, Mr. Ali. Are there any lines to the statement? The Deputy Prime Minister would like to take an attitude. [[Reply from MP Slavcho Atanasov.]] Here you go, and the lines from place are our problem.
