Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-0	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-3mKHbuxhiWTDuPHgFZA549	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-135	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q6201234	Sällström, Sven-Olof	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-139	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6027267	Olsson, Kalle	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-142	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-147	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6027267	Olsson, Kalle	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-151	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q6030080	Oscarsson, Mikael	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-155	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6027267	Olsson, Kalle	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-160	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-165	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6027267	Olsson, Kalle	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-168	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-173	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6027267	Olsson, Kalle	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-178	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q22923559	Hansén, Camilla	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-204	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-208	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q22923559	Hansén, Camilla	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-212	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q18600515	Bäckström, Daniel	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-216	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q22923559	Hansén, Camilla	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-219	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q16616153	Yngwe, Kristina	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-Qm4TthmyD9PBFvHGN13cGm	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-241	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990984	Åberg, Boriana	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-244	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-247	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4990984	Åberg, Boriana	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-249	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-252	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71131688	Aspling, Ludvig	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-255	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-258	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71131688	Aspling, Ludvig	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-261	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-264	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-266	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-268	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q6255521	Åkesson, Anders	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-269	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-271	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-273	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-275	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q946708	Holm, Jens	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-277	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-278	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q63870850	Brodin, Camilla	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-282	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-285	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q63870850	Brodin, Camilla	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-286	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-289	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q59418273	Nilsson, Maria	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-293	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-296	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q59418273	Nilsson, Maria	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-299	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-303	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q27107494	Vikström, Anna	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-306	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-309	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q27107494	Vikström, Anna	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-311	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-312	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q57168699	Moine, Rebecka Le	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-315	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-318	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q57168699	Moine, Rebecka Le	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-320	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-322	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6092482	Sander, Mats	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-EabJpoEudY5CegBF7JQ7kK	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3375050	Ygeman, Anders	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-330	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q18617010	Sjöstedt, Oscar	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-335	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-339	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q71064125	Schöldberg, Per	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-342	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-346	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q4940950	Brunegård, Gudrun	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-350	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-354	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-SidMuyPbaykk9VczNb1gF5	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3373058	Ernkrans, Matilda	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-364	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6209093	Thorell, Olle	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-369	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-373	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4940303	Bouveng, Helena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-376	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4935873	Andersson, Magdalena	F	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-380	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q60144183	Palmqvist, Eric	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-382	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2021-04-30-prot-202021--116	i-7b92e61b1124a389-386	Swedish parliamentary corpus ParlaMint-SE-en, 2020/21 nr. 116	2021-04-30	Unicameralism	2020/21	-	-	2020/21--116	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4962466	Lindberg, Teres	F	-	
