ParlaMint-NO_2008-01-30.ana.ud1816e22	The representative Karita Bekkemelm, who has been on leave, has once again taken up the seat.
ParlaMint-NO_2008-01-30.ana.ud1816e130	First, I agree entirely with Mr Tørresdal that we should take the rapporteurs seriously. It is clear that it is serious when representatives of local government and rapporteurs report to us that it is urgent and that they have difficulties in following up the objectives and wishes they have. But there is something quite different than sharing the reality description that I feel the previous questioners had with a black paint and a denial that it has been an effort. I am also glad that Tørresdal showed that there has been an increase. But it's clear that the municipalities are going to need even more money. Therefore, there will also be a municipal arrangement for the spring, which brings new billions to the municipalities. How many things do we have to clarify when we present the proposition to the spring? But I think that experience is, now that we have increased revenue by over $20 billion in three years, that we need both more money and a continuous discussion and review of how we spend the money. We see, for example: that many municipalities do well in school even if they use below the average in school. So here it's both about more money and about spending it in a good way.
ParlaMint-NO_2008-01-30.ana.ud1816e137	Lars Sponheim - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e140	The heads of state of one of the government parties say it like this in the nations today: ‘There is now becoming a misunderstanding between what the government boasts about, and what we can deliver.’ So then we can talk about, as this questioning right now shows, an expectation crisis might be as much as an economic crisis in the municipalities. This crisis in expectations has, in a sense, made the job more difficult for politicians, because they are facing expectations that they cannot meet, which make it more difficult to prioritize and explain to their citizens. On the other hand, in the event of the crisis of expectations reported here by the government parties themselves, it seems to me that there has become less pressure on cost-saving cooperation solutions, possible structural changes in the local government sector and, at least, more efficient. We've noticed that clearly in the last few years, maybe in relation to the last four years. Will the Prime Minister help to focus much more on how to drive municipalities cheaper, and new cooperation solutions, and perhaps also on voluntary structural changes, which I believe are necessary?
ParlaMint-NO_2008-01-30.ana.ud1816e152	Yes, I think both are important. I believe it is both important to increase the appropriations for the municipalities and that we have a permanent pressure on the best possible operation and organisation of the municipalities. In fact, the more money we want for the municipalities, the more important it is that we are constantly concerned that they are organized in the best possible way. It's just that we can defend increased appropriations. But it's not the government that "crushes at itself". It's the Central Statistical Agency that provides figures that show that there are over 7 000 new annual work in the care of the elderly in the years we've been in government, and that we're on the way to reaching the 10 000 target. It's Kostra's telling us that there are 25 000 more children in kindergarten, and it's also Kostra's, municipal, telling us that while many municipalities had deficits and over 100 were on the ROBEK list, i.e. under state supervision, under the previous government, it's now down to 42. So it's not boast, it's actual numbers from different independent agencies. But even that's not good enough, we want to move on. That's why we need the big money for the local government sector and not for tax relief.
ParlaMint-NO_2008-01-30.ana.ud1816e159	First, I would like to encourage the Prime Minister to bypass the figures correctly in relation to the Municipality of Norway, because the government has always referred to the number 21 billion kroner, but that is actually wrong. If the Prime Minister is going to continue using figures like that, he should also tell us that KS has done calculations of this that show that it is actually not talking about 21 billion kroner, but if you take into account wage and price increases, maybe there are fewer than 11 billion dollars. It is clear that with a defaulting tax intake of the second half of last year, and several municipalities that are likely to be on the ROBEK list during the year, there is a lot of bad things around the municipality of Norway. That is why several of the government's own local politicians are responding. Today in the nations, central party people are out saying they need more money in the revised budget. Will the Prime Minister respond to the demand of his own local politicians and provide more money in the revised national budget?
ParlaMint-NO_2008-01-30.ana.ud1816e164	We are going to provide more money to the municipalities in the municipal planning that we are submitting to spring. Moreover, the point in terms of municipal figures is that they are constantly being revised when we receive new estimates of tax revenue and cost growth. The figures in the national budget are the most recent quality assurance figures. They take cost growth into account. It's real growth, so after salary growth and cost growth in municipalities have been subtracted, we get the number 21 billion kroner in total income. About half of it is free income, the rest is earmarked for example. kindergartens or other purposes in the municipal sector. But I'm fully aware that those numbers will be adjusted maybe up and down over the years. In any case, we have a significantly greater effort in the local government sector, and we have increased efforts by many billions in addition to what was set up by the previous government.
ParlaMint-NO_2008-01-30.ana.ud1816e169	Let's move on to the next main question.
ParlaMint-NO_2008-01-30.ana.ud1816e172	We've had a lively debate on school policy in the last month. We've recently implemented, and we're still implementing, one of the biggest school reforms in terms of content -- in fact, the first one in many years that focuses on raising the knowledge of classrooms in everyday life at school. One of the important challenges when we adopt reforms as politicians is to make sure that they reach out where they are implemented, and in my opinion perhaps one of the most important things we do as politicians, is to ensure that every child in this country has the best possible knowledge base, the best possible ability to master their lives and follow up on in a more complicated society. That's why what we do when it comes to school, one of the most important things we do, and that's why the meeting between teacher and student, what happens in the classroom, is the most important area to focus on, because that's where the education happens, that's where we actually get results for the individual child. That's why we've been engaged in challenging the government on school management, on good and more qualified teachers, and not least on how we make sure that this month's debate is not just a one-month debate, but that it becomes a continuous learning pressure, a continuous focus on how to raise Norwegian school. In this context, it's important that we learn from mistakes, and that we have the good examples in front of us. It requires transparency of results. The debate we have now received has come because we have gained transparency about the PISA and PIRLS results, but in Norwegian local authorities and Norwegian municipalities, the Government will not allow transparency on these results in the same way. It's the same thing as if the PISA and PIRLS results came in the closed envelope to the Storting, and then we had a closed debate. This is the government's policy in the municipalities. Why not more openness?
ParlaMint-NO_2008-01-30.ana.ud1816e179	First, I want to declare that I agree with Solberg's representative on a lot of what she says about the importance of knowledge and school, and several governments have for years wanted to strengthen the knowledge content of the school. That was the background for Reform 97, when we started school for six-year-olds, that was the background for the then State Council Gudmund Hernes to report to us on these various international studies, such as. PISA -- I remember very well that he justified it because we need that kind of international comparison -- that was the background for us to expand teacher training from three to four years in our time, and that was of course the background for Trond Giske to get a pay gap for the teachers and to help get national reading exams in school in 2000, and also for getting the quality selection reduced, just to see how we can raise the quality of school. So here, there's actually a broad consensus that we need to strengthen quality and learning in school. So I think we should welcome a little searching and a little open debate on how best to do it, because there is not always a clear link between resource efforts and results. That's why we have to find out why some schools and some municipalities are doing well, while other schools and other municipalities are not doing it as well. There is transparency about the national samples. They are made available to school owners, they are made available to parents, but they are also made available to the media — they are subject to the public law, so the newspapers who want to gather and set up rankings do so. But what we've wanted to avoid is to actively facilitate ranking, because it can easily lead to the wrong use of the numbers. But local government that wants to see numbers can do that, and newspapers that call get access to the numbers.
ParlaMint-NO_2008-01-30.ana.ud1816e189	So a local government that wants to find the results from the rest of the country to assess the good results in single schools elsewhere has nothing but an average from a municipality. Obviously, the Prime Minister cannot be aware of the secret he has. What's actually interesting is that once our school debate has started, it's because we have information that Norwegian school doesn't reach the goals we want it to achieve. Then we can say that the explanation of the history and cause of the Prime Minister is relatively selective and contains quite a number of errors, but there is another debate. The question is, what are we going to do in the future? I think we need to get open, honest debates that challenge every single school manager, who challenges within the school, on how to raise each class, and we need to know where to find the good examples so that you can learn more from it. That openness closes today's government, because there's not full transparency about the school results. I think the Prime Minister has to change that.
ParlaMint-NO_2008-01-30.ana.ud1816e194	It's openness. Municipalities, teachers, school owners get access to data, and newspapers that want to, can call and get access - rankings of schools have been in several newspapers I've read. What the authorities have said is that we do not want to facilitate active ranking, because the results are to be used in individual schools and municipalities. That is also why we have managed to carry out national tests in a good way, without conflict, without much boycott, as was the situation under the previous government. Otherwise, I agree that the important thing is to look ahead. We are already doing a lot of important things, for example. there will be several hours: 5 new hours and 7 new school hours for the autumn, with a weighting of, among others. math and Norwegian, which are among the subjects we're most struggling with here in Norway. We are now working on strengthening teacher training, and one of the suggestions we are looking at is to make demands on how many points teachers should have at different levels of education. [[The President cut off]]
ParlaMint-NO_2008-01-30.ana.ud1816e201	There will be four follow-up questions - first Anders Anundsen.
ParlaMint-NO_2008-01-30.ana.ud1816e204	Transparency about school outcomes is important to ensure that you have quality control at schools. I think basically the Stasminister answered Solberg's question quite well, because what he's doing is really to distance himself from the government council that Solhjell has previously said, that he doesn't want one to have transparency about these results. On the contrary, he has said that the only people who will have access to the results of the schools are the schools themselves and the students and parents who are linked to the individual school. That is why I think it is an important clarification if the Prime Minister of the Grand Duchy today can appear as the guarantor that there should be transparency about all the results of national tests for those who want transparency, including local decision-makers, the media and others.
ParlaMint-NO_2008-01-30.ana.ud1816e209	I believe that we should continue the practice this government has very successfully established, which means that we have much more peace, much more implementation in terms of national tests than the previous government has succeeded. When one had national tests under the previous government, it became boycott, strife and great problems, and one could not use them for what they were meant to be used for, namely, improving the quality of school. We have conducted national tests in close dialogue with students and teachers. Thus, we have ensured a publication that will allow them to be used in each school and in each municipality. But we haven't arranged for ranking, because it was a challenge and a problem with the previous system. I believe that the model we have chosen is a good model, and we want to continue it in dialogue with the teachers' and students' organisations. So today it's also possible to call, use the Public Health Act, and access the data, but we haven't arranged for ranking, just to avoid the fight and the problems we had the last time we had national tests.
ParlaMint-NO_2008-01-30.ana.ud1816e218	Dagrun Eriksen - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e221	I think it's right, as the Prime Minister says, that publication is happening anyway -- and it gets a little confusing. But I'm a little bit more concerned with the results that these national tests show. And then it's true that the Prime Minister says that we have some bad results in reading, writing and billing. A country we often compare with is Finland, and in these very areas - although I don't think they come out so well in all the other areas - they come out well. Then the Government's answer, as the Prime Minister also said today, is several hours of reading, writing and billing. In Finland, students have 680 hours. In Norway, they have 741 hours. Nevertheless, the government answers that we must have even more hours. Then I would like to ask: Will the Prime Minister not do as the Christian People's Party and the teachers want, bet on getting more teachers into the hours, so that we can get much better reading, writing and math classes in the hours we have?
ParlaMint-NO_2008-01-30.ana.ud1816e228	Firstly, I very much agree with the representative, Dagrun Eriksen, that it is important to see what we can use the tests for, both the national tests and the international tests. Then it's important that we don't paint the situation in Norwegian school. There's a lot of good things in Norwegian school. A lot of kids are learning a lot. We are e.g. especially good in subjects like English. There are many who also learn a lot of Norwegian and math, even though it's in those subjects some, about 20 pst., labors. In addition, Norwegian schools are better off than other countries' schools for equalising social inequalities, and that is an important quality. It has, among other things, in the follow-up to the Knowledge Promise, has been a broad consensus on, both in the present and in the previous government, that we should increase the number of hours in some skills subjects such as Norwegian and mathematics, and that promise follows up the Government. In addition, it's important to look at the quality and the content of the hours we have.
ParlaMint-NO_2008-01-30.ana.ud1816e235	Step Skei Grande - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e238	When the Left sat with the school office in Oslo, reading tests were systematically introduced. You tried how good the students were to read, you published the results, you went into those schools where you had a bad level, and you saw what you could do, you went into those schools where you had a good level, and you saw what you could learn from them that worked there. This systematic work has dramatically increased the reading skills of students living in Oslo. Sickness in those schools with a high proportion of minority-speaking people is very good for reading skills. This raised some resistance in the beginning, but now everyone is satisfied with it. The Prime Minister was today very busy showing humility, so now I'm going to give him a chance to do so. Can the Prime Minister admit that one has a lot to learn from the way Oslo School here is systematically working, and perhaps a bit of the way the Left headed school policy?
ParlaMint-NO_2008-01-30.ana.ud1816e245	I have a lot to learn from many schools in many municipalities, including in Oslo. That's why I've spent a lot of time meeting school people, and I'm going to spend an extra amount of time this year. I've had a lot of conversations with people who know the Oslo school well, and I'm a student of reading tests. When Trond Giske was Minister of Education, read tests were introduced nationally in 2000. It was an expression that the experiences we had in those municipalities where you had reading tests were good. I don't remember exactly if it was Oslo, but it was definitely, so we were also inspired by Oslo. So we listen and learn in a humble and gentle way.
ParlaMint-NO_2008-01-30.ana.ud1816e253	Ine Marie Eriksen Soreide - for follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e256	The government has taken a very strange approach to school outcomes. Political notice from the Ministry of Knowledge is that there should be a secret to what is public information. It's a very strange way of operating. It definitely doesn't make the Norwegian school any better. In today's Business last December 22nd, we could read that the Prime Minister would use the winter to find out what to do with the Norwegian school. The paper goes on to write: ‘He does not have to look beyond the borders, the Oslo School has found the answer,’ says Gudmund Hernes.’ In VG 24 January this year, the Director of the Education Centre in Oslo, Astrid Søgnen, follows up - she is also a member of the Workers' Party and has been State Secretary for the Workers' Party. You can read: ‘The study explains that an important part of the recipe is systematic testing, transparency of results and school requirements. The former highly central school politician in the Workers' Party believes that the Prime Minister has to copy the methods.’ My question is, Will the Prime Minister follow the clear advice of his party traps?
ParlaMint-NO_2008-01-30.ana.ud1816e273	First, I just want to publish the following: I have many good and interesting conversations both with Gudmund Hernes and with Astrid The Quest for Education Policy, and have talked to them for many years, even when they were responsible for education policy in the Ministry of Knowledge. Among the things that we agreed on then, and still agree, is that we need systematic testing. That is why it was Gudmund Hernes, the Workers' Party, who notified us of the PISA study and other international studies, among others. - or not least - for systematic testing. It was Trond Giske who introduced national reading tests in 2000 for systematic testing. But the national tests kept the previous government to ruin, because a scheme was made that led to full confrontation with School-Norway. We have now carried out national tests where the Public Health Act applies, where it is possible to access them. The national tests are not exempt from publication for the sake of national security, but we have not published them in such a way that it becomes an unnecessary provocative ranking. They are accessed in municipalities, schools, and the calling newspapers are also given access to the figures. And that's a solution. [[The President cut off]]
ParlaMint-NO_2008-01-30.ana.ud1816e280	Time's up. Let's move on to the next main question.
ParlaMint-NO_2008-01-30.ana.ud1816e283	The strong economic focus in the hospital sector has become a burden for patients. A man over 80 years old was discharged from the hospital a few days after an extensive operation. He asked nicely for a taxi, but had to take a bus with several crossings. The reason he received was the following: If we are to cost taxis on you, it means that another person who also has a life-threatening disease cannot be operated on. That's the law. The hospital has to pay if a patient is sent home in a taxi, it was said. Another patient was told that the syringe she was to receive now cost NOK 12 000. We have a lot of similar examples. These examples show that economic thinking in many ways permeates the entire hospital system today. It also shows that employees are in a very stressful situation that almost boils over. What does the Prime Minister think about this? Does this not show that a complete review of the funding system is absolutely necessary?
ParlaMint-NO_2008-01-30.ana.ud1816e296	I think it's very important that we get public examples that the Norwegian welfare community doesn't work. We get both in the media, through the Patient Ombudsman system, and in other ways knowledge of examples - without me being able to do well for everyone, there are at least too many examples - that people do not get the care, care and treatment they require with the Norwegian welfare society. It's unacceptable no matter how many examples we have of the opposite, because there's no doubt that there are hundreds of thousands of patients who get excellent treatment in Norwegian hospitals. Only in the three years of this government has the number of patients treated increased by 53,000 compared to what it was in the past. There has never been more work and has never been treated more patients in Norwegian hospitals than today. But it's a little bit of comfort to the patient who's not being treated, that we're setting a new record in the number of patients who get good treatment. And there's a lot of employees doing a huge job. Therefore, first of all, I am concerned that the patient Ombudsman scheme should be used and that deficiencies should be addressed when deficiencies are detected. I mean the media have a job to do with the individual examples of the failure of the system, and so there is no excuse that most people get a good offer. As far as the funding mechanism is concerned, there is always a dilemma that we have faced, and that is that if we have framework funding and adopt a framework, we have control of costs. But on the other hand, every patient becomes a cost to a hospital. When we introduce input-driven funding, we have less control of costs, but in return, every patient becomes a source of income for the hospitals. Finding that balance has never been quite easy. Now we've gone to 40 pst. It's a level I think also the Christian People's Party is a follower of. I think the important thing is that you have stability and predictability, and [[The President announces the next speaker]]
ParlaMint-NO_2008-01-30.ana.ud1816e305	The expectations were high when the Health Council announced that the year’s budget was so good that many more patients would receive treatment in different areas. The joy was short-lived. Only one week after the adoption of the Health Budget by Stortinget, the savings and closure proposals began to flow in. In fact, the least profitable and weakest groups of patients are being pushed out: chroniclers, the elderly, rehabilitation spaces, cancer patients and, in particular, rubrics. The need for better political governance and priority is evident, not only for patients but also for more and more under pressure. Today's funding system has got a hit page. Wages and salaries are in focus at the level of the department. What will the Prime Minister do to meet the expectations created by the Government or to give the population a more accurate picture of what they can expect? And as far as the funding system is concerned, does the Prime Minister really mean not to go through it?
ParlaMint-NO_2008-01-30.ana.ud1816e312	I believe that we should constantly look at and assess how the funding system can be improved. One of the key elements is the question of the balance between a framework finance and an input-driven financing. While in the past, under the previous government, you had 60 pst. price financing and 40 pst. On the frame, we now have the reverse: we have 40 pst. on the frame and 60 pst. on unit-price financing. I think it's a better balance. I think it's a balance that makes you a little less concerned with purely economic results. The Health Directorate has gone through the funding system. What I'm concerned about is that we still have to count and measure any system, because if we stop counting and measuring treated patients, at DRG points or different health care units, we lose any control with the health care system. So in addition to being concerned with a good funding system, we need to be concerned about more money -- we've given more money -- and make sure that we treat more patients than before.
ParlaMint-NO_2008-01-30.ana.ud1816e317	There will be three follow-up questions - first Siv Jensen.
ParlaMint-NO_2008-01-30.ana.ud1816e320	There is no doubt that hospitals are in a serious economic situation. In a debate between Health Minister Sylvia Brustad and me a few days ago Sylvia Brustad said straight out that she thought it was brilliant that two out of three emergency patients got immediate help--two out of three! This means that approx. 30 pst. patients who need emergency hospitalisation do not receive it. Does the Prime Minister think it is just as good as the Minister for Health thinks it is?
ParlaMint-NO_2008-01-30.ana.ud1816e327	I didn't hear that debate, but I'm pretty sure what the Minister of Health said -- that's at least the point -- is that two out of three admitted to Norwegian hospitals are immediate help patients, who get help right away. I've never heard any numbers that show that one of the three that have an acute need for help is not getting help. It just shows that most people who come to Norwegian hospitals are not allowed to wait. They're coming right in. Two out of three posts are instant insertions, so there's one third waiting. However, waiting times are quite stable and decrease slightly for important treatment groups.
ParlaMint-NO_2008-01-30.ana.ud1816e333	Bent Höie - to follow-up questions.
ParlaMint-NO_2008-01-30.ana.ud1816e336	There is no doubt that the situation in Norwegian hospitals is serious. There are many proposals now that will have a major impact on the health supply to the population, and waiting lists are increasing. That is a clear fact. Now we've just had a public sample that's produced a report that shows that almost half of the country's population lives in health regions that get too little cake compared to what they need. Almost 800 million. kr is distorted. This is a means of giving concrete results in a lower level of health provision. For example, in my health region, Health West, having a heart operation, there is a significantly less chance that a person will be given a real rehabilitation offer afterwards than if one lives in another health region. Will the Prime Minister ensure that the revised national budget will reach 800 million. kr to that part of the country's population that actually lives in these regions -- that that money is coming now, and that there is no need to cut in health [[The President announces the next speaker]]
ParlaMint-NO_2008-01-30.ana.ud1816e345	We have received the report from the Magnussen Committee, which shows - at least the sample claims - that there is still a division of health regions. We have fixed up a previous misalignment that the previous government let lie, so we have provided more money for the hospitals. As far as the picture is concerned elsewhere in the health system, the situation is always that the opposition is concerned about getting what is bad, and the government is concerned about getting what is good. But the truth is that both are true. There is very much that is good in the Norwegian health care system. It's an impressive number of people who are being treated. We spend more money than all of them, most of the other countries. There are 123 000 more outpatient consultations only from 2006 to 2007, and 53 000 more have been treated in hospitals. That's impressive numbers. But then I repeat: there is no comfort, there is no excuse for those people who are not being treated. There is a lack, and that is unacceptable. I believe that both the position and the opposition should work hard to obtain the shades in the hospital debate.
ParlaMint-NO_2008-01-30.ana.ud1816e352	Gunvald Ludwigsen for follow-up questions
ParlaMint-NO_2008-01-30.ana.ud1816e355	The hospital is under financial pressure, not least for the local hospital. But we have the Soria Moria statement, and it says that the government will ‘maintain a decentralised hospital offer’. [[...]]
ParlaMint-NO_2008-01-30.ana.ud1816e360	Yes, I can. We're not going to shut down local hospitals. Olav Gunnar Ballo has also sometimes spoken in the past not quite in line with the Soria Moria statement, so I think we have to live with that. It is important that there is a living debate, but the government's policy is firm. What is, on the other hand, a much more important and demanding debate is what the content of local hospitals should be. One of the challenges is that we need a better work sharing between hospitals. It's e.g. more than 50 hospitals operating colon cancer. Several health experts tell us that the quality of many hospitals is too poor, that there is too little patient base, and that it is therefore important to get a better division of work, more specialisation between hospitals. There may be strenuous shifts. This means that local hospitals can get involved in other things to ensure the quality of hospitals, because there may be too many hospitals with too many different things, with too poor quality, today. That debate has not been put to death, even if the local hospitals [[The President cut off]]
ParlaMint-NO_2008-01-30.ana.ud1816e367	Let's go to the next main question.
ParlaMint-NO_2008-01-30.ana.ud1816e370	On Utja last summer, the Prime Minister said that in Norway we would have and get the world's best school, and the tools were several hours in school and fruit and green. Just after the turn of the year, the Prime Minister has also said that we must have teachers, good teachers. Then the prime minister begins to approach what is said when summing up in Finland. Then you say, teachers, teachers, teachers! The point of saying ‘teachers’ is not just to say it, but to want it. Not least in these times, how many teachers in Norway bend their heads because they feel whipped, they know from us who walk around in Norwegian schools, that there is a great job here. People are on. They want it to be good. They will have demands, but they deserve to have demands where society also makes - that society shows respect for the fact that there are enough of these teachers, and that they get the systematic, competent further education they want to have, to cope with the pride they want in their profession. And then reality comes. Every time the Left - first alone and then together with the entire opposition - will have recruitment plans for teachers in the Norwegian school, it will be voted down by the government parties, who have full control over this. And every time the Left tries to raise the debate on a systematic continuing training of competence, it's down in Stortinget. But where we're starting to get through, there's a budgetary agreement between the Left and the bourgeois City Council in Oslo, because you realize that this is the crucial thing and the important thing. And in an area where the government actually wants something and not only has the right words, the kindergarten area, it shows construction -- and the money sucks, priority. When are we going to experience that the Prime Minister is giving priority to the most important thing in the school, good enough teachers, through the measures that have been repeatedly shown here in the Stortinget, and where is there action missing?
ParlaMint-NO_2008-01-30.ana.ud1816e379	I think it's very good that all the parties in the Storting are now engaged in strengthening the school, that there's a discussion about it, and that all the parties believe that an important part of it is strengthening the teacher's role. There is nothing new from the Labour Party. But we're a party that hasn't always thought about all of the thoughts we're going to think about, so we're going to think about new thoughts in dialogue with, among other things. the school’s people about how we, among other things, will have a better and strengthened teaching role. We did things before. Among other things, we extended teacher training from three to four years. We had a paycheck for teachers. But it's obvious that the things we've done are not enough, so we have to do something more and something new. Then we need a discussion about it. What we're doing is, first of all, a round of how we can strengthen teacher education. There are three proposals here which, at least, many think are good. One is more practice. I even met a teacher who was really surprised at how little he knew about the school - after four years at the teacher's school. The second is more specialization and depression. We are now considering a proposal to introduce a requirement of 60 credits in the subjects of Norwegian and mathematics for general teachers in order to enhance the quality of those subjects. There are also opportunities for more pedagogical learning - that is pedagogical - because it is simply important to be good at learning away. That's one of the things we're looking at when it comes to teacher training. Continuing training shall be strengthened. We've used up to 400 million. kr extra in the year as a follow-up to the Knowledge Lift. It was the Left and the Labour Party - and all the other parties - agree on. So it's a reinforcement. What is the question is whether we need more competent formal continuing education and less short courses. Well, then we look at it. I think it is a lot of good proposals - a lot happens - and we have to follow up and implement them. One thing we have to avoid is blackmailing the situation in school, because no one wants to start at a school that is produced as bad as it is. It's very good in Norwegian school. Many children learn a lot. It balances social differences. Much is good in Norwegian school, but it's missing.
