ParlaMint-NO_2008-05-21.ana.ud1553e22	The representative, Karin S. Woldseth, will present a proposal for a representative.
ParlaMint-NO_2008-05-21.ana.ud1553e129	Kari Kjönnaas Kjos - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e132	The government parties promised during the election campaign that they would eliminate poverty. Young and elderly people living with the minimum pension live below the defined poverty line, and several of these depend on housing support and social support. The Progress Party therefore believed that the Government would support us when we have repeatedly made proposals for a strong increase in the minimum pension so that individuals can live on their own pensions without being dependent on support. After the social security settlement last year, the minimum pensioners experienced a cut in the housing allowance, which meant that they did not get an increase in purchasing power. I understand that the Council of State cannot give concrete figures, even though he has here given signals that the social security scheme will be good. My question is yes/no question. Can the Council of State promise the more than 200,000 minimum pensioners that, overall, they will have significantly increased purchasing power after this social security settlement?
ParlaMint-NO_2008-05-21.ana.ud1553e139	I am very happy that the questioner does not define whether I have to answer yes or no, so I answer as I intend to answer. The answer to the question put by the representative is that everything indicates that all groups can expect a real wage increase this year. Wage increases are so large - and this gives an estimate of the social security situation, because it follows wage developments - that even if we record price increases in some areas, the overall price increase in 2008 is lower than the total wage increase. Then, normally, everyone can count on a real wage increase. And that's good, positive and great, and it's important that it also concerns the pensioners -- including the minimum pensioners. So there's every reason to stress that I don't agree with the presentation that all the minimum pensioners are poor. It's actually wrong. Many minimum pensioners state that they have a liberal and good economy. It must also be taken into account.
ParlaMint-NO_2008-05-21.ana.ud1553e148	The story goes to the next main question - from the representative Gunnar Gundersen.
ParlaMint-NO_2008-05-21.ana.ud1553e151	My question goes to Councillor Solhjell. The Vice-Chairman of the Education Association, Per Aahlin, has been quite as open about the situation in school lately. He says, among other things:\t\t You can "I think it's sad. Prime Minister Jens Stoltenberg's goal is for Norway to have the best school in the world. Creating the world's best school without qualified teachers is just nonsense.' It's a recruitment crisis in Norwegian school. It's tried to draw the right and the rest of the opposition's attention to quite a long time. However, all concerns and proposals made have been rejected and voted down by the government parties. It is now reported that there is a shortage of 3,500 teachers, that preschool teachers are on their way into school, and that school owners employ people without approved education. This applies in particular to professional subjects. These, of course, are entitled to take up education. The problem is, according to the Vice President of the Federation of Education, Aahlin, that the requirements are not followed up. This puts the problem of competence and recruitment at school, and it breaks down the status of the teacher and the school. That's the opposite of what we need. The status of the teacher and the school must be increased rapidly, and it is urgent. Several hours at school will require more qualified teachers. Three lost years in school policy is enough. The councils have said that he takes the situation seriously and keeps it under observation. Now, however, is the time for action. What are the five concrete measures taken by the Government to ensure a school of qualified teachers?
ParlaMint-NO_2008-05-21.ana.ud1553e165	Ensuring enough teachers is one of the most important issues in school policy for years to come. That's why we work a lot with both of them. In the long term, we face a major recruitment challenge, including: because many of the teachers are over 55 years of age and will soon retire, and we have too little access to teacher training today. The most important long-term answer is to get to grips with the nature of teacher training and make it even more attractive than today, while at the same time ensuring that the school becomes a more attractive workplace that can recruit over time. But we also have to act quickly and do other important things. Let me give you some examples of things that have been done, things that have been done this year, and things that we'll deal with in the future. Firstly, we have now introduced a requirement to have one year of further education - an in-depth study in key subjects such as Norwegian mathematics and English - in order to be able to teach in the youth sphere. It is important in order to gain the skills of the central subject of youth. We have a large continuing training lift of 375 million. kr in the year that we have also continued from previous years, and similar amounts are used by local authorities. It makes it more attractive to work in school, and it allows teachers to develop further. In addition, we are working on a message about teacher training and other measures that will focus on how to recruit more people for years to come.
ParlaMint-NO_2008-05-21.ana.ud1553e174	This government is an expert in big business, but it doesn't come out very much. They talk about ‘one of the most important tasks’ and ‘in the long term’, but this is about solving the problem today. And I can give the Council five concrete measures. He was talking about the level of competence. But there have been no signals from the Government if you want to extend it for the next three years. That's what the opposition wants. Action 2: working with the business community, lecturer 2 positions. Action 3: the cancellation of parts of the student loan for the completion of education for teacher students. Action 4: bonus and working time schemes for teachers over 55 years of age. Action 5: Strengthened school management. The question then arises: Which of these measures will the Council of State address immediately? They're already down in the Storting, but it's pretty likely to turn around.
ParlaMint-NO_2008-05-21.ana.ud1553e181	Important measures are being implemented today. So today's main picture is that we have enough qualified teachers, but we have to get the teacher training search up, so that we have enough teachers in the future too, and we have to make sure that many of the teachers who don't work in the school find it attractive and exciting to come back again. This means that continuing training, which we carry out, the possibility of improving skills and the existence of other good conditions, is necessary. There are also other important measures. For example, I agree with the representative that assessing additional opportunities for schoolleaders training is an important measure. Several of these measures will come back soon, when we present a report on quality in school.
ParlaMint-NO_2008-05-21.ana.ud1553e186	There will be four follow-up questions - first Anders Anundsen.
ParlaMint-NO_2008-05-21.ana.ud1553e189	This is a matter that the Progress Party and an overall opposition have raised many times in this Chamber, because we have pointed to the challenge of getting fewer and fewer people who are learning as teachers. We are getting more and more teachers who choose other professions, and we have teachers who now belong to a generation that will soon retire. For the first time, the Council of State is now saying that this is a major recruitment challenge, and I think we should be pleased that the Council of State and the Government are now recognising for once that this is a major recruitment challenge. But it is strange that all the proposals that a single opposition has made in this room are voted down by the government that has Solhjell as the Council of Knowledge, and that the Council of State itself chooses to focus on old actions instead of new ones to address these challenges. How will the Council of State ensure that the quality of initial training is optimised when we are faced with a situation where there are increasing numbers of vacancies in the school?
ParlaMint-NO_2008-05-21.ana.ud1553e196	Repeatedly, I have said that we are facing a major recruitment challenge in the years to come. It requires us to implement the measures we have already seen, such as better opportunities for continuing training, which makes it more attractive to work in school, and it requires us to work systematically to ensure even better recruitment in the future. Then one of the core questions is teacher training. For too long we have had knowledge that we need to improve teacher training, without it being taken care of. Now we're going through how we can make it more attractive, but also to qualify the candidates who are going to school to become even better teachers. In addition, we need to look at other recruitment tools so that it becomes attractive to work in school, and not least that one can get back to school with many of those who have graduated as teachers but who work elsewhere. It's a big, common challenge that we'll have for years to come.
ParlaMint-NO_2008-05-21.ana.ud1553e202	Dagrun Eriksen - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e205	The Christian People's Party is also concerned with getting good enough teachers. That is why I was very surprised when an overall opposition was ready to continue to invest in continuing education, even though the period is now over, and registered that the government said no to it. We have a huge challenge now. There is talk of a message about the teacher’s training and the role of the teacher. It's too late. We already need to put some immediate action into the teacher training we have, because every year we are now producing teachers who are going out to Norwegian school, but I haven't seen any action to put in immediate action to make any changes that make us get better teachers and more teachers into what is. Rather, as previous respondents have said, the government has said no to recruitment plans, they have said no to both the one and the other. My question is, isn't the right approach now to focus on it and not introduce even more hours in school that will make us even more lacking teachers?
ParlaMint-NO_2008-05-21.ana.ud1553e217	It's completely wrong. On the contrary, it has been implemented and implemented, a series of immediate measures aimed at teacher training, particularly in the light of a critical report on teacher training which came several years ago. My predecessors start a series of trials when it comes to invalid teacher training, how to organise education and training differently and better. We also have a major and important project to guide newcomers in the first few years. Unfortunately, we know that some of the people who start working in the school will stop quite a short time later. One reason is that they get too little and too poor follow-up out in school. That is why it is important and necessary. In the case of continuing education and training, in 2008 the funds for continuing education and training were released in the budget for 2008. To what extent there will be a commitment to continuing education next year, we will return to the budget for 2009.
ParlaMint-NO_2008-05-21.ana.ud1553e224	Odd Einar Doorroom - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e227	The council is a general man, so he both will, dreams about it and wants it, but he doesn't. For it is the case in this Chamber that when proposals are made to assure us immediately that the current teacher training follows up the promise of knowledge, it is downrooted by the red-greens. When a proposal for a national recruitment plan is put forward, it is voted down by the red-green ones. When proposals are made to ensure better working conditions for seniors, red-greens vote for them. Then, according to the predecessor, the Council of State came to the covered table. Since the table was covered, this representative's observation is that the council has enormous energy in the kindergarten. Taking the party leader to a place in the East to tell her to sneak up a compulsory school for five-year-olds, the council has energy to do, but to make sure that we recruit enough teachers and promote a national recruitment plan, he doesn't have the energy to do it. When will the Council of State bring together the National Recruitment Plan we need to get enough Norwegian schoolteachers, who build status, who provide systematic further training, and who ensure that seniors get a handshake from the Council of State?
ParlaMint-NO_2008-05-21.ana.ud1553e236	The SV and the Government are lucky to have energy to prioritize both school and kindergarten, not just one of them. That is why we are now actively working on recruitment and implementing a number of measures in the area of teacher training, continuing education and training, this year, and we are working on a big message where we are looking at how the future teacher role and teacher training can be designed to ensure a good recruitment for years to come. In addition, we're forced to think forward. The fantastically important and good offer that children in kindergarten have today, we now know that there is a connection with better learning in school. Children who have gone to kindergarten get better results in reading at school. How are we going to develop this further, so that there is a good supply for everyone on the children's own premises and ensure that there is still good learning in the school? Focusing on both kindergarten, schooling and the recruitment of teachers is necessary if we are to ensure a good schooling in Norway in the future.
ParlaMint-NO_2008-05-21.ana.ud1553e243	Bent Höie - to follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e246	The world’s best school requires the world’s best teachers. The head of the Federation of Education, Helga Hjetland, is quite right when she in today's VG states that Prime Minister Jens Stoltenberg is more concerned with financing his own election campaign than with creating the world's best school. She says, "I feel that the schoolwork is perplexing around Jens Stoltenberg and he is sitting and watching it fall." - It's the description of what people who experience everyday life in Norwegian school experience here and now, today. It is not useful that the Government repeatedly points out that the Government is thinking, that the Government is working on, that the Government is assessing - when Norwegian school today is experiencing a recruitment crisis that will only reinforce itself every year, because there have now been three lost years with SV in the Ministry of Knowledge. When will the Government take over the exposure of the opposition to the Storting and vote in favour of our proposals for: [[The President cut off]]
ParlaMint-NO_2008-05-21.ana.ud1553e256	Government Board Vegar Solhjell has the floor!
ParlaMint-NO_2008-05-21.ana.ud1553e259	The Prime Minister has opposed the idea of focusing on the school and giving priority to the school. Then the situation is that under the previous government we experienced dramatic cuts in the transfers to the municipalities, which are the ones that finance the schools, with the result that there were fewer teachers compared to eleven years ago in Skule-Noreg. Now these developments have stabilised, and the transfers to the municipalities are strengthened under this government - so the developments have turned around. Then we're going to make a strong commitment to the school today. There will be several hours in childhood, there will be further training for teachers, and there will be higher requirements for the competence of teachers to work at the youth level. We have to do more in the years ahead. We need to be more clear about early efforts, everyone needs to get basic knowledge early, and we need to bet even more on the teachers, who are so important to what students are learning.
ParlaMint-NO_2008-05-21.ana.ud1553e268	Let's move on to the next main question.
ParlaMint-NO_2008-05-21.ana.ud1553e272	I also have a question for the Minister of Knowledge. I was amazed when I heard the Minister of Knowledge and the Minister of Finance's last play. Of all the things it was possible to grasp in the Norwegian school, one would now sneak into forced school start for the five-year-olds in the kindergarten. Then I thought to myself: in all days, is this the first council of states to be able to get on? One thing is the ideology of this, who's responsible for the children, and who's going to decide, and how much mandatory it should be -- there I think the SV and the Christian People's Party are fundamentally disagreeable, so we can leave that debate behind. But does the Minister of Knowledge really think that this will give more glowing and more motivated students? We know today that we have a frightening high drop-out in high school, with unmotivated students, with many school-tired students in high school. I believe this is one of the things we should have taken care of. We often compare with Finland. I know that the Council of State has been on a study trip to Finland, but I wonder if it really has made any impression on him. In Finland, when you are seven years old, you start school and you have a preschool for six-year-olds on a voluntary basis. In the case of school hours per person. years, they have 61 hours less a year -- and that was before the government began to increase. Finland is often considered to have a good knowledge school. So maybe we should look a little bit more at what they're doing. Everything suggests at least that more time does not give more motivation or knowledge. In addition, the Christian People's Party believes that this proposal will dampen the rest of the kindergarten for pedagogues. The 0.4-year-olds will be harmed because the nursery has to invest resources in the last year. We believe that the whole kindergarten needs educational follow-up. The whole proposal testifies to an incredibly clever view of knowledge, that it is in kindergarten and school you learn and not elsewhere. SV agreed with us that the six-year-olds should not enter school. What happened to SV?
ParlaMint-NO_2008-05-21.ana.ud1553e285	My visit to Finland was very inspiring, not least when the emphasis they put on in Finland is that young people who need special help and support must get it as early as possible in the kindergarten, that everyone has an iboane apprenticeship and a desire to get out of school, which one must also get as early as possible in kindergarten and early school. This is about recognising the amazing work being done in kindergarten today, where a child's natural curiosity and learning ability is used as a starting point for knowledge, and where one uses the natural situations in which they are, to convey learning and knowledge. So we now know that there's a clear connection between going to kindergarten and later learning. Children who go to kindergarten have better results in reading at the age of five. We know from considerable research that it plays a role to go to kindergarten with a good quality offer. During this period, the government has built tens of thousands of new kindergartens, so that almost everyone - 98.4 pst. - to last year's place. We've seen the price down sharply. It is now possible to give you the right to a children's garden space, while at the same time improving and developing quality. 95 pst. by parents to have their five-year-olds in kindergarten. I believe that we need a debate on further developing this offer towards the next enlargement period, so that we can focus on language stimulation, social skills, etc. for five-year-olds, which provides a good basis for later learning. That offer can apply to everyone, so that everyone gets a good starting point for the start of the school. It will be an important knowledge effort. My basic view is that kids love to learn. Kids love to be stimulated on their own premises. We can make better use of that in the future.
ParlaMint-NO_2008-05-21.ana.ud1553e296	I feel like I've heard this debate before. That's exactly what we were talking about when the six-year-olds were going to school: we were going to motivate the apprenticeship. We were to use the time and take advantage of it. But what has happened? Now we've been through a lot of coal after the six-year-olds got into school. You can go into any high school and see if there's more motivation. Has it happened that we wanted to happen when the six-year-olds came into school? It's all wrong. If that's the case, now we have 700 million. kr, to which VG has prescribed it - it's not always we're going to trust VG, but we get to take the number we've got from them - this shouldn't have been inserted, for example. in high school to be able to get more motivated students there, get more teachers in who can create something? I think this is going to be a completely wrong priority. Does not the Council of State think that there are other things that are more important to grasp before another extra coal is introduced into school?
ParlaMint-NO_2008-05-21.ana.ud1553e303	We have major challenges in the youth school and further education. It's a far too high non-response. That's pretty dramatic numbers. Many fell mentally from during youth school and did not get the practical challenges they should have had, and do not take any motivation into account. But I don't think that's because they've been getting too much knowledge and learning from previous years, but because they often bring too little of it. Many students in the youth school report that they are getting new eight grades that lack entirely elementary reading and computing skills and social skills. Lessons from Finland and other countries indicate that we need to address the challenges at an early stage. Everyone who wears something needs to be followed up and helped. Therefore, the kindergarten effort is so important for the knowledge and learning effort in the school. But we also need to strengthen the efforts of the early school years, especially against language development and reading, which are so important to everything else. I think that if you can give this stimulus in a good way, it can give us more knowledge, not less.
ParlaMint-NO_2008-05-21.ana.ud1553e308	There will be follow-up questions - first Anders Anundsen.
ParlaMint-NO_2008-05-21.ana.ud1553e311	Energy focus is important for a Council of States of Knowledge. The Council of State itself says that there are major challenges within the existing school cycle. The level of knowledge of high school graduates is deficient in many areas. He said it himself right now. Then we get into a situation where the Council of State, instead of focusing on knowledge in school, combines kindergarten and school in a mandatory preschool for five-year-olds. It's a strange energy focuser. The board believes kindergarten should be kindergarten, school should be school. In order to improve the quality of the school, the State Council itself has announced that he will be submitting his own quality report in June. I'm worried if the quality message in June is that we're going to mix kindergarten and school instead of focusing on the quality of school, where we're going to primarily disseminate knowledge. I have a direct challenge for the Council of State: Can he confirm that it is not the government's policy to mix kindergarten and school in a forced preschool for five-year-olds?
ParlaMint-NO_2008-05-21.ana.ud1553e320	We just have to have more ambitions than the Progress Party here has. Learning starts long before the child starts school, and continues long after it has finished compulsory school. Therefore, we need to think about the knowledge policy of kindergarten through elementary school, continuing education, higher education, continuing education and lifelong learning. We need energy to think about all the parts of that race, not just one part of it. The ball is the government's main priority when it comes to improvement, because we've got results that make us have to deal with it. We are submitting a quality report in a month, with extensive efforts on the school run. There is no current government policy, as stated in the Soria Moria Declaration, to introduce a mandatory pre-sole offer for five-year-olds during this period, but there will be an important and necessary discussion into the next major period.
ParlaMint-NO_2008-05-21.ana.ud1553e327	Gunnar Gundersen - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e330	When this proposal was presented in Dagbladet, the council said some interesting things. He said that there should be a requirement for skilled educators, that the promises should not be fulfilled until the end of the next growing period - then he is in his ace, since he is the next person who is going to comply with this - and that he has thought a lot about how the offer should be designed. So he says this in a situation where preschool teachers are in primary school, so there is a lack of competence in kindergarten. There's a lack of teachers already, and if we go back to kindergarten for preschool teachers, it doesn't get any better in school. I could have thought of a knowledge minister who had rather thought a lot about how he would fulfill the promises and expectations that have already been created, and meet the challenges that we face in school today, instead of creating new expectations.
ParlaMint-NO_2008-05-21.ana.ud1553e335	I can comfort the representative that I have the capacity to think a lot about many different things. I repeat, we have to have bigger ambitions than just thinking about one thing. Education and knowledge are about the entire course, from children to further education and lifelong learning. Then, in a short time, the government will present a big message about quality in school. We also present a big message about language, which will contain extensive measures when it comes to language betting in schools, because we have discovered that reading skills in Norway are too bad for students. It is very serious because it will have consequences for all other subjects and for the possibilities of working life and adult life for children later. But in addition, we need a discussion about how we can make use of kindergartens as a basis for learning better than we already do. Right has a good tradition of being a brake pad when it comes to the development of kindergartens, and it's not surprising that they've intended to continue with it. But that discussion is necessary for all the others who are occupied with knowledge.
ParlaMint-NO_2008-05-21.ana.ud1553e342	President: Odd Einar Dørum - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e346	What we're facing right now is SV in a known freestyle. Instead of doing the job where he is now, as a school minister, the Council of State dreams of a compulsory school obligation for five-year-olds - 12 hours a week is what you're supposed to have. If you're going to call it what it is, it's SV's known distrust that parents can set up and cooperate. When the Council of State is on this dream tour with the Minister of Finance and the party leader, he fails to provide the dream of those who are in Norwegian school today - who, according to the Prime Minister, are going to get the world's best school. He doesn't make sure we get school buildings that are fresh. He has removed the interest compensation scheme that could have provided it. He does not make a national recruitment plan for teachers, which everyone wants. He does not focus on systematic further training of teachers, as our neighbouring country does, and which is carried out in Oslo in negotiations between the Left and the City Council, but which the red-green parties are unable to do. When will the actions come and the heart come also in the case of school, and not just the kindergarten--for there's the heart full, that's what we all record?
ParlaMint-NO_2008-05-21.ana.ud1553e353	The actions are there, and there are going to be more. A total of NOK 375 million is spent on continuing training of teachers throughout the country, as well as many municipalities and counties. So it's Dørum asking, it's already happening today, and we'll come back to the budget with any bets for later years. There will be five new schoolrooms in the first to fourth stages in Norwegian, math and English from the fall, which will give several hours to the whole central subject. We have introduced stricter requirements for in-depth training for young people and a number of other initiatives that are just making sure that we are gradually getting a better education. Other things will come in the quality message later, because the bet you have made now, have been important, but there will be even greater demands on the school. But in addition to that, we have to look at a babysitting facility, a preschool facility in charge of kindergarten, because we know that kindergarten plays a role for learning and for the results of school.
ParlaMint-NO_2008-05-21.ana.ud1553e358	Bjørg Tørersdal - for follow-up questions.
ParlaMint-NO_2008-05-21.ana.ud1553e361	The Christian People's Party is concerned that children should be children, that kindergarten should be kindergarten and not primarily preschool, and that learning should take place primarily through play and free activities. The Christian People's Party believes that the students come quickly enough on the school bench and in organized training. The system we have for today's six-year-olds was an exciting project, there's no reason to lower the school further. I record that the Minister of Knowledge has drawn up a debate that can be understood so that it will go from a right to a nursery place to an obligation to a nursery place. In addition, he talks about the content of kindergarten: there will be more focus on learning, the ‘school’ learning. Many of us see it as a sneaking-in of a compulsory school start. Is it so to understand that the red-green strategy in the future is to introduce an obligation to kindergarten, which gets more ‘school’ content, i.e. school start for five-year-olds?
ParlaMint-NO_2008-05-21.ana.ud1553e368	I'm against a previous level start. I'm also against a sobbing start of the previous level. On the other hand, I am very much in favour of the nursery service we have, and I believe that it can be done even better and apply even more. One has to ask himself the question: Does the Christian People's Party think that children today are not having children? 95 pst. by all parents, children should go to kindergarten, which already has an offer that focuses on learning. Play is the natural method and access to learning for young children. Everyone who has young children knows a lot about this. In addition, it is that incentivising language development in the natural situation of children is in, and in other ways use kindergarten as an arena for learning, it is already happening today, but we can develop the supply even more and provide a good basis for starting school to even more.
ParlaMint-NO_2008-05-21.ana.ud1553e373	Let's move on to the next main question.
ParlaMint-NO_2008-05-21.ana.ud1553e376	I have a question for the Grande Røys Council. On 13 March this year, the Left held a well-attended consultation on the Data Storage Directive here at Stortinget. There were many independent participants from business, academia, the police, the Ministry of Justice, the Ministry of Transport and Data Protection. Of course, the Data Protection Authority was present; they have a key role to play in important debates on privacy challenges. Through the Official Journal of Bergen and Nettavisen, it has been found that the Director of the Data Protection Authority, Georg Apenes, has been punished by the Ministry after the hearing because he expressed the opinion of the Data Protection Authority on the matter. Apenes writes in a letter to the ministry - which is among the public letters: ‘The management of this case may leave the impression that the Ministry of Justice is not familiar with the independent role of the Data Protection Authority and the intended independent vote in matters where the Ministry has opinions other than the Data Protection Authority. The procedure in this case seems to have the aim of influencing how I and the Data Protection Agency as an institution for the future present our views and address our arguments.’ As this State Council is responsible for the Data Protection Authority, I wonder if she is familiar with the important role of the Data Protection Authority in terms of data protection, and whether she is familiar with this way of dealing with supervision, supervision that is to have an independent role in relation to the Ministry, and whether she is satisfied with the way this has been dealt with.
ParlaMint-NO_2008-05-21.ana.ud1553e390	I am absolutely very pleased with the role of the Data Protection Authority in the public debate on privacy. This is actually in their instructions. It is also the case that politicians should not in any way instruct the Data Protection Authority in individual cases or individual decisions. It says the Data Protection Agency quite freely and autonomously - as they should. I have been very busy in my reign to strengthen the Data Protection Authority's ability to be a stronger spokesman for privacy. We've strengthened the data protection work by over 10 million. kr. Not all of them have gone to the Swedish Data Protection Agency, because we have also created a Data Protection Commission, in close cooperation with, among others. Left. But it is quite obvious that we are totally dependent on the fact that the Data Protection Authority has a strong, free and clear role and talks about privacy, but I also want many more people to be in that arena. For this I am also pleased that the Left organized the seminar, which was well attended, and where my department was present. Because we need to debate different issues and how they affect the privacy of each one. Then I would like to say - without going into any detail about the content of the leadership talks that my department has with its leaders in the media - that it is common to have such conversations once a year. Then one takes up several matters, but the Ministry of Renewal and Administration has in no way felt that one has given someone retribution in any conversation. On the contrary, the Swedish Data Protection Authority has great support in the Ministry of Renewal and Administration for its work.
ParlaMint-NO_2008-05-21.ana.ud1553e399	I am not familiar with what is shown in conversations, but there are some public correspondence regarding this matter. One of the letters is from the Departmental Councils of the Ministry of Justice, where he writes to the Director of Data Protection: “The intention to raise the matter has been achieved with this, and we do not see the need to proceed with the matter.” What I'm asking is, what is the purpose of dealing with the matter, what is the achievement, and what was it that you wanted to achieve in trying to correct a free oversight in this way?
ParlaMint-NO_2008-05-21.ana.ud1553e409	Exchanges of letters between the Data Protection Authority and the Ministry of Justice almost require the Ministry of Justice and the Minister of Justice to take responsibility for the reply. I can't easily answer for that. I haven't been part of that correspondence, it's outside my area. My task is to strengthen the Data Protection Authority and the work they do in the area of privacy. We have. We have had great cooperation in these years, including: with campaigns aimed at children and young people, which we have also expanded with a film project that we launched in March, and which we will have new projects in connection with beyond the fall, including an art project. We have been recognized abroad for the way we have dealt with the problem with children and young people. I will continue to strengthen my work with the Swedish Data Protection Authority, to which I give a great deal of recognition.
ParlaMint-NO_2008-05-21.ana.ud1553e414	There'll be three follow-up questions-- first Åge Starheim.
