ParlaMint-NO_2008-05-30.ana.ud383e55	The representative, Mr Harald T. Nesvik, will present a proposal for a representative.
ParlaMint-NO_2008-05-30.ana.ud383e244	I would like to thank the Committee and the rapporteur for their good work and for their good feedback. In the big message of things, the main theme is how we take care of history in order to learn, both the story we've put behind us, and the story as it's being created today. How to take care of, further develop and disseminate the documentation we have on the past and present is the main task of the university museums. There has been considerable agreement on the need to look at the situation of the university museums. I would particularly like to refer to the Riksrevision, which in a report to the Stortinget in the autumn of 2003 pointed out that many of the collections were not kept under sufficiently good conditions and that the management of the university museums was not good enough. The message states that research is a core task at the university museums. The museums play a central role in research on cultural and natural heritage and as a provider of knowledge for cultural memory and nature management. The University Museums and its other museums are in great need of new recruitment of professionals in the fields of research, management and dissemination. The Ministry will therefore ask the Norwegian Research Council to develop a national R & D effort aimed at the University Museums and Archaeological Museums in Stavanger. The initiative will strengthen the research activities of the museums, but will also stimulate cooperation with other national and international research environments and with other museums, to which several of the debaters have been involved. I want to link a special comment to the Archaeological Museum in Stavanger. There is now a process in the direction that this museum will become a university museum linked to the University of Stavanger. It's a development I think is absolutely right, and it's positive that the committee is also positive to it. The threat to biodiversity, for example: from man-made climate change is one of the areas where university museums can really make a difference. For how can we understand the effects of climate change on nature if we do not know the species present in the ecosystem? Natural history collections provide the most comprehensive documentation of diversity of species in Norwegian territory, and the four natural history museums occupy a total of 12 million objects and observations. Just about two million of these are digitized. The collections of the museums are digitised in a variety of databases, which do not communicate well with each other. There is therefore a need for joint solutions that allow the overall data of the university museums to be used for research purposes. What the museums do practically through what they choose to collect says better than anything else they want to convey. The growth of collections entails long-term responsibility for the preservation, securing, documentation and making available of the material. The Ministry of Knowledge will therefore provide guidance in the 2009 letters of allocation on the need to develop separate collection plans at each university museum which must be seen in the context of the museum’s priority areas of research, management and dissemination. The collections are constantly changing. There is a need for increased skills in taxonomy and conservation in order to manage both old and new materials in a professionally sound manner. Here's the big challenge. In this context, it is necessary to stimulate training capacity to meet the need for competence. Cultural historical knowledge is important for understanding society and the cultural meetings that take place both nationally and internationally. The Ministry sees the need for action to raise the status of dissemination tasks. For the museums, we want to introduce our own economic instruments to promote dissemination. Premiering for cooperation with the school will be a natural part of such a scheme. Horizontal exhibitions have contributed to increased public inflows and increased cooperation and have enhanced the dissemination skills of the museums. The government will therefore facilitate the application of university museums for support for water exhibitions. I am open to dialogue with the museums on how such a scheme should be implemented. That museums have attractive basic exhibitions is very important in communicating to the public. It is unfortunate that several of these have not been renewed for about 30 years. In the message, I signal that universities spend enough money on this in their internal funding system. The strength of the museums is that they can display authentic objects in their dissemination. No other form of dissemination can fully replace this. Nevertheless, it has to be recognised that there is a great deal of untapped opportunities in digital communication. There is no doubt that we have major challenges in construction at the scientific museums. This includes both improving the storage conditions of the collections themselves and more appropriate premises for the public sector. In the Communication, we take initiatives towards universities to bring forward plans for new buildings and upgrades, and I am very pleased that universities take this seriously. The aim of the Communication has been to outline the main challenges of the University Museums and to propose measures to address them. I look forward to debate and follow-up.
ParlaMint-NO_2008-05-30.ana.ud383e284	It's going to be line change.
ParlaMint-NO_2008-05-30.ana.ud383e288	Cooperation between science centres and university museums is a theme addressed by this Communication. On different occasions, not least at the time of the opening of the White Factory in Sandnes, the Council of State itself has expressed the importance of establishing knowledge centres in this country. The report states that the Ministry states that the science centres will cooperate with the university museums and that this will be a prerequisite for the allocation of state resources. The Party for Progress and the Right considers that such cooperation must be based on common interests. Can the Council of State order cooperation? If she can't cancel it, I ask the question: doesn't the Council of State see that in some cases such a requirement can prevent the widespread real- and technology communication that is already taking place at many of our science centres?
ParlaMint-NO_2008-05-30.ana.ud383e297	Governments may order this to be imposed. What we want is cooperation. We want to stimulate it. However, there is no absolute requirement for cooperation in relation to funding. What's important here is to stimulate cooperation. We're going to discuss this in our governance dialogue with the university museums. As far as science centres are concerned, we will seek good cooperation with what can be very exciting partners, not least for children and young people.
ParlaMint-NO_2008-05-30.ana.ud383e304	Storing messages can also be used to signal concrete financial escalation. The research message was an example of that. There was a signal of the share of GDP going to research by 2010 and a plan for that escalation was outlined. My question, therefore, is why, when it was not in this big message initially, the Government cannot support the opposition's proposal to promote a concrete financial escalation plan in order to make the measures outlined in the notification real for the university museums. There is no doubt, as the Council of State itself has also pointed out, that there are major challenges related to buildings, magazines and storage conditions.
ParlaMint-NO_2008-05-30.ana.ud383e309	In the future, we will put a lot of effort into getting better conditions for the university museums, both in terms of the building and storage challenges. What we do first, however, is to provide the necessary information. What we've asked all the museums, with the universities as co-players, to do, are real plans about the needs, so that we can see this in a context. It rarely happens to be money in a shopping message. A wholesale notification is an important basis for subsequent appropriations and any escalations. I will, of course, come back to this in budgetary terms. But we need the good foundation first. We've now asked for that, and we're about to get it right in place.
ParlaMint-NO_2008-05-30.ana.ud383e318	The Committee has underlined the plans for a glasshouse/new building for living material at the Natural History Museum in Tøjene, also in order to ensure access to a witness centre for the public, for young people. It is also known that it is possible to obtain significant private donations. When I deal with this matter in particular, it's because we're celebrating the 200th anniversary of the Royal Frederiks University, the University of Oslo, in 2011. A university marker could be an important opportunity to do what we normally do in Norway, namely take a vow. We like to raise in many ways. In connection with the Union marking, we took a promise, so that the capital, among other things, was made more beautiful. It is on such occasions that we in Norway often look a little away from most of it and take a lift. Is the Council of State completely alien to the idea of taking a vow to mark the university anniversary in 2011?
ParlaMint-NO_2008-05-30.ana.ud383e327	I would like to remind the representative of Dørum that we are actually taking a very big lift for the buildings at Karl Johan, and Aulaen, in connection with the 2011 university anniversary. In the case of the Tøjen and the greenhouse, as the representative also mentioned, it has been about private gifts. I want to be very open to it, of course, and would like to contribute to making these plans concrete. Apart from that, of course, I cannot say anything that will have budgetary implications for us. But I'll do my best to get to a good development -- especially if there comes private gifts for this very purpose.
ParlaMint-NO_2008-05-30.ana.ud383e334	I want to drill a little further in what the representative Dørum said. If there's something we agree on, it's that a museum should live. What's more alive than a greenhouse? There's been a promise of 60 million. kr from private donors for this purpose, which will be further reinforced by the gift-enhancing scheme. In total, we're up to 105 million. for the time being, kr. But there's a pressure in the market. The anniversary is in 2011, so we don't have much time if we want to show that this is important. In addition, what the Council of State can contribute to the budget for 2009. She can say, this we will! But if there is no funding for the 2009 budget, if the majority of the population may not have the will to prioritize this for the anniversary, could it be that the Council of State also share our concerns that some of the private donors are withdrawing?
ParlaMint-NO_2008-05-30.ana.ud383e343	I am very much in favour of both initiating and inviting private donors for this kind of purpose, both university purposes and research purposes. There are many places in the country where there is a need in our area. We absolutely need to make important priorities of what the state is going to be involved in when it comes to rather precarious situations, for example. in Bergen, who has rightly called for more attention to be paid to their building challenges. Of course, as I said to the representative, Dørum, I want to take seriously the recordings that are coming, and the opportunities that are offered, considering any private gifts to this very thing on Tøen.
ParlaMint-NO_2008-05-30.ana.ud383e350	In recent days it has become clear that the initiative taken by the Left in Oslo to smoke some museums has also led the Minister of Culture to say that the National Museum should be moved to the Western Railway. What has taken the night sleep from me after it was finished is the fear that it means that the Minister of Culture believes that the Cultural History Museum should be where it is. This morning, when I prepared for this debate, I went through my own archive and found all the investigations I have -- just in my archive -- about the dreams, visions and plans of a new cultural historical museum in Bjørvika or in Sørenga. My question is whether the Council of State can now give me back the night sleep by making sure that the Minister of Culture's fiftieth smoking of the National Museum will not rock at the university museums' plans to get a new cultural historical museum.
ParlaMint-NO_2008-05-30.ana.ud383e359	I can reassure the representative Skei Grande that my responsibility - the responsibility I feel for, among other things. The Cultural History Museum at the University of Oslo - is huge, and I am very aware of the process that has been going on. In fact, these days we have received a very good and thorough investigation from the University of Oslo about the need. It's important first to get it properly mapped with regard to all the things that have to be done gradually with the construction and the location. The need is now well and thoroughly investigated, and Bjørvika and the surrounding area are still an important alternative to location, I can assure you that. I am going to make sure that the Cultural History Museum in Oslo is taken good care of in the process further, and I am very happy that we have received a thorough and good needs assessment from the University of Oslo on this matter.
ParlaMint-NO_2008-05-30.ana.ud383e368	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-05-30.ana.ud383e374	The two things I want to say today can shine as pretty boring, but are really very exciting. One is the important principle that I believe this matter is settled - and it is established by the fact that all the parties on the Stortinget actually support it - namely the principle that the university museums belong to the universities. It's a very important principle. It's an important principle for the formation process in a nation, it's an important principle for the view of research, but it's also an important principle because it's about researchers not being given when they're sitting in their office writing their studies -- researchers are best when they're communicating to people. The idea of occasionally letting them communicate with everyone, the very best of their skills, at the very least in a society and convey their knowledge in an area, seems to me to be very important in a society that will call itself a cultural nation at all. That is why it is such an incredibly important principle. The second is about magazines, which can shine like a pretty boring thing. I've been on a study trip in London, at the Darwin Center, and I've actually been on the expedition inside the magazines. Being able to walk among lizards and large octopuses in many meters that lie in vessels, and seeing the scientists sit and research on this material, as well as exciting museum experiences and exciting tours also for young people, fascinated me very much. So warehouses and warehouses aren't just dark rooms that only scientists are allowed to go down in when they're especially important and they're going to pick up especially important material. Warehouses and warehouses can be exciting for kids as well as for those who have grown up like me, to gain knowledge and understanding of both the importance of research and what it is being researched on. That's why I think we're going to do our rhetoric a little bit when we're talking about warehouses and warehouses, from always saying that this is something you just have to have for the researchers, to also say that knowledge of this has to be communicated to everyone. Getting the understanding that the materials that Fridtjof Nansen picked when he was on the move can actually be involved and solve riddles associated with re-changes, nuclear explosions, climate change and the really great natural history challenges, into both adults' heads and children's heads are actually a very important societal job. That's why we should make sure that all the material that's around our museums is connected to the best scientists and the best minds to convey that knowledge to absolutely everyone.
ParlaMint-NO_2008-05-30.ana.ud383e387	I am pleased and think it is right that the university museums should be subject to the universities, as St.meld. No 15 is going to add up. At the same time, I note that the message calls for closer and more committed cooperation between different departments and authorities. That is good, because in many cases it is fully possible to co-operate between museums and institutions that sort under different departments, and in many cases cooperation is also necessary. In my home town, Tromsø, you are working on creating a north-eastern museum with the University Museum Tromsø Museum as an engine and a center. It is an initiative that is clearly positive also for the two smaller museums in the city that are meant to be involved in this cooperation, and that wants it, namely the Polarmuseet and the Perspective Museum. Today, the Polar Museum, which houses a unique collection of old and new polar history, tempts an uncertain existence because, as an unconsolidated museum, it has actually lost its state aid. The Perspective Museum, which I will claim is one of the country's most vital and exciting museums, aims at documenting our time and our close past. What these museums have in common is that they document and disseminate in an excellent way the multicultural and international north, where both the Sami, the female and the Russian-Norwegian are taken care of in interaction with the multiple, simultaneous and new north. I am therefore very confident that the Ministry of Knowledge, along with the Ministry of Culture, will take on the goal of bringing forward this exciting Northern Museum initiative, so that it can be realized as soon as possible.
ParlaMint-NO_2008-05-30.ana.ud383e400	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 3453]]
