ParlaMint-NO_2008-06-19.ana.ud497e228	The representative, Ulf Erik Knudsen, will put forward a proposal for a representative.
ParlaMint-NO_2008-06-19.ana.ud497e353	I am very much in agreement with the description of the process that the rapporteur gave in an excellent way. We all agree that it would have been desirable to have additional funds for the defense. When we are in the situation that there is a framework, and that it was a common priority to increase the operationality, I see that the right is actually heavier in the structure than what we in the positioning parties have described. How do you explain the choice that has been made? The next question is: why has it been decided when to give priority to the northern regions, to put Olavswacht as a number? 1 and not the Defence headquarters?
ParlaMint-NO_2008-06-19.ana.ud497e362	Our assessment of the northern regions is that it's what seems to be out there, and that gives fighting power in the balls and the powder, which is what's crucial, not what's excellently good at lying elsewhere. That's why Olav Protection is important as a symbol, but it doesn't want the Center Party to go into. But it was one of the premise Samuelsen now gave, which really worries me. He talked about the frame being given. Well, there's only one body, one institution, in Norway that can give it the framework, and that's the Stortinget. It's the Storting that's granting authority. The size is the only one who has the frame in his hand. Then the Storting must not feel limited by someone else telling Stortinget what The Storting is going to set as a frame. It's a strange notion of the role of the Storting Center now expresses.
ParlaMint-NO_2008-06-19.ana.ud497e370	The cord shift is over.
ParlaMint-NO_2008-06-19.ana.ud497e373	First, I would like to congratulate the rapporteur on the way he has dealt with this matter. I think the position is properly drafted and a worthy document, as a document from a parliament should be. Then I would also regret that there was no broad settlement. It would have served the defense, and it would have served the country in this matter. Thus, it is also the government’s proposal for a long-term plan to be adopted, with some minor changes. This is in many ways a good plan, both in the short and long term. The defence receives a real increase in the budget of 800 million. NOK 32 billion compared to the year’s level. These 800 million. kr comes at the top of the annual wage and price compensation which the Defense must have in order to adapt its cost growth and which means a real strengthening of the budget by 2,5 pst. With this promise, the government reverses the negative trend we have seen for many years with ever-reduced defence budgets. With this plan, the Government corrects previous imbalances and establishes a long-term and sustainable balance between defence tasks, structure and level of funding. The long-term economic balance in the long-term plan is sound and based on the assumptions made by the defence manager in his professional recommendations. The Swedish Defence Research Institute, the FFI, calls this a change of pace and believes that this will reverse the negative historical budgetary developments we have seen for many years. When the plan was presented shortly after Easter, the opposition in Stortinget called the plan both inconclusive, thin, that it contained unnecessary vocabulary, had an imbalance and was without financial coverage. It wasn't surprising. It's just like it tends to be-- whoever's in position. However, when the suspension is available, there is a very large consensus on the major lines and the overall defence policy we are going to pursue here in the country ahead. It's important, and that's good. Disunity largely depends on how many bases to maintain, and is actually no scale on whether we have a good or a bad defense. It's not like the more bases, the better defense. That's exactly why the Chief of Defense proposed to gather forces to get an even better defense. No one is surprised that the Advance Party keeps all the bases. But remember that when the Advance Party was a budget partner with the Bondevik II government for three years, there was not a single uplift for the Defense - no, the downturn just continued as before. But that the Right, who has been with the Workers' Party since the change of defence started, now disregards both the Defence Policy selection unanimously recommended, and the Defence Manager suggested in his professional military position FS 07, I believe is arousing. There have also been many questions about the army's capacity and our ability to participate in foreign operations. It is true that in recent years the army has had a high burden on foreign operations, but it is not that the defence personnel in general have a very high burden. The army was in January 2006, when the current Minister of Defence took over after Kristin Krohn Devold, at a bottom level with only 2,100 employees. Today the number is increased to 3,100, i.e. an increase of 40 pst. The proposal for a long-term plan foresees a further increase of 3,700 employees. And it must also be considered whether the Army should not be further extended in the long term. This is where we have the big challenges. It's clear. The government takes Norway’s international responsibility seriously. The UN and NATO are the cornerstones of Norwegian security policy. Nevertheless, Storting's eagerness to send soldiers to foreign operations must be proportionate to the resources we have. That's why we need to build up the Army in those areas where the personnel shortage is greatest - such as intelligence, communication, logistics and management functions. Secondly, increased contributions need to be made, in particular from the Air Force and Maritime Defence, as well as increased use of HV personnel. In this way, if we take the increased elements from the other defenses, we can continue the high contributions to operations abroad. The government continues its clear commitment to the north in its long-term plan. It also has implications for how the defence is to be organised. The defence presence in North Norway must be strengthened. We show this by the fact that the increase for the Army will come into Inner Troms. At the same time, the Inspector General of the Army is moved to Inner Troms. The Headquarters of the operational management shall be added to Retan. We're relocating the commanding training for HV from Værnes to Porsangermoen. All of this is the opposition. Furthermore, Ramsund shall have the departmental management of the marine mine. Alliert training centre is also located in the north. Bardufoss shall be the main base for the helicopters. There is disagreement within the Committee as to whether the inspectors should be at Akershus or whether they should go to the defence sectors. In any case, the Workers' Party believes that by localising the inspectors and their staff functions in relation to the activities of the defence sectors, we will create a closeness to the core activities that will strengthen the possibilities for good and efficient management and sound management of the resources. We think that makes sense. It's also a struggle if we're going to have one or two joint operating headquarters. Government Parties consider that there is a need to adjust the command structure in order to improve the consistency between the apparatus to be controlled and the departments to be managed. We are therefore going in for one headquarters, and that FOHK in Stavanger and Landsdelkommando Nord-Norway are gathering at Reitan. This is not least because of the central importance of the northern regions in the future. We all know that our new Shield MTBs were not included in the Defence Manager's recommendation, nor in the Defence Policy Selection. That's why I'm very happy that we're now getting this in place. These vessels represent an essential resource for both maritime control and denial of navigation. The MTBs complement the frigates in coastal operations, and with the new frigates and MTBs, we're actually going to have one of the world's most modern marines. It needs a coastal nation like Norway. The Chief of Defense proposed to cut the HV force down to 30,000 men. It was believed that the Workers' Party was too drastically reduced after HV had reduced its strengths in several rounds. At the same time, everyone agrees that the quality reform in defence has been very successful. That's why it's good that we now say to continue the strength of the day. HV-17 and HV-18 are merged into one district and established at Porsangermoen. HV-07 and HV-08 are located at the Water Camp. The last one has received a lot of attention, as last week we had a big fire in Fromand there, among other things. The HV teams were strongly involved and did a great job. That's why it's important for me to clarify: it's not like HV in the Agder states are being laid down. The same HV teams that belong to the district today shall remain there. It's only the management that needs to be moved to the Water Camp. Thus, local knowledge and the local benefits will be intact when HV continues to live on in Agder, and the strength can be used in the same way as today. That HV-01 on Rygge continues as his own district is also good. Bardufoss air station shall be developed as the main base for future helicopter structure. It's natural, because the operational centre of gravity will be in North Norway. Nevertheless, there will be a need for a deportation to support the maritime helicopters associated with the frigates and the Coast Guard in the south. The solar aeroplane station must be considered in relation to such exposure. There is reason to believe that there are potential synergies with the civil helicopter environment on the Sun, and we ask the Government to come back to the Stortinget with a case on this. The duty of protection is the very support of the anchoring of defence in the people. We have to take care of that. Therefore, the protection obligation must be continued and reinforced. In the last few years, there has been a focus on the low proportion of women in Defense. By imposing session obligations on women, we're going to take a step further to get more women. Personally, I don't think we're in target until we have introduced equal protection obligations for women and men. The time is working for such a solution. Only one year ago, both the Right and the Advance Party were obliged to sit. Now they're for--so welcome after! VG wrote a few days ago about our special forces, which are admired by all NATO countries. One of the success criteria, according to VG, is the way we recruit the soldiers through the duty of protection, send them to courses and training around the world and equip them with the very best of weapons and equipment. Norway has good reason to be proud of the soldiers we send out to international operations. We've had a lot of veterans in foreign operations up through the ages. Some have unfortunately also been damaged. A lot of people are suffering from telescopic injuries. We have a special responsibility over these. Therefore, it is good that the government has taken hold of these matters and now, among other things, I. investigates a reinforced protection of personnel who have been injured in foreign operations. This important work that is now taking place, the Government will come back to Stortinget as its own case. I am pleased that the opposition is now also concerned about this matter, a matter that Minister of Defence Stroem-Erichsen really put on the agenda when she joined. Finally, humans are the defence's most important resource. The government will invest in the employees and will therefore intensify the recruitment and retention of qualified defence personnel. An increase of 1000 employees is added up to about 17 000. I also believe there is reason to claim that there has been calmness and very little criticism from the personnel organisations in recent years. Nordic defence cooperation is on the map. The defence, like everyone else, must operate rationally in order to get the most out of the resources made available. That's the way it is in every country right now. Therefore, increased multinational cooperation is important in the future. I believe that the Nordic countries have a lot to work together on that will provide a better defence for everyone. I think this is a new, exciting side of the Norwegian defense that we're just seeing the beginning of.
ParlaMint-NO_2008-06-19.ana.ud497e417	It's going to be line change.
ParlaMint-NO_2008-06-19.ana.ud497e420	The Workers' Party and the Government are constantly talking about the Northern Territory Government's operation. How is this talk and promise of this bet compatible with the ever-destroying of the presence in the just northern areas, both at sea, in the air and on water? There are still fewer exercises in all areas of defence. The coastguard actively sails fewer days, and today, among other things, Oil protection has been proposed and Home Protection is reduced, just to mention something, and there are fewer districts in the north. Is the representative eye satisfied with this development in relation to the Soria Moria Declaration and the great investment in the north, or is the truth that the economy does not extend to, among other things, the investment. in Afghanistan is taking too much of the resources available to the defence?
ParlaMint-NO_2008-06-19.ana.ud497e429	What the representative, Mr Bredvold, is saying is completely wrong. If there's anything this government has invested in, then it's the north. I mentioned in my post a number of points that we are now in favour of strengthening the northern regions and that the Progress Party is opposed to. It's not like the Coast Guard's sailing less. When we get new coastguard ships, which have a completely different capacity, it can't be that it's just about doing how many days they're out, if a boat reaches a twice as large area at the same time. We must be realistic. It is not the case with the Defense that it is about spending the most money, we also have to get the most out of the money that the Stortinge grant every year.
ParlaMint-NO_2008-06-19.ana.ud497e441	First thanks to Signe Eye for nice words. I want to say that it wasn't so difficult to put up the work that way, with the very focused way in which the committee has worked, and also the slightly informal way in which we have had the opportunity to work with parties other than those represented in the committee. It's a shame we didn't make it, but it's because of some very specific problems that we had to solve and that we didn't agree on. One of the things that's worried me the most is the difficult operating situation we'll have in the first few years of the long-term period we're now discussing. My question to Signe Eye is then simply: What does the majority intend to do with this? These are not the things you can wait to address to the effect of the remaining structural measures. There is something that needs to be addressed now. Does this mean that a significant proportion of the notified increased funds will now come immediately in 2009?
ParlaMint-NO_2008-06-19.ana.ud497e448	It is a rather simple picture, which says that when we maintain the MTBs, Südreisa, Mågerø, Jørstadmoen and things that cost money, it starts running from 1 January. If there is to be any credibility in this, it must be that it also comes quickly into the budgets. So I have said, and we also agree, that our greatest challenge is the Army, but the Army cannot be built up as quickly as the lasting costs we are now taking with us, which means that in the long term we must get the Army up to the number of personnel we have said. We also believe that we need to look further at the construction of the Army at the end of this long-term period. I can therefore assure the representative that we will follow up on what we have said. We're going to have a match between tasks and resources in the future, and we're going to follow that up in the 2009 budget.
ParlaMint-NO_2008-06-19.ana.ud497e457	The representative Signe Eye lamented in the introduction of his post that there was no broad political settlement, and it also regrets the Christian People's Party. Defence Policy Selection had a recommendation to the Government to add a process to work on the new long-term defence plan that involved contact between the Government and all the parties at Stortinget in the process. This called for the Christian People's Party in several contexts. The possibility of calls before the proposition was submitted to Stortinget was also requested by other opposition parties. In the Christian People's Party, we were particularly concerned about the problem of three parties in government agreeing, and then there will be little room for action. Then we negotiated later, and it turned out that the room for action was very small. Does the representative Signe Eye see that we had served to talk in advance?
ParlaMint-NO_2008-06-19.ana.ud497e464	I don't think that's what made us disagree. But I just want to remind the representative of Sahl that there were three parties in government when dealing with the previous long-term notification as well. Then the Workers' Party went in and agreed that we would get a broad settlement. There was a plan where you didn't have a balance, but just put it in: if you take it, you take it! That's what we're struggling with in these days, because in the current year we have a plan that's out of balance. Now we're cleaning up, we're gripping, and now there's going to be a match between the money that's being given, and the problems that the defense is going to do. When it comes to getting into such a process at an early stage, I think it had nothing to say. There were good processes, but the distance was too large between us, so we didn't get into the goal.
ParlaMint-NO_2008-06-19.ana.ud497e473	The cord shift is over.
