ParlaMint-NO_2008-05-07.ana.ud368e22	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2008-05-07.ana.ud368e123	I fully agree with the representative Dørum that our soldiers in Afghanistan, who do a very important job on behalf of the international community and on behalf of Norway, deserve the best equipment we can give them. We are also concerned about that every day, so we have a very high focus on the equipment. To the opening question, I would like to remind you that this is also why I went to the Stortinget to ask for a decision to go to the rapid acquisition of aircraft, which is a very important military capacity, and which Norway has not been able to contribute in Afghanistan. In the case of soldiers' rule, even though they are very well equipped today, there is constantly the development of new equipment, and we want to renew that equipment all the time. There is considerable wear and tear on equipment in Afghanistan, and there are long delivery times, because not only Norway is experiencing this, this is true in all countries. But I can assure you that I am following the professionally military recommendations I get regarding equipment.
ParlaMint-NO_2008-05-07.ana.ud368e133	Per Roar Bredvold - to follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e136	In connection with the rapid acquisition of new transport aircraft, the Department of Defence's management signaled that our old Hercules C-130H would be easy to sell. These planes were to be phased out and rephased in as soon as possible. My questions in this regard are as follows: What is the status of our old transport aircraft? How many are operational today? How many are planned to be resold, at whom and at what price? And not least, how far have you come in that process? Many of us have recovered in memory the scrapping of BV 202 by the defense and how it went. Fortunately, the Progress Party got it stopped, and I don't want anything like it when it comes to our planes. I also don't feel that we got an answer to the first question: How are our soldiers in Afghanistan being transported to airplanes today?
ParlaMint-NO_2008-05-07.ana.ud368e145	With regard to security in Afghanistan and transport for our soldiers, I had a comprehensive briefing on this in the enlarged Foreign Affairs Committee a few weeks ago. Because we don't have military aircraft in place today, our soldiers are being transported from Norway to Afghanistan on a leased-in civil aircraft, an aircraft that Denmark is also using for Afghanistan. We are now in a situation in which we are assessing – and will keep under assessment – whether that aircraft will land in a country near Afghanistan. It's not easy to get this done. As is very well known to the Defence Committee, we also have a plane that goes in Afghanistan and carries soldiers there.
ParlaMint-NO_2008-05-07.ana.ud368e154	Let's move on to the next main question.
ParlaMint-NO_2008-05-07.ana.ud368e157	I have a question for the Minister of Industry. In 2005, the size of the population adopted a target of raising research in Norway to 3pst. of gross domestic product in 2010 - this is to ensure a forward-looking business that can finance public welfare and provide people with safe and viable jobs. Two thirds of this research would come from business, a sharp increase from today's level. The current government parties were eager to reach the target in 2005. Nevertheless, the government has so far had a break in research and done little to achieve this goal. Enterprises and business play an important role here. We sometimes hear from representatives of the government parties that the business community is not betting enough on research. It's true in itself, and it's an important ambition for business to increase its research effort. Therefore, in 2002, the Bondevik II government introduced the TaxFUNN scheme, which allows companies that are themselves research researchers or buy research to receive a tax deduction of up to 20 pst. of the research costs. This is limited to up to 8 million. kr per. the holding, and the proceeds in 2008 were approx. One billion kroner, which means a deduction of about $6 billion in research in business. The evaluation by the SSB shows that the tax FUNN scheme has had a clear positive effect and that it hits the broad range of enterprises. Enterprise feedback is very positive. This is a simple, unbureaucratic, predictable tax credit system that helps companies to research more. The right will therefore extend the scheme. Despite this, the government has cut off the Tax Fund for other purposes. There is currently a high pressure on expenditure on more selective measures in the field of business policy, for example: subsidies to farmers or net pay schemes for seafarers. The government parties voted against the entire tax FUNN scheme in 2002. This makes many uncertain about the future of the Tax Fund. TaxFUNN is undoubtedly an important element of innovation policy in this country. Can the Government assure us that the Government will not liquidate or further weaken the TaxFUNN scheme for business?
ParlaMint-NO_2008-05-07.ana.ud368e168	Let me first say that, as far as the representative's description of the Government's efforts in relation to research and especially industrial research is concerned, it might be better to take the actual figures into account. After we took over, this government has increased the total research effort by 24 pst. Special efforts by the Ministry of Industry and Trade, which are moving more towards more targeted industrial research, have increased by 37,5 p.m. So there is a focus on research under this government, and a special focus on industrial research. It is true that all parties have agreed on the objective in relation to the gross domestic product of 3 pst. We know that there's a measure that changes every time, for example. the oil price is changing. When the oil price rises, the percentage goes down, even though a user spends the same amount of money or more. With regard to the tax FUNN in particular, it is true, as the representative says, that there is a lot of positive mention of the experience from the tax FUNN scheme in the SSB report. That report has been received by the Government, and we are now going to have an evaluation of the TaxFUNN scheme and naturally mention it in the context of next year's government budget. But what has been proven so far is that what the right parties claimed before the last elections, namely that the tax FUNN scheme would be in danger if there was a government change, it has been cancelled. This government has continued the tax FUNN scheme. No budgetary allocation has been made, as the representative said. Two limitations have been made in the number of hours and hourly rates, justified by the feasibility and traceability of the effects of public instruments. But the system has continued, contrary to what was claimed by the right parties. And the experience as far as the representative is concerned is good.
ParlaMint-NO_2008-05-07.ana.ud368e179	I want to ask a follow-up question to the Minister of Research and Higher Education Tora Aasland. I think it is somewhat worrying that the Minister of Industry does not respond clearly to the future of the TaxFUNN scheme, as long as this is a very central system to ensure growth in research in business. However, the main problem in research is that the State is not spending enough on its own research programmes. We have this rest cutting that has shaped this entire period, where you're not near to the goal in 2010. What's my question now at the end of the period is: Does the government intend to do anything to achieve this goal? If this goal of investing more in research, as decided by the Storting in 2005, was not achieved, it would be interesting to have some reflections from the Council of State as a Minister of Research on the impact it will have on value creation in Norway.
ParlaMint-NO_2008-05-07.ana.ud368e188	I join the State Council Andersen has said in particular regarding the TaxFUNN scheme, which was the starting point for the representative's questions. We know that there are many positive aspects that are presented in the statistical central agency evaluation, and we will be interested in following up all the good actions that can stimulate research in the business community. One of the biggest challenges in achieving ambitious research goals is that we have some factors that are a little difficult to control, but where we have to motivate. The most important of these is to motivate research in business. That means, of course, that the state has to do its own thing, and we're working on it, as the State Council, Andersen, said. But he and I have a very good relationship with business, and our most important task is to motivate and stimulate business to do its part of research, which is actually two-thirds of the research goal we have set.
ParlaMint-NO_2008-05-07.ana.ud368e197	There will be follow-up questions - first Kåre Fostervold.
ParlaMint-NO_2008-05-07.ana.ud368e200	We're not going to go back more than 12 hours, as in this room we had a pretty good discussion about Innovation Norway and the instruments that are there. During that debate, there was a lot of talk on the part of the Council of State for Andersen about the innovation message to come. I expect that during that work the tax FUNN scheme has been assessed. Studies show that it has worked very well. It is used by many in the business world, but unfortunately there was a narrowing. My question to the Council of State is: Will the presentation of the Innovation Communication give us some prospects for the TaxFUNN scheme, and can we know if the Council of State has assessed a reversal of the budget for 2007?
ParlaMint-NO_2008-05-07.ana.ud368e207	On the first question, the answer is yes. The TaxFUNN Facility is going to be one of the things mentioned in the Innovation Communication. On the second question, the answer is no - for the limits set, are based on the traceability and controllability to be available in all areas where the state grants money, in this case and in most cases for good purposes, here in the form of tax havens. But then we evaluate the level and the device of the current instruments, and as I said, this will be an opportunity to discuss in the context of the innovation message.
ParlaMint-NO_2008-05-07.ana.ud368e215	Ingredient S. Sørfonn - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e218	I believe I will continue with a follow-up question to the Minister of Industry. The tax FUNN scheme has our unbureaucratic, accurate, and it has been very popular. The tax FUNN scheme works, and it has strengthened research and development in enterprises. According to the Central Statistical Office, the business community spends NOK 2 on the increased research effort for each krona provided by the State. Then there has been a considerable uncertainty about the future of the tax FUNN scheme, because the government has clearly trusted that businesses - especially small and medium-sized enterprises - will make good use of the money. This must be the only logical explanation that the government will use money on centralized research programs that they have more control over. So my question is, is there a strong ideological over-interpretation that underpins the bureaucratic top-down governance of business, or does the government have other explanations as to why they want to slow down the tax FUNN scheme?
ParlaMint-NO_2008-05-07.ana.ud368e229	I am a little uncertain about where the representative has got it from that we want to reduce the stakes on the SkattenFUNN scheme. In fact, it was claimed by the opposition in front of the last election that if we got a majority, there was a danger to the TaxFUNN system, but we have proved that. I agree with the description of how the tax FUNN scheme has worked. I would like to add that it has perhaps worked very well by stimulating research and development efforts in small and medium-sized enterprises, which otherwise are not by their own economic weight the most dominant in research efforts. This is precisely why the instrument has worked well. I agree with the representative. That's it.
ParlaMint-NO_2008-05-07.ana.ud368e236	Lars Sponheim - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e239	Yes, the Minister of Industry is absolutely right. It has worked very well. Although the Government has weakened the TaxFUNN scheme somewhat, there is hardly any way this hall has taken effect, which until those degrees have come to an end. It shows in a rather adventurous way - and it also shows the evaluation - that by implementing a tax-stimulated instrument, it is possible to steer entirely private enterprises in the most desirable direction. Yes, it is a success so great that it has become a problem in itself, partly because it has said that tax is an effective tool for managing the private sector, and partly because it has shown that it provides a bill for money. It may also be a problem. We remember that the Workers' Party was against a tax-stimulated tax FUNN scheme. They wanted a traditional social-democratic system of trade, where they distribute money from the state and make people small. And then there's uncertainty. It shows this question. It shows that the government has actually weakened the arrangement. But now the Minister of Industry has the genuine chance of giving a guarantee that as long as this government sits, until 2009, the tax-stimulated FUNN scheme will not be removed.
ParlaMint-NO_2008-05-07.ana.ud368e248	I also agree that the system has worked well, although I might not go as far as the representative Sponheim, who called it adventurous. I guess I'd like to reserve some other stuff. But we agree that the system has worked well. It is true that the Workers' Party was one of the parties that was skeptical of the SkateFUNN as an instrument. That's where we were wrong. That is why we have continued the scheme. What I don't understand is the basis that the opposition is now producing it as if there was uncertainty about the tax FUNN scheme. What has happened is that an evaluation report has been submitted. It goes through the government thoroughly with a view to continuing incentives for research in Norway. And as is natural, it is presented in connection with the state budget. This is when the type of evaluation is presented for review - in a very ordinary way.
ParlaMint-NO_2008-05-07.ana.ud368e255	Ine Marie Eriksen Soreide - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e258	I have a follow-up question for the Minister of Research and Higher Education. Tora Aasland said to TV 2 The news channel on 8 January this year, in response to the criticism of Regeringa's lack of research effort: in relation to the objectives set, the steps we are taking are too small. It's not just that the steps are too small, but they also go in the wrong direction. In this context, it might be appropriate to refresh the memory of Dag Terje Andersen, because what we saw in the 2006 budget was that unremunerated research effort in SkattenFUNN was cut by 30 million. kr. In the 2007 budget, the tax FUNN was cut by 150 million. kr. These are money that the opposition in its alternative budgets has tried to put back, but as the government parties vote down every time. It has become a trend that the government parties and the government want to hide their own lack of follow-up of the 3 p.m. target behind the fact that business does not research enough. Then it's funny that you want to cut down on a system that actually makes business research. Can the State Council guarantee that the TaxFUNN will be maintained as today?
ParlaMint-NO_2008-05-07.ana.ud368e267	The reason why we wanted an evaluation of the TaxFUNN scheme was, of course, a desire to obtain the best possible basis for which instruments, especially business, should be stimulated. What is a cross-estimate is that although the scheme has worked well, there has not been an increase in R & D activities by industry. It is still quite a question of how best to motivate business to do more research. Then the Tax Fund or a similar scheme is one variant, but there are of course other ways to do this. We're working on that all the time. I would like to stress what the Minister of Industry said earlier in this Questionnaire, that there is actually a rather large increase in total in research, but there is no reason to be completely satisfied either with ourselves or with the business community. We still have one problem to do.
ParlaMint-NO_2008-05-07.ana.ud368e272	That's the next main question.
ParlaMint-NO_2008-05-07.ana.ud368e275	I have a question for the Minister of Defence. We know that the current government, despite the SV's NATO resistance and despite the access to footnotes in terms of our involvement in Afghanistan and the attitude towards rocket defence in Europe, is holding fast to the importance of the NATO alliance for Norway. It is established in the long-term proposition that the Minister of Defence stated that alliert presence on Norwegian soil is important. The government also says that Norway must work actively to create ally awareness and understanding of the challenges in our areas. All of this is well and good. The more incomprehensible it is that the government, through its proposals for changes to the structure of defence in both the north and the south, puts the presence of NATO in Norway at risk in the opinion of a great many. The government I myself was a member of, said the following about this to the Stortinget just five years ago: ‘The absence of stationary NATO forces earmarked for Norway requires the organisation of allied presence by other instruments. Here, NATO’s new JWC headquarters at Jåtta and Alliert as well as treatment in Norway is important.’ After that, the defense has invested between 300 and 400 million. kr to build a well-functioning operational headquarters co-located with NATO. Then suddenly the association with NATO is no longer important to the sitting government. The large resources that have been lost are also not so important, although there should be a greater concern for defence management, which has a poor reputation both in the management of human resources and in the management of financial resources. But even more serious, I think it is that this may have an impact on NATO’s long-term presence in Norway. The Minister of Defence has removed this whole issue of Norway’s use of resources to maintain its hosting function for the NATO training centre. What guarantees from NATO is the Minister for Defence based on when she is so convinced that the changes she is now proposing will not have consequences for NATO's future presence in Norway?
ParlaMint-NO_2008-05-07.ana.ud368e290	It's quite right, as the representative Højbräten says, that the government places great emphasis on our membership of the NATO Alliance. We want to be an active member of the NATO Alliance and try every way to follow it up. At the same time, the command that NATO had in Norway was actually decided to wind up under the previous government -- it was in Bodø. It left Norway earlier this year. The presence that is in Stavanger, we are happy to have in Norway, and we will continue to have it in Norway. When we've said that we need to simplify the command structure, it's just to make better use of our resources. There has been a strong change in the defense - from the 20 000 annual works to the 15 000. There was a strong downboard in all fields. Where you couldn't do it well was on the command line and the management structure. We have to simplify that. That's why I agreed with the defense chief's proposal to merge the two commands into one. If we look at the North Region bet, where we really have the biggest challenges in this country, it goes without saying that it has to be added to Bodø. That is why the Government has also proposed it in the long-term plan. As far as our dialogue with NATO is concerned, it has been good. We've had meetings with NATO, we've written letters to NATO, and we've said, of course, that we should follow up our host country's obligations to NATO. And NATO understands that we, like all other countries, and also NATO as an organization, have to simplify the command structure.
ParlaMint-NO_2008-05-07.ana.ud368e299	I note that the Minister of Defence to Stortinget has not been able to provide any guarantees from NATO that underpin her position, that the issue of changes to the Operational Command does not have an impact on NATO's presence in Norway in the future. I'm not worried that the government party SV, who has programmed Norway to leave NATO, will succeed, but I'm afraid they will succeed in getting NATO out of Norway. It's serious. I would like to ask the Minister of Defence, who has repeatedly suggested that she is interested in an agreement here in the United Kingdom on the long-term proposition: is the Minister of Defence and the Government prepared to negotiate with the opposition parties on such important issues in order to reach a broad consensus on defence policy in the years to come?
ParlaMint-NO_2008-05-07.ana.ud368e306	I have repeatedly said here in Stortinget that I want a broad agreement, a broad decision, i.e. that there are as many parties in Stortinget as possible behind the decision on the long-term plan. It is a strength for the plan, and it is a strength for the defence and for the security policy, which has been a tradition of being united in the Stortinget. So I want to. What elements are to be negotiated must be negotiated - I cannot take that here. But when I say that we want a broad decision in Stortinget, it is also an invitation to a dialogue on this.
ParlaMint-NO_2008-05-07.ana.ud368e311	There will be follow-up questions - first Henning Skumsvoll.
ParlaMint-NO_2008-05-07.ana.ud368e314	The decision to move FOHK Yåttå and decommission the Madla camp is becoming increasingly questionable, and not least in the case of the command organisations. The host country support of the NATO Joint Warfare Centre, pampering, foraging and transport, etc., is carried out to a significant extent by the Madla camp staff. It is invested approx. 500 million. kr at Madla since 2000, and 90 pst. for reasons of privacy. A disposal of this housing stock may involve a cost of 100 million. kr, so my questions are: What sales gains have been calculated for the disposal of Madla camp in St.prp. No 48? And is there any kind of impact assessment before the decision to shut down FOHK Jåttå and Madla camp is taken?
ParlaMint-NO_2008-05-07.ana.ud368e321	The long-term plan has been dealt with by the Government and is now being dealt with by the Storting. In the case of the individual elements taken up here, such as the Madla camp, it is absolutely right that it is proposed to be terminated, as one of our camps and bases that have been proposed for liquidation. There is a decision and a recommendation that we are behind, and that is again in line with the professional military recommendations that I have received. With regard to the overall picture, the movement of FOHK and the totality of the long-term plan, all the calculations made here by the Government have been for external quality assurance. The quality assurance report has been or must be made available to the whole Size.
ParlaMint-NO_2008-05-07.ana.ud368e330	Jan Petersen - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e333	The problem is that the government practically drains Rogaland for military activities, and in such a emptied Rogaland it is obvious that the government nevertheless believes that NATO will be in its command. My question to the Council of State is therefore: can she guarantee that NATO will remain in Norway? I heard that she mentioned that she had had a good dialogue, but I heard nothing about what that guarantee would be. The father is that you have here a NATO activity that will be like an island without anything around it.
ParlaMint-NO_2008-05-07.ana.ud368e338	I agree that it is important that we have NATO presence in Norway. When it's said that Rogaland is drained for defense functions, you're the Joint Warfare Centre again. But I also want to stress that the agencies that have been in Rogaland, especially when FOHK, on which there has been a lot of focus, are part of our command line. But, as I say, we want to simplify. I also think it is the right goal to simplify the command structure in itself, which does not necessarily give us any more operational capability - and that is the operational capability the defense must have in order to carry out its tasks. This is not primarily achieved by having two command centres and not one command centre, if it has been professionally considered important and proper to have only one. As far as guarantees are concerned, we have received assurances from NATO that this has no effect on their presence. They are dependent on host countries [[The President cut off]]
ParlaMint-NO_2008-05-07.ana.ud368e345	Jan Sahl - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e348	I would like to follow up on our relationship with NATO linked to the North, which consists of large sea areas where the Maritime Defense has a very important task. It seems strange that the protection of Olaf is to be reduced and that vessels in the large northern sea areas, including NATO vessels, are to be referred to logistics vessels, which are not present today, and random civil ports. Where are our submarines and allies going to have their service base in the northern regions? Oil protection is tailor-made for the task. It is difficult to imagine that the submarines are going to go to a ship's side for repairs. The Defence Operational Headquarters has on several occasions expressed concerns about the operational capability of the Maritime Defence Agency in the northern areas if the Olav protection is to be reduced. It is said that the base is one of NATO's most modern and appropriate medium-sized bases. Has NATO really given its blessing that we are now laying down the Olav protection?
ParlaMint-NO_2008-05-07.ana.ud368e356	This supplementary question was somewhat on the edge of the main question, but the Council of State chooses whether or not to answer it.
ParlaMint-NO_2008-05-07.ana.ud368e359	With regard to the recommendations proposed in the long-term plan, I would like to stress that, on the part of the Government, they are largely based on professional-military assessments and professional-military recommendations. The reorganization and restructuring that we have had in Defence makes it no longer possible to maintain a base in absolutely all parts of the country. It has concentrated on some main bases, but at the same time it has been very clear that the Navy will sail in the north, and that the Coast Guard will also sail in the north. It's a very important goal, so we're just going to be able to take care of the north, the sovereignty and everything that we're actually concerned about, and that's important. In the case of the Olav Protection Marine Base, it has been assessed by the Defence Manager that it is not needed in the new structure.
ParlaMint-NO_2008-05-07.ana.ud368e368	Odd Einar Doorroom - for follow-up questions.
ParlaMint-NO_2008-05-07.ana.ud368e371	As the Council of State knows, I lead the Norwegian delegation to the Parliamentary Assembly of the Western Union. What you quickly discover when you've been there for a while is that NATO currently has a lot of problems in many places in the world. There is no doubt that NATO, whether it is in Afghanistan or elsewhere, is under intense pressure. Of course, we are not discussing Norwegian membership in NATO here, but we are discussing NATO's practical presence in Norway. We know that the presence is a little dependent on whether we're good, competent, as a host nation. This applies, for example: The AWACS operation on the island. I'm not going to take it now, but it's the Joint Warfare Centre on Jåttå. I think I have to be able to say it in that way that the Left is prepared to fight for Yåttå to be such a living expression of NATO's presence in Norway, and would like the Council of State to elaborate further on the answer she tried to give, namely whether the guarantees NATO has given that they will remain here no matter how we treat the situation on Yåttå.
ParlaMint-NO_2008-05-07.ana.ud368e378	The correspondence we've had with NATO, there's nothing wrong with the fact that the Storting can also be familiarized with. When you talk about guarantees, I am not so sure that anyone can provide guarantees for anything. But there's nothing in the dialogue we've had with NATO that indicates that they're going to change their presence -- nothing in what they've said. They're familiar with the long-term plan. They are e.g. known of the Chief of Defense's study, they have assessed it and sent feedback to it. NATO is committed to a strong operational capacity for defence in all Member States. It is our absolute duty to try to make the best use of the resources we have. It's about human resources, and it's about financial resources. If we're going to do it, we need to simplify both the management and the command structure. That's exactly why we're now in this process. But we have made many assurances to NATO about presence [[The President cut off]]
ParlaMint-NO_2008-05-07.ana.ud368e387	Let's move on to the next main question.
ParlaMint-NO_2008-05-07.ana.ud368e390	My question goes to the Minister of Industry. The Minister of Economic Affairs is considered to be a typical, traditional and old-fashioned labour party politician. It sees one in business policy, which is characterised to a very small extent by innovation. But one also sees it in terms of attitudes to openness and transparency in his ministry's work. The Ministry of Economic Affairs is now one of the departments where most cases are exempted from public disclosure. Today's Business today has a report showing that the Department refuses to deliver the procurement protocols for the legal tasks relating to the review of Hydro-shef Eivind Reiten's Option Agreement. A new disclosure law has been adopted to remove the provision providing for such exemption. The law will come into force in a short time. Similarly, the Ministry of Economic Affairs is breaking its intention and decision of the Stortinget. This shows a lack of respect for the Storting decision, and it shows a lack of understanding of the importance of transparency in tenders and acquisitions - in a good working party tradition. The previous government, where the Left took part and had the Minister of Justice, felt that such transparency was important, among other things. in order to ensure reprobability and to avoid adverse bonds. That government therefore proposed to repeal the provision on admission to tender after the choice of the supplier to exempt the minutes and tenders. What are the reasons given by the Ministry of Industry for refusing access to these protocols and thus undermining its intention and the decision taken by a unanimous majority to facilitate a better, well-functioning democracy where transparency and transparency are important elements?
ParlaMint-NO_2008-05-07.ana.ud368e405	I am very pleased with that question, because it gives me the opportunity to comment on some of the suggestions that have been made in today's business on the matter that the representative Kvassheim mentions. In today's business they claim that there has been a crime in this case. There's no crime. It is rare that although it is claimed in today's business that there is a crime, there is therefore some crime. With regard to the question of procurement protocols, the most recent reference to many media is that in some cases there has been no procurement protocol. So in this case, it's okay. There have been many other approaches to the question of that kind of protocol. Then it is in the nature of the matter that the Ministry of Industry's tender documents, or protocols where there have been no tenders, contain many sensitive information. We work a lot with listed companies, among others. Therefore, it is in line with and in agreement with the Riksrevision that in our acquisitions we use those parts of the paragraphs that sometimes it is right not to have tenders. In the present case, it was such that a used urgent paragraph § 2-1-2-c, which gives the opportunity to handle the question exactly the way it was done. As regards the transparency of protocols, the justification is exactly the same. In the Ministry of Economic Affairs and Trade, we treat a lot of business sensitive information. Of course, when companies provide information to the Ministry of Commerce, we have an obligation to handle it in a way that they can feel safe. In line with the law that now applies, that kind of information - and then I am not talking about the matter in question, but generally - can be part of the protocol. Then we have the responsibility to maintain confidentiality... [[The President announces the next speaker]]
ParlaMint-NO_2008-05-07.ana.ud368e420	I am recording that the Ministry of Economic Affairs has changed the grounds for confidentiality during the work of obtaining the relevant protocols and no longer emphasises business secrets, but shoots under the provision that the Storting has thus lifted - the new law will come in a short time. So it is right that the Minister of Industry does not break the law, but he is acting contrary to what is the Storting's intention, and expresses a lack of understanding of the importance of transparency in these kinds of questions. In 2006, the Ministry of Economic Affairs had a refusal of 31 p.m. transparency requests. It was the worst of the departments. The competition was hard, with a working party-controlled department at the top of this list. What will the Minister of Economic Affairs do to ensure that the Ministry returns to the course it had under Lars Sponheim's leadership, as it was going from being one of the most closed departments to being one of them with the most transparency, with monthly routines, use of Open Placat, etc., where one had both attitudes and a continuous follow-up to ensure transparency?
ParlaMint-NO_2008-05-07.ana.ud368e429	When the new legislation and the new law enters into force, it will affect the way protocols are written. This means, of course, that you are going to write protocols with a view to making them public, i.e. that any sensitive information of a commercial nature is not available from that protocol. The protocols currently in place are in line with existing legislation, and that is the background to the practice that has taken place. Otherwise, I agree - and I have discussed this with the said, now big business representative, Sponheim earlier - in the principle that there should be the most transparency in public administration. We agree on that. But that's how some business interests need to be taken care of, and those that relate to the Ministry of Economic Affairs also have to be able to trust that we handle confidential information confidentially. We'll keep doing that.
ParlaMint-NO_2008-05-07.ana.ud368e436	There will be follow-up questions - first Kåre Fostervold.
ParlaMint-NO_2008-05-07.ana.ud368e440	There are probably some paragraphs and something in the law you can always hide behind, but I think the council agrees with me that it is quite unfortunate signals to send out. In terms of private business, we have an incredible number of control bodies. We have a rigid code. We're going to have full transparency, we're going to have full competition -- and we're going to be looking for that all the time. And when the media contact different companies and get different opinions as to whether or not you have the ability to withhold information, there is a basis for asking if the assessment made by the Council of State is correct. I have drafted a letter that will be sent during the day, asking for transparency in the matter. Will I receive the same answer that the Business Life of the Day has received on its request?
ParlaMint-NO_2008-05-07.ana.ud368e449	I cannot answer a letter until I have received it. I will, of course, answer it when I receive it. As regards the general claim, there has been transparency in these cases, except for the transparency of protocols in relation to the legislation in force today. We follow that legislation, and when it comes to new legislation, we follow it. It matters how protocols are written, and I hope the Storting agrees that when I handle information related to e.g. listed companies shall be able to ensure that such information is properly managed by those companies. But it has been an incredibly critical review in many media, more or less qualified, in the last few days. In the Ministry of Economic Affairs and Trade, we have had 34 of those kind of consulting agreements. We have also reduced the use of money on consulting agreements in relation to the previous government, although the media has found no reason to make any number out of it. But we've been embarrassingly accurate, among other things. with the agreement on which this question is based. [[The President cut off]]
