ParlaMint-NO_2008-06-17-lower.ana.ud527e55	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-06-17-lower.ana.ud527e186	At the request of the Financial Committee, the President will propose that the debate be limited to 65 minutes and that the speaking time be allocated to the groups as follows: Working Party 20 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party 5 minutes, Christian People's Party 5 minutes, Center Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and up to five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-06-17-lower.ana.ud527e197	We are currently discussing the position of the Financial Committee on the Law on Tax-Favourised Pension Agreements. The proposal proposes that all persons over 18 years of age be entitled to a deduction from taxable profit for payment of up to NOK 15 000 per year. years of individual pension agreement under specified conditions. The proposal follows up the Storting Decision of 23 April 2007 and is part of the pension agreement. I also point out that the Ministry's proposals have been drawn up in the light of the Banking Act Commission's inquiry into individual pension schemes. This case has, as stated, its anchor in the pension agreement of 21 March 2007 between all parties on the Stortinget except the Progress Party. Here the government parties undertake to introduce a new tax-stimulated individual pension saving scheme with annual savings of up to NOK 15 000. The right, Christian People's Party and the left, among other things, reserved themselves. the right to freedom to propose a saving amount higher than NOK 15000. I'll show you the other way to Innst. S. No 168 for 2006-2007 by the Labour and Social Committee on the generation and withdrawal of old-age pensions in the social security system, and the comments of the majority in this respect. So far from history. The majority of the Financial Committee, consisting of the Government Parties, fully adheres to the bill in the proposal. A minority, consisting of all the opposition parties, has promoted some amendments. This applies mainly to the question of a higher limit on the amount, by setting it at NOK 40000. The same minority proposes that a customer have access to the appointment of a beneficiary allocated to the pension funds at the death of the client and that, if no beneficiary is appointed, the pension capital should go to the death residence. Furthermore, this minority proposes that the Storting undertake a proposal that will contribute to the symmetry of income deductions and the taxation of payments from individual pension schemes. In addition, the Progress Party believes that the deduction amount should ideally follow wage and price developments and be indicated as a share of G. However, no amendment is proposed to this effect. In the following I will give some comments on the individual comments and amendments that I have explained above. First, the issue of fiscal conditions and the threshold of amounts, etc. : EUR 15 000 in annual pension savings will, for most, represent a significant supplement to the occupational pension of the employer. For example, a person with an annual income of NOK 350 000 with an occupational pension scheme according to the minimum requirements of compulsory occupational pension - the so-called OTP scheme - will be entitled to an annual contribution from the employer of NOK 5500. The tax advance is an advantage which, in my view, should be fully applicable to the maximum, and not only to persons with high wealth or high income. By setting a deduction of income at a rate of DKK 15 000, which is an amount that a large proportion of the population will have the opportunity to set aside for annual pension savings, the tax benefits of such a scheme will be maximised. The tax favouring of IPA, which gave an income deduction of NOK 40000, was primarily used by people with high incomes or wealth and, in our opinion, resulted in distributive biases. I would also like to point out that the liquidation of the tax incentives for IPA and annuities must be seen in the context of the introduction of compulsory occupational pension, and not least that self-employed and freelancers have been allowed to set up a pension scheme under the provisions of the Pension Pensions Act. Both economic theory and past experience may suggest that tax incentives for certain savings products only affect the composition of savings and not total savings. This is also largely confirmed by empirical work in the field. A reason is, among other things, such schemes are used in particular by persons with relatively high income and wealth, as I have mentioned earlier. Therefore, as a means of increasing pension savings, such schemes are not effective in relation to the introduction of compulsory occupational pension schemes, where the distribution effects are much better than for individual pension schemes. So over to symmetry between income deduction and taxation: the minority suggests that the Storting decide that the Government should issue a proposal that will contribute to the symmetry of income deductions and the taxation of payments for individual pension schemes. This is probably an expression of a wish that the deduction of payments should be made in person income, i.e. the gross tax base, and not only in general income. The 1992 tax reform introduced two bases for the calculation of income taxes: general income and personal income. This distinction between income bases is a fundamental element of the reform and has been continued. The personal income is a gross tax base for which no deductions are made. Therefore, in view of the context of the tax system, no deduction should be made from the contributions to the new individual pension scheme in the personal income. Such a deduction of income could, in any case, result in a reduction in pensionable income and thus also in a lower pension from social security. Symmetry of the taxation of the new individual pension scheme must be carried out by taxing payments from the pension scheme as general income. However, this would involve different tax treatment of this type of pension scheme compared to other individual and collective pension schemes, thus raising many legal and, not least, practical issues. So a few words about minority proposals in the case of beneficiaries: The minority proposes that a customer have access to the appointment of a beneficiary who is allocated the pension funds at the death of the client and that the pension capital should go to the death residence if no beneficiary is appointed. The Committee also proposes the possibility of appointing the beneficiary under an individual pension scheme linked to a collective occupational pension scheme. Following the draft law, pension capital shall be allocated in the same way as the system chosen by the Pension Pensions Act for allocating pension capital at the death of the member. This means that the pension capital is intended to cover the pension of children who were depended on by the customer and by spouse and that any excess funds are allocated according to the system of the inheritance law. For pension insurance contracts, on the other hand, there is so-called mortality inheritance. The Banking Law Commission was divided into the question of whether there should be access to the appointment of the beneficiary of an individual pension agreement. The Ministry has followed the majority of the Banking Law Commission. A number of hearing bodies include: The Consumer Ombudsman has pointed out that the rules of the Inheritance Act do not always provide for a distribution of pension capital that is consistent with the wishes of the heirs. The same applies to the rules of the Marriage Act that give divorced spouses the right to a pension. If the proposal to appoint the beneficiary is motivated by a desire to distribute the pension funds differently from those resulting from the succession law and the marriage law, this should be done, where appropriate, by amending the laws governing this. It would be unfortunate if the law on tax-favored individual pension schemes opened up to circumvent the rules of inheritance and marriage law. Furthermore, it would be unfortunate to depart from the system incorporated for collective pension schemes, on the distribution of pension capital at the death of the member which prioritizes children and spouses, and which also takes care of the merits of the succession law and the marriage law. Then to the comments of the Progress Party, which believe that the amount of the deduction should ideally follow wage and price developments and, for example, is indicated as a proportion of the G. G. regulation of the limit on income deductions and annual payments were assessed in the context of a similar proposal when this was out of consultation. This will prevent the crown value of what is paid down. I can see that. However, it is not obvious that a G-regulation of these limits would benefit the customer. Annual contributions to pension insurance contracts and related risk agreements, i.e. non-pension, deposit or premium exemptions, survivors’ benefits and child pensions would become more complex to calculate and thus less predictable for the customer and would probably also make it more difficult for institutions to calculate costs. Furthermore, a G-regulation of these thresholds would lead to the loss of practical significance of the pension savings payment plan. Finally, useful enquiries and input have been made by the Swedish Securities Fund Association on interpretation and practice in relation to individual paragraphs. This applies, inter alia, to: different paragraphs of § 1-3 and § 2-1. Here I feel that there is now a mutual understanding of the relationships that the Swedish Securities Fund Association has taken up, and what the department believes is a practical solution. There was no amendment on that, and I also understand that the Swedish Securities Fund Association is satisfied with that interpretation. With this I would recommend the setting of the Committee.
ParlaMint-NO_2008-06-17-lower.ana.ud527e239	It's going to be line change.
ParlaMint-NO_2008-06-17-lower.ana.ud527e242	In a good and thorough review, the rapporteur of the case was part of the fact that the limit of NOK 15 000 is sufficient for most people. It's also in the notes. Why does the rapporteur believe this? We know that when the limit was 40 000 kroner, it was actually more than half of those who used it, who earned less than 400000 kroner, so there is no particular evidence to say that this only applies to those with high income and possibly high wealth.
ParlaMint-NO_2008-06-17-lower.ana.ud527e249	The rationale for the liquidation of the tax favorisation was among other things: the introduction of compulsory occupational retirement provision, which ensured to the vast majority the possibility of supplementary savings to pension contracts which are tax-eligible. In addition, as I mentioned in the introduction, it is also such that we have introduced a supplement for self-employed workers, which allows the establishment of occupational pension schemes in accordance with the minimum requirements for compulsory occupational pension. It is not that certain savings products affect the composition of savings, nor total savings. I think $15,000 is enough to meet most people. There's the Workers' Party and the Right disagree. I think we're going to have arrangements that make people the most able to get under such a scheme.
ParlaMint-NO_2008-06-17-lower.ana.ud527e256	I would first like to thank the case rapporteur for a thorough review of the matter. The case rapporteur has done a very good job with the matter, even though we have areas where we disagree. That's a political disagreement, and that's okay. I registered that the case rapporteur came to the comment of the Progress Party that we believe that the amount of the tax credit should ideally follow the wage and price developments. I registered that the case rapporteur saw some problems with it and did not automatically think that it was a good idea. But when the Workers' Party, the rapporteur's party, now believes that NOK 15 000 is a clear limit, today is not NOK 15 000 the same as NOK 15 000 in 10 years. It is not seen that it is an advantage actually to create a type of system, so that these amounts, for example. in this area, will there be some automatic follow-up to wage and price developments, so that some of those amounts that are reasonable at some point in time do not slow down and the scheme is thus weakened in the years ahead by the fact that the amount is actually less valuable?
ParlaMint-NO_2008-06-17-lower.ana.ud527e263	As I said in my introduction, I see the reason for the Advance Party to make this proposal, and that this can be weakened over time. But there are some other conditions that make such a plan less predictable for the customer, not least in terms of keeping track of what the plan is, and what it really is you have to pay in. In relation to a payment plan, at least we do not need it. I see it as the representative mentions, but as I said, there may also be other ways to increase the limit. So we have a wish from the majority to have this limit of money as low as possible. There we have a real disagreement about what hits best. Are those who have the highest wealth and the highest income, who are going to get into this, or do we better have an amount that, in our opinion, makes the most people can go into it?
ParlaMint-NO_2008-06-17-lower.ana.ud527e270	Several have not asked for the word for a line.
ParlaMint-NO_2008-06-17-lower.ana.ud527e273	Let me first of all thank the case rapporteur for a good review of the matter. The Progress Party welcomes the fact that as far as possible people are able to meet their own needs. The law we are debating today is such a law. Last week, the Council of State of this Parliament stated that the need for private savings is lower in Norway than in other countries, because in Norway savings are made on public hands. This analysis is based on a premise that the Progress Party does not share. The Council of State is quite right, of course, that the state is building up an ever-increasing wealth, but the Party of Advances does not share the belief that such a wealth can replace the positive elements of private savings. In the hearing on the credit notification, the Governor stated that, unlike many other countries, Norway does not have what he called ‘anxiety saving’. You can choose this from two sides. It is positive that the majority of the Nordics have confidence that the public will be able to maintain basic well-being. But, as the central bank manager was also in, public savings tend to create unrealistic expectations in the population. No public savings can replace the security and autonomy created by private savings. Freedom of choice related to personal well-being is a key element of the policy of the Progress Party, and incentives related to private savings are therefore positive. In this way, today's proposal for the law on individual pension savings is a small step in the right direction to give people the most back the authority over their own financial disposals. Today's pension system has two pillars. This applies to schemes linked to social security and pensions linked to individual employment. Today's bill is supposed to be the third pillar of the pension scheme. In such a perspective, it is sad that the Government chooses to invest in an annual savings amount that, for most, will mean relatively little at retirement age. The whole opposition therefore stands together on an alternative legislative proposal, on amendments to the bill promoted by the Government, which will allow each employee to save up to DKK 40000 annually with tax deduction. Furthermore, the Progress Party wants this amount to be automatically adjusted annually according to the wage increase and that the amount should be linked to the basic amount of the population’s social security. State Council Halvorsen has stated on several occasions that it is correct to tax people on the principle that they actually have money, despite the fact that the money may have been taxed several times in the past. This believes that the Progress Party is an infringement of ownership and contributes to weakening people's confidence in the tax system. In this way, the Progress Party is not surprised that the Government continues its double taxation through this bill. Like the other opposition parties, the Progress Party is skeptical of the asymmetry to which the taxation of the scheme in the bill provides, because the social security charge and any peak tax have to be paid twice. A person will have to pay social security contributions and top taxes on the income paid into the pension scheme, and pay new social security contributions and risk having to pay new top taxes for the year in which the money is collected. I bring up the proposals promoted by the Progress Party, the Right, the Christian People's Party and the Left.
ParlaMint-NO_2008-06-17-lower.ana.ud527e296	The representative Christian Tybring-Gjedde has taken up the suggestions he referred to. [[The representative Christian Tybring-Gjedde is on his way down from the pulpit.]]
ParlaMint-NO_2008-06-17-lower.ana.ud527e302	It's going to be line change. The representative Christian Tybring-Gjedde asked to come back to the pulpit.
ParlaMint-NO_2008-06-17-lower.ana.ud527e307	I was on my way home.
ParlaMint-NO_2008-06-17-lower.ana.ud527e312	I am sorry that I was so late to ask for a reply that the representative Tybring-Gjedde was on his way home. I want to get into what the Progress Party is discussing, and which the representative Ulf Leirstein was also involved in the line change, that the amount of tax credit should follow the wage and price developments, and that it is linked to the basic amount of people's money. As I said, I realize that there might be some reason to do that. But then my question is: doesn't the Advancement Party see that there may be reasons that speak against as well, and that it is not obvious that this is an advantage for the customer? I am thinking in particular that this will be a complicated scheme to calculate, and not least it will create little predictability for the customer. Would it not also make it difficult to calculate the costs and the payment plan of such a pension contract? In my view, it will also lose its practical significance.
ParlaMint-NO_2008-06-17-lower.ana.ud527e321	For the Progress Party, it is most important to ensure that pensioners have the best possible basis and the best possible pension. If that's how the system gets in the way of the payments, you have to do something about the system. If you have to promote a new bill for Stortinget every time you want to change this amount, we think it is unwise. We believe that the pensioners and those who save in this way must have a deposit guarantee and the payment they get on the other side. Whether this creates problems and administrative difficulties, which the representative Jamessen is in, one has to look at, instead of letting those who choose to save suffer because of the system's arrangements. The system then needs to change, the system is wrong. The system needs to be simplified so that pensioners and savings get more paid at the other end.
ParlaMint-NO_2008-06-17-lower.ana.ud527e326	Several have not asked for the word for a line.
ParlaMint-NO_2008-06-17-lower.ana.ud527e329	The rapporteur has, in an exemplary way, gone through both small and large in this matter. I would like to add some comments to what we disagree about. What we disagree about is that savings have become more restrictive in the country under this government. We have a negative saving in households, while public savings are currently very high and have resulted in Norway having a much higher public financial asset than most other European countries. It creates an imbalance between the public and private sectors and means that most of us leave much to the state to ensure freedom of choice and extra security in old age. It is a clear political goal for the Right to motivate more people to save, and at least we find it difficult to find arguments that this is not positive for individuals, for families and also for society. Saving is a long-term arrangement for individuals included in long-term liabilities, and it follows responsibility. Therefore, it is important that the State ensures predictability of the conditions. In the matter we are debating today, it is precisely the reverse that is the history. The State has acted as a private saved relatively predictable partner. Two years ago, when the red-green government announced the closure of all tax-stimulated pension savings, individual and collective annuity savings, and later carried out the same harvest during the budgetary procedure, this caused a very strong response by the savers. They experienced this as a clear breach of contract by the state, and there were unusually many protests against this intervention. In fact, there were as many as 800,000 individual IPA and annuity agreements, and in 2005 almost DKK 8 billion were paid into such schemes. Nor were these arrangements for the so-called rich. It is well documented, as I also took up in my reply a moment ago, that over half of those who used these arrangements earned less than 400,000 kroner. Thus, private pension schemes were used by people with a full average wage ratio. In addition, it was especially by the Government to cut out these schemes at the top of a high economic cycle where private consumption was very high. However, the proposals gave rise to such a protest storm both politically and from people most that it was in the cards that a system would be reintroduced. If this had not been done, significant amounts could have been released and contributed to increasing the pressure on the economy and the pressure on interest rates further. The government eventually had to accept the reintroduction of tax-stimulated pension savings – and that is good – with overly modest amounts. But the important thing is that the scheme is in place and can provide a good starting point for expansions in the limits of amounts at a later stage. Then it's interesting to note that there is an overall opposition behind the proposal to increase the amount limit today. There was an overall opposition to this, even at the budgetary procedure last autumn, on an annual savings of DKK 40000, and on the fact that the deductions from the deposits would have been symmetrically taxed in relation to the taxation of pensions. It is good for saving that the opposition is united. The new legislative proposal also exempts savers from the freedom to choose, within certain limits, who, in the event of death, will have the pension capital of tax-favoured schemes. It is an freedom of choice and a right of disposal that is important for individuals. The right considers that such freedom of choice should be maintained and has proposed an amendment to the law in this area. We are there supported by a relatively large minority in the Banking Law Commission, which is of the same opinion, and it has been supported by a large number of hearing bodies, in fact with the Consumer Ombudsman at the head, as the case-rapporteur also explained. Our proposals have already been addressed by others. To the extent that it's not done, I'll take them up here.
ParlaMint-NO_2008-06-17-lower.ana.ud527e348	The President can confirm that they have already been taken up by the representative Christian Tybring-Gjedde. It's going to be line change.
ParlaMint-NO_2008-06-17-lower.ana.ud527e353	The background to today’s government party’s liquidation of the scheme, as far as I remember, May 2006 was among other things. the introduction of a compulsory occupational pension, which ensures for the most part the possibility of supplementary savings to pension contracts which are taxable. In addition, self-employed persons are granted access to the establishment of an occupational pension scheme in accordance with the minimum requirements for compulsory occupational pension. Point 1: Does the representative Svein Fleet disagree with the fact that this has a better hit point for most people? The second is - as economic theory and other experiences show - that tax incentives for certain savings products only affect the composition of savings and not total savings.
ParlaMint-NO_2008-06-17-lower.ana.ud527e362	I see that the government parties also write about compulsory occupational pension in the setting. It is a very small supplement and means relatively little in relation to the amounts involved in the pension saving that we are now discussing. With regard to moving money - because that's what the representative Jamessen really asks about - that you move wealth when you have tax incentives, I'm of that opinion, and it also showed that a lot of people with incomes below 400,000 dollars were saving in these schemes. It wasn't particularly wealthy people, but it was people who simply took responsibility for their own lives by using their acid-acquired money for this saving and for their old age.
ParlaMint-NO_2008-06-17-lower.ana.ud527e369	Several have not asked for the word for a line.
ParlaMint-NO_2008-06-17-lower.ana.ud527e372	The matter we are dealing with today is a direct consequence of the pension agreement that was concluded, in which we agreed to reintroduce a private pension scheme, as Alf E. Jakobsen has explained. When a new private pension scheme was to be introduced, the scheme we have reached today is severally more neutral and better than the old private pension schemes, such as: was slaughtered quite dramatically by the magazine Your Money, and as there was subsequently a broad consensus on favoring a good deal of poor savings products that people chose, and was advised to choose, precisely because there was tax deduction for them. I'm here to save people. But there is always a question of the extent to which the community is going to enter into special tax arrangements for people who are in fact so wealthy that they can afford to save. Therefore, I think it is very important to say that when we first introduce such a savings scheme, we keep to the amount of NOK 15 000 instead of increasing the amount, as the opposition suggests, to NOK 40000. I find it strange that parties who are often talking about how important it is to spend money on combating poverty go in and say that it is important to make sure to increase the amount limit in a savings scheme where it is quite obvious that a scheme where those who can afford to spend NOK 40,000 per year in an individual pension scheme are at the expense of money that the community could otherwise have spent on other things. I notice that the Progress Party brings with it the following ideological gold grains, namely, that ‘as much as possible people are able to meet their own needs’. I think it's interesting in a society where we've actually chosen to make sure that we make savings for old age together. It's both fair and good because we've provided a pension scheme where those with the highest income are involved in financing pensions for people with lower income. That's what we saw in social security this year, where we helped raise the minimum pensioners quite significantly. Another point that is also important in the context of a common scheme is that there is a much more effective way of saving than if everyone were to run around and operate on private pension schemes. This last one is described very thoroughly by Joseph Stiglitz, the Nobel Prize winner in Economics, who clearly shows how much the loss is, and how much the transfers to marketing and transaction costs are in the form of fees and fees to financial brokers, if you choose to rely on individual pension schemes. It's obvious that this is something that Christian Tybring-Gedde is strictly ideological about, rather than the kind of joint pension scheme that we have here. There's quite a curious contrast to the fact that Christian Tybring-Gjedde at the same time says that the pensioners should secure the highest possible pension. The question is then: how can you be able to say that people must save as much as possible their own pensions, in order to relate to the point that the maximum pension is to be provided to pensioners as far as possible? There is no doubt that the system that we in the government parties are applying, namely that savings should be made as far as possible under the Community's control, is the type of saving that benefits most, regardless of the kind of income you have had in your working life. Once we've reached a pension settlement, I'm glad we've managed to get together on the scheme we have here. Then we will certainly have more debates in the years to come, both on the limits of the amount and other aspects of retirement.
ParlaMint-NO_2008-06-17-lower.ana.ud527e386	It's going to be line change.
ParlaMint-NO_2008-06-17-lower.ana.ud527e389	In his post, the representative Holmås stretched from Stiglitz to your money. That's the last statement I was going to take a little bit of hold of. I understood the representative that the closure of the savings schemes was due to something that Your Money has also written about, namely that people placed their money in products that they didn't like, that there were bad products, that they got bad returns, etc. There may well be a reason to wind up this scheme. How does the representative Holmås feel about control in the future? This problem is just as full with a limit of NOK 15 000 as with a limit of NOK 40000.
ParlaMint-NO_2008-06-17-lower.ana.ud527e398	It will be very important to take care of the control activities. I mean, and I think that also the representative fleet agrees that when we have a more neutral system like the one we have today, there could be more different types of savings products where we are going to have this type of deduction scheme, i.e. favourable tax deductions, which means that today's system will be better than the old one, but that remains to be seen. Here we have a great job to do. The consumer media, the supervisory bodies of the credit supervision and not least we politicians have a job to do by making sure that the savings products that are now being offered to people are the best possible. I hope that both the representative Fleet and I will deal with both the finance minister and others in the years to come, if we see that we again get a good deal of savings products that are simply bad for people to save in.
ParlaMint-NO_2008-06-17-lower.ana.ud527e403	I must say there was political lobster and canary in the post that the representative Holmås held. I don't know what I'm going to get into first, but I can take this with poverty. He almost accuses the parties who have claimed to be interested in that field, saying that they should not go for NOK 40,000, as I could understand. After all, it is quite bold of a government that, in the revised budget, has not proposed a single further action against poverty, to make that kind of statement. Then I realized that there would be a contrast between fighting poverty and working for a tax deduction when you save on your own pension. There are a lot of people who don't make a lot of money, but still have the power to save. My question on the basis of that is: Would the representative Holmås prefer that they drive with consumption instead?
ParlaMint-NO_2008-06-17-lower.ana.ud527e412	I think it's nice that people save -- as I said in the post -- but I don't see any reason why the community should give priority to the resources we have, in that way we're going to give most to those who have the most money to put in the account, so they're going to save on their own pension. I think it's a little bit of a special policy. I also think that this proposal has been incorporated into the range of proposals that part of the opposition - not in all contexts of the Christian People's Party - has joined, namely, where one goes in and gives relief to the inheritance tax on properties that are just benefiting those who inherit the greatest and best properties, and the exemption from the tax on wealth, which I know that an overall opposition wants to abolish - albeit at a slightly different pace and to different degrees, but which, however, comes first and foremost to those who have assets. Then this looks very special to me. Because if you can afford it in these areas, you can also afford it in other areas. We think that's right to give priority instead.
ParlaMint-NO_2008-06-17-lower.ana.ud527e421	The cord shift is over.
ParlaMint-NO_2008-06-17-lower.ana.ud527e424	I really didn't intend to follow up the estimate of a poverty debate with the representative Holmås, but I registered at least that there were no new examples of what the government is doing in that way. It's probably essentially saying most of the time in this context as well. We in the Christian People's Party are pleased with the pension agreement that came about last year, and I believe that the point of a scheme with the possibility of tax deductions for individual pension agreements also contributed to that. We disagree on the amount, but it is stated in the agreement that it is okay. Then we'll see if you're from e.g. 2010 has a slightly different amount than what is being opened for now, i.e. NOK 15 000. As we know - in different budgetary contexts, the opposition is in favour of a deduction of NOK 40000. I really just want to pay tribute to the legal work that has been done. The representative Fleet, on behalf of the opposition, has given some explanations of the dissidents we have, but in sum we are absolutely pleased with what the arrangement is now looking like. Then, as far as others were concerned, there is a question of how this is now managed by those who offer this type of insurance and pension contracts. We have to make sure that both the administrative costs, the start-up costs and the accommodation options are such that those who buy these contracts actually understand them and are also aware of the costs that fall on their hands. But here we have contributed so far through legal tightening, and I expect that supervision also follows up this part of the case, while at the same time we have a vigilance press that has fortunately done its job to put the search light on some unfortunate questions related to just this kind of financial advice. With that, we give our support to the vote and the minority proposals.
