ParlaMint-NO_2008-04-08.ana.ud2463e67	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2008-04-08.ana.ud2463e238	The representative Carl I. Hagen has taken up the suggestions he referred to.
ParlaMint-NO_2008-04-08.ana.ud2463e241	To the extent that there is full agreement mainly in the Committee on Petitions, it is not necessary to have a long post. However, I would like to make a few comments, and my colleague, Laila Davøy, will take up a side on this matter with regard to the veterans. One of the main objectives of the changes in Defence in recent years has been to get a better operational defence. Defence shall be changeable and effort-based with emphasis on national and international operations. The defence's capacity shall in principle be capable of being used both at home and outside. In its study, the National Audit Board has assessed whether the defence meets the Storting’s decisions and assumptions relating to participation in operations abroad, and whether the Ministry of Defence and Defence through governance facilitates the fulfilment of those assumptions. The survey shows that there are gaps in both material and personnel that could be used in operations abroad. This is also mainly an agreement between the Department, the Defence and different levels of Defence. In the FLO, the Defence Logistics Organisation, there is a lack of commercial and technical personnel, which also affects FLO’s ability to support operations abroad. I expect the department to take this into account. The National Audit Office also points out that there are improvement areas related to requirements and reporting. Hopefully this will improve once a new overall document has been prepared that sets operational requirements for the Defence Units in the context of the new long-term message. The Christian People's Party welcomes the fact that, despite the shortcomings identified by the report, Norway has been able to provide its contribution to international operations. Norwegian soldiers do and have made a great effort in international operations for decades. Their safety and security must always be a priority.
ParlaMint-NO_2008-04-08.ana.ud2463e258	The purpose of the audit has been to assess whether the defence complies with the decisions and assumptions of the Storting regarding participation in operations abroad and the extent to which the Ministry of Defence and Defence through its governance facilitates these assumptions. We have noticed that the National Audit Office's investigation reveals significant shortcomings in the availability of material both in the defence sectors and in the common capabilities. Within the Defence Logistics Organisation, there is a lack of technical and commercial personnel, which has implications for FLO’s ability to support operations abroad. It is our opinion that the Ministry of Defence takes seriously the comments of the National Audit Office, and that the Department and the Defence Department themselves have been aware of the shortcomings and weaknesses that have been revealed, and have taken action to correct them. The Committee assumes that the Ministry of Defence will focus on this during the coming long-term and will ask to be properly briefed on the impact of the measures taken. Despite the criticism that has been made, at least we in the Central Party have noticed that the defence during the period covered by the survey has had the ability to deliver the contributions that Norway has committed to in the case of international operations. I would like to stress that it is impressive, but at the same time it may mean that the pressure on the special command in Defence today is large, perhaps too large, and that it is necessary to strengthen the manning of Defence in the future, or that one might have to consider whether it is possible to maintain the level of contribution we have to international operations in the future. These conditions are intertwined and it is important to have a continuous assessment of that situation. We have to be careful so that we do not lose the good skills many people have in the defense today, in a pressed labour market where defence can rarely be competitive on wages. With regard to the objections of the Advance Party to a merger of the Press and Information Department, I would like to point out that this is a process that has been planned for a long time. It will strengthen the coordination of information work in defence. I find it strange that it can be claimed that this measure is a weakening of the military professional prerequisites for military foreign operations.
ParlaMint-NO_2008-04-08.ana.ud2463e271	I would like to express my satisfaction at the fact that the National Audit Office has carried out a thorough examination of the Defence Prerequisites for participation in operations abroad. The national audit highlights the potential for improvement in several areas. I would like to stress that I take these matters seriously, and the comments made by the Riksrevision and the Committee. However, I would like to mention what has also emerged in the articles here, that we have provided the strengths to which we have committed ourselves. The units that have been deployed in operations over the past few years have also received very good feedback on both the quality and the ability to solve these tasks. These feedbacks have come from the Heads of State or Government, and from the United Nations, the EU and NATO. I'm glad the committee has also noticed this. I agree that material and personnel availability is a key prerequisite for participation in operations. In St. prp. No 48 for 2007-2008, the government’s proposal for a new long-term defence plan, is set up for the introduction of new and further development of existing capacities. This will make Defence more accessible and applicable to operations abroad. I am well aware of the challenges that the Riksrevision points out in terms of staff shortages. Providing some categories of personnel, especially in connection with communication, sanitation and logistics, has been a particular challenge. Several measures have therefore been taken, including: is the annual work frame in the Army strengthened by over 40 pst. during the last two years. The new long-term plan also provides for a further increase in the number of defence employees. This will in the long term strengthen the defence’s ability to contribute with relevant forces. This is also an important measure to respond to the concerns expressed by the representative Breck, with the pressure on some staff. The Ministry of Defence has focused on strengthening operational capability. This means ensuring better strategic development of Defence in the context of preparedness, exercises and operations both nationally and abroad. In the light of the comments of the National Audit Office, the Ministry has drawn up a list of measures to improve management of operations abroad. Several measures have already been taken. Among other things, it has been mandated to establish an evaluation system for the Army and to improve the experience transfer systems. Operational requirements will be developed and the financial management capacity of Chapter 1792 of the State budget - operations abroad - will be strengthened. The list of measures will be dealt with routinely in the Ministry. With regard to the proposal of the Progress Party to assume that additional appropriations are requested to address deficiencies in material, exercises and other cost-intensive purposes, I would first like to stress that the strengths we send to operations outside are properly composed, trained and equipped. No departments are sent out until they are declared ready from the Defense Department. Secondly, material access is not just a matter of money. I agree with Mr Hagen that the soldiers deserve the best equipment, but it is also true that delivery times are often long, because many nations want to buy the same type of material at the same time. The third factor is that the Government is proposing additional appropriations for new operations, where there is often a need to buy new and specific material, i.e. operations that could not necessarily be foreseen when the budget was presented. To the representative, Lånke, I would like to say that deficiencies in FLO personnel are probably also the result of the conversion and downsizing that was between 2002 and 2005, and that we are working hard and actively to make amends. Finally, I would like to stress again that I am concerned that the Stortinget is well informed, and that I take seriously the Riksrevision's assessments regarding the deficiencies identified.
ParlaMint-NO_2008-04-08.ana.ud2463e292	It's going to be line change.
ParlaMint-NO_2008-04-08.ana.ud2463e295	I am pleased that the Council of State gave some support to our idea that it should not be on money when it came to necessary equipment for our operations and soldiers and officers in missions abroad, but she thought there might be problems with delivery time on equipment. Therefore, I would like a clear confirmation from her that if there is a need for material of a different nature - that the professional militants clearly say that we want this - and if it can then be obtained, it should not be on money. Have I then understood the Council of State correctly?
ParlaMint-NO_2008-04-08.ana.ud2463e300	The representative Hagen has understood correctly that it should not be on money when it is material that the head of defence believes is necessary to carry out an operation. It's not on money. But very often we are enough in the situation that there are very long delivery times on the material we are going to have, because it is not just us who are looking for the material. That material is a lot of nations out there.
ParlaMint-NO_2008-04-08.ana.ud2463e306	I thank you for the very positive and reasonable response to the Council of State, which clearly means that it is where there are no delivery times. In some contexts, I have seen the Council of State there that she may think that the defence industry in many countries is too active in selling their goods and equipment, and that there is actually a very large sales pressure and delivery capacity in very many areas - so much pressure that you go to methods, or earlier went to methods, which the Council of State is quite rightly fighting, and which I share her views on combating. I just want to say thank you for a good answer regarding my previous line. I accept that with great joy.
ParlaMint-NO_2008-04-08.ana.ud2463e313	I must say that I am pleased with the defence industry and that the defence industry can deliver. I do not understand the sales pressure. When we really need equipment, on the contrary, I am very satisfied with and happy that they can deliver. But I have to admit that many times I am in a situation where there are long delivery times on materials that we would more than want to have.
ParlaMint-NO_2008-04-08.ana.ud2463e318	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-04-08.ana.ud2463e323	A main objective of the change in defence in recent years has been to get a better operational defence. During the transition period, the defence has evolved from a mobilization defence to an intervention defence, with emphasis on quality and flexibility. The defence's capacity shall in principle be capable of being used both at home and outside. In its study, the National Audit Board has assessed whether the defence meets the Storting’s decisions and assumptions relating to participation in operations abroad, and whether the Ministry of Defence and Defence through governance facilitates the fulfilment of those assumptions. In the proceedings, the Christian People's Party has noticed that: ‘The defence provides high-quality strength support, but there are significant volume, endurance and operational capability challenges’. In addition, it says: ‘However, the Ministry points out that in recent years the trend has been that the defence is being required to participate in an increasing number of operations and preparedness forces.’ And another quote: ‘The Ministry of Defence has confirmed in an interview that any suspension of material acquisitions will affect operational capability and the Ministry has further pointed out the risk of significant stress on the personnel concerned.’ The National Audit Board points out that it is serious that the defence has personnel shortages and wear, in particular in the Army and within Community capacities, and questions whether the defence has capabilities to perform both national and international tasks as foreseen by the Stortinget. For those of us who have worked on veteran issues, it's their stories that come forward. Does corruption and government have such great ambitions to participate in international operations that our soldiers are being robbed? There is a question that can be asked. The army believes that the ratio of one to five is what takes care of the individual’s mental health and family life in a satisfactory way, i.e. six months out and two and a half years out in Norway. We're not there today. In addition, we are aware of the challenges of providing enough highly qualified sanitary staff to Afghanistan, which many have experienced, for example. surgeons and anesthesiologists. The Christian People's Party notes that despite the shortcomings identified by the report, defence has been able to provide its contribution to international operations. The safety and security of the soldiers must always be a priority, therefore the reports in the report must also be considered in the context of the long-term plan, which is currently under consideration. Norwegian soldiers do and have for decades made a great effort in international operations of which we are all proud.
ParlaMint-NO_2008-04-08.ana.ud2463e356	When I have not taken the floor earlier in this matter, it is because the right is part of the majority of the committee, and I also have little to add to the rapporteur's statement. On the other hand, the Progress Party is promoting a proposal, proposal No. 2, which I see has nothing to do with this matter that is dealt with by the Control Committee, to do at all, thematically. In my opinion, it belongs to the Trade Union Committee, i.e. to the Defence Committee. But once the proposal has been included in the vote, and it has been promoted in the Chamber, I would like to say that this view of the planned merger of the press and information department of the Council of State and the Chief of Defence is a point of view expressed publicly by the Right in the past. So we share this view with the Progress Party, and believe that this case has a principle side, not least in terms of the defence manager's professional independence on such issues. That is why we share the view that the matter should have been dealt with in Stortinget. That means that we will vote in favour of what we are for, even if the matter in itself might have been addressed in a different context. I therefore advise the Right-wing Group to vote in favour of proposal No. 2. from the Progress Party, and ask the President to take note of it.
ParlaMint-NO_2008-04-08.ana.ud2463e365	I would like to comment on some of what the representative Davøy said, because it is a topic and an area that is important to us, namely that we should not engage in robbery on our staff, and the recognition that there has been a lack of personnel. At the same time, I want to say, as I also said in my post, that we have had an increase in the Army of 40 pst. during the last two years. There are permanent positions in the Army. In addition, through the new long-term plan, we will also fill in the areas - interconnectivity, sanitation, management support and logistics - where there are gaps, in particular the personnel who are subject to the greatest burden. In addition, I would say that for the future, we will also try, as well as we can at least, to divide the missions into several defenses, because there is no doubt that the Army has taken a large share of the missions that have been, naturally enough. To the question of whether we have too much ambition, I would say that this is also about showing solidarity with our allies, especially in Afghanistan, where there is a great pressure, not only in Norway, but also in other countries. There's a balance between what we can do and what we want to contribute. Otherwise I agree that one to five ratio is a very good goal. And as I said, we are actively working to fill up with key personnel. Then to the representative Foss’ point of view on proposal No. 2, from Carl I. Hagen, which I actually think is quite interesting. Integrated strategic management in the Ministry of Defence was introduced on 1 August 2003 under the previous government. It was then decided that the head of defence would enter the Ministry of Defence. This means, among other things: that the head of defence has access to the entire department as a whole, to all the functions of the department. He's using the legal department, he's using the operating department, he can use the finance department -- absolutely the whole department. It was natural to have two information departments until we moved into a common management building. So now we have two information units sitting on the wall. This has nothing to do with gnawing the military views. For those points of view, it is not the information department, it is still the head of defence who is to be included - of course, through his own numeracy function.
ParlaMint-NO_2008-04-08.ana.ud2463e374	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 2826]]
ParlaMint-NO_2008-04-08.ana.ud2463e390	At the request of the Control and Constitutional Committee, the President will propose that speaking time be limited to 50 minutes and allocated up to 10 minutes to the rapporteur, up to 5 minutes to each of the main speakers of the other parties and up to 10 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies following the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
