ParlaMint-NO_2008-05-27-lower.ana.ud2053e29	The proposition will be dealt with in a regulatory manner.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e182	Medical and health research is very important. We also need such research in Norway to gain knowledge about the diagnosis and treatment of disease — and to ensure that we have as good a health service as possible at all times. This type of research must be legally supported by legislation. Today’s legislation is complicated and not well regulated in some areas either. There are many laws regulating different aspects of research, and several bodies have to assess a research project before it starts. This is a time-consuming process. We often see that different instances today overlap with each other in relation to which themes to consider, and they may also produce different results. In our proposal for the new Health Research Act, we have essentially added all decision-making powers to the Regional Committee for Medical and Health Research Ethics, abbreviated REK, as several have been involved. The REKs are multi-disciplinary and shall have competence in relevant research disciplines, ethics and law. In addition, toy players shall be represented in the committees. The Committees must see the wholeness of each research project and ensure that the legal requirements are met and that the project is ethically sound. As the majority of the Health and Welfare Committee also points out, the REKs need to look at research projects together and monitor developments in privacy and other ethical issues. One of the main objectives of this proposal is to ensure that research now and in the future remains a high standard and ethically sound, while at the same time providing researchers with simpler and better regulation to deal with. This has two aspects: the Health Research Act must prevent fraud and ensure that all research goes right – and the law must ensure that research participants are protected. The last is the most important thing. As regards the prevention of fraud, the Health Research Act has several provisions to ensure that research is carried out within such a framework, so that fraud is caught. As mentioned above, it is the REK that shall assess all applications by virtue of being the approval body. In addition to the general requirements of Section 5, the law requires any research project to have a research manager. This will typically be an institution, and the requirement will place a general responsibility at system level. This has not been statutory before. Furthermore, as is known, a project manager is required to be responsible for the day-to-day activities and a research protocol is to be established. A register of registered and completed research projects shall also be established after the proposal to allow society to monitor the nature of medical and health research undertaken. The second main component of good and sound research is to protect the person involved in the research - and I would say, seafaringly. All regulation of medical and health research must ensure that the interests of the research participant are taken into account. This applies regardless of the theme of research. In the work on the bill, therefore, we placed great emphasis on finding the right balance between society's interest in facilitating research for the benefit of all and the interest of privacy. I have noticed that the Health and Care Committee has given particular attention to this in its examination of the proposal. I believe that a good balance has been found between the consideration of the individual and the consideration of research. In relation to the health requirement in Section 5, the research shall be based on respect for human rights and human dignity. The well-being of the participants will take precedence over the interests of science and society - and here I have noticed that on the part of the Committee there are proposals to add ‘integrity’ to the legal text. The provisions of Section 5 guide how other provisions of the law are to be interpreted and understood. The Regional Committees for Medical and Health Sciences must ensure that the requirements of Section 5 are met - in any assessment they must make. The general rule of the Health Research Act is that medical and health research requires the consent of the research participants. But in practice, we know that it is not always possible to obtain consent. It may be because the research deals with an acute illness, it may be because you want to research dementia, and it may be that you want to research old patient data, and there is reason to believe that there is a lot of it around Norwegian hospitals that you have so far not been able to use to improve patient treatment. Or it might be hard to find the patient because he's dead, moved, changed his name, etc. The Government has therefore proposed some exemptions from the consent requirement, but under strict conditions and only in certain cases. I have also noticed what the committee thinks about this in the vote.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e210	It's going to be line change.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e213	I want to ask a question to the Council of State. But first of all, I would like to thank the Council of State for meeting up with this work. I think it has been very constructive, and I think we can all agree that we have actually got a better bill. My question concerns Section 28 and the introduction of so-called passive consent to research on biological material collected in connection with diagnosis and treatment, and the establishment of a reservation register, if any. If we're going to make it work, the information obligation is very important, and what we're informing about is actually being done in a proper way, so that the patient involved gets information about these things. Then I would like to ask the Council of State the following question: Will you now ensure that a thorough advance work is done here, which can just ensure that the information given is relevant and understandable to patients, so that you know what you are actually going into and what rights you have?
ParlaMint-NO_2008-05-27-lower.ana.ud2053e222	First of all, I would like to agree that it has been a very good cooperation. Now, it is not normal for governments to praise committees, case rapporteurs or, for that matter, committee leaders, but I can join in the praise given by the committee chairman in this connection, which I also believe has been good, and which he also gave to the case rapporteur for the good work done in the committee. I also agree with Mr Nesvik that we have achieved a good result in a very difficult matter. So it's quite obvious -- I can only answer yes -- that prior to this coming into force, on the basis of the decision that Odelstinget is going to make today, we're going to do a thorough job of informing, so that everyone knows what they're dealing with, what it means, and what a person might go into. Then we have challenges in cases where it is not possible to obtain consent. But I've been following closely what the committee thinks about it, and I also perceive that there is quite a broad consensus on what needs to be done in those cases.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e229	As I was in my main post, we are pleased that the government parties have met us in terms of the requirements for parental consent in the field of health research of children aged 12 to 16. We see it as an important principle that parents or superiors as the child's closest must consider whether it is in the child's interest to participate in such research or not. Of course, the child should be entitled to confidentiality with regard to the information communicated. Furthermore, it is clear that the child himself must have the right to refuse to participate in research, even if the parents agree. My question is whether the Council of State can explain the types of health research that it is appropriate to permit without parental consent and the reason why parents should not be given the opportunity to refuse to participate in such projects.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e236	I believe that the amendment that the Committee has now proposed in its position on the Odelstinget is a good proposal, and it is full to live with in the field of research on children aged 12 to 16. The general rule, as the representative is very familiar with, is that parents or others must consent if they are to be researched on children in this age group. When the Government, the government parties and the parties supporting this have been concerned that there must also be exceptions to this general rule, I would first like to make it clear that there will be exceptions, and that there will be strict rules and strict conditions. It is also clear that there may be specific cases where parents may have a self-interest in not researching information which they do not wish to provide. This could be done, for example, by: It's about violence and assault. So the next question is: Given that a scientist gets it -- what happens then? I heard it was raised in the debate, and that is a very understandable question. Then it will be so that [[President clubs]]
ParlaMint-NO_2008-05-27-lower.ana.ud2053e245	It's probably the same thing, so maybe it's possible for the Council of State to complete. We'll see. This is the case with children aged 12 to 16 and whether they should be able to give their own consent. The reasons given by the government parties are issues of violence or abuse. I liked to read better what was in the proposition from the Government. There, this was related to the issue of violence and assault as a point to be brought back to later, i.e. that one would investigate in which cases - and how - this might be done. In any case, I understood the proposition so that you would come back, possibly also to Stortinget, with how this might be handled. Now it's added as an exception. I'm very concerned about this, and I can imagine asking the Council of State how she thinks this should be done, and who should be involved in making these exceptions. As is currently available, it includes both rare diseases, such as violence and abuse, and youth surveys.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e252	I can perhaps continue where I left off in the previous answer, because I expect it to be of interest to the representative, too, Mr. Davøy. If it is discovered within a strongly restricted refuge -- that's what we're talking about here, because this won't be the usual thing -- that there's violence or abuse you're facing, it's that if a scientist is a health professional, this has a duty to report to child protection. It is also such that regardless of whether the researcher is a health professional or not, if there is a risk of recurrence, you must report it to the police. It's not like you're just sitting there with an information if a child is subjected to violence or abuse. There will be a very limited regulatory helmet, that is, exceptionally, in this case, and it is in the nature of the matter that this will not apply to all kinds of things. It'll be very narrow. That's this job we're going to do. We're going to follow what Odelstinget is going to adopt today, and we're going to maritimely focus on what is Odelsting's intention in relation to it.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e261	It's possible that my question will lie a little bit on the side of what we're necessarily discussing. We're now getting what I want to say is a good law. We've got a lot of sections together, and we're making it more transparent and easier to relate to these. You clearly express procedures for how these things are going to be done, but I have a question related to those who are actually going to use this law. We have seen a number of suggestions related to, among other things. play in scientific positions where you look at the economic aspect, including: enormous variations, in being able to recruit and get people to stand in the research positions. My question to the Council of State is, when we are going to have a good research law in place today, will you go further and look at the very framework conditions of those who are going to run this research, so that we can get a step further there? What can we expect from the Government in time to come?
ParlaMint-NO_2008-05-27-lower.ana.ud2053e268	It is clear that the representative here raises an important question, which I feel is a little on the side, but as we have said, it is important for us to be able to implement this important law. The government is concerned that we are able to recruit well for important research positions, but I can't over the table - to use that expression - answer quite clearly to what the representative here asks about. It would be quite natural for us, in the follow-up to this as well, and generally in relation to the question the representative here raises, to have close contact with the Ministry of Knowledge, which has a primary responsibility for that particular problem. But we have the same goal: to have good enough researchers in these jobs.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e275	Back to my first line. What I'm very concerned about is that a research project reveals some research questions, that children come into a situation where maybe hidden experiences and traumas arise, and that this should lead to a researcher possibly being able to report the matter to child protection or the police. Just like that, I think it's incredibly difficult, and it's perhaps a little dangerous for children to be asked on their own about such difficult questions by researchers who don't want any treatment skills, or for the part demands that they do something there and then other than report. That's not good enough.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e283	I'm dealing with what Odelstinget is going to adopt. I hear that the representative, Mr Davøy, disagrees with the position of the committee. Let me just as strongly as I can, stress that what we're talking about here is a limited exception. That's what we're going to do to define what is. Violence and assault can be an example. It is also very important to repeat that there are researchers who are health professionals, and in those situations they have a duty to notify child protection. But then there is also at the bottom here, as I heard the representative Davøy said earlier, that we have other arrangements to facilitate the capture of children who suffer differently, i.e. kindergartens, schools, child protection, school health services, etc., so that's not the primary purpose of the home. But it's clear that you get this information, it also needs to be handled properly, so that the children who need follow-up get the necessary follow-up if they haven't already received it. I really feel that we agree that in such situations children will have.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e288	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e293	First of all, on behalf of the government parties, I would like to thank you for the good words that have come to us. Of course, we are happy about that. As I was in my first post, I also believe that the work of the Committee has been well managed, that there has been a good dialogue. I also think that this debate has shown that there is a fairly large political consensus on this law. I will therefore not help to extend the debate very much, but just briefly comment that I am a little surprised by the critical review that § 28 and 35 has received, especially perhaps from the Right. In other words, the paragraphs on access to biological material and health information collected in healthcare are concerned with research. I think it was said that these were far-reaching exceptions. I don't know if I can agree. I'm not going into that discussion too badly right now. But at least it is that, with regard to these paragraphs, we have met in the Committee, and I think it is important that it appears from the debate that there is an overall committee which, after all, promotes these paragraphs, although there have been some different approaches to them initially. The alternative proposals available relate to sections 15, 16 and 27 in addition to section 17, for which it is a proposal from the government parties. I think it's important to clarify that. Otherwise, I would just like to say that I think the debate here has reflected the dialogue we have had in the committee. It's been good.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e302	So I allow myself to extend the debate a little bit, three more minutes, because I think this is so important. It's the same thing that I had a line on, that is, with the consent of children between the ages of 12 and 16, who still worry me. I really do want to send some messages to the Council of State when the work is going to go on in the Government. Now this exception comes, and it really has to be worked hard to make it as narrow as possible. I would like you to end up saying that we don't do it anyway, but it's probably too optimistic. The reason why I think it is very difficult is also that there are so many different signals from the government parties and the government about what should be exempted, or what to assume in order for children to give their consent. For in the government odelstingsproposition, it is stated that ‘strong consent requirements may lead to little research being carried out on certain patient groups’. There's some background for exceptions here. So you're signaling that it might be about rare diseases. At the same time, there is also an example of cases where the collection of sensitive personal data in a youth survey should be the basis for such consent directly from children. And so you've been saying from the government parties in dealing with the odelstation proposition that it can be about violence or assault problems, where, of course, in some cases, parents can have a self-interest in not being researched. So there we are in the Storing and are very uncertain about what this is really going to be. That is why I repeat that it would be desirable to come back to Stortinget and we got a discussion where several of us could join in and in a way be sure that such an exception, if it should come, was actually very, very strict, and not least that these children/youths are involved, will be kept in a good way if, as is now the case, one chooses that they should be able to give their own consent, without the parents knowing it.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e311	Several have not asked for the floor and the debate is closed. [[Votation, see below]]
ParlaMint-NO_2008-05-27-lower.ana.ud2053e319	Odelstinget then goes to voting.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e327	Six proposals have been put forward during the debate. It's proposal No 1, from Dag Ole Tegen on behalf of the Workers' Party, the Socialist Left Party and the Central Party, the proposals No. 2-5, by Sonja Irene Sjøli on behalf of the Right, Christian People's Party and Left Proposal No. 6, from Gunvald Ludwigsen on behalf of the Left Proposal No. 5, from the Right, Christian People's Party and the Left, says: ‘The Government requests the Government to submit proposals for conditions for the supply of human biological material from research biobanks to the Public Prosecutor’s Office. ‘... Proposal No. 6, from the left, says: ‘The Government asks the Government to review research ethics rules for masters and doctoral degrees based on research on children and young people at the intersection of health and social research and to return to the Storting in an appropriate manner. ‘... These proposals will be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e675	Paragraph 15, second paragraph, first and second sentence, has an alternative proposal from the Right, Christian People's Party and the Left, proposal No. Article 2 is replaced by the following: ‘In the Act on Medical and Health Research, the first and second sentence of the second paragraph of Section 15 shall be replaced by the following: If it is impossible to obtain new consent, the Regional Committee on Medical and Health Sciences may authorise new or amended use of previously collected human biological material or health data without new consent. [[Health Research Act]] This can only happen if the research is of very significant interest to society and there is no risk of infringing individual integrity or privacy. ‘... Also to Section 16, fourth paragraph, there is an alternative proposal from the Right, Christian People's Party and the Left, proposal No. 3rd@item: inlistbox ‘In the Law on Medical and Health Research, the fourth paragraph of Section 16 shall be replaced by the following: If this is absolutely necessary for carrying out research of major societal importance, the Regional Committee on Medical and Health Sciences may permit continued research on the material or deferred destruction, deletion or extradition until the research project has been completed. [[Health Research Act]] This can only happen if the research does not represent any kind of breach of individual integrity or privacy. ‘... Furthermore, there is a proposal from the Workers' Party, the Socialist Left Party and the Centre for a seventh paragraph of Section 17, proposal No. 1:@item: inlistbox Adjective, language ‘The seventh paragraph of Section 17 of the Act on Medical and Health Research is replaced by the following: The Ministry may provide that for special types of research projects children aged 12 to 16 may itself consent to research into health information. [[Health Research Act]] The Ministry may lay down detailed rules on the requirements for such consent. ‘...
ParlaMint-NO_2008-05-27-lower.ana.ud2053e721	The President will now refer to voting proposal No. 4, from the Right, Christian People's Party and the Left. The proposal reads as follows:
ParlaMint-NO_2008-05-27-lower.ana.ud2053e739	President! I didn't hit the button in time. I was distracted by the music out there.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e744	The representative should probably have voted in favour. Then there will be 58 votes against and 18 votes in favour of the proposal from the Right, the Christian People's Party and the Left, which is therefore not accepted.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e1283	Right, Christian People's Party and Left have announced that they are against Section 27, third and fourth paragraphs.
ParlaMint-NO_2008-05-27-lower.ana.ud2053e1302	It is voted over the title of the law and the law as a whole.
