ParlaMint-NO_2008-02-28.ana.ud2591e47	The representative of Åse Gunhild Woie Duesund will present two proposals for representatives.
ParlaMint-NO_2008-02-28.ana.ud2591e248	"We're going to create values, but it doesn't matter how we do it." It's a motto that one of our larger investment funds has. The same motto could perhaps be applicable to the State pension fund - to the extent that both the domestic part and the slightly larger foreign part. After all, the ethical guidelines presented by the Cooperative Government to the Stortinge in the previous period are based on the fact that we have two overarching ethical considerations in the management of the nation's savings capital: It is ethical in itself - above all to those who come after us - to secure a financial return that is proportionate to the risk of the investments. Creating values through sound capital management is valuable in more than one way. But we do not accept that it happens through the production of products or production methods for which we as society will not be co-responsible. I - and I think more with me - have with interest also registered the Minister of Finance's commitment to assure the outside world that the State pension fund is a professional, predictable and open actor who does not make investments for political reasons. At the latest in the Financial Times, the Minister of Finance was aware of the blessings that the free flow of Norwegian investment capital brought to the international capital markets, and why some governments should therefore abandon any ideas on the specific regulation of national government funds. I also registered with interest the strong stress the Minister of Finance gave both in this article and in the opening of the Department's ethics seminar a few weeks ago that the fund should of course not be a tool for politically motivated investment decisions. So the question is whether that view is shared by her party trap that I've referred to in the introduction of this interpellation. Enough about that. I think basically the Minister of Finance and I can agree that there does not have to be any contradiction between maintaining a clear distinction between politics and capital management and at the same time having ambitions to further develop the ethical framework. After all, the Ministry has launched an evaluation of the ethical guidelines and will present its conclusions in 2009. My hope with this interpellation is that it can be a play to perhaps hear a little about how the finance minister thinks in that way, and what we have in store. I hope it's something good! As you know, two main mechanisms are in place to ensure the ethical considerations of the administration: ownership exercise and an extraction mechanism. For some, it may be possible that extractions should be phased out, that new mechanisms should be excluded, and that ownership should be fully exercised in order to safeguard ethical considerations. I basically agree that ownership -- when there is reason to believe that it will work over time -- should be a preferred instrument. But at the same time it also has its clear constraint. The effect of ownership is that other investors and the management of the companies are convinced that changing practices is both in their long-term financial interests and in our long-term financial interests. It is reasonable to have the Bank of Norway decide how ownership is to be exercised, within the same transparency requirements and for reporting that apply to the rest of the administration. At the seminar, transparency was also a question. We were - and we'll see if it keeps going - reassured that the next annual report will show a great deal of transparency. Then the question of transparency is taken care of both for the share and, not least, for the bond component, which may be more demanding. Norway is leading a work in the OECD in the fight against tax havens, but we cannot ignore the fact that the bond part of our foreign fund is also challenging in this way. Combining this is not always a simple problem. Since we cannot accept that ethical considerations in the administration should be limited by which questions the Bank of Norway considers it appropriate to address, I believe that it must also focus on other instruments. Unfortunately, it is not that ethics and shop always go hand in hand. Then the ethics should not be set aside, in our opinion. It is well known from previous votes in this House that we believe that tobacco is in a special position among the world’s legal products in one area: even with ‘normal use’, which the manufacturers themselves would recommend, tobacco causes a significant likelihood of serious health damage and shortening life. Just a few days ago, on the leading side of the International Herald Tribune, there was a clear warning about what tobacco producers are now actually doing. It describes how tobacco now kills more than tuberculosis, AIDS and malaria combined, and that most of this occurs in the poor countries and with aggressive behaviour from tobacco companies that are striking. It is at least as recognised as an international conclusion that the use of the class weapon causes particularly large civil suffering through the frequency of untonened deadliers remaining. As you know, this is the basis for excluding producers of class weapons from the investment universe. But even though we relate to what has been agreed upon in the Storting, there is a basis for asking some questions. We have established a relatively comprehensive quality assurance process for extraction. We fully support that. The consequences of this process so far have been mainly to exclude arms producers. A very limited number of companies have also been excluded because of contributions to major environmental damage or a breach of employees' rights. As the process is now set up, I think there is a very limited risk that companies will be excluded from the investment universe on a false basis. However, it may be relevant to ask questions about whether the process itself causes serious events that we absolutely do not want to contribute to, yet do not have practical consequences for our investments. The ethical guidelines include, for example: gross corruption set up as a criterion which should lead to extraction, but so far no company is excluded on this basis. At the same time, we see that Storebrand has excluded ten companies on this basis, KLP has excluded five. The time does not allow me to give an example, but this is mentioned. We will also challenge the Minister of Finance to assess the further use of so-called positive selection on parts of the portfolio. Positive selection on the basis of environmental sustainability is carried out in a much more thoughtful way in the financial world today than the so-called environmental fund experiment, which was closed when the ethical guidelines for the whole fund were established. Positive selection is a type of administrative practice that Norway’s Bank will hardly implement on its own initiative. But the reason for this isn't that it's probably hard to lose. The problem for a fund manager is that the differences in returns can become large over a limited period of time compared to a portfolio of shares without such selection. Therefore, if we want to develop positive selection as one of several instruments for ethical reasons, the Ministry of Finance must take the initiative through adjusted guidelines. We look forward to hearing that if the Minister of Finance could imagine. We are also aware that investment in unlisted shares, property and infrastructure is now to be opened up. I just want to point out that it also presents new challenges in the area we are talking about here. The possibilities are there, in our opinion, to contribute, through our capital and within today's purpose, to the positive development of companies such as: can provide new answers to the climate challenges. The objective, of course, is to continue to receive a long-term financial return. State pension fund - Foreigners have attracted a lot of international attention, and although we want to go further, I would like to say that it is both exciting and challenging even when you are abroad to hear what the fund actually receives in terms of its management. We should be grateful for that.
ParlaMint-NO_2008-02-28.ana.ud2591e280	First, I would like to thank Mr Syversen for his commitment in this area. I am myself deeply involved in how we manage the State pension fund, not only because it is my job, but also because this is a problem that we have been following for a long time. It was the SV that first addressed the issue of ethical guidelines in 1999, but it has become the joint ownership of the Stortinget since the co-operation administration presented the proposal for ethical guidelines in 2004. We have now developed and experienced them over a period of time, and it is right, as the representative Syversen says, that during 2008, we are now facilitating a process in which we are to evaluate the ethical guidelines, look at how they work, and then in spring 2009, we are going to present to the Stortinget any proposals for changes. But this interpellation gives us a loving opportunity to maybe not conclude today, but to discuss a little bit openly about the State pension fund. Let me start from among other things. The following: First, our fund is now one of the world's largest funds. There's a lot of international attention about how we manage the fund. This represents approximately an annual gross domestic product, i.e. NOK 2000 billion. ==References== 15 pst. of our gross domestic product enters the fund each year. Of course, it's huge. There is a major international debate, because a number of countries fear state funds that may have reasons for their investment other than economic interests, and there is a lack of transparency about the investment strategy of different funds. Norway is the best example in the world of how to ensure transparency about the fund’s investment strategy. It's very important that everyone in the Biggest and everyone who talks about this in different contexts is involved in showing how we ensure that transparency. Now that transparency hasn't come of itself. It is clear that when people's savings are managed, the people must also have the opportunity to see how it is invested and what the ethical guidelines are, so it is in line with our long democratic traditions that we have so much openness about this. It is also very important to stress that the Ministry of Finance, which has the job on behalf of the owners, namely the Norwegian people, does not interfere with individual investments, but that it is Norway’s Bank that makes the investments. Because in many countries it is believed that there are large-scale representatives or the finance minister or who it might be who are calling around and fixing investments for different companies. This is not the case in Norway, and it can never happen. There is a broad political consensus on that. It's right, as the representative Syversen says, that making money, or making sure that the fund has a good return, is an ethical task in itself. Because once we've chosen to create a fund, it's so that not only our generation, but also future generations will benefit from the values it involves taking a natural resource, switching into dollars and managing it further. So it's for the sake of future generations that we need to secure a good return on the fund. But of course, it's related to the fact that it's going to happen at a moderate risk, and because we're probably so long-term investors that we're almost going to be in these markets forever, the ethical guidelines and objectives with them are also an important part of how to secure the future return of the fund. Because if you're going to be in different companies and stock markets forever, we know that our investments depend on the world moving in a better direction in terms of climate -- the cost of the opposite is much bigger -- and we know that we're going to depend on a world that evolves further in respect of human rights, etc. These are two sides of the same thing. We have developed the ethical guidelines in the light of what was set up by the Graver Committee in its time. I have to say that my starting point for the evaluation is that I am well pleased with the experience we have so far. We have excluded 25 companies. It is on the basis of advice from the Ethics Council that operates independently from the Ministry of Finance. 20 of these companies produce different kinds of weapons that we don't think are in line with the ethical guidelines, such as nuclear weapons, land mines or class bombs. Five of the companies are excluded because they engage in serious environmental activities or violate human rights. It is important to note that a state fund is subject to a high level of requirements in relation to the grounds for withdrawal. Private pension funds, for example, can allow themselves to be less thorough. But for us, it is important to have a high degree of transparency around the grounds for extraction - it characterises the work done by the Ethical Council - a justification for the extraction, the opportunity for companies to respond to the justification and publication of the justification when the extraction has taken place. There's a very important reason why many companies actually follow our lines, and that the ethical balances made in different companies have a lot of attention. The pension fund is a very large fund and has now invested in approx. 7 000 companies around the world. It goes without saying that if we manage to develop our ownership influence, it may be more important for us to get through on the ethical criteria of the fund than the possibility we have of withdrawing from some individual companies. The exercise of ownership - where I agree with the representative Syversen - has some challenges, not least in terms of transparency and evidence of what has actually been done. Norway’s Bank is constantly working to improve how this is to be done, but it is public in our country which companies we have invested in. We're going to have publicity about how we're going to act at general meetings, etc. But one challenge in the ethical ownership exercise is how to ensure a high level of publicity about what is happening, and whether to show a link between the ownership exercise carried out by the Bank of Norway on behalf of our fund and the results, the changes that may occur in the companies. It's clear that there's a much more winding road to prove our influence than it is to withdraw from a company. It is a challenge that I believe will be central to the evaluation of the ethical guidelines that are now taking place. So for single questions, for example: the question of whether we should conduct a positive selection in relation to the investments in the fund, an issue that has arisen, and which I expect will be an important part of the debate on the ethical guidelines. I don't see that we can have positive selection as the heading of the administration of the entire State pension fund. It will be a very demanding task, and it will require enormous competence to invest in such a large fund according to the kind of guidelines, and we will have quite major challenges in communicating that we do not have a political agenda for the whole fund. But what I'm counting on comes up as a proposal in the debate on the evaluation, is whether a small part of the fund can have a different heading or can become a separate fund where you run a positive selection, for example. based on a desire to participate in and invest in activities around the world that develop climate technologies. I think that is an interesting debate, but I think that in this case a very sharp distinction must be made between the pension fund as such and an investment strategy that will be completely different. As regards the issue of tobacco, I expect that it will come up in the discussion on the ethical guidelines - there will be several other individual areas that also come up in that discussion. I'm very happy to meet that. The Graver Committee concluded that tobacco should not be excluded because it was a legal remedy. But these are, of course, views that we can take up and discuss again. In April - which we have now started to do annually - we present a big message about the State pension fund. There we are reviewing the investment strategy, and then the process of evaluating the ethical guidelines will continue throughout 2008. There will be a separate consultation opinion on this, on which we invite people to join, and then the Stortinge will be presented with our conclusions until then. But I'd like to give an extensive hand to both the Finance Committee and the whole Stortinget with a view to being involved in the process that is now going on throughout 2008, and I'm also responsive to the recordings on the way.
ParlaMint-NO_2008-02-28.ana.ud2591e306	I would like to thank you for the response to the interpellation, which I think promises well for the work that is now being done in the Ministry in assessing possibilities in the future in the light of the evaluation of the current guidelines, which is now taking place. I fully agree that if you want to make a positive selection, it can't apply to the entire investment universe. But now, as the Council of State itself has warned, when one sees possible investments outside of shares and outside bonds, it also offers opportunities to make such a positive selection to a different extent from today, and which I believe may involve investments that, overall, will provide very good social returns. Governments themselves cited eco-innovation as one example, without neglecting the objective of a good return on themselves. It must also be included as a criterion, in my opinion. I want to challenge the Council of State on a passage in the President's Annual Report. At the end of the speech he said the following: ‘When we place the funds of the pension fund, we are guests in the house of our neighbours. Therefore, the requirements for the management of ownership cannot be based solely on Norwegian values and attitudes. We have to assume that other countries can draw other people's distinctions between politics, ethics and administration. When we raise our index finger against a company, we also raise it against laws, regulations and practices in the countries where the company belongs and operates - and we do so as representatives of the Norwegian state." I'm a little unsure about how to interpret that kind of statement. First of all, I don't know what the governor thinks we're "guests in the house of our neighbours". These are investments, which make us owners, and to what extent you're a guest, I'm a little uncertain about. In fact, I think it's us, as investors, who have to impose standards on ourselves for what we invest in, and what we ourselves think we can stand for. It is our commitment to the mandate we have from the Norwegian people, in my opinion. I don't know how the council itself evaluates this, but it might be interesting to hear, because here I think there might be a hint that you think there is too much ethics on the agenda.
ParlaMint-NO_2008-02-28.ana.ud2591e327	Let's interpret the governor in the best possible sense. For it's the Stortinget - we as elected representatives - the Government and the Ministry of Finance that represent the owners of the fund, and it's Norway's Bank that manages the fund on our order and according to our mandate and our guidelines. And I fully agree with the representative Syversen that we, as owners, have imposed ourselves, and wished that our savings should not just go where, perhaps in the short term, it would be the greatest return, if there is a danger that at the same time we will contribute to gross violations of human rights or serious environmental damage. And we're free to do that with our savings. We shall continue to do so, and that is what the debate on the future is about. But I think it's very important, as the discussion is now going on in the big world, where some countries and some companies fear strategic investment that is not about ethical guidelines in our sense, but is about buying up shares of companies to have control over them with a political heading, saying that our ethical guidelines - although, of course, in some debates you can say that they are political - are based on fundamental human rights, common values that we fight for, that the United Nations stands for, and that should be common ownership in all countries. To say that there should be a particularly rude behaviour from a guest, I would say is completely contrary to the thinking behind the ethical guidelines of the pension fund. What is very important is to be able to develop the ethical ownership that the Bank of Norway has to exercise on our behalf. Because it's about how we act as owners. And because today we have a constraint on our investments of 5 pst. -we can't own more than 5 pst. in each company, the average being 0,5 pst. - we are small owners who must ally with other owners. And it does. In addition, I think that an interaction between the extraction mechanisms and the ethical ownership exercise may be interesting to look at in the future. For example, one might imagine situations in which the Ethics Council recommends an extraction, but where it is asked to go in and see if there is any possibility of influencing a company, then to address the issue of extractions for new treatment at a later stage in order to see if a company has come some way. Here, I think there are some possibilities for better interaction between the tools we have for the ethical ownership exercise.
ParlaMint-NO_2008-02-28.ana.ud2591e338	There is a great deal of international attention, as has been said, about the State pension fund - Foreign. Out there, we gain great recognition, not least for our transparency and how we discharge our ethical responsibilities. At home, there is a correspondingly large political focus on the State pension fund - abroad. We were able to document this, inter alia. in the previous debate on the management of the State pension fund in June 2006, where we raised the share of the fund from 40 to 60 p.m. We are once again given the opportunity to discuss various aspects of the fund here today through the interplay of the Christian People's Party. And then we get a new opportunity to get back to it when the announcement of the fund for 2007 comes later in the spring session. At the same time - and this is positive - we have been told that there is a broad consensus in the Storting that the main strategy should be firm. The exception is the Progress Party, which was opposed to both increasing its share and is afraid of strict ethical requirements. I'm proud that we have ethical guidelines that help to avoid gross violations of human rights, such as child labour, gross forms of environmental damage or corruption. I refer here to the International Ethics Conference in January - where several of those present here were involved - where the start of a broad evaluation process of the ethical guidelines. This process is important and gives us the opportunity to verify the correct functioning of the guidelines, and not least the ability to record any improvements. I think there are several reasons why the State pension fund - abroad is reaping a lot of recognition. Both the Bank of Norway and the Ministry of Finance have been good at informing us about the management model we have in this area, both nationally and internationally. I believe one important reason for the positive reception out there is that the two actors together have the power to find out that there is a clear division of responsibility and work, on which the Council of State was involved, where the Ministry of Finance owns and the Bank of Norway manages the fund. Not least, it is important that Norway’s Bank makes decisions on individual investments on a commercial basis, and that is the department that manages the overall strategy for SPU. The size is presented with strategic choices, such as when we increased the percentage in relation to the share from 40 to 60 pst. So the Ethics Council plays an important role when the Department is going to make decisions to exclude companies. Both the division of labour and transparency are important to continue and should remain firm. As I see it, we have a clear goal of achieving the highest possible value of capital, but we don't go over equal to it to achieve it. The way we spread risks in many companies in different countries is a good way to show accountability, and through this we ensure the objective of high returns at an acceptable risk. This is important not least in relation to future generations. We are in a situation very many countries can envy us. If we continue to take care of ourselves as we have done so far, we secure resources for those who come after us. This leads to stability in production and employment, and it creates a good society for most of us. As I see it, Norway cannot be criticised for our political objectives for our investment strategies using the State pension fund - abroad. I think most people see that we have financial objectives, and that by spreading small holdings in companies in over 40 countries we are also internationally harmless. I would also like to point out that the State pension fund abroad is important in securing future pensions. It is estimated that our pension liabilities in this field will increase from 250 pst. by the value creation in mainland Norway today to about 350 pst. in the course of a few decades. So I'm glad we've got a broad pension settlement that will dampen the increase somewhat. This is another argument that we should be responsible for using funds in the pension fund.
ParlaMint-NO_2008-02-28.ana.ud2591e361	First of all, I would like to point out that the State pension fund has been created through large emissions of climate from our oil and gas industries, and that is a small paradox in the light of today's ethical debate. I want to repeat that representative Syversen quoted from the governor's recent year: ‘When we place the funds of the pension fund, we are guests in the house of our neighbours. Therefore, the requirements for the management of ownership cannot be based solely on Norwegian values and attitudes. We have to assume that other countries can draw other people's distinctions between politics, ethics and administration. When we raise our index finger against a company, we also raise it against laws, regulations and practices in the countries where the company belongs and operates - and we do so as representatives of the Norwegian state." These are wise words from the governor. A more direct warning against further tightening of the practice of the guidelines is not possible, and it is not possible to interpret the way in which the Minister of Finance made a poor attempt instead. The central bank manager points out that the Progress Party has so far only had to falsify, namely that ethics per person. definition is subjective and it is an imperialist idea to exclude companies because they do not meet Norway’s definition of ethics in 2008. Today, when we consider child labor to be unethical, we reap homage from the vast majority. We do not want to use children for work in Norway. Children are going to school. The Progress Party fully agrees with this. But such an attitude toward children's everyday lives is relatively young in our country. And in the historical context, Norway has used child labour in a number of contexts. I recently concluded a book on the history of history in Norway, where it was pointed out that the use used children all the way down to the age of ten until the 1920s. In agriculture, children were still used later, as was the commercial fleet and not least the mining industry of the country. The Progress Party agrees that it would be best if child labour did not exist, but we disagree that it is Norway’s task to condemn countries that build wealth by using the same market mechanisms that have made Norway rich. Not least, this is wrong when we go through research reports, for example. from Bangladesh, confirmed that the option for these children is neither play nor school, but child prostitution and begging. We can imagine how Norwegian politicians would have reacted if other countries had set their ethical standards for our businesses. We would never accept that! Furthermore, the exercise of the ethical guidelines by the Government is inconsistent. Through the Cold War, Norway was protected by NATO's nuclear weapons umbrella. Many believe that this was the main reason why the West won the cold war. Today, all parties, apart from the Advance Party, define the production of components of such weapons as unethical, excluding the companies that contributed to our security during the post-war period. This applies to all the world's leading defence industries. But the inconsistency doesn't end there. Because while the Minister of Finance defines the defence companies as unethical, the Minister of Defence buys billions every year from the same companies. Yes, the Minister of Defence even obliges these companies to conclude industrial cooperation agreements with Norwegian companies through repurchase agreements. The government claims that somehow it's ethically wrong to make money by investing in the world's leading defense equipment supplier, Lockheed Martin, while it's ethically acceptable to buy material from the same company. How can it be unethical to invest, while at the same time it is ethical to contribute to the company's performance? Then it's interesting to look at the party SV, who wants to boycott Jaffa oranges from Israel -- as an ethical and moral act toward Israel. So it's unethical to buy Jaffa oranges. The important thing to notice in this context is that the companies Lockheed Martin, Northrop Grumman, EADS, Honeywell and others do not take the lead in producing components for nuclear weapons. This is a task imposed on businesses by their respective national authorities, because it is part of their security policies and their global responsibilities. Or to quote again the governor: «When we raise our index finger against a company, we also raise it against laws, regulations and practices in the countries in which the company belongs and operates». The practice is also double-moral with regard to the purchase of debt securities. The government has chosen to exclude purchases from Burma, but has not excluded the purchase of debt securities in Saudi Arabia, Syria, Iran, Venezuela, Sudan, Zimbabwe, Cuba, Pakistan and China, to name a few - all countries where human rights violations are an integral part of their legal principles. The Party considers that the exercise of the ethical guidelines is not in accordance with its intention. We are pleased that we have the support of the Governor in this view. The Progress Party wants the Government to review all companies excluded from the investment portfolio.
ParlaMint-NO_2008-02-28.ana.ud2591e405	Let me first say that it is important that the views of Tybring-Gjedde, too, are expressed in this debate. There is considerable scope in the debate on the ethical guidelines. But at the same time, I would like to remind the representative Tybring-Gjedde that the current leader of the Progress Party, a former financier spokeswoman, Siv Jensen, was an avid champion of the ethical guidelines - together with SV's Øystein Djupedal. So there was a considerable pressure from the Progress Party in the last period to get the guidelines that today's government is following. In my view, it is more important that we use the forces to develop the ethical guidelines so that they serve ethical and not political purposes than that we should spend time and effort finding many reasons to go away from the ethical guidelines. I am pleased that the representative Hans Olav Syversen is raising this debate today. The fund is of such size and has such a great international importance that transparency and debate on investment strategy are important, and it is important - I would stress - that there are clear roles in how ownership is to be managed. I agree with the representative Hans Olav Syversen that the starting point must be to ensure the highest possible return on money in the pension fund. It's important to stick to it. It is our future pension money and our future well-being managed, and even a marginally lower return will have major future consequences for our well-being and for future pensions. I also agree that the ethical guidelines underlying today are sensible. We are also open to the debate announced by the Minister of Finance, namely that we should now review the ethical guidelines in order to assess whether they work as intended and, of course, whether or not further development is needed and desirable. But we will not take a position on what direction it should go until we see the evaluation presented by the Minister of Finance. Let me also stress that there is a hairy balance on a very tight line between what can be put under the ethical hat, and what is and will be interpreted as politics. I would therefore like the Minister of Finance, in his final statement, to clarify his position on the Hans Olav Syversen's interpellation, where he points out that Minister of the Environment and Development Erik Solheim in an opinion announced that the fund could be used for politically motivated investments. Once that issue has been raised, I think it is important for the Minister of Finance to clarify his position on it. As I said, it is important to be on the right side of what will be perceived as, and what is, politically motivated investment and management of the pension fund. We already know today that some of our embassies have had to spend a lot of resources explaining that it is not politics, but ethics that underpins the assessments that have been made. Even greater are the challenges and balances if ownership management is also to be used to promote ethical purposes. I'm just pointing out these challenges. Here there is a significant balance sheet, and the Right will strongly warn against the development of ownership management and ethical guidelines that will be perceived as, and, in reality, a political governance of the investments of the pension fund. We believe that there should be ethical guidelines, but that they should not be politically motivated investments.
ParlaMint-NO_2008-02-28.ana.ud2591e427	It's exciting to belong to the generation that now gets the opportunity to be in and manage what we've harvested through one generation, and that's been lying on the seabed and making up millions of years. Randomly, I and the rest of the Norwegian potion are allowed to participate in and manage this fund, which has become a significant player in the world arena as well. I am very pleased that when we now have a debate on this in advance of the review of the ethical guidelines, there are several who point out that it is just a self-esteem, an ethical value in managing our financial assets. I don't have numbers on how many people have contacted me over the years I've been on the Storting, who want us to influence us to invest in special companies of different denominations, because one believes that the financial ethical value of managing a wealth that will last for generations to come is not a good enough value in itself. I think we still have to base that on. I do not agree with Mr Tybring-Gjedde that we should have an ethically closest value-relativism related to what we should or should not invest in. I believe that it must be allowed on behalf of the Norwegian State, on behalf of the fund we now manage, to base what has been said in the world community, for example, in the United Nations Global Compact, that these are fundamental values of an ethical nature that must be relatively universal throughout the world. I fully agree that there are ethical dilemmas and barriers in this, as the representative Tybrung Gedde mentioned. I believe, however, that it must be allowed to argue that Norwegian property in the form of investment in companies cannot help trample on fundamental human rights. Then the question is when to go further, if it is possible to imagine a more comprehensive use of ethical guidelines to promote issues beyond the basic human rights, which it is very easy to look at. Climate challenges are an obvious issue. One step we have already taken is that the State pension fund - abroad has joined the so-called Carbon Disclosure Project, CDP, which is the largest association of institutional investors in the world, asking companies all over the world to report their greenhouse gas emissions. It's not a construction where you point to which companies you have to invest, but it's an association where, to those degrees, you get to see what kind of emissions the different companies have, and what kind of strategies the companies have to meet them. It's very exciting, and here we can also use the State pension fund - Foreign in the future to be an institutional investor. In order to solve the climate challenges, we have to sort of ally ourselves a little with the capital, at least I mean now. It has two sides. One is that transparency around climate issues stimulates action on its own. But it also has a financial side. Large institutional investors such as: CalPERS, the large pension fund in California, points out that in the future investing in companies that do not have real, good strategies to meet the climate change that will come will also involve more risky investments. It's a very exciting thought -- if we could pursue it further by being part of and being an influence agent to get more companies to join it, instead of sitting quietly and believing that everything should go over. Because it's not going to happen, and unfortunately it will also affect the market value of companies and also our investment in the future. So I'm facing a very thorough review of this. I'm going to be humble that there are many ethical challenges and a balance between political investment and more self-interesting assessments that may not be valid around the world. But I believe that a small country like Norway, with the amazing wealth we have, also has to look at what kind of space of action we have to influence a capital market, companies that have great influence across the world. It can be our role in the future, also in climate issues.
ParlaMint-NO_2008-02-28.ana.ud2591e440	I would like to thank you for the debate. It provides the basis for a wide-ranging exchange of views when the Government finally proposes possible changes to the ethical guidelines. I agree with the representatives of Micaelsen and Alf E. Jakobsen said that this should happen without letting go of the main purpose of the fund, namely to make sure that we place the money so that we also have the opportunity to provide pensions for future generations. It's an ethical obligation in itself. Then I would like to give the representative Tybring-Gjedde the honor that he certainly contributes to the breadth of the debate. It's clear. I also think that Tybring-Gjedde pointed to dilemmas that should not be taken lightly. But I don't agree that the answer to the dilemmas is to stretch our hands in the weather and say, no, we don't have the power to do anything, we, so then we put ourselves flat, and then we leave the capital raw one-sided. At least that's not our starting point for the answer to the dilemmas that also Tybring-Gjedde was in. As Jan Tore Sanner said, the gap between ethics and politics is not easy. It's not just saying that these are ethical considerations, it has nothing to do with politics. It is clear that ethics does not occur in any vacuum either. It doesn't come from nothing. It's also an expression of certain basic ethical values that you bring with you. But even if at least someone thinks that you should just stretch your hands in the weather and say that sorry, this is getting too difficult, it's working on this difficult topic that is the challenge, and that I think has the future ahead. Because it is clear that the focus around the Pension Fund is also positive in the sense that it provides a direction for the development of investments that not only affect the Pension Fund that we own but that have aroused interest far beyond it. This in itself can affect positive changes in general. So I feel that with regard to this particular one-sided use of policies as a motivation for investment, the Minister of Finance has parked his fellow Councillor, at least very indirectly. It's okay. I think there's a lot of consensus about this house as well. However, in my view, the challenge is to be able to see the possibilities when we are now going to revise the guidelines, to look at positive selection for a small part of the fund, for example. to promote something as forward-looking as environmental investment.
ParlaMint-NO_2008-02-28.ana.ud2591e454	I would like to thank you for an important debate. I should really like to see more of these, because there's a huge focus on the Pension Fund in international contexts. It's about two things. It's about how we manage the fund, and about what transparency, and what is our investment strategy -- and we're set as an example that any other fund should follow -- and it's about the ethical guidelines. And when we have so far managed to have that balance of showing both how transparent we have, how we are financial investors and not strategic investors, and at the same time have ethical guidelines, we have made it clear that the balance sheet - which we must continue to do in the future as well. That's what has to be our challenge as we move on to assessing the ethical guidelines. I think the head of the central bank would be very uncomfortable if he was told that what he is doing is an imperialism on behalf of the Norwegian people, when basic human rights are managed that cannot be said to be politically controversial around the world, but that is shared by the United Nations and worked around. So I would like to stress again that it is we who own the State pension fund, and it is Norway's Bank who manages the pension funds on our behalf. This debate shows that there is a very broad consensus in the Storting on the ethical guidelines we have today, and on the process that we are going to pursue in the future. It has a very big value in itself, because these are big values, it's a very big fund, and it's long-term investment. The Graver Committee stressed the principle of overlapping consensus in relation to the principles to be applied in relation to the ethical guidelines, and it is important that this should be widely welcomed. It's just when it comes to the Progress Party, I'm wondering what you really mean. For the Progress Party - it is quite right that the representative Sanner said - was a strong driver in the last period, together with SV, to get ethical guidelines. There is nothing of that representative Tybring-Gjedde brings up here, who was not illuminated that time. It's a dilemma that we're pulling out of companies that we're also dealing with. But that dilemma has gone through, and you didn't realize that you can't leave out strict demands on how we invest our savings, even though it may be difficult to act in a world society. The advantage of being a customer and not the investor is that then one picks at least the goods a buyer. We must not buy nuclear weapons or cluster bombs or land mines. This is a balance that we want. I record that Tybring-Gjedde's involvement is greater on behalf of the arms industry than on behalf of the ethical guidelines. I think that will be the problem of the Progress Party, not our problem. I look forward to further good cooperation on the debate. President, I forgot a little comment to the representative Sanner. Can I take it? I would like to make it quite clear, as I have done both in the media and in previous posts, that I do not see it as current policy to have a positive selection for the entire State pension fund. Neither does the Council of State Erik Solheim. But the debate that is going to take place is whether a small part of the Pension Fund is going to be used for positive selection.
ParlaMint-NO_2008-02-28.ana.ud2591e471	The debate on substance is closed. 3 is over.
