ParlaMint-NO_2008-02-13.ana.ud1703e22	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2008-02-13.ana.ud1703e275	I'd like to follow up this -- within the time frame. This just illustrates that there is something different in this room about how ownership of the state is to be exercised. As I understand this representative, it is believed that the state will intervene in concrete projects, such as the question of whether StatoilHydro is going to go into oil sand in Canada, or whether to go into blocks in the ocean outside Alaska. In line with good owner management, the State will not intervene in individual decisions taken by the company. This would be contrary to the guidelines available for state ownership. So it's up to the company to take the kind of commercial decisions that the representative mentions in his question.
ParlaMint-NO_2008-02-13.ana.ud1703e282	No pay - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e285	I heard with some surprise that the Council of State refused to answer the representative Sponheim's questions about openness around the meetings between the Council of State and StatoilHydro, on the grounds that she would first respond to a letter she has not yet received. With all due respect for the care of the Central Party for the Post Office: Would it not be easier both for the Council of State and for the Stortinget if she responded here and now? That is, after all, the Stortinget Council is going to deal with it, not the Post Office.
ParlaMint-NO_2008-02-13.ana.ud1703e290	I will deal with Stortinget when it is correct, and with the Post Office when it is correct. I have been informed that there will be a written question. I'm supposed to answer that perfectly. I can only repeat what I said to the representative Sponheim, that it is not common for a record to be given of meetings between the shareholder and the company, nor for the state. Contact meetings between the Ministry of Oil and Energy and StatoilHydro will be concluded within the framework of the policies and rules governing the relationship between owner and company. I am concerned with transparency, and I have therefore stated my intention of informing the public about the topic that has been discussed in such contact meetings. It is a matter of course something other than publishing minutes from the meetings. I'll get back to that. I am concerned about transparency, but I am also concerned about following the rules of the game that have existed.
ParlaMint-NO_2008-02-13.ana.ud1703e299	We'll see if we have to go to Rimi to get the letter of reply! Let's move on to the next main question.
ParlaMint-NO_2008-02-13.ana.ud1703e304	I have a question for the Minister of Justice. Not long ago, the Minister of Justice received a sample report dealing with the situation of victims of rape. If I am not mistaken, it is a matter that the Minister of Justice is also very concerned about - at least he himself said, when the committee gave its position, that we must give better help to the victims. Then the situation is that a well-functioning action on rape victims is at risk of being abandoned in this city. Perhaps most of the victims of rape in the country are receiving the reception of the doctor's office in Oslo. They have a good offer. Over 30 pst. the rapes are rapes. The guard is now in danger of being killed. This means that all the victims of the rape, those who have been subjected to the most serious abuses, will no longer be able to be treated by the medical officer, but will have to be gunned around to the various hospitals they belong to. The committee's report is entitled «From word to action». What is about to happen with regard to the policy against victims of rape is that it goes from word to negative action. My question is: Will the Minister of Justice and the Government ensure that the very important action of the Harmguard in Oslo for victims of rape is not dropped, but maintained?
ParlaMint-NO_2008-02-13.ana.ud1703e315	When we talk about rape, I first want to say that even there, most crimes happen at home. So we're talking about 16 000 written rapes in Norway in a year. It means that we need to expand reception in the country, and in Oslo, in order to ensure follow-up for those affected by such a serious crime. It has not been given to me or my department to deal with the issue of the rape recipients in Oslo, but at least I will promise the representative of the Syversen that we will do what we can to ensure that those who are raped in Oslo will have the offer that is now being developed on a national basis, namely the reception of rape. We are now in the process of getting rape receptions across the whole country, and it would be paradoxical if we were to put ourselves in a situation in Oslo where we did not have such an offer. I would also like to say that, in connection with the work of the rape committee, it has also been decided to extend the aid lawyer system, so that an aid lawyer is now available before the notification is submitted. We have also chosen to focus on resolving several of these issues. Under 1 pst. Of the girls who have been raped, it is felt that there is at all an explanation of their case - not necessarily because the police are doing a bad job. However, the DNA reform we are putting into action now is absolutely necessary to get the percentage of information. The teams that we set up in the police districts are absolutely necessary, and we are expanding the family violence coordinators, so that it becomes a whole position. In this context, it is also important that we put in place the civilian part, namely the rape recipients, because they are important evidence insurers. That is why I am going to do what I can to help, and I am convinced that my colleague in the Ministry of Health will also help to ensure that the victims of rape in Oslo also receive a good offer.
ParlaMint-NO_2008-02-13.ana.ud1703e324	The question does not concern the actual recipient of the rape. I'm sure it'll last. The point is that the government's one hand obviously doesn't know what the government's second hand is doing. The Minister for Health, who is responsible in total terms, has resigned from the responsibility in this matter. So my hope is linked to what the Minister of Justice himself said three weeks ago, that one of the most important things you can do is to make sure that the victims are received in a better way. We know that the people we're talking about, who are going to be affected by this closure, are the ones who have been subjected to the most serious assaults, that is assaults. In the case of this offer, which is well-functioning, but is at risk of closure, my call, not least on behalf of those affected by it, is that the Government takes an overall approach to this group. Will the Minister of Justice take care of that?
ParlaMint-NO_2008-02-13.ana.ud1703e329	As I said in my first answer, it's just that we're doing a joint operation right now, not only for Oslo's part, but also for the whole country as a whole, so that you make sure that at least you have rape receptions in place. They're important as evidence insurers, and important to meet the girls and boys who are being raped. Now I understand that the matter referred to by the representative Syversen is in the process, and is actually also under a department other than mine, but I can promise that we will have a full focus on the fact that even those who are being raped in Oslo will have the same and good offer that is now in the process of expanding elsewhere in the country.
ParlaMint-NO_2008-02-13.ana.ud1703e336	There will be follow-up questions - first May-Helen Molvær Grimstad. The President would say that this is in a cross-border country against the responsibility of the Minister of Health as well.
ParlaMint-NO_2008-02-13.ana.ud1703e341	There are not many days since the NOU ‘From Word to Action — Combating Rape Requires Action’ was presented. A number of measures have been mentioned to prevent this from happening, and how to ensure that those who are exposed to it receive help. As the first point in the selection, the government has said its mandate: ‘The Committee shall investigate measures to ensure better follow-up of persons who are subject to rape.’;» Here the Government has initially shown an ability to think in a wide way. But then it's so typical that when one comes to concrete action, it becomes 'no, this isn't my table, this is another state council's table'. You don't see the totality of what's happening. What will the Council of State do to ensure that there are no more such cases in which a clear view is that a good aid measure can disappear because one in the Government is not talking about important measures?
ParlaMint-NO_2008-02-13.ana.ud1703e354	Yes, here were many assumptions in the question that are not correct. It is precisely the measures that have now been taken, which are the result of the choice of interaction with, among other things. the victims of the rape. It is not so often that I receive reports from public authorities that are reduced by the Government, and with mandates made by the Government, where at reception we can actually say that many of the points outlined in the report of the sample are in the process of delivery. The development of receptions of rape, which are ambitious in the course of 2008, is a central point of this investigation, as are the acquisition of their own teams in the police districts. There are eleven police districts that these days are in the process of setting up their own police teams to better investigate these kinds of issues. The fact that we have put in place an aid lawyer for those at risk of rape before the notification is also such a measure. The construction of five children's homes during this year -- we've already opened two -- is also an action to meet in particular the smallest victims of sexual abuse, who are also in the border country of rape.
ParlaMint-NO_2008-02-13.ana.ud1703e359	Odd Einar Doorroom - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e362	It affects the territory of another state council, but we must not feel like hackers when one is exposed to Sir Humphrey. What is at the heart of this case is that this is not a matter of competition between businesses; it is a matter of public administration serving Norwegian citizens. The Minister of Justice's commitment is no reason to doubt, but the representative Syversen mentions is that at the moment we get arrangements to help victims of rape, we can risk, because the systems become blind in Health-Norway, that we don't get to deliver what we're going to. The majority must then know that, by a Council of State, although there is another Council of State that has parts of responsibility, we can get a response that causes a) the policy to abdicate - we don't want - b) the systems become blind, and then the victims remain. That's why we have to get the answer back that what we see now can happen in Oslo, not in the whole of Health Norway. My invitation is that the Council of State should take an initiative, so that the Stortinget gets a complete response to this - also from the Minister of Health. But the Minister of Justice is responsible for ensuring that the victims of the rape do not suffer, therefore this commitment.
ParlaMint-NO_2008-02-13.ana.ud1703e369	Once again, I must stress that the matter pointed out in relation to Oslo is, as I understand, in the process, and one has a sample that has proposed various measures. I can't say anything but that for Regeringa's part, it's a goal that we will have good receptions throughout the country during 2008 and it would just be missing if that offer isn't also in place in Oslo. It is not just the question of the reception of rape. This also applies to the large voluntary effort, such as: are made by non-governmental organisations, inter alia: Dixi here in Oslo, who has also been struggling with funding, among others. from the municipality. I'm glad that this funding is in place, so that we get a broad supply, because this applies to people with many problems and challenges, so that we are totally dependent on more people being involved in this load. I'm going to help do mine.
ParlaMint-NO_2008-02-13.ana.ud1703e376	Jan Arild Ellingsen - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e379	I heard that the Council of State said that he provided that this should be all right. The aim of an overall increase has been to judge more people for rape because it is one of the worst criminal acts to be subjected to. Governments have pointed to many of their actions, which he believes are a long way to go. I suppose I also assume, in the reasoning of the Council of State, that if more people are to be judged, the assumption of being able to be judged in a criminal case should be the same as we have today. That's why what we can do as a whole in relation to having a basis for being judged is very important. There are questions about the quality of the police districts in terms of the tasks they have to do locally - whether we can maintain the necessary quality out there as well. After all, DNA will be, as the Council of State has been involved, an important proof, and also other things in relation to on-site research and that kind of thing. That's the assumption. My question to the Council of State is whether we should still have a high-level list to judge, so that he will keep a focus on the quality of the investigational [[The President announces the next speaker]]
ParlaMint-NO_2008-02-13.ana.ud1703e388	We have no ambitions - we have also signaled this in the debate on rape - to lower the payroll requirements for rape. Then we would do the victims a great bear service, and we would also do the targeted ones and those who are under investigation, a great bear service. Then there is legal certainty. But when it's under 1 pst. Of the girls who are being raped -- and some boys -- who get their case settled -- we have a significant problem with clarification. We're totally dependent on, if we're going to get it focused and it gives in the work against rape, and also violence in close relationships, to get the percentage of clarification. That's why the government wants to spend over 60 million this year. kr on the DNA reform. I think that's going to give us results. However, it is also important that police districts are given greater status around this type of work. That's why we've established the teams in eleven districts, and that's also why we're expanding the family violence coordinators to the entire positions. I believe that this is a good contribution, but it is certainly also further challenges.
ParlaMint-NO_2008-02-13.ana.ud1703e395	André Oktay Dahl - for follow-up questions.
ParlaMint-NO_2008-02-13.ana.ud1703e398	The Minister of Justice has promised for a long time better prevention of crime and better rehabilitation of victims of crime on behalf of himself and the entire Government. That's what the main question here is, that there's a whole lot promised on behalf of more areas than the Ministry of Justice. But unfortunately, it seems that other government councils don't have the same thing, as I see it, genuine commitment and the same strength of commitment as the State Council of Storberget has. For example, the rest of the Government is building the reduction of child protection, the reduction of psychiatry, the reduction of a number of measures for victims of rape, which are not in the Ministry of Justice's portfolio but are located elsewhere, but which have the same negative effect as this measure. What does the Government actually intend to do in relation to ensuring that the entire Government, not just the State Council of Storberget, promises that actions will also be followed up?
ParlaMint-NO_2008-02-13.ana.ud1703e403	I want to take a strong distance from the fact that this is a one-man project in the government -- rather the opposite. The reason why we succeed this year in establishing what we regard as very important measures for victims of crime is that several departments are merging. The establishment of children's homes, where we take the smallest and the most vulnerable and meet them in a completely different way - there's child protection inside, there's health inside, there's the justice sector inside - we have been able to do because there are several departments that have managed to raise their eyes to such a vulnerable group. It is precisely based on cross-sectoral cooperation to do what is being done in relation to the police teams. So I want to pay great tribute to my government colleagues because they have been involved and contributed in a field where, in the justice sector, we have traditionally, in many ways, had a monopoly on how to use the instruments. Looking at it more broadly also helps us to get the percentage of information and get better help.
ParlaMint-NO_2008-02-13.ana.ud1703e408	Let's move on to the next main question.
ParlaMint-NO_2008-02-13.ana.ud1703e412	My question goes to the Minister for the Environment and Development. The red-green government gave the impression that it would actively use public ownership to achieve political goals. The result has been double communication and non-fulfilment expectations. One gives the impression that one will do something active, but the results are missing. We have seen large-scale representatives of the red-green parties deliver orders to the Council of State in relation to the company where ownership from the state is to be respected, but that there is no active intervention. SVs Inga Marte Thorkildsen wants Haga to put the foot down for StatoilHydro's plans in Alaska, while Hallgeir Langeland from SV-- and I quote-- asks Haga to keep the climate bandit StatoilHydro in the ears, so that the company does the right things. There are two examples of orders from red-green politicians in Stortinget. And then the council says nothing will be done. We've heard it before today. Then we see that that's the opposite of the case, that state ownership reduces the impact that the state has on an important environmental issue. It has now become known that Aker Kværner has been actively involved in deliveries to the Thorp plant at Sellafield and has contributed to this reopening. This means that when the state protests the reopening of this facility, it is faced with a double standard because it acts both as a Protestant and as a owner. My question to the Minister for the Environment is: How will he contribute to the fact that the state's active ownership policy does not result in double communication and double standards, and in reality the pressure on important environmental issues is being reduced, not increased, by the state taking care of its new interest?
ParlaMint-NO_2008-02-13.ana.ud1703e427	The Minister of Oil and Energy has explained in detail how formal government ownership is managed by the Government. I have no further comment on that. It's an excellent presentation of the government's policy. The fact that you have a formal position cannot prevent a continuous dialogue with StatoilHydro, with Aker Kværner - and for the part with all Norwegian companies that are 100 pst. private time. I have that kind of dialogue as Minister for the Environment and Development every day. They're affecting my decisions. I discuss questions with them and come up with views about them. I was at the Industry Assistance Conference yesterday and made a number of views on Norwegian business there. I met Telenor on Friday to discuss their investment portfolio. We must not limit the influence between politics and business to the formal ownership position. It's important. But in addition to that comes the social debate, for which I hope these companies are receptive, and which is part of the debate. In the case of StatoilHydro -- I come back to Aker Kværner -- my main ambition is to see a StatoilHydro moving gradually towards the postfossil phase. British Petroleum put the slogan ‘Beyond petroleum’ in its time. I don't know how far they've come to live up to that slogan, but it's at least a very good ambition to have. We see these signs. StatoilHydro begins to enter wind power, in bioenergy. But the direction must be to carry out the oil and gas business, whether it is in Canada, in Alaska, in Norway or wherever it may be, in the very best way, in order to then gradually move towards a situation where fossil fuels are only a small part and not the crucial part of human energy. Then I can come back to Aker Kværner.
