ParlaMint-NO_2008-05-09.ana.ud1168e43	The representative Ib Thomsen will present a proposal for a representative.
ParlaMint-NO_2008-05-09.ana.ud1168e168	The matter we are dealing with now is both remarkable and incomprehensible. It is not a strange and incomprehensible proposal from the Left and the Right, but an incomprehensible and strange attitude of the Government and the great crowd. Here, with open eyes, a proposal is voted down which makes it impossible to see the negative consequences of. The proposal has no implications for public budgets, but states that private employers should be given the opportunity to offer the same safety net to their employees in the event of sickness and disability as the public sector. For me and the Left, it is completely incomprehensible that the government and government parties are against this. Once again, one hides behind a very technocratic justification, that it's about clarifying the applicable law. One further argues that this will allow the Government to look at it before or later in a wider context, therefore it is not necessary today. One may allow himself to have a certain understanding that the government parties do not have the great margin of play in terms of cost-intensive proposals from the opposition, but our proposal to eliminate discrimination between private and public occupational pensions as regards access to disability pension while receiving short-term benefits from popular security has no financial or budgetary implications for the public. It is paid jointly by enterprises and employees. It is very difficult to see the political objectives of the technical legislative changes or the legal refinements made by the Government, in order to quote the main organisation of the Finance Industry. As emerged from the hearing of the Financial Committee on 31 March of this year, today’s discrimination has aroused a great deal of commitment among many. The head of the academics, Kristel Kvam, said among other things: over 50 pst. the members of the organisation were affected by today’s discrimination and the organisation is calling for a justification for today’s discrimination. Neither during the hearing, during the suspension, nor as far as I have heard today, any substantive justification for such discrimination has been put forward by the government team. We have a government that has many beautiful formulations to strengthen social rights for different groups. In this context, it is possible to correct the fact that up to 200,000 workers lose an important social safety network for disease over a year due to this discrimination. If you have income between 7 and 8 G, less than half of your previous salary will be covered, even less if your income is higher. Clearly, this will have dramatic consequences for many. As also stated in the hearing of the Financial Committee, the discrimination for one serving 12 G would amount to more than DKK 250000 per year, depending on whether an employee is in the private or public sector. Otherwise I noticed what the representative Holmås said in his post, and I waited anxiously for what the finance minister said, what would be the answer here. I also noticed that the representative Jacobsen was so positive, but that he doesn't think it's time now. I am excited about the further follow-up in this matter.
ParlaMint-NO_2008-05-09.ana.ud1168e183	I don't think there's a need for me to go through the whole story behind these questions. The rapporteur and others have been involved in this. However, we are in the situation where different principles have been established for the coordination of different performances in public schemes and in private schemes, and there is discrimination that is difficult to explain. It has its history--and there's no invention from this government-- that goes back to different governments, and can probably be traced back to that there are issues that are dealt with in different laws at different times and therefore are not viewed in context. We are now working, as many have been involved, with a proposal to be submitted to the Minister of Labour and Inclusion, and I will follow up the questions raised in this proposal for a representative in this regard. I don't think it's sustainable in the long term to have such a different treatment of schemes that have a historical justification, and I don't find any good explanation for it based on today's situation. So with these signals to Stortinget, I can assure you that this is a problem that we are going to follow up and come back to Stortinget with.
ParlaMint-NO_2008-05-09.ana.ud1168e192	It's going to be line change.
ParlaMint-NO_2008-05-09.ana.ud1168e195	I always listen carefully when the foremost party against injustice is just talking about that theme, and I think that they have so far spoken well about it. The representative Holmås went quite far in wanting to solve these problems. The very setting I think might be somewhat lukewarm and a little technocratic about doing something about this. Of course, I also see the timing of the revised budget. What I would like to ask the Minister of Finance, in addition to what she has now confirmed from the Chair, is whether she can guarantee that the Ministry of Finance will follow up this matter, which, after all, is in another department, with the problems it may sometimes involve, so that we can feel sure that something is being done about the matter that has now been discussed? In that case, we will turn the proposal into a transmission proposal.
ParlaMint-NO_2008-05-09.ana.ud1168e205	I can guarantee and confirm that I will follow up this issue when we deal with the matter for which the Ministry of Labour and the Ministry of Inclusion is responsible. We've had questions about this at the hearing. The hearing period has expired, and a proposal has been notified to Stortingen on the matter. I believe it is natural to follow up the different treatment found on this issue, in this context. I have no opportunity to reach it to the revised national budget, to say it like that. Now this is a different treatment for which a large majority of the parties in Stortinget are responsible. I think it has occurred because there are different schemes that have been treated at different times, and so you haven't seen how this in total turns out. I can thus confirm to the representative Fleet that this is a problem that we will follow up.
ParlaMint-NO_2008-05-09.ana.ud1168e214	Several have not asked for the word for a line.
ParlaMint-NO_2008-05-09.ana.ud1168e217	I took the word to comment on a few things. First to the representative Svein Flötten: If he has perceived the case rapporteur so that when the draft hearing was to come in the same state from the Ministry of Labour and Inclusion, then that is what we were to join, it is not in the agreement with what is the rapporteur's opinion. I was very clear that this with inequalities between private and public occupational pension schemes in this context is a real issue, where we are very open to an assessment of how we can get equal treatment. It is thus underlined, and I was inside my post several times. It is also the case that there is another issue that I think should be considered, and it is that, in the case of pension schemes under the Pension Act, they are based on the principle that benefits are defined as net benefits that are in addition to calculated and not actually paid social security benefits. I believe that there is also a basis for looking at the net/gross discussion about what is in the public occupational pension schemes, and what is under the Entrepreneurship Act. We should have a broad assessment of the question when we first deal with it. I can't see that there should be any reason why there should be such a big difference. So in public occupational pension schemes, you can get 66 pst. of up to 12 G, while in other schemes there are 66 pst. of up to 6 G. So it was tempting--but I'm going to be a little restrained, it's Friday, and it's good weather--to ask the Progress Party to read its comments in the setting of Ot.prp. No 32 for 2006-2007. I'm not going to read them here, but I have rarely experienced such broad support not only to the workline, but to what was the Government's arrangement both in relation to the fact that there should not be a disability pension when it came to rehabilitation, and partly even clearer when it was about rehabilitation. I'm not going to take it anymore, just remember the Progress Party about its close past in the spring of 2007.
ParlaMint-NO_2008-05-09.ana.ud1168e226	I am very pleased that both representatives from SV, the Minister of Finance and also now the case rapporteur present their attendance orally in a much better way than what I have been able to read out of the written statement. It may have something to do with my perceptive powers, but it might be a good idea to find out. I can't quite get the same out of the Central Party's fiscal spokesman, but I expect and trust, of course, that the Minister of Finance and the Government will normally bring the Central Party into the fold here when she promises to deal with the matter and come back to this. Let me also add that I agree with the Minister of Finance that this has a history, but that history must not prevent us from getting good and fair solutions. Therefore, we would like to turn the proposal of the Advance Party, the Right Party, the Christian People's Party and the Left into a transmission proposal, and I hope that it will have a good destiny in the Government.
ParlaMint-NO_2008-05-09.ana.ud1168e233	The proposal is therefore, as the representative Svein Flätten explained, converted into a transmission proposal. Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 3246]]
ParlaMint-NO_2008-05-09.ana.ud1168e251	At the request of the Control and Constitutional Committee, the President will propose that the speaking time be allocated by up to 10 minutes to the President, up to 5 minutes to each of the main speakers of the other parties and up to 5 minutes to members of the Government. In addition, the President will propose the possibility of a replacement of up to five lines after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up for the speaker list in addition to the allocated speaking time should have a speaking time of 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-05-09.ana.ud1168e260	Norwegian agriculture and food production are important both for food safety, to create employment and housing in a long-term country, to preserve the environment and biodiversity, to address both climate and environmental problems and to maintain the landscape. The increase in food shortages in the world and price increases in basic food products illustrate the importance of further developing agriculture and food production in Norway. Let me also underline the importance of agriculture in slowing down relocation and making the countryside more attractive. But then we have to renew the rural industries, and we have to create new jobs, both directly linked to food and agriculture and in other and related industries. It is therefore important that we take seriously the Riksrevision report on industrial development in agriculture. There is an overall control and constitution committee that is behind this setting. The purpose of this administrative audit has been to examine whether the Value Creation Programme for Food Production, VSP food, and the rural development funds, BU funds, are managed in line with Storting’s decisions and assumptions. The Ministry is responsible for the overall management of the objectives and results of instruments to contribute to the development of agriculture. It's not often that there's an overall increase that's behind a position on agriculture, but so we do in this case. The Committee has worked closely on the matter and has had a closed consultation with the National Auditor and also an open consultation with the Minister of Agriculture. The rural development funds, known as BU funds, and the Value Creation Programme for Food, known as the VSP food, are the key economic instruments for achieving the objectives set by the EEA in relation to agricultural economic development. Over the period 2001-2006, the size has allocated DKK 2.2 billion to these two schemes. The grants will be distributed by 1 700 million. DKK for state-owned BU funds and 500 million. kr for VSP food. The size has repeatedly adopted and expressed objectives for living agriculture with a broad approach. At the same time, Stortinget has clarified that increased investment in alternative industrial development is as necessary as more competitive volume production. The Committee would point out that the purpose of this management audit was to examine whether the instruments for industrial development are managed in line with the objectives and assumptions of the Storting. The National Audit Office’s study identifies significant weaknesses in the management of grant funds from 2001 to 2006, although positive effects and improvements are also highlighted in some areas. The National Audit Office points out clear links between the device on the BU funds and its business and social impacts. The consistently low level of grants contributes to the failure to achieve the objectives. There is also an increasing proportion of projects receiving support for the development of new goods and services, although these projects have the greatest impact on the overall objectives of increased profitability and societal benefit. The Committee is aware that the subsidy limits applicable to the majority of the period examined have been increased subsequently. It is also interesting to note that the projects which have received grants for the development of new industrial activities are those which, according to the study, achieve the best results. It may therefore seem unfortunate that subsidies to new industrial activities have decreased over the period. The study also shows that the employment effects of the BU funds and VSP food are modest, although the effects on employment and the objective of maintaining the use of agricultural land have not been reported. Nevertheless, it is positive that concrete priorities take place within a state-of-the-art partnership, which will lead to different priorities. The study shows that the subsidies also have a positive impact on development. Among other things, around half of the survey states that the BU grant has helped to increase the optimism about continuing agricultural production. It is also positive that support for projects for women and young people has increased over the period, which is in line with the objectives. The Ministry of Agriculture and Food disagrees with essential elements of the National Audit Office’s analysis and assessments of the BU resources for traditional agriculture. These views and assessments are made clear in the Ministry’s opinion, as set out in Document No. 3:5, in the Ministry's press release and in the open consultation carried out by the Committee. The Committee shares the Ministry's view that BU funds and VSP food are part of a major agricultural policy with a number of legal and economic instruments and that it is not sufficient to assess only those two schemes isolated from the other instruments in existence. However, the Committee would stress that an overall evaluation of agricultural policy was not intended for the revision and that there was a wide-ranging contact between the National Audit Office and the Ministry of Agriculture and Food on the basis of the survey, before the study was started. The Committee shall display, inter alia: to an Internal Note from the Riksrevision of 27 January 2008, which reads: ‘In meeting with the senior management of the LMD and the National Audit Office, where risks and materiality in the agricultural sector were discussed, it was pointed out by the LMD that the revision of industrial development in agriculture was an area that should be given priority. In the light of this and other audit assessments, the survey of industrial development in agriculture was started.» The Committee considers that it is possible to evaluate the BU resources and the VSP food without evaluating the overall agricultural policy and considers that the report of the Riksrevision provides a complementary picture of how the scheme is managed and operated. The national audit identifies challenges related to measuring the effects and results of the BU funds and VSP food. Therefore, it is positive that the Riksrevision will follow up with new studies to assess the longer-term impact of the use of the instrument. The Ministry also points out that the BU funds have not been evaluated up to now, and that this administrative audit is an opportunity to improve the use of instruments. The Committee further points out that in a press release of 15 January 2008, the Council of State indicated that it wanted a broad and comprehensive evaluation of the BU funds. Let me also point out that the Minister of Agriculture and Food at the hearing signalled that the Ministry of Agriculture and Food wants to improve and differentiate the target management for industrial development in agricultural production and new activities respectively. The Committee welcomes this in its opinion. Furthermore, the Committee considers that it is necessary for the Ministry of Agriculture and Food to follow up this study, so that the subsidy is managed as far as possible in line with the objectives and assumptions set for the instruments. We point out the need to develop better tools for target management and reporting and assume that the Ministry of Agriculture and Food will give this high priority in the future. The Committee welcomes the fact that the Ministry of Agriculture and Food will carry out a broader and comprehensive evaluation of the instruments of economic development of agriculture and assumes that the mechanism of the instruments is adjusted to ensure better achievement of the objectives. The Committee would also point out the need to carry out a larger and wider administrative audit of Norwegian agricultural policy and address this with great interest. In conclusion, let me point out that the Committee notes something unusual in that the Ministry of Agriculture and Food chose to distribute a press release at the press conference when the Riksrevision report was published, with strong criticism of the Riksrevision study. The Committee would point out the unfortunateness of a revised establishment presenting public criticism and polemics of the Riksrevisions report on a case to be handed over to the Stortinget. The National Audit Office is an independent body that assists the Storting in the control of the administration. The revised establishment has had ample opportunity through the preparation of the report to make its views known, which is also reflected in this report. The Committee would stress that the deepening of views of the Ministry should take place in the context of the examination of the Committee. The Committee would also point out that, in response to criticism from the Ministry of Agriculture, the National Auditor submits to the Supervisory and Constitutional Committee an internal note from a department of the National Audit Office. The Committee stresses in its opinion that this type of procedure, both from the Ministry of Agriculture and Food and from the National Audit Office, is foreign to Stortinget.
ParlaMint-NO_2008-05-09.ana.ud1168e320	Of course, I agree with the Committee's comments and unanimous vote. When I ask for the floor for a brief comment, it is to say a little bit about the more industrial policy aspects of this and the importance of the instruments of economic development for the development of agriculture and our rural areas. It also refers to the mention by the previous Business Committee of the need for increased focus on business development in order to promote entrepreneurship and innovation. Agricultural assets represent a diversity of resources, both human and material. It's important that we exploit them to create profitable activity. Building development funds and the Value Creation Programme for Food are key economic instruments in this way. It is worth noting, then, the findings of the National Audit Office, which show that the use of BU funds for innovation activities in the edge zone of traditional agriculture, as well as for women’s and young people’s actions, has had good business-economy effects. Logically, the results are getting better the stronger the bet is. In a large number of agricultural municipalities, the creation of employment and income opportunities in the peripheral zone of traditional agriculture has been a high priority over time. These are jobs which at least compensate for the departure we have in agriculture and which contribute to a differentiated economic structure in the countryside. It is therefore very gratifying to see evidence that this effort is effective. I also believe that it is important to bear in mind that this initiative, which in many districts has the character of being a long-term conversion work, requires that one also has a long-term perspective on incentives and economic instruments.
ParlaMint-NO_2008-05-09.ana.ud1168e331	Just a brief comment from my side. Of course, the party of progress is fully behind the Committee's position, which is unanimous. We believe that the Committee on this matter points to a number of important points. I can also join 100 pst. to the statements made by the rapporteur. That is why I should not go into the matter in detail. However, it is important to clarify that when granting this type of government grant, a continuous and thorough evaluation of how these funds are spent and where they have the most impact on the money. As this report shows, they have had a good impact on new industries in agriculture. The Progress Party believes it is important that funds from the agricultural agreement be used for the kind of development of new niche products and new types of industries in agriculture. It is also important to clarify that the Minister of Agriculture has not been willing to carry out an evaluation of the results achieved with the funds from the agricultural agreement. Obviously, when you spend $12 billion in public tax dollars on an industry, you have to have a conscious relationship with how these funds are used. In the past, I have mentioned with the Minister of Agriculture here in Stortinget whether he will carry out a thorough evaluation of the use of the funds from the agricultural agreement. So far, the Minister of Agriculture has shown no interest in it. Therefore, I have noticed that a unanimous control and constitution committee in the position gives the Council of State what I perceive is a job, in carrying out a thorough administrative audit of the entire agricultural agreement and how it turns out in relation to the use of instruments. So if the Council of State is going to take the floor in this debate, I think he should consider how he intends to carry out this task which I believe the Committee has given the Council of State.
