ParlaMint-NO_2008-02-28-lower.ana.ud833e24	The representative, Martin Engeset, will put forward a proposal for a representative.
ParlaMint-NO_2008-02-28-lower.ana.ud833e188	Firstly, I would like to thank you very much for the support that we receive here in the Chamber today for this proposal. I was born in 1969. I'm an old lady. But I have been raised in the sacred belief that it is not allowed to beat children in Norway. I learned from my parents that beating children was not allowed, in line with the fact that it was not allowed to beat adults. Changing such a stance on the use of violence in the mission takes time, it certainly takes generations, and it has been going on in Norway for probably over 100 to 150 years. It's about adults learning other ways to exercise authority than by violence. Therefore, the statements of the Progress Party that this violates the general sense of law and common sense are totally incomprehensible. All the knowledge we have, absolutely all the international knowledge we have, says it's wrong to beat children. We have spent 150 years in this country reversing parents' attitudes; they have to exercise authority over their children differently from physical punishment. That's common sense. It's not just common sense, it's also good science not to beat children. I also believe that the general legal opinion in this country is that you should not beat children. And I'm a little bit startled by what the social media representative Knudsen has if the general legal opinion there is that it's okay to beat kids -- just hit them a little bit. It is possible that it is difficult for the representative Knudsen to see the difference between beating children a little and keeping children a little. But it's not hard for adults. I don't think the Progress Party had come to vote for a bill that meant that hitting adults a little bit is okay, because it's so hard to see the difference between hitting them a little bit and keeping them a little bit. It is actually quite important that you have a law where there is no doubt that there is a difference between physical punishment and preventing damage. As for the broken three-year-old of Trond Lode who is carried out of the store, I think that if mother had given a earpiece, she would probably have come to get feedback from everyone around that you don't. But the broken three-year-old carried out of the store would probably have got compassionate glances and smiles from parents around who realize that going past the candy barn can be a challenge when you want to decide sail. I think that all the social norms, all the common sense, all the knowledge and all the general sense of justice in this country -- over a hundred years parents have learned to exercise authority in another way -- suggest that it is not allowed to beat children. That we have a political party standing in this hall and saying that it should be allowed to beat children a little bit, I think I'm absolutely incredible. I am very pleased with the support. I really thought the law was like that before we started working on this. But now I am looking forward to the government presenting a new bill to both the Children's Act and the Penal Code, so that we have a law that is related to the general sense of law and common sense -- the common sense that says that authority towards children exercises adulthood by being an adult.
ParlaMint-NO_2008-02-28-lower.ana.ud833e205	The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-02-28-lower.ana.ud833e208	I noticed that the representative Skei Grande thought she was an old lady, born in 1969. I'm a young grandpa, born in 1964. I also believe that this is a basis for saying something about this, while I very well remember my own growth. I have, in this debate, among other things. tried to get the majority, i.e. all the other parties outside the Advance Party, to come up with concrete things to show this issue. Through the debate and through the work of the Committee, they have not come up with a single case. I have asked for references to where this general disgust and debate has been mentioned - but not a single example, either in committee or in today's meeting here in Odelstinget. I believe that this debate may be among three or four legally interested in Blinders or in a Left team on Grünerløkka. I have at least not seen it, and I think that this matter is somewhat more hysterical and very little nuanced by some of the speakers in today's meeting. I would like to congratulate the representative, Sanner and the representative, Lode, who had relatively nuanced posts and talked about the signal effect here being important, and I agree with that. We should send a signal that violence against children we don't want any of it in Norwegian society. But then the question is what kind of signal effect we send by putting serious abuse and gross violence against children in the same booth as a courtship. I think we're giving a completely wrong signal when we put these in the same booth. I also have the feeling that there is a gap in the argument for the majority when, in this Chamber, a number of proposals have been voted down by the Progress Party on stricter penalties for serious abuse, violence and incest against children, but at the same time criticises the Progress Party for wanting to give parents some freedom in this area. Very familiar, no children have taken the damage of a firm hand in growing up. Of course, we don't want anyone to go through physical punishment, but that sometimes you have to keep a child and pass it on, and that sometimes it can be borderline cases, it has to be quite obvious and basis for common sense.
ParlaMint-NO_2008-02-28-lower.ana.ud833e220	It is clear that the Progress Party needs newspaper clippings in front of it to discover that debates have taken place. As the representative Gjul said, we were challenged by the Supreme Court to clarify the legislation. What I can't do, sail if I really want to, is read from the comments of the Progress Party or from the statements of the Progress Party why they are opposed to this proposal. They think there's a lot of things going on that's worse. 20 pst. has, according to the NATO study, experienced that Mother has beaten them. Most of them have experienced that she has done it only once. Nevertheless, it sits in the spinal cord all its life. We have reports from the NATO report on people who have experienced mother beating only once, but that fear came up every time mother became angry. And Mother was very angry that time. I think the battle could have ended up in the category of spontaneous action, which is mentioned in the Supreme Court case. I don't understand why you shouldn't say that this is absolutely not allowed. It sets standards, but I think it is also crucial in relation to the more serious issues. What we're talking about here is that you're breaking borders at all, breaking the emotional barrier, beating your kid. That's what it's about that we want to fight down. The path from the earring to the really rough is quite short. When it is claimed that children have not been harmed by the small flaps, I believe that the NATO report actually proves the opposite. Also, the little flaps, the earflakes, the fact that you notice that mom is out of control and doesn't want to control her mind toward the kid, leads to a break of trust between adults and children. We have a lot of knowledge of this. I believe that the Progress Party could cost itself to give its former party leader a ‘slap’ on the fingers of this case, and dare to go for this bill.
ParlaMint-NO_2008-02-28-lower.ana.ud833e237	This debate clearly shows that this legislative proposal is absolutely necessary. That the Progress Party claims that we cannot prove that there is a debate about violence in the relationship between children and adults in Norway, except to refer to newspaper posts here in this Chamber, shows how little the Progress Party is concerned about this debate. Children who get beaten are hurting it, we know that. Physical punishment is a declaration of failure. That adult people have to resort to physical punishment for educational purposes, I believe is a failure statement. I cannot clap to the representative of the Progress Party when I disagree with him or think he should be raised. You can't do that to children either. Therefore, it is absolutely necessary that we get clarification in the law. I think the representative from the Progress Party shows very clearly how important it is, because the vote says that the Supreme Court says that you cannot be punished for slapping children for educational purposes. In fact, when the representative from the Progress Party is talking about earbuds, I believe that there has been a lot, much longer. For me, a flap is something quite different than a earring. And how far, then, is it from arrogance to more serious violence? I believe that this debate has shown that it is indeed important that we get clarification in the law, both in the child law and in the criminal law, which clearly states that physically punishing children is not allowed in Norway, in the same way that it is not allowed in relation to adults. It is absolutely necessary that children in this country have the same legal certainty as adults. I know that the representative from the Progress Party has asked for the floor after me. I would then like the representative to clarify: Is it clap and earful the same thing?
ParlaMint-NO_2008-02-28-lower.ana.ud833e250	Ulf Erik Knudsen has had the word twice and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2008-02-28-lower.ana.ud833e253	I notice that an investigation says that 20 pst. Norwegian women and men have a earring in the course of growing up, and that it has usually been one earring or one flapping. It might show that it's worked. But when I ask you about the specific issues, where this has been a problem in the judiciary, it's not one thing that can be pointed out in concrete terms. There is also no reference to a single public debate on this. That's why I think you're probably in the process of solving a problem that doesn't exist. And when six-seven speakers are unable to give a single example to concrete this matter, you might want to be more careful about what you do and decide.
ParlaMint-NO_2008-02-28-lower.ana.ud833e260	As legislator, it is our duty and our task to set limits or to make a distinction between what is right and what is wrong, what is law and what is not. In today's debate, there is a majority opinion that giving a child a earring is not allowed. It's surprising that the Progress Party doesn't realize that they're on the other side of this line. They think it's allowed to give a child a earpiece. Fortunately, there has been a general perception among parents and in school that you do not give children earaches. It is therefore surprising that the Progress Party is opposed to falling into the law. Of course, it must be stated in the law that this is not allowed. That is what this debate is about - that the protection of children must be ensured. An eartie is wrong and should be illegal. The Progress Party should be involved.
ParlaMint-NO_2008-02-28-lower.ana.ud833e269	No more people have asked for the floor on case No. 1st@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2008-02-28-lower.ana.ud833e277	The odelsting should then go to voting.
ParlaMint-NO_2008-02-28-lower.ana.ud833e293	In accordance with the fourth paragraph of Section 30 of the Rules of Procedure, the Option I will send the Stortinget. It was also recommended that:
ParlaMint-NO_2008-02-28-lower.ana.ud833e303	The Progress Party has warned that they want to vote against it.
ParlaMint-NO_2008-02-28-lower.ana.ud833e323	There is no record available.
