ParlaMint-NO_2008-04-30.ana.ud2456e24	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2008-04-30.ana.ud2456e108	My question was whether the Prime Minister would object to the private realization of the construction of this hospital. I said, unfortunately, that health south-east has taken the negative decision they have made, but so it's private ready to build this. And when the Prime Minister says that it's important to get more money back, get more health for every penny, it has to be great when private people are willing to take the bill, and that we also get a health hotel, for which there is a strong demand. So the lesson that the prime minister just served, we've heard a hundred times before. There's nothing new about what the Prime Minister is now saying. But what is real is that the vast majority of health enterprises are heavily underfunded as a result of strong growth in pension costs, wage costs and a number of other things. Therefore the queues are longer, and the waiting time is longer. That's the reality. In addition, it is now felt that a requested medical hotel could not risk being realized unless the Prime Minister says that it is okay for private individuals to realise it.
ParlaMint-NO_2008-04-30.ana.ud2456e115	I will not at all oppose the private construction of a hospital hotel. At the same time, I fully agree with the Progress Party and the Labour Party for many years, namely that we must have respect for the hospital reform. It is Health South-East that they are more concerned with the intensive care unit at Ullevål, the Aker Operations Department, a new hospital in Buskerud and a new hospital in Østfold. They believe that the hospital hotel is coming further in line. Nor is it, as Health South-East sees it, something free of charge. They will operate and pay capital costs, and therefore this is not a free gift that does not go at the expense of other important things Health South-East operates with. Otherwise, I hear the Progress Party believes that we should spend even more money in hospitals. That's in particular excellent. But I now consider all the promises of the Progress Party as cancelled by the Right, for the Right has guaranteed that the Progress Party will have zero influence on economic policy, on monetary policy, and the Progress Party will continue to cooperate with the Right. So I'm actually going to stop caring about all the billions of Progress Party promises for all sorts of good purposes, because the Right has guaranteed that it won't be any of it.
ParlaMint-NO_2008-04-30.ana.ud2456e122	There will be follow-up questions - Harald T. Nesvik.
ParlaMint-NO_2008-04-30.ana.ud2456e125	Unfortunately, the Prime Minister's exodus is not a believer. In this case, I can only refer to proposals for board decisions on the board of directors at the Rikshospital as late as February 15, this year, about the fact that others can run economically and make this work. The proposal was as follows: ‘The board believes that a hospital at the Radium Hospital is the best solution to meet the need for overnight accommodation. The hotel supports the desired development of the business and from the start will contribute to better quality, service and logistics in patient care and provide better economic efficiency in the short and long term.’ In fact, private people have agreed to both build and operate this hospital hotel. The director of the Rikshospitalet has set up and announced that there is a better economy and also logistics by doing so. I allow myself to ask the Prime Minister the following question: Is there any other reason why we do not want to realize this hospital now, despite the fact that it is better for all parties, including the hospital economy?
ParlaMint-NO_2008-04-30.ana.ud2456e139	I do what the Progress Party, the Labour Party and the majority of the parties on the Stortinget agreed not so many years ago, and that is to implement the hospital reform with the responsibilities of this reform. The size was to determine how many patients were to be treated, they were to determine the main priorities and main choices, and then they were to leave to the hospitals and hospital companies, such as Health South-East, to decide how to dispose of the money within that framework. And when Health South-East believes it's more important to spend money for purposes other than the hospital hotel, I respect that. In fact, it also meant the Progress Party a short time ago, but it obviously does not believe the Progress Party anymore. I have no fundamental concerns about private giving a gift, drifting and investing in a hospital hotel. But health south-east looks a little different, because this is not a mere gift. That's something that's going to go at the expense of other important purposes, and then you think there's other things that are more important. It's a decision I respect. It is not on my table, but I respect the decision-making model that the Progress Party here in Stortinget was in favour of.
ParlaMint-NO_2008-04-30.ana.ud2456e147	No pay - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e150	It is commendable that the Prime Minister reads the Gallup so that he should start to worry about which government constellations will take over after him in a short time. But for the time being, he's in charge. I share the Prime Minister's fundamental view that when you have a responsible government, you should not take responsibility from the board. That's exactly where we agree. But the matter is a little bit more complex. My question to the Prime Minister is whether, through the Minister of Health, the Government has given clear signals to the regional health company that it is preferable not to establish a public-private cooperation on the implementation of this medical hotel project. Can the Prime Minister guarantee that this has not happened and that this decision has really been taken from below and not after political orders from above?
ParlaMint-NO_2008-04-30.ana.ud2456e157	It is quite clear that this is a decision that has been taken where it is to be taken, which is in line with what the Right Party, the Advance Party and the Labour Party and many other parties have meant, namely in Health South-East. The size must determine the limits, and then they must determine how they have the frames. And I repeat, I have nothing in principle against private investment in a hospital hotel. But the reason for Health South-East is that it will cost them, because it is not a free gift. So they're going to have to pay operations and capital costs, and then you can just as easily pay it all by yourself. It is not that a hospital hotel is necessarily unnecessary, but it is said that in view of all the other important projects, such as a hospital in Buskerud, a hospital in Østfold, an operating department in Aker and many other interesting projects, this does not come up high enough, so you choose to bring it down. I as Prime Minister will not go into that kind of individual decision. I'm not in principle against private driving it, but for me as Prime Minister, it's very important to get economic control of hospitals, that we respect the system that's going to create governance. If we intervene in these kind of individual decisions, we'll destroy that system.
ParlaMint-NO_2008-04-30.ana.ud2456e164	Knut Arild Hareide - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e167	The system we have set up to manage hospitals has also given a person full instruction to Health South-East, and it is Minister of Health Brustad. My question to the Prime Minister is, when we have now spent 30-40 million. To start a building, did both the Prime Minister and the economist think it makes sense to stop this project, when we know of the need that lies ahead here? Is there not a reason just now to go into political governance and see reason in systems, so that a project in which we have invested such large funds will not be stopped?
ParlaMint-NO_2008-04-30.ana.ud2456e174	I am absolutely sure that if the Christian People's Party had been in government, they would have meant exactly what I mean now. For the Christian People's Party has actually been a hot defender of that reform after they entered the government offices the last time. It's because they see that when we've increased the appropriations for hospitals in a few years from 55 billion kroner to 85 billion kroner and are still struggling, it's not just a matter of spending more money, it's also a matter of creating a system where we get better management of hospitals. If government councils are to start entering into individual decisions of the order of 30-40 million. kr, the system is broken. Then we've broken the system that gives us more health, both because we give more money than we've done before, and because we spend the money better.
ParlaMint-NO_2008-04-30.ana.ud2456e179	Odd Einar Doorroom - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e182	The left has respect for the reform that has been implemented, even if we voted against it. It's also the case in the main hall that we're allowed to reflect. A long life in politics, not least in a former role as Minister of Justice, has taught me that there is one perspective we often neglect in Norway, and that is taking into account relatives. I have met people who have been following sick people to hospitals for 20 years, and only after the 12th year did someone ask these relatives how they were doing. I have to admit that it is hard inwards me, because throughout my education and education I have been inclined to think that one in the profession is doing his job, and the patients and the clients get what they are going to have. Suddenly, it's like colliding with reality. That reality is that there are people we're concerned about, that's the case. We know that these people's presence matter. Does the Prime Minister not see that finding a solution in a wise and sensible way to ensure that relatives can be close to those who need it is, in fact, strengthening confidence in health care and confidence in cancer treatment?
ParlaMint-NO_2008-04-30.ana.ud2456e191	I believe that the representative Dørum now asked a very important and good question, namely the question of how we can help improve the offer to the relatives. Firstly, I am concerned that all health companies, not just Health South-East, are doing what they can to get to it. It can be through health hotels, it can be health hotels operated under the direction of the health company, and it can be health hotels operated under private control. We also see some places now that there are actually overcapacity in some areas of health care. What we see is that someone turns traditional hospital records into health hotel records. This may be a good offer to the relatives. The crucial thing for me is that I actually think that those who are closest to the problems, those who rule and are in Health South-East, are the best way to see how we solve that problem, instead of the government's intervention and intervention in individual decisions.
ParlaMint-NO_2008-04-30.ana.ud2456e200	Let's move on to the next main question.
ParlaMint-NO_2008-04-30.ana.ud2456e203	The government has got a lot of well-deserved criticism for its many violations of promises. In one area, however, it seems that the red-greens have kept what they have promised, and that is their ideological warfare against private alternatives. This applies to health, rehabilitation, child protection and care. The results have now begun to report to the users of these services. We see that the hospital queues are growing and waiting time is increasing, among other things. because the government cuts in the private hospitals. Many people have to wait a long time for rehabilitation because it is cut in the supply of private training institutions. Good offers are put down. There's a dramatic increase in waiting time for children who need foster homes. At the same time, the government cuts in private offerings, and good private child protection institutions need to be shut down. The waiting time for addicts is increasing. At the same time, it was cut in the private offerings. It almost seems to be a continuous picture that the queues are growing, that people in need, people in need of help are standing in line while there are good, private offers that offer help, but that the government cuts in these because you almost have an allergy to the private solutions. Does the Prime Minister think that there is a fair, social and solidarity with such a policy, that people in need of help remain in line while there are vacancies, good places, in private institutions?
ParlaMint-NO_2008-04-30.ana.ud2456e223	There will be no more money from public funding for private purposes. This means that the total appropriations for health, rehabilitation and care for drug users are essential. What this government has done is increase the total appropriations. For this reason, it is dealt with, for example: far more patients now than when the Right sat in government offices. Right-wing policy is about weakening the common fund that makes us have the money to pay for health, care, well-being and many other important things, because they still want to spend billions of dollars on taxpayers rather than having money in the common fund. Then I'm in favour of having a cooperation between private and public. To a large extent, we do. For example, Diakonhememets Hospital, Lovisenberg and the Feiringklinikken are private non-commercial hospitals. We use them, we're going to use them, and they play a big and important role in the Norwegian health system. We also have private services in the care of the drug, and we will still have them. Health South-East has e.g. increased appropriations for care. It's in the form of tenders. Then there's someone who gets, and others who don't get. We spend more money on private care now than last year. But there are still some people who get no, because we have the competition for tenders that are right-wing. Then you can't say that it's wrong if someone gets no -- that's part of the system that the Right and many other parties want in some areas. In the case of hospitals, it's true that there are fewer people treated in private commercial hospitals -- we're not talking about private people like the Diakon home or Lovisenberg -- while there's been a much larger increase in treated patients in public hospitals. So overall, there's an increase in the number of patients treated. We're dealing with more now than ever. I believe that the public community must take responsibility for good health, a good offer for children, child care and child protection. I believe that there is room for private, especially non-commercial, but I am opposed to the commercialisation of the healthcare system.
ParlaMint-NO_2008-04-30.ana.ud2456e236	I think that speech makes little sense to those people who need help, but who don't get help because the government almost has allergies to private alternatives. This is not about the Government having granted more money, but about the Government having given a clear signal to the health regions of stepping down the use of private hospitals, stepping down the use of private rehabilitation institutions, stepping down the use of private child protection institutions and stepping down the use of private drug institutions. This cannot be turned away by the Prime Minister. It is a reality that the Government has given clear guidance on stepping down the use of private institutions. Now we know that in Buskerud, there is a 70-place private drugstore, but because the government has given such a clear signal that you don't have to choose private alternatives, this institution stays standing without any agreement with the public.
ParlaMint-NO_2008-04-30.ana.ud2456e245	I repeat, what we're concerned about is what's best for patients, for children, for those who need welfare services. We use private where we think it is right and necessary, but we believe that the public should have the primary responsibility and should, not least within the hospital community, have the main weight of the services. But there is also a lot of fault in what the representative Sanner says. In the case of private rehabilitation institutions - including appropriations for private drug institutions - the appropriations from Health South-East have increased by 12.6 p.m. over the last year. There are many who offer in a tendering process, and so it is that someone gets yes and others get no. That's when there's competition. If the Right is going to run after all those who have got no, and say that they have to get yes, you have removed the whole point with the Right for.
ParlaMint-NO_2008-04-30.ana.ud2456e252	There will be follow-up questions - first No pay.
ParlaMint-NO_2008-04-30.ana.ud2456e255	There will be no more money buying private treatment facilities, says the Prime Minister. That's right, of course. On the other hand, it may be that you get significantly more for the same money. It is a fact that when the Government contributes to the closure of well-established private rehabilitation institutions, or to half-machinery, while the government builds up under its own control, the cost of daily prices is three to four times higher. That is, you only get the quarter so much left for the money, and that should interest a social economist, I should think. I have a couple of other numbers that I would like the Prime Minister's comment on: During the last year, the purchase of private health insurance in Norway increased by 77 pst. It's an increase that began after the red-green government took over. At Aleris Private Hospital in Oslo, the number of people paying out of their own wallet has doubled five times in the last calendar year. The red-green government is thus developing a two-part health and care service in Norway. What comment does the Prime Minister have on this?
ParlaMint-NO_2008-04-30.ana.ud2456e262	I stress that the crucial thing about how well we have for healthcare and other types of welfare services is how much we set aside of the total value creation to fund it. This government has increased the appropriations for rehabilitation, for health, for drugs, for many other important welfare purposes. We can do that because we don't spend billions on tax credits. We use them on welfare instead. The second is that we are busy getting the most back for the money. That's why we choose a combination of private and public where we think it serves patients and users. That is why we have, for example: The celebration clinic and the Diakon home, and that's why we also use commercial providers in some contexts when the public has nothing to offer. We have many examples of the public getting better use of capacity by using its own capacity. We see it within, among other things, x-ray and lab, where the private share has fallen, and where the public has gone up, because we're using our own capacity. It is cheaper and better than using the private commercial ones that not only cover costs but also cover the return and earnings of the owners. So I feel like it's the Right that has ideological skyscrapers here. We're busy doing the best for patients.
ParlaMint-NO_2008-04-30.ana.ud2456e271	Sive Jensen - to follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e274	The Prime Minister will now have a fine opportunity to do the best for patients by simultaneously removing this so-called misunderstanding that the red-greens have aversion to private solutions. The Prime Minister can do this by asking the Minister of Health to make it clear to Health South-East that they want private people to get away with building the hospital at the Radium Hospital. So this kind of clarification solves this problem, so you don't have to take down the rig that's ready, the construction that's started, and the hospital can be realized in a few months. This may help the Prime Minister to clarify. Then I want to correct a couple of errors that the Prime Minister has just made. In Health South-East they themselves have said that by sending patients to nearby hotels they have to pay a daily price of approx. NOK 1 300, while if they can do it on their own or through a private hotel in the Radium Hospital, this can be done at a much lower daily rate. In other words, you have estimated a saving of 15 million. kr of the year!
ParlaMint-NO_2008-04-30.ana.ud2456e281	I think it's a fundamental misunderstanding that Siv Jensen builds on, that I or the Government of the Minister of Health have refused to go further with the hospital hotel. We have not done that, but we have done two things: we have practised what the Progress Party and the Workers' Party are for, namely the hospital reform, where it is up to Health South-East to decide how to use their money within the limits granted. That's the one. We stand by the guiding principle that I believe is important to keep order throughout the hospital system. The second is that Health South-East rating is that this is not a free gift from private donors. This is something to be financed by Health South-East budgets by covering capital costs and operating costs. It would then go beyond something else that Health South-East believes is more important, such as. emergency departments and new hospitals elsewhere in the country. I haven't made that decision, and I'm not going to go into it. That decision has been made by Health South-East, and I respect it.
ParlaMint-NO_2008-04-30.ana.ud2456e288	President! To a manifest misunderstanding.
ParlaMint-NO_2008-04-30.ana.ud2456e293	Ingredient S. Sørfonn - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e297	There are some fundamental differences between private actors in the health and care sectors. The difference goes between the commercial and non-profit organisations. The difference goes far beyond the fact that the commercial drives for profit, while the ideals don't. The situation of many institutions run by non-profit organisations is not as idyllic as the Prime Minister gives the impression here. Haraldsplatz Diakonale Sjukehus in Bergen is an example of this. Furthermore, non-profit organisations are an important complement and corrigendum to public health and care services. Research shows that a society that has an active voluntary organisation life is scoring high in many areas. I wonder if the Prime Minister sees this, as long as the government pursues a supply policy that threatens the supply from voluntary organisations to thousands of patients, children, the elderly and drug addicts. Since the Pollen season is now ahead of us, is this about a volunteer allergy?
ParlaMint-NO_2008-04-30.ana.ud2456e304	I very much agree with the representative of Sørfonn and believe that Frivilligkeits-Norway, ideal Norway and Organisational Norway are making a formidable and very good effort in the Norwegian welfare community in many areas - health, care for the cattle, child protection, etc. That's why I think we should pursue a welfare policy where there's room for this kind of non-commercial non-profit organisation and institution, for example. The Church's Bymission, the Salvation Army and many others. It's also one of the reasons why I'm cautious about what I feel the two right parties, the Right and the Advance Party, stand for, namely an ideological desire to use the market where the market does not work, use competitive outsourcing and market mechanisms where it does not work. That is also why I hope that the Christian People's Party clearly sees this, so that they do not support the Right's policy in this area around Norwegian municipalities, where one is driven unilaterally by a market thinking, which not only affects the public, but also very often affects private non-profit organisations.
ParlaMint-NO_2008-04-30.ana.ud2456e309	Anne Margrethe Larsen - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e312	In fact, the newest state councilman, Anniken Huitfeldt, has been quite clear about saying that in child protection, the child's needs must be ahead of ideology. I have a quote from the Evening Post on April 4 where she says the following: ‘Ideology shall not stand in the way of the best interests of the child — their needs come first’. Nevertheless, a few weeks ago we experienced quite a lot of noise around the institution of Wvalstad for minor asylum seekers aged 15 to 18. The institution is crowded, but they're doing the best they can. It is only government institutions that this government will invest in. Nevertheless, many minor children are alone in the world, having traumas, and need help. At the same time, there are recognised child protection institutions, including: Cocoon resource center in Farsund, with uplifted beds, ready to accommodate children with trauma and children who have been trafficked. Does the Prime Minister not see here ideology coming in front of children?
ParlaMint-NO_2008-04-30.ana.ud2456e322	I fully agree with Mr Huitfeldt that ideology should not stand in the way of children's interests. Then there's something very wrong with ideology. You should not have an ideology that does not ensure that you care for the needs of the weakest, for example. a child. That's why within the field of child protection, we've always had a combination of public and private institutions. I can't and will not mean anything about each institution. What I think is that those responsible around the different institutions must always assess both the quality and the use of capacity in their own institutions. It is the kind of concrete assessment of what serves the best of children, which determines whether you choose a public institution or a private institution. But there's nothing fundamentally wrong with having private inside, for example. the protection of children. We have a lot of that.
ParlaMint-NO_2008-04-30.ana.ud2456e327	We're going to go to the next main question.
ParlaMint-NO_2008-04-30.ana.ud2456e330	I'll continue where the Prime Minister left off. He concluded that we need the voluntary, non-profit institutions, and that we should not so much use market principles and bidding principles in relation to voluntary, non-profit activities. What's interesting is that under this government, the opposite is about to happen. The fossil collective is an ideal foundation, offering young drug users between 16 and 23 years of age. Here these young people get a new chance in life. They do not need to be placed with older, worn-out drug addicts. They get the offer they need. Nevertheless, the Fossum Collective did not renew its agreement with the State recently. The reason was that the foundation did not reach a tendering process, of which there are more and more in this area. The economy was most important. An increasing number of voluntary drug, care and child protection institutions are being tendered during this government. This is despite the fact that the EEA Agreement opens up the possibility of exempting non-governmental organisations in the healthcare sector from tendering requirements, which our neighbouring countries Denmark and Sweden use to a greater extent. It's unacceptable. It looks like the government thinks it's better that these people are in a state line than that they get help from a voluntary non-profit institution. Instead of today’s market thinking, the Christian People’s Party wants legislation to ensure a diversity of actions in the health and care sector. This isn't about machines and buildings, it's about people. It is essential here to provide predictable and long-term offers to vulnerable persons and to ensure diversity and choice. The Christian People's Party has made a proposal here in Stortinget that non-governmental organisations providing health and care services on a non-profit basis, as the Prime Minister speaks of, are exempted from the tendering requirement of the Public Acquisitions Act. My natural question to the Prime Minister, after what he has said here in the Grand Duchy today, is: Will the Prime Minister live up to what he has said, and support the proposals of the Christian People's Party, or will he risk losing thousands of child-restraint children, the elderly and drug addicts?
ParlaMint-NO_2008-04-30.ana.ud2456e341	I believe that what the representative Højbrätt now addresses is an important issue. Let me first highlight a couple of basic things. One is that in this area, too, it is the total appropriations, the overall framework, which is crucial for how much we can offer, for example. in the care of russians. In the case of the grant item for voluntary drug work, it is now nearly 120 million. kr. There has been a significant increase in recent years. We have also increased other support schemes for drug work. Then we can make more offers. You could be for or against increasing this even more, but the total frames are important. So we've had an interesting debate here in Stortinget in this half hour. First, I got significant questions from the right parties, the Right and the Advance Party, where they wanted more commercial items, more free competition, tenders and that kind of thing. Now I get what I think is a more important issue on the table, namely: is it the way commercials go too far, the tendering goes too far, so that not the public loses, but those who stand between the commercial and the public, namely the voluntary non-commercial, lose? It's a problem I'm willing to look at, because we're dedicated to having strong non-governmental organisations. They make an important contribution in many welfare areas of the Norwegian community. I want to be careful to interpret EEA legislation on a standing floor, because it is a complex and complex piece of legislation, but in some of these areas there are strict rules on public tenders, which at least restrict to some extent the possibility of choosing some private rather than others private. We're going to look at that legislation and look at what legal opportunities we have, and what can be politically correct. In any case, in this area, as in the earlier areas that have been discussed, I believe that we need a combination of public and non-profit individuals, and in some areas it is also true to use commercial as a supplement.
ParlaMint-NO_2008-04-30.ana.ud2456e352	Can I interpret the Prime Minister to the point that he will investigate the scope of action of the Government in relation to exempting voluntary non-profit institutions and institutions active in the health and care sector from bidding rounds, and that he will adjust policies and practices according to the scope of action for such derogations? If that's the case, I would say that through this questioning, we have brought a very important case for very many volunteers here in the country a good deal further. The problem is that the Prime Minister gives health companies a steering signal that says: Don’t use these, or use them to a lesser extent. I will quote from a report to Aker Hospital, which is responsible for the drug treatment in Health South-East. That's what it says. ‘The use of private institutions is, as desired, significantly below the target.’ The Prime Minister must then also review the governance signals given to health businesses, so that they do not interpret it in such a way that the Government is actually against everything that is private, whether it is non-profit, voluntary or commercial.
ParlaMint-NO_2008-04-30.ana.ud2456e364	The government has been very clear and clear that we are not opponents - on the contrary, we are followers - of the private people who are not commercial. These are the types of institutions such as the Diakon home, the Lovisenberg Hospital, the Feiringklinik and the institutions in the care sector that in recent years have received more money for drug work from non-governmental organisations. To the extent that some control signal has gone out, it is that we have wanted to reduce the use of the commercial ones. And there I understand that the representative of the Høybräten agrees with the Government, because the Høybräten is also concerned that the commercial gets too much space and goes at the expense of the private ideal organizations. Then I just want to say that I want to look at the code. I want to look at arguments for and against, and we want to use the space for action that must be there. I won't say anything more than what I have cover for. We're going to look at the legislation, and look at arguments for and against, because I'm basically also a strong supporter of private non-commercial organisations and believe that commercials can create imbalances in many welfare societies.
ParlaMint-NO_2008-04-30.ana.ud2456e371	It's going to be follow-up questions -- first Bjørg Tørersdal.
ParlaMint-NO_2008-04-30.ana.ud2456e375	It is positive that the Prime Minister will focus on the important work of non-profit organisations in many areas, including: rehabilitation. The Norwegian patient registry reports that from 2005 to 2006 there have been 16 psts. fewer daily-based stays in training establishments. And an increasing proportion of patients who want to use exercise have to pay for this themselves. It helps to increase differences in Norway. The Christian People's Party fears that this tendering policy that we have focused on in this questionnaire can lead to voluntary sector offers being built down to the advantage of commercial players and the state – and it is growing. I'll take an example. The coating at Skogli Health and Rehabilitation Centre has fallen. In 2005, they had 135 beds, in 2007 64 beds. They have now got an agreement through Health South-East and NAV and can again offer a few more beds, but it is temporary, and there is little predictability for the employees in terms of further operations. Does the Prime Minister see that the outcome of the tendering policy can lead to a society in which the non-profit organisations lose their weight in this important work?
ParlaMint-NO_2008-04-30.ana.ud2456e386	I still believe that this is an important issue, and I believe that the debate we have had today has illustrated very clearly that when we use the word ‘private’, you think very easily different things. When the Right Party and the Advance Party talk about private, as they did at the beginning of the debate, they talk about the private commercials. I think you should be careful about using them in welfare production. I'm not saying they don't have a role. They have a role to play. We have commercial there too, but I believe that it can be at the expense of both the desire for an equivalent offer and the valuable contribution of the private ideal non-commercial, for example. Christian organizations, provide. That's why I think it's worth looking at both the room the legislation provides, and arguments for and against changing that legislation. So we're going to look at that, but I can't finally say what the conclusion is.
ParlaMint-NO_2008-04-30.ana.ud2456e391	Harald T. Nesvik - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e394	It is clear that the Prime Minister is more concerned with who owns the institution than with who offers the institution. It must then be the offer that is most important for those who are to receive it. It is important that we have a variety of offers, so that some of us - we react differently - may have something to choose from, so we can get help eventually. The Prime Minister was concerned about the importance of having many different types of offers. Yes, then it is strange that the Fossanåsen Center for Drug Abuse has not been agreed, and that ValdresClinic must close the doors, because they do not get patients. We see several rehabilitation institutions that don't get paid for the quality they give. The question in this case is not whether you are using a tender or not, but what is included in the tender sent out. I have the following questions for the Prime Minister: Will the Prime Minister ensure that the quality criterion is given a much greater place when you put things on the market, so that the quality of the offer is guaranteed, regardless of whether it is one or the other that is on the payroll of those who work there?
ParlaMint-NO_2008-04-30.ana.ud2456e405	First the basics. What I'm concerned about is that we're getting a stronger offer for those who need drug treatment, health care and other types of welfare services. That is why we have granted more. It is dealt with several times, and there are several people who receive an offer. Then I believe that the public must have the primary responsibility. The public must finance it, and it must be a fissure layer. That's why I'm against tax relief and for money to that fissure layer. But then I'm saying that there's room for others -- we have a long history of having not least private non-commercial types of organisations, etc. So it's like when we first open up to have tenders, which we have in some areas, or at least negotiations with different private ones, it'll sometimes be that you, among other things. on the basis of a quality assessment, it is concluded that it should be commissioned, not. Then, as Prime Minister, I cannot sit and say that every no in such a competition is to be tested. That's where I actually rely, in the case of drugs, on health businesses. They have been granted increased appropriations, they have increased the appropriations for the purchase of ru services, and then they have used them at that institution instead of at that institution. I do not intend to go in and review the individual decisions. I intend to increase the appropriations, so that there may be more treatment for those who need it.
ParlaMint-NO_2008-04-30.ana.ud2456e426	Sonja Irene Sjøli - for follow-up questions.
ParlaMint-NO_2008-04-30.ana.ud2456e429	The Prime Minister must stop spreading falsehoods about the Right Policy. We want a diversity, and we want an interaction between public and private. The main problem with drug treatment is that the government of Stoltenberg has not been willing to give priority to those at the bottom of the table. Subjects in the drug field have stated that they have been admitted to the table by the previous health ministers, at the bottom right, but that Brustad pushes the drug field back under the table. It has also been pointed out that the appropriations are the worst in eight years. So I want to ask Stoltenberg to spare people his mantra that the hospitals and the municipalities have got more money. In the real world, there's a cut in the offer. I would like to ask the Prime Minister if he can be acquainted with being the head of government who has done the least for those who need it the most, namely the addicts. We have to be willing to prioritize them. If we as central politicians can't do that, they'll be a balancing position. The government's policy so far shows that it involves the closure of offers.
