ParlaMint-NO_2008-04-04.ana.ud1664e57	The representative, Olemic Thommess, will present a proposal for a representative.
ParlaMint-NO_2008-04-04.ana.ud1664e311	That is when the debate is on case No. 1 over.
ParlaMint-NO_2008-04-04.ana.ud1664e327	The Fattignorge Association deserves commendation to focus on the poor here in the country. This time, there are major differences in social assistance payments. Together with the Trade Union and Jussbuss, the association published in February this year a report asking the municipalities for social assistance rates. The response of the municipalities indicates that there are large differences in social assistance rates between municipalities and municipalities. Karasjok has the highest rate of living, at SEK 5 763, Ullensvang is the lowest with NOK 3074. There could be variations of no less than 116 pst. in the case of a lump sum with a resident child between one and three years of age. It assumes that child benefits, additional child benefits, child contributions and cash support are taken into account. The reason for the differences is that the income and expenditure calculations for living are made on the basis of different criteria. One municipality may, for example: count child benefits, child contributions and cash support as income, while others do not. Furthermore, there is a big gap in what is considered as eligible medical and medical costs. The report states that low rates do not only have a negative impact on the quality of life of recipients. It also helps to reduce the possibility of self-driving, and the beneficiaries become more involved in the social system. Debt problems are one of the elements mentioned in the report in this context. Moreover, according to the report, low rates increase the number of applications for smaller amounts to, for example: clothing, and thus a more demanding procedure. Nor are there any municipalities that have carried out a sound assessment of their own living rates using budgets and shopping lists. Various problems related to contact with NAV are also reported. The Christian People's Party believes there should be a low threshold to apply for social assistance, and there should not be stigma attached to this. The rate of residence shall be sufficiently high to provide a reasonable income and basis for a decent life. At the same time, it is important that benefits should be temporary and not become so large that they significantly weaken the motivation for finding employment. This is important to emphasise, because all experience suggests that the poverty problem in Norway is mainly about those who are out of work. Unfortunately, it is not a small group of people receiving social assistance - 116 000 people in 2007, to be exact. The figures show a positive downward trend, but there are still too many, especially with today's strong Norwegian economy. It's particularly serious, in my view, that as many as 8 pst. of all persons between the ages of 20 and 24 are beneficiaries of social assistance. The proportion of long-term recipients does not decrease either. The Christian People's Party believes that social assistance rates should be designed on the basis of an individual assessment based on social professional assessments under the Social Services Act. The country’s indicative rate of residence shall be followed. That's why we have it. At the same time there shall be a certain room for municipal discretion in the determination of benefits. It's e.g. of course that the housing aid varies between the different municipalities, depending on the different housing costs from central press areas to peripheral areas, and must therefore be excluded. It is serious when the report of the Fattignorge, the Trade Union and Jussbuss points out that the assessment of the other aid elements varies so much. With the differences we see in benefits today, it's hard to see that the differences are due to something other than different local economies. The Christian People's Party believes that it is totally unacceptable for the local economy to determine the amounts of social assistance payments rather than an individual social evaluation. It is not in accordance with the intention of the Social Services Act. It is particularly sad that there is a picture that many municipalities suffer from problems with the municipal economy at a time when the Norwegian economy is going very well, and in a situation where the government has assured that the transfers to the municipalities are at a satisfactory level. Yesterday, there were some positive figures from the SSB that eight out of ten municipalities reported that their 2007 social assistance code covered all the expenditure recommended by the State to cover them. This is a clear growth from last year, when only half of the municipalities covered these expenses. But still, one of the five municipalities in this country does not cover the expenditure that the state is making to cover them. If the municipalities can't live up to the state norm now in these rising times, when are they going to do it? For the Christian People's Party, it is especially important that social assistance takes account of the children. It is disappointing that so many municipalities choose to count child-oriented benefits such as child allowances and cash support as income, which is thus deducted from the total payment. This means that these welfare systems are really being tested and reduced for those who may need the most, while everyone else gets the pleasure of the schemes completely regardless of income. At least I have trouble seeing the logic of it. The Christian People's Party believes that child-oriented benefits such as child allowances and cash support are to be excluded from the calculation of income and do not provide the basis for deductions of payments. This is supported by the civil ombudsman, Arne Flivet, who said to the evening post on 19 February: ‘The Ministry should get a little of each one to think about. We need to be sure that children do not suffer damage to this system, which is why the benefits of children are very important.’ [[...]] [[...]] The civil ombudsman is also in line with the Christian People's Party when he points out how unreasonable it is that the rates of the municipalities also vary with regard to the costs of illness. For the Christian People's Party, it is very important that social assistance is aimed at those who are struggling with disease, not least with mental disorders. The report shows that some municipalities have specialities of up to NOK 600 per person. month of medical and medical expenses. With a income equal to the country's lifelong guidance rate for the lone population of NOK 4600, NOK 600 actually becomes NOK 13 pst. of the monthly income. In addition, if you are so unlucky to have bad teeth and large amounts of dental treatment, the situation may be quite precarious. Here are the accumulators of up to NOK 3000 per year. years in some places. It shouldn't be like that. The sum of this is that social assistance in many municipalities is unreasonably low. It's not in line with the goal that everyone will have enough to live a decent life. It also gives cause for concern if this is what the report suggests, that the low rates contribute to debt problems and other challenges that make it more difficult to become self-driving and get to work. The government promised to eliminate poverty here in the country. It's black on white in the government's own Soria Moria statement. It was just a matter of will, it was said. Now this promise is cancelled. The head of the Labour and Social Committee, Karin Andersen, of SV, went out in the evening post on 19 February and said that she reacted to many of the municipalities deem the child-related benefits to be income, resulting in deductions. But we've seen many times that what biging representatives of the red-green parties say is one thing, another is what the government means. My question to State Councillor Bjarne Håkon Hanssen is therefore: Is the Government satisfied with today's discrimination and partly very low social aid rates, or will it take action to create a system that provides support based on individual needs rather than residence address?
ParlaMint-NO_2008-04-04.ana.ud1664e381	There are important questions raised by the representative Woie Duesund. The background to these questions is a report by the Fattignorge, Trade Union and Jussbuss Association, which documents differences between the social assistance rates of municipalities, thus indicating discrimination against vulnerable groups. The issue was also addressed by the same groupings to the Civil Ombudsman in June 2007. The government is strongly committed to improving the life situation of people who, for various reasons, become dependent on social assistance. That is why, from 1 November last year, we introduced a new qualification programme with a standardised qualification support, where persons with social assistance as their main source of income over a long period of time, or who are at risk of such a situation, are the main target. All NAV offices shall work actively to reduce the number of long-term beneficiaries of social assistance by offering instead a qualification programme with the corresponding qualification aid. A qualification programme is an individualised and labour-oriented programme, the aim of which is to enable participants to finance their living through their own work rather than receiving social security. For those who, following the implementation of a qualification programme, do not receive work after the end of the programme, this programme will also be able to contribute to clarify whether they need further assistance to get into work and/or whether they qualify for a sustainable social security benefit. The introduction of the qualification programme is the main targeted action to help individuals and combat poverty in the Government's action plan against poverty. For some, social assistance will be the only option in a period. The Social Services Act shall ensure proper assistance to persons who, for various reasons, are unable to provide for their own living. The benefit shall be measured on the basis of an individual and concrete need assessment. In order to assist in the management of social services, municipalities have produced monthly rates of social assistance for single beneficiaries and for families. These are intended as a starting point for the measurement of social benefits in each case. It could vary between municipalities what the costs are intended to cover. In addition, where rates are intended to cover only basic needs such as food and clothing, municipalities will have to make a concrete assessment of the individual’s need for social benefits for transport, health, leisure, etc. covered by the concept of residence in law. The level of the rates will also be influenced by whether costs such as child benefit and cash support can be covered are included in the rates - or otherwise: whether child benefit and cash support are counted as income and deducted from the municipal rate. The fact that the rates of municipalities vary does not justify the conclusion that there is discrimination when it comes to the actual overall payment of social assistance. Since 2001, the Ministry has provided guidance on the measurement of social security benefits by municipalities. It is clear from the ministry circular what the indicative rates are intended to cover. The State indicative rates, like the municipal rates, are only a starting point for the individual assessment and an aid in the proceedings. One of the objectives of the State guidance guidelines was to contribute to a more consistent treatment of applications for social assistance and to reduce any differences in the level of social benefits between municipalities. The indicative rates have also resulted in more than two thirds of the municipalities in 2006 using the indicative rates of the State or having higher rates. In my reply to the Civil Ombudsman in the light of his question to the Ministry in June 2007 on discrimination against social welfare beneficiaries, I indicated that the Ministry will evaluate the system of state guidelines for measuring social assistance. The aim of the evaluation is to provide a better overview of the practices of municipalities in measuring economic social assistance and the impact of the State guidance guidelines on the practices of municipalities. In this respect, the Ministry will also assess the appropriateness of a minimum rate, such as: the minimum standardisation of key cost components for living. This evaluation is currently ongoing and is scheduled to be completed in the summer of 2008. The Government is committed to safeguarding the rights of social welfare beneficiaries. This involves following up the legislation and ensuring that the law is practised according to its intentions. There shall be no arbitrary discrimination. In this respect, I would like to inform you that the Government has taken a stand and is now preparing a bill on State supervision of the local authorities' practice of economic social assistance and the qualifying programme of social benefits. Currently, the county supervises the provision of social services by municipalities such as home help, support contacts, etc. However, supervision does not include the granting of social benefits to living quarters, i.e. social assistance, and the qualification programme with related social benefits. Complaints systems and supervision are important legal safeguards for users. The government is now proposing that both schemes also apply to beneficiaries of social assistance. While the appeal procedure is intended to ensure review and correct decisions in individual cases brought against it, the supervision shall ensure legal certainty for all applicants for assistance from the municipality. The supervision shall include, inter alia: examine whether the municipalities ensure access to the scheme, whether the right of appeal is disclosed and whether the social service law is being practised as it should. In the past, there are, among other things: verification of whether the municipalities actually make a concrete and individual judgement when measuring social benefits. The draft law, sent at the hearing in August/September, will also include proposals to introduce statutory internal control obligations for municipalities in the same administrative areas. The Ministry will then review the hearing bodies, and then a legislative proposal for the Stortinget will be put forward with the aim of examining the proposals in the spring of 2009 and entering into force on 1 July 2009. So the last thing I was about now is an information to the Stortinget that the Government has decided that we will introduce control and supervision in this area as well, and not least that we will now also, by law, impose internal control on the municipalities. I am not going to use this opportunity to polemise too strongly in the party policy direction, but it is nevertheless interesting that a representative of the Christian People's Party addresses the discrimination in the municipalities, because this is not a new phenomenon that came in the autumn of 2005. The party leader of the Christian People's Party had my job ahead of me, and this opportunity to introduce supervision and internal control in the municipalities was also open today, but it had to change the government to get it to Stortinget.
ParlaMint-NO_2008-04-04.ana.ud1664e404	I thank the Council of State for the answer. I think we'd rather be positive that some parties are willing to change course and do even more when we see that it doesn't go the way we wanted. I also think it looks like we have a common understanding of many of the problems that the inequalities in social assistance rates lead to from municipality to municipality. Of course, the Christian People's Party supports the qualification programme. It is one of the most important things we can do in this area that is targeted and that will help people out of poverty in the long term. I also think it is positive that there should now be an evaluation of social assistance rates, because there is no doubt, after reading this report, that it is absolutely necessary. But I hope it's not just a discussion about the level of the benefit, whether one should follow the rates of the State Institute of Consumer Research, SIFO, as it has often been before. In my first post, I gave signals based on what the report said, that the rate might not be too low, because there are many negative outcomes. The Social Act has services today, and you'll see if you might want to have some rules that are more binding. So it's a challenge to define what is a proper level. I was going to challenge the Council of State on this with state supervision, and I've already received an answer that I'm very satisfied with, because I think that's the way to go. I am very pleased that it is confirmed, and also that the right to appeal is strengthened - it strengthens the legal certainty of this group. At the same time, it concerns us with the discrimination between different municipalities and that the payment is made on the basis of different criteria. I want to give an example from Vindaford, which had a period of between 5700 kroner and 5,900 kroner, while the government's indicative rates were 4,140 kroner. All the municipalities around had lower rates. This led to many streaming to Windfjord, and finally the municipality had to set down its rates because it became too expensive. So the local economy was the reason why they changed rates, not the social evaluations. I expect the Council of State is not satisfied that this is how it is done. I can also imagine a slightly more complementary response with regard to the young long-term recipients, and look forward to the debate.
ParlaMint-NO_2008-04-04.ana.ud1664e426	It is precisely on the basis that we see that there are so different practices, that we have now decided to establish state supervision in this area, and that the State, which is then supervising a number of areas, can now also enter on its own initiative into municipalities, establish supervision, in order to assess whether the payments of social assistance are in line with the law. It's important. If discussions are then held that municipalities do not fulfil the obligations of the law, supervision can be exercised and, on the basis of supervision, it can be dealt with against these municipalities. When using the means of redress, the municipality must have an internal control system which ensures that, when the applicant receives a complaint, it has to have consequences for the municipality's practice in similar cases. It is also a very important element through requirements for internal control and the establishment of supervisory authorities. So implementing this grip is a pretty big social policy reform, where we are now going in and saying to Kommune-Norge that the state supervisory system is now getting into an area where they've probably not been. I understand, of course, that the issue here is the over-management of the municipalities, but I believe that Kommune-Norge will also understand that a practice over time that evolves towards major differences between municipalities and uncertainties related to whether the purpose of the law is met is not good. I therefore believe that we will also have an understanding in Kommune-Norway that we are now implementing this social policy reform. It's going to be very exciting to work with the law. It will be very exciting to conduct the hearings to see how the law is being received, and it will be very exciting to come back to the Stortinget in spring 2009 and discuss it and deal with it here.
ParlaMint-NO_2008-04-04.ana.ud1664e435	The issue of social assistance rates is a recurring issue. It's a topic that really has quite a few phase responses, and many times I have the feeling that the political debate around this is a little on the ground. Having said that, I would also like to stress that I think the interpellant is asking a timely question, and I am inclined to agree that the criteria for what should be included in an individual assessment of the need for social assistance should be the same. But when that is said, I don't think that in itself will lead to the conclusion of this debate on social assistance rates once and for all, and that all payments thus become the same. What I often find to be a problem in this discussion is that it is very often presented as if the typical social welfare beneficiary is a long-term beneficiary who lives exclusively from social assistance over a long period of time, and that indicative rates instead of a state norm make many municipalities look at their average to cut in by not adjusting their own rates in line with the government recommendation - and that it in turn leads to their ‘swindling’ users for x the number of dollars. But that's not the right picture. What's important in the discussion about social assistance is that we have the right reality at the bottom, because otherwise it can easily lead us to go on simple solutions, a state norm, which we think should solve all the problems. And done in the best possible sense, one at the same time could risk doing users a bear service. It's true that the municipal rates vary a lot. The evening post, among others referred to it in a major series of articles last year. They went to work in depth, even sorted the municipalities by party color, and the Progressive Party and Christian People's Party municipalities came out very badly - and then I'm going to hurry to say: closely followed by the Workers' Party, so we're not going to stand here and beat ourselves on the chest for that reason. But if one goes closer to the material in the seams, it turns out that the municipal rate is not the same as the actual payment. It follows from the law that an individual assessment is to be made, and so is the law. In the wake of the Evening Post reports last year, I myself was challenged to debate in NRK Buskerud, and then the issue was two municipalities in Buskerud, Hurum and Hol, both of whom had rates that were below the state recommendations. Hurum was NOK 330 below, Hol was all NOK 1700 below. When we started to debate and got the real numbers from the municipalities on the table, it turned out that the actual payment in Hol on average was NOK 5 911. It was because Hol had few long-term recipients of social assistance, few social assistance clients at all, because there was a very low unemployment rate in the municipality, while the Hurum municipality, which was also a kind of disaster municipality, actually had an average payment of 7,820 kroner. That means that the law works as intended, in the sense that individual assessments are made. In this way, I also think that the only right thing to do is to wait for the review that the Ministry of Labour and the Ministry of Inclusion has started after the Civil Ombudsman's enquiry, and also wait and see how the new control and supervision measures that the Council of State has presented are working. Last November, at the Council of State Poverty Conference, there were also clear warnings about the introduction of state standards in this area. KS was afraid that standardised rates could help legitimize social assistance as a lasting solution, and that is, of course, contrary to what we want. We want the opposite: least social assistance, as much as possible over to work and activity, and those who are unable to do so can get into the social security system and out of the social assistance system as possible as quickly as possible, and that the aim must be to ensure that social assistance works as it is intended. But the second warning, perhaps even more important, was the one from Sweden, which has introduced a system in which current expenditure is included in a national norm that becomes binding on municipalities. And what did Geir Møller from Telemark Research say about the result? Yeah, it wasn't really very uplifting. The result was that there were still large differences in the assessment of matters from municipality to municipality, both if you were to receive social assistance and how much you received. It also appeared that differences increased as time went on, because assessments became much more stringent and local judgement disappeared — the individual assessment of needs almost disappeared. So I'm not going to deny here today that it may be important to give signals through a state norm, but I think we're going to investigate this a little bit more carefully first. I guess I don't see the interpellant there either, that's what she wants here and now.
ParlaMint-NO_2008-04-04.ana.ud1664e453	The best solution to the question asked by Woie Duesund is to get people to work. The main problem is those who are long-term beneficiaries of economic social assistance, and especially the young. This group is at risk of permanently being away from work, either by changing to disability or by continuing a permanent course as a social welfare beneficiary. None of the parts are desirable. It is therefore necessary to put in place measures to avoid this and to get the beneficiaries of economic social assistance into work. A unanimous increase has adopted the qualification system, which could work well. The qualification programme has one major weakness that could act as a brake to achieve the objective, and it is that participation in the qualification programme is voluntary. So you can choose to participate in a qualification program as a social worker. This means that you can choose not to qualify for a job, for a job. It is unacceptable in my view. Every citizen has an obligation to try to support himself. By not participating in a qualification program, you don't do that in my view. It is therefore necessary to require those receiving social assistance to participate in the qualification programme. This could lead to much more people who are currently receiving social assistance coming into gainful employment. Too many people will be the solution to the problem of self-sufficiency. Experience from many municipalities is that if more demands are made on beneficiaries of social assistance, more people, especially young people, go from social assistance to work. The requirements may be to set up in the social office in the morning, as the Council of State itself has been out and said, and to operate with snow removal for the elderly. Of course, this will also help stop the vicious spiral that many young people start with in the social office, so that they get to work. There are considerable differences between municipalities. It's referred to in the interpolation. It's also been known for a long time. For this reason, the Progress Party has repeatedly proposed transferring responsibility for economic social assistance from the municipalities to the state. That would eliminate today's discrimination. Today's system could lead to receivers moving - as the representative Woie Duesund was in it - from the municipality to the municipality, based on how high the rates of living are. Another important argument that the State should assume responsibility for social protection is that the level of social assistance should not depend on the economy of each municipality. Without going into the bet level, I would say that the rates should be the same for everyone, and be based on a professional assessment of criteria. The supervision of the level means, as the Council of State was in it, that the State actually sets a minimum level of social assistance. But it will not ensure equal treatment. I would therefore rather urge the Council of State to follow Karin Andersen and SV, who agree with the Progress Party, for once, that this should be transferred to the State.
ParlaMint-NO_2008-04-04.ana.ud1664e466	I think this debate is interesting, because it is characterized by shades and by the fact that up to several people are very clear that this is not a simple question with a perfectly obvious fascist answer. What I am very pleased about is that there is such a clear message, both from the Council of State and from the representative Lise Christoffersen, that there is no belief that a stately binding standard is the answer to all problems. I have to say I'm completely in line with what these have expressed. I think that will only lead to a number of new problems, which the representative Lise Christoffersen was also involved. I think it is important to make some clarifications about what social assistance is and has been meant to be for those who need such help, namely a short-term economic performance to cover the most necessary costs - a kind of crisis aid. This can be seen in the Social Services Act. Normally no one under the social assistance law shall be so-called long-term beneficiaries of social assistance. When so is the case, I believe it is a serious system failure. I feel that what the Storing has adopted, and which the Government has been given quite a broad political impetus, to introduce a qualification programme for long-term recipients of social assistance, is an answer to that challenge. If that's an adequate answer, I'm significantly in doubt about it. But at least it's a necessary answer and a big step in the right direction. I just have to admit that. I believe that the qualification program can lift people out of a hopeless life situation, just so it's said. In this respect, it is important to focus on, in a debate on social assistance, not necessarily the level or amount of social assistance, but what assistance the individual beneficiary receives in addition to the economic benefit, i.e. what measures are being taken to give the individual recipient the help he or she needs to become self-sustaining and get out of a hopeless and difficult life situation. This can be done through work promotion measures. If it is found that there is no residual working capacity, if it is not realistic to get him into work, then there is a need to shift to income protection schemes other than social assistance, because there is therefore no income protection scheme; it is a short-term crisis aid. In the debate on this topic, the picture is very often black and white, and you stare completely blindly at these municipal rates of living. They often cover more than they tell about reality. That is, as the Council of State was very clear, an individual and concrete assessment to be made. That's still the way it has to be. When these debates from time to time appear in the media, where it seems that some political forces very strongly want it to be a far higher and stately binding rate, I would like to mention that from time to time I have received enquiries from people who work in social services, who tell a little about how little they believe in it. One of these enquiries was received from a social curator in a large social office in the East, who strongly warned against raising the general rates of social assistance and also against making it binding. The person sent me a calculation that showed what it was like in their municipality, where a family of five with three children received the following every month: living for a married couple NOK 7 650, living for three children NOK NOK 5736, rent of the house. 5,200, power NOK 1 000, kindergarten per 1 000 month(s) for one child kr. Eighty-five. The total expenditure covered by the Social Security Office each month was NOK 21,436. In addition, the cost of one leisure activity per person is reported to be covered. Children per day six months, medical expenses on prescription and medical expenses. Sum sum: If you were at work, you would have to have an annual income of almost 400,000 kroner to get a monthly benefit that came up at this level. So I think it's very important to have the shades in place here and not stare blindly at the monthly rate of living. It tells a little bit about reality.
ParlaMint-NO_2008-04-04.ana.ud1664e477	Money, power, work, legal certainty, health and education -- all this is distortedly distributed. SV wants smaller differences. It has to be if we're all going to have equal opportunities. The fight against poverty is not canceled at all, it shows, among other things. State Council posts today with the strong commitment to the qualification programme. The fact that we have now secured user organisations, both economics, more power and influence, and also the work that is now being done on social assistance and the strong commitment to labour market policy, makes me think that this claim can be put to death. But there are unfortunately too many differences both in the quality of the assistance you get, and it makes you live on if you are dependent on social assistance, depending on where you live. It is not because food and clothing, newspapers and TV licenses vary in price across the country. Unfortunately, there is a big difference between the attitudes you meet with also, whether there is respect and dignity and the necessary assistance, where the administration is doing the job of coordinating, or whether there are repulsive and degrading attitudes and a sea must find out their rights and fight them against the system. This is why the Government’s decision to introduce state control and effective access to justice related to social assistance is very important both in principle, because it means ending the inexplicable state of emergency it has been in this area, and because it is necessary for people to have real legal certainty, including those who need the most to survive welfare systems. The fact that beneficiaries of social assistance have not had the same access to appeals against decisions and that the State has not supervised this core area of social cohesion has led to legal losses for users and has contributed to differences in community practice. So I'm very happy with what's happening now with this question, and also that we're going to assess whether there's a need for standardisation. Social assistance should not be a long-term benefit, but it is too many. The qualification program will hopefully fix some of this, but it will take some time. And the qualification program has standardized benefits. So in the meantime, many people have to live on social assistance that doesn't go to, where the inequalities are very big between the municipalities, and where you can't see that they're based on an assessment of what it actually costs to live a decent life. The report on which it is based today, from the Fattignorge Association, the Trade Union and Jussbuss Association, only confirms what previous reports, for example, have done. by the Directorate for Health and Social Affairs, Telemarksforschung, SIFO and SSB. More municipalities than before follow the indicative rate, but what they include in the rate varies a lot, and there is a great deal of deviation from the recommendations made by the State regarding the costs to be included in the norm and which can trigger supplements. If they do, we know little about it, because it comes from the individual assessment, as many have said. However, such systematic differences cannot be justified. So the differences we see now cannot be justified in the individual assessment required by the Social Services Act. There are geographical differences. There are differences between municipalities and not between the needs of individuals. Many of these expenditures vary, but SV has been particularly concerned with children and poverty. The report from Telemarksforschung shows that there is no line in what municipalities treat equally or differently in relation to child expenditure. That's why I share Åse Gunhild Woie Duesund's view of this, but it's a little strange to experience--for these things I took up quite many times when the Christian People's Party also put into government. For example, she takes up child welfare. I agree. Even worse, I think it's that the one-time benefit at birth is considered to be the usual income in almost all municipalities, and only 5 pst. the municipalities allowed the poorest families of children to keep this money, which is to be given to mothers who are not entitled to maternity benefits. This is not money for food, clothing and household. This is money to go to the extra expenses a poor family has when they have a child. But it's not like that. There is a very wide variation in the rates of infant equipment, leisure equipment and leisure activities. This varies. So we know very little about how we manage to care for children's needs so that they can live a normal social life and be included in the other child's driving through this system. So there's a need to do something about the inexplicable and arbitrary differences that especially affect children and those who have to depend on social assistance for a long time. Money isn't everything in life, but it's more important the less you have of them. Therefore, the level of performance is also important. It is essential that people are not treated arbitrarily and differently. They should, like all others, be treated as equivalent nationals of a country and, like others living on public benefits, should be subject to rules that do not distinguish geographically but as appropriate.
ParlaMint-NO_2008-04-04.ana.ud1664e490	As many have said, social assistance is at the beginning a temporary income hedge. But the reality is that too many have become long-term recipients and thus have social assistance as the basis for their living - more or less permanent. It has also been shown that we now have a very important reform in place that intervenes in this, namely the system of qualification programmes. That's, I feel, the most important thing about the debate we have here on how to standardize social assistance. We go in and meet those people who have in a way been the main argument for standardising social assistance, namely long-term beneficiaries of social assistance, with their own programme, the qualification programme, which is to lead to work or education - possibly lasting social security. I want to warn you that we're making the qualification programme something we're saying is an obligation. Today we have said that there should be a right that gives the obligation to enter into a qualification scheme, i.e. a right to benefits and an obligation to qualify. I'm afraid we're saying this is an ordinary race for a group of people. Then it's easy that this also goes into the system where we say that it is, and that the individualization and the motivation phase is so bad that it's going to be spending a lot of money for little use compared to what comes out of it. It is important that there are motivated participants in the qualification programme when we put such heavy resources into it. The central party does not believe that we should state social assistance. The representative Svendsen pointed out that the important thing here is to get equal treatment. I wonder if not the most important thing is perhaps an individual treatment of social welfare recipients, that one sees each and manages to provide services and offers that are tailored to the individual's needs and the individual's life situation in particular, because this is provided for being of a temporary nature. I am probably also of the opinion that publicising social assistance and thus transferring all that is the responsibility of the NAVs to the state would be a mistake. I think this should be an interaction between state and municipality. It's awfully demanding today--poor them, I'd almost said, that's going to handle it. But it is quite important that the municipalities are not drawn out of any of the basics of welfare management, namely, seeing the individuals and helping the weakest; I will be strongly negative to that. State social assistance is not the solution. As the representative Woie Duesund pointed out, it is, after all, eight out of ten municipalities that are now following the indicative state norm. Two out of ten don't. Many of them are below the indicative state norm, but some are also above. It is positive that focusing on the indicative State standard has led to more and more adaptations to it. I do not understand that not all municipalities are at least suited to be at that level, because having a negative focus on their municipality both through the media and from residents, because the municipality is below the indicative level, when in reality it may have payments at least at the same level, cannot be worth breaking. I'm afraid that too many municipal politicians are too little involved in what is the basis for measuring social assistance, and leave this to the administration. So I challenge our rapporteurs - I would almost say - by saying that this is something you have to take care of yourself and make sure that you come into a position where you can defend what is being done by the community. What we are not served with, and something that is unworthy of this, is the communautaire communautaire communautaire communautaire communautaires' communautaires' communautaires' communautaires' communautaires' norms. This is some of what we have to get away from. This is unworthy in the way today's social assistance system is implemented. In fact, I believe that the solutions that the Council of State here has signaled that he will present to the Storting next year are important in this context. Requirements for municipal control, the possibility for the State to exercise supervision and, not least, the introduction of a clearer right of appeal, will lead in the right direction. I do not deny that we should have a minimum state standard, but that is not the main issue in this context. The main problem is to focus on what is the situation, that there is transparency about the way the municipalities perform this service, and that it should be individual treatment - but that the individual also in this system should have rights that can be measured in concrete terms.
ParlaMint-NO_2008-04-04.ana.ud1664e510	There's a diversity here -- from the extreme, which is the desire for a state making, to what most people think, that in many ways this might be about an interaction. For many years, the left has had a vision of civic pay in the form of a guaranteed minimum income - without conditions of employment or in relation to economic needs. Many are followers of this. Guaranteed minimum income has been implemented in Brazil with effect from 2005, with the very poorest being the first target group. The same discussion has taken place, for example: South Africa, Iraq and the state of Alaska, which have implemented a variant. In the Nordic countries, the discussion is more or less absent in Norway and Sweden, but in Finland and Denmark there has been a discussion. To introduce a guaranteed minimum income for long-term recipients of social assistance of 2.5 G, which is to be considered taxable income, which will amount to NOK 10000 per month after tax, we think we would be a good scheme, funded as a split layer between country and municipality. In practice, the consequence of this would be a standardisation of the social assistance rates for the whole country - such as the interpellant just demand - without a government commitment. But by keeping the housing support out of place, it would be up to the individual municipality to adjust the costs of living. It would obviously be cheaper to live in a municipality than, for example, in the capital. Citizen pay, of course, will not be suitable for all social welfare recipients. Among other things, it will be difficult to imagine that a payment of NOK 10 000 per month to a heavy injecting drug addict would have been the right one. An increase in the income of social welfare recipients will bring dignity to a group of people who are too often passive clients today. It is time- and resource-consuming to go from office to office and constantly explain their needs. An increase in this group's income will give many opportunities to spend time differently, and it will itself have positive effects that are difficult to measure in dollars and ears. There are opportunities for savings in the health and social sector in the long term. The left is a strong supporter for municipalities to find good solutions for their citizens, but in the long run, today's social assistance needs to be replaced by a citizen's wage, which is our vision. Such a salary shall be for people who, for various reasons, fall outside the ordinary working and social security systems and are therefore unable to provide for themselves. Of course, there has to be an individual plan that has to be binding on both the user and the public, in order to ensure a more stable life for the user. In any case, the main challenge is to tear down the invisible walls that exist between establishments and institutions. It does not help with a State-guided standard of social assistance rates if you are not assisted by drug or psychiatry problems. Nor does it help with general rights laws on education and work when you have more than enough to find a place to sleep at night. In Norway, it is no longer important to give more to everyone, but to give more to those who actually need it the most. Poverty in Norway is no longer a class problem, but a problem that affects individuals - often very randomly and unexpectedly. That is why we want to provide a security in the form of what we call a citizen's wage, a guaranteed minimum income, supplemented by individual solutions that can help the individual out of poverty and into a worthwhile life. Economic social assistance is an individual, needs-tested short-term benefit to help recipients to cope without social assistance. Thus, the amount of social assistance has to be calculated on a discretionary basis, and some guidance is given in a circular. That is what Karin Andersen points out in the debate, that there are inequalities here. Then you might have to go through the guidelines instead of having a government commitment to this. I noticed what the Council of State said about state supervision and control. I hope, like others, that we don't slip into the governmentization of social assistance, but that it's a guide for the municipalities to follow the guidance rates more closely. As others have pointed out, in fact, the vast majority of municipalities -- eight out of ten -- follow the rates that are.
