ParlaMint-NO_2008-12-03.ana.ud109e99	The representative Finn Martin Vallersnes, who has been on leave, has once again taken up his seat.
ParlaMint-NO_2008-12-03.ana.ud109e201	It's going to be line change.
ParlaMint-NO_2008-12-03.ana.ud109e204	I think Svein Roald Hansen must have misunderstood something, because the maintenance work on the King's seat is going on, but financed via the plan, so that it is not going to happen to delay this when Svein Roald Hansen might think that money can be allocated for the uplifting of the King's seat. It may then be completely cleaned and maintained, and then it is funded by private funds. That's what's been the problem, that there was a lot of work that had to be done. The Committee has seen this on its own when we were on an inspection a few years ago at the Royal Court. So the argument for Svein Roald Hansen does not keep water because the work has been started and is in progress. In any case, I think that it would be possible to assess in future to the revised national budget for spring whether it would not be sensible to delay maintenance work, to speed it up because of the crisis that has arisen in the past. At least one can ensure that some of the redundancy is financed by item 51, and at the same time it can be part of the package that government and accumulation will probably come with in the new year to improve the activity of the construction sector.
ParlaMint-NO_2008-12-03.ana.ud109e211	If you've started work, at least the argument of creating more activity is weakened. If it's happened for private funds, I think it just shows that it's not imperative to do it any other way than you've done it so far. I am quite sure that both the Castle, the Government and the Stortinget will agree on how it is handled if in retrospect it would turn out to be an excessive burden.
ParlaMint-NO_2008-12-03.ana.ud109e216	I rather believe that in reality means that the royal family and the King take responsibility that a building does not suffer as a result of a lack of maintenance, and seams that should go, as was actually meant by the Storting, for other purposes, but that must then go to the maintenance of the King's. Can't Svein Roald Hansen also look at this relationship in the sense that it's a little awkward that the Norwegian people give a gift, but it doesn't follow from the Stortinget, who is a representative of the people, with some means to maintain this building when it's imperative, of course also to preserve the building, which is certainly on the Riksantikvaret's list and must be preserved. Why can't you take responsibility for finding these few, poor millions to take responsibility for the people's responsibilities given to King Haakon?
ParlaMint-NO_2008-12-03.ana.ud109e224	That the royal family and the castle take responsibility for their private buildings, I think it's very good, and it just confirms that we have a royal family that are good examples in that area too, because that's something we should all do. I don't feel like it's embarrassing that you've done what you've done for a long time, that's taking responsibility for what's private buildings, even though this has a history as a popular gift. This is at last a total sum where you see apanage and direct grants in context, and I think most people will perceive it so that the resources the Castle and the royal family have at their disposal seem to be of a reasonable size.
ParlaMint-NO_2008-12-03.ana.ud109e231	Several have not asked for the word for a line. Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 967]]
ParlaMint-NO_2008-12-03.ana.ud109e249	A strong public sector is the key to a good welfare country. Proper use of computer technologies will be an important tool for public services that is more flexible, better adapted to users and more attractive to employees. Computer technology can only replace humans to some extent, but it can be used in other ways that make everyday life easier for both users and employees. An example is the exchange of information between ministries and other state activities providing a basis for better coordination of services. Setting up services for individuals and businesses on the Internet can help meet users’ needs in a better and simpler way. The National Audit Office’s study aims to highlight the extent to which management exploits the possibilities of using electronic information exchange. What obstacles are encountered, and what measures have been taken? The survey is based on two surveys of 17 ministries in November 2006 and 144 state establishments in March 2007, with a total response rate of 84. Data analyses have been carried out, inter alia: eNorway 2005, Public Sector ICT Strategy 2003–2005, eNorway 2009 — the digital leap, and a number of interviews. I record that the study shows that many businesses have come a long way in establishing their own solutions, but that the possibilities for exchanging information between businesses can be exploited to an even greater extent. Almost every third enterprise has information that may be essential for other enterprises, and even more believe that others have information that would be useful in their work. The challenges are therefore: how to improve the exchange and exploitation of information. The National Audit Office has also carried out an in-depth study of three services, namely applications for grants and loans from the State Loan Fund for Education, Application for Building Authorisation and Application for Vehicle Registration. It is clear from the study that there is much to be gained from the further development of ICT use in these services. The Ministry of Renewal and Administration carries out its coordination through plans, strategies, guidance and existing forums of different kinds. None of the forums have decision-making powers and therefore have no power to impose administrative measures. This makes implementation difficult. The findings of the National Audit Office show that two thirds of 37 actions with a deadline of 2006 were still in progress or not implemented at the end of the year. It demonstrates with all clarity that it is difficult to obtain a sufficient impact on measures that are not directly required to be implemented. It is particularly worrying when objectives related to security solutions have not been achieved. The Ministry of Renewal and Administration has, of course, taken a number of measures to facilitate the cross-cutting exchange of information, but there is reason, as the National Audit Office points out, to ask questions as to whether the Ministry has a clear understanding of the order and priorities of the measures and the relationship between the objectives and the financial resources at its disposal, among other things. to finance cross-sectoral actions. It should be possible to involve the Ministry of Finance in the allocation of the necessary funds. I have noticed that the companies believe that the Ministry of Renewal and Administration is not tough enough in the drive for increased electronic information exchange. Nor do the departments of trade show sufficient commitment to strengthen such activities in relation to their underlying establishments. This gives reason to ask the Council of State to take action to improve this situation. Proper competence is another point of appeal in the National Audit Office’s report. The investigation reveals that one third of the establishments do not consider to be in possession of the appropriate competence. Here the ministry has an important challenge that I expect to be followed up on. The Ministry must be a tough driver, impose requirements and follow-up to the enterprises in order to ensure the further development of public services through increased electronic exchange of information. It is also necessary to pay particular attention to privacy considerations in the further work. Otherwise, the vote is unanimous, but the Progress Party has an additional comment, which I assume they themselves will explain.
ParlaMint-NO_2008-12-03.ana.ud109e275	The left wants to make some comments on this matter, because it is a very important matter. The renewal of the public sector and the use of technology in this innovation are very important. As we have said earlier from this pulpit, it is clear that Norway has two advantages that make us survive in international competition. One is that we have a well-educated people, and the other is that we're always quick to apply new technology. The area where we're not as quick as using new technologies is in the public sector. From the left we must say that we felt that the Bondevik government had a much greater pressure on this, both in terms of developing strategies, and in terms of exchanging information and creating new systems between the agencies. This requires a public strategy, not just at one Council of State, but at the wishes of all the Councils of State, and then the Council of State that has the overall responsibility has to push. It was particularly important for us to draw us into this debate. The left is pleased that the opinion on privacy is unanimous on the part of the Committee. But we have to say that we had been waiting for a little more criticism, especially in the case of sending out the equation information and the person number to nine editors, which is also commented on in the setting. It's a very rough thing. It says something about the basics of privacy in an establishment, when you can do something like that. It's not just an accident. This is a fundamental position in a system when it is possible that such things happen. What is called a major breach in this area is pointed out by the Data Protection Authority. This is the responsibility of many government councils, but it is extremely important that the seriousness of the government's breach of privacy begins to rise. If you don't build up a basic attitude to this in the public system, I think we're facing a everyday life with new challenges, among other things. in the form of new technologies, when data protection laws and regulations are not even capable of being addressed.
ParlaMint-NO_2008-12-03.ana.ud109e286	There is reason for me to comment on some of the comments and the case-speaker and the representative Skei Grande's comments on the matter. As I see it, the National Audit Office well documents several of the challenges we face in the public sector related to ICT. However, I would like to remind you that the audit period is largely 2003–2006, which is essentially a matter for the previous government. The audit period was also completed before this government launched St.meld. No 17 for 2006–2007 in the United Kingdom in December 2006 — An information society for all. She was discussed in the Transport and Communications Committee. At that time, all the references from the Riksrevision were addressed by the Government, and the message received very good treatment in Stortinget. There was a great deal of agreement that the challenges were there, and – not least – that the government had a point of departure. I share the Riksrevision's view that coordination has not come as far as you would like. But as I said, one has made significant steps since the revision period went out, and they are largely treated and addressed in St.meld. No 17. Let me just mention something of what we've done. We have just had more focus on stronger governance and coordination of ICT developments, and we have intensified efforts to find common solutions. These are the two overarching challenges we have to a large extent. So in the public sector, we have less than 430 municipalities. Then we have hundreds of states. We have nearly 800 different units that have an independent basis of decision within ICT. It goes without saying that there is a major coordination and coordination challenge. Then one of them has to get caught. Then it's about taking back power and authority that's been delegated. I'll mention three of the things we've done about governance and coordination. The first is that we've started to standardize the entire ICT area. This has led us to have the world's first demonstration train on the street outside here – for our suggestions. Because someone was against, there was someone demonstrating for the Government's proposals. It's round one. We're in the process now, and the government gets second rounds of standardisation proposals from our standardisation council, which will further increase coordination in the state and not least in the municipalities. We are also in the process of implementing a regulation to impose on the municipalities the same things as the state has been imposed, and there is a great deal of agreement in the municipality of Norway that one needs standards. If one only takes care of the health area, everyone understands that there is a lot of efficiency gains to get if one gets a more standardised exchange of information. The second is that we had to get a lot of work done on this. This has been done, and we have now received a report on governance and coordination of state-owned ICT investments. We know they're big. The National Audit Office has previously looked at ICT investment, and it is rare that they have received praise, to put it exactly the way it is. That's why there's every reason to grab hold of it. The third thing we have heard now is the proposal for a common framework, i.e. the principle of how ICT is to be built within the sectors and between sectors. In the professional language, one calls it ICT architecture. We'll deal with that, too. It's about standardizing and imposing what things should look like, just so that they can hang together. In the case of joint solutions, I shall mention two projects. There are projects that Stortinget itself is involved in allowing money. One is the Altin project, which has been what one could call a cross-political project – for several governments – and which is being further developed now, with a new 208 million. kr. It's already a success, and we see in the business that they save resources, and we see that the public saves resources, because communication goes electronically. In addition to the inhabitants, the electronic ID will trigger the same efficiency and flow. I just have to say to the representative, Trine Skei Grande, who is standing up here asking for measures to streamline and renew the public sector: the left cut with 20 million. kr in the largest measure we have in my budget for next year, linked to electronic ID, which is the basis for exchanging, not least of personal sensitive information, the provision of privacy. So there's a little difference between life and learning when it's just that. Then we've created the Directorate of Administration and ICT, just to work on the practical solutions, get the tools in place and make this look like life. It was created on 1 January of this year to work with the major ICT projects. When it's about privacy, we've increased the number of rights by over 10 million. kr. We've looked down on the Privacy Commission in good cooperation with Stortinget, and with wide representation. That report is in print now and was sent to me shortly after Christmas. Then Stortinget and we will have plenty of opportunity to discuss new proposals that will strengthen people's privacy. So after the audit period was over, the challenges pointed out by the Riksrevision have been very precisely addressed, but we also pointed out in St.meld. No 17.
ParlaMint-NO_2008-12-03.ana.ud109e316	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 970]]
ParlaMint-NO_2008-12-03.ana.ud109e332	The Committee is essentially composed of the comments on this matter, but a minority, the Advance Party, the Right and the Christian People's Party, have a special comment which, in itself, takes up a unanimous comment from the Trade Committee in connection with its Inst. S. No 99 for 2005-2006. It asked the Department for a separate case on how to ensure the rights of adults to initial training. In St.meld. No 42 for 1997–98 The reform of competence showed that very many adults were missing — and wanted — primary and secondary education as a basis for further learning. During the review of the Storting Communication, the Stortinget stressed the need for a national level of competence for low-educated adults to enable Norway to meet the challenges that the future society of competences would face. The aim of the National Audit Office’s study has been to assess whether the implementation of the adult’s right to such initial training has been in line with the decisions and assumptions of the Storting. Adults born before 1978 received a statutory right to secondary school education in 2000, and in 2002 adults who needed it were entitled to primary school education. This meant realising proposals that were launched in St.meld. No 42. The study shows that legalising the rights is not enough to generate a demand. It may seem that persistent weaknesses in information work are a major reason for explaining the low level of participation of adults. In very many smaller municipalities, initial training for adults is not established. This may result in not all adults being able to meet their training needs, as desired. As the National Audit Office points out, the Ministry now also sees the need to strengthen the statistical base, in order to monitor and monitor adult learning activities. The survey, as is known, has found that there are major weaknesses in government statistics and reporting. It is a good promise that the Directorate, the Statistical Central Bureau and the Vox will work together to improve this. This may help to increase initial training. The National Audit Office has also identified non-discrimination with regard to the issue of whether adults’ recognised real-time competence results in curtailed and adapted secondary education courses. These provisions are interpreted differently and contribute to different practices. According to the Riksaudition, this has existed ever since the entry into force of the law. Then it must be high time to get this in place. It is also important to give priority to the supervision of municipalities and county councils, in order to respect their statutory responsibilities towards adults. The government is now working on a notification of competence where I assume that the training provision for adults is being given a central place. I expect the Council of State to say something more about this if necessary.
ParlaMint-NO_2008-12-03.ana.ud109e345	In 2000 and 2002, the right of adults to adapted primary and secondary education was statutory. So there's nothing wrong with the formal rights. The question is therefore whether the rights are valid today. We know from the OECD Adult Literacy and Lifeskills Survey that in Norway we have about 400,000 adults with poor reading and writing skills and poor numeracy, actually so poor that they are cutting below the level that international researchers think is necessary to cope with a modern working life. Much of this, of course, is due to that close to 20 pst. students leave their childhood without being able to read and write properly. It's propagating, naturally, on. Good education, with a focus on basic skills, is an important preventive factor in this. We also know that the reading deficit group is overrepresented among the unemployed and beneficiaries. It's not particularly surprising, precisely because many of these adults are struggling to keep up the job. Especially now we have major challenges. We're experiencing a major drop-out in high school. 34 pst. by the students cancel the training or complete the training without being in one or more subjects. To date, these students have been welcomed with open arms in a labour market that has been desperately looking for labour. The problem is that when the labour market now looks worse, these young adults are the first to be kicked out of the labour market. For the slightly older adults, the same problem is reported. They have managed the job well for many years, but then new skills requirements, changes and new technologies are introduced, and then they can no longer hang out with them. They're being pushed out of the world of work. The main conclusions of the Riksrevision report are that the actual participation of adults in initial training is very low. This tutorial is not well-known. Few municipalities and county municipalities monitor the needs of adults for initial training and almost no monitoring is carried out by local authorities. Substantial weaknesses exist in the fulfilment by both central and local authorities of obligations to provide basic adult training. In addition, it is — and it is not surprising either — that those who already have education or have a lot of education are more likely to take more education. This is often due to the fact that those who are not educated or have little education have negative experience with the school and education system. Flexible solutions are necessary. Initial training for adults can be very stigmatizing. Many of those who have interrupted the course for various reasons have just done so because they have a negative experience with the school situation. In addition — and most will understand this — it is a very big barrier for adult people to sit on the school bench, perhaps at the same primary school where their own children go. Sitting on the school bench there in the evening can be seen as quite stigmatizing for many. One of the things that has proved to be the best results is to be able to take the training in the company where you work, and that the training is linked to the daily activities and developed in cooperation with the employees. In this context, I would like to point out that the Bondevik II government created what was then called the New Chance, and today is called the Program of Basic Competence in the Workplace. It is a very good system to stimulate companies to take greater responsibility for basic reading, writing and calculation training among their employees. In the 2009 budget, the Right has proposed to strengthen the 100 million scheme. kr. We also know that some of the success criteria for such things to succeed are that the right to training is made real, concrete and not least specified. The right proposed in Document No. 8:10 for 2005–06, the development of an ‘adult qualification card’ scheme, which incorporates the results of training as they arrive. Following the introduction of the Knowledge Commitment in 2006, where curricula have been modified so that concrete objectives of competence in all subjects can be identified, it will be possible to link the objectives of competence and the achievement of the objectives. This way, you'll be able to constantly demonstrate your increased competence. Many adults who are out of work and who are therefore not affected by the type of schemes such as: Programmes for basic skills in the workplace are meant to be out of work because they have a problem with the basic skills. They should all be offered a non-stigmatizing way of mapping language skills and their calculation skills, by doing so fairly automatically for all those who, for various reasons, are in contact with the instrument because of lack of work. There must also be greater consistency between the right of training and the provision of training. The National Audit Office's report shows that one third of the municipalities do not have primary school provision for adults, and that very many small municipalities have no offer at all. So it's especially the small municipalities that are the challenge. Then there is little help with a formal entitlement to initial training. Adult learning skills need to be strengthened. Learning adults to read is something quite different than learning a six-year-old to read. Very much of adult education consists of learning error learning. It takes completely different educational approaches than learning six-year-olds to read. Not least: this is a large and complicated field, as the case-rapporteur was also involved. For this reason, a unanimous Committee on Education and Research, in its position in the context of the examination of the Right-wing Proposal, asked the Ministry to come back to the Stortinget on a case-by-case basis, proposing how the right to initial training of adults can be guaranteed in a real way. It's now two and a half years ago, and we're still waiting for a response from the government. The reason we wanted a separate case on this in our time was simply that it should not necessarily be confused with any other training and competence policy. It is a complex field that requires special attention. Therefore, we still believe that it is in place with a separate case for Stortinget about this.
ParlaMint-NO_2008-12-03.ana.ud109e371	We have just listened to two good articles, which in many ways reflect the challenges we face in this field, and which we want for very many years. The National Audit Office has had the starting point to assess whether the Ministry has retained its national responsibility to assist in the provision of basic and advanced education and training required by the Training Act. The National Audit Office’s report is on several points critical of how the basic training for adults has been maintained. There are unsolved tasks related to the participation of adults in initial training, which means that both the local and state sectors face challenges requiring new measures. In further work, I take with me the results of the Riksrevision's report and the comments of the Committee. The national audit has concentrated on the issues of formal learning in ordinary learning. Many of the Ministry's efforts have been directed towards the growth of the labour force with weak basic skills, cooperation with Nav on job seekers and learning in other ways outside the ordinary challenge system. These measures are not covered by the investigation. In the report, the Riksrevision points out that participation in initial training among adults is relatively low compared to what was expected when adults were given an extension of the legal right to training. I note that the measures in the follow-up to the skills reform have not as much as expected led to increased participation in formal initial training for adults. A good explanation for this, I believe, is that there must be some presidencies in order for adults to benefit from public supply, for example. the ability to combine training with work, support for life support and the working and living situation in general. There is good reason to believe that the way in which these conditions are provided for the individual, together with the labour market situation, has a significant influence on the motivation to participate in training. In recent years, the labour market has been good. The fact that it has been easy to get a job may have contributed to the fact that many adults do not feel that they need more training. I will follow developments in the labour market closely. It is important that municipalities and county councils, in cooperation with the labour market governance authorities, follow-up with good supply. I would like to remind you that it is the municipalities and county councils' duty to fulfil the individual's right to basic and further education. Nevertheless, in some cases it has been unclear whether the legislation is sufficiently understood by the school owners, for example. where there is a possibility of adaptation within the framework of curricula. I have therefore asked the Education Directorate to provide a good guide on how basic training for adults can be adapted within the framework of the teacher’s plans. The National Audit Office further points out that weaknesses in information work are an important reason for the low level of participation of adults. I think that an important premise for the information work must be that those who need information should get it when they need it, and that the information is directed towards where the target group is, for example. in working life, in the Nav system, etc. In order to meet the need for training in basic skills in the labour market, the establishment of the Programme for Basic Skills in 2006 In the same year, the Ministry of Knowledge initiated a cooperation agreement between the Ministry of Labour and the Ministry of Inclusion and the KS to ensure better cooperation between the local Nav offices and the local community sector on training as measures for job seekers. Both of these measures are targeted at groups of adults who are often not caught by their local authorities. I have also asked both the Directorate of Education and Vox to continue working on information measures that can make the target group better. The Riksrevision also believes that, in order to keep up-to-date with continuing training, it must assess its real competence, that there is a lack of equal treatment between the municipalities and that there must be an equal understanding of the legislation. The system of assessment of real competence is demanding and will imply a certain understanding. A code that is so detailed that it removes the skinning element could be of little use in terms of both content and scope. It is also important to observe the principles of individual assessment on the basis of which the scheme was based. But I agree with the Riksrevision that there is still a potential for improvement in the development of the system for assessing real competences. I have therefore already asked the Education Directorate to work to ensure that county councils develop a more similar practice when it comes to assessing the real competence of adults. The statistical base for adults in continuing training is missing, and I see that there is a need to strengthen this in order to better monitor and follow the activity of adult learning. Problems include: related to the different administrative reporting systems in county municipalities and their reporting in different ways. A working group of representatives from the Education Directorate, the Ministry, the SSB, the municipalities, the VIGO Steering Group and the Vox has been set up to improve the statistical base. The group will investigate, inter alia: the national guides necessary for the establishment of a common system of procedure and registration. The National Audit Office points out that local authorities and county authorities have little supervision over their follow-up to initial training. In recent years, the Directorate of Education, on a mission from the Ministry, has done a significant job of reforming and improving the county’s supervision under the Training Act. The ministry considers the change to be successful. The supervisory resources were strengthened in 2008, and a strengthening was also proposed in 2009. It shall provide a basis for increasing the level of supervision of the county, both event-based and national supervision. The theme of supervision is chosen from the knowledge of the state of the sector and how the legislation is practised. An overall assessment determines which theme will be prioritised. I also see that the division of tasks and responsibilities between the Directorate of Education and Vox may have appeared unclear, and may have prevented the best possible impact of actions directed at initial training for adults. I have therefore had a review and clarification of the division of responsibilities and tasks between the Directorate of Education and Vox, particularly with regard to basic training for adults entitled to such training under the Training Act. This change could help to make basic training for adults more clearly anchored in the dialogue with the sector and make it clearer and more consistent. Their responsibility for the guidance and interpretation of the Code will be clarified. A clear division of tasks and responsibilities between the directorate and Vox will include: be able to contribute to a higher prioritisation of initial training for adults, especially when it concerns work to obtain knowledge of how the legislation works in practice, and when it concerns the management of legislation, information work, etc. A clearer division of tasks and responsibilities will also help to better coordinate documentation and analysis of adult learning. This means that Vox’s duties are transferred to the Education Directorate from 2009 onwards in direct relation to basic training for adults with this right. Resources are also transferred from Vox to the Education Directorate to build a good competence environment and to strengthen its work in this area. Then I can also mention that of many more long-term measures, we are in the process of preparing a big message of competence for the future. Of course, the competence needs for low formal challenge adults will also be covered by this message. Not least in the current cyclical situation, this will be a very important topic for years to come, as well as the competence situation for young people in advanced schooling, both of which are major challenges, and where many individuals will meet a tougher labour market in the years to come, especially those with low basic skills.
